"sensspec1"	"sensspec2"	"sensspec3"	"sensspec4"	"crit1"	"crit2"	"crit3"	"crit4"	"sens1"	"sens2"	"sens3"	"sens4"	"spec1"	"spec2"	"spec3"	"spec4"	"meanF1"	"SDF1"	"meanFP"	"SDFP"
"MSER_KENDALLR_GEERE_CORC"	0.0426259872976611	0.0879490615549286	0	0.104607042561994	0.8023739	0.80290573	0.8023739	0.79888451	0.02177778	0.046	0	0.0552	0.9986302	0.9986962	0.9980012	0.9967808	0.0587955228536458	0.0471416006817947	0.00197289999999997	0.000887948744767027
"MSE_KENDALLR_CORC_GEECE"	0.00487692939804594	0.210280747594343	0.0036215116785824	0.00372634568296675	0.65968136	0.65367211	0.66099774	0.70450821	0.002444444	0.1175	0.001814059	0.001866667	0.9968875	0.9995443	0.9944469	0.9953536	0.0556263835884846	0.103104477826529	0.00344192499999998	0.00223113427711111
"MSER_CORR"	0.0674227343641498	0.110521998750871	0.0139606863986892	0.00690933816413663	0.71019012	0.69069539	0.69739841	0.67978918	0.03488889	0.0585	0.007029478	0.003466667	0.998836	0.9980759	0.9986439	0.9981888	0.0497036894194616	0.0487228559233751	0.00156385000000001	0.000362400409308067
"CORRnonull"	0.0370760022998349	0.0888558492945505	0.00271738395188738	0.0544698115682245	0.98189559	0.97554863	0.968618	0.98700615	0.01888889	0.0465	0.001360544	0.028	0.9979293	0.997019	0.9981297	0.9967104	0.0457797617786243	0.0358756653558868	0.0025529	0.000689070896207361
"MADR_GEERE"	0.0332123693990463	0.0563532079206195	0.0378154602192341	0.0335559805464519	0.89449415	0.90390143	0.86682689	0.90688208	0.01688889	0.029	0.01927438	0.01706667	0.9920579	0.9923797	0.9939585	0.9919104	0.040234254521338	0.0109480201942087	0.00742337500000001	0.000941857977174179
"MSER_KENDALLR_CORR"	0.0620119110602008	0.0305257196648866	0.00271738459475589	0.0174461851371622	0.77928383	0.76241172	0.75685161	0.77368119	0.032	0.0155	0.001360544	0.0088	0.998135	0.9976139	0.9983032	0.9981248	0.0281753001142514	0.0252564188749509	0.00195577499999999	0.000298317553120793
"MADRnonull"	0.0176200375669905	0.049720243446008	0.00452482872081614	0.00478845761701091	0.89062276	0.89241081	0.88784109	0.8872513	0.008888889	0.0255	0.002267574	0.0024	0.9929132	0.9907089	0.9942927	0.9956608	0.0191633918377064	0.021268359806633	0.00660609999999998	0.00211242155988493
"MADR"	0.0176200375669905	0.049720243446008	0.00452482872081614	0.00478845761701091	0.89062276	0.89241081	0.88784109	0.8872513	0.008888889	0.0255	0.002267574	0.0024	0.9929132	0.9907089	0.9942927	0.9956608	0.0191633918377064	0.021268359806633	0.00660609999999998	0.00211242155988493
"MSE_KENDALLR_GEECE"	0.0013324384719283	0.020780901942739	0.0117215682719749	0.010609574817501	0.86211333	0.83321217	0.83441871	0.86220871	0.0006666667	0.0105	0.005895692	0.005333333	0.9925852	0.9958987	0.9898451	0.9911232	0.0111111208760358	0.00795301808352053	0.00763695	0.00260943619517065
"KENDALLRnonull"	0.0193658714588302	0	0.0179771673238559	0	0.96572789	0.94962143	0.95964093	0.94962143	0.009777778	0	0.009070295	0	0.9982637	0.9981899	0.9977698	0.9981696	0.00933575969567153	0.0107949044455945	0.00190175000000001	0.000222668400691819
"MSER_KENDALLR_EUCR"	0.00133243988347036	0.0129157075280659	0	0	0.89903624	0.89492474	0.89422456	0.89422456	0.0006666667	0.0065	0	0	0.9941543	0.995962	0.9945691	0.994592	0.00356203685288407	0.00626733518140908	0.00518064999999998	0.000787877657592422
"MSE_CORR"	0.000444345322734252	0.00598199749405117	0.000453411688645519	0.00159871825272211	0.50566862	0.53672579	0.50033748	0.50441678	0.0002222222	0.003	0.0002267574	8e-04	0.9966302	0.9968608	0.9971206	0.9978368	0.00211961818953826	0.00263135541232851	0.0028879	0.000523017412074696
"MSE_KENDALLR_CORR_GEERE"	0	0.00697550790604793	0	0	0.69413543	0.69442954	0.69413543	0.69413543	0	0.0035	0	0	0.9960836	0.9968228	0.9960859	0.9961024	0.00174387697651198	0.00348775395302396	0.003726325	0.000366179076181777
"MSE_KENDALLR"	0.000444344945479435	0.00399195800874265	0	0.00106609140644733	0.86643298	0.86902252	0.86363681	0.86644382	0.0002222222	0.002	0	0.0005333333	0.9928489	0.9927785	0.9915869	0.9885056	0.00137559859016735	0.00179820615577088	0.00857002499999998	0.00203375370743364
"MSE_KENDALLR_CORR"	0	0	0	0.00425755592895262	0.63185093	0.63185093	0.63185093	0.64036556	0	0	0	0.002133333	0.9973055	0.9973481	0.997307	0.9970048	0.00106438898223815	0.00212877796447631	0.00275865	0.000158930393568989
"KENDALLR_EUCR"	0	0.00399197720080926	0	0	0.90043192	0.90186996	0.90043192	0.90043192	0	0.002	0	0	0.9948617	0.9951582	0.9948647	0.9948864	0.000997994300202315	0.00199598860040463	0.00505725000000001	0.000144054306889221
"MSE_CORC"	0	0.00199799787113638	0	0	0.52632167	0.54949049	0.52632167	0.52632167	0	0.001	0	0	0.9970418	0.9979367	0.9970435	0.997056	0.000499499467784095	0.00099899893556819	0.0027305	0.00044484505916855
"KENDALLR_EUCC"	0	0.000999498113156412	0.000453411524933369	0.000533190589744803	0.91842183	0.9250048	0.92269893	0.92233615	0	5e-04	0.0002267574	0.0002666667	0.9954727	0.9957405	0.9955396	0.995616	0.000496525056958646	0.00040935810133545	0.00440780000000002	0.000114900449665514
"MSE"	0	0.000999496083459867	0.000453411029961281	0.000533189961074133	0.85085196	0.85390054	0.85412478	0.85838648	0	5e-04	0.0002267574	0.0002666667	0.9943023	0.9917278	0.9907899	0.9912512	0.00049652426862382	0.000409357268655275	0.00798219999999999	0.00157039848658441
"MSE_EUCR"	0	0	0	0.0010660951265985	0.87687305	0.87687305	0.87687305	0.87943918	0	0	0	0.0005333333	0.995164	0.9952405	0.9951668	0.994944	0.000266523781649625	0.00053304756329925	0.00487117499999998	0.000128206821841351
"MSE_KENDALLR_GEERE"	0	0.000999496754367619	0	0	0.882918	0.88519185	0.882918	0.882918	0	5e-04	0	0	0.9883666	0.9930506	0.9883733	0.9884224	0.000249874188591905	0.000499748377183809	0.010446775	0.00233171603241761
"MSER_EUCR"	0.000444345242780017	0	0	0	0.88765417	0.87885157	0.87885157	0.87885157	0.0002222222	0	0	0	0.9958264	0.9958671	0.9958031	0.9958208	0.000111086310695004	0.000222172621390008	0.00417065	2.70550673010836e-05
"MADR_GEECE"	0	0	0	0	0.88844568	0.88844568	0.88844568	0.88844568	0	0	0	0	0.9908489	0.9909937	0.9908542	0.9908928	0	0	0.00910259999999999	6.71151746378089e-05
"EUCR"	0	0	0	0	0.9221019	0.9221019	0.9221019	0.9221019	0	0	0	0	0.9968939	0.996943	0.9968957	0.9969088	0	0	0.00308964999999997	2.27570501896294e-05
"EUCCnonull"	0	0	0	0	0.74463967	0.74463967	0.74463967	0.74463967	0	0	0	0	0.9985466	0.9985696	0.9985475	0.9985536	0	0	0.00144567500000001	1.06474957931997e-05
"MSE_GEERE"	0	0	0	0	0.90428476	0.90428476	0.90428476	0.90428476	0	0	0	0	0.9931254	0.9932342	0.9931294	0.9931584	0	0	0.00683814999999999	5.04249607502307e-05
