	Calb2_tdTpositive_cell_40	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_75	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_10	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_13	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_23	Cux2_tdTnegative_cell_4	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_97	Htr3a_tdTpositive_cell_98	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_117	Nos1_tdTpositive_cell_65	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_11	Ntsr1_tdTpositive_cell_15	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_47	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_71	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_169	Rbp4_tdTpositive_cell_170	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_172	Scnn1a.Tg3_tdTpositive_cell_64	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Nufip1	0.0	0.16	0.25	0.0	0.0	0.0	10.02	0.0	0.41	0.0	0.77	14.8	0.0	0.52	11.57	0.1	0.09	0.3	0.12	0.33	2.95	0.18	31.03	0.48	0.0	0.16	0.09	0.0	0.0	0.47	0.9	0.07	0.12	7.46	0.1	0.2	0.28	0.86	0.0	0.26	0.49	0.23	30.22	72.66	0.54	42.49	16.26	1.07	0.35	1.06	0.39	0.61	20.18	0.34	0.06	1.71	3.61	9.83	8.97	3.57	4.24	0.94	2.84	0.25	0.0	0.97	0.0	4.43	0.15	0.09	0.66	0.0	0.0	0.07	8.8	9.06	8.07
Parp1	0.0	0.0	0.0	0.0	0.0	6.91	2.84	4.84	12.01	14.79	2.43	69.77	0.0	41.81	38.32	13.69	8.09	0.0	30.24	0.08	0.0	40.27	0.0	0.0	0.0	11.1	0.0	0.0	4.99	0.0	0.06	30.21	4.61	61.29	13.13	42.02	0.0	89.44	40.45	0.0	31.74	102.82	0.32	54.86	6.27	150.18	0.4	51.3	35.03	0.11	11.92	89.41	36.06	65.23	411.73	8.11	17.94	13.29	16.4	17.08	15.9	9.19	26.33	18.69	0.0	8.86	0.0	0.0	8.88	0.0	0.0	39.0	0.0	0.71	57.53	58.55	57.13
Pcgf2	0.0	3.54	0.0	0.0	0.0	42.82	0.0	0.0	2.15	1.11	0.0	0.53	0.0	0.0	2.37	0.0	0.0	0.0	5.6	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.54	0.11	0.0	9.93	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	32.53	0.26	0.0	0.92	38.55	0.0	2.4	19.02	0.0	0.0	0.0	0.0	0.0	11.68	0.91	0.77	3.81	1.59	2.21	1.1	11.25	4.45	2.21	0.0	0.12	0.0	0.0	0.0	0.0	0.0	9.35	0.0	0.0	25.16	26.18	25.53
Pcp4	2142.29	4061.01	5030.53	0.0	0.0	4159.66	3820.49	3360.37	4639.95	5350.95	4871.0	1874.09	0.0	4036.12	4905.76	3348.15	3842.39	5293.38	4052.0	1716.94	4339.69	4736.97	4085.02	4273.51	7467.74	4785.11	5853.47	3621.88	5178.03	6240.76	5498.56	5326.1	6808.32	7407.1	6583.41	5251.38	0.0	3177.92	1964.21	2632.02	4134.5	1287.61	4504.36	3038.74	1274.0	3140.4	1530.07	2700.97	1299.54	2779.19	1764.77	1495.03	4815.87	7030.52	5492.66	4246.61	4480.25	4373.65	4108.26	4928.48	3901.08	5219.57	3306.12	7638.97	4212.47	5202.71	4247.86	4439.21	6941.16	7178.2	6670.6	6291.11	8685.7	6217.49	788.83	807.59	741.11
Per3	0.0	114.91	11.9	0.0	0.0	45.6	80.32	87.65	34.42	7.2	4.56	71.85	121.67	47.91	0.0	28.13	11.06	79.51	0.0	0.08	104.36	129.51	41.48	105.47	0.06	90.65	34.46	32.58	0.0	20.05	44.87	14.59	19.16	0.0	15.43	31.34	0.0	177.1	29.56	94.6	0.0	269.67	0.0	142.43	51.7	401.66	41.03	19.67	50.39	116.35	50.9	54.86	52.11	26.48	0.0	85.55	42.37	56.51	65.27	42.75	79.33	48.19	103.43	28.08	20.9	0.0	0.0	0.0	0.52	39.65	77.31	29.17	0.2	0.04	28.55	24.78	23.74
Plekha5	4.72	2.26	46.14	0.0	0.0	48.28	15.94	15.42	48.68	16.19	0.36	28.78	0.0	0.0	0.0	4.29	39.97	1.11	1.39	0.0	32.09	4.76	0.0	0.0	0.27	0.0	0.0	0.0	27.54	0.0	0.0	0.0	0.18	0.0	40.65	0.07	0.0	21.36	0.0	0.0	0.0	10.09	27.52	0.0	14.29	48.9	0.3	20.13	6.32	14.44	0.12	0.07	16.71	52.94	0.0	19.42	10.98	12.73	13.88	8.65	8.73	7.35	10.78	0.68	0.0	0.0	1.11	6.24	8.45	0.0	0.34	25.38	49.5	0.0	35.88	33.9	39.14
Ppfibp1	0.0	0.0	0.0	0.0	0.29	39.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	0.0	0.32	33.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.34	0.34	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	35.22	0.0	0.0	0.0	85.34	1.57	0.1	28.45	29.51	0.06	0.15	0.0	0.0	0.0	0.0	5.42	0.0	0.83	0.0	0.56	3.32	0.99	13.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.21	22.49	23.71
Ppm1f	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26	10.07	0.0	0.0	0.0	0.0	0.0	2.52	0.81	0.0	0.0	0.0	5.2	0.0	0.0	0.0	0.0	0.0	9.07	0.65	0.0	1.68	0.0	0.0	0.0	0.03	0.0	12.03	8.97	0.0	2.71	60.72	12.61	0.0	0.0	65.42	0.0	37.12	25.22	0.59	5.65	13.6	22.5	0.35	0.0	8.12	0.0	4.73	6.78	5.59	5.95	1.79	6.69	7.52	0.0	2.93	0.0	0.07	0.0	0.0	0.0	9.95	0.1	0.0	46.8	46.46	46.2
Prdm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.74	0.0	0.0	0.0	23.98	0.0	0.0	0.0	16.76	0.14	0.0	0.0	0.0	0.0	0.0	0.16	0.8	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.72	2.86	2.81
Pus7	0.0	0.21	0.62	0.0	0.2	1.18	0.38	2.08	0.67	0.58	0.96	20.7	0.0	0.75	12.22	0.93	16.01	0.29	0.0	43.3	0.34	0.43	0.21	1.92	0.0	0.57	0.11	0.0	0.47	0.16	0.0	0.09	20.17	0.21	0.33	0.37	0.0	0.33	0.14	0.16	0.88	19.71	0.24	1.16	1.03	29.63	0.38	11.28	1.3	15.53	0.78	0.65	16.8	0.18	1.13	10.9	3.13	1.73	1.63	0.85	5.28	9.29	6.69	0.68	1.01	24.74	0.17	32.37	6.47	0.0	0.64	0.11	0.24	0.23	15.45	14.66	14.87
Rhot2	0.0	97.14	52.5	0.0	0.0	0.0	5.41	17.21	99.77	159.67	20.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	0.0	0.96	0.0	0.0	0.0	22.14	0.0	0.12	0.0	0.28	0.0	13.19	15.62	81.74	33.91	0.0	0.06	0.0	0.0	0.0	0.0	0.29	0.2	79.21	0.0	0.0	186.92	0.0	0.0	0.15	0.0	0.0	54.89	0.0	54.88	0.0	19.4	10.19	8.9	16.83	18.27	36.2	12.03	7.29	34.23	80.47	17.23	6.88	0.0	0.0	0.09	0.0	0.0	0.0	0.0	61.7	63.32	63.1
Rnf141	0.0	0.0	20.33	0.0	0.0	0.0	55.88	24.95	0.0	31.17	15.7	36.59	0.0	0.0	1.21	26.94	0.0	25.33	0.0	146.55	0.37	0.0	44.33	0.0	0.0	115.84	4.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.14	0.0	165.54	124.47	23.78	0.0	1.82	97.99	0.0	0.0	0.0	0.0	0.0	11.67	21.96	2.21	13.33	7.91	24.61	5.63	32.31	0.0	0.0	0.0	0.0	22.31	0.0	0.0	0.0	0.0	54.7	21.58	52.12	46.2	57.54
Rprd1b	0.0	0.0	0.0	0.0	0.42	0.23	22.06	0.0	60.36	0.0	0.0	0.0	0.0	1.99	29.56	30.57	110.36	0.0	0.0	20.49	0.1	15.23	0.11	0.0	0.0	0.76	0.0	0.0	91.43	0.0	0.07	44.46	0.12	0.0	29.48	0.05	0.0	0.0	0.0	0.0	5.63	12.53	1.65	0.0	0.0	122.75	0.0	0.0	56.17	0.0	0.09	0.0	21.11	2.8	0.0	14.27	9.77	5.43	8.41	0.23	16.29	2.31	8.65	0.0	11.7	0.0	0.0	0.2	0.0	0.07	0.0	0.0	11.6	26.49	21.17	21.76	20.48
Scyl2	0.0	0.0	1.04	0.0	0.0	0.68	19.93	0.0	17.3	3.17	0.0	44.55	0.0	10.1	21.2	0.0	3.22	0.56	0.0	0.0	0.0	50.26	3.91	5.5	0.0	4.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	0.0	0.0	0.0	19.94	65.16	0.0	0.0	0.0	0.0	0.63	10.04	0.0	0.0	0.0	8.75	0.31	0.0	1.86	0.0	2.58	0.06	1.51	0.0	0.0	0.0	4.1	28.6	0.0	0.0	0.0	0.0	13.39	0.0	27.9	25.34	24.36
Sec61a2	0.0	15.5	0.0	0.0	0.0	240.2	96.77	35.43	84.96	110.49	89.04	48.26	0.0	87.01	46.56	14.72	2.43	215.34	89.85	46.33	78.62	59.58	47.67	17.2	3.15	92.82	0.14	0.0	8.31	4.09	266.78	157.63	113.62	103.66	119.85	81.25	0.0	139.53	18.64	0.0	32.13	406.3	62.5	355.28	50.23	625.26	97.84	10.9	114.63	15.04	49.23	276.51	47.99	1.47	0.0	116.37	116.75	71.0	103.59	44.7	104.76	68.22	78.54	79.17	91.98	14.45	127.22	13.96	0.0	13.96	6.53	4.12	3.15	44.68	68.04	66.98	69.57
Slc24a4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.27	0.18	0.0	0.0	0.0	95.15	0.0	133.51	0.0	0.0	52.22	0.0	0.0	0.0	0.0	0.34	0.0	0.0	6.02	0.0	2.26	0.0	0.0	0.0	3.75	0.0	0.0	0.0	0.0	0.23	0.0	10.53	0.0	100.69	35.33	30.3	34.96
Slc25a37	0.0	54.53	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.45	0.0	0.0	1.19	0.0	0.0	0.0	0.0	1.3	0.0	0.08	53.21	0.54	1.8	0.0	34.74	0.0	0.0	2.06	0.0	0.0	0.0	0.0	0.75	0.0	0.41	0.0	0.0	0.11	0.0	0.0	0.03	0.0	0.0	0.38	76.88	0.0	35.64	21.58	0.0	0.0	0.0	38.46	0.0	0.0	0.09	9.05	3.02	2.09	2.71	1.65	4.34	5.06	25.79	0.0	0.0	23.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	22.03	23.41
Slc6a20b	0.0	0.0	0.0	0.0	0.0	0.0	2.84	0.0	0.0	0.0	11.14	20.83	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.0	1.49	0.11	0.01	0.01	0.0	6.72	0.0	0.0	0.0	0.0	0.08	0.65	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	1.91	0.0	52.06	0.0	0.15	2.28	0.0	0.47	0.23	0.0	0.0	6.9	0.43	3.37	0.18	0.31	0.0	8.9	0.06	0.11	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.08	0.12	0.02	0.09
Smad1	0.0	0.0	18.92	24.04	0.0	0.0	1.19	19.46	15.88	0.0	18.39	1.62	0.0	1.36	0.0	1.41	17.95	0.11	2.66	0.0	0.78	0.81	2.33	0.65	0.0	7.16	0.0	1.02	0.26	0.0	0.73	3.44	0.13	44.41	0.75	1.31	0.0	0.0	8.51	0.0	1.9	0.55	4.99	2.44	1.23	65.03	0.6	21.46	4.08	3.6	0.0	0.0	1.22	2.1	154.59	7.91	4.22	2.54	7.64	2.7	1.05	1.42	9.56	15.54	51.93	1.62	0.1	0.0	17.44	0.0	1.15	3.88	34.43	32.19	19.57	20.17	16.76
Snora78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.75	19.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	0.76	0.84
Snrnp40	0.0	0.0	0.0	0.0	0.0	0.0	10.5	17.24	64.52	6.21	57.86	7.13	0.0	40.83	0.0	6.74	23.19	0.41	0.0	0.0	0.0	0.23	42.7	110.29	0.0	0.0	0.0	103.11	0.0	0.0	0.0	26.32	0.0	0.45	0.0	0.11	0.0	128.67	48.11	0.0	0.0	0.0	0.0	50.69	53.2	129.11	0.0	8.08	63.44	0.0	33.9	0.0	3.19	0.0	0.0	24.76	9.39	24.47	16.0	19.48	36.96	10.37	25.55	0.0	41.08	0.0	49.28	0.0	0.0	0.0	0.0	41.63	0.0	0.0	28.11	27.08	24.81
Spats2l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.15	0.0	0.0	0.0	0.0	0.0	0.14	0.0	46.12	0.0	0.0	0.0	1.84	15.56	6.19	0.0	68.72	3.48	0.0	33.84	0.0	2.39	2.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8	0.61	34.25	0.0	0.0	11.15	0.0	0.0	0.0	0.0	0.0	0.0	4.5	15.46	15.95	14.34
Srp72	0.0	25.35	86.1	0.0	0.0	81.78	55.17	77.98	67.81	88.78	50.61	82.52	0.0	39.24	117.28	82.73	68.58	96.67	41.35	212.79	111.46	31.22	77.27	99.52	0.2	57.95	1.18	81.98	0.0	74.84	94.81	56.0	164.04	93.36	1.0	103.17	0.0	169.53	70.41	68.59	41.77	49.21	31.46	20.42	143.83	308.55	34.56	106.97	53.15	89.62	70.87	163.16	105.32	119.28	0.0	118.99	92.06	125.01	91.41	68.56	77.1	82.45	52.13	53.34	16.29	62.71	58.45	76.24	98.15	0.07	180.86	6.96	27.23	91.46	63.66	65.22	63.9
St6galnac2	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.87	0.0	0.0	0.0	4.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.73	4.23	4.48
Trim43a	0.22	0.0	0.0	0.0	0.0	0.0	1.33	3.05	0.0	1.07	0.71	0.0	0.0	0.94	0.72	0.0	0.2	0.0	1.16	0.77	0.76	0.94	0.29	0.67	0.19	0.18	0.17	0.0	0.0	0.0	0.0	0.1	0.5	0.2	0.9	0.7	0.0	0.93	0.26	0.15	0.31	0.56	0.72	0.0	7.84	11.56	0.75	0.0	1.6	0.59	0.74	1.46	2.23	0.31	3.84	1.66	15.7	0.34	0.88	0.6	0.38	0.47	0.58	0.71	0.2	0.48	0.65	1.47	0.31	0.4	0.48	0.17	0.0	0.0	1.43	1.01	1.06
Tsga14	0.0	0.0	0.0	0.0	0.0	0.0	35.81	0.0	32.18	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	30.04	0.0	0.0	0.0	0.0	0.1	0.0	0.0	38.61	0.0	0.0	0.0	0.0	32.16	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	0.0	0.0	72.95	0.0	0.14	0.0	0.0	0.0	0.0	2.02	0.0	0.0	7.63	0.21	1.61	6.47	4.33	7.27	8.09	3.99	0.0	0.0	1.37	0.0	0.2	0.0	0.0	0.0	2.96	0.0	1.32	4.77	5.16	5.59
Tyw3	0.0	0.0	0.49	0.11	0.21	1.0	54.72	0.67	8.28	0.22	13.78	0.57	0.0	0.33	47.97	7.22	0.23	0.15	8.41	0.11	41.71	0.3	7.09	44.51	0.07	0.22	0.0	0.26	0.73	0.0	0.06	0.0	0.09	0.25	0.29	0.28	0.18	2.04	0.07	0.17	18.53	0.1	0.72	0.0	62.94	22.21	0.0	0.3	0.0	25.69	18.18	7.11	0.47	5.14	0.12	12.0	2.25	4.46	14.22	8.06	3.82	13.37	9.63	2.66	0.08	0.07	0.21	0.45	0.26	0.06	0.31	0.17	0.0	0.06	7.37	7.5	6.98
Unc13a	0.15	4.79	23.19	0.0	0.0	2.04	8.13	27.54	7.0	2.73	3.79	4.68	0.0	2.31	0.64	3.92	6.95	2.74	4.1	4.19	6.19	6.07	5.22	4.68	4.08	14.67	5.94	3.82	15.61	3.02	16.32	7.44	5.88	3.83	2.85	3.4	0.0	6.16	2.76	0.92	3.97	6.7	2.34	11.33	6.65	5.37	10.89	12.73	8.79	15.36	4.23	12.05	39.64	26.12	18.24	7.78	8.82	8.33	7.02	7.86	14.04	5.16	12.99	4.77	4.51	6.14	2.3	5.6	3.5	1.58	0.93	3.32	1.25	2.75	173.28	162.24	184.32
Vhl	0.0	0.0	0.0	0.0	0.0	0.0	77.24	18.52	50.21	4.75	3.66	56.92	0.0	0.0	9.87	65.78	0.0	0.0	0.17	71.55	0.0	4.91	88.82	78.6	0.0	57.43	0.0	105.39	0.0	0.0	0.0	0.0	7.48	0.0	0.12	0.19	0.0	59.39	0.0	0.0	0.1	0.05	0.0	0.1	87.48	198.12	43.62	0.0	63.7	131.52	0.11	0.79	3.65	0.0	0.0	32.77	7.21	28.85	42.94	40.45	9.77	15.42	32.69	0.0	20.13	0.0	0.0	0.0	0.0	1.76	14.67	0.0	58.23	0.0	43.35	44.91	42.76
Wnk2	0.61	0.0	9.47	0.0	0.0	7.71	8.53	7.22	9.36	6.38	6.43	6.01	0.0	6.87	7.82	0.47	3.64	0.67	32.49	5.29	3.2	2.58	0.74	3.74	0.0	3.03	0.0	3.31	0.0	0.0	0.04	0.04	1.73	0.05	1.08	4.36	0.0	11.31	0.0	0.0	0.91	18.1	12.38	30.08	6.09	11.91	0.0	17.76	4.86	1.26	11.26	4.52	13.76	4.62	0.0	4.13	4.97	6.1	4.69	3.81	3.17	4.81	6.22	1.16	3.55	4.79	1.29	0.81	0.0	1.87	0.0	5.81	0.0	3.84	49.56	48.86	56.38
Zfp934	0.0	1.69	6.26	0.0	0.0	0.0	0.0	0.83	0.0	9.55	0.44	0.65	0.0	0.78	0.0	0.69	0.0	0.0	0.8	0.24	1.76	0.33	3.65	0.0	0.0	92.22	0.0	0.0	23.13	0.0	0.0	0.79	120.96	0.2	0.0	2.0	0.0	0.0	8.14	1.3	0.0	0.0	3.29	0.0	4.32	161.82	0.17	22.06	4.64	19.87	1.54	0.0	65.3	0.86	0.0	14.64	24.06	19.42	26.28	1.21	19.58	3.42	16.07	2.03	1.2	78.53	0.28	0.47	0.25	103.51	0.85	3.08	0.27	7.42	2.3	2.07	2.14
