	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_5	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_101	Cux2_tdTnegative_cell_14	Nr5a1_tdTpositive_cell_36	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_36	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_91	Rbp4_tdTpositive_cell_130	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_41	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTpositive_cell_71	Scnn1a.Tg3_tdTpositive_cell_104	Scnn1a.Tg3_tdTpositive_cell_108	Scnn1a.Tg3_tdTpositive_cell_110	Slc17a6_tdTpositive_cell_11	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_83	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42
Gm17821	406.51	69.14	191.69	282.21	276.5	449.24	156.13	307.75	173.47	313.27	149.0	184.79	175.76	241.21	194.43	98.6	237.6	103.88	156.19	195.4	104.06	143.82	66.93	133.86	111.71	123.92	157.6	262.08	14.67	326.11	167.83	293.73	374.87	277.94	434.88	443.13	373.52	476.64	565.46	630.24	679.51	449.8	245.88	254.59	334.78	224.0	145.18	102.57	204.52	179.05	192.08	224.11	252.87	169.74	210.71	129.34	128.38	190.32	242.77	167.83	525.86	123.33	165.14	135.52	173.73	217.21	163.36	69.39	102.37	195.83	268.75	231.28	218.27	310.97
Gm6300	114.49	17.29	77.46	95.66	100.41	183.94	62.23	138.13	69.77	106.85	41.93	45.45	79.16	98.49	84.62	33.82	95.88	35.82	41.5	47.67	29.97	60.08	23.97	30.84	27.78	55.01	46.11	101.14	9.94	131.82	60.98	98.27	139.48	105.07	162.99	151.18	147.25	234.12	219.71	267.43	312.06	149.57	62.33	97.51	121.9	70.91	51.88	32.44	69.86	60.94	60.45	84.78	81.81	52.42	69.06	40.62	38.87	63.47	90.01	57.96	236.28	23.84	40.7	28.24	62.14	49.7	36.22	25.82	32.4	71.83	88.84	101.78	86.59	111.35
Gm7334	0.0	0.16	0.89	0.56	36.37	0.0	49.46	172.08	65.14	0.0	0.0	0.29	7.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.06	0.2	0.0	0.0	0.26	0.0	0.0	0.0	69.95	88.69	62.19	149.73	100.23	110.04	20.99	128.71	115.3	82.25	64.93	195.55	235.58	106.03	0.0	78.58	83.46	0.0	0.0	6.95	19.95	8.45	7.46	23.55	12.05	0.0	18.91	15.95	59.51	1.84	21.07	58.7	0.0	0.0	0.0	32.12	0.0	0.0	21.7	0.0	0.0	132.91	44.09	87.28	0.0
Grk4	593.54	76.53	363.41	528.05	440.56	714.44	245.44	557.31	320.19	623.54	210.5	262.61	283.58	457.99	261.84	132.9	333.91	159.08	269.31	336.78	173.69	198.73	106.36	242.45	178.26	137.47	310.39	520.88	16.44	644.1	230.02	499.88	654.22	470.83	778.35	850.92	634.38	683.73	1126.7	1000.68	1117.19	718.7	399.98	450.88	561.14	384.48	231.59	207.41	311.96	282.14	292.68	370.98	391.72	272.43	331.88	184.38	185.43	287.61	374.1	251.85	883.03	197.62	320.29	230.56	289.09	295.8	248.39	121.94	60.7	267.27	428.75	356.59	347.06	543.86
H2-Q4	109.51	20.49	89.42	85.8	148.93	94.2	89.62	179.68	115.78	168.45	85.51	71.46	132.61	109.71	105.8	55.1	74.27	28.36	52.87	70.2	39.94	81.87	37.55	40.61	52.69	63.88	48.21	83.26	0.0	117.69	94.52	127.76	169.41	65.2	174.34	128.77	103.45	266.46	139.68	167.95	178.01	144.28	134.27	119.54	152.17	97.93	65.89	66.04	101.99	99.16	94.67	115.14	115.24	81.12	88.84	95.81	78.99	65.88	140.61	41.61	184.12	55.56	45.85	83.09	63.38	98.83	33.35	32.67	70.23	90.54	104.32	141.92	117.6	134.33
Il2ra	0.7	0.25	0.92	1.92	2.36	0.89	0.42	2.58	0.87	2.37	1.11	1.63	1.03	0.18	0.3	0.0	1.12	1.38	0.77	1.62	0.7	0.88	0.14	0.26	0.94	0.93	1.19	1.84	0.0	1.2	1.16	1.76	1.61	0.84	2.65	1.2	1.08	2.95	1.16	2.67	2.27	3.89	0.65	1.72	0.91	0.56	0.71	0.51	1.23	0.32	0.43	1.11	1.16	0.44	0.96	0.44	0.32	2.0	1.66	1.26	1.96	0.31	0.87	0.38	0.96	0.96	0.36	0.13	0.72	0.09	0.31	0.95	0.89	1.79
Irf2bp2	7.36	0.51	4.56	0.0	0.19	0.0	0.33	1.5	1.27	6.47	5.78	9.4	8.36	7.57	0.63	8.14	0.0	1.67	0.0	4.05	10.25	0.17	52.2	3.14	26.64	0.23	57.26	0.0	0.0	7.43	2.7	11.05	8.88	5.34	20.62	8.62	0.28	91.16	33.51	1.39	17.87	94.68	10.79	7.65	10.88	14.83	0.0	36.79	6.37	11.67	7.17	3.02	11.68	5.03	4.37	8.06	7.9	4.87	0.0	5.85	0.0	16.69	6.25	0.11	41.06	0.1	4.92	2.95	36.86	61.66	3.13	23.71	57.11	0.49
Itga4	3.23	1.31	6.76	17.91	8.52	23.48	58.17	12.11	7.52	14.53	17.94	8.65	7.33	6.78	4.98	4.69	7.42	3.82	4.47	6.3	4.51	5.53	2.34	2.0	4.72	4.05	7.14	8.15	0.0	8.33	5.0	11.24	12.98	9.92	48.72	69.49	14.98	10.16	52.13	21.45	15.18	18.68	7.14	10.52	13.74	27.19	6.09	1.16	5.55	5.15	5.01	6.41	6.72	4.25	5.59	4.27	4.4	7.85	16.13	5.96	16.89	2.1	2.72	1.53	4.54	2.48	5.24	2.27	5.8	6.22	7.42	6.32	7.89	5.63
Kcnma1	54.5	66.22	179.99	28.17	66.28	0.0	40.18	3.37	127.67	49.64	56.54	44.4	52.15	25.07	124.95	36.52	37.71	66.31	121.15	44.14	52.37	109.56	34.7	80.39	59.19	47.78	9.59	5.94	41.71	58.54	42.82	22.37	82.88	3.91	140.41	100.2	39.32	285.79	442.75	5.88	189.49	275.61	101.4	60.58	81.49	49.65	7.49	0.26	39.9	77.57	44.48	65.37	77.65	90.5	49.57	52.63	54.7	33.69	67.23	23.66	79.98	95.82	3.12	86.72	106.36	34.58	240.41	30.04	99.43	71.74	0.6	18.25	94.48	82.01
Kcnq1ot1	115.29	11.9	43.75	63.93	71.79	144.63	39.03	79.14	55.31	91.44	35.92	40.19	38.35	67.5	43.58	23.24	54.4	22.82	38.58	43.62	34.73	36.17	14.61	26.65	22.81	25.11	41.83	70.06	3.59	85.39	40.53	73.75	96.97	66.29	131.2	124.37	94.63	96.95	163.63	153.94	188.82	88.9	58.66	61.97	88.92	51.64	36.51	28.54	49.04	44.88	45.93	55.82	62.3	40.52	49.06	28.81	28.01	47.49	58.19	41.07	140.97	32.73	53.73	29.16	43.27	47.0	38.76	28.83	23.14	40.44	72.65	58.62	57.12	69.95
Kndc1	0.0	0.0	8.98	19.99	0.41	0.0	0.0	3.28	0.0	0.0	5.13	0.0	18.34	0.0	0.0	0.0	0.26	1.57	0.0	2.98	0.48	0.0	0.76	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.05	3.79	0.26	3.19	61.83	6.43	5.08	85.27	1.75	18.76	0.0	77.96	2.34	0.0	0.0	0.0	0.07	12.03	0.19	3.39	1.32	4.3	2.67	5.72	4.7	1.91	1.55	9.38	0.0	0.23	0.01	1.5	0.0	0.0	7.44	0.0	0.0	0.0	0.0	0.0	2.22	0.0	5.93	0.0
Leprotl1	23.98	57.18	17.95	2.76	216.6	0.62	7.31	180.57	0.12	0.0	90.9	0.89	0.0	7.88	49.8	75.66	3.88	3.55	17.81	0.0	71.17	18.07	8.0	0.0	0.0	63.06	42.34	40.12	37.63	44.45	66.98	38.21	24.71	1.05	135.27	148.38	122.02	0.0	149.7	9.27	47.01	488.76	6.7	229.62	19.57	6.63	1.61	0.12	43.17	37.58	26.73	75.06	31.78	29.38	77.77	51.05	47.07	31.75	4.2	18.78	0.0	0.0	23.66	48.07	0.11	0.0	14.6	37.48	182.28	0.1	55.6	164.86	78.48	120.39
Lingo1	35.7	7.65	154.46	107.34	119.93	0.24	365.39	33.29	27.62	115.84	6.81	50.08	12.52	0.0	16.46	2.98	58.87	0.49	45.83	0.7	1.38	77.19	16.96	0.6	0.0	0.64	12.21	14.81	0.0	3.29	0.88	24.63	80.92	147.78	107.25	164.22	201.86	63.23	121.39	13.37	142.94	104.47	0.0	80.99	62.14	44.31	21.38	0.0	20.82	14.72	24.7	28.57	27.03	15.91	18.14	10.64	12.29	5.26	19.55	17.33	34.38	0.6	93.19	0.07	0.25	0.0	27.03	9.29	0.0	12.71	10.59	0.66	32.96	0.68
Mapt	130.14	160.59	99.84	334.35	159.89	48.94	76.92	202.44	112.13	176.01	45.75	93.01	108.67	112.54	65.37	59.05	118.02	65.36	47.64	120.12	7.73	115.06	57.75	217.31	59.35	87.21	81.71	99.28	7.23	55.02	60.66	27.65	71.76	27.8	134.98	246.45	191.6	236.08	238.84	33.47	107.26	290.23	75.59	22.46	132.2	73.83	21.34	73.83	119.97	75.68	91.5	79.2	102.12	88.6	112.37	77.92	100.77	115.67	56.86	86.84	216.29	41.54	153.81	44.68	36.64	10.2	73.5	50.54	208.98	58.17	103.24	34.33	77.69	78.52
Mll2	32.88	19.59	24.21	15.41	32.34	21.46	23.27	27.37	27.13	42.85	16.75	19.82	21.66	31.26	22.07	15.12	15.96	22.78	14.18	24.87	16.08	13.21	29.85	14.06	16.22	22.1	19.08	17.89	12.19	18.79	26.59	35.95	12.2	21.74	26.24	41.24	33.35	76.08	24.95	30.99	37.57	68.8	47.94	29.03	36.29	26.54	18.05	13.35	22.87	24.93	21.89	22.64	25.22	15.25	22.69	31.79	33.51	22.59	39.54	19.26	23.78	27.56	2.93	28.12	17.59	5.9	14.7	19.86	10.63	11.17	25.29	18.95	34.02	33.86
Myoz3	1.68	0.87	2.12	3.34	2.78	1.67	2.08	3.49	2.4	1.79	1.51	1.22	1.45	1.77	1.06	1.04	1.27	0.8	0.37	0.69	0.84	1.12	2.86	2.12	1.14	0.84	0.88	0.92	0.0	1.8	1.35	1.71	2.3	1.72	2.26	6.37	2.26	12.72	4.72	2.46	7.18	10.52	2.92	0.72	0.47	1.94	1.16	2.77	1.39	1.06	1.02	1.04	2.02	0.91	1.58	1.89	1.61	1.59	2.06	0.86	0.99	0.61	1.12	0.79	0.88	0.52	0.78	1.09	0.81	1.15	0.98	1.83	0.54	1.73
Ncdn	16.85	5.25	50.82	21.27	21.25	0.0	11.97	5.71	11.86	14.12	0.11	51.72	11.64	31.6	26.17	16.53	40.06	9.84	3.29	37.06	11.46	0.21	24.08	0.0	31.33	60.24	8.55	6.58	17.81	52.13	19.04	32.9	23.66	27.01	186.93	150.11	0.69	284.1	135.1	47.95	137.93	253.29	16.0	30.03	16.97	20.43	3.63	3.45	14.05	24.24	16.45	31.75	25.04	19.75	28.78	15.26	17.58	7.46	14.0	9.0	39.29	0.0	17.01	13.44	0.4	0.0	79.71	13.22	0.0	7.04	49.77	0.0	46.32	6.23
Ncf1	1.35	0.26	2.02	2.21	1.88	3.07	1.66	5.03	1.64	3.95	3.29	2.95	2.22	4.62	1.6	0.12	2.26	1.96	1.63	2.15	1.72	1.31	0.9	1.23	1.95	2.69	2.48	5.68	0.01	5.07	3.87	4.66	4.85	3.56	7.61	4.39	6.67	8.14	4.84	6.89	6.03	8.12	1.68	1.8	1.41	1.9	1.72	1.92	1.34	0.88	2.03	2.14	1.7	1.92	1.94	1.41	1.13	1.11	2.7	3.43	4.31	0.42	0.8	1.76	1.19	2.74	0.56	2.46	1.01	1.48	2.29	1.92	1.81	2.05
Ncoa1	32.63	20.45	47.9	21.92	43.88	0.0	38.03	52.12	44.34	104.63	16.09	103.57	12.81	36.45	12.77	44.01	92.06	41.21	91.42	81.58	37.06	29.57	10.87	108.6	32.52	11.74	14.01	18.09	45.57	67.63	38.83	55.16	36.24	9.13	35.65	48.16	90.35	184.06	23.15	10.59	47.34	150.5	50.26	63.41	46.27	35.65	36.82	52.81	45.81	42.64	44.77	45.21	54.79	28.86	45.28	31.04	27.67	40.49	53.67	16.7	70.97	40.77	51.61	9.94	46.96	0.36	11.01	1.36	56.95	26.52	49.33	60.82	71.66	46.68
Ndufb2	47.35	117.9	212.59	0.0	61.71	17.47	273.29	168.55	183.69	76.71	143.44	2.82	25.56	115.39	89.08	137.14	110.56	39.24	199.76	103.26	17.49	155.1	111.83	0.0	3.3	59.45	5.66	208.85	231.74	304.18	23.23	426.9	432.23	308.79	18.81	92.8	252.63	427.94	234.61	283.65	179.51	427.14	349.93	199.61	4.14	146.71	82.03	15.05	86.0	149.45	114.37	157.31	180.75	115.22	98.52	100.01	111.01	6.36	433.36	36.96	133.24	0.7	40.38	20.79	0.0	16.31	0.0	98.36	57.01	19.69	12.0	231.86	69.16	148.54
Npcd	19.89	69.47	202.85	80.87	39.12	0.0	49.52	28.61	78.65	53.64	50.12	60.69	1.38	0.0	0.0	0.59	5.38	25.77	0.0	23.4	26.75	39.57	0.06	35.29	6.53	0.0	0.07	0.0	0.16	0.0	5.74	18.85	40.83	8.75	219.0	136.95	196.06	34.86	35.08	35.69	249.14	176.3	15.1	54.61	0.0	35.09	0.0	0.09	7.26	2.73	6.88	0.0	2.28	1.66	3.74	5.21	4.64	0.0	110.22	3.59	0.22	0.0	0.0	8.64	38.19	2.86	0.0	0.57	39.01	20.09	13.29	3.98	0.79	3.49
Npy1r	0.44	2.55	93.81	5.71	172.11	0.59	3.8	77.88	93.75	155.36	35.43	26.18	3.48	3.58	4.85	2.56	3.11	5.27	2.3	20.99	5.64	6.37	0.88	2.49	1.48	8.03	3.02	5.42	0.77	4.09	3.25	36.0	23.3	4.17	9.06	32.8	3.75	416.84	10.21	294.51	26.68	29.08	5.01	142.49	1.46	109.79	9.56	2.55	25.07	16.46	16.26	16.82	22.55	12.48	15.12	19.6	27.64	4.15	5.42	4.61	9.17	4.4	2.19	2.29	7.36	2.68	6.59	0.52	1.87	53.59	5.2	3.48	132.92	24.89
Nsg2	225.42	196.94	77.43	128.79	74.15	32.0	273.36	245.22	129.16	96.69	177.59	321.46	118.24	20.87	12.76	56.14	102.19	70.24	124.94	45.36	19.17	6.5	146.61	179.75	107.6	17.96	96.76	220.08	4.38	93.56	145.53	150.07	154.65	87.75	328.57	303.87	186.88	533.1	139.79	55.28	202.93	582.97	70.51	118.26	83.74	99.07	109.78	0.29	88.58	74.09	92.25	43.79	67.22	63.2	46.52	50.1	55.69	41.06	26.47	134.45	134.15	206.37	52.6	70.47	43.52	442.71	39.77	136.09	116.33	160.43	281.33	35.5	24.56	122.15
Olfr613	109.06	28.03	68.62	69.68	101.05	65.96	64.87	118.84	80.56	134.46	43.38	43.39	68.18	75.8	61.59	19.04	71.81	40.42	62.58	53.95	29.84	39.31	16.47	30.84	37.52	38.78	51.97	88.14	0.0	91.99	65.47	100.61	165.25	93.41	138.79	117.14	95.01	87.49	127.69	163.34	170.27	160.89	95.98	87.33	118.76	81.55	47.69	52.68	74.68	75.3	86.16	89.51	82.91	64.53	74.64	61.89	58.66	43.9	78.48	57.76	230.03	14.96	40.1	53.1	55.42	79.16	56.59	20.84	45.21	93.28	69.42	116.54	120.48	81.99
Pik3r1	72.26	58.78	36.55	115.97	60.99	86.04	26.72	72.97	83.68	158.21	4.44	94.01	0.07	38.11	30.81	9.17	11.91	41.04	0.06	0.93	3.08	43.99	70.7	24.51	23.1	28.69	76.89	15.53	12.33	23.62	37.83	25.62	40.87	40.36	114.28	164.17	157.72	98.95	530.8	2.86	17.71	282.44	0.0	19.7	0.0	3.08	32.91	0.77	47.04	31.76	17.59	54.15	74.7	49.23	52.02	54.18	54.03	6.67	0.19	31.01	70.79	77.94	61.89	11.97	52.94	8.79	148.49	7.84	97.33	77.0	56.71	72.15	110.32	76.33
Prosapip1	67.59	0.47	52.32	55.03	84.96	53.79	14.17	2.23	6.15	59.33	7.79	54.19	0.47	61.73	27.82	47.24	23.74	23.62	37.05	22.72	37.81	19.59	5.19	4.82	30.31	69.54	14.33	1.54	0.16	29.28	13.6	16.9	11.8	3.24	85.44	175.89	30.15	175.57	136.62	2.38	109.18	127.22	1.92	39.42	3.96	10.93	0.98	1.18	11.18	12.15	18.4	14.53	17.35	10.08	22.16	14.81	21.7	0.87	1.03	1.16	19.31	66.05	0.7	14.1	44.18	1.18	1.2	24.53	38.73	23.37	11.36	1.64	34.99	81.86
Rbfox3	89.89	55.38	90.83	7.9	147.51	28.04	29.34	54.53	45.95	77.45	34.53	30.04	63.09	47.66	39.03	16.16	32.5	35.76	39.36	14.24	10.74	12.23	62.99	6.52	18.76	7.01	12.97	14.43	63.77	17.88	19.54	23.13	11.22	40.86	63.68	184.68	94.63	341.53	14.51	38.65	82.32	271.85	15.25	4.35	27.12	65.27	19.58	11.2	26.28	33.87	40.84	33.93	25.86	22.48	37.44	34.55	34.4	20.85	11.72	23.26	5.14	30.77	126.13	14.77	108.92	38.27	24.82	12.75	10.49	35.11	35.37	56.01	31.42	26.37
Rnf144b	3.21	0.0	4.03	2.35	3.3	0.0	0.0	0.0	10.97	1.91	3.86	3.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	6.81	0.0	0.0	2.02	13.39	3.35	2.74	45.69	1.96	62.53	10.85	0.0	42.96	62.26	0.0	0.14	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.2	0.25	0.0	0.0	0.0	0.0	0.56	0.15	0.06	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.45	0.07	0.0	0.0	0.0
Rraga	180.18	7.31	103.17	3.51	87.97	33.28	52.35	160.79	39.94	97.91	36.45	84.0	100.13	105.81	105.54	53.06	77.53	27.15	345.53	49.18	21.06	28.9	37.87	0.0	6.61	5.32	45.09	111.49	27.88	33.95	72.6	156.9	278.94	177.3	193.62	208.34	217.92	512.62	506.46	0.12	129.92	333.68	142.03	171.29	15.49	33.14	108.8	7.29	100.48	88.26	57.64	73.37	89.71	38.22	82.94	64.41	69.59	124.6	6.39	36.19	69.32	0.36	100.94	0.0	106.99	21.09	35.65	148.17	0.0	82.69	94.8	219.61	36.41	22.5
Skint4	10.67	5.04	10.32	12.81	12.78	25.24	6.65	15.82	8.45	7.61	5.31	7.29	6.37	8.02	6.65	0.53	9.7	4.8	7.06	6.74	4.09	6.53	1.47	5.87	2.75	4.69	4.89	9.12	0.27	13.5	9.76	13.53	14.25	10.81	22.92	24.28	11.2	6.74	26.71	25.53	32.43	13.65	8.09	12.18	9.93	8.61	6.11	1.6	6.95	4.09	5.41	8.49	9.01	5.66	6.01	3.31	3.97	8.92	9.36	5.88	17.78	6.12	4.01	1.5	3.9	4.15	4.18	2.86	3.76	9.84	12.61	7.48	6.44	14.76
Sncb	153.44	110.48	62.94	190.1	115.57	33.88	79.87	95.35	72.6	211.32	49.37	73.74	25.0	98.54	47.5	33.95	106.89	58.11	120.67	75.17	130.73	144.22	120.65	64.35	116.72	198.87	68.87	130.63	57.07	164.01	125.85	182.03	146.64	127.44	286.53	194.59	243.69	402.28	275.88	82.6	204.84	167.45	157.45	240.5	39.81	236.99	76.03	29.96	124.34	117.67	115.89	125.46	111.83	164.94	136.78	88.78	83.91	68.23	140.89	94.56	42.25	26.65	36.25	15.73	12.74	31.49	12.36	31.6	45.08	38.19	85.54	52.64	119.78	32.05
Snx5	12.2	0.0	39.13	0.0	71.18	83.02	0.0	6.3	19.96	0.0	0.42	0.0	28.73	77.73	0.0	0.0	0.07	0.0	6.5	49.54	4.74	30.41	7.03	69.18	0.11	86.34	0.0	44.41	0.0	0.0	31.64	33.29	45.95	0.06	45.66	98.66	18.26	290.55	152.88	0.08	0.0	251.17	0.0	72.75	0.0	26.01	108.05	0.27	20.32	26.73	19.08	15.18	1.9	9.85	53.3	18.98	14.4	59.96	10.3	43.08	0.0	115.52	63.2	5.69	0.0	0.0	15.89	78.67	0.0	0.0	131.15	0.0	55.47	116.52
Sprr2a1	0.18	0.0	0.4	0.0	0.06	0.0	0.0	0.21	0.0	0.0	0.03	0.11	0.17	0.33	0.6	0.0	0.29	0.02	0.0	0.22	0.0	0.11	0.04	0.0	0.61	0.0	0.91	0.59	0.0	0.28	0.0	0.46	0.73	0.06	1.8	0.29	1.85	1.18	0.14	0.69	0.52	2.52	0.09	0.0	0.0	0.0	0.08	0.14	0.1	0.22	0.04	0.08	0.28	0.07	0.2	0.05	0.1	0.15	0.67	0.21	0.15	0.14	0.31	0.43	0.0	1.17	0.0	0.0	0.0	0.0	0.53	0.27	0.18	2.36
Sprr2a2	0.18	0.0	0.4	0.0	0.06	0.0	0.0	0.21	0.0	0.0	0.03	0.11	0.17	0.33	0.6	0.0	0.29	0.02	0.0	0.22	0.0	0.11	0.04	0.0	0.61	0.0	0.91	0.59	0.0	0.28	0.0	0.46	0.73	0.06	1.8	0.29	1.85	1.18	0.14	0.69	0.52	2.52	0.09	0.0	0.0	0.0	0.08	0.14	0.1	0.22	0.04	0.08	0.28	0.07	0.2	0.05	0.1	0.15	0.67	0.21	0.15	0.14	0.31	0.43	0.0	1.17	0.0	0.0	0.0	0.0	0.53	0.27	0.18	2.36
Tnfrsf13c	0.0	0.0	0.81	0.15	0.07	0.42	0.0	0.0	0.0	0.94	0.12	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.31	0.0	0.76	0.39	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.19	0.37	0.13	1.47	0.8	0.8	1.82	0.0	1.1	0.0	1.16	0.45	0.0	0.0	0.0	0.0	0.07	0.29	0.0	0.15	0.0	0.0	0.0	8.1	0.0	0.0	0.99	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.19	0.0	0.37	0.0	0.29
Trim36	3.92	2.62	4.54	9.99	7.42	7.0	3.79	10.88	4.85	10.21	5.21	8.58	7.39	5.56	5.39	1.91	4.48	3.81	2.59	3.95	3.24	2.83	2.74	4.43	2.45	2.88	2.28	5.78	0.0	8.89	3.56	8.55	10.8	7.37	7.48	9.4	9.4	15.77	10.38	14.92	7.98	16.19	9.02	7.56	9.22	5.29	3.79	2.54	5.76	5.43	6.38	5.76	5.66	4.23	4.73	4.4	5.0	3.82	7.26	4.36	11.65	4.61	1.21	4.81	5.31	5.39	3.73	2.35	2.77	5.41	8.29	8.53	3.91	8.56
Vamp2	59.71	300.24	349.2	176.03	51.82	7.69	55.44	34.94	200.28	65.9	80.95	87.09	66.61	49.29	203.76	39.74	47.4	73.74	61.25	18.13	17.54	85.51	76.42	129.08	209.91	90.85	287.12	181.82	92.67	57.13	161.67	114.81	187.99	55.64	688.94	603.75	63.21	914.58	552.15	3.47	818.85	973.01	156.97	203.67	260.04	115.28	12.57	89.65	132.16	76.37	92.12	149.36	139.02	106.41	79.4	112.95	117.5	15.27	31.04	45.73	159.53	216.08	85.29	263.57	71.32	153.04	136.77	339.18	162.36	126.65	241.68	244.44	100.25	0.21
Vmn2r55	3.92	0.8	1.57	3.37	2.04	1.01	0.6	2.6	0.91	2.04	3.41	1.31	0.83	0.54	0.48	0.42	1.36	0.83	0.28	1.93	0.65	0.17	0.23	0.39	1.07	0.3	0.71	1.5	0.0	2.15	1.69	2.5	3.24	1.54	6.15	6.21	3.31	10.7	3.35	6.18	5.55	5.91	2.06	1.72	4.34	2.42	0.66	1.22	3.19	0.77	0.71	0.92	1.85	0.75	1.31	0.75	1.32	1.47	1.51	0.38	1.76	0.82	1.14	0.3	0.51	1.49	1.3	0.31	0.0	0.58	2.18	0.65	1.68	2.72
Zfp488	318.83	94.64	231.2	289.48	295.76	423.38	175.79	413.91	231.44	425.05	132.16	146.38	219.83	270.46	250.03	117.41	203.59	145.03	210.91	215.26	120.24	104.31	51.28	99.48	105.61	158.79	123.86	272.47	5.44	319.41	199.67	347.17	400.95	309.57	412.08	423.79	324.9	452.67	615.16	530.48	510.55	342.75	319.88	294.86	399.6	277.44	145.3	117.4	263.87	267.1	230.07	279.63	265.75	189.08	233.53	191.34	174.64	192.52	304.08	185.68	770.08	35.19	136.85	189.76	203.03	213.54	134.33	78.85	228.21	322.67	217.2	438.74	264.62	295.84
Zfp71-rs1	114.15	41.35	101.55	87.44	73.09	142.18	34.77	118.84	68.9	105.83	38.11	57.29	47.43	70.45	67.16	27.5	73.97	35.18	57.07	84.4	30.39	36.64	17.53	42.25	25.86	25.29	47.65	108.4	0.36	104.57	43.97	97.95	105.32	115.49	150.37	160.43	105.16	110.96	239.36	251.24	231.11	121.25	65.8	126.98	105.53	112.08	42.22	43.67	53.83	45.21	55.64	70.79	80.46	49.8	55.37	37.99	36.79	45.97	109.68	47.65	257.44	28.95	64.2	35.68	46.67	51.87	44.15	17.09	18.87	76.58	77.59	57.93	72.54	97.02
Zfp711	0.0	0.0	0.0	0.09	0.0	0.0	0.0	24.01	0.0	10.04	1.57	2.81	0.0	29.97	45.45	0.0	0.0	0.0	84.43	43.43	0.0	60.29	0.0	0.06	0.06	0.0	21.74	0.48	0.0	84.61	9.66	12.15	0.03	0.1	19.34	0.0	0.0	123.54	0.0	0.0	0.0	80.7	0.88	0.0	31.27	0.0	0.0	0.0	2.03	4.1	0.0	5.5	10.45	6.38	4.3	6.94	7.64	0.0	20.19	4.23	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	19.7	0.0	0.05
