	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_99	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_105	Cux2_tdTpositive_cell_108	Cux2_tdTpositive_cell_112	Cux2_tdTpositive_cell_121	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_42	Gad2_tdTpositive_cell_51	Htr3a_tdTpositive_cell_109	Ndnf_tdTnegative_cell_9	Nos1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_7	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_53	Ntsr1_tdTpositive_cell_54	Ntsr1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_58	Ntsr1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_60	Ntsr1_tdTpositive_cell_61	Ntsr1_tdTpositive_cell_64	Ntsr1_tdTpositive_cell_65	Ntsr1_tdTpositive_cell_67	Ntsr1_tdTpositive_cell_72	Ntsr1_tdTpositive_cell_75	Ntsr1_tdTnegative_cell_1	Ntsr1_tdTnegative_cell_7	Ntsr1_tdTnegative_cell_47	Rbp4_tdTpositive_cell_48	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_68	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_100	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_163	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_184	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_187	Slc17a6_tdTpositive_cell_4	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_11	Slc17a6_tdTpositive_cell_14	Slc17a6_tdTpositive_cell_21	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_32	Slc17a6_tdTpositive_cell_35	Slc17a6_tdTpositive_cell_40	Slc17a6_tdTpositive_cell_47	Sst_tdTpositive_cell_13	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_38	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_40	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42	CAV_LP_Ipsi_tdTpos_cell_43	CAV_VISp_Contra_tdTpos_cell_4
Etl4	4.29	49.44	23.57	2.48	1.86	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	24.78	0.0	110.11	0.0	0.0	0.0	52.64	93.63	0.04	3.5	80.49	39.23	38.55	29.65	20.58	36.95	31.77	95.43	0.2	32.62	70.46	16.45	48.59	49.64	75.4	80.15	32.1	47.84	42.81	98.35	71.7	92.94	63.03	14.87	64.91	118.03	0.77	152.87	43.65	26.86	29.1	0.0	0.06	0.0	0.0	0.0	17.17	8.64	29.05	13.64	0.0	31.24	0.18	4.82	40.94	0.0	0.0	37.01	0.0	1.33	0.0	0.22	0.87	0.11	57.91	0.0	32.49	0.0	0.86	47.99	16.56	45.69	27.23	27.31	39.33	55.32	36.13	45.13	31.16	59.21	40.97	48.59	42.24	2.06	8.94	30.82	4.42	75.13	0.0	0.13	53.66	59.4	0.66	64.07	4.17	127.29	0.0	65.72	53.24	0.07	59.82
Fam196a	70.55	0.0	0.09	9.37	0.0	35.38	88.76	0.0	0.0	0.0	0.0	1.15	40.93	13.41	0.0	0.1	0.0	37.25	0.0	0.0	0.19	0.21	74.88	235.36	172.25	0.0	40.84	127.89	40.66	0.0	0.0	0.0	3.46	50.86	169.15	59.55	20.9	23.57	39.88	0.0	49.03	2.24	0.0	58.57	0.0	130.8	115.1	0.0	62.35	0.0	0.04	108.93	0.0	0.0	23.3	38.79	39.03	4.3	69.96	0.0	0.09	0.0	46.11	0.0	0.16	32.48	29.59	0.0	0.0	0.0	14.65	0.0	44.86	62.87	42.45	0.0	37.11	0.0	0.0	29.34	0.0	67.31	58.26	63.35	73.37	26.42	64.03	21.35	46.41	58.62	55.08	28.56	42.72	39.87	35.93	0.0	121.6	0.0	23.46	0.09	2.79	122.67	0.0	0.0	0.0	64.03	0.0	135.45	0.0	11.3	72.99	43.12	0.08	34.69
Foxp2	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.08	0.15	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.04	0.12	117.02	28.42	25.77	48.55	63.33	82.85	85.35	16.17	16.09	90.98	7.76	19.64	41.27	173.95	52.96	118.15	15.9	138.98	27.49	41.28	24.2	164.24	128.83	26.9	36.43	14.61	82.41	120.88	142.54	105.02	43.93	0.0	0.0	0.0	2.13	0.0	0.0	6.75	0.0	0.0	0.07	61.58	0.08	0.09	0.02	0.0	0.04	0.0	0.0	0.09	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	34.62	0.0	0.0	36.75	48.04	27.02	63.78	29.71	62.67	64.09	27.96	55.0	30.97	73.1	59.52	53.91	27.0	44.23	56.01	68.05	6.19	0.0	34.99	66.43	23.09	50.78	0.0	115.95	55.13	88.88	0.04	46.87	27.08	116.33	0.24
Gadd45a	0.0	0.0	0.0	0.0	0.0	3.19	0.0	62.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.09	45.16	48.15	61.06	34.19	145.91	22.87	74.17	67.42	52.46	353.06	208.91	118.82	353.95	48.63	83.69	72.57	86.5	48.35	35.36	88.77	108.5	93.82	19.27	134.92	141.03	121.61	24.37	2.98	96.97	13.99	75.44	0.0	3.84	0.0	0.0	41.2	0.0	0.0	29.72	0.0	96.65	15.64	2.86	15.82	14.6	12.37	55.6	0.0	0.0	21.49	0.0	0.0	3.02	0.0	37.44	0.0	51.95	0.0	31.43	0.0	0.0	158.63	88.45	73.03	73.06	129.8	61.92	82.07	43.51	48.07	48.81	49.14	64.49	53.46	71.26	217.04	46.8	8.07	25.14	31.18	7.85	140.19	18.58	98.97	4.09	102.55	43.56	125.77	0.0	150.2	143.32	345.15	10.71
Galnt9	1.51	0.0	0.0	4.88	0.0	15.9	59.18	115.06	102.83	0.47	6.5	46.13	2.38	0.0	0.0	1.49	0.0	22.19	1.44	0.0	153.54	1.05	0.52	1.86	57.96	203.58	102.75	191.0	98.85	0.28	32.14	12.4	234.36	17.86	2.37	154.46	0.0	131.51	565.74	268.81	167.54	7.8	113.35	62.17	239.74	12.06	2.31	2.14	160.33	235.92	126.31	94.11	26.83	119.15	67.33	33.22	45.73	50.87	18.39	4.2	2.48	123.72	63.58	187.75	4.68	3.09	201.31	45.58	0.0	60.95	0.42	38.76	178.56	113.45	0.41	106.68	0.0	185.06	0.0	1.02	0.0	0.0	103.67	103.37	117.82	112.08	102.84	72.54	79.85	49.74	53.09	44.7	42.4	60.54	83.21	0.24	338.56	299.52	107.4	30.7	1.39	48.98	114.1	15.45	180.71	178.97	126.21	9.33	2.53	166.67	4.09	3.78	0.13	243.64
Garnl3	0.0	0.0	86.54	0.22	0.0	43.31	0.0	2.1	31.82	0.0	92.38	0.0	0.0	0.0	0.0	54.15	11.33	0.0	0.06	0.0	14.18	104.42	42.25	145.58	173.82	15.28	290.59	117.07	171.8	45.6	173.26	49.27	134.78	88.03	294.77	165.99	72.12	167.06	179.78	295.68	144.67	246.98	340.26	537.67	250.37	234.2	392.05	233.95	142.29	204.73	259.93	23.51	0.0	0.08	40.73	121.78	31.49	34.06	14.04	0.12	6.84	290.87	12.79	7.68	13.42	23.03	35.98	2.87	4.1	159.27	12.24	0.0	0.0	0.0	32.23	188.95	18.26	0.0	18.22	125.53	48.54	0.0	144.11	151.03	201.89	92.82	125.14	116.85	131.41	97.1	118.28	100.3	145.51	149.22	162.75	102.19	96.18	8.53	18.95	109.55	13.32	56.93	15.07	69.34	182.43	9.84	139.36	234.23	50.98	30.15	122.44	355.05	44.07	39.02
Gm13306	34.95	28.24	41.09	7.65	4.09	23.81	0.0	0.0	16.97	9.16	3.97	10.86	14.87	0.0	0.0	415.15	0.0	0.0	39.42	5.82	159.27	52.23	131.07	81.28	44.71	5.88	112.91	275.99	54.51	310.16	79.41	318.99	85.18	111.71	41.44	207.37	368.04	183.85	270.93	98.79	154.8	79.46	233.72	189.56	247.47	128.94	154.0	310.06	63.9	73.83	34.34	3.11	4.63	38.49	0.0	28.3	64.29	49.81	50.44	50.62	21.3	161.83	40.26	118.2	7.32	47.43	34.54	0.0	0.54	4.67	174.38	0.69	3.11	0.0	34.73	156.7	0.0	1.93	0.0	108.35	0.0	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98	180.33	88.07	319.12	80.83	176.84	97.07	149.77	84.31	191.16	132.48	66.02	71.07	211.91	132.15	201.41	21.24	212.54	95.77	11.63
Gm2002	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.1	0.02	0.21	0.0	0.0	0.0	0.0	11.45	0.0	0.0	0.0	0.0	21.12	0.06	0.16	0.6	0.09	0.2	0.22	0.89	0.0	0.43	0.29	4.1	0.0	3.08	0.42	0.24	0.0	19.08	2.13	0.0	0.42	0.46	0.12	0.84	0.18	0.0	0.28	0.33	0.0	15.55	0.0	0.0	0.0	0.0	0.0	0.07	0.11	0.0	0.0	0.66	0.0	0.26	1.5	0.24	1.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.06	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	4.28	1.89	0.0	0.21	0.17	27.58	0.0	0.36	0.28	0.0	0.08	0.09	0.06	0.12	19.79	0.0	0.25	0.0	9.22	0.16	0.23
Gm2506	34.95	28.24	41.09	7.65	4.09	23.81	0.0	0.0	16.97	9.16	3.97	10.86	14.87	0.0	0.0	415.15	0.0	0.0	39.42	5.82	159.27	52.23	131.07	81.28	44.71	5.88	112.91	275.99	54.51	310.16	79.41	318.99	85.18	111.71	41.44	207.37	368.04	183.85	270.93	98.79	154.8	79.46	233.72	189.56	247.47	128.94	154.0	310.06	63.9	73.83	34.34	3.11	4.63	38.49	0.0	28.3	64.29	49.81	50.44	50.62	21.3	161.83	40.26	118.2	7.32	47.43	34.54	0.0	0.54	4.67	174.38	0.69	3.11	0.0	34.73	156.7	0.0	1.93	0.0	108.35	0.0	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98	180.33	88.07	319.12	80.83	176.84	97.07	149.77	84.31	191.16	132.48	66.02	71.07	211.91	132.15	201.41	21.24	212.54	95.77	11.63
Gng12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.36	0.0	0.0	0.0	0.0	3.72	24.08	77.9	33.87	0.08	23.53	137.06	15.84	81.62	31.9	64.35	64.6	18.51	14.97	79.34	16.69	21.96	72.4	52.09	196.22	26.88	304.64	116.89	11.29	260.17	143.22	133.91	107.2	1.37	3.49	7.02	0.0	0.0	0.0	0.0	23.55	4.07	0.0	0.1	1.68	0.0	73.88	8.14	0.13	0.18	0.0	0.0	35.64	0.0	0.0	122.83	0.0	0.0	0.0	0.0	29.61	0.0	0.0	0.0	0.0	0.26	0.0	82.54	59.28	89.32	64.85	54.63	46.95	38.75	34.0	15.67	42.99	47.62	43.91	42.28	0.0	314.32	83.07	50.24	0.31	0.07	2.44	91.29	86.96	0.0	0.0	0.46	73.78	55.64	0.06	0.0	101.25	20.38	0.0
Grik3	0.04	0.09	0.0	0.0	0.0	0.34	0.07	0.1	0.14	0.0	0.0	0.06	0.0	0.0	0.19	53.13	0.12	0.0	0.0	0.02	0.03	2.26	0.04	38.4	10.06	12.41	38.07	0.03	0.14	9.61	0.21	0.06	34.37	7.61	21.29	6.26	0.05	65.06	1.97	38.56	21.54	17.06	61.35	2.38	26.7	2.41	36.4	36.21	42.69	10.92	49.97	0.0	0.11	0.26	12.68	0.0	0.0	31.34	0.08	1.65	0.0	34.22	0.55	0.0	1.26	0.23	24.97	5.02	0.0	0.0	11.48	0.0	0.0	0.14	0.14	38.94	0.0	31.33	0.0	7.18	0.0	0.15	17.99	14.72	11.83	19.57	15.01	6.86	8.92	6.51	6.85	11.59	10.33	12.09	11.47	39.38	0.42	49.45	13.83	61.06	22.41	4.25	11.51	0.13	0.92	0.03	3.27	0.0	0.14	0.0	20.46	0.03	35.52	76.79
H2-T22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.85	0.0	0.0	0.0	0.0	6.26	0.0	0.0	0.0	0.0	244.99	106.11	0.0	41.32	72.19	0.0	125.07	154.46	125.35	0.0	2.26	1.09	0.0	10.09	131.61	0.0	0.0	124.29	6.08	76.13	0.0	99.13	0.0	44.17	3.37	171.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.72	51.62	0.0	60.12	0.0	2.34	0.0	7.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.71	0.0	0.0	29.38	36.62	0.0	23.63	22.12	45.52	28.94	13.32	12.96	28.24	52.95	27.92	27.39	0.0	169.61	86.47	0.0	17.16	35.0	0.0	0.0	6.28	111.18	0.0	0.0	0.0	0.0	0.0	0.0	280.04	0.0	0.0
H2-T23	100.27	135.38	341.77	177.07	356.57	204.51	178.77	420.89	387.83	77.92	174.72	107.49	386.57	90.93	119.33	343.82	111.92	127.68	225.06	99.05	434.37	386.74	296.3	856.67	579.55	489.23	488.25	1163.04	607.17	64.43	452.56	353.21	591.83	274.27	794.35	398.83	431.5	402.19	114.25	390.0	679.61	642.03	175.13	711.55	683.87	960.98	588.0	87.51	240.43	106.29	144.16	794.1	119.88	137.92	80.49	122.47	138.9	85.21	183.45	209.17	313.9	322.12	254.68	265.21	328.16	137.06	420.86	294.07	83.4	94.04	631.18	152.85	137.11	170.95	125.26	271.34	195.91	720.28	142.82	799.3	158.39	305.25	504.22	673.42	575.11	567.33	532.76	616.29	597.78	582.25	689.03	977.14	559.55	674.2	645.66	164.16	324.43	191.6	158.87	341.98	1014.86	258.02	35.17	166.85	949.74	136.41	394.13	429.56	118.99	122.34	1141.4	315.59	133.62	184.07
Hs3st4	0.0	0.39	0.0	0.0	0.0	0.26	0.0	0.41	1.13	0.0	0.0	0.0	0.21	0.0	0.0	105.95	0.0	0.0	0.0	0.12	39.89	157.98	3.73	100.03	66.05	165.97	78.5	101.15	98.48	113.59	55.84	61.79	55.74	39.28	5.98	160.82	30.76	98.23	42.03	127.6	73.64	143.43	138.56	0.46	139.33	173.48	167.94	122.64	61.74	57.26	30.97	0.0	0.0	4.96	0.0	0.0	0.08	0.0	0.0	0.14	0.15	36.4	0.27	0.0	0.0	38.84	2.28	0.15	0.45	0.0	38.02	0.0	0.0	0.0	0.0	45.94	0.21	5.79	0.23	79.8	0.54	0.39	91.0	98.35	77.27	141.22	93.83	147.06	118.2	119.5	100.45	103.83	149.32	140.89	138.75	64.69	0.0	34.57	7.56	161.4	88.96	94.93	222.4	169.59	12.12	0.11	43.12	39.33	203.53	0.0	11.85	8.68	231.79	0.18
Ifitm2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	397.88	0.0	0.0	0.0	0.0	406.15	234.01	255.0	0.0	0.0	437.54	561.73	197.96	674.35	151.22	198.45	1033.6	642.26	162.56	403.1	590.78	0.74	767.98	349.26	267.41	0.0	189.94	55.14	355.87	243.38	242.91	68.69	484.01	0.0	53.69	337.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.19	0.0	0.0	50.11	0.45	42.35	133.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.22	17.43	0.0	0.0	59.92	0.0	0.0	212.87	376.13	270.4	658.1	189.73	140.03	53.87	71.51	170.02	317.95	102.28	105.89	109.87	0.0	568.34	1779.8	205.43	312.35	117.24	361.2	166.39	287.78	296.48	0.0	134.16	274.73	178.38	0.0	0.0	88.28	99.86	0.0
Igfbp4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.1	0.0	5.92	0.0	0.0	0.0	0.0	0.0	128.6	3.42	0.0	0.0	0.0	160.14	0.0	0.0	56.81	82.72	179.9	86.98	70.73	5.73	15.95	270.53	21.2	240.98	0.86	258.25	141.7	142.9	339.08	0.27	454.0	118.32	195.05	26.19	181.46	141.74	56.99	0.0	131.29	76.4	121.95	29.78	48.34	0.31	3.8	0.6	49.15	55.12	2.67	148.96	56.98	0.0	0.0	28.28	10.23	0.15	0.0	0.0	20.54	0.0	49.11	0.0	0.0	0.0	0.0	0.0	10.67	0.0	163.49	0.0	66.15	124.62	0.0	52.78	84.47	77.82	151.95	71.47	123.85	86.54	99.35	52.59	101.74	88.72	80.35	91.06	30.97	279.09	13.31	102.14	0.0	19.86	17.15	159.12	105.04	85.09	61.37	18.5	28.12	52.06	0.0	132.97	20.34	8.89	0.0
Il11ra1	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	4.68	0.0	0.0	0.0	0.0	26.73	61.65	0.0	0.0	0.0	0.0	297.04	0.0	0.0	127.71	0.31	140.58	0.0	55.66	125.93	0.0	12.97	30.01	0.0	31.54	349.93	203.58	63.36	0.24	0.0	68.76	389.76	168.27	0.0	285.86	0.0	14.4	246.89	37.83	0.0	136.27	0.68	5.7	0.0	0.0	69.44	0.0	20.52	12.61	0.0	108.63	11.67	0.0	5.17	0.0	10.7	0.15	48.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.07	0.0	19.99	0.38	216.11	0.0	0.0	56.24	94.35	79.89	41.0	111.88	53.89	116.62	69.87	88.22	52.5	103.52	80.76	77.16	91.63	0.0	0.0	0.0	0.0	0.35	57.03	0.0	0.0	0.0	0.0	0.0	79.98	62.41	0.0	0.0	75.26	0.0	14.88
Il11ra2	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.1	0.02	0.21	0.0	0.0	0.0	0.0	11.45	0.0	0.0	0.0	0.0	21.12	0.06	0.16	0.6	0.09	0.2	0.22	0.89	0.0	0.43	0.29	4.1	0.0	3.08	0.42	0.24	0.0	19.08	2.13	0.0	0.42	0.46	0.12	0.84	0.18	0.0	0.28	0.33	0.0	15.55	0.0	0.0	0.0	0.0	0.0	0.07	0.11	0.0	0.0	0.66	0.0	0.26	1.5	0.24	1.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.06	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	4.28	1.89	0.0	0.21	0.17	27.58	0.0	0.36	0.28	0.0	0.08	0.09	0.06	0.12	19.79	0.0	0.25	0.0	9.22	0.16	0.23
Ipcef1	6.1	103.21	83.49	60.87	113.07	45.85	0.66	91.7	97.48	0.05	7.13	112.34	20.79	0.0	71.15	149.94	45.75	146.71	6.29	0.14	57.23	133.11	156.25	60.6	72.88	225.42	64.32	8.93	250.97	12.81	64.45	70.8	114.83	108.11	136.33	104.33	74.23	60.71	158.14	135.77	68.07	188.8	148.2	180.94	119.98	184.62	186.28	44.41	109.72	111.17	81.76	49.05	74.7	55.7	0.89	5.64	0.15	140.28	33.88	0.43	8.1	149.64	2.84	6.65	156.61	33.4	10.34	0.73	8.55	6.3	94.87	58.6	11.43	0.21	24.29	133.49	29.09	96.74	49.11	177.06	16.3	110.55	81.64	73.61	97.45	73.93	80.62	67.64	100.4	48.24	56.94	57.92	115.53	75.37	71.52	67.16	131.09	94.2	113.87	65.54	79.27	81.94	109.75	116.18	106.59	0.03	132.52	403.09	73.18	0.24	161.49	256.62	4.42	74.7
Kcnk2	28.16	0.11	0.13	1.72	0.4	0.0	0.0	0.0	10.47	46.9	0.63	0.0	0.0	0.0	0.26	2.95	2.12	0.0	38.14	23.75	179.61	50.53	3.08	29.0	0.0	29.72	226.46	121.84	0.0	9.4	115.26	9.63	12.75	76.04	58.71	42.17	98.34	2.96	100.39	4.0	111.58	88.79	68.96	10.09	86.15	0.43	32.08	1.98	146.91	118.08	0.24	0.0	0.0	0.0	0.09	0.0	0.07	0.0	0.1	0.46	5.67	100.47	4.77	1.71	0.73	0.15	1.56	14.6	0.0	0.0	130.6	0.0	0.0	0.0	0.0	3.82	0.0	0.0	2.39	33.94	0.0	0.0	20.82	38.07	51.17	37.27	17.76	37.04	49.39	8.88	12.68	26.56	55.28	40.87	42.42	39.05	1.67	6.79	2.48	0.0	42.58	33.38	0.0	3.77	0.15	0.0	204.29	71.67	92.26	1.28	0.0	5.44	82.1	0.3
Lmo3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	499.13	0.0	0.19	0.0	0.0	470.72	240.07	771.74	150.37	652.52	348.58	409.05	740.49	388.15	203.43	594.28	98.97	620.04	206.58	926.63	267.51	637.0	414.7	829.12	240.8	295.02	420.46	371.74	217.06	556.14	827.86	544.74	821.85	179.97	453.89	355.55	236.07	597.72	159.93	267.73	325.66	825.84	767.46	147.66	49.78	3.45	759.55	132.59	232.98	1.51	0.0	0.0	0.0	127.99	8.04	761.96	0.0	0.0	0.0	0.3	597.84	0.61	361.99	0.0	398.26	96.2	0.0	491.55	427.61	536.59	321.14	338.79	352.13	370.32	337.07	370.82	303.12	498.07	312.91	385.76	483.1	187.73	539.1	309.27	185.4	177.72	328.07	494.89	616.13	553.25	218.12	64.84	558.97	862.5	290.03	266.75	405.38	339.63	5.87
Lpgat1	14.48	26.87	4.54	17.56	230.25	51.37	41.7	17.25	65.57	23.73	54.5	26.94	48.71	0.0	3.5	275.07	7.01	40.35	19.19	55.76	230.34	152.8	237.24	50.32	81.41	125.42	35.79	77.96	108.11	119.8	72.02	53.2	61.78	160.49	199.48	116.86	172.97	159.29	109.79	319.39	271.71	185.13	138.68	164.46	296.84	220.86	138.89	147.37	326.67	266.29	82.72	92.71	117.08	79.65	19.46	19.25	24.71	7.77	54.73	6.12	24.43	29.06	27.75	7.56	8.05	44.82	41.54	4.83	17.58	68.92	180.6	158.97	33.02	2.69	49.16	183.41	5.33	62.8	11.82	136.16	62.93	3.67	130.96	102.38	143.7	118.94	111.77	91.12	86.55	79.73	90.46	91.39	155.56	109.32	103.82	70.98	282.62	143.14	40.14	109.38	92.93	4.88	68.04	200.36	150.17	71.02	45.69	62.29	70.11	58.92	65.51	77.65	35.34	108.86
Med10	242.29	159.12	455.91	298.63	384.21	117.95	390.98	122.46	171.27	401.07	205.63	103.98	180.37	565.48	249.6	539.27	430.06	191.06	336.72	305.68	199.01	521.73	727.41	558.09	210.59	127.37	377.65	316.86	446.65	410.62	492.81	728.25	692.47	723.44	553.78	248.9	1345.27	685.21	129.78	756.41	97.13	366.56	597.47	663.1	296.32	639.74	279.39	566.03	749.65	222.59	922.76	184.11	268.73	113.06	292.65	498.3	188.42	98.78	267.91	0.48	143.65	467.35	226.97	304.16	84.25	216.17	105.12	66.86	121.55	62.06	370.82	188.96	118.85	228.08	102.5	389.06	242.87	313.14	584.63	584.25	0.0	178.39	389.79	509.44	307.48	558.79	473.4	433.48	429.78	504.75	396.05	704.33	483.52	512.17	515.63	488.43	1215.71	967.82	475.97	324.46	617.72	249.43	422.24	308.48	829.03	504.73	502.27	883.23	463.57	152.69	240.83	678.87	318.55	82.0
Nfia	0.0	0.04	0.0	0.0	0.0	2.02	0.0	7.26	11.1	0.0	6.83	9.75	0.0	0.0	0.0	157.27	22.11	0.0	0.0	6.84	158.95	83.9	135.72	66.99	185.13	72.38	69.7	94.4	85.11	37.01	96.27	120.78	95.4	87.64	111.86	130.34	98.52	131.86	196.27	49.55	176.36	66.79	92.12	131.54	97.56	103.18	173.41	99.6	112.9	152.43	46.32	78.32	1.29	117.32	0.0	18.28	44.3	58.79	28.89	0.0	0.0	5.89	9.99	56.14	0.56	4.68	0.03	0.0	1.56	8.65	132.16	7.63	25.03	0.0	0.0	84.17	0.0	14.46	5.25	147.67	11.73	7.94	142.97	134.97	131.56	131.48	113.28	108.45	111.67	97.54	118.15	94.09	178.6	150.54	154.44	148.54	131.94	111.89	112.7	214.69	68.39	109.13	143.88	87.81	156.92	5.88	173.79	319.19	209.92	0.03	0.0	126.18	0.04	10.3
Nos1ap	0.0	91.56	0.0	15.98	21.03	33.14	0.0	45.32	29.1	70.83	28.28	21.16	26.4	1.36	4.63	148.78	131.45	0.0	0.0	0.0	92.41	64.55	81.5	2.45	68.27	25.95	100.56	25.62	101.42	85.41	22.47	203.83	99.32	180.65	64.5	46.83	1.58	51.68	29.13	73.46	257.67	133.66	82.94	96.94	203.38	52.08	95.25	59.87	79.45	103.65	74.7	10.8	38.97	18.45	11.06	76.48	156.54	42.49	110.11	50.06	5.3	49.23	26.57	29.37	0.3	1.05	0.0	10.05	116.51	5.22	21.6	16.6	57.82	27.72	0.0	3.39	31.98	37.21	0.0	62.34	0.36	0.0	74.32	63.28	57.63	57.6	50.7	68.18	84.08	61.86	52.47	78.78	38.74	52.38	52.04	18.36	211.11	3.71	120.49	0.74	75.84	24.77	54.43	80.32	62.41	68.16	62.1	99.52	3.38	0.0	20.18	39.8	38.82	4.63
