	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_67	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_14	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Irs1	3.3	41.5	0.88	0.0	4.2	13.69	4.23	46.58	56.16	11.93	29.25	143.24	168.67	80.78	9.01	0.0	41.84	75.58	45.78	49.62	47.98	0.0	0.0	77.66	6.08	55.75	0.0	20.76	0.01	0.04	0.0	0.06	0.04	0.04	0.0	44.56	13.22	1.13	11.76	13.2	24.34	0.0	47.9	7.32	33.02	140.48	17.41	27.93	0.0	0.03	11.35	27.86	0.0	22.79	56.83	0.0	9.29	20.89	0.0	0.0	16.6	0.99	27.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.84	14.59	0.03	36.98	0.0	0.0	15.27	15.41	0.0	49.47
Kif3a	127.28	146.96	79.45	103.72	151.84	175.95	127.32	83.28	73.02	211.78	101.63	93.37	35.23	66.75	134.97	4.84	90.9	190.12	127.54	118.74	189.82	229.66	0.26	76.2	37.48	205.31	48.21	86.25	43.65	21.43	12.64	87.81	32.58	64.06	84.7	184.65	78.41	119.76	83.74	91.13	74.58	127.79	83.83	97.06	210.23	127.21	87.52	68.18	70.66	176.35	87.88	177.99	69.95	31.39	104.65	112.72	156.02	118.88	132.93	84.94	94.41	0.95	138.02	0.18	0.42	0.22	0.71	0.64	0.28	0.2	0.0	41.36	97.6	151.16	139.7	116.74	181.53	57.57	258.13	139.66	84.33	63.13	75.85
Mpv17	280.29	268.88	69.8	155.98	204.52	65.27	255.36	193.55	189.1	253.78	220.35	361.05	168.43	489.16	56.47	75.52	328.75	594.45	391.59	271.64	122.43	673.96	98.5	858.66	216.11	388.17	16.17	120.17	130.64	54.0	96.14	100.8	68.37	159.76	108.55	296.57	79.63	179.89	25.2	62.86	148.74	288.31	79.81	166.73	398.89	491.01	272.59	474.55	127.23	77.21	79.57	315.97	38.03	386.02	170.74	235.59	158.94	247.94	147.99	193.46	179.59	39.89	255.95	45.74	68.47	128.13	353.75	38.1	49.36	168.15	94.09	39.26	217.58	90.97	33.82	205.92	234.63	66.86	551.89	389.88	114.75	423.68	359.51
Ncl	63.0	35.72	34.31	39.51	54.46	113.6	48.25	95.16	88.6	34.73	66.92	146.52	158.66	52.82	30.83	11.76	80.81	46.58	106.85	63.98	82.6	27.04	302.31	64.04	67.79	115.99	47.77	77.86	64.9	11.04	31.06	17.21	64.18	25.56	57.28	90.96	35.61	42.45	49.76	35.9	18.96	54.55	27.48	65.27	72.05	136.79	35.82	118.32	56.97	42.42	28.61	102.37	2.24	58.23	28.88	35.9	43.1	53.26	31.02	24.39	28.39	2.68	46.58	0.45	4.59	19.11	13.3	0.45	115.02	1.38	1.47	58.27	70.07	22.07	53.04	23.73	56.57	44.4	42.95	20.85	39.62	28.02	76.63
Nfib	0.0	0.0	0.0	0.0	10.38	592.58	67.53	579.62	76.37	339.26	517.16	629.65	895.88	664.91	349.18	0.12	584.39	829.46	269.42	278.85	342.53	0.03	592.53	173.7	254.21	285.06	0.0	0.21	0.21	0.04	0.17	0.2	0.14	0.13	0.0	0.0	0.06	0.73	0.0	0.0	0.04	0.0	0.07	0.0	237.97	556.29	0.03	177.88	0.08	0.03	0.0	354.3	0.0	0.0	0.0	0.03	0.0	0.0	0.02	0.0	0.0	0.07	0.05	0.08	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	11.41	0.03	0.0	0.13	0.0	29.9	0.04	0.11	0.0	189.22
Nol4	17.99	0.0	40.81	0.0	0.0	97.79	121.54	116.96	6.61	38.62	27.35	88.82	144.71	71.42	343.94	14.75	221.11	124.29	174.05	0.0	72.44	0.0	0.0	0.7	168.96	0.0	0.05	0.1	0.04	1.51	10.8	0.11	30.9	0.09	0.0	0.09	5.57	0.0	0.0	0.17	0.0	47.12	0.0	0.0	3.21	145.1	0.0	0.93	0.0	0.0	0.6	150.65	0.0	48.25	0.0	0.0	33.11	0.0	1.15	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.37	0.0	11.42	0.0	0.0	0.0	0.3	1.3	0.0	0.0	0.0	103.07
Npy	138375.8	13918.43	173305.25	40775.82	115124.65	43922.94	108594.8	20681.08	96206.73	82245.2	42632.64	68542.73	67463.47	21807.38	65548.38	14635.6	57444.26	77711.12	45335.24	125016.83	59230.28	34339.27	0.0	11593.76	80627.8	63494.68	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	73168.9	126989.03	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	24726.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	28240.98	13964.96	180453.32	128781.07	23340.13	137945.15	32250.58	95298.15	137580.94	120620.2	68416.93
Pds5b	14.44	0.0	19.41	0.53	44.71	158.92	0.05	93.21	33.93	3.48	44.83	53.88	110.54	7.78	132.19	0.0	34.97	10.34	84.3	56.96	65.4	21.12	0.0	44.4	29.64	66.97	1.28	16.85	12.86	0.08	0.38	0.34	23.32	0.19	7.6	9.88	36.54	13.3	9.84	30.07	39.79	19.19	11.81	0.0	9.83	69.81	0.59	38.28	0.0	35.28	16.36	79.74	0.0	45.93	0.48	11.81	0.51	35.19	33.22	0.16	19.69	0.0	41.19	0.13	0.25	0.0	0.06	0.0	0.0	0.0	0.0	29.78	57.11	9.31	21.59	3.69	8.08	14.15	28.68	0.03	29.02	0.54	5.63
Pdxk	27.42	25.71	177.1	19.78	75.53	289.46	180.71	204.8	198.96	77.65	118.02	325.42	290.06	245.0	216.37	41.02	233.64	156.33	47.47	84.37	84.03	36.37	1.01	74.16	171.17	192.65	50.58	43.71	48.37	118.23	42.08	80.92	46.4	23.54	69.49	45.6	49.02	33.86	115.24	45.77	74.28	17.49	11.98	21.82	98.67	219.13	43.21	136.73	31.66	44.34	28.84	105.89	26.09	47.07	85.88	55.24	7.36	22.64	35.89	33.9	45.36	1.58	108.28	1.12	0.53	0.0	0.11	0.3	0.0	0.0	0.12	46.36	62.3	46.43	19.68	31.76	114.03	68.13	75.43	40.96	48.33	59.37	33.84
Pgbd5	0.68	71.97	19.62	61.61	18.62	60.57	55.78	145.96	328.19	135.52	222.36	60.73	131.38	135.82	166.52	0.0	87.37	274.32	69.22	206.47	130.12	29.29	0.0	252.2	81.56	53.27	29.46	12.08	37.34	82.43	0.06	1.74	18.44	0.08	22.36	96.19	0.0	20.99	0.0	13.24	4.26	17.98	29.2	0.26	326.15	158.08	20.28	82.68	10.39	0.0	11.48	118.92	6.49	33.73	19.51	0.0	23.88	0.1	9.9	0.0	13.88	0.0	37.3	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.92	34.56	19.76	61.99	48.5	0.0	116.76	38.17	18.38	1.25	26.0
Plcxd2	16.54	0.0	9.85	3.22	22.02	192.42	27.27	25.97	39.3	39.15	126.83	98.43	138.9	69.07	312.46	0.0	151.2	51.84	6.89	93.35	60.9	0.0	0.0	35.12	3.59	7.69	8.62	24.04	1.95	0.0	7.47	0.0	0.01	38.29	25.45	18.63	8.04	15.65	32.13	0.0	8.39	27.7	51.14	18.44	60.52	83.89	14.9	15.67	0.09	24.5	42.18	79.53	0.19	8.57	10.38	0.19	27.31	13.09	9.26	10.18	11.48	0.0	0.12	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.0	15.11	0.0	0.0	18.34	0.06	29.89	16.17	0.21	0.0
Ppp1r7	61.19	116.52	43.18	63.28	0.35	87.17	89.73	44.09	153.83	40.0	145.23	106.03	57.4	50.28	57.97	3.19	181.01	51.23	201.55	171.15	128.17	58.45	225.91	101.91	71.93	60.33	10.21	48.09	16.14	35.77	13.76	68.63	101.7	33.26	42.21	61.99	67.86	75.0	26.4	35.13	40.19	25.29	88.26	102.73	205.42	45.99	80.39	107.59	50.25	22.75	22.8	35.45	56.36	133.88	15.75	57.55	41.11	27.46	57.4	95.74	25.02	2.64	103.17	29.15	0.93	0.92	0.51	0.31	0.86	0.64	0.4	8.66	143.37	76.39	45.58	63.71	12.25	127.21	71.23	59.23	72.27	0.36	53.89
Ppp3cb	64.93	52.86	153.94	30.73	9.39	1.22	0.14	205.78	84.62	96.73	184.82	168.92	83.85	171.42	3.04	0.5	137.33	53.51	103.47	72.82	121.4	0.0	0.0	63.91	45.06	1.68	20.76	8.93	29.88	10.61	57.08	3.81	25.92	45.0	71.03	37.94	36.58	67.83	13.79	6.57	21.49	1.76	7.85	23.27	210.16	109.68	72.19	34.07	34.77	28.79	37.76	39.42	0.3	17.62	29.64	1.71	10.62	14.85	2.82	0.48	16.17	0.0	97.92	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	41.51	189.78	92.14	1.99	42.68	92.68	131.69	55.91	64.37	30.79	75.8	56.63
Prmt8	0.0	0.18	0.0	0.07	0.0	477.43	159.92	267.24	29.07	46.08	73.87	161.86	188.52	0.23	357.11	0.0	92.71	86.51	151.49	302.95	68.19	76.18	0.4	337.66	204.84	146.3	0.0	0.31	0.1	0.15	0.0	0.11	0.09	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.0	0.0	203.19	315.97	0.0	61.8	0.0	48.44	0.0	73.91	0.05	0.0	0.0	0.0	0.12	0.0	0.0	0.1	0.0	0.0	0.0	0.29	0.0	0.0	0.36	0.0	0.0	0.0	0.0	44.29	0.14	0.0	0.0	0.12	0.0	0.0	7.89	0.0	64.14	0.05	210.1
Rab3c	77.38	165.14	55.7	149.35	37.01	670.55	355.7	652.58	525.52	527.23	697.53	569.8	780.64	581.13	1007.13	13.3	454.56	447.36	777.51	595.22	378.23	498.6	0.98	476.76	511.91	487.05	42.83	83.49	101.54	80.99	84.53	31.27	64.12	81.23	112.28	52.03	116.7	66.76	189.67	94.52	98.6	51.22	67.84	9.66	380.52	442.85	44.15	412.28	74.34	31.74	81.08	637.91	11.18	40.13	96.47	86.32	60.33	51.83	65.5	66.49	25.05	0.11	325.0	0.14	0.14	0.51	0.31	0.0	0.13	0.0	0.0	108.57	60.49	23.08	13.59	63.86	116.66	51.49	308.91	124.77	62.1	47.48	75.75
Rdh13	126.42	147.53	92.22	65.23	85.76	84.31	214.72	114.92	90.21	387.18	151.83	186.68	142.48	223.46	0.21	108.66	180.37	220.33	327.28	128.7	0.09	139.26	0.22	160.87	142.34	120.46	0.26	25.14	54.89	117.6	79.39	17.82	53.76	41.58	52.06	22.17	16.59	108.98	6.64	40.55	13.76	10.8	27.11	109.17	152.17	86.94	40.16	198.3	110.68	51.95	85.92	187.06	63.55	49.1	179.13	52.0	101.8	60.71	130.99	53.58	33.41	52.73	87.86	0.0	0.0	1.35	1.39	0.0	0.0	62.39	0.0	77.67	107.22	390.01	25.78	29.34	83.26	101.94	92.01	31.2	116.33	28.14	153.86
Rimbp2	0.0	0.09	0.16	0.04	0.0	26.5	43.61	6.57	25.47	15.83	44.83	1.97	78.23	43.15	29.15	0.0	18.46	14.69	4.21	3.13	5.42	0.0	0.0	5.89	33.46	34.81	1.33	5.89	2.14	1.47	0.18	0.16	10.35	0.0	1.57	3.22	11.49	2.22	15.65	0.56	3.32	17.41	0.14	0.27	13.73	29.31	2.82	1.08	0.0	3.52	0.1	39.12	0.0	0.0	2.95	0.84	1.56	9.94	0.04	10.76	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.21	17.95	0.52	0.4	0.1	6.78	10.18	8.09	0.0
Rufy3	113.03	164.65	187.21	104.0	203.88	132.17	302.96	66.97	150.64	223.14	515.93	267.59	322.6	198.13	281.2	122.32	106.12	322.16	419.28	329.79	228.34	95.11	0.0	251.43	280.36	159.74	137.18	87.88	117.27	74.84	238.1	196.14	124.12	167.64	253.09	74.92	128.06	160.98	169.73	241.34	155.84	62.45	132.01	157.23	315.08	211.53	73.62	302.28	144.26	86.56	64.52	203.18	26.89	166.08	173.36	141.61	82.56	202.92	88.11	118.4	191.72	0.46	244.59	0.5	0.1	0.28	0.35	0.0	0.0	0.0	0.0	74.99	66.5	275.73	76.54	131.31	163.38	155.03	177.92	92.47	109.32	195.11	170.94
Sh3rf1	0.0	24.42	3.68	15.5	10.32	27.24	17.38	68.97	94.91	59.23	52.37	56.01	113.79	70.1	87.02	57.62	76.64	111.6	100.15	45.98	16.02	23.87	0.0	11.24	49.95	106.07	10.6	0.0	8.83	11.72	28.55	0.13	18.9	7.59	15.99	12.02	40.95	19.86	4.49	3.0	2.48	0.0	21.73	2.52	44.95	19.91	10.75	17.21	23.91	18.41	9.13	30.39	0.0	10.18	4.46	19.7	17.81	32.67	0.84	9.63	30.55	0.23	3.7	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.56	5.63	26.75	12.15	4.09	32.59	13.52	3.44	6.3	13.35	18.04	0.0
Slc25a17	113.7	102.9	99.46	70.06	234.92	627.27	266.71	348.46	88.65	94.48	149.3	833.23	651.71	220.28	579.52	350.83	594.81	296.36	531.37	276.82	500.46	0.0	0.0	139.91	54.48	249.72	122.23	160.01	197.53	171.99	308.02	76.22	448.31	67.87	234.25	156.47	147.49	227.88	121.68	171.47	145.08	118.04	162.43	56.26	462.39	355.21	68.67	176.49	55.17	141.53	107.93	175.28	105.62	76.73	97.94	260.79	97.76	41.1	293.95	75.55	18.02	520.58	83.48	0.0	0.0	57.88	0.0	0.0	0.0	0.0	0.0	313.19	296.36	163.29	263.75	437.78	97.84	133.78	243.79	218.43	201.07	113.3	0.0
Slc6a1	194.51	540.37	32.26	502.36	350.77	2442.08	2037.97	4091.34	3430.24	2573.73	5514.67	3929.52	4140.23	4709.35	3231.39	1658.78	2865.65	3379.48	2383.92	2381.1	4123.17	396.93	0.0	2460.91	2968.49	3453.96	136.25	71.39	236.08	60.26	380.46	105.98	282.11	226.37	291.75	184.97	373.93	207.72	87.3	398.09	320.71	132.66	174.3	145.54	4437.83	2630.63	149.2	2658.81	303.02	341.08	298.54	2662.68	0.05	74.71	346.01	151.06	144.58	276.23	247.28	120.03	245.39	0.57	800.76	0.67	0.76	0.0	0.32	0.0	0.18	0.16	0.0	635.89	430.95	881.41	380.12	204.75	603.16	172.28	647.79	230.36	366.56	258.52	1190.17
Sp8	0.0	0.0	0.0	0.0	0.0	110.12	85.11	233.28	27.21	48.81	44.34	140.42	349.49	482.49	260.1	0.0	238.1	282.46	211.23	28.08	90.44	0.0	0.0	0.0	30.84	11.99	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	125.47	198.54	0.0	71.36	0.07	0.0	0.0	204.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.84
Spock1	0.0	51.86	0.0	14.29	0.0	152.06	151.06	49.2	348.33	200.32	277.63	82.11	60.51	29.34	164.25	35.7	169.7	112.78	134.4	245.73	127.02	22.53	0.0	270.56	240.52	170.85	0.14	0.23	2.0	0.1	13.96	0.0	0.0	0.02	2.2	7.97	44.98	26.87	35.11	11.28	91.3	0.18	1.26	20.86	119.68	42.93	2.42	167.72	24.59	37.77	0.0	98.64	0.55	3.14	0.0	1.66	0.0	45.39	1.04	2.07	5.4	0.0	106.59	0.07	0.0	0.0	0.0	0.0	0.0	0.14	0.0	44.43	49.77	73.24	0.05	3.67	31.85	1.46	64.92	2.5	1.81	0.17	0.0
Spry4	50.89	0.0	51.9	5.51	157.68	83.12	76.3	188.55	9.26	117.67	34.75	153.86	50.87	197.12	52.03	0.21	170.4	66.63	0.0	38.38	142.44	0.0	0.0	49.47	50.69	104.2	23.13	19.42	133.3	0.03	30.34	9.98	49.2	0.72	48.85	72.38	35.3	24.3	38.66	27.76	70.92	124.22	15.89	0.0	81.42	25.12	58.22	65.1	2.16	33.71	59.04	59.52	19.06	6.44	21.76	26.35	62.73	24.41	48.62	59.96	0.05	0.0	53.99	0.14	0.04	0.0	0.3	0.11	0.17	0.0	0.0	20.17	55.05	181.05	26.04	26.06	126.29	36.63	168.17	91.46	5.97	0.02	80.72
Tmem181c-ps	34.8	79.94	60.51	31.66	40.25	119.53	51.84	89.38	37.19	79.16	96.69	23.57	29.1	22.29	25.96	11.75	81.43	85.35	80.1	52.45	47.17	50.98	0.0	54.1	37.08	121.24	15.44	16.53	5.1	25.72	38.45	39.36	17.65	25.95	18.92	23.89	17.92	22.78	14.25	36.0	34.24	51.21	40.47	48.69	56.51	62.43	26.42	39.98	24.95	13.15	10.67	44.55	44.65	30.54	25.62	23.12	17.03	37.19	15.9	25.35	29.88	22.18	46.55	14.78	0.0	0.0	4.44	5.95	0.0	0.0	74.84	27.33	58.74	40.58	47.96	29.52	67.41	25.17	48.03	21.85	17.64	28.17	73.49
Tsc22d1	90.25	173.94	100.87	54.38	62.47	895.53	375.77	1731.51	504.72	881.03	524.6	496.05	1150.31	1013.17	682.02	294.72	877.0	174.87	545.84	785.65	732.86	19.78	0.0	439.8	966.71	750.01	113.37	107.32	76.34	106.3	30.42	113.24	50.78	65.3	48.67	52.4	163.29	68.75	86.47	100.46	248.85	113.12	67.33	67.34	213.92	863.04	167.68	515.98	173.33	399.81	142.03	515.35	1.02	0.0	104.2	57.0	125.27	158.38	81.28	105.53	211.39	1.44	58.64	0.19	0.11	0.0	0.0	0.0	0.47	0.0	0.0	61.9	103.85	149.66	115.38	100.37	123.9	72.96	308.76	107.91	96.87	209.22	158.23
Wasf3	0.48	17.04	2.04	0.0	0.0	22.05	0.21	25.01	5.95	0.0	27.11	40.19	42.42	6.89	59.92	0.0	0.46	0.0	0.0	18.57	22.85	11.69	0.0	10.64	28.1	25.68	11.54	14.63	2.65	17.61	0.06	0.4	8.93	0.04	6.38	0.35	39.32	5.64	0.45	0.11	0.0	0.24	13.84	0.0	14.28	16.07	5.67	4.21	3.01	4.82	0.0	11.52	0.0	8.64	0.93	6.32	0.11	0.0	0.0	7.09	0.0	0.0	3.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.46	0.0	15.27	0.0	9.85	0.0	0.41	0.34	5.93	0.0	0.0	10.79
Zbtb16	0.0	13.66	0.0	1.84	0.05	162.0	72.43	116.48	72.05	27.72	69.28	66.69	61.12	153.96	124.63	2.29	76.51	90.14	50.54	42.4	157.32	30.23	0.0	9.9	52.95	23.58	0.04	0.0	0.0	0.02	0.0	0.03	0.08	0.0	0.05	0.0	0.0	0.0	9.49	0.35	0.06	0.0	0.0	0.0	74.45	30.52	0.0	35.42	0.06	0.09	0.0	46.08	0.0	0.05	0.04	0.05	0.0	12.28	0.0	0.14	0.0	0.0	0.0	0.06	0.0	0.23	0.0	0.0	0.18	0.0	0.13	0.0	19.32	0.0	6.87	0.0	1.76	0.0	25.38	0.04	0.06	0.0	12.45
