	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_1	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_22	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_78	Cux2_tdTpositive_cell_88	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_121	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_17	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_36	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_58	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_18	Rbp4_tdTpositive_cell_52	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_77	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_101	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_130	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_187	Rbp4_tdTpositive_cell_189	Rbp4_tdTpositive_cell_190	Rorb_tdTpositive_cell_16	Scnn1a.Tg2_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_97	Scnn1a.Tg3_tdTpositive_cell_104	Scnn1a.Tg3_tdTpositive_cell_105	Slc17a6_tdTpositive_cell_1	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_19	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_33	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_47	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_5	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_30	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_40	CAV_LP_Ipsi_tdTpos_cell_42	CAV_VISp_Contra_tdTpos_cell_1
Med28	36.21	7.98	0.64	22.43	14.43	13.02	63.34	34.2	74.2	79.94	37.83	98.71	119.94	49.35	32.23	30.62	4.34	25.31	102.84	31.77	41.84	0.15	0.09	0.0	4.14	3.16	14.52	31.18	43.76	29.27	19.44	13.2	24.12	4.72	0.0	1.99	1.76	51.33	9.62	24.01	18.34	70.16	0.17	5.21	37.01	3.19	37.17	1.73	26.91	2.69	25.04	7.25	48.59	46.3	24.05	18.13	36.0	31.69	61.46	75.65	59.46	37.45	43.51	33.07	36.91	43.71	44.85	55.55	36.74	28.33	16.76	54.7	0.0	54.41	9.18	64.25	71.55	26.51	79.61	31.11	57.69	139.83	26.26	45.3	22.64	8.35	35.33	38.44	47.16	53.58	0.0	0.0	0.0	37.19	19.22	0.0	0.0	0.0	15.53	35.87	3.41	0.0	0.0	6.34	33.57	16.29	26.19	32.98	21.59
Mrpl54	104.27	0.0	0.0	19.92	32.58	103.89	36.39	0.0	0.0	0.0	0.0	0.0	0.0	90.88	49.95	28.32	0.0	127.02	60.61	0.0	93.64	0.0	0.0	0.0	0.0	0.0	0.0	18.43	64.54	5.08	0.0	0.0	1.71	0.0	0.0	0.0	2.6	23.4	18.2	0.0	22.62	72.75	0.37	0.0	4.54	0.0	17.21	0.0	122.8	0.0	35.01	0.67	21.12	93.21	108.36	190.07	48.85	0.0	357.45	96.77	115.78	170.35	68.95	67.16	94.98	18.76	65.76	0.0	14.22	15.1	0.0	0.0	1.49	65.19	0.0	41.2	175.28	1.55	0.0	77.82	204.96	92.2	8.55	26.11	4.39	6.64	26.09	38.54	79.4	68.52	45.51	0.0	0.0	30.74	0.0	0.0	0.0	0.0	15.33	14.26	0.0	0.0	73.14	0.0	0.0	30.55	0.46	0.41	21.91
Mtmr2	65.94	1.07	70.96	12.52	1.36	3.38	42.66	46.38	119.52	29.32	122.5	33.04	52.22	22.01	57.87	11.53	23.95	26.89	22.24	29.36	57.38	23.45	55.13	18.71	9.37	27.15	39.28	8.43	15.45	112.43	92.1	56.21	16.98	0.98	0.0	3.38	13.49	0.45	12.82	6.24	31.61	29.56	46.67	31.76	55.84	30.89	89.4	0.0	46.32	25.3	26.2	95.38	89.58	81.72	107.44	81.29	147.75	60.44	79.12	70.97	91.16	93.65	92.23	88.55	56.16	29.37	89.94	0.86	12.98	13.15	45.02	66.02	56.92	43.73	72.62	89.58	42.54	35.38	63.92	19.3	32.18	30.32	45.55	26.15	18.56	75.2	40.52	69.15	119.59	95.77	25.6	22.1	46.76	0.08	13.81	32.62	20.62	0.71	50.34	28.94	13.27	1.51	0.46	35.21	93.53	48.28	30.63	29.38	7.52
Myef2	362.88	252.66	62.28	61.87	224.93	307.45	304.4	274.8	187.45	177.9	392.85	404.78	178.81	174.69	263.4	170.14	138.44	411.07	223.21	400.84	157.24	149.59	472.95	255.78	106.82	204.6	294.81	231.02	422.02	536.3	370.53	240.06	403.84	79.08	85.54	48.31	72.38	137.24	77.66	82.2	183.53	213.33	196.13	368.83	174.4	164.87	128.53	56.34	176.47	405.48	271.11	111.33	548.95	547.42	159.67	662.93	557.09	623.44	402.67	409.12	581.11	472.08	483.29	486.62	417.61	334.41	168.38	195.34	150.9	166.29	529.47	340.06	264.92	377.43	218.2	312.42	261.46	226.88	192.12	345.12	208.45	361.63	318.35	261.47	208.3	562.0	369.51	385.4	307.28	203.15	277.69	92.83	26.84	23.29	188.41	124.7	102.73	55.59	285.99	166.78	300.65	219.41	391.59	272.56	627.92	280.83	304.74	550.5	212.27
Ndufa10	91.42	301.7	76.53	79.85	152.75	24.32	16.11	444.16	7.72	265.66	665.59	114.67	343.49	268.13	258.24	41.09	5.97	550.13	211.84	18.91	490.87	58.02	394.67	356.4	158.84	25.06	439.16	108.03	2.52	37.1	11.79	315.36	29.07	11.63	2.73	0.69	9.56	0.87	261.75	127.5	248.8	194.19	15.18	203.88	110.74	1.42	483.44	1126.09	574.09	18.94	113.09	239.22	80.58	279.21	82.98	89.58	107.15	152.83	271.88	35.57	146.76	165.56	152.38	113.97	355.82	179.64	280.69	61.82	159.08	34.37	4.08	640.15	16.48	432.33	6.87	105.87	386.28	332.76	9.16	104.23	270.78	124.88	136.52	78.04	99.62	43.91	203.93	228.83	420.6	552.61	98.55	0.73	15.39	118.68	21.92	0.0	60.26	3.89	159.78	0.0	201.72	108.97	91.03	142.0	162.23	304.68	269.04	212.14	228.76
Ndufb2	47.35	49.22	117.9	30.98	51.44	0.0	0.0	336.25	61.71	256.06	794.68	164.66	273.29	202.39	138.24	104.36	52.01	183.69	88.67	409.44	322.33	17.43	412.05	76.71	143.44	2.82	134.8	25.56	137.14	110.56	39.24	199.76	7.48	111.83	0.0	3.3	59.45	77.47	5.66	88.42	271.22	194.02	14.66	139.83	163.44	2.45	444.0	231.74	238.78	40.15	169.89	23.23	286.48	426.9	414.97	374.44	479.26	217.39	548.8	432.23	308.79	311.92	192.15	222.02	443.79	72.28	198.21	226.73	82.59	64.72	283.65	563.54	9.95	125.01	68.97	118.97	199.61	4.14	146.71	227.32	195.58	143.97	86.0	114.37	49.8	10.32	100.01	111.01	155.16	433.36	133.24	0.7	40.38	20.79	0.0	16.31	0.0	98.36	146.4	57.01	19.69	129.64	40.81	12.0	54.83	231.86	69.84	148.54	28.03
Pam	35.78	17.97	0.0	76.68	85.12	14.51	139.7	89.74	57.11	162.81	204.1	86.71	145.86	101.3	165.18	112.74	37.26	116.85	83.22	87.07	46.16	1.54	53.63	106.59	70.83	8.81	14.98	42.76	29.53	15.3	21.13	46.07	8.52	0.0	7.42	1.69	10.72	3.23	4.77	2.7	15.74	35.58	6.14	23.89	5.57	4.76	18.42	2.46	24.81	10.48	11.37	1.85	166.73	163.24	93.96	183.14	181.89	217.95	332.89	95.27	149.49	107.82	125.8	120.53	176.49	45.15	4.51	10.69	19.95	24.64	58.0	80.08	38.12	162.66	65.32	142.0	144.3	89.48	136.73	139.4	203.45	162.13	23.19	12.1	8.61	72.61	47.44	59.63	24.03	26.15	47.97	0.69	3.97	0.06	5.95	4.91	49.58	0.7	1.23	14.18	0.36	0.91	9.78	2.43	25.81	89.97	11.78	7.78	28.08
Pan3	0.5	6.64	0.59	32.26	27.52	0.15	11.62	23.27	79.53	42.64	118.44	136.18	66.01	14.67	19.01	10.6	34.71	51.18	65.49	15.21	95.14	0.14	74.75	56.46	29.32	0.49	69.87	47.48	108.06	99.62	52.38	52.3	58.36	0.57	2.44	20.88	7.52	14.15	56.75	11.48	38.09	49.52	22.48	65.46	29.04	39.08	48.07	9.39	35.59	52.34	47.35	7.55	96.51	83.95	20.74	119.54	71.06	91.17	106.46	86.61	99.67	72.33	30.61	82.18	53.17	81.58	23.76	17.67	8.59	84.99	67.6	41.09	62.46	30.82	7.73	81.52	48.15	49.98	30.8	20.57	45.5	52.35	45.38	30.54	28.23	75.13	53.88	71.62	44.58	42.24	57.38	0.37	65.46	1.75	46.25	39.78	2.54	0.05	14.16	79.99	34.45	35.81	45.15	9.05	58.45	57.79	9.09	34.22	44.33
Pdcd4	194.97	117.13	43.9	55.9	122.91	117.08	287.23	324.29	344.36	411.17	627.53	126.33	25.94	98.8	351.92	99.96	283.29	173.73	203.79	269.08	316.82	278.45	74.76	343.2	109.39	89.0	124.12	190.39	263.19	193.31	257.2	117.8	168.96	50.87	38.98	60.5	60.61	57.28	29.24	108.56	232.39	166.98	181.94	168.79	263.87	156.77	330.27	175.05	211.6	130.8	210.66	174.3	208.91	442.52	145.21	600.64	333.36	824.59	293.89	351.92	396.13	108.7	292.65	227.5	315.34	289.8	54.11	37.66	85.87	137.88	306.9	594.21	152.25	199.18	413.11	125.33	75.52	136.05	357.18	91.51	325.99	614.29	207.81	116.73	67.66	297.93	202.86	258.19	401.24	278.93	267.22	31.5	12.23	76.97	116.37	78.96	9.71	66.5	184.41	85.59	161.85	144.31	163.18	245.38	232.99	80.85	190.02	146.31	121.67
Rbm26	88.82	84.44	15.61	74.19	77.52	56.6	7.46	134.13	159.28	91.56	89.64	144.37	40.64	95.6	88.7	3.27	120.2	164.3	136.08	132.56	107.71	0.08	122.94	135.64	43.3	95.96	72.12	69.89	243.85	168.04	42.37	49.38	74.44	7.2	30.37	6.05	8.69	6.07	0.96	13.32	104.23	61.37	22.91	118.58	79.85	14.25	31.02	0.0	96.82	92.25	98.96	52.29	155.28	148.5	102.27	188.68	220.23	88.24	229.62	47.01	268.9	170.15	149.18	130.42	171.62	56.14	32.63	118.77	128.47	153.17	170.76	172.14	20.49	45.54	35.95	163.31	165.85	84.83	98.0	88.6	67.35	159.54	98.21	72.26	45.37	137.02	104.47	100.67	109.04	161.18	196.22	80.18	11.68	40.03	50.77	81.95	26.93	93.29	57.54	2.05	47.16	48.83	107.26	68.74	114.07	262.64	79.6	248.95	28.95
Rpl13	579.3	0.0	44.05	6.98	0.0	1.85	46.57	54.88	47.31	5.93	233.23	8.96	8.21	44.8	103.04	7.76	36.75	57.2	24.73	35.4	78.24	1.83	174.01	44.43	22.88	0.52	326.96	24.91	62.62	10.1	2.37	212.54	121.17	0.0	61.6	37.2	13.37	6.97	5.8	9.89	7.45	26.28	21.57	38.9	15.59	0.45	77.82	177.46	170.25	0.34	43.32	28.61	47.71	299.45	76.29	99.03	197.62	29.07	319.59	149.12	60.78	280.23	340.98	23.44	431.53	139.89	353.95	2.65	6.89	9.8	365.38	212.08	0.0	46.0	12.68	62.55	317.04	20.54	61.13	62.86	111.99	29.87	14.5	16.82	37.38	15.83	31.8	48.38	31.09	41.33	57.1	0.0	16.54	30.11	0.0	20.72	71.65	42.92	0.87	2.1	1.36	13.58	1.66	28.11	13.14	24.43	28.36	84.33	1.29
Rraga	180.18	34.97	7.31	38.78	0.52	0.0	3.51	171.06	87.97	46.71	0.0	185.65	52.35	90.4	225.42	104.25	13.28	39.94	10.63	152.77	165.52	6.99	260.76	97.91	36.45	84.0	698.4	100.13	53.06	77.53	27.15	345.53	33.0	37.87	0.0	6.61	5.32	57.53	45.09	5.13	119.75	3.05	14.51	15.51	163.7	108.79	156.69	27.88	96.88	44.77	46.14	72.6	109.87	156.9	182.46	206.49	100.95	102.2	122.6	278.94	177.3	70.03	203.88	61.59	180.37	134.88	151.78	51.15	82.97	136.45	0.12	135.69	41.74	22.19	98.76	162.74	171.29	15.49	33.14	61.9	2.99	25.0	100.48	57.64	49.34	58.34	64.41	69.59	140.25	6.39	69.32	0.36	100.94	0.0	106.99	21.09	35.65	148.17	117.6	0.0	82.69	59.78	59.64	94.8	304.58	219.61	88.58	22.5	9.55
Sfpq	108.83	21.18	51.71	46.98	101.47	47.9	60.98	62.77	47.72	69.74	126.72	189.13	105.94	38.35	102.59	72.01	47.78	57.06	51.5	99.64	30.37	98.16	113.66	105.99	39.94	62.55	45.19	145.22	122.78	62.76	25.12	43.37	77.46	0.7	33.06	10.53	44.66	22.37	0.29	17.84	61.15	80.94	37.11	45.14	77.41	64.82	47.81	0.0	21.26	38.53	39.65	19.24	77.52	124.55	97.1	114.74	154.63	119.1	195.25	117.53	128.47	131.5	116.67	95.18	106.18	53.13	23.37	118.41	26.15	21.6	189.67	244.37	57.26	84.54	41.89	37.57	49.08	195.78	90.5	113.32	163.71	112.73	79.02	59.0	39.83	106.69	82.35	108.07	99.12	62.47	69.84	22.13	24.62	74.33	101.93	9.04	20.35	69.95	62.83	27.66	17.02	24.55	51.03	14.04	205.63	146.57	31.82	139.15	113.09
Skil	162.85	18.6	48.24	105.24	84.3	65.99	178.62	83.8	180.68	93.18	550.39	114.69	79.38	235.67	182.04	150.75	90.58	168.71	115.65	199.08	118.62	86.26	205.51	143.8	29.39	35.15	116.28	247.03	158.9	328.07	209.5	186.76	178.68	61.43	58.7	37.76	64.91	68.33	50.21	70.6	167.47	134.54	34.58	133.45	91.44	65.42	80.52	79.21	132.29	112.77	185.62	144.15	164.97	328.01	86.1	235.27	391.98	308.04	635.49	163.27	179.07	224.73	155.01	248.34	138.31	109.65	110.41	131.46	109.19	90.57	212.32	120.84	84.16	270.42	352.7	161.01	165.06	196.96	230.14	166.62	101.0	266.25	184.74	140.22	76.93	241.18	150.74	164.3	166.17	226.29	289.38	96.06	119.25	39.49	95.68	29.73	57.9	13.91	122.27	126.54	102.7	383.27	190.37	156.54	481.76	116.45	80.08	231.68	89.44
Slc24a5	186.84	193.98	63.94	49.61	173.12	194.57	187.67	112.15	131.86	77.18	316.9	281.24	111.4	136.14	191.18	124.15	104.1	193.81	104.58	342.39	107.2	136.19	376.45	326.4	62.35	258.02	176.96	152.8	328.61	275.63	294.36	140.64	120.09	56.25	104.33	27.26	72.51	102.84	66.39	83.32	171.29	278.34	152.8	270.47	146.78	150.0	124.96	35.7	123.69	204.48	160.67	67.57	376.79	360.92	145.57	423.36	304.79	391.09	421.73	260.1	291.46	263.91	222.17	346.75	318.16	63.79	86.7	149.84	101.33	109.19	298.64	123.07	196.94	246.99	178.35	228.38	156.73	155.37	160.0	215.7	166.25	233.19	231.39	169.56	99.39	355.86	212.93	218.07	224.76	194.68	72.49	149.21	31.09	64.25	113.28	96.26	38.77	91.25	196.28	149.48	185.28	128.4	237.27	160.76	472.41	146.89	216.02	351.71	169.37
Spry2	218.39	3.11	55.74	55.63	60.37	221.86	89.46	260.65	254.77	272.32	1140.83	1037.81	340.2	123.11	741.74	210.67	64.24	604.81	170.11	104.88	105.01	164.04	255.14	292.42	5.43	113.12	132.24	745.16	518.87	348.57	250.79	372.89	211.41	76.18	46.73	90.2	17.47	29.71	27.08	147.0	391.22	399.62	42.6	260.42	114.46	42.78	62.36	176.63	116.96	160.37	283.04	50.29	843.6	761.89	772.91	689.22	550.13	585.1	1338.17	344.28	499.41	760.83	506.48	828.44	482.49	233.15	61.45	112.16	167.65	259.29	653.55	330.99	311.74	331.04	63.98	602.03	237.89	657.63	235.33	394.37	564.9	122.82	321.13	255.94	88.39	778.99	511.31	622.9	135.38	545.8	364.59	44.68	66.28	1.39	76.45	104.91	102.74	91.71	116.73	101.03	110.67	211.31	352.33	13.5	439.27	181.74	13.77	313.98	85.46
Tmem181c-ps	68.08	16.64	61.34	87.16	52.0	72.95	73.1	112.5	66.3	115.32	235.18	81.03	46.32	62.84	62.71	35.57	40.19	65.65	58.84	72.55	85.01	27.46	43.37	95.53	26.98	32.09	91.63	84.18	115.47	95.2	60.41	45.72	24.63	31.36	21.81	33.91	8.38	16.74	3.79	21.58	93.29	66.06	12.53	71.01	38.35	19.35	44.27	6.7	76.68	58.86	50.58	26.29	124.14	115.01	38.76	153.85	111.96	172.99	152.56	98.82	85.44	77.59	74.62	146.25	95.82	87.24	19.2	56.68	25.65	13.76	103.53	128.54	87.58	71.68	67.81	83.85	46.17	107.45	85.76	46.88	61.83	130.24	64.86	37.65	34.37	110.2	90.9	108.99	163.92	200.19	56.19	10.4	29.91	22.46	42.46	18.48	31.1	16.64	39.01	104.8	46.99	53.4	85.47	17.79	71.15	107.37	33.31	93.21	33.03
Tspan13	362.62	23.37	0.94	1.62	11.83	205.48	99.31	312.07	110.03	238.66	568.78	185.45	150.8	378.77	274.59	99.12	241.41	429.19	150.67	94.31	69.05	0.53	384.22	93.07	56.72	53.23	266.77	99.46	136.66	57.88	35.63	443.85	45.44	0.12	167.44	125.77	22.53	11.48	103.85	15.38	76.4	298.1	10.17	53.21	33.63	0.95	700.2	0.0	546.61	63.01	106.03	75.87	38.65	284.18	443.55	76.87	111.11	107.42	219.36	258.94	97.87	164.36	200.66	190.32	107.95	116.66	219.47	56.41	94.83	21.01	367.33	190.06	51.34	185.13	169.74	326.7	309.64	201.32	172.08	170.07	275.23	60.54	72.33	50.95	84.24	45.99	89.18	107.97	555.77	194.28	5.06	47.28	97.66	30.29	58.84	350.31	23.63	166.31	123.89	55.55	10.97	8.64	133.49	100.57	17.46	0.89	25.79	148.61	3.06
Vapa	137.59	327.91	159.2	354.98	134.52	56.79	134.95	111.3	287.4	292.57	156.26	193.48	37.77	339.55	292.45	526.34	282.21	348.58	255.23	522.08	226.17	156.92	409.83	634.22	131.45	162.01	431.33	303.9	375.38	149.56	190.46	324.89	132.24	118.91	106.48	31.22	229.7	88.98	147.51	148.21	234.14	151.05	250.68	282.76	247.14	272.58	392.62	96.94	199.9	272.85	273.96	243.33	518.65	614.48	322.1	657.3	892.25	653.62	604.91	577.86	626.36	473.41	463.35	541.73	432.91	197.93	288.96	201.71	130.08	203.71	692.56	426.3	211.55	445.51	414.95	390.4	325.99	254.67	311.39	564.54	625.5	536.18	286.59	294.15	195.87	295.25	257.66	259.02	488.43	414.09	289.28	107.16	164.23	116.59	595.67	95.71	226.28	59.61	242.26	275.83	288.18	623.37	461.03	314.65	234.21	164.97	340.71	126.91	133.97
Vti1b	179.3	0.52	139.78	138.68	0.33	0.0	10.7	334.98	98.56	144.19	357.22	188.31	207.38	355.73	283.75	41.47	0.0	332.62	119.6	116.31	333.99	38.74	335.49	0.0	9.8	5.51	451.51	188.18	57.39	127.27	19.42	443.76	1.06	111.76	146.25	3.23	16.88	32.58	93.21	51.2	71.62	171.41	2.54	217.23	38.74	83.71	264.39	182.2	454.83	76.06	95.96	31.09	156.43	199.66	283.67	155.66	177.76	58.97	258.47	133.86	167.07	234.4	222.52	74.0	55.6	250.22	343.38	226.51	163.2	45.18	560.83	4.7	71.1	359.67	131.87	122.34	223.73	102.38	446.62	424.46	495.44	54.09	125.33	74.28	52.72	42.75	110.23	154.9	158.19	404.64	27.35	0.0	0.0	43.52	132.32	251.42	101.9	0.0	58.62	0.31	22.76	45.28	0.0	37.12	108.58	158.74	80.89	73.04	33.36
Wtap	96.12	129.76	22.57	54.44	5.24	16.2	1.54	79.31	40.78	130.95	204.77	86.97	43.81	27.29	54.41	26.07	1.54	8.53	63.93	243.26	47.86	55.86	68.28	108.1	0.54	56.35	84.07	80.59	177.07	82.05	177.33	37.31	7.37	39.66	0.61	6.67	31.95	46.55	55.36	38.53	86.27	29.66	33.06	78.4	176.25	79.77	72.51	35.96	47.81	35.72	51.39	11.18	152.44	201.17	62.07	196.16	413.63	184.39	164.79	267.94	161.51	148.86	86.07	198.45	137.23	87.25	4.99	100.79	58.91	34.9	91.27	84.53	112.49	214.11	51.92	43.73	53.47	146.8	63.73	76.96	136.46	253.75	88.47	52.61	17.32	162.22	117.84	155.47	62.09	131.7	100.67	0.09	78.32	85.35	0.15	0.22	86.2	1.5	93.72	4.54	78.64	17.37	38.32	35.7	154.99	123.09	81.51	38.68	7.68
Yme1l1	96.56	151.4	39.66	10.06	239.06	43.46	169.65	140.3	171.51	69.49	436.02	134.93	73.56	199.52	230.19	149.31	152.68	93.9	121.89	363.29	249.75	145.27	182.7	53.03	25.76	123.1	154.12	207.53	144.6	269.6	285.68	223.3	11.62	24.62	4.45	32.94	50.14	43.5	27.2	76.17	75.22	177.65	212.93	50.11	118.61	138.54	210.11	88.45	170.27	67.23	139.6	134.28	173.32	255.21	78.35	238.27	244.57	220.07	254.69	150.84	246.34	83.25	179.04	192.06	213.77	195.7	128.22	17.61	79.86	152.22	169.64	151.1	122.12	158.34	169.16	276.77	164.14	279.89	156.24	212.41	184.79	117.53	212.36	133.55	76.91	236.84	160.65	156.28	203.65	205.0	97.57	66.97	6.13	14.19	163.4	101.76	30.2	93.89	149.83	174.99	110.75	99.15	105.69	89.74	175.01	39.24	175.87	196.1	181.8
Zmym1	4.72	29.96	27.14	64.67	73.77	0.0	42.9	116.5	81.16	309.98	159.42	72.72	345.56	0.0	39.31	31.71	85.76	51.08	157.3	0.0	0.04	82.07	115.5	55.15	2.5	23.37	19.96	52.96	154.06	108.62	195.89	45.31	0.51	22.32	0.0	14.39	0.0	51.93	0.26	0.0	53.24	135.74	146.49	16.74	42.54	4.24	8.26	0.0	34.9	65.63	46.67	22.61	104.94	176.17	41.7	254.56	124.94	155.29	281.63	429.14	262.87	207.42	194.06	319.17	165.91	26.44	5.37	61.84	59.81	26.02	99.91	0.08	269.86	227.36	319.21	190.35	132.3	213.35	235.3	269.13	56.63	299.72	126.75	123.92	44.96	137.69	90.92	92.23	32.34	54.05	116.22	25.15	31.49	7.6	26.19	0.12	3.07	0.06	24.61	6.0	19.15	6.24	66.2	0.0	93.69	56.06	3.41	50.17	32.92
c12_LSU-rRNA_Hsa	59.36	65.55	43.07	76.13	92.53	68.61	72.92	96.03	85.12	134.96	146.78	141.07	43.08	101.08	100.89	67.63	26.57	78.1	121.78	120.75	82.79	44.49	188.18	128.99	81.32	59.82	198.84	108.04	181.75	124.64	160.27	86.3	97.68	67.53	51.61	38.83	45.08	48.05	40.28	56.34	187.63	130.77	153.86	145.91	176.4	55.23	102.3	168.04	104.08	68.56	80.4	64.47	103.96	196.88	153.55	177.75	152.7	93.69	440.67	568.61	429.32	419.36	442.53	147.05	440.68	156.01	53.3	69.23	153.95	133.02	422.1	356.51	48.17	113.54	41.16	83.13	106.4	112.28	111.12	114.33	124.54	84.73	296.3	307.69	239.52	1336.39	882.67	941.41	151.49	94.86	115.67	27.9	57.96	70.74	61.53	79.05	68.67	88.76	82.63	97.46	48.15	32.43	69.72	62.38	77.76	92.38	68.45	77.31	35.94
c16_LSU-rRNA_Hsa	352.2	168.11	178.11	193.91	307.63	113.26	218.27	272.83	263.22	386.18	651.2	299.18	168.59	200.25	141.03	229.09	99.0	192.02	275.36	289.96	216.71	108.86	321.67	203.48	225.04	234.83	450.87	265.19	286.21	331.2	281.15	276.25	181.45	174.64	142.32	150.19	69.88	137.91	164.37	111.1	229.17	275.31	430.89	369.45	343.1	187.82	280.42	301.16	302.24	248.57	263.33	180.06	187.78	614.08	289.05	427.45	429.21	333.47	1027.37	1186.16	982.38	1024.25	1169.02	324.27	902.07	268.48	214.58	252.53	494.07	328.08	1061.11	954.35	162.81	235.99	183.77	185.98	320.19	250.64	243.85	313.7	265.99	273.29	817.31	959.18	887.21	4078.37	3436.41	3239.78	329.34	240.92	339.55	179.66	210.51	180.79	204.34	186.23	250.11	318.87	308.3	277.78	168.2	166.59	187.9	213.39	430.52	198.81	261.72	196.75	203.67
c6_LSU-rRNA_Hsa	133.92	151.57	90.81	193.86	200.27	162.54	166.73	205.49	195.11	191.69	269.13	341.04	122.89	255.21	236.03	187.63	100.15	175.35	357.37	159.49	211.72	89.78	321.66	362.45	127.1	179.77	548.42	281.41	403.02	340.31	339.48	227.27	238.78	131.85	119.83	107.49	118.38	107.88	135.26	161.73	398.87	276.63	439.36	259.08	404.2	135.74	231.93	313.58	273.77	234.49	228.77	200.01	241.77	498.25	367.56	475.99	493.72	330.8	1584.46	1327.88	936.09	1140.37	1282.22	401.42	1044.58	213.2	160.49	156.89	392.34	293.6	1062.09	943.6	183.66	207.06	163.77	226.34	229.06	244.93	254.79	160.57	232.73	206.41	596.62	640.08	520.93	2823.89	2178.25	2269.48	274.49	220.8	269.16	104.29	100.9	127.43	75.41	153.44	195.54	202.11	232.98	133.35	88.98	93.34	175.55	134.68	195.94	168.89	178.54	153.81	135.32
