	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_38	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_55	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_99	Cux2_tdTpositive_cell_108	Gad2_tdTpositive_cell_42	Gad2_tdTpositive_cell_51	Ndnf_tdTnegative_cell_9	Nos1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_53	Ntsr1_tdTpositive_cell_54	Ntsr1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_65	Ntsr1_tdTpositive_cell_72	Ntsr1_tdTpositive_cell_75	Ntsr1_tdTnegative_cell_1	Ntsr1_tdTnegative_cell_7	Ntsr1_tdTnegative_cell_40	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_100	Rbp4_tdTpositive_cell_112	Rbp4_tdTpositive_cell_160	Rbp4_tdTpositive_cell_163	Rbp4_tdTpositive_cell_183	Scnn1a.Tg3_tdTpositive_cell_41	Scnn1a.Tg3_tdTpositive_cell_70	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_4	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_11	Slc17a6_tdTpositive_cell_14	Slc17a6_tdTpositive_cell_21	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_38	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42	CAV_LP_Ipsi_tdTpos_cell_43	CAV_VISp_Contra_tdTpos_cell_4
Rprm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.74	0.0	0.0	123.24	164.29	203.18	297.23	77.19	285.08	221.29	93.53	2.95	94.38	385.69	143.46	1170.43	307.33	507.3	25.53	0.0	0.29	0.0	0.0	0.0	0.0	0.0	157.75	1.12	0.94	27.75	0.0	132.8	0.0	0.0	0.0	0.45	138.04	0.0	0.0	0.0	0.0	258.59	62.33	211.71	202.46	245.4	270.69	195.59	287.25	276.1	144.13	579.7	330.45	40.28	135.32	89.58	15.01	31.97	4.69	56.47	235.02	182.77	357.01	109.7	86.25	229.15	190.23	38.49
Snapc5	214.61	136.09	101.39	0.73	0.0	144.89	185.36	0.0	113.35	190.57	0.0	227.85	0.0	60.01	283.99	1.08	0.0	157.07	175.91	146.49	0.3	147.15	255.3	212.03	93.72	205.83	121.9	0.0	28.16	370.2	0.0	0.58	373.75	0.0	2.52	74.33	276.24	386.6	173.22	94.05	0.0	135.72	0.91	0.0	293.08	0.0	122.94	0.0	154.37	203.82	0.0	83.16	0.0	0.0	84.62	209.04	168.87	125.43	145.51	158.45	103.16	182.26	156.89	224.21	114.36	165.18	261.11	0.0	0.0	240.81	16.63	0.0	19.19	171.99	126.12	125.07	0.0	0.0	378.09
Snord116	10.27	0.0	0.0	4.75	38.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.14	0.0	8.05	0.0	7.38	0.0	0.0	0.0	13.32	3.27	9.54	0.0	0.0	0.0	8.6	0.0	0.0	0.0	0.0	0.0	2.92	17.03	0.0	0.0	0.0	22.92	5.71	13.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.49	2.68	0.0	0.0	2.67	2.39	0.0	1.84	0.0	5.0	0.0	5.24	0.0	0.0	0.0	0.0	12.69	3.34	2.22	0.0	8.15	10.67	0.0
Snord116l1	10.27	0.0	0.0	4.75	38.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.14	0.0	8.05	0.0	7.38	0.0	0.0	0.0	13.32	3.27	9.54	0.0	0.0	0.0	8.6	0.0	0.0	0.0	0.0	0.0	2.92	17.03	0.0	0.0	0.0	22.92	5.71	13.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.49	2.68	0.0	0.0	2.67	2.39	0.0	1.84	0.0	5.0	0.0	5.24	0.0	0.0	0.0	0.0	12.69	3.34	2.22	0.0	8.15	10.67	0.0
Snord116l2	10.27	0.0	0.0	4.75	38.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.14	0.0	8.05	0.0	7.38	0.0	0.0	0.0	13.32	3.27	9.54	0.0	0.0	0.0	8.6	0.0	0.0	0.0	0.0	0.0	2.92	17.03	0.0	0.0	0.0	22.92	5.71	13.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.49	2.68	0.0	0.0	2.67	2.39	0.0	1.84	0.0	5.0	0.0	5.24	0.0	0.0	0.0	0.0	12.69	3.34	2.22	0.0	8.15	10.67	0.0
Stxbp2	37.78	36.39	19.2	40.33	30.18	43.81	60.43	34.18	54.12	147.45	30.55	31.73	42.01	41.37	88.94	101.26	45.82	27.72	21.72	15.06	34.99	30.51	19.67	26.12	134.17	192.21	226.31	104.57	25.33	134.89	12.0	45.3	70.92	140.65	1.2	180.72	22.69	45.82	89.18	35.2	41.38	56.57	177.88	22.76	29.6	27.52	29.14	49.98	229.35	41.91	50.25	124.57	98.15	17.78	103.02	70.36	96.05	103.69	88.78	105.62	84.25	95.38	102.43	87.0	92.45	163.87	61.69	63.76	23.8	14.81	28.99	213.66	87.33	30.29	57.12	24.69	151.87	111.63	35.93
Tax1bp1	140.26	85.28	155.27	314.36	0.18	116.19	0.0	115.02	70.0	108.76	157.55	82.78	330.34	145.78	0.0	25.02	107.85	118.47	93.11	299.49	163.97	12.87	349.95	178.1	119.79	250.83	134.85	118.28	98.92	41.75	133.69	172.71	176.29	160.57	85.46	122.08	213.24	31.73	124.1	61.91	220.61	4.76	95.55	5.76	139.58	17.36	231.4	0.0	32.36	52.81	447.14	178.44	97.88	153.2	183.46	157.87	121.02	170.98	175.36	201.14	203.52	158.86	212.31	141.51	190.11	226.87	207.6	26.25	212.35	61.12	270.35	44.97	277.34	97.29	27.26	231.26	116.38	6.11	140.34
Vdac1	413.02	329.55	350.83	284.77	376.48	484.23	0.0	309.66	687.76	478.82	346.95	420.08	588.9	336.19	256.14	457.54	365.39	532.66	393.23	464.01	490.97	1012.55	522.8	389.55	411.22	274.72	840.86	376.5	230.36	249.18	204.52	830.15	970.23	982.65	614.6	399.34	224.55	200.2	511.56	319.61	28.7	105.58	335.48	0.0	230.74	111.54	434.85	15.93	401.55	249.08	908.16	480.24	461.71	435.27	600.17	464.68	706.81	568.09	574.93	525.94	504.7	566.52	599.56	641.72	450.84	610.37	797.38	478.86	47.43	179.33	236.98	878.01	633.88	16.13	465.83	558.3	572.19	721.68	341.48
Wibg	0.0	20.29	0.0	0.0	0.0	9.55	0.0	11.76	0.0	0.0	54.83	0.0	0.0	0.35	0.0	0.0	36.85	0.0	8.73	0.0	0.0	20.41	51.89	0.0	0.0	47.46	0.0	0.0	0.18	18.79	26.52	10.48	0.0	70.68	5.13	0.0	0.0	0.0	51.24	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.9	4.49	4.2	6.81	15.59	18.4	22.13	6.85	17.2	25.79	3.14	14.38	10.86	0.0	0.0	0.0	0.0	0.0	0.0	38.7	37.81	0.0	19.96	0.2	0.0	0.0
Zufsp	0.0	111.13	0.0	0.22	8.32	30.27	0.0	0.87	0.0	0.0	0.0	0.43	0.0	15.44	0.18	0.0	6.59	0.0	0.14	0.0	63.95	0.33	0.0	0.0	46.19	0.42	74.55	0.0	0.08	96.28	26.56	0.0	60.71	0.52	0.0	27.42	29.0	89.13	84.4	11.37	0.36	0.0	0.56	0.0	60.48	18.58	86.7	0.0	73.39	37.2	50.08	0.0	0.0	74.75	3.62	27.5	28.84	20.75	15.92	11.56	39.7	7.56	22.63	14.6	18.49	51.88	0.0	0.0	84.83	0.0	0.0	15.18	120.1	0.0	0.0	151.82	40.49	0.0	0.43
mt_AK136262	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	2.59	2.42	0.0	0.0	0.0	0.0	4.06	33.84	150.0	75.42	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.55	0.0	0.26	0.0	4.7	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.23	0.0	0.0	0.02	12.04	0.11	0.0	0.07	0.64	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.61	1.14	52.84	4.5	0.0	240.38	0.01	68.82	16.34	0.16	13.3	83.8	12.15	79.78
mt_AK142003	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	2.59	2.42	0.0	0.0	0.0	0.0	4.06	33.84	150.0	75.42	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.55	0.0	0.26	0.0	4.7	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.23	0.0	0.0	0.02	12.04	0.11	0.0	0.07	0.64	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.61	1.14	52.84	4.5	0.0	240.38	0.01	68.82	16.34	0.16	13.3	83.8	12.15	79.78
mt_AK166798	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	2.59	2.42	0.0	0.0	0.0	0.0	4.06	33.84	150.0	75.42	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.55	0.0	0.26	0.0	4.7	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.23	0.0	0.0	0.02	12.04	0.11	0.0	0.07	0.64	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.61	1.14	52.84	4.5	0.0	240.38	0.01	68.82	16.34	0.16	13.3	83.8	12.15	79.78
mt_AK166978	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	2.59	2.42	0.0	0.0	0.0	0.0	4.06	33.84	150.0	75.42	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.55	0.0	0.26	0.0	4.7	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.23	0.0	0.0	0.02	12.04	0.11	0.0	0.07	0.64	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.61	1.14	52.84	4.5	0.0	240.38	0.01	68.82	16.34	0.16	13.3	83.8	12.15	79.78
