	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_69	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_13	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_18	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_20	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_113	Htr3a_tdTpositive_cell_117	Htr3a_tdTpositive_cell_121	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_4	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_22	Ntsr1_tdTpositive_cell_25	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_16	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_162	Rbp4_tdTpositive_cell_180	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_18	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Lrrc7	0.0	0.0	0.31	0.39	0.0	0.0	0.65	12.18	2.19	2.7	0.0	3.03	6.04	10.11	4.92	0.71	7.24	0.22	1.18	10.63	1.51	0.93	0.0	2.13	6.35	57.86	11.47	4.93	7.75	3.62	0.19	13.07	0.0	2.64	1.29	23.12	0.89	0.56	8.27	0.84	0.0	0.0	0.0	10.98	0.0	9.68	0.0	0.65	10.51	7.64	0.42	0.0	0.0	0.0	0.0	0.0	0.2	2.26	0.0	4.43	0.99	0.0	5.45	6.46	7.32	6.15	3.1	1.59	9.68	5.52	4.49	6.86	3.84	3.85	3.71	0.54	0.68	1.96	27.25	0.0	31.81	0.1	5.73	6.04	0.0	1.12	40.2	29.07	45.43
Mkl2	0.36	25.26	0.44	196.65	182.13	2.42	139.59	220.73	179.44	210.94	219.05	229.11	254.44	163.98	256.04	217.68	371.91	141.49	243.94	193.0	246.03	174.33	6.34	28.27	236.17	34.57	137.17	225.86	309.86	130.63	297.84	62.5	86.16	250.26	169.99	113.21	102.43	126.41	204.86	135.44	18.14	179.44	87.42	270.6	111.27	224.49	154.01	188.85	73.1	224.63	290.65	0.51	4.55	1.13	0.53	1.16	179.25	94.4	83.64	231.64	35.8	2.62	259.01	249.08	305.55	250.28	226.81	281.68	269.64	190.75	248.52	202.76	360.18	264.2	249.53	175.54	179.72	285.95	142.51	276.04	192.52	220.38	140.68	77.15	206.77	151.79	89.28	82.44	89.75
Mlf1ip	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	6.31	0.0	80.7	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	3.68	0.0	0.0	0.0	0.42	0.0	0.0	0.0	4.0	0.86	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13	1.07	2.18
Nck1	0.38	0.0	0.0	0.0	0.0	0.0	0.47	14.26	0.83	0.0	128.88	0.0	53.29	0.0	0.0	0.0	157.69	81.39	95.12	40.43	23.35	0.0	0.0	0.14	241.5	0.0	8.85	64.93	0.0	0.0	187.11	0.0	0.0	97.08	185.61	373.42	0.0	0.0	107.47	1.05	0.0	0.0	0.0	0.0	0.45	104.82	95.22	0.0	23.54	8.92	134.82	0.0	0.0	0.0	0.0	0.0	14.1	0.0	179.18	191.44	4.68	0.0	60.45	103.61	33.83	43.25	35.57	60.26	3.97	42.23	56.14	72.54	27.65	43.26	49.3	48.53	128.96	0.21	90.54	0.0	102.17	4.1	0.26	0.0	0.14	0.15	24.39	22.42	22.32
Nek1	0.0	46.23	82.74	60.74	0.11	0.0	0.0	3.68	62.55	47.85	4.07	12.9	14.08	34.9	32.22	28.6	96.42	13.62	0.07	0.0	0.0	0.06	0.24	0.0	60.96	0.0	151.13	0.16	0.08	0.0	0.0	28.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	63.68	0.53	0.0	28.08	41.1	31.96	30.78	26.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.03	0.14	5.57	0.0	0.1	0.99	12.99	13.7	10.03	35.76	20.38	22.23	27.2	4.37	13.52	13.74	12.17	7.27	0.23	0.0	0.18	11.31	0.0	0.0	0.0	0.0	26.53	0.0	0.0	28.3	23.26	29.14
Nexn	125.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4	19.13	0.0	6.89	31.92	8.94	0.0	24.78	68.66	0.0	0.0	9.83	1.76	13.28	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	19.21	0.0	0.73	7.68	6.32	0.0	18.68	0.0	14.42	0.07	0.0	0.0	0.0	0.18	36.43	6.67	5.72	14.17	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.64	0.0	1.83	0.09	0.0	8.27	14.41	17.12	10.31	8.84	10.31	16.46	12.6	5.98	10.17	5.59	3.23	3.98	0.0	0.0	0.0	45.92	36.41	0.0	22.78	0.0	0.0	30.64	0.0	7.79	6.1	7.67
Nlgn3	1.14	25.71	0.75	0.65	3.57	0.0	55.05	23.33	32.0	92.4	0.83	13.65	9.26	1.4	1.49	2.35	53.7	1.89	1.73	44.16	1.27	94.7	0.0	0.0	1.34	0.0	9.72	1.17	0.08	0.0	0.62	1.0	0.21	11.25	1.17	188.11	2.86	5.08	2.04	32.17	0.0	0.0	61.36	1.75	1.54	2.29	32.83	1.19	2.47	3.18	1.6	0.0	0.0	0.0	0.0	0.0	1.63	0.19	0.75	0.8	0.41	0.0	14.44	21.98	31.68	11.18	13.52	13.89	19.67	10.1	15.92	6.82	29.24	25.1	22.48	31.39	27.93	46.52	7.83	1.58	29.35	0.0	0.0	0.0	73.67	0.26	50.02	47.15	49.14
Nnt	124.87	0.0	1.35	0.0	0.0	155.53	69.57	0.17	0.0	5.5	0.0	25.03	10.22	0.0	0.0	0.0	94.2	0.0	0.0	6.45	0.51	0.0	0.0	0.27	0.0	1.38	53.16	21.57	0.0	252.14	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.3	0.0	0.0	0.0	0.13	0.0	0.0	2.35	0.0	0.0	0.0	88.01	59.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.66	3.03	21.25	13.31	1.81	3.72	2.35	1.46	0.0	1.12	7.58	5.83	6.76	0.46	2.55	38.41	0.0	0.0	0.0	35.02	10.68	40.24	0.07	0.0	13.06	13.3	12.35
Nos1ap	0.0	14.0	0.0	0.42	49.66	0.0	0.0	39.2	58.93	1.12	31.29	21.24	11.71	26.36	19.07	33.6	64.14	1.02	0.0	38.46	10.34	0.75	0.23	0.0	43.01	0.23	184.13	59.79	25.95	36.27	30.51	101.42	85.41	106.53	99.32	180.65	151.47	51.68	133.66	98.07	0.0	18.98	46.23	34.95	22.22	25.27	2.11	46.12	29.37	0.41	109.42	0.0	0.0	0.0	0.0	0.0	121.81	0.0	53.7	62.34	10.06	1.35	74.32	63.28	57.63	57.6	50.7	68.18	84.08	61.86	52.47	78.78	38.74	52.38	52.04	153.45	5.71	191.36	128.02	120.49	79.47	23.59	0.74	75.84	24.77	65.23	86.8	83.23	89.82
Nub1	0.0	12.94	1.69	72.42	0.28	0.0	109.55	30.12	72.27	53.31	59.32	30.04	14.56	54.83	12.06	41.16	164.58	99.57	46.76	37.69	12.36	87.1	0.0	56.63	9.77	0.0	187.54	12.12	0.09	38.01	20.0	0.68	73.83	57.0	0.1	65.49	0.0	106.37	3.59	43.17	0.0	43.48	5.17	0.0	0.65	30.03	0.0	57.79	13.57	48.85	94.26	0.0	8.4	0.0	0.0	0.0	14.33	92.03	14.47	23.22	2.83	0.0	61.97	57.55	45.7	39.85	48.18	55.4	68.19	37.99	31.72	39.57	41.77	42.24	56.93	120.88	13.78	95.09	39.85	0.08	1.25	36.87	54.79	29.78	2.35	32.84	75.75	73.81	70.96
Obfc2a	5.62	0.0	0.0	49.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.3	0.0	0.0	0.0	0.92	65.56	0.0	53.3	0.0	46.88	3.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.54	0.0	0.0	81.28	0.0	0.0	0.0	0.0	0.0	11.94	0.0	0.0	0.0	31.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.96	0.0	0.0	6.0	3.4	0.0	6.78	17.13	7.08	1.31	9.54	13.3	1.81	7.88	9.69	9.05	39.43	0.1	65.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.6	8.67	8.47
Pafah2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.27	65.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.62	0.0	0.0	0.0	0.0	0.0	19.7	0.0	0.0	0.0	0.13	0.0	53.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.52	0.0	1.94	0.0	5.03	0.0	4.56	7.5	7.42	4.72	10.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.63	5.92	6.88	6.5
Palm2	0.08	0.07	0.0	0.0	0.01	0.0	32.76	46.6	18.91	27.65	6.66	16.95	43.53	48.11	2.18	23.47	55.85	0.65	6.21	3.31	29.77	31.38	0.0	1.48	101.43	0.14	7.63	29.02	17.37	0.0	0.06	0.14	26.96	2.46	22.54	4.97	32.63	7.98	35.23	22.31	0.0	0.0	0.06	0.0	0.0	3.65	10.01	0.84	10.07	0.82	13.43	0.0	0.12	0.04	0.0	0.0	0.05	0.27	88.69	55.92	0.0	0.0	24.66	27.72	37.66	18.7	33.01	12.29	22.39	19.92	27.09	17.2	10.95	13.24	16.36	0.0	0.99	31.29	6.09	39.44	8.85	31.06	17.26	16.05	0.0	0.9	21.01	17.83	20.89
Pcp4	2218.95	3854.24	2965.65	4955.04	3777.62	0.0	4159.66	3820.49	3360.37	4639.95	5350.95	4004.36	4871.0	4341.13	4036.12	5130.46	3853.07	3629.17	5293.38	4195.3	4052.0	3821.26	4425.79	5082.23	4204.11	7467.74	3788.73	3783.89	5853.47	4409.57	5181.2	5178.03	6240.76	6808.32	7407.1	5341.11	6583.41	5620.14	5456.32	5251.38	0.0	3177.92	4134.5	4770.47	4149.68	3666.35	3514.04	3137.72	4470.96	3706.04	5307.32	0.0	0.0	0.0	0.0	0.0	4710.66	3923.3	7030.52	4796.79	5005.09	5492.66	4246.61	4480.25	3150.04	4373.65	4108.26	3507.01	3446.01	4928.48	3901.08	5219.57	2919.09	3442.63	3306.12	7638.97	5202.71	5242.95	4439.21	6941.16	7178.2	5557.87	6670.6	6291.11	8685.7	6217.49	788.83	807.59	741.11
Plcd1	162.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.84	0.0	0.0	0.0	72.08	0.0	0.0	0.0	19.94	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.49	0.0	0.06	0.0	0.0	0.0	0.0	0.0	1.24	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5	0.0	0.0	9.12	5.23	0.0	4.77	1.36	0.0	2.31	2.14	3.9	2.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.4	12.81	11.34
Ptpn3	0.0	0.0	0.0	0.0	0.07	0.0	1.09	0.75	0.0	4.67	0.7	8.28	21.38	1.44	14.27	0.46	31.27	0.78	0.65	3.64	0.56	32.87	3.82	0.0	0.0	0.55	5.58	5.05	7.6	0.0	0.05	2.01	0.08	19.99	24.55	15.64	0.0	0.0	0.54	0.08	0.0	0.0	0.0	0.0	0.0	1.81	0.06	0.0	3.35	0.05	32.34	0.0	0.0	0.0	0.0	0.0	0.0	1.63	63.24	5.56	0.0	0.0	1.54	6.05	17.07	10.08	6.34	8.19	3.29	4.0	5.09	8.0	4.9	6.46	4.74	0.0	0.45	3.7	25.2	31.99	0.0	32.29	0.0	0.0	0.0	5.14	28.78	27.92	28.04
Rasal1	0.0	0.0	0.0	2.88	0.0	0.0	0.0	2.08	52.6	1.39	0.0	39.65	44.59	37.44	0.13	0.61	15.58	0.0	0.0	0.0	5.33	0.0	0.22	0.0	0.74	0.0	0.0	2.5	0.0	1.16	15.85	0.12	49.48	1.08	15.63	37.72	0.1	0.13	14.88	0.0	0.0	0.0	0.0	0.14	0.0	15.54	0.24	26.02	11.99	3.48	89.82	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.32	0.0	0.0	10.37	4.89	4.47	5.09	13.96	18.55	23.38	5.69	2.15	7.92	3.8	6.31	7.12	0.1	20.94	51.76	3.67	1.05	0.0	0.18	0.0	51.77	17.09	14.72	75.91	82.82	74.05
Rgs14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.84	26.78	0.0	0.0	0.0	0.0	44.12	17.13	10.05	145.37	0.0	5.89	0.42	19.23	0.0	79.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	22.13	0.0	0.22	0.0	0.0	59.19	65.94	0.0	26.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	15.1	0.0	8.94	11.66	4.6	16.01	7.47	21.03	6.82	12.58	4.69	4.29	0.0	0.0	0.0	50.8	0.0	3.79	0.0	0.0	58.39	0.0	53.43	61.74	66.59	61.35
Rgs8	0.0	185.63	264.92	0.0	0.0	0.0	0.0	0.0	58.95	27.81	15.44	0.44	0.0	16.07	32.48	2.79	49.31	0.0	0.05	78.43	12.07	0.0	0.0	0.0	43.06	0.0	0.0	0.48	0.0	0.0	0.0	10.02	0.0	0.0	3.12	0.19	19.47	0.0	0.0	0.06	0.0	0.0	0.09	0.0	29.09	0.0	0.0	0.0	0.19	0.0	16.8	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.04	101.18	3.08	4.39	5.47	3.23	4.4	17.7	5.03	1.49	8.02	6.39	9.45	6.62	10.34	0.05	0.02	0.0	0.0	13.2	3.93	0.0	0.0	0.47	0.0	0.0	56.68	53.59	51.66
Shmt1	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	82.98	0.0	0.16	73.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	103.57	0.0	0.0	0.0	0.0	0.0	14.85	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.95	0.0	0.0	6.59	9.66	5.74	0.19	0.0	0.1	0.0	3.52	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	2.45	2.8	2.76
Slc4a8	0.0	0.0	0.0	0.0	0.16	0.0	2.35	1.52	1.79	4.06	23.11	6.97	6.57	6.91	6.78	3.2	8.96	1.07	21.14	22.65	0.08	1.21	0.0	0.02	0.0	21.15	0.03	8.47	32.51	0.0	0.46	1.5	3.8	0.0	0.0	29.97	2.65	1.02	4.99	0.09	0.0	0.0	4.56	2.02	0.75	6.07	0.0	0.44	10.01	0.02	13.15	0.05	0.0	0.0	0.0	0.0	0.13	0.0	0.0	5.99	0.82	0.15	5.59	3.4	3.71	7.46	3.88	5.7	6.22	4.93	2.02	5.01	3.36	3.76	4.26	0.03	2.12	0.0	20.87	4.98	7.65	0.35	0.0	2.54	0.14	5.43	36.0	33.98	37.2
Spa17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.06	0.0	0.0	0.0	0.0	0.0	49.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.01	11.66	16.61	0.0	3.14	3.72	0.0	13.2	0.0	8.27	4.63	12.25	4.84	41.45	0.0	0.0	0.0	0.0	74.2	0.0	0.0	0.0	0.0	0.77	5.41	5.76	6.62
Stx18	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.53	0.0	115.43	25.98	57.47	0.0	0.0	70.16	73.37	0.0	0.0	14.08	9.98	0.0	0.31	1.03	0.0	1.06	0.0	116.91	0.0	37.9	0.0	0.0	0.0	0.92	245.7	0.21	0.27	0.0	2.49	0.0	0.0	75.41	0.0	0.0	0.0	0.0	0.19	0.37	0.16	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.73	0.6	0.0	23.57	41.71	5.01	14.41	58.28	6.44	8.96	25.36	11.57	28.17	15.15	18.59	12.65	0.0	0.57	0.22	0.0	0.18	0.0	0.0	0.0	0.0	0.0	2.11	29.36	29.88	29.39
Tbck	0.0	0.0	0.0	0.0	0.0	0.0	0.23	8.26	0.0	0.0	0.2	0.0	0.0	0.0	14.86	0.0	35.52	0.0	8.95	0.0	45.46	0.16	0.0	0.51	0.0	0.0	7.91	0.0	99.19	1.46	0.7	72.94	0.0	7.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.83	0.0	0.15	0.0	0.0	34.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.27	1.22	3.04	15.37	10.12	9.08	19.26	0.0	0.36	12.94	0.35	0.11	2.44	0.0	1.2	0.0	0.0	0.0	0.0	22.79	0.0	0.0	0.0	0.0	12.61	11.99	13.82
Top1mt	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.56	0.0	40.88	0.0	20.76	0.0	71.75	0.0	0.0	29.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.96	0.0	0.0	0.0	0.0	0.0	60.86	0.22	0.0	0.0	0.0	0.0	0.0	49.38	0.0	44.84	22.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.91	0.0	0.0	0.0	4.51	0.24	8.32	19.27	27.29	15.48	17.46	23.18	9.02	0.41	26.31	0.0	7.47	5.68	16.28	0.0	42.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.82	16.83	16.92
Trhde	0.0	0.0	0.0	0.0	0.0	0.0	13.52	4.62	24.6	0.0	0.0	19.27	5.82	6.03	0.0	29.53	172.11	0.0	26.6	73.01	49.52	2.17	0.0	0.37	82.08	0.0	114.24	24.28	0.11	119.59	4.8	0.0	0.14	24.2	22.55	62.95	0.14	0.0	28.79	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.05	0.0	0.0	9.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.62	30.28	47.21	1.62	16.31	15.77	13.93	13.07	35.25	19.48	9.42	13.82	18.98	5.67	34.9	15.34	17.4	0.0	0.0	0.0	44.63	0.54	15.71	7.78	0.0	0.0	0.04	0.0	18.34	16.98	17.46
Xpnpep1	14.11	311.22	110.24	66.28	0.0	0.0	76.96	60.8	104.54	0.23	93.63	97.3	163.83	0.0	0.0	60.78	404.57	2.38	62.03	48.82	78.65	0.0	0.0	0.0	0.13	0.0	178.51	59.01	0.0	0.0	22.33	0.0	47.86	51.42	193.02	87.38	78.69	13.2	0.0	204.28	0.0	0.47	145.68	74.61	92.84	64.19	4.62	18.8	0.0	91.22	98.24	0.0	2.89	0.0	0.0	0.0	0.0	0.0	0.0	70.01	0.0	0.37	82.57	102.82	49.95	36.92	59.71	98.04	96.51	74.65	69.05	52.97	79.1	87.22	76.72	61.48	45.48	91.18	79.6	77.18	0.0	34.08	68.27	11.15	0.0	81.72	42.07	42.5	45.47
Zfp623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.9	10.33	0.0	0.0	0.0	0.0	0.0	16.38	135.42	0.0	0.0	64.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.44	0.0	0.0	4.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.45	0.0	0.0	3.58	4.76	0.13	0.12	22.88	20.8	4.63	0.1	0.2	0.0	9.14	7.77	5.18	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.6	10.6	9.31
Zfp942	0.0	0.0	0.0	0.58	0.15	0.0	93.16	32.15	1.63	51.2	0.36	34.89	0.6	35.53	70.03	43.93	153.28	0.0	0.0	4.2	9.79	64.96	0.0	0.0	35.34	0.0	0.0	0.0	0.48	0.0	0.0	0.61	6.28	0.0	88.1	9.16	32.64	9.8	159.5	2.38	0.0	0.18	0.0	105.31	0.0	37.05	0.0	0.09	35.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	1.6	75.95	0.0	0.0	26.74	23.04	19.04	8.89	18.59	24.21	11.62	24.9	11.3	5.96	36.33	21.83	23.18	0.0	0.09	13.26	0.0	0.69	34.45	0.09	9.11	0.08	33.07	30.95	11.69	8.89	9.95
Zfp97	30.41	1.19	0.72	9.61	7.9	0.0	6.92	4.56	13.99	13.86	27.38	5.83	2.4	5.29	4.05	0.0	77.84	11.96	1.52	0.11	0.16	8.05	0.0	6.5	0.0	0.0	24.11	110.31	121.71	4.36	110.89	4.1	0.58	0.51	2.8	6.09	0.0	0.83	1.1	0.9	3.45	22.56	11.37	2.95	0.0	6.03	0.0	0.36	6.06	0.0	3.72	0.0	0.0	0.0	0.0	0.0	5.81	1.99	0.0	0.0	5.06	0.0	22.15	24.42	67.44	9.24	19.71	24.68	34.67	26.56	10.42	14.35	14.89	15.39	19.41	0.43	6.13	1.32	15.88	39.22	0.0	11.46	0.0	4.72	11.34	0.6	3.58	3.08	5.18
