	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Ppt1	173.45	366.54	231.91	86.81	106.59	138.56	8.77	13.77	15.45	615.53	158.4	112.79	150.15	230.42	1023.87	240.2	287.95	166.67	0.22	259.84	15.08	303.13	234.96	372.58	97.39	318.39	127.68	339.18	253.68	235.53	154.12	418.5	150.76	630.64	325.7	331.61	238.35	187.28	160.77	330.22	28.03	207.47	271.02	682.79	419.61	377.66	447.08	188.58	132.2	416.59	252.45	187.69	330.59	2.53	1080.29	175.07	150.18	343.43	3.39	10.44	34.38	9.31	4.57	38.44	13.43	425.4	337.54	537.46	420.67	495.38	80.08	105.61	267.69
Prune2	153.0	87.56	189.32	56.2	110.1	389.7	0.0	0.0	44.67	182.1	107.63	39.39	113.0	30.57	753.85	31.15	10.49	117.31	0.0	123.28	0.0	255.53	164.27	231.22	185.29	421.31	210.54	531.1	481.8	270.53	323.02	325.96	207.26	267.73	254.22	405.55	170.2	314.16	359.99	48.54	81.64	193.86	65.81	419.08	270.07	287.43	70.09	291.22	268.14	262.38	248.72	162.31	473.37	0.06	304.36	415.43	254.16	340.83	293.64	104.92	0.06	34.46	0.04	0.0	0.0	568.16	326.96	333.29	342.18	201.58	156.46	237.45	299.77
Psmd7	162.11	149.83	86.28	41.12	19.92	290.5	0.0	2.51	38.22	48.99	3.08	87.68	70.14	91.78	293.48	155.01	208.64	0.0	882.2	140.29	0.0	181.54	212.98	86.97	42.47	156.79	89.17	82.38	193.93	100.4	202.59	219.65	113.48	154.47	181.03	108.15	208.59	218.6	90.11	43.56	189.67	62.75	146.77	212.86	150.12	59.5	146.36	139.92	274.8	265.07	145.55	175.27	42.2	0.2	215.13	130.99	40.25	167.12	0.0	61.66	0.38	0.0	0.0	0.0	0.0	49.83	202.31	104.98	254.07	88.95	119.97	125.54	356.77
Rian	129.4	102.24	163.67	69.04	28.03	34.79	0.0	0.0	37.68	4.97	31.21	0.0	48.72	25.4	80.89	14.82	6.02	1.67	0.0	11.53	0.0	104.41	77.62	158.52	92.71	63.58	56.11	9.96	72.02	32.31	54.76	96.42	55.84	101.29	119.53	64.53	16.1	47.52	19.14	1.76	22.23	111.9	33.3	99.19	108.21	62.49	12.6	17.78	35.95	57.6	33.76	86.91	112.71	0.0	171.37	97.59	77.54	74.5	0.0	0.4	0.0	0.0	0.0	0.0	0.0	80.6	1.52	97.66	75.52	43.48	72.52	71.77	119.25
Sccpdh	447.4	107.8	314.02	110.38	0.0	169.57	0.0	0.0	0.06	79.09	1.32	92.41	25.62	131.46	377.36	1.34	110.19	0.0	0.0	0.0	0.0	223.69	89.41	183.47	101.37	61.22	327.23	148.69	262.63	544.83	274.38	214.42	160.68	323.0	221.22	202.2	177.61	318.46	105.08	93.87	0.0	167.38	6.8	180.81	269.13	207.08	0.0	128.73	52.19	352.65	278.55	137.82	169.08	0.0	218.82	255.14	241.29	142.54	0.0	0.18	0.0	0.0	0.52	0.0	0.0	100.79	164.36	61.91	62.56	158.15	383.83	89.33	193.71
Scn3a	31.47	1.34	35.43	0.0	0.0	22.54	0.0	0.0	12.9	64.62	0.3	0.0	44.83	1.81	86.08	6.31	0.48	0.98	0.0	10.27	0.0	14.91	46.05	15.9	44.21	11.73	16.21	31.59	21.05	12.71	6.26	14.36	40.39	39.92	0.71	19.19	29.27	28.04	15.98	4.07	13.6	17.87	18.36	1.13	19.23	22.27	12.66	19.08	30.66	14.59	1.6	20.82	19.54	0.03	24.7	17.13	10.93	10.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.88	49.07	78.82	17.92	15.95	45.25	3.74	7.14
Sprr2a1	0.53	0.0	0.19	0.0	0.05	0.68	0.0	0.0	0.03	0.7	0.26	0.0	0.24	1.16	1.52	0.41	0.0	0.0	0.0	0.7	0.0	0.57	0.26	0.71	0.77	0.54	0.87	0.0	6.91	11.74	0.27	4.25	0.05	0.23	1.74	0.13	0.28	0.06	0.03	0.41	0.11	0.49	0.11	6.02	0.0	0.21	0.0	0.23	0.16	0.15	0.0	0.45	6.48	0.02	0.65	0.15	0.32	0.7	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04	0.06	0.25	0.12	0.74	0.39	0.16	0.09
Sprr2a2	0.53	0.0	0.19	0.0	0.05	0.68	0.0	0.0	0.03	0.7	0.26	0.0	0.24	1.16	1.52	0.41	0.0	0.0	0.0	0.7	0.0	0.57	0.26	0.71	0.77	0.54	0.87	0.0	6.91	11.74	0.27	4.25	0.05	0.23	1.74	0.13	0.28	0.06	0.03	0.41	0.11	0.49	0.11	6.02	0.0	0.21	0.0	0.23	0.16	0.15	0.0	0.45	6.48	0.02	0.65	0.15	0.32	0.7	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04	0.06	0.25	0.12	0.74	0.39	0.16	0.09
Ssr4	255.74	573.86	302.19	1045.88	156.48	572.94	0.0	0.0	114.36	395.14	281.77	287.79	296.39	281.17	1076.02	464.88	237.87	527.35	0.0	185.13	0.0	428.32	231.81	555.81	174.26	285.7	615.35	816.97	696.4	436.71	364.32	800.05	495.53	443.26	348.84	251.35	313.05	254.39	445.7	93.44	175.51	380.52	272.37	609.99	332.96	297.07	7.52	216.62	351.73	421.68	372.73	189.98	588.35	640.18	264.1	393.84	277.03	161.61	0.0	441.87	0.0	0.72	0.0	0.0	0.0	349.56	585.84	277.06	452.8	225.18	287.88	359.12	403.64
Syt4	175.15	84.18	595.28	264.81	86.67	140.8	0.0	0.0	332.81	158.78	175.24	104.84	202.65	422.63	1348.58	71.62	0.0	0.0	0.0	151.97	0.0	331.02	650.03	496.18	238.18	137.49	418.45	384.92	725.68	235.9	370.71	253.33	183.87	525.91	290.79	327.16	94.62	198.3	171.03	158.55	152.42	209.34	65.54	182.72	381.49	399.46	49.58	240.83	208.6	311.35	242.27	297.07	238.61	0.2	446.94	355.91	213.84	247.38	0.0	0.18	0.15	0.0	0.0	0.0	0.0	337.61	241.48	218.43	111.02	107.15	265.64	175.37	141.18
Timp2	153.33	59.78	102.27	78.86	126.66	141.34	0.0	0.0	76.42	8.48	0.0	0.0	51.62	229.58	628.38	0.0	0.0	0.0	0.0	0.0	0.0	89.13	124.52	145.19	135.54	67.94	153.38	109.17	288.12	110.53	233.81	219.07	117.08	185.2	60.24	180.27	137.01	76.56	141.88	0.0	8.37	92.35	0.08	66.1	141.06	86.14	83.53	19.45	182.53	125.0	78.03	46.54	85.16	0.0	98.41	8.02	34.41	241.88	0.0	0.19	0.0	186.15	0.0	277.57	0.0	116.45	156.39	12.09	93.01	97.54	234.33	121.21	131.77
Tmbim4	331.93	380.82	82.92	0.0	0.0	197.34	0.0	0.0	204.41	136.54	151.14	232.46	180.86	40.05	684.67	7.2	0.0	133.38	0.0	107.24	0.0	228.11	106.69	218.72	267.24	423.0	51.69	183.79	198.69	143.8	154.61	136.92	142.63	270.95	231.32	226.56	94.12	245.72	53.89	81.37	0.0	150.05	87.73	131.09	129.06	159.51	117.34	126.46	230.52	187.24	175.38	191.42	0.0	0.0	151.56	6.97	135.32	301.04	1.57	0.46	0.0	0.0	0.0	526.02	0.0	35.52	120.03	64.95	164.94	434.91	188.32	381.15	290.63
Tmem130	323.74	521.55	309.18	267.43	58.9	794.17	0.0	0.0	27.73	312.79	292.57	112.7	213.91	242.99	608.6	300.56	52.71	160.31	0.0	437.91	0.0	938.96	404.63	709.37	553.83	632.71	629.49	552.18	720.98	475.03	912.21	965.84	857.63	940.47	1047.55	997.71	1019.52	658.59	933.67	326.07	236.89	655.5	367.17	546.77	1679.24	932.12	270.0	300.62	838.25	1058.53	771.81	1127.08	1074.2	0.58	1031.61	1370.27	763.83	601.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	788.22	837.3	555.92	665.87	1676.35	486.33	660.17	792.51
Tmem59l	400.47	773.24	661.58	323.76	420.65	953.81	0.0	0.0	320.01	901.4	904.89	333.64	329.87	467.32	1665.94	161.01	368.38	323.13	0.0	458.9	0.0	584.01	529.23	643.94	561.17	747.68	629.08	637.36	413.48	835.49	985.69	834.18	416.36	949.73	869.94	730.99	495.1	696.73	560.9	645.58	304.81	456.66	565.9	421.08	1048.96	617.07	307.8	457.79	674.63	917.12	412.03	731.44	655.47	0.22	639.57	1148.43	523.46	673.76	0.0	0.96	0.0	0.32	0.0	0.0	0.0	582.02	687.0	542.66	603.07	1540.09	460.35	683.54	988.79
Vps41	180.88	81.51	256.77	76.6	132.79	214.56	0.0	0.0	98.23	434.46	120.12	184.11	296.77	229.07	709.07	66.89	144.17	30.24	0.0	29.89	0.0	464.75	640.19	397.33	291.21	364.19	284.6	421.93	265.34	415.02	347.29	300.95	179.01	199.28	391.96	401.9	285.13	183.17	244.48	240.38	149.04	74.68	360.97	397.73	343.78	411.46	102.3	83.12	399.88	238.23	279.9	559.94	328.59	0.0	453.32	268.45	167.73	229.94	40.26	0.33	0.0	81.23	0.0	0.0	537.32	150.97	340.42	133.78	218.38	383.45	220.33	404.36	377.67
Zcchc12	1646.48	552.52	2102.73	1219.64	902.28	2477.7	0.0	0.0	366.9	408.28	279.42	373.96	240.11	409.97	1692.31	692.79	77.69	139.27	0.0	701.33	0.0	2916.48	2797.77	2311.07	2066.1	4396.19	2990.54	3900.77	2222.32	2355.68	3454.91	2669.74	1972.86	2515.67	1781.48	2260.88	2080.17	2451.84	2256.89	300.38	438.05	2061.17	0.63	2338.22	2640.94	2611.39	700.67	1314.22	3393.42	1903.86	2478.34	1983.81	2357.23	0.51	2414.78	2553.06	2768.98	1560.65	0.0	0.64	0.55	0.21	0.0	0.0	0.0	1867.04	1748.1	2840.11	2061.79	2299.08	1797.12	2861.02	1563.93
Zswim7	95.62	0.0	114.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.74	257.31	0.0	0.0	0.0	0.0	4.43	0.0	171.67	131.81	0.0	0.0	133.75	148.07	0.0	36.48	14.28	61.15	36.89	0.0	0.0	74.53	0.0	0.0	87.29	41.75	0.0	0.0	0.0	0.0	50.57	46.72	0.0	24.4	0.0	46.0	0.0	76.0	0.0	104.12	0.0	23.93	0.0	1.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.28	0.0	47.05	66.37	33.9	0.27	0.0	0.0
