	Calb2_tdTpositive_cell_10	Ctgf_tdTpositive_cell_2	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_25	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_71	Cux2_tdTpositive_cell_95	Cux2_tdTpositive_cell_99	Cux2_tdTpositive_cell_104	Cux2_tdTpositive_cell_105	Cux2_tdTpositive_cell_108	Cux2_tdTpositive_cell_109	Cux2_tdTpositive_cell_112	Cux2_tdTpositive_cell_116	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_119	Cux2_tdTpositive_cell_120	Cux2_tdTpositive_cell_121	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_50	Gad2_tdTpositive_cell_51	Gad2_tdTpositive_cell_66	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTnegative_cell_9	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTnegative_cell_1	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_4	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_9	Ntsr1_tdTnegative_cell_51	Rbp4_tdTpositive_cell_40	Rbp4_tdTpositive_cell_130	Scnn1a.Tg2_tdTnegative_cell_7	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_4	Slc17a6_tdTpositive_cell_8	Slc17a6_tdTpositive_cell_9	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_12	Slc17a6_tdTpositive_cell_14	Slc17a6_tdTpositive_cell_25	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_37	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Slc17a6_tdTpositive_cell_42	Slc17a6_tdTpositive_cell_43	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_46	Slc17a6_tdTpositive_cell_47	Sst_tdTpositive_cell_13	Vip_tdTpositive_cell_29	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_42
Raph1	31.98	0.0	0.23	14.32	8.52	21.88	26.99	4.45	6.4	0.21	13.03	0.0	5.19	5.54	0.65	2.13	36.01	20.63	2.82	59.87	0.0	0.03	0.0	8.51	54.87	0.0	0.0	0.0	0.0	0.16	2.95	0.0	33.17	60.79	5.83	0.0	15.55	35.05	20.67	2.78	22.03	12.41	0.0	0.0	0.0	0.0	35.23	1.79	22.75	17.28	6.22	0.17	5.21	1.15	53.13	9.9	0.0	13.98	0.0	11.93	32.69	0.0	25.25	0.05	1.31	10.82	9.28	6.36	6.43	14.12	16.94	17.26	11.71	18.24	14.36	11.38	1.23
Runx1t1	30.45	0.0	0.17	38.41	45.65	0.11	54.3	32.35	25.72	68.79	13.51	177.16	48.99	73.35	27.9	27.44	5.82	32.9	77.89	5.44	20.47	18.87	65.62	141.68	40.55	0.0	0.0	0.0	0.0	88.53	42.68	7.9	133.72	59.47	123.15	0.0	181.67	153.31	94.06	146.3	183.1	20.91	117.71	86.64	0.0	9.19	41.79	85.95	97.37	135.16	83.21	97.37	4.02	76.19	55.3	55.0	51.84	11.64	4.87	143.29	53.05	39.42	59.34	99.89	41.04	140.79	125.6	128.47	100.52	110.63	138.41	176.35	127.3	278.08	177.67	172.82	89.49
Scai	2.25	0.0	6.64	1.78	34.59	1.94	0.75	1.08	5.67	2.0	3.5	3.88	0.29	29.8	56.98	17.94	2.44	18.66	2.01	1.12	1.09	37.85	2.07	24.71	6.33	0.0	0.0	1.38	0.0	1.43	12.65	0.78	34.98	43.74	18.45	0.0	11.23	0.88	2.59	37.44	3.09	26.2	0.41	3.11	0.0	31.39	3.26	9.57	1.21	0.4	28.19	22.87	35.68	36.58	30.48	42.82	1.42	0.48	4.93	0.5	2.28	17.47	28.39	10.5	1.74	9.98	8.24	22.99	5.71	14.12	21.15	18.25	10.01	24.93	15.44	16.76	35.31
Sez6	0.32	0.0	0.14	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	49.65	59.93	0.23	46.42	0.01	31.49	14.88	1.75	0.27	0.0	0.67	0.0	0.84	67.94	0.0	0.0	0.0	0.0	0.0	45.41	0.1	14.32	68.36	0.0	0.0	0.0	0.0	0.0	0.34	0.2	46.55	0.06	97.85	0.0	0.17	48.13	47.29	0.0	0.0	0.0	0.0	0.17	0.0	21.84	0.0	0.0	0.0	0.48	6.41	0.15	48.12	0.0	0.0	0.0	48.68	30.07	51.34	46.83	39.78	48.13	57.13	48.71	36.28	42.36	41.01	196.14
Slc8a1	0.54	0.0	33.07	17.08	31.87	28.81	27.42	0.0	1.84	8.96	18.07	33.11	11.05	16.25	77.47	21.71	8.04	25.11	1.3	20.11	19.56	19.45	32.73	53.56	0.02	0.0	0.0	0.0	0.0	18.08	11.47	12.5	79.25	37.91	14.19	0.0	25.93	36.48	32.88	59.19	10.4	103.88	10.69	20.09	0.0	29.56	9.06	52.34	79.93	13.13	16.84	13.53	0.12	23.39	12.87	28.8	9.16	8.39	0.0	5.86	7.93	19.26	0.0	11.09	3.15	60.06	29.12	46.95	27.23	49.0	35.87	42.41	34.6	33.96	29.78	30.49	83.03
Soat1	0.47	1.06	0.9	0.72	2.47	6.9	13.7	57.1	1.51	9.69	2.57	1.64	0.71	0.89	0.47	3.76	0.42	2.56	0.3	0.67	1.01	0.25	0.78	6.26	86.41	0.2	1.21	0.1	0.05	1.11	32.06	1.19	6.97	75.58	17.84	0.45	0.89	8.63	1.29	1.0	25.15	11.38	0.82	0.18	0.25	90.42	1.25	8.67	0.17	13.68	0.34	2.4	0.57	2.96	6.05	1.44	0.71	0.77	0.66	13.12	0.39	0.67	0.5	1.26	0.77	2.36	10.26	6.57	10.0	6.99	1.23	11.44	6.63	10.11	6.09	6.48	0.95
Syt7	4.05	0.0	16.25	5.68	3.01	63.42	9.38	0.66	66.39	93.08	2.64	8.57	3.08	81.16	6.29	38.26	11.96	9.87	10.0	8.83	0.84	3.83	8.3	23.93	39.1	0.57	0.0	0.07	0.0	7.1	49.21	24.09	180.38	53.4	9.93	0.22	78.24	10.47	40.33	1.67	19.88	13.51	21.66	39.85	0.0	0.51	15.32	12.34	20.27	23.53	2.79	0.46	62.44	14.1	37.53	86.28	0.38	0.53	4.99	9.88	16.6	7.91	25.22	0.21	0.0	46.77	41.81	32.85	43.32	41.4	38.43	39.91	29.87	39.12	31.02	34.42	160.78
Ttc9b	34.06	0.0	3.85	2.39	4.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.37	0.13	0.06	2.57	0.95	0.04	13.46	0.0	0.0	6.25	0.0	49.98	0.0	0.0	0.0	0.0	0.0	0.3	0.0	96.09	175.23	76.85	0.0	7.8	97.21	28.39	7.25	0.0	0.0	0.0	0.0	0.0	0.0	10.75	40.93	0.0	48.19	42.31	67.01	2.42	57.73	6.29	1.37	0.0	0.68	42.35	0.62	34.23	0.0	7.77	24.57	0.0	48.51	77.92	57.95	64.25	61.81	52.83	82.94	32.58	57.35	73.63	77.52	61.96
Zfp760	0.0	0.0	0.07	39.94	67.39	106.87	23.19	0.0	0.0	0.0	1.4	0.0	0.0	0.1	5.12	0.0	0.0	11.29	0.02	0.52	0.0	0.0	0.11	0.0	80.57	0.0	0.0	0.0	0.0	0.0	0.06	0.77	0.0	76.45	0.0	0.0	62.87	7.32	0.0	0.0	56.8	0.0	0.0	0.2	0.0	31.47	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.15	39.44	0.14	0.56	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	24.44	12.15	3.87	6.74	9.72	7.87	9.2	5.18	11.2	5.8	10.48	0.0
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	1.51	0.51	0.13	0.25	0.12	3.29	0.0	0.0	0.01	2.42	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	34.55	0.0	0.0	1.02	0.43	79.75	29.9	0.0	0.0	3.65	0.0	130.76	0.24	0.01	0.02	0.23	0.0	0.0	0.1	0.11	0.0	0.18	0.04	0.0	0.04	4.48	0.0	0.0	2.77	0.02	0.0	100.77	9.86	4.83	261.93	46.91	210.2	12.15	50.19	8.22	0.19	1.6	83.8
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	1.51	0.51	0.13	0.25	0.12	3.29	0.0	0.0	0.01	2.42	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	34.55	0.0	0.0	1.02	0.43	79.75	29.9	0.0	0.0	3.65	0.0	130.76	0.24	0.01	0.02	0.23	0.0	0.0	0.1	0.11	0.0	0.18	0.04	0.0	0.04	4.48	0.0	0.0	2.77	0.02	0.0	100.77	9.86	4.83	261.93	46.91	210.2	12.15	50.19	8.22	0.19	1.6	83.8
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	1.51	0.51	0.13	0.25	0.12	3.29	0.0	0.0	0.01	2.42	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	34.55	0.0	0.0	1.02	0.43	79.75	29.9	0.0	0.0	3.65	0.0	130.76	0.24	0.01	0.02	0.23	0.0	0.0	0.1	0.11	0.0	0.18	0.04	0.0	0.04	4.48	0.0	0.0	2.77	0.02	0.0	100.77	9.86	4.83	261.93	46.91	210.2	12.15	50.19	8.22	0.19	1.6	83.8
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	1.51	0.51	0.13	0.25	0.12	3.29	0.0	0.0	0.01	2.42	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	34.55	0.0	0.0	1.02	0.43	79.75	29.9	0.0	0.0	3.65	0.0	130.76	0.24	0.01	0.02	0.23	0.0	0.0	0.1	0.11	0.0	0.18	0.04	0.0	0.04	4.48	0.0	0.0	2.77	0.02	0.0	100.77	9.86	4.83	261.93	46.91	210.2	12.15	50.19	8.22	0.19	1.6	83.8
