	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_61	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_89	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_4	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Rbp4_tdTnegative_cell_3	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_105	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_38	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39
Sec61g	321.79	93.49	288.2	176.91	244.25	95.61	288.16	172.07	184.3	171.28	272.3	210.97	325.81	330.52	165.65	62.84	304.98	204.44	221.39	291.47	119.5	163.82	238.19	224.58	306.96	213.53	454.63	366.79	214.23	303.8	250.43	179.84	78.32	172.38	250.79	332.9	342.95	649.7	230.97	300.19	308.36	0.45	431.35	321.22	474.93	281.51	326.33	398.1	246.22	182.15	287.68	214.78	237.58	90.93	434.27	606.73	610.97	396.19	326.54	194.52	601.7	453.81	123.45	113.09	143.71	230.84	141.39
Snrpd2	179.98	908.36	107.83	263.55	58.51	165.88	273.56	388.27	203.81	210.25	0.0	939.04	538.71	109.79	361.6	390.28	629.06	751.29	344.18	594.15	545.55	271.48	309.28	325.02	308.64	430.87	788.38	247.28	253.33	501.47	767.69	323.91	225.13	575.76	322.03	433.26	507.7	424.98	247.11	276.56	461.7	0.73	488.08	491.47	661.69	870.62	288.57	233.45	231.82	361.32	409.5	285.84	343.36	432.25	473.19	1305.56	811.03	1018.92	191.71	206.27	570.34	496.48	92.04	467.76	189.08	98.86	568.0
Spag7	339.71	409.35	205.1	243.96	480.25	247.53	1.47	103.04	1.22	2.68	463.31	158.47	211.03	201.54	448.07	1.45	724.53	215.79	599.4	116.45	1070.33	199.45	192.63	373.4	419.43	211.59	1003.84	473.03	730.52	130.21	343.04	447.16	567.94	930.06	292.54	140.67	215.83	443.88	70.41	251.28	268.92	1.14	72.24	592.69	239.99	593.83	306.91	367.04	266.85	319.55	363.16	229.26	289.67	176.56	167.48	153.95	286.98	530.84	609.76	591.33	263.42	420.13	292.65	437.39	173.0	434.98	318.05
Srp14	796.0	583.72	157.33	134.76	335.54	282.2	156.86	497.36	252.72	0.58	476.99	145.03	563.1	318.82	394.06	189.6	440.34	602.67	1.14	874.05	309.15	364.18	1072.29	433.07	751.42	379.27	944.25	871.27	632.04	219.86	805.31	900.11	229.56	553.9	340.62	354.55	638.01	728.03	684.63	674.68	379.16	0.86	245.66	145.66	608.32	328.54	616.14	215.94	422.07	493.76	487.6	483.62	476.98	493.74	356.15	891.9	889.98	977.54	1203.25	953.99	1054.63	227.24	803.84	240.25	393.73	256.83	531.9
Sugt1	265.69	56.98	10.63	346.54	278.95	0.95	361.81	201.13	0.0	88.26	270.95	17.83	295.2	181.73	424.84	59.17	0.82	121.1	4.45	260.68	188.42	12.97	120.96	51.27	390.68	244.93	209.58	224.69	579.98	34.0	311.78	227.75	91.17	172.44	260.51	100.45	99.85	7.55	197.4	89.54	82.25	0.33	43.28	6.76	154.11	338.04	56.16	159.19	237.39	147.04	186.4	163.23	153.91	95.78	363.94	0.0	251.79	433.45	240.84	373.48	278.31	57.79	330.29	153.67	220.47	225.76	211.73
Swi5	351.5	925.24	13.53	761.27	356.79	379.12	970.37	740.39	451.32	239.88	227.93	562.83	473.26	686.12	341.7	392.77	416.5	741.25	471.79	882.29	570.09	571.6	591.06	706.29	735.78	774.2	722.15	817.59	949.04	650.43	775.94	456.53	246.66	708.59	653.96	404.6	350.32	494.4	412.25	513.39	486.37	0.88	405.95	244.09	361.79	543.3	238.78	608.91	442.82	492.01	741.73	382.52	381.72	1059.35	581.48	929.21	761.55	641.16	1004.64	1007.0	2065.31	756.9	372.85	239.47	633.64	412.28	986.98
Tceal8	129.13	94.69	4.75	55.38	134.28	115.44	328.58	69.63	161.63	105.86	0.68	65.99	1.75	120.73	102.04	287.14	0.0	0.0	64.03	303.23	168.81	38.06	40.53	0.0	153.28	133.03	182.32	185.7	110.14	99.94	148.31	0.8	91.7	100.64	82.18	172.62	105.54	120.51	92.13	160.58	122.32	1.37	72.07	5.24	0.25	194.85	122.78	184.58	206.68	122.55	77.4	102.87	89.19	149.08	166.19	244.19	202.15	96.4	76.86	196.27	95.74	109.84	39.1	61.28	87.32	162.0	144.01
Tceb1	570.96	759.61	273.93	710.33	504.2	439.12	652.02	700.34	487.39	708.48	539.73	633.31	578.22	510.22	554.19	596.54	178.45	434.37	416.39	609.48	10.43	282.15	325.17	207.75	328.12	467.8	646.64	514.67	548.04	446.68	854.16	441.72	627.91	383.93	335.77	573.21	539.04	959.06	835.38	730.92	605.73	198.59	808.94	587.72	730.32	752.4	445.17	602.03	285.27	493.51	619.88	646.38	448.28	575.34	966.75	817.36	353.82	244.12	800.28	866.62	493.81	922.59	876.18	736.01	553.95	682.54	496.07
Tceb2	653.26	1146.28	217.49	596.39	550.01	820.56	501.82	600.06	371.55	932.27	733.66	544.46	915.37	561.58	654.36	520.72	818.82	819.83	1030.21	1158.48	875.46	504.38	1010.94	476.87	1095.18	836.79	1305.43	2290.45	1529.11	900.79	935.49	435.38	522.87	1371.45	838.14	783.25	1275.36	1250.16	1464.99	1431.78	1241.14	2.08	322.71	377.02	580.31	651.79	670.3	536.1	535.82	942.07	907.8	664.54	894.44	1067.95	1273.99	1193.91	1334.06	667.07	655.97	993.15	713.95	1003.32	870.56	680.92	718.68	841.95	500.75
Timm17a	832.79	818.49	309.46	431.57	366.15	308.47	640.78	628.95	478.26	940.61	273.94	469.56	977.91	812.77	357.5	0.0	150.5	188.1	218.74	668.82	784.72	104.23	458.19	689.41	845.72	676.29	872.59	1097.78	259.74	254.95	863.56	747.01	397.99	540.06	921.42	571.17	750.45	635.84	694.7	607.78	872.22	0.37	314.95	353.06	648.19	715.71	342.16	397.64	645.74	775.44	396.99	721.31	633.04	287.33	799.8	789.73	1682.71	1102.57	1362.24	574.38	672.45	505.42	688.2	972.78	969.84	160.42	660.53
Timm8b	726.32	393.81	585.47	311.61	470.81	387.26	447.48	242.01	489.46	357.65	958.22	698.17	377.93	482.18	468.55	464.4	567.78	353.97	661.56	318.7	767.11	470.93	737.9	523.82	831.1	413.4	723.93	813.57	1302.03	676.8	862.68	917.44	404.63	747.78	464.6	886.47	868.19	1064.71	934.57	806.38	1043.83	0.67	315.08	584.08	577.44	265.36	418.2	504.79	636.8	590.25	846.89	533.83	562.37	234.41	960.45	1076.91	1450.31	1407.3	589.78	1673.89	1124.91	558.71	660.59	660.0	662.8	322.19	457.66
Tomm6	272.65	535.69	82.23	151.66	225.52	229.49	239.86	153.21	242.63	308.08	458.87	267.25	264.18	235.58	206.24	169.33	167.99	361.79	100.06	481.84	351.62	185.85	303.37	309.41	473.0	125.13	290.28	277.58	284.18	235.17	236.78	147.76	162.52	223.88	210.43	381.22	417.23	254.81	430.09	404.34	366.84	0.7	294.55	70.76	171.73	182.56	483.27	300.25	309.3	322.84	332.72	235.74	264.8	308.35	297.98	171.39	371.29	446.82	400.94	314.24	255.22	379.55	255.42	149.45	343.86	92.69	282.05
Tomm7	191.2	101.41	104.25	144.73	86.59	89.56	284.06	200.93	47.64	37.82	64.19	141.49	61.17	144.18	185.03	197.45	299.02	129.6	141.86	243.17	314.65	145.92	380.12	212.15	122.85	111.3	253.23	239.14	176.02	170.2	234.99	140.39	101.97	291.14	155.14	144.54	252.25	307.43	240.72	257.78	245.67	279.99	215.18	65.01	162.12	153.38	149.67	217.08	200.37	256.19	178.99	138.14	150.91	157.68	126.9	444.39	268.71	74.51	246.1	148.42	226.35	306.5	144.27	235.76	148.15	259.3	35.93
Trappc2l	410.04	287.34	79.4	309.34	264.27	294.3	567.2	650.96	149.09	1278.55	298.49	183.3	587.27	526.88	749.86	492.4	0.0	544.05	0.76	990.52	0.0	519.46	434.56	182.31	286.48	126.18	953.31	457.72	610.73	978.11	147.68	447.83	543.68	901.38	245.94	334.32	516.32	570.91	641.09	708.74	806.09	0.57	0.0	542.91	45.52	403.4	379.93	313.25	146.04	439.59	333.29	317.38	348.62	166.85	1137.2	411.99	1094.93	505.79	878.44	477.01	950.86	0.0	801.34	424.61	618.19	0.0	465.49
Ubl5	72.49	149.56	143.55	69.3	60.15	67.26	129.82	105.14	97.48	155.98	28.3	74.48	81.34	165.73	134.08	67.38	154.18	35.15	58.98	138.83	205.27	77.17	161.19	131.14	287.97	109.15	268.76	196.67	242.23	196.46	218.47	103.75	40.59	123.91	91.82	168.49	161.63	127.41	135.19	131.37	175.07	0.0	26.36	73.96	142.16	108.84	214.0	202.07	87.97	137.35	112.55	71.26	94.63	115.01	138.07	151.63	197.94	111.95	124.85	233.37	217.17	99.98	123.35	130.91	106.98	28.72	71.02
Vps28	729.11	484.04	563.43	523.43	303.87	471.92	372.25	502.68	295.39	620.14	793.77	166.77	562.19	470.48	283.08	181.32	195.64	982.09	892.2	1154.94	735.33	484.44	467.48	0.0	499.58	572.68	1167.83	1342.66	1383.86	198.7	1062.29	726.95	636.75	740.72	734.22	551.12	579.07	594.3	408.37	740.77	943.26	0.76	341.71	433.48	235.3	293.07	722.68	302.83	573.18	649.15	443.84	554.87	604.19	777.77	831.11	1559.9	751.01	484.07	178.26	874.47	963.43	433.37	1011.59	510.11	733.73	449.3	735.22
mt_AK131587	297.49	454.63	234.25	297.26	182.61	261.02	218.8	318.36	309.39	156.17	196.58	243.33	310.92	234.19	195.46	483.09	344.34	219.87	293.29	549.29	497.82	209.81	322.62	229.85	327.38	279.15	308.95	231.11	290.56	233.52	331.53	436.19	225.59	356.87	464.81	684.7	494.39	667.38	743.88	704.16	429.64	39.93	150.95	266.81	667.53	182.36	311.89	182.78	419.73	409.1	468.48	566.1	350.18	224.12	348.54	509.15	476.88	661.17	395.9	519.49	411.85	272.96	525.03	494.31	1170.16	391.27	222.1
mt_AK141672	117.93	146.59	26.68	42.66	115.4	57.32	40.17	107.53	38.41	81.21	66.03	43.36	24.81	82.75	119.77	97.88	40.27	86.62	95.74	138.06	88.34	58.56	74.29	92.16	62.11	191.4	137.82	99.64	105.46	148.75	78.68	105.75	74.19	113.71	153.99	207.05	150.15	306.08	192.48	186.52	145.92	26.49	47.58	81.34	274.03	102.8	170.71	76.68	96.97	90.56	119.44	94.21	128.8	53.04	100.64	104.75	179.79	123.99	87.12	162.65	369.34	58.5	134.23	96.37	130.27	56.53	97.38
