	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTnegative_cell_14	Nr5a1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_52	Rbp4_tdTpositive_cell_44	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_101	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_130	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Scnn1a.Tg3_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_37	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_43
Tmem80	0.0	0.0	8.15	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.64	39.36	75.02	0.0	0.4	6.19	0.0	0.08	0.0	147.47	0.0	99.96	0.0	0.0	0.0	0.0	102.58	8.36	17.51	1.94	18.75	19.24	37.67	1.02	0.14	18.46	14.36	16.39	10.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Twf1	146.08	41.79	176.72	108.57	7.41	107.47	153.91	57.07	413.95	258.1	31.98	100.74	227.63	175.59	123.06	191.14	226.17	170.17	233.62	244.29	148.28	374.9	192.33	188.27	101.25	133.48	252.51	134.73	225.63	200.84	212.75	160.77	217.44	227.72	185.04	128.82	229.08	105.57	292.37	201.53	253.95	1.34	23.64	132.73	67.97	270.72	66.78	214.59
Usp4	11.93	0.0	97.46	0.0	0.0	158.27	6.21	52.88	0.0	0.0	0.0	31.7	0.23	0.95	0.09	10.95	22.18	26.4	6.25	89.46	6.77	169.46	20.78	63.47	12.36	91.81	0.0	12.34	10.88	74.0	31.54	49.55	30.13	53.51	34.77	22.52	29.91	14.31	25.48	27.86	38.6	0.08	0.0	0.0	0.0	0.0	58.66	0.0
Usp46	0.72	14.41	7.58	0.27	0.0	0.0	10.37	166.57	16.57	169.14	8.88	2.98	95.82	4.43	19.38	22.66	48.09	41.21	12.72	0.79	10.58	172.29	40.79	32.28	63.29	51.28	35.24	0.0	94.29	65.27	61.53	49.85	103.77	132.56	60.64	64.91	70.26	29.74	95.15	110.93	99.33	1.05	0.0	1.77	0.22	3.45	88.86	0.0
Wasf3	0.0	0.0	40.58	0.0	0.0	2.72	0.0	0.0	0.0	15.17	0.0	0.0	18.09	0.36	0.25	1.07	9.58	0.0	2.03	0.0	0.0	10.44	0.0	2.91	0.0	0.0	0.0	3.08	0.0	11.51	9.47	11.57	9.69	10.62	4.38	0.87	7.27	7.95	4.11	8.46	4.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xrcc1	0.0	0.0	0.0	31.67	0.0	0.14	0.0	0.0	0.0	0.0	0.38	0.0	0.2	8.35	0.16	1.49	0.48	4.23	4.95	1.05	0.0	8.47	0.0	0.0	2.04	66.82	0.0	0.0	1.97	9.78	22.06	11.68	4.89	13.44	33.75	3.25	10.72	15.78	3.9	0.48	6.16	0.4	0.0	0.0	0.67	0.0	0.0	0.0
Zbtb7a	5.42	4.2	0.07	15.12	7.72	0.39	20.56	1.19	8.48	8.22	2.8	33.82	11.42	3.29	0.12	4.46	12.3	8.69	7.06	6.14	20.61	24.15	0.23	4.31	11.5	4.34	21.7	22.01	0.13	15.25	15.56	8.52	8.77	10.82	13.52	11.63	9.23	13.44	13.46	16.78	16.34	15.45	0.31	10.62	2.03	0.0	15.98	0.07
Zfp192	0.0	0.02	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.04	0.04	0.03	14.17	1.49	0.15	1.38	10.93	0.0	0.0	0.14	0.0	0.11	0.0	31.08	2.65	6.29	2.51	1.82	7.2	11.81	3.26	2.3	1.08	1.54	2.49	4.11	1.83	0.0	0.0	0.0	0.0	0.0	0.0
Zfp583	0.42	0.0	0.0	0.0	0.0	0.0	0.0	54.41	0.0	31.65	0.0	0.0	0.0	0.0	0.24	0.0	0.09	55.43	0.09	0.11	6.32	98.42	0.0	0.0	0.0	0.0	18.78	43.59	0.0	21.18	16.31	13.2	28.46	0.87	0.0	2.52	7.94	21.94	2.27	7.34	6.91	0.0	0.0	9.72	0.0	0.0	2.66	0.0
Zfp759	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.18	0.0	0.0	7.77	0.0	0.0	41.59	0.0	0.0	0.0	0.0	0.0	0.0	35.31	13.9	0.82	0.0	0.0	6.0	9.02	0.0	2.4	4.24	7.5	6.79	4.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0
