	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gpr156	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.05	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.07	1.15	1.35	0.82
Hnrnpul1	0.0	8.54	0.0	0.0	0.0	0.0	0.0	0.33	0.0	24.26	12.47	1.62	1.56	0.0	0.34	0.0	2.1	2.32	0.0	0.0	0.0	0.0	0.0	0.0	1.83	2.06	0.0	0.0	0.0	0.09	0.08	4.1	3.9	4.42	0.0	0.25	0.0	5.44	5.02	0.51	16.75	3.76	0.08	0.22	0.0	0.21	3.13	0.0	0.0	0.0	0.0	0.08	0.0	3.37	0.0	0.0	0.0	1.67	0.0	0.0	16.46	2.76	11.4	0.63	2.71	2.77	68.91	75.58	74.25
Hnrpll	4.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.17	0.0	175.07	1.87	14.0	7.61	0.32	0.0	0.0	0.0	0.0	0.0	0.0	7.75	0.0	27.4	0.12	0.0	16.54	0.05	5.9	0.0	18.68	8.93	7.23	0.0	0.0	0.19	14.23	0.0	0.0	14.51	129.14	2.99	0.15	3.28	0.0	6.77	39.12	0.09	2.63	0.0	45.08	8.03	0.08	29.17	0.0	0.0	0.0	0.0	38.96	0.0	34.74	0.0	0.1	2.17	18.72	11.57	53.39	53.03	51.14
Htr5a	0.0	12.51	0.0	0.0	0.0	0.06	0.05	0.0	9.94	5.26	6.91	0.0	0.1	21.64	0.0	0.07	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.04	0.12	0.0	0.38	0.0	0.07	15.66	0.0	0.0	0.0	0.0	0.0	40.07	7.95	0.0	0.0	0.0	0.41	21.07	0.0	0.05	0.0	0.0	0.03	15.71	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	1.28	10.69	10.48	9.74
Igsf8	9.51	23.72	0.14	0.0	0.0	0.0	0.0	0.0	36.78	7.27	82.82	7.61	65.91	151.03	34.17	4.46	76.49	1.6	0.0	0.0	0.0	2.77	0.0	19.64	19.16	28.34	21.92	2.02	38.63	11.39	47.43	29.49	4.09	37.55	34.28	16.85	2.53	1.57	17.48	3.82	113.41	7.55	6.59	3.27	26.82	11.93	29.2	15.39	14.08	30.17	35.17	7.42	45.89	17.37	0.0	0.0	303.15	1.55	23.16	2.64	35.27	35.03	5.48	3.94	10.24	11.14	177.56	211.72	181.99
Jmjd6	35.8	63.63	20.37	0.0	0.0	0.0	0.0	0.0	2.84	79.28	0.0	0.0	13.3	0.0	0.0	28.92	18.97	0.0	0.0	0.0	0.98	11.22	0.0	46.15	0.0	7.79	0.0	0.0	56.56	0.0	0.0	0.0	28.81	13.67	0.0	31.92	90.49	13.15	59.47	44.63	125.26	1.18	0.0	0.0	0.0	134.05	0.0	8.78	46.71	0.0	0.1	0.0	36.01	21.56	0.0	0.0	0.0	35.18	1.67	50.99	20.46	5.84	26.04	0.16	6.71	16.94	25.18	26.98	25.75
Kcnc1	8.09	50.94	21.48	0.0	0.0	0.24	0.0	0.0	60.35	58.08	61.53	2.99	83.07	119.53	2.69	19.34	22.18	4.93	0.0	0.16	0.0	22.61	0.0	0.09	7.4	2.8	0.04	0.02	0.02	4.87	4.49	7.53	0.06	0.0	3.81	3.79	4.61	0.05	26.71	0.04	70.68	1.16	0.83	9.61	0.03	0.18	3.62	0.1	1.56	0.2	2.6	1.7	0.0	5.2	0.29	0.0	0.0	0.22	0.9	19.84	0.33	0.31	32.29	2.35	1.41	4.02	96.03	98.54	104.01
Kcnh7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.14	0.0	0.0	21.09	1.17	15.22	0.0	0.0	25.43	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.02	0.0	0.04	0.0	0.0	0.44	0.0	10.67	0.0	0.0	0.71	0.07	0.0	0.08	0.0	79.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.06	4.39	7.59	0.0	0.0	0.0	15.82	0.06	0.0	0.0	0.0	0.0	0.0	28.81	16.84	22.8	14.34	23.96
Kcnip3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	17.47	114.75	0.19	0.8	84.79	0.46	0.0	112.19	23.03	0.0	0.0	0.41	0.0	0.13	0.0	0.06	0.4	0.21	0.52	0.19	0.04	0.06	0.0	0.0	0.4	0.26	0.21	0.1	0.1	0.0	0.22	0.0	231.71	0.0	0.0	0.07	0.05	0.0	0.17	0.11	0.75	0.1	0.0	0.15	0.19	67.04	0.28	0.46	238.49	0.05	0.0	0.34	0.0	0.0	0.33	0.09	184.91	274.86	107.09	100.54	106.97
Kctd1	0.0	17.54	5.38	0.0	0.0	0.0	0.0	0.34	27.2	0.0	24.87	0.28	0.0	40.03	0.0	0.0	0.0	3.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	2.76	23.54	0.14	24.89	0.0	82.04	0.0	0.19	0.0	4.06	0.0	36.02	0.0	0.0	0.0	0.0	44.6	0.0	6.97	0.0	0.0	0.0	0.0	0.0	0.0	4.42	0.0	0.17	0.0	34.26	36.58	67.74	64.49	65.95
Kirrel3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.44	0.0	0.17	0.0	0.0	3.18	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.1	17.62	0.04	0.0	0.0	0.0	8.03	0.0	0.0	0.0	46.81	0.0	0.0	0.0	0.0	0.0	101.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.74	0.0	0.0	0.0	0.0	0.0	55.91	3.86	0.0	36.77	0.02	0.56	0.65	34.41	36.11	40.64
L3mbtl2	0.0	0.0	20.79	0.0	0.0	0.0	0.0	0.0	0.0	0.12	1.27	1.7	0.0	0.0	0.0	10.6	25.87	0.0	0.0	0.0	0.0	35.48	0.0	25.23	0.21	0.0	1.46	0.34	0.0	0.0	42.21	36.95	42.8	42.45	37.96	47.91	32.09	23.36	0.0	10.27	125.86	0.0	0.14	0.0	130.11	47.27	43.11	0.0	0.0	52.26	90.31	38.55	0.21	5.26	0.0	0.0	0.0	0.0	19.88	0.0	136.11	1.6	50.34	37.44	35.07	34.16	29.22	31.1	29.72
Lancl1	31.6	23.19	39.03	0.0	0.0	0.0	0.0	0.0	48.88	82.33	136.49	106.11	9.71	38.49	0.0	152.92	81.01	32.79	0.0	0.0	0.0	25.52	0.0	0.82	3.95	8.97	1.33	1.71	1.77	9.71	1.13	19.36	0.39	7.07	20.86	37.33	0.13	0.0	43.07	11.9	66.78	0.23	12.01	5.55	0.0	0.48	13.46	20.08	24.34	58.87	0.37	0.27	0.0	31.88	0.0	0.0	0.0	0.0	0.46	7.0	33.27	20.54	2.34	0.21	19.65	35.82	104.52	106.74	103.17
Lingo3	0.0	0.0	5.82	0.0	0.0	0.0	0.0	0.0	0.0	30.29	0.0	0.0	0.0	0.0	0.0	19.92	11.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.5	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	3.52	0.0	0.0	0.0	0.0	3.71	0.0	0.0	4.74	0.0	0.03	6.05	2.89	33.56	40.24	33.17
Magi1	26.99	7.76	9.84	0.0	0.0	0.0	0.0	0.0	102.52	103.99	33.59	33.45	92.31	64.65	17.34	46.17	90.48	13.64	0.0	0.06	0.0	91.65	0.0	15.97	1.31	11.84	20.44	19.48	7.82	9.76	0.93	9.43	14.49	6.59	13.7	7.54	0.97	17.69	105.34	3.46	87.36	15.0	6.11	28.04	75.16	21.21	0.07	14.16	3.74	5.6	4.74	18.78	11.08	72.32	0.0	0.0	0.0	13.92	2.42	0.0	29.8	10.49	26.87	0.1	38.43	33.81	52.61	50.18	51.81
Mamld1	13.15	2.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	42.55	0.0	0.0	0.0	0.0	2.78	0.0	0.0	0.0	0.0	0.08	36.63	0.0	34.6	30.26	4.69	0.04	0.0	0.0	0.03	0.0	8.93	39.16	0.0	17.6	1.17	0.0	0.0	11.02	0.0	79.76	0.0	0.0	0.0	0.0	7.74	19.19	0.08	0.0	15.56	0.0	0.76	0.0	5.01	0.0	0.0	0.0	0.09	0.0	0.0	0.0	17.11	14.95	0.0	4.17	5.33	20.1	17.18	21.25
Map2k1	0.0	0.86	0.06	0.21	0.0	0.0	0.0	0.2	181.66	205.03	497.2	82.48	295.11	88.9	0.0	0.0	169.04	3.74	0.0	0.0	0.0	31.2	0.0	22.95	48.71	154.98	43.48	42.99	0.04	42.7	46.41	0.78	35.44	24.29	93.44	35.38	23.66	57.98	2.78	53.83	364.05	80.69	120.64	86.57	109.56	0.0	74.9	0.0	27.75	0.11	10.47	0.29	34.43	96.08	0.0	0.76	0.0	20.71	94.52	53.51	131.64	7.8	44.94	90.83	71.84	68.12	309.79	328.2	308.6
Marcksl1	0.0	0.0	49.57	0.0	0.0	0.0	0.0	0.0	3.27	2.39	0.0	2.47	48.03	8.74	0.0	1.93	0.0	0.56	0.0	0.0	0.0	7.02	0.0	0.0	0.93	0.1	0.75	0.11	0.13	0.07	0.0	16.91	0.0	31.98	21.29	3.45	2.14	37.69	0.38	0.0	109.39	18.21	0.0	1.79	12.75	2.1	19.18	0.0	0.0	17.53	16.17	0.0	1.16	23.31	0.0	0.0	0.0	0.68	0.15	0.0	2.03	0.0	31.61	8.87	2.84	2.4	105.99	129.27	112.68
Med20	46.16	0.0	43.47	0.0	0.0	0.0	0.0	0.0	107.93	42.83	9.11	0.0	2.77	162.58	0.0	133.68	5.22	0.44	0.0	0.0	14.78	32.0	0.0	0.0	44.03	0.12	0.0	0.0	0.0	45.65	23.34	105.91	28.71	141.92	0.0	1.34	0.0	0.0	0.0	0.14	271.2	0.0	0.0	0.0	0.0	34.1	0.0	49.68	0.0	157.4	0.0	60.19	91.16	29.15	0.0	0.0	0.0	70.32	0.11	0.0	119.56	16.7	15.9	0.0	52.6	53.7	21.04	23.25	19.06
Npy	138375.8	173305.25	40775.82	0.0	0.0	0.0	0.0	0.0	43922.94	96206.73	42632.64	68542.73	67463.47	65548.38	14635.6	45335.24	125016.83	34339.27	0.0	0.0	0.0	63494.68	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	130527.91	173863.58	101365.79	126989.03	45711.04	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	985.16	0.0	0.0	0.0	145032.54	180453.32	128781.07	23340.13	137945.15	137580.94	120620.2	0.6	0.0	214.21	196.57	200.76
Nr2c2	27.81	0.0	0.1	0.0	0.0	0.04	0.0	0.0	4.19	0.14	178.09	0.0	52.45	5.44	0.0	0.39	1.5	0.03	0.0	0.0	0.12	21.3	0.0	1.31	45.19	4.88	0.0	6.38	4.94	0.04	9.58	0.32	16.16	0.0	0.47	2.16	11.09	0.04	0.0	21.26	96.08	0.0	3.76	9.58	2.01	0.07	0.0	0.07	0.07	0.0	9.28	7.86	13.83	5.61	0.0	0.0	229.67	11.2	0.09	0.0	0.07	8.44	23.08	0.0	8.49	8.56	47.92	44.91	49.08
Ntrk2	157.51	41.95	15.47	0.0	0.18	0.31	0.32	0.59	156.44	349.36	336.18	27.0	215.94	130.79	28.45	93.26	138.85	1.1	0.27	0.06	0.21	39.76	0.0	22.06	42.96	57.11	7.96	4.34	64.81	63.79	127.88	191.55	56.03	93.43	101.13	46.96	92.53	49.83	138.31	97.54	110.34	91.24	54.75	58.65	88.84	89.95	30.21	52.65	72.74	59.51	37.62	50.11	30.46	28.11	0.11	0.32	0.0	102.04	47.19	22.26	201.97	83.14	103.83	19.94	17.97	34.61	244.04	230.22	259.3
Olfm1	32.7	49.55	38.42	0.0	0.0	0.0	0.0	0.0	150.13	613.98	639.86	158.02	231.71	445.24	53.9	397.46	68.34	97.31	0.0	0.0	0.0	237.26	0.0	118.24	15.98	55.71	21.92	2.17	77.37	59.29	85.63	101.7	133.15	38.48	47.62	13.34	117.48	80.67	129.59	63.53	196.46	20.57	67.17	69.79	41.79	52.81	122.99	7.74	31.53	65.41	93.75	109.81	36.04	326.2	0.0	0.0	0.0	127.94	75.52	50.01	23.79	39.17	133.7	0.54	250.01	267.56	1129.63	1145.72	1126.81
Pafah1b2	90.34	89.88	19.75	0.0	0.0	0.0	0.0	0.22	193.95	75.07	73.45	26.46	165.74	235.58	0.0	120.46	135.59	57.56	0.0	0.0	0.09	57.49	0.0	103.33	98.1	0.11	51.08	46.09	92.53	74.26	96.32	109.17	89.51	29.95	47.2	40.38	73.54	98.45	153.83	88.19	150.84	36.09	99.97	56.73	0.0	29.58	28.11	79.86	68.6	36.62	91.04	72.42	52.48	84.93	0.0	0.0	18.95	37.75	23.82	61.32	130.1	90.88	36.12	107.74	63.1	69.66	128.29	128.62	122.77
Pcgf5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.17	109.63	0.0	0.0	0.0	0.0	85.57	0.0	0.0	0.0	0.0	0.0	0.0	14.26	24.25	0.05	94.38	17.5	0.07	0.0	0.0	0.21	0.0	0.0	43.7	0.0	0.0	0.0	96.24	0.0	191.03	0.0	0.0	0.0	0.0	0.0	0.0	57.54	0.2	125.3	0.11	59.66	56.6	30.9	0.0	0.0	0.0	59.33	1.08	0.0	0.0	0.0	0.0	50.58	28.39	13.23	13.22	11.36	13.86
Pcsk1n	11.63	12.55	2.35	0.0	0.0	0.0	0.0	0.0	23.42	31.83	7.28	6.26	6.13	9.76	0.0	6.36	19.15	1.12	0.0	0.0	0.0	27.64	0.0	1.98	3.36	0.87	2.61	3.66	1.22	6.77	2.76	1.42	0.13	0.36	0.94	0.28	1.93	5.01	4.41	11.26	88.8	5.77	4.5	3.03	1.62	4.91	0.67	1.53	3.48	1.25	2.31	1.7	0.68	3.44	0.0	0.0	0.0	2.63	5.25	1.74	3.92	4.26	0.14	3.04	1.23	1.89	383.89	483.91	457.22
Pet112l	34.55	0.0	0.07	0.0	0.0	0.0	0.0	0.0	177.41	64.26	8.92	207.65	0.0	348.63	85.37	3.57	0.0	0.0	0.0	0.0	0.0	0.0	140.4	0.0	17.89	17.18	53.7	58.13	0.0	30.83	0.0	91.19	0.0	0.0	0.0	49.12	29.88	0.0	86.54	0.0	283.86	1.79	16.91	47.01	0.0	62.88	26.78	0.0	0.0	0.0	0.0	0.0	0.11	16.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.59	0.0	30.51	42.53	16.71	18.46	16.29
Pgbd5	0.68	19.62	61.61	0.0	0.0	0.0	0.0	0.0	60.57	328.19	222.36	60.73	131.38	166.52	0.0	69.22	206.47	29.29	0.0	0.0	0.0	53.27	0.0	29.46	12.08	37.34	82.43	0.06	18.44	0.08	22.36	96.19	0.0	20.99	0.0	13.24	29.2	0.26	326.15	20.28	493.08	10.39	0.0	11.48	6.49	33.73	19.51	0.0	23.88	0.1	9.9	0.0	13.88	135.06	0.0	0.0	0.0	0.0	19.76	61.99	48.5	0.0	18.38	1.25	56.06	42.14	134.18	138.74	137.8
Phactr1	46.38	50.38	46.34	0.0	0.0	0.0	26.21	0.12	326.3	129.81	123.39	151.67	187.05	156.15	0.74	104.63	128.39	44.82	0.0	0.12	0.1	115.3	0.0	34.44	16.83	0.22	0.0	1.64	0.5	0.13	0.06	36.54	0.57	13.29	25.52	21.69	46.8	0.13	126.04	51.38	168.12	74.37	61.89	40.02	7.4	14.31	32.48	38.17	0.08	40.06	31.24	15.85	5.18	79.77	0.0	0.0	0.0	20.93	4.7	8.18	31.01	14.51	8.2	47.48	194.11	159.98	250.29	240.7	240.9
Pik3r3	1.77	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.67	0.0	0.0	0.11	126.54	0.0	10.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.8	38.07	0.89	0.02	0.03	29.45	12.11	0.52	52.27	0.05	57.81	0.0	8.36	0.95	0.0	22.98	30.55	129.73	19.88	34.92	24.07	0.0	0.0	2.56	25.02	22.9	25.56	23.11	22.74	0.0	1.22	0.0	0.0	0.0	0.0	0.59	8.83	18.41	1.22	16.65	0.05	49.58	32.76	34.42	31.97	32.93
Ppp1r12c	13.07	22.45	13.66	0.0	0.0	0.0	0.11	0.0	40.86	1.48	0.0	0.0	10.9	7.33	2.97	0.0	7.41	0.0	0.0	0.0	0.11	0.69	0.0	5.69	8.48	11.94	0.04	6.57	0.0	0.0	22.84	23.08	3.32	0.0	0.0	0.1	7.44	0.25	17.83	16.05	50.35	0.0	4.33	0.0	0.16	9.64	0.0	0.0	0.1	1.28	0.05	0.0	0.08	6.15	0.0	0.0	0.0	18.22	0.0	5.3	0.54	11.47	0.2	0.33	2.2	7.48	87.06	89.41	88.48
Ppp2ca	138.57	36.92	2.13	0.0	0.0	0.0	0.0	5.67	164.25	143.34	687.17	98.23	229.07	401.53	0.0	104.22	341.37	111.22	95.4	0.0	0.0	44.73	0.0	0.44	58.68	60.84	12.46	0.52	123.3	105.84	57.62	82.74	21.32	3.65	3.39	17.36	90.32	101.12	107.0	52.6	216.81	121.15	139.82	0.37	0.12	18.79	20.94	78.76	148.34	55.21	34.19	5.22	29.55	88.65	0.0	0.0	0.0	65.31	81.11	8.28	84.67	73.39	44.63	41.76	74.2	67.47	412.48	418.25	392.13
Ppp3r1	102.0	94.77	54.67	0.0	25.75	5.85	0.0	0.0	80.03	100.02	448.66	39.72	209.01	77.79	3.83	17.52	124.3	18.58	0.0	20.9	22.11	13.62	0.0	74.05	74.54	120.95	18.83	191.07	44.23	191.63	91.44	66.57	28.46	77.55	45.27	45.09	23.35	75.94	170.06	12.57	118.23	23.8	49.04	86.41	10.64	11.97	106.08	72.55	73.4	124.18	26.88	18.94	42.26	194.81	0.0	0.0	8.93	18.32	36.85	57.94	75.45	97.3	55.38	12.28	226.77	215.64	920.94	893.77	828.14
Prkcz	38.99	49.34	0.15	0.0	0.0	0.0	0.0	0.0	39.66	27.43	100.82	220.79	53.44	0.0	0.0	0.76	46.91	5.62	0.0	0.0	0.0	61.22	0.0	41.3	11.04	67.09	0.09	4.36	75.73	22.18	58.1	0.0	59.85	25.79	20.44	1.98	32.35	26.9	57.89	27.56	179.38	22.31	22.63	22.78	0.0	53.36	36.44	2.83	92.74	1.46	18.65	47.66	0.66	29.22	0.0	0.0	0.31	14.69	18.93	73.03	90.3	11.26	0.07	87.12	55.25	55.19	177.01	178.52	171.75
Ralgapa1	26.45	37.31	13.58	0.0	6.97	0.0	0.29	0.0	72.18	17.97	68.98	0.33	63.17	48.48	2.59	4.01	73.02	14.66	0.02	0.0	0.0	17.81	0.0	35.02	3.4	3.15	28.26	0.46	15.8	2.48	25.78	24.6	0.69	8.51	22.44	3.07	12.43	20.77	20.46	42.99	86.34	17.14	11.06	2.51	4.39	1.21	18.06	0.21	0.99	22.79	11.64	1.08	1.55	39.74	0.0	0.0	0.0	6.98	6.59	19.82	83.0	16.5	12.17	0.28	21.12	16.62	67.52	58.81	68.62
Rtn4	140.25	136.34	65.78	0.0	256.59	0.0	0.0	89.1	98.2	157.95	182.59	90.67	326.07	93.86	0.18	29.63	92.81	135.85	0.0	0.14	0.0	0.0	0.0	102.95	106.01	240.25	161.44	171.67	96.47	192.2	43.87	143.47	109.15	34.94	135.8	101.08	87.83	88.72	91.62	61.16	304.84	83.76	75.57	80.24	142.4	16.37	94.76	119.42	76.05	86.34	40.78	93.29	46.91	152.44	331.72	0.0	82.9	55.42	146.12	53.07	165.19	117.43	217.93	73.94	209.84	228.01	345.7	345.07	328.47
Rufy1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.41	1.19	17.17	0.0	6.34	180.76	0.0	0.0	65.03	20.62	0.32	0.0	0.0	1.85	0.0	0.0	19.62	0.77	0.0	30.57	0.0	0.0	0.0	1.87	2.8	0.0	0.0	0.68	44.39	0.0	3.97	12.0	165.28	38.16	21.13	4.42	9.39	53.94	0.0	0.0	25.09	41.54	0.0	0.0	0.0	25.15	0.0	0.0	0.0	0.22	47.76	69.39	0.0	0.0	0.0	7.92	13.03	10.37	35.0	36.05	29.99
Scd2	40.41	94.5	19.65	15.07	0.0	0.0	0.0	0.0	3.75	128.01	117.63	29.26	23.48	113.42	0.18	99.65	28.9	26.92	0.0	0.0	0.0	0.07	0.0	67.13	43.6	71.06	21.0	1.99	59.52	154.29	54.16	72.91	27.2	23.71	6.91	67.79	85.39	85.81	9.5	55.97	33.78	48.69	96.67	9.79	42.14	40.57	47.88	63.1	55.58	3.72	66.24	29.66	34.16	21.24	0.15	0.44	0.0	46.1	115.82	22.16	57.81	24.37	37.15	43.07	46.48	42.13	716.19	715.89	753.91
Sept5	35.73	51.99	21.43	0.0	0.0	0.0	0.0	0.0	162.15	75.99	39.51	0.0	11.76	103.59	0.0	25.45	60.74	0.0	0.0	0.0	0.0	83.43	0.0	0.0	0.0	0.19	2.48	11.33	0.0	30.03	35.07	0.0	34.02	24.77	2.83	28.41	41.79	1.74	66.91	2.04	103.26	56.94	14.3	53.12	29.73	0.0	57.92	11.44	29.07	0.0	29.54	26.91	17.86	54.96	0.0	0.0	0.0	1.76	14.05	13.48	23.26	51.24	19.26	20.84	50.67	68.22	835.64	844.16	829.9
Slc25a23	7.59	49.69	1.25	0.0	0.0	0.0	0.0	0.14	77.38	138.81	31.06	54.11	39.54	87.49	0.0	99.64	86.25	0.0	0.0	0.0	0.0	54.68	0.0	9.28	60.34	21.37	14.43	0.1	6.46	1.97	3.64	12.16	7.27	0.0	0.12	30.14	1.0	0.0	24.25	11.09	148.94	9.94	18.61	0.0	21.67	63.79	9.02	10.29	6.15	10.29	13.37	16.71	1.83	41.56	0.0	3.96	0.0	9.0	6.24	4.43	28.44	6.74	0.36	40.24	26.78	30.08	290.22	282.16	298.37
Smn1	58.32	32.7	3.66	7.61	0.0	1.45	3.17	634.87	39.55	18.61	144.8	21.42	22.07	32.64	43.17	20.01	27.4	4.27	7.45	12.59	0.25	50.71	53.45	28.3	37.25	46.16	79.63	14.06	8.82	40.93	19.63	31.95	5.76	7.5	25.91	50.81	90.58	93.43	62.83	52.83	158.86	39.46	49.13	7.91	22.92	31.94	56.67	5.91	2.57	77.01	34.0	17.66	4.65	92.37	4.68	1.56	7.3	45.59	27.79	52.38	98.08	20.63	51.77	10.7	39.32	49.72	21.55	20.27	21.49
Snx24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	234.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.49	0.0	0.0	0.0	0.09	0.0	0.0	69.87	0.0	0.0	0.0	11.3	0.0	0.0	72.3	0.0	0.0	140.65	53.16	0.0	0.0	0.0	73.84	0.0	0.15	37.47	0.0	0.08	12.58	0.13	13.61	0.0	0.0	0.0	0.0	0.0	0.0	91.77	20.28	30.65	0.0	16.65	22.16	13.72	14.81	12.96
Srfbp1	0.0	0.0	57.82	0.0	0.0	0.0	0.0	0.0	20.18	0.0	98.88	0.0	82.06	167.02	0.0	0.0	71.89	0.15	0.0	0.0	0.0	0.0	0.0	2.9	0.0	45.99	0.0	53.28	36.21	15.38	0.0	0.0	0.0	31.61	37.8	0.0	28.42	0.0	53.05	0.0	157.55	0.67	0.0	0.0	0.16	0.0	0.0	34.65	40.3	0.19	0.0	0.0	0.0	18.57	0.0	0.0	0.0	0.0	0.0	35.95	7.44	0.0	28.36	42.3	32.64	22.05	16.79	16.52	15.29
Tfb1m	5.89	0.0	58.01	0.0	0.0	0.0	0.0	0.0	0.0	12.24	0.0	0.0	0.0	201.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.33	0.0	0.0	46.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	346.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.23	0.0	0.0	0.0	40.21	0.0	0.0	0.0	0.0	0.0	0.0	13.97	3.13	8.59	9.02	7.64
Tmem222	158.82	0.0	4.36	0.0	0.0	0.0	0.0	759.72	186.37	88.33	167.95	0.45	20.82	269.35	2.03	44.12	25.95	95.57	0.0	0.0	0.0	511.29	0.0	162.44	188.35	159.66	184.98	122.05	26.94	0.08	147.55	161.55	127.06	185.78	73.19	377.56	0.97	115.86	155.59	394.01	580.77	90.8	160.59	19.52	130.97	80.57	223.2	53.48	172.52	73.52	113.44	108.18	63.44	120.43	0.0	0.0	0.0	281.82	137.14	9.27	420.09	189.0	119.87	132.48	149.96	203.63	97.4	104.32	100.11
