	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Maml2	47.35	0.05	0.0	26.73	0.0	0.07	0.0	1.24	0.03	0.0	0.0	0.0	1.94	0.0	5.22	0.0	0.05	0.0	0.0	0.0	0.0	1.03	0.5	3.58	0.0	0.0	4.86	0.0	0.0	0.55	0.0	0.0	8.68	0.0	0.05	0.0	1.04	0.5	57.98	11.75	9.61	0.0	0.0	1.04	17.95	0.07	1.13	0.0	0.25	0.06	0.0	0.06	29.7	0.27	0.05	21.41	36.96	3.58	29.56	0.05	0.0	23.51	10.53	32.8	0.3	0.0	24.93	17.79	15.33	2.81	28.9	0.0	0.0	26.48	0.15	0.0	0.0	27.57	13.53	0.06	0.0	29.48	0.0
Mapre1	63.83	14.43	8.91	32.54	0.74	0.0	0.91	0.63	0.81	37.72	8.73	16.29	0.39	31.78	67.43	0.42	0.15	97.75	1.26	36.36	0.04	0.37	0.06	364.16	0.32	1.49	0.47	213.65	0.79	67.48	15.19	0.48	21.05	56.71	33.73	42.43	21.87	31.23	47.42	1.25	25.28	46.69	52.59	29.11	42.69	46.81	20.99	0.41	28.97	49.74	0.24	55.06	31.78	12.46	20.89	20.42	13.18	55.73	0.08	32.47	17.19	23.62	37.31	48.77	7.21	389.35	33.21	45.2	14.05	61.51	16.92	69.52	72.15	9.34	32.38	14.34	18.55	38.2	38.12	2.53	44.1	28.44	0.27
Mrap2	33.12	37.99	257.64	112.29	0.0	6.22	0.0	0.76	1.29	0.0	0.13	0.45	0.62	0.0	0.0	0.75	91.83	0.65	1.87	0.0	69.84	0.46	0.23	0.0	0.0	0.49	6.87	0.0	0.0	0.23	0.0	0.52	103.45	48.35	205.43	0.13	82.0	308.25	50.26	5.19	55.67	223.55	181.65	163.88	183.17	166.41	291.81	12.55	12.44	70.55	0.3	0.44	187.26	0.0	0.22	142.2	190.43	205.26	86.16	0.09	0.27	270.83	344.39	76.31	203.69	0.08	60.89	140.87	70.14	177.55	77.06	84.5	0.21	256.65	107.31	0.25	0.15	122.93	0.57	0.86	21.03	63.16	2.28
Mt3	572.24	786.55	643.79	545.67	0.0	0.0	0.0	0.0	150.19	362.94	575.86	265.47	168.26	201.69	145.02	62.63	227.41	344.95	436.46	354.11	110.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	341.26	126.93	0.0	0.0	425.54	468.02	602.68	587.6	264.48	754.59	556.69	596.95	394.81	570.07	633.99	531.01	627.7	575.84	316.61	637.92	681.83	608.76	207.27	436.26	495.32	335.99	466.74	582.05	408.08	476.57	336.99	528.75	607.33	676.39	526.22	548.07	464.63	494.03	625.75	677.94	536.79	572.5	515.23	516.79	699.46	498.65	744.48	398.36	446.74	727.14	537.02	239.2	505.91	669.08	671.67
Mtap1b	622.93	488.28	640.71	705.39	0.0	0.0	0.13	0.08	316.03	343.99	256.01	68.27	187.47	222.83	142.27	136.34	205.43	195.94	314.52	166.17	296.72	0.0	0.0	0.0	0.0	22.33	0.0	108.85	161.75	143.02	76.72	0.04	642.04	693.42	515.84	338.1	581.32	436.82	317.03	532.07	853.28	789.82	918.41	856.16	1015.81	620.09	585.71	622.21	828.88	497.91	143.55	193.81	565.21	109.46	284.13	422.07	627.12	653.61	259.26	281.51	498.79	775.94	714.96	511.06	620.64	152.69	649.18	779.66	530.59	714.61	683.52	201.63	404.13	873.28	599.0	598.43	320.65	669.52	668.23	803.22	490.94	530.24	381.7
Necap1	425.62	201.42	547.36	740.19	0.0	0.0	0.0	0.0	722.64	401.56	287.4	348.67	605.67	593.47	408.85	338.93	386.18	445.85	90.66	378.35	389.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	592.6	630.14	0.0	0.2	565.18	894.95	504.31	303.08	355.33	472.91	513.05	413.68	493.77	519.43	419.21	601.82	370.75	418.31	320.33	304.42	546.57	359.88	505.87	229.45	619.42	106.56	396.74	227.52	551.38	385.83	407.26	254.35	462.75	467.83	691.12	562.92	653.94	2.84	623.3	268.88	588.37	322.94	245.34	147.46	270.4	465.25	322.8	255.46	340.22	365.84	423.51	371.14	346.17	562.51	430.26
Npy	138375.8	56190.59	173305.25	115124.65	0.0	0.0	0.0	0.0	43922.94	108594.8	96206.73	82245.2	42632.64	68542.73	67463.47	65548.38	57444.26	77711.12	45335.24	125016.83	59230.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80627.8	63494.68	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	73168.9	126989.03	45711.04	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	18.35	110523.31	101137.64	151963.58	145032.54	180453.32	92572.95	48343.46	128781.07	137945.15	70964.58	49931.63	95298.15	137580.94	65503.76	65353.97	120620.2	68416.93
Nsg1	456.25	364.72	384.76	606.25	0.0	0.0	0.0	0.0	0.06	277.35	311.53	97.59	316.27	279.62	122.01	179.71	98.31	111.23	113.02	198.99	345.84	0.0	10.48	0.0	0.0	0.0	0.0	0.17	347.41	131.17	0.0	0.0	421.43	487.56	795.35	479.99	658.74	428.74	294.99	429.88	547.5	504.44	588.32	740.43	631.31	382.47	798.83	532.2	290.06	406.66	131.72	269.89	367.48	161.05	105.96	419.76	383.66	308.42	498.62	56.54	361.44	497.0	461.33	699.2	403.22	0.22	518.05	663.93	689.08	338.06	542.31	193.19	346.97	669.97	472.93	393.39	423.37	249.79	402.95	487.44	608.3	664.76	318.52
Ntm	89.38	338.11	323.35	109.52	1.02	0.0	0.0	0.0	167.39	0.0	88.81	18.01	8.6	67.63	0.0	0.0	19.28	70.35	0.16	0.87	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.88	3.9	0.0	0.0	252.34	247.01	141.79	57.18	99.13	161.54	300.75	121.29	243.14	379.31	62.72	111.69	104.42	160.58	391.13	204.09	301.97	222.46	97.63	3.72	187.91	0.18	45.0	198.89	234.98	109.81	0.0	253.97	246.53	195.02	258.97	73.7	301.58	37.12	98.64	155.87	65.84	257.34	161.47	374.95	265.43	162.72	47.22	286.82	521.47	180.69	134.77	623.93	241.27	260.15	0.0
Pcdh7	71.95	44.97	80.65	32.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.83	88.14	42.91	0.08	33.96	73.15	21.97	80.05	47.98	64.77	20.51	34.45	99.69	54.87	7.66	16.98	31.9	38.4	0.0	0.0	31.83	0.0	0.0	37.02	2.96	18.97	0.0	39.27	55.68	26.04	85.69	40.8	9.97	0.0	62.5	51.74	25.24	24.71	17.17	30.96	0.71	74.7	50.26	3.04	0.06	88.3	20.0	40.86	5.86	30.25	0.0
Pcdh9	151.33	0.0	268.46	44.97	0.0	0.0	0.0	0.0	84.0	96.52	33.97	142.92	167.02	133.59	9.34	0.11	53.56	9.28	33.99	82.35	62.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.75	0.0	0.0	0.0	66.08	222.16	207.7	0.24	130.48	141.65	93.13	94.07	174.62	225.63	78.85	102.17	159.1	100.8	186.24	108.47	126.52	57.88	61.08	0.0	140.45	86.14	162.89	148.43	129.37	97.08	106.51	50.89	224.02	186.02	99.26	165.4	121.15	0.06	144.0	114.53	75.75	12.77	35.27	15.48	70.91	22.13	69.65	99.01	0.0	176.94	91.79	63.11	12.38	32.98	118.57
Pcsk2	180.69	2.54	221.77	128.1	0.0	0.07	0.0	0.0	0.0	35.17	48.56	53.84	55.9	86.5	87.53	1.02	64.33	82.98	0.0	23.88	51.52	0.0	0.0	0.0	0.0	0.02	0.0	0.0	1.2	42.32	0.0	0.0	158.34	166.47	100.0	57.13	132.07	130.52	136.25	204.8	130.88	137.42	234.47	48.61	290.57	224.27	306.38	110.52	102.44	48.65	18.98	6.69	188.94	0.0	46.63	162.06	211.69	89.7	0.0	37.92	117.88	312.5	258.93	222.54	150.35	0.03	189.76	361.76	139.03	107.49	128.49	1.2	0.67	220.11	234.2	46.2	0.21	179.01	136.13	3.7	1.55	94.17	6.35
Pde1a	1056.47	92.04	1042.27	950.26	0.0	0.0	0.0	0.1	1.24	0.3	0.14	1.02	0.0	0.32	0.0	0.43	0.65	0.27	0.44	0.23	0.31	0.04	0.0	0.0	0.0	0.05	0.12	0.09	0.27	0.61	0.0	0.11	1102.9	1125.21	1321.56	484.6	925.75	1069.64	799.63	564.5	1137.63	918.17	1297.96	1258.85	1191.38	798.18	975.98	1444.23	1333.84	544.61	0.62	0.23	1131.66	0.08	0.0	932.64	817.01	562.01	0.02	458.1	666.67	670.07	978.64	820.3	965.51	0.23	956.64	1201.44	653.65	667.13	704.18	34.5	96.52	1202.55	1140.82	206.39	109.96	1108.75	711.88	557.17	518.0	1090.81	0.81
Pea15a	517.59	238.18	305.17	733.22	0.0	0.13	0.0	503.03	11.23	330.52	361.88	354.24	382.3	568.75	250.31	109.14	215.89	79.41	155.53	224.67	348.8	0.07	567.65	26.52	0.0	0.0	0.22	555.53	248.39	430.87	163.95	30.66	233.35	314.76	468.61	261.97	256.75	472.14	542.08	684.92	471.55	506.3	487.37	434.73	802.26	592.78	695.92	334.71	231.99	314.51	95.58	253.39	539.13	135.28	293.66	387.45	481.86	499.63	315.43	222.48	811.81	692.28	480.02	521.45	492.97	93.89	614.53	751.02	474.86	647.96	527.88	454.86	385.21	443.54	427.31	613.63	539.08	348.9	355.44	544.39	625.14	498.45	186.95
Pfkp	189.45	173.75	333.63	291.21	0.0	0.0	0.0	0.0	195.75	104.66	13.09	90.16	41.29	57.82	131.92	46.85	32.11	47.4	0.0	94.46	71.18	0.0	0.0	0.0	0.0	0.0	0.07	0.0	5.83	0.0	0.0	0.0	468.05	205.17	420.65	364.13	444.44	370.77	321.18	225.13	404.3	327.5	325.35	362.96	252.39	273.33	273.69	405.36	235.43	155.56	98.51	29.48	225.78	99.19	36.25	139.19	331.16	254.73	0.07	252.1	238.32	176.03	401.31	222.74	171.81	0.16	260.69	342.57	334.99	173.53	210.59	132.56	97.27	319.22	295.93	249.57	201.32	300.45	421.83	288.93	317.41	324.62	34.08
Pfn2	1006.34	654.83	429.07	674.48	0.0	0.0	0.0	0.0	260.12	535.91	410.39	552.4	1007.88	455.31	877.17	1417.5	395.38	0.21	783.69	682.69	427.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	775.28	550.39	0.0	0.0	986.77	1170.7	359.87	1381.2	1103.96	951.19	887.46	698.9	1262.31	714.47	838.98	724.0	850.49	651.46	1333.78	976.89	1147.07	1080.85	777.5	691.45	410.53	824.65	288.35	907.32	755.55	747.4	761.84	252.0	366.56	970.23	850.33	873.15	1470.39	0.16	1008.67	839.17	595.39	1013.81	543.78	766.84	891.22	978.22	818.8	640.58	1019.82	1402.14	1097.61	856.63	464.23	1032.94	528.97
Pitpnc1	90.75	72.81	162.01	60.39	0.0	0.11	338.36	0.0	0.02	15.41	14.74	9.77	7.97	0.0	2.09	9.64	8.79	0.0	0.0	0.0	0.0	8.52	0.0	0.0	0.0	108.46	161.5	0.0	9.54	0.06	321.39	140.76	163.62	123.77	227.7	136.6	71.03	91.31	125.71	98.26	163.52	301.62	238.57	108.16	233.33	75.87	255.4	57.54	136.15	138.14	0.0	23.98	92.83	3.9	9.22	63.23	276.98	53.6	0.0	103.62	179.5	101.19	173.42	113.45	87.85	8.66	132.68	106.8	133.51	244.78	92.9	31.72	140.54	44.84	190.36	107.54	94.77	38.38	31.36	160.12	219.41	40.81	12.54
Prkag2	32.75	28.53	41.41	35.24	0.0	0.0	0.0	0.0	0.05	0.0	143.44	37.9	0.0	0.0	0.0	0.0	68.44	109.8	0.0	1.57	0.23	96.48	0.0	0.0	0.0	3.84	0.0	0.0	0.0	0.0	0.0	0.0	67.43	38.71	15.52	0.0	49.87	0.0	43.01	0.05	25.75	72.65	45.09	0.0	0.36	15.71	0.0	30.75	45.94	1.99	59.58	0.0	5.98	58.68	81.3	1.0	28.91	116.66	0.0	8.07	0.0	50.45	25.71	15.84	14.85	0.0	11.52	32.33	61.99	0.0	41.79	0.0	6.78	56.48	45.24	0.0	45.11	75.71	0.0	93.36	29.57	40.36	0.0
Prmt2	570.83	374.09	324.88	656.17	0.0	0.0	0.0	0.0	0.0	304.68	49.87	42.23	2.52	350.62	182.14	110.42	204.8	293.33	241.1	135.51	203.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.12	260.5	0.0	0.0	915.57	556.17	944.46	553.68	752.77	446.65	1209.32	232.34	913.76	576.41	455.31	831.52	541.49	759.45	639.02	742.35	1036.22	370.17	281.08	99.15	451.37	512.18	303.53	399.6	601.2	655.35	395.65	382.44	995.74	1011.07	883.41	923.54	479.39	12.53	1039.56	921.61	878.14	438.75	644.07	181.55	233.68	997.7	782.56	1214.93	384.38	416.84	1030.07	242.79	366.54	506.08	2.78
Prune2	153.0	87.56	189.32	389.7	0.0	0.0	0.0	0.0	44.67	182.1	107.63	39.39	123.37	81.73	113.0	30.57	55.03	31.15	21.17	10.49	117.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.28	8.45	0.0	0.0	255.53	164.27	231.22	185.29	421.31	210.54	531.1	481.8	270.53	323.02	325.96	207.26	267.73	254.22	405.55	170.2	314.16	359.99	48.54	81.64	193.86	48.14	65.81	419.08	270.07	287.43	70.09	291.22	268.14	262.38	248.72	162.31	473.37	0.06	304.36	415.43	254.16	568.16	326.96	227.3	187.51	333.29	342.18	230.48	83.64	156.46	237.45	140.63	124.71	299.77	59.69
Runx1t1	150.74	46.73	38.79	180.05	0.0	0.0	0.17	0.0	0.1	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.46	59.74	53.65	86.53	105.14	129.72	68.86	107.26	55.35	92.1	59.68	68.15	54.29	49.09	82.34	75.04	98.74	117.33	0.08	0.04	149.35	0.06	0.14	47.06	128.76	151.14	0.0	129.26	140.82	125.97	92.53	126.38	38.89	9.36	66.0	20.52	88.03	116.67	91.58	154.09	100.13	90.24	104.16	29.04	80.46	64.18	95.19	93.96	100.26	58.6	0.0
Sccpdh	447.4	107.8	314.02	169.57	0.0	0.0	495.64	3.14	0.06	79.09	1.32	92.41	0.0	0.0	25.62	131.46	0.0	1.34	59.03	110.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	223.69	89.41	183.47	101.37	61.22	327.23	148.69	262.63	544.83	274.38	214.42	160.68	323.0	221.22	202.2	177.61	318.46	105.08	93.87	0.0	167.38	99.54	6.8	180.81	269.13	207.08	0.0	128.73	52.19	352.65	278.55	137.82	169.08	0.0	218.82	255.14	241.29	100.79	164.36	111.67	121.6	61.91	62.56	0.0	41.42	383.83	89.33	20.68	0.23	193.71	0.0
Scpep1	3.11	0.0	1.66	0.0	0.0	0.0	0.0	0.0	0.0	0.09	82.11	13.55	0.25	82.37	5.17	0.0	93.78	162.4	0.0	0.0	133.7	0.08	0.0	0.0	0.0	0.0	0.0	0.0	40.18	118.79	0.0	0.0	89.38	62.47	0.04	0.12	48.07	0.0	4.11	0.0	80.02	38.07	94.67	43.81	111.04	178.4	93.85	54.14	55.41	117.29	88.81	10.28	0.0	0.0	12.17	98.7	58.53	134.1	113.18	0.11	129.27	42.63	0.4	191.86	47.65	0.15	50.88	95.3	5.51	41.31	60.61	91.94	184.04	0.0	50.36	56.39	121.37	83.41	34.32	0.0	0.0	8.37	0.0
Stmn2	1475.15	758.1	906.26	1155.77	0.0	0.0	0.0	0.0	598.58	424.17	335.36	319.93	374.61	465.24	495.75	143.06	666.17	289.91	659.42	447.34	526.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	457.09	206.41	0.0	0.0	1132.67	1260.16	1248.96	716.27	1303.96	1105.22	1324.46	1092.59	1336.89	591.11	1013.52	1101.85	998.0	1528.63	1186.93	705.95	1081.56	1417.23	851.98	406.02	1209.13	517.66	660.88	808.88	1392.26	1185.14	290.81	1274.12	729.19	1489.87	967.34	1532.08	1173.06	0.17	1093.36	1577.97	995.6	1247.16	1323.24	1189.7	305.05	1071.14	1207.33	538.72	802.21	1342.67	1619.82	844.23	395.52	1079.53	261.4
Tceal6	19.39	11.23	114.69	137.18	0.0	0.0	0.0	0.0	19.14	9.43	7.72	11.29	0.0	4.55	38.64	0.0	0.0	0.0	113.41	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.41	0.0	0.0	0.0	56.13	73.06	124.95	40.43	64.62	181.55	59.0	186.62	103.26	91.54	139.97	80.01	134.66	70.1	134.41	67.24	19.96	92.88	0.0	16.33	131.0	0.43	32.63	81.08	75.83	64.58	31.36	1.99	36.0	97.7	167.93	99.25	48.28	0.0	69.64	35.46	16.09	81.18	63.16	60.16	47.94	122.1	36.51	44.3	75.33	100.8	54.22	56.6	61.48	71.16	0.0
Tmem130	323.74	521.55	309.18	794.17	0.0	0.0	0.0	0.16	27.73	312.79	292.57	112.7	538.07	257.95	213.91	242.99	419.21	300.56	249.19	52.71	160.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	437.91	422.77	0.0	0.0	938.96	404.63	709.37	553.83	632.71	629.49	552.18	720.98	475.03	912.21	965.84	857.63	940.47	1047.55	997.71	1019.52	658.59	933.67	326.07	236.89	655.5	542.24	367.17	546.77	1679.24	932.12	270.0	300.62	838.25	1058.53	771.81	1127.08	1074.2	0.58	1031.61	1370.27	763.83	788.22	837.3	331.73	223.85	555.92	665.87	815.35	195.07	486.33	660.17	408.51	681.52	792.51	748.03
Uchl1	700.12	346.83	514.54	662.53	0.0	0.3	0.0	440.13	508.43	180.93	351.13	97.77	213.24	132.65	123.53	90.01	25.63	327.49	343.28	175.98	348.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148.63	395.02	0.0	0.0	506.7	416.37	449.34	577.97	525.12	646.7	675.27	795.52	615.89	483.98	871.67	579.14	878.04	850.37	735.65	471.72	498.49	559.7	96.83	66.85	780.25	254.5	330.7	593.4	467.29	624.32	157.02	488.6	557.81	702.17	694.22	996.9	665.43	0.14	712.79	811.73	527.26	965.25	635.74	440.37	267.94	908.08	924.8	413.47	286.83	731.88	628.24	448.72	460.58	659.75	129.38
Whsc1l1	79.76	21.41	75.96	52.48	0.05	76.57	0.22	0.0	0.26	6.24	19.6	31.3	37.12	54.81	11.77	35.09	9.09	66.24	25.16	5.14	114.44	10.62	303.18	0.02	0.0	0.56	0.0	0.0	67.93	10.74	0.0	0.13	12.55	29.84	34.45	55.73	54.77	59.02	30.31	39.43	53.92	106.56	40.64	62.76	34.89	47.67	14.01	27.91	65.63	47.32	0.5	24.06	51.46	42.31	53.38	57.19	43.26	42.01	20.52	65.57	37.42	83.04	45.58	46.59	6.03	0.0	28.74	38.16	68.85	36.91	25.04	50.88	109.18	37.47	35.87	66.07	7.92	56.55	29.68	53.15	15.48	87.91	0.0
Zcchc12	1646.48	552.52	2102.73	2477.7	0.0	0.0	0.0	0.0	366.9	408.28	279.42	373.96	204.77	1389.22	240.11	409.97	1444.92	692.79	923.52	77.69	139.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	701.33	687.05	0.0	0.0	2916.48	2797.77	2311.07	2066.1	4396.19	2990.54	3900.77	2222.32	2355.68	3454.91	2669.74	1972.86	2515.67	1781.48	2260.88	2080.17	2451.84	2256.89	300.38	438.05	2061.17	616.45	0.63	2338.22	2640.94	2611.39	700.67	1314.22	3393.42	1903.86	2478.34	1983.81	2357.23	0.51	2414.78	2553.06	2768.98	1867.04	1748.1	3308.01	1322.18	2840.11	2061.79	2972.92	1006.68	1797.12	2861.02	1496.58	1115.71	1563.93	260.55
