	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_44	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_57	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_18	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_9	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_19	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Nrip2	74.32	169.25	109.31	103.39	396.63	87.09	107.01	0.82	1.37	1.78	6.07	0.0	1.19	0.91	39.54	96.07	55.3	86.48	110.07	26.94	43.52	38.14	39.28	104.62	39.73	108.9	49.82	84.31	6.13	63.01	0.35	91.59	69.61	1.55	0.0	147.08	123.63	151.03	61.39	0.88	61.77	89.15	103.41	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	175.71	68.62	54.36	94.32	238.41
Nt5dc2	67.19	203.0	18.82	0.0	133.41	0.38	76.47	0.0	0.0	33.09	61.14	0.0	0.0	139.93	9.88	0.0	16.83	0.0	0.0	16.97	12.93	0.0	30.06	0.0	0.0	0.0	27.63	15.43	42.78	55.94	0.0	28.74	0.0	0.0	0.0	0.0	0.0	0.0	46.07	48.86	0.0	0.0	50.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.39	0.0	0.0	5.06	14.37
Pdcd5	193.99	202.05	207.12	236.05	994.11	273.95	166.64	110.04	157.34	108.04	171.4	0.0	0.0	12.65	70.01	134.09	77.71	282.27	255.79	203.94	156.67	67.08	149.41	246.81	74.67	169.52	172.47	82.99	84.3	160.56	106.91	160.84	189.56	46.22	115.52	48.08	147.32	89.82	127.09	133.2	165.41	82.69	207.37	0.85	0.0	0.0	1.01	0.0	0.0	0.0	0.0	4.55	0.0	1.07	0.0	0.0	0.0	0.0	274.47	340.2	0.0	140.46	176.77	51.47	109.59	222.04	67.05	121.95
Pop7	99.8	385.76	46.46	88.8	476.11	134.67	64.13	0.0	59.72	75.53	147.85	0.0	0.0	164.42	127.29	0.0	85.39	0.16	55.15	113.82	56.6	56.59	0.0	78.59	4.65	41.01	63.21	160.48	33.03	0.0	67.49	40.49	79.06	14.25	236.77	325.54	0.0	0.28	44.08	90.39	53.97	77.74	117.86	0.0	1099.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	311.02	92.75	0.0	36.24	43.87	94.43	44.14
Prdx5	708.44	1040.71	900.35	1372.64	1199.62	539.11	704.54	955.63	722.68	1128.08	118.9	282.71	262.02	466.74	537.26	749.25	541.8	785.1	441.78	609.97	453.77	880.68	770.21	762.35	689.17	523.72	785.38	397.0	456.96	548.51	648.31	807.13	625.93	1033.06	615.54	272.86	540.35	573.44	684.62	428.18	464.94	627.65	838.4	3.16	1.78	0.0	0.0	18.71	0.43	0.0	0.0	0.0	0.77	1.0	0.0	0.0	0.0	0.0	0.0	149.83	0.65	623.68	630.68	600.8	584.19	505.01	1091.57	636.28
Psmd10	221.6	324.94	0.0	91.1	311.2	0.0	51.46	0.09	69.85	81.52	0.0	160.58	0.0	94.98	48.12	116.97	161.81	46.76	127.99	58.47	49.48	0.0	0.0	96.26	0.0	110.28	25.99	120.89	11.43	0.0	72.28	53.33	0.0	72.36	36.62	103.08	0.0	102.36	160.49	57.89	0.0	97.66	35.94	0.0	0.0	0.0	268.47	291.43	0.0	0.0	0.0	0.0	140.62	0.48	0.0	0.0	0.0	0.0	471.64	0.0	0.0	42.73	133.97	103.28	99.83	78.37	114.86	121.37
Rab3b	897.04	1767.73	1000.9	2193.28	1908.94	992.27	1346.43	80.7	297.41	466.71	323.78	0.14	368.58	270.84	1198.43	971.84	934.59	1037.56	1206.28	1465.33	1246.9	1722.37	707.98	1423.77	929.45	1203.48	1202.87	649.01	793.16	964.61	677.65	1075.94	1196.76	751.22	180.13	824.17	811.02	832.67	952.42	620.57	1481.64	837.21	1027.99	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1480.86	1039.21	898.01	1576.88	1046.82	1235.12	1197.92
Rbx1	576.64	559.46	205.04	520.87	1116.04	212.91	316.38	400.37	325.69	338.71	344.69	356.7	560.21	199.0	439.91	558.73	476.89	299.85	539.45	371.57	248.13	557.76	375.82	632.99	384.54	447.14	496.88	530.81	198.45	439.72	510.02	460.12	305.72	338.65	405.56	790.21	504.8	246.43	454.43	457.39	612.42	448.63	591.82	152.85	179.53	76.12	98.95	97.32	121.32	101.27	0.41	0.86	79.75	39.04	460.66	386.13	115.03	0.62	140.02	171.95	0.0	543.0	335.64	463.86	431.08	545.1	435.57	402.87
Slbp	114.31	184.02	128.56	0.0	293.68	3.47	185.62	0.0	0.0	83.49	0.0	0.0	0.0	97.41	58.0	0.23	232.45	0.0	96.74	0.89	55.5	117.48	54.57	37.03	85.66	97.51	66.29	56.27	99.08	54.76	0.55	45.39	59.85	4.52	0.0	0.0	0.0	37.64	62.86	0.0	9.87	20.93	75.71	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.15	0.0	145.02	0.0	0.0	0.0	0.0	0.0	0.0	105.54	0.0	53.1	0.0	0.24	149.53	1.52
Snord116	0.0	2.21	6.02	5.29	0.0	14.63	10.84	4.41	8.56	0.0	6.5	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	11.3	0.0	7.38	0.0	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	7.66	12.13	1.71	14.21	5.74
Snord116l1	0.0	2.21	6.02	5.29	0.0	14.63	10.84	4.41	8.56	0.0	6.5	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	11.3	0.0	7.38	0.0	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	7.66	12.13	1.71	14.21	5.74
Snord116l2	0.0	2.21	6.02	5.29	0.0	14.63	10.84	4.41	8.56	0.0	6.5	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	11.3	0.0	7.38	0.0	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	7.66	12.13	1.71	14.21	5.74
Snrpe	335.85	169.1	188.06	277.3	767.84	55.14	156.36	308.66	205.99	215.27	172.5	0.0	0.0	417.54	292.17	248.6	228.2	165.17	175.93	85.42	325.92	157.68	198.19	154.49	63.51	148.85	158.4	215.51	222.96	140.36	215.2	191.06	271.55	417.02	103.0	467.12	125.83	1.88	145.92	242.49	108.48	273.15	177.13	0.0	0.0	465.28	1.36	0.91	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	495.26	0.0	0.0	0.0	340.46	238.48	18.06	179.13	125.52	230.88	225.14	274.87
Snurf	217.59	280.37	241.44	213.15	239.94	158.41	185.2	154.55	197.07	109.85	171.01	4.89	50.33	93.64	72.69	145.29	207.99	96.74	151.63	151.46	193.78	161.29	156.68	145.21	167.46	221.82	103.75	464.31	124.24	141.27	183.68	152.92	277.79	109.5	170.4	95.04	117.74	163.74	124.68	169.7	122.3	99.84	312.16	0.0	22.04	8.55	16.01	17.77	5.88	17.11	0.02	0.06	35.93	0.09	1.43	0.01	0.01	2.61	20.85	13.09	0.0	170.11	184.08	209.14	156.67	245.12	202.77	150.4
Spg7	29.23	6.41	1.07	8.75	94.95	23.23	55.11	31.37	5.82	70.89	0.0	19.87	6.17	43.56	3.85	0.0	63.3	0.05	6.25	0.12	7.04	3.49	0.0	9.71	3.64	22.2	4.61	6.49	38.22	2.14	0.0	0.0	0.84	6.35	10.1	40.81	0.0	10.62	3.7	4.12	1.71	0.0	5.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.86	0.0	0.0	0.0	0.0	0.38	37.24	0.0	0.0	0.67	1.25	17.0	4.76	0.0	4.88	0.11
Spin1	507.0	714.06	484.19	581.56	738.27	653.93	701.08	622.99	485.21	360.7	324.86	0.07	164.18	529.61	509.4	481.88	508.22	610.49	474.8	418.63	587.49	380.77	534.87	345.31	465.81	373.83	422.89	561.18	236.97	345.74	379.49	363.31	338.84	443.03	315.72	323.2	533.59	439.62	458.59	508.38	427.52	410.32	632.5	0.0	0.14	0.0	0.43	53.13	1.32	0.0	0.0	5.29	0.06	0.15	149.13	0.0	149.06	251.12	119.96	0.0	16.41	524.02	664.95	451.7	560.22	579.55	391.22	458.38
Srek1ip1	0.0	0.0	11.5	0.0	78.69	22.65	35.97	0.0	16.96	12.74	0.0	0.0	0.0	19.95	2.8	48.24	6.74	0.0	16.08	23.97	13.39	5.94	0.0	0.5	5.36	0.0	8.52	10.08	38.01	14.03	0.7	17.83	13.39	0.38	80.21	0.0	19.74	0.13	37.38	74.92	15.76	1.79	9.63	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.76	4.12	11.97	13.54	24.38	45.97	18.31
Stmn1-rs1	0.0	53.44	29.14	59.98	101.74	0.28	4.78	0.0	0.0	0.0	0.0	6.06	0.0	2.68	1.14	0.39	1.35	0.92	2.11	1.97	1.88	1.53	0.14	4.48	2.46	0.43	3.88	3.11	3.82	0.26	2.8	1.37	3.7	1.13	3.84	0.0	0.81	1.67	2.06	1.81	2.51	2.41	2.26	0.0	0.0	0.0	0.0	6.36	0.29	0.4	0.0	0.0	6.98	0.0	7.37	0.0	4.37	0.0	0.07	3.1	8.49	0.0	0.23	2.65	1.64	1.71	1.27	0.1
Tmsb10	955.28	1098.87	1142.2	1353.39	1173.89	1217.51	1501.47	59.18	253.26	215.7	158.74	0.0	169.49	39.83	727.4	940.89	988.47	773.14	1120.43	922.23	1310.27	990.73	936.55	1677.64	831.04	1169.54	1248.94	764.33	946.48	984.04	990.09	1068.89	1284.77	1121.4	126.49	962.36	961.54	1153.76	1090.14	1165.02	1206.73	1062.12	1051.77	5.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	388.17	0.0	0.0	0.0	0.0	0.0	370.69	0.0	0.0	0.0	1483.64	1394.64	1239.09	1114.67	1237.85	1246.9	882.09
Uchl1	700.12	337.47	514.54	692.11	1063.77	662.53	499.22	508.43	180.93	351.13	97.77	0.0	0.0	175.98	506.7	416.37	449.34	577.97	525.12	675.27	795.52	615.89	483.98	871.67	579.14	878.04	850.37	471.72	498.49	559.7	780.25	593.4	467.29	624.32	157.02	488.6	557.81	702.17	694.22	996.9	665.43	712.79	527.26	0.0	0.0	0.0	0.0	1.8	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	965.25	635.74	908.08	924.8	731.88	628.24	659.75
Upf1	1.52	8.56	1.78	5.95	17.86	4.54	4.28	2.23	1.26	2.33	0.31	5.32	0.0	2.61	3.46	0.0	2.05	1.37	4.52	1.12	0.29	2.49	3.15	5.74	2.87	3.07	2.46	2.82	1.95	1.83	0.25	16.47	2.02	3.46	0.18	0.25	0.0	4.06	1.44	2.02	0.12	2.66	2.83	0.0	0.0	0.0	9.25	4.42	0.0	11.43	0.0	0.0	5.3	0.14	0.0	0.0	0.61	0.0	0.0	1.1	0.0	2.35	2.92	2.22	3.63	0.37	2.83	0.62
Vps28	583.78	1085.25	537.05	889.83	1382.59	820.33	1023.54	398.25	764.85	883.85	86.5	0.36	234.58	752.3	561.26	548.91	355.0	391.9	1180.15	733.23	320.63	623.53	619.92	503.56	534.41	574.35	801.82	455.95	735.76	529.29	867.2	848.92	540.52	338.55	747.85	772.48	895.07	617.05	965.93	535.66	564.5	622.08	594.84	0.0	22.44	0.66	0.0	1113.93	448.97	0.45	0.0	0.0	0.29	1.52	512.89	0.0	0.0	0.0	462.33	506.62	476.16	576.83	686.44	1092.03	603.28	1021.14	772.62	624.77
Wdr12	79.8	44.85	0.0	101.48	193.18	155.93	135.48	0.79	122.97	28.62	187.25	0.0	45.46	70.19	95.73	87.25	63.64	18.49	3.05	35.1	111.98	68.59	42.05	93.7	72.85	10.41	92.54	60.51	144.3	23.83	185.32	191.65	111.22	3.76	0.0	0.0	86.2	64.73	71.63	44.44	100.19	167.35	122.51	0.36	0.0	0.0	0.21	0.14	0.0	0.27	0.21	0.51	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.6	67.07	111.77	74.33	76.29	133.04	98.47
Znhit3	207.17	386.43	55.69	223.52	679.33	0.0	218.13	0.12	73.29	64.15	313.79	0.0	1.04	397.81	80.27	182.98	62.71	161.86	348.05	108.56	97.01	119.45	117.63	45.17	63.17	138.35	185.27	261.33	346.6	165.51	309.83	83.71	61.82	396.42	298.56	371.08	315.73	80.98	115.41	222.29	274.34	181.73	60.07	0.0	0.0	0.0	0.0	302.26	493.91	0.0	0.0	0.0	0.0	0.68	0.0	20.35	4.78	0.0	0.54	0.0	0.0	186.76	115.24	88.96	288.54	154.11	211.9	224.89
Zwint	1166.01	984.51	1576.31	1635.51	1647.56	1573.22	1784.62	890.66	1610.27	976.39	820.3	0.0	629.25	789.72	1702.15	1562.69	1997.78	1359.21	1473.22	1714.0	1311.56	1586.44	1490.88	1728.81	1458.66	1490.95	1597.26	1469.66	1429.37	1114.09	1492.59	1270.0	1669.44	1374.41	1128.04	803.89	1208.5	1439.62	1384.66	1292.34	1597.65	1454.38	1548.3	0.0	0.0	0.0	0.23	189.42	114.72	0.0	0.0	0.51	59.11	0.72	0.23	0.0	0.0	249.54	0.0	101.38	111.99	1518.07	1618.0	1853.1	1669.2	1924.76	1757.28	1541.1
