	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_4	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_5	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_18	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Gad2	320.61	411.41	371.93	0.59	1238.15	0.06	0.07	0.77	0.0	7.02	0.71	2.06	245.09	196.34	314.59	34.12	318.35	162.81	429.15	333.44	378.8	396.67	294.55	483.26	360.75	204.55	301.16	198.65	283.25	218.1	261.36	348.54	132.94	99.8	305.57	250.6	418.12	372.29	475.46	362.78	300.55	0.46	0.76	0.88	1.15	0.0	0.0	0.74	388.23	245.39	315.14	194.46	290.56	429.79
Gm13306	0.0	0.0	8.68	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	7.83	1.88
Gm2506	0.0	0.0	8.68	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	7.83	1.88
Gosr2	67.02	15.53	44.02	0.0	229.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.55	0.12	0.0	22.94	17.95	93.43	18.99	46.66	0.0	101.56	16.34	116.56	83.81	0.0	33.55	3.14	83.97	15.06	196.85	0.07	120.33	53.69	41.84	14.86	33.9	13.83	125.6	13.24	28.25	0.0	0.0	0.0	0.0	0.33	0.0	0.0	56.27	0.0	0.0	74.58	47.66	0.03
Jakmip2	57.71	39.97	18.46	0.0	204.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.73	66.85	31.08	39.95	0.19	0.03	4.34	12.58	79.96	140.69	68.5	62.11	19.84	1.95	107.97	1.48	0.83	2.56	61.78	0.48	27.61	107.96	68.82	66.88	19.06	52.04	6.7	50.87	185.0	0.0	0.18	0.0	0.0	0.0	0.0	69.99	23.0	15.63	34.11	27.12	71.2	2.84
Kcnma1	2.63	11.79	25.77	0.0	115.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.34	2.08	42.29	23.56	5.27	22.5	17.73	0.05	2.9	21.56	26.24	12.76	15.44	23.79	16.88	39.22	0.0	19.12	24.48	24.08	86.08	18.25	20.85	26.26	27.88	3.33	13.62	13.21	17.95	0.0	0.4	0.0	19.73	0.0	6.97	0.0	32.62	10.49	5.3	26.67	16.42	10.59
Mblac2	29.51	13.67	20.75	0.0	122.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.73	34.48	48.4	17.06	19.55	71.9	5.8	21.11	0.0	10.87	0.0	23.44	25.57	0.22	33.92	18.26	29.42	0.0	46.35	35.19	0.0	37.39	90.9	34.65	16.16	2.24	16.82	41.67	3.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.21	53.48	4.06	14.43	17.73	42.93
Mtap9	2.85	16.86	28.25	0.0	115.51	0.0	0.0	0.0	1.19	3.38	0.0	0.0	2.14	9.1	21.5	16.11	4.55	0.02	0.05	21.0	18.02	17.97	15.7	17.38	6.04	19.68	93.38	18.44	27.74	16.15	54.93	1.76	0.0	23.32	34.2	14.75	11.15	20.22	8.92	11.18	40.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.78	1.38	53.55	9.55	2.7	2.07
Mtmr12	0.0	0.0	0.0	0.0	34.59	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.02	0.48	0.05	20.37	0.0	27.59	15.83	0.0	0.0	0.0	1.35	0.0	0.0	22.01	0.0	16.22	6.45	7.01	0.0	0.06	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.04
Naa20	572.0	842.68	324.2	0.0	730.05	0.41	136.44	0.49	0.0	0.0	0.0	0.33	235.27	529.81	483.94	638.01	539.6	412.16	377.61	628.43	358.99	365.81	376.37	374.82	391.51	187.01	274.41	354.81	161.72	218.56	190.21	619.42	211.62	304.69	223.7	215.5	512.53	365.96	153.69	374.78	243.59	0.0	1.74	0.0	0.0	0.0	0.0	0.0	509.25	227.22	298.15	259.36	315.29	475.86
