	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_109	Cux2_tdTpositive_cell_111	Cux2_tdTpositive_cell_120	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_55	Htr3a_tdTpositive_cell_71	Nkx2.1_tdTpositive_cell_15	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_16	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_23	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_48	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_62	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbD.Slc32a1_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_47	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_82	PvalbF.Gad2_tdTpositive_cell_86	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_33	Slc17a6_tdTpositive_cell_42	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_70	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51
Gars	1.57	14.16	0.0	11.44	33.92	120.1	0.0	1.82	123.99	0.0	0.18	0.0	116.92	18.46	0.0	0.88	134.77	40.3	260.63	383.48	95.02	0.76	97.52	18.26	262.66	10.34	43.53	95.05	125.0	82.29	41.56	193.16	109.78	80.38	3.44	4.21	27.24	42.78	33.92	37.32	75.62	151.24	33.43	12.78	141.87	37.17	109.78	0.0	6.52	157.08	85.41	3.46	0.0	50.52	63.13	64.7	0.84	0.0	1.67	4.47	24.73
Glrb	9.21	0.16	178.89	368.67	190.75	88.31	105.17	117.92	181.79	243.64	0.0	0.0	0.0	268.33	114.53	0.14	255.18	111.48	351.58	267.55	292.0	85.99	6.01	307.8	348.66	167.34	226.3	218.51	9.05	202.17	134.06	202.67	237.18	110.75	104.9	25.56	191.87	279.8	158.62	225.9	158.8	81.86	339.83	150.27	220.41	117.15	121.48	4.56	1.04	1.29	59.51	159.15	252.64	4.81	0.47	348.37	94.13	15.64	192.63	39.16	206.8
Gm5177	41.01	52.9	29.51	54.44	22.52	29.95	29.46	28.82	16.95	40.3	40.89	31.79	28.63	58.31	16.3	13.79	45.66	48.12	42.66	54.05	51.61	49.81	48.24	44.93	47.33	54.84	37.21	47.49	36.29	40.5	46.91	43.28	46.66	50.97	57.54	33.7	32.71	26.29	32.92	36.16	27.61	29.2	39.95	37.16	26.57	37.31	31.4	25.87	29.49	35.28	29.32	26.89	28.54	33.42	24.87	28.09	29.71	31.31	27.06	31.02	25.63
Gnas	754.77	355.13	208.42	756.44	552.7	162.34	347.92	385.11	349.54	870.97	434.48	1000.64	787.63	359.2	524.22	384.86	1110.35	671.76	501.62	869.6	841.52	1315.58	454.14	501.64	932.47	631.32	439.11	743.91	329.8	1083.94	898.26	1010.51	806.45	648.44	1072.04	498.09	941.6	968.95	810.13	425.5	1011.24	810.42	530.37	1052.14	1244.42	725.49	603.94	0.0	199.21	878.58	378.0	519.5	486.91	138.68	427.46	523.35	818.79	485.44	913.58	255.96	277.46
Got1	1718.69	492.87	928.01	1695.37	1299.04	867.06	921.88	1271.17	767.0	2569.3	1035.97	7.51	238.84	2360.24	389.92	74.39	2165.56	1784.91	2695.63	1668.93	2019.44	1702.32	1678.32	1402.43	1873.84	1921.01	2231.67	1212.71	1898.79	2529.78	2728.59	2165.96	2264.22	2062.04	2028.3	1658.27	1553.73	1481.45	1604.25	1515.55	1768.58	1725.62	1777.94	1138.24	1816.95	1587.67	1333.93	863.51	705.88	488.28	753.54	785.77	1184.4	962.09	968.93	2082.72	1073.62	857.35	551.9	626.16	216.58
Haghl	125.71	317.48	0.0	161.22	131.01	0.0	0.0	59.84	99.31	113.23	0.0	0.0	136.33	63.23	0.0	0.0	218.4	338.0	236.33	0.0	254.41	148.05	4.92	129.76	351.95	190.28	249.87	231.13	458.13	81.11	190.9	270.42	155.82	196.58	356.05	246.61	246.19	279.62	336.32	461.41	315.77	373.16	284.84	229.78	208.87	470.59	135.71	0.0	155.57	0.0	87.14	40.14	0.6	82.53	66.7	511.6	194.88	197.3	203.02	187.96	122.83
Hapln4	0.13	0.0	0.0	0.0	1.05	0.0	0.0	7.06	0.0	52.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.14	0.0	2.53	17.47	0.0	0.0	0.7	0.0	68.58	5.34	107.81	0.0	3.39	74.41	36.47	0.0	32.28	90.74	16.88	9.85	52.74	50.67	38.51	12.12	0.4	18.52	1.6	3.14	65.44	0.0	0.0	1.97	0.0	58.46	0.88	0.0	0.0	0.13	78.87	3.02	0.14	0.0	0.0	0.0
Hcn1	59.87	80.05	0.0	69.08	0.0	38.09	5.84	4.44	2.36	56.79	28.11	72.62	0.0	36.24	75.37	0.0	30.86	68.02	52.82	42.3	39.21	78.35	8.13	38.13	45.6	26.48	39.17	56.96	10.92	62.07	15.58	32.9	23.96	15.96	23.44	20.53	54.18	29.9	52.66	49.12	30.11	15.04	16.23	23.58	24.87	55.16	17.92	4.85	0.11	0.1	0.9	0.0	0.0	4.57	7.48	44.28	10.48	0.58	59.18	1.87	0.63
Hdhd2	16.75	146.33	1.5	195.61	125.28	175.15	196.04	37.84	120.9	227.84	232.17	199.71	14.0	223.86	309.35	366.39	281.63	228.52	65.75	139.41	345.8	277.29	381.74	156.55	142.71	273.12	203.97	271.22	215.75	65.16	125.97	50.56	42.97	142.84	150.26	200.66	305.62	159.16	289.39	194.49	171.01	320.89	55.05	0.0	284.16	194.44	114.71	127.07	1.2	92.62	187.25	138.83	302.26	0.0	9.59	264.81	203.47	166.05	12.34	208.16	145.72
Hs3st1	137.06	0.0	206.67	93.23	37.71	0.0	0.0	2.25	65.24	205.94	0.0	0.0	0.0	0.0	0.0	0.0	0.26	208.14	250.94	161.18	140.65	97.51	183.52	606.05	195.65	257.64	71.25	168.61	111.44	170.79	550.14	223.62	372.04	169.34	234.0	160.57	204.9	207.44	237.45	274.52	532.38	332.31	193.07	123.12	55.97	114.5	168.65	202.56	124.65	224.25	0.0	2.67	11.55	0.0	94.4	157.46	136.79	0.31	0.0	0.29	0.0
Hspa12a	0.03	80.21	0.0	0.0	50.29	10.67	5.83	0.09	0.0	43.18	3.4	0.0	0.0	29.06	0.94	0.0	8.58	2.35	62.23	0.0	28.31	0.0	9.18	36.47	1.98	25.85	0.0	19.53	0.0	13.95	2.31	12.39	39.18	40.71	21.94	0.0	22.96	84.85	1.67	1.61	70.65	39.26	55.49	46.41	2.27	13.99	0.05	99.67	0.25	12.96	19.46	0.87	0.0	0.0	0.0	38.49	1.39	47.54	0.0	0.0	21.12
Hspa8	22360.42	24473.49	20649.84	26297.86	17952.0	15938.97	15759.15	15435.22	15161.33	16011.72	20651.28	17691.78	17198.28	23643.2	16754.57	20789.46	15189.94	11873.46	13606.54	17416.84	13691.77	15817.19	15434.27	20908.03	13527.67	13719.73	15173.84	10883.27	13551.46	13504.88	14296.75	14670.31	14309.8	14159.39	13535.3	11934.59	12151.51	11714.04	12480.23	13440.84	12736.81	13009.16	15068.84	14303.35	12048.12	14514.79	22280.51	17242.33	16134.9	18674.14	15255.91	17365.58	21156.27	14794.58	17776.42	12879.0	12839.75	18127.58	14697.96	17943.05	18264.18
Hspa9	45.49	0.16	116.66	153.93	0.25	60.42	15.56	7.53	74.61	25.38	65.19	29.91	0.19	121.49	36.89	0.0	23.85	89.63	25.1	57.86	166.95	144.15	163.49	132.99	51.18	94.39	59.86	64.42	156.04	112.59	41.97	102.33	60.91	71.02	4.62	2.6	73.08	101.44	67.21	149.95	90.6	48.38	156.5	96.37	53.25	19.1	67.92	0.0	0.48	44.21	57.49	6.23	49.66	81.11	2.46	94.28	88.35	162.33	303.63	162.49	184.77
Idh3a	998.37	487.31	209.23	932.02	828.72	591.32	358.11	863.92	809.53	1836.75	418.33	801.92	725.51	1229.48	484.99	564.58	1082.77	1477.73	1567.36	1004.93	1595.64	791.97	845.88	1438.61	888.87	1519.92	1572.29	1240.22	1058.1	1268.65	1293.66	1296.57	1370.33	1193.1	1108.52	1337.74	1054.33	940.79	1122.4	1025.78	1860.08	994.07	1821.54	994.78	1477.42	1219.9	1009.52	647.15	403.27	857.34	496.62	708.36	742.58	316.86	733.34	1147.64	1099.67	1061.12	491.69	832.36	343.36
Idh3b	492.44	960.84	149.71	469.75	214.85	449.86	316.27	559.52	164.8	1093.83	374.51	40.79	213.1	854.93	203.03	0.28	1744.32	891.14	748.35	698.24	604.18	652.7	209.76	764.68	440.15	1273.01	516.84	583.03	742.27	1056.56	1254.98	1118.96	710.95	1119.3	726.99	831.72	1202.22	833.36	832.21	1066.51	595.52	896.86	1437.13	139.97	1204.11	846.85	353.93	386.86	911.93	421.2	611.82	563.68	436.52	212.69	680.07	865.01	600.51	290.63	316.1	88.82	497.99
Idh3g	191.53	1.13	566.84	594.13	125.98	262.62	0.46	568.33	399.9	366.72	226.59	212.06	463.5	484.66	3.12	1867.02	642.78	656.26	443.5	398.53	874.14	1006.3	497.33	670.41	454.65	611.39	769.78	623.27	395.9	553.76	1017.83	671.6	1401.53	585.04	717.97	706.37	710.13	440.52	674.52	446.74	509.92	656.13	469.9	284.17	211.18	727.27	1.46	1170.87	1335.69	720.4	816.58	398.33	342.9	157.12	379.46	328.47	746.34	965.78	323.28	0.37	540.81
Immp2l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.73	0.0	82.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.44	0.0	43.62	34.07	23.76	0.0	0.0	160.28	5.85	0.3	0.0	0.0	0.72	25.13	114.84	33.78	0.0	0.0	103.85	0.0	7.22	46.14	0.0	0.0	0.0	0.0	0.0	0.0	51.87	39.3	0.0	54.9	0.0	0.0	0.0	0.0	374.64	0.0
Immt	26.85	192.8	332.26	190.23	319.18	285.86	63.39	63.82	313.08	310.79	0.0	61.92	63.96	80.54	504.54	0.84	245.33	137.32	636.57	344.44	256.79	173.89	270.32	119.85	417.67	216.24	231.48	120.84	315.86	182.94	250.52	455.22	214.37	127.76	171.67	176.6	302.11	235.5	297.74	220.83	224.82	437.47	227.6	292.22	361.4	288.64	335.7	67.5	30.98	403.74	228.02	99.53	23.9	0.52	207.84	371.45	374.21	421.18	4.43	38.23	0.18
Ina	11.78	92.84	0.26	0.0	18.47	170.7	75.14	54.37	1.76	2.5	18.1	2.56	100.42	17.21	0.0	0.0	14.18	68.79	32.49	0.0	43.59	0.0	14.67	115.57	0.0	43.54	113.6	66.54	11.1	115.56	62.07	84.67	80.6	73.24	4.08	105.58	4.09	10.61	19.6	69.76	52.94	18.63	191.8	0.0	34.0	27.71	93.49	80.86	116.66	7.58	34.44	0.56	31.53	102.1	4.17	83.8	44.86	0.0	0.0	0.0	0.2
Iqgap2	0.0	0.0	0.0	0.0	0.0	3.86	22.35	18.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.42	7.92	26.21	9.03	0.0	0.52	68.56	0.0	8.9	0.23	0.0	2.31	0.0	8.17	0.37	0.03	0.0	4.8	11.24	3.16	52.29	22.44	1.72	41.42	9.2	2.35	0.0	39.84	1.02	38.46	0.0	0.0	0.06	0.0	29.41	23.45	0.25	0.45	4.34	0.34	0.96	0.0	0.0	0.0	0.0
Iqsec1	16.21	34.94	38.52	27.98	2.15	1.69	14.81	14.94	12.54	22.34	14.74	5.99	7.79	14.44	7.72	0.09	28.42	87.65	75.67	13.6	64.0	45.49	41.05	36.25	46.35	37.07	50.08	45.11	10.93	19.31	18.28	24.66	32.98	69.75	27.36	27.98	49.17	64.22	74.1	40.86	74.82	92.46	45.0	56.53	76.51	57.21	9.4	9.07	25.01	63.15	6.05	26.65	10.19	59.13	14.58	49.84	30.74	19.18	88.95	1.27	13.21
Itfg1	1.13	0.0	0.0	0.47	33.19	5.43	14.26	79.64	6.15	0.0	2.8	0.0	0.18	0.0	18.11	0.0	0.0	37.66	168.24	84.95	104.82	1.95	0.0	74.65	24.34	47.26	58.55	49.61	94.18	4.98	3.23	141.07	49.9	81.5	32.45	5.64	123.61	155.81	70.04	50.02	42.96	82.9	5.19	59.07	25.12	69.72	10.09	187.85	91.72	0.0	5.17	79.18	83.53	7.77	11.27	55.72	0.0	0.31	0.05	0.29	0.0
Kcna2	2.56	0.29	40.84	0.76	0.0	0.49	9.32	17.36	30.54	18.16	0.15	0.22	10.48	14.57	0.44	0.15	8.72	34.51	58.27	10.35	40.05	20.74	26.23	2.3	13.75	62.25	47.34	71.74	80.22	15.36	13.37	51.77	55.54	35.36	24.42	16.07	12.2	42.93	47.55	50.93	93.54	49.06	65.74	54.36	91.08	32.18	10.06	0.41	39.34	17.53	11.95	0.23	0.0	7.92	8.25	40.0	20.65	0.13	0.1	0.45	21.58
Kcnab1	288.68	0.0	2.29	0.0	0.25	0.0	0.0	0.0	0.0	105.0	2.72	5.78	0.0	453.36	34.43	0.0	287.3	388.75	338.11	114.13	359.78	449.11	290.38	334.08	167.67	295.06	96.1	382.89	120.52	355.14	0.1	150.75	664.25	554.35	398.86	138.65	262.75	458.87	562.0	341.38	253.2	492.6	533.61	483.83	414.27	277.59	32.07	225.36	0.11	0.52	93.1	0.0	0.0	0.0	138.03	375.17	0.0	0.0	0.0	0.0	0.0
Kcnab2	73.3	58.18	0.48	0.0	0.0	0.59	50.68	41.09	22.95	30.32	0.0	0.0	0.0	21.87	2.27	0.0	51.56	61.03	21.11	0.21	2.77	20.95	32.69	24.29	32.12	24.09	5.19	23.29	0.44	1.19	14.55	28.57	36.85	118.17	14.09	22.14	28.08	114.13	74.29	41.09	11.95	35.16	101.04	95.73	30.38	43.18	0.0	0.25	14.04	26.19	0.17	0.35	0.62	0.0	1.22	30.04	40.54	0.15	0.0	0.0	0.0
Kcnab3	126.94	17.0	192.32	30.39	0.0	0.0	0.0	0.0	0.0	6.66	0.0	0.0	0.0	41.68	21.93	0.17	2.02	80.74	131.83	124.33	80.05	0.0	239.11	60.6	5.92	86.27	88.48	17.2	40.46	104.94	1.84	102.01	73.78	233.94	44.47	30.01	56.94	185.65	226.13	112.85	227.93	44.07	134.08	106.25	290.24	30.29	81.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	41.99	113.3	0.0	0.0	0.0	0.0
Ldhb	2423.25	2950.55	1566.61	3528.86	2810.53	2531.0	2691.49	3520.7	3242.34	5855.34	2360.06	430.97	1766.92	4658.86	1762.3	1579.17	5553.03	8798.32	7735.26	4817.96	6527.59	7520.49	5463.85	4850.94	6570.82	6807.49	8620.64	7074.56	5136.0	5645.32	7272.01	6655.09	4649.27	8513.41	7095.61	6251.75	5744.21	5888.35	6003.71	6831.71	6379.79	7194.73	7910.47	5877.43	6907.68	6971.5	2386.29	2497.23	1537.07	2333.95	3504.27	4421.28	1817.89	2089.82	1253.56	7184.19	6186.59	997.87	1447.89	2416.29	1757.18
Luzp1	0.04	0.0	94.24	35.52	0.0	0.64	7.22	17.58	13.35	0.0	1.91	13.14	0.0	6.22	0.0	33.71	0.0	62.47	63.43	20.13	19.56	22.91	46.25	17.23	32.46	59.09	16.11	17.02	8.08	21.67	23.86	64.49	1.59	25.63	30.97	8.91	16.2	53.53	18.27	4.58	14.17	19.63	16.44	34.28	1.68	30.2	0.0	15.75	8.46	0.1	0.0	27.23	0.0	0.0	3.72	17.78	7.06	0.0	0.0	0.0	0.06
Lynx1	80.89	15.12	0.0	8.6	39.49	0.0	0.0	0.0	0.0	230.86	0.0	0.0	0.0	6.76	0.0	39.19	0.11	100.39	124.59	47.56	139.78	98.88	77.99	15.83	73.35	47.15	8.21	95.75	0.0	74.88	0.2	85.91	28.54	72.52	39.63	69.11	104.54	44.59	39.19	78.93	11.64	0.93	70.23	3.1	124.38	167.0	119.84	17.05	22.9	0.19	0.0	0.0	0.0	0.0	34.29	166.05	128.94	0.0	0.0	0.0	0.0
Lysmd2	277.67	0.0	0.0	0.0	71.83	0.0	34.03	75.57	92.45	0.0	0.0	0.0	0.51	80.68	0.0	0.0	0.0	45.7	0.0	0.0	89.65	27.57	61.68	3.0	100.45	111.87	0.0	73.95	106.88	0.0	34.43	97.62	0.0	65.17	131.75	17.17	111.87	124.15	109.01	79.91	121.69	78.71	51.61	4.54	93.67	68.13	13.33	256.04	0.14	107.57	38.08	51.61	0.63	275.17	53.77	95.26	1.38	0.0	0.0	0.0	0.0
Mdh1	5081.05	5038.71	3237.77	5543.5	3044.13	2374.94	2200.01	2562.58	2993.24	7537.31	3186.86	2637.12	2865.55	9115.09	2418.51	2259.67	9026.63	7536.24	7645.4	9502.43	9166.48	8337.51	9754.78	7936.24	8031.83	9604.97	7947.29	9016.72	6740.95	7514.51	8260.84	7230.24	7732.57	8518.33	9104.29	7887.83	5346.34	7094.01	7791.2	6670.83	6808.74	6683.73	7486.21	7339.89	6719.24	7503.33	4544.1	2448.87	3410.33	4689.11	2542.37	3347.04	4300.68	2081.51	4070.35	7390.03	7177.58	2680.38	3251.14	2493.76	1537.21
Mpi	0.79	170.39	303.63	0.0	0.0	1.21	85.37	1.3	70.19	0.27	0.0	224.98	509.8	0.0	0.0	0.24	116.37	242.05	123.94	126.03	272.53	195.5	384.38	111.47	0.0	238.67	0.37	27.37	285.91	212.26	0.0	123.43	0.0	46.08	188.26	0.0	32.91	237.83	118.06	70.99	63.42	21.05	125.35	155.77	0.18	518.42	0.0	0.0	173.49	188.37	116.55	199.63	56.58	0.0	231.27	335.19	178.22	279.74	355.93	0.0	203.65
Mrpl10	0.48	0.73	2.67	1.3	1.1	0.43	82.75	54.11	89.61	18.9	1.91	329.24	1.95	3.05	125.53	2.0	73.8	68.91	90.53	147.84	3.23	10.17	95.05	2.37	167.91	128.55	57.77	141.74	251.75	63.07	228.71	23.97	92.92	22.89	55.61	2.29	127.83	2.13	48.94	102.51	50.77	79.67	17.86	212.23	19.78	50.62	1.9	181.37	44.86	1.59	4.31	22.1	68.7	133.08	5.93	100.89	178.48	0.81	4.59	0.52	0.28
Mtfp1	13.02	616.44	200.71	220.05	94.45	198.97	156.52	280.94	1.07	157.64	0.31	173.69	211.17	198.05	181.21	0.0	370.8	188.55	114.77	163.88	576.76	401.44	309.81	101.67	179.22	391.13	226.18	196.89	920.5	252.72	266.73	824.94	1509.9	509.05	655.05	422.08	356.55	222.73	530.61	312.6	188.66	288.14	162.49	118.08	389.27	485.22	0.0	0.32	1.91	129.23	450.16	157.06	34.57	357.82	60.97	466.24	67.87	490.12	4.43	281.94	0.0
Myl3	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.03	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nat8l	0.0	27.97	0.0	0.0	15.44	0.0	24.75	14.29	4.1	17.39	0.07	39.14	36.6	0.0	0.0	0.0	16.09	39.2	18.91	5.04	15.67	31.53	57.4	32.91	30.94	60.66	21.6	39.77	17.03	21.53	40.92	37.4	9.42	31.07	31.56	27.18	18.71	42.66	102.77	21.55	11.0	70.94	63.61	45.07	35.08	62.04	23.02	3.0	0.57	21.57	0.09	0.78	52.29	0.0	26.22	15.26	35.89	26.96	0.8	26.75	69.35
Nceh1	48.9	1.77	35.26	79.63	39.9	84.12	118.45	133.75	62.82	205.37	0.1	3.47	134.05	195.34	43.45	0.0	91.31	198.98	137.24	270.69	65.53	118.27	176.63	314.64	110.84	160.31	62.73	105.83	253.51	107.06	234.66	95.61	187.41	154.46	245.06	159.64	249.56	277.98	185.31	55.82	47.86	338.23	214.03	254.06	125.21	213.7	129.43	0.0	0.7	104.78	0.68	0.0	186.74	11.08	274.21	139.12	104.13	0.0	0.0	0.11	0.52
Ndrg4	3588.39	2226.89	695.61	1247.76	1317.14	602.85	1480.77	1602.87	545.61	1117.71	860.17	786.03	489.56	808.56	1251.4	806.35	1496.65	1312.69	1549.15	1282.81	2039.3	1682.61	1335.75	2626.62	1368.66	2110.84	1606.95	1547.53	1498.92	1865.14	2016.8	1920.21	1688.91	2195.71	2222.61	2486.79	2626.57	2369.95	2688.91	1761.27	2171.84	1657.87	2400.86	2664.71	1495.73	2467.85	1029.86	1590.48	1411.44	1346.11	825.16	1047.65	1023.23	792.57	1635.42	2375.45	1828.82	622.82	649.28	738.78	944.4
Ndst3	0.0	0.0	0.0	0.09	26.54	6.39	0.0	10.83	0.0	0.0	0.13	0.13	0.0	38.57	0.87	4.46	3.0	76.27	40.83	37.8	31.45	57.28	137.16	5.3	13.43	20.38	0.0	0.0	53.62	18.61	58.41	122.59	106.54	29.94	22.0	4.4	51.15	106.69	8.49	12.72	18.75	2.67	4.33	0.33	0.05	0.13	0.12	0.0	0.0	0.86	34.83	0.0	0.11	0.0	0.0	54.56	0.08	0.2	0.19	0.0	0.2
Ndufaf4	109.62	0.0	128.96	0.0	98.88	0.0	14.45	37.97	66.7	22.6	0.0	95.97	123.03	131.92	44.17	0.0	5.59	102.39	222.77	74.01	116.31	28.6	10.47	143.07	84.26	106.0	116.6	74.82	40.86	92.5	40.58	96.94	72.99	89.01	36.0	174.87	141.7	73.06	56.97	226.7	90.91	56.92	70.88	11.48	1.97	43.48	32.36	33.89	56.03	78.73	44.22	94.39	260.53	103.2	60.08	111.11	19.27	0.0	4.21	65.52	0.0
Ndufs1	381.44	169.3	367.82	324.54	223.91	170.91	114.31	150.46	122.68	141.31	181.98	340.53	281.24	94.97	434.15	850.88	142.88	226.99	223.8	63.22	495.88	370.89	411.77	153.51	404.29	328.85	314.46	436.65	453.8	373.23	66.63	482.74	523.1	334.62	281.75	410.17	276.68	415.83	431.67	199.15	448.57	809.4	448.95	528.26	358.7	181.47	683.93	108.76	485.66	6.69	148.62	189.1	306.25	12.77	98.99	320.32	100.72	271.84	315.73	309.43	230.53
Ndufs2	502.15	778.6	547.42	0.0	438.31	44.89	148.0	180.5	569.96	171.83	24.92	235.99	197.13	981.83	104.45	554.69	396.07	739.7	316.42	657.08	432.41	641.77	199.53	217.81	667.03	317.53	704.72	559.66	909.81	509.84	743.99	818.93	587.46	377.45	536.76	476.6	946.19	609.91	472.07	492.94	580.46	390.17	497.96	284.07	724.3	916.22	0.0	734.68	487.13	138.15	81.99	0.4	92.91	0.0	270.68	458.84	593.88	581.4	169.51	326.66	207.51
Ndufs3	141.12	532.94	404.99	365.87	387.55	250.28	260.39	253.63	306.43	0.0	482.22	379.87	157.89	335.36	6.0	442.61	100.02	233.36	494.34	374.94	149.03	749.73	130.24	119.85	297.22	313.29	222.31	369.66	383.84	237.38	247.09	569.56	308.02	331.16	418.81	199.49	445.5	606.89	551.28	284.82	468.79	456.71	318.59	292.13	411.34	420.49	197.84	2.44	331.35	131.54	186.58	260.05	430.06	361.28	250.73	388.25	570.15	453.75	430.83	5.37	0.51
Nek7	0.56	0.64	0.38	0.24	12.88	0.21	1.26	0.18	0.46	152.33	33.94	0.0	0.11	148.83	0.43	0.78	182.6	168.74	303.57	175.71	175.95	331.59	152.04	129.31	351.76	115.23	16.26	196.61	152.19	235.53	114.58	224.42	345.51	251.71	77.88	168.81	585.4	268.24	330.35	326.23	148.67	209.53	150.48	297.7	198.73	206.16	0.25	0.25	0.4	0.23	0.34	0.2	0.55	0.4	13.36	135.18	105.19	0.73	0.24	0.0	0.37
Nme7	198.51	216.38	134.86	142.35	104.67	103.52	176.54	130.16	147.95	226.43	199.19	236.83	59.1	182.52	131.37	71.69	430.53	529.58	439.43	242.54	480.03	379.75	347.13	236.97	414.51	438.6	287.46	411.37	311.82	318.41	317.96	320.98	204.02	408.23	303.05	273.3	361.39	334.95	391.81	389.35	256.28	468.5	388.41	327.78	387.24	325.67	51.45	87.17	20.81	228.47	192.51	50.06	172.04	138.64	143.11	297.03	279.04	460.12	54.21	63.52	114.79
Pacsin2	1.63	158.02	0.0	0.15	60.61	27.64	0.0	0.0	0.0	44.09	0.0	0.39	128.44	173.04	0.0	22.61	14.17	184.71	216.15	208.69	88.92	206.81	95.93	150.57	182.95	42.95	63.27	162.0	77.26	163.76	39.4	112.75	151.94	264.1	157.46	28.23	70.1	136.87	159.78	141.35	130.13	35.13	238.75	212.82	255.76	188.77	0.0	166.85	0.71	0.0	53.9	0.0	0.2	0.0	41.58	127.42	96.89	0.0	0.0	0.0	123.25
Pdha1	572.15	618.49	728.69	167.41	124.44	522.41	428.93	429.87	216.69	158.83	637.81	0.17	435.86	439.91	370.47	594.11	363.62	455.23	597.51	634.84	689.32	491.21	464.64	155.69	292.67	562.73	219.1	496.08	899.92	498.93	734.97	612.05	850.07	664.68	455.18	555.75	518.91	306.43	197.7	375.5	403.0	504.95	596.31	220.0	425.18	433.52	229.21	418.09	591.77	644.51	345.16	549.67	430.57	197.8	418.14	509.38	594.03	462.15	0.0	826.78	220.32
Pdhb	636.44	261.52	240.38	959.97	160.56	740.5	561.46	602.52	653.04	903.71	26.8	356.67	18.3	711.12	395.58	0.29	991.72	599.13	440.68	888.76	715.88	761.08	665.28	971.22	791.87	706.24	897.48	1074.09	1029.15	414.31	836.69	954.28	785.38	552.44	580.7	546.64	817.79	985.77	725.18	953.66	1025.14	596.14	924.75	818.46	1051.22	651.27	831.22	252.35	4.87	915.13	329.83	532.66	475.09	830.29	256.33	847.66	1127.53	0.0	157.0	661.98	395.11
Pgam1	805.61	424.38	263.9	451.13	1259.56	86.88	471.96	768.32	524.35	495.89	798.33	712.79	338.49	567.93	810.57	0.23	469.28	634.43	231.42	565.6	603.29	388.53	763.92	890.1	1122.36	769.96	906.17	678.73	791.9	722.07	426.31	718.48	482.15	874.85	751.86	837.41	688.28	637.23	841.32	436.2	818.83	697.11	985.77	720.12	895.76	395.77	734.74	164.91	822.34	917.43	409.38	387.27	407.03	352.57	283.93	1167.09	598.37	223.82	586.42	388.1	565.55
