	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_15	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_78	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_120	Gad2_tdTpositive_cell_50	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_36	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_58	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_54	Scnn1a.Tg3_tdTpositive_cell_105	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_11	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_46	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42
Nedd8	500.8	795.94	574.02	674.93	25.62	829.96	516.84	618.92	494.18	451.61	305.82	939.32	576.68	757.71	407.12	466.79	163.55	745.57	1214.58	466.26	739.89	526.46	842.99	943.09	455.07	487.63	118.95	610.48	688.7	591.38	198.22	512.45	371.11	897.46	1211.4	572.79	760.25	1059.82	771.17	605.68	1270.74	1047.09	978.05	1145.78	793.23	720.46	973.85	824.15	886.18	502.52	382.4	645.52	403.35	256.87	267.52	834.33	822.02	584.43	711.41	666.28	400.19	1516.05	641.6	801.15	796.52	864.41	1018.98	805.34	1151.01	320.58	695.17	600.75	769.88	727.33	638.38
Nop10	432.01	450.41	666.65	309.71	454.47	409.72	148.69	376.09	197.42	372.25	502.28	318.85	219.39	247.13	268.14	554.25	216.81	500.46	938.93	196.92	500.87	222.85	482.79	413.61	470.12	325.06	147.93	645.84	752.68	397.73	272.63	431.36	419.95	232.46	492.55	433.12	1061.42	515.08	667.58	657.56	727.31	441.68	399.46	696.53	42.94	379.31	490.52	206.85	72.75	362.66	388.96	418.48	383.38	306.27	322.54	493.2	468.53	345.18	403.27	377.12	261.17	407.58	790.01	446.14	935.02	644.6	685.86	951.05	1096.23	511.26	257.64	224.82	427.26	674.56	238.98
Npm1	631.68	459.21	359.3	562.47	654.64	323.8	346.69	135.43	531.24	665.09	426.46	491.37	297.7	461.95	456.36	399.03	169.31	744.86	705.06	769.8	585.56	400.5	683.05	542.28	674.14	303.23	227.23	412.73	1297.61	385.68	593.36	673.33	861.54	678.36	160.38	568.65	495.69	610.2	745.12	1247.79	981.41	1386.67	1004.9	799.11	629.23	540.2	882.22	452.8	621.32	718.14	780.02	764.1	811.06	371.96	810.26	649.38	535.98	579.99	563.81	515.33	965.67	937.85	424.06	261.74	328.89	481.19	800.61	778.4	577.25	438.42	617.09	527.45	353.21	412.79	377.31
Polr2g	298.87	242.02	207.53	0.0	169.23	425.72	342.66	574.79	303.09	310.56	659.24	303.72	246.42	110.68	239.75	127.48	320.7	623.39	101.17	89.33	101.15	585.89	410.28	368.34	309.49	353.86	502.5	481.5	865.42	135.86	556.56	462.2	307.48	333.65	77.21	338.64	601.96	397.59	601.63	373.8	380.64	269.17	672.81	640.78	0.0	0.0	411.0	701.08	741.57	854.76	224.6	453.26	200.51	210.58	612.43	611.02	344.41	443.47	455.58	444.67	698.57	607.55	0.0	867.58	610.27	986.91	800.25	847.33	579.78	237.65	503.56	271.43	753.03	555.34	725.01
Psmb1	605.9	426.69	1283.25	698.79	747.4	246.48	426.05	1038.64	458.99	510.99	550.39	451.04	530.47	427.64	552.37	548.29	523.97	755.5	615.26	650.69	859.01	816.72	1384.65	687.09	587.25	594.7	946.34	1486.84	1215.12	1095.19	1035.04	580.06	545.46	499.38	1183.25	796.7	1446.2	1332.33	874.68	511.09	836.15	908.18	854.89	820.7	652.44	209.77	833.29	724.58	796.19	502.36	659.94	1069.33	982.21	697.76	976.29	1012.95	1042.89	840.21	796.04	859.45	758.58	1759.48	1439.66	1364.24	689.53	1585.13	1371.8	763.02	1003.61	810.22	885.53	845.63	863.71	1233.69	321.13
Psmb3	811.79	573.25	1033.09	917.28	983.62	393.17	732.21	330.42	722.92	842.91	740.59	952.64	355.65	529.02	256.03	255.34	379.1	1582.92	999.49	282.96	1056.83	645.49	635.46	586.65	854.7	709.44	721.24	2056.98	685.25	724.88	1135.55	741.68	325.34	803.78	803.44	558.09	656.59	652.59	782.72	714.57	1290.5	724.5	862.9	710.93	1281.36	627.8	1063.74	1773.45	1143.6	558.1	946.73	382.7	1252.58	374.05	758.42	898.65	721.36	543.4	690.82	692.71	714.32	1845.72	1687.19	731.78	1660.77	752.97	1148.63	2386.57	1128.26	233.26	659.64	326.17	918.23	839.59	398.52
Rnasek	320.27	812.62	975.46	166.32	381.93	882.27	576.08	811.49	224.46	563.59	540.8	466.12	525.9	410.74	681.94	721.77	399.89	1243.51	1077.99	633.23	714.97	808.91	673.51	353.84	481.03	360.84	704.75	1139.11	1003.61	917.12	1105.48	437.88	984.55	658.87	1217.68	667.69	1120.4	797.58	997.68	978.62	915.43	1284.86	760.4	1106.8	579.07	596.57	1541.53	774.13	558.39	610.79	590.63	1229.08	605.49	445.18	939.62	593.47	832.81	474.47	635.62	619.66	678.23	592.3	1060.8	1391.94	1025.19	1577.95	1565.88	2188.27	1064.7	687.7	591.3	10.07	477.04	405.75	770.22
Rpl22l1	965.44	314.61	834.68	31.65	253.39	124.99	251.58	562.49	305.77	240.89	244.2	586.29	306.78	460.75	213.78	52.27	504.18	351.57	396.03	476.24	297.39	251.06	522.44	205.29	285.92	301.23	150.53	1352.62	362.38	562.95	297.29	242.49	653.62	397.98	504.79	291.91	804.96	720.14	768.64	989.71	718.68	571.82	544.79	895.69	385.09	326.9	143.9	802.66	270.35	818.13	814.3	685.04	597.38	324.47	437.08	422.4	436.01	274.68	303.65	272.89	528.05	370.77	585.27	816.23	504.88	534.12	805.8	494.02	329.03	281.37	450.56	342.04	933.44	724.51	511.94
Rpl24	359.15	80.46	810.64	136.88	231.64	338.37	439.22	411.33	236.3	322.14	409.55	526.86	450.08	578.1	225.61	519.8	427.22	610.79	623.02	405.3	415.17	473.48	818.93	810.58	266.61	362.74	283.09	621.06	1761.6	758.88	420.29	650.28	448.9	458.7	759.46	385.43	589.67	843.95	765.62	837.31	594.29	827.23	736.83	555.55	387.54	229.62	418.4	666.52	655.0	775.98	458.89	487.52	559.68	358.62	815.41	587.71	626.34	332.43	463.92	426.33	367.23	331.08	767.35	493.82	682.67	669.87	1031.42	707.6	566.71	265.42	564.08	422.26	514.71	433.61	748.21
Rpl35a	351.31	289.44	532.56	341.62	146.68	128.36	431.89	651.08	87.56	245.69	376.79	522.13	313.18	151.97	5.25	182.54	420.62	746.96	338.13	289.61	513.84	409.08	1049.14	239.84	407.36	328.62	208.12	821.95	1165.58	531.93	398.09	388.26	233.99	216.31	716.08	250.86	581.43	660.88	638.54	576.85	706.97	886.29	737.21	562.22	441.01	108.72	569.83	550.41	608.91	364.79	434.71	441.89	653.04	854.48	316.76	434.34	629.75	298.7	336.15	288.3	226.09	651.0	492.14	820.95	544.01	536.5	949.4	798.89	547.51	445.8	548.64	508.49	218.79	376.77	359.96
Rpl37	428.43	198.77	569.13	307.92	249.1	243.43	244.56	354.01	193.71	168.28	221.49	286.09	184.68	201.98	227.91	277.15	371.24	433.87	542.55	226.88	251.38	366.72	380.15	185.22	137.11	287.56	295.15	625.76	508.17	364.36	329.01	354.62	163.8	210.98	443.61	183.1	434.75	509.15	447.7	451.37	364.45	394.82	509.95	376.91	259.24	506.15	692.68	205.55	235.38	334.2	461.71	349.02	290.62	274.97	321.5	346.39	347.35	187.4	263.82	244.04	224.34	345.25	447.28	315.95	555.77	379.99	292.17	407.44	252.25	206.81	219.01	268.57	283.35	278.51	171.16
Rpl38	545.16	574.51	513.36	297.27	588.02	727.15	416.37	274.43	496.87	403.24	128.34	785.66	406.31	414.86	420.16	407.02	399.57	640.06	839.15	505.59	496.68	365.24	695.72	359.51	344.79	608.99	292.28	1020.89	1437.45	924.51	1027.84	641.63	740.49	689.47	1199.42	531.72	1057.2	1158.86	932.12	895.85	1185.21	974.23	983.83	1023.82	396.88	256.57	665.0	421.7	792.84	943.78	420.7	404.12	578.27	636.96	308.97	687.23	809.31	467.75	567.21	561.31	770.1	525.11	707.7	440.15	623.86	556.2	1175.01	780.88	956.97	543.66	576.67	580.55	453.39	794.71	672.61
Rpp21	177.68	306.17	483.06	89.06	67.56	6.97	295.64	132.24	100.34	313.51	349.02	205.42	146.34	34.79	164.21	0.0	123.64	514.67	303.82	142.23	0.0	308.09	56.11	138.28	47.56	154.57	0.0	785.93	313.7	137.56	482.51	212.55	284.11	111.03	358.77	128.53	75.6	21.52	206.4	89.44	243.05	48.83	348.41	170.88	212.41	0.0	413.24	88.93	56.64	17.29	286.95	290.06	14.02	125.88	83.3	170.49	277.99	162.86	170.17	156.8	59.23	495.63	364.85	685.05	158.3	27.33	112.57	429.96	160.43	229.05	0.0	158.45	285.02	186.5	86.47
Rps13	272.39	147.44	828.15	283.76	93.74	160.75	261.97	96.34	387.66	250.81	477.59	253.05	539.16	499.69	142.82	450.45	473.64	723.62	577.96	355.41	567.6	866.28	540.91	752.22	70.63	563.2	791.26	1338.6	1426.22	1214.98	565.45	385.5	366.1	678.6	648.58	482.73	820.0	352.79	586.49	916.61	702.88	703.62	809.7	677.46	591.35	288.72	1.68	509.4	563.58	355.66	643.76	372.44	612.65	462.51	816.92	614.83	532.04	307.02	388.18	339.11	212.74	944.9	357.9	671.06	1089.77	898.28	609.96	714.6	588.9	507.41	569.73	559.27	397.82	569.94	294.58
Rps16	341.24	245.34	1053.26	505.2	576.03	200.12	145.29	460.4	235.09	220.79	113.6	1100.75	104.1	675.26	232.05	278.22	362.88	650.81	1489.53	275.0	24.64	321.47	249.79	422.1	235.01	703.09	93.49	436.58	921.55	715.8	676.48	312.36	521.85	574.12	907.8	408.66	310.18	557.03	549.81	388.42	740.94	576.27	681.7	610.99	139.56	351.91	533.01	636.54	705.91	119.25	405.25	648.32	407.24	281.08	413.24	580.46	537.28	326.11	377.69	419.63	356.07	971.89	435.14	743.82	944.99	850.08	991.44	688.15	422.57	353.8	391.85	188.02	211.47	305.43	95.68
Rps25	429.34	358.33	747.7	294.0	611.38	289.7	222.16	698.79	333.81	607.0	653.69	652.44	596.11	637.87	322.36	472.96	514.8	1037.47	918.04	531.27	902.53	811.13	984.18	405.58	368.95	501.5	506.02	1006.39	978.0	691.49	677.6	406.17	464.01	485.79	771.0	578.79	890.65	830.33	925.37	1027.47	987.04	726.85	1030.05	630.79	744.06	256.3	1076.84	892.62	593.18	792.54	850.99	843.74	588.14	610.14	816.26	585.33	588.73	518.0	572.16	511.26	574.16	494.4	854.49	449.84	864.75	1517.9	792.59	1036.33	603.14	597.14	348.17	856.32	409.71	526.69	602.89
Rps26	173.8	286.7	320.32	441.05	112.44	183.02	121.01	449.74	210.42	3.25	271.09	230.71	380.67	250.36	250.67	212.89	187.74	596.1	543.88	198.48	392.32	352.43	299.29	135.44	41.47	274.4	122.21	358.6	658.74	110.94	358.66	479.89	386.37	516.15	569.48	225.06	354.66	511.37	558.44	810.72	542.37	504.05	665.54	520.58	265.04	135.0	422.07	353.56	576.47	314.75	471.56	243.75	374.94	280.79	347.65	366.3	350.29	243.32	270.77	299.02	0.0	350.46	142.12	638.96	355.55	708.07	460.27	125.15	406.69	314.48	142.8	383.96	358.63	269.64	83.17
Rps28	572.55	182.96	595.62	390.78	226.48	121.96	109.16	373.23	101.67	273.0	383.1	374.39	403.64	364.4	295.08	299.68	183.03	565.39	543.13	202.63	272.69	307.81	481.69	375.31	326.13	393.84	507.34	1018.7	595.97	475.65	902.91	303.25	394.48	687.27	359.67	397.2	541.19	648.7	502.75	794.7	727.33	584.85	701.22	559.13	371.53	160.33	479.62	263.79	151.08	264.65	554.11	509.04	352.97	247.42	560.23	438.38	628.07	246.24	397.58	340.91	481.6	276.09	488.01	804.69	741.2	619.6	743.32	299.92	304.28	555.62	350.03	232.36	177.61	135.8	230.66
Rps29	692.68	593.26	1056.35	512.2	543.3	397.77	275.23	487.19	417.45	544.47	325.46	601.91	742.48	434.72	498.96	318.11	541.55	1066.74	1135.97	819.55	483.01	434.91	781.08	467.17	512.99	699.02	516.16	1692.09	1236.99	927.51	890.91	763.8	701.68	398.7	1008.43	778.15	846.25	834.27	1135.78	987.54	1253.56	682.36	1000.51	933.45	496.96	557.48	903.22	784.72	440.67	668.08	798.77	625.62	290.6	340.8	696.36	691.69	655.38	429.23	616.01	535.09	473.54	716.26	861.22	1006.16	483.82	999.04	689.1	925.93	748.18	279.28	507.61	622.72	532.45	506.2	508.13
Sec61g	321.79	371.85	93.49	176.91	178.89	244.25	95.61	288.16	172.07	171.28	151.2	325.81	311.89	102.87	87.92	165.65	363.45	291.47	119.5	163.82	139.98	224.58	306.96	33.84	269.93	213.53	345.7	454.63	366.79	303.8	250.43	198.78	131.16	179.84	172.38	250.79	221.59	332.9	342.95	649.7	230.97	331.31	300.19	308.36	251.06	83.9	474.93	497.61	233.03	133.42	281.51	326.33	398.1	246.22	216.62	236.04	287.68	214.78	237.58	213.17	90.93	434.27	606.73	610.97	396.19	326.54	194.52	601.7	453.81	113.09	143.71	230.84	141.39	339.02	154.7
Shfm1	638.24	396.17	330.7	187.24	297.27	309.5	638.17	348.77	359.48	249.77	293.87	929.09	291.92	250.84	331.45	54.53	599.78	639.57	631.28	197.96	707.4	596.57	380.22	392.02	123.72	384.79	495.7	908.65	287.9	759.89	365.99	329.23	383.07	211.89	552.57	428.15	723.81	507.47	553.89	310.6	665.87	491.79	683.22	674.85	441.22	189.55	761.48	350.05	549.26	199.62	129.55	624.36	459.38	192.74	559.34	546.68	631.01	372.67	422.86	431.52	250.32	358.35	593.86	449.26	611.57	1901.05	677.8	851.19	735.2	340.85	453.97	386.87	730.53	66.44	361.66
Snrpd2	179.98	539.3	908.36	263.55	325.93	58.51	165.88	273.56	388.27	210.25	119.03	538.71	226.5	239.46	142.43	361.6	256.0	594.15	545.55	271.48	312.26	325.02	308.64	250.35	231.01	430.87	363.9	788.38	247.28	501.47	767.69	535.99	403.66	323.91	575.76	322.03	657.91	433.26	507.7	424.98	247.11	394.21	276.56	461.7	421.55	15.45	661.69	187.62	563.27	325.46	870.62	288.57	233.45	231.82	243.49	439.31	409.5	285.84	343.36	335.0	432.25	473.19	1305.56	811.03	1018.92	191.71	206.27	570.34	496.48	467.76	189.08	98.86	568.0	511.81	93.97
Spcs1	461.79	946.21	606.28	396.21	337.35	403.36	187.83	1063.72	408.6	322.65	561.81	310.98	296.37	357.48	326.77	620.36	365.31	476.67	403.97	602.55	566.19	674.4	552.97	446.04	874.84	445.81	394.73	648.7	672.73	175.72	930.16	386.59	413.82	536.05	985.63	679.9	1075.2	729.75	715.6	746.03	1360.3	218.77	766.75	686.33	92.78	277.84	955.19	583.8	492.36	491.61	278.89	526.26	562.4	340.34	645.99	591.67	558.16	453.08	489.46	445.57	662.94	502.88	1417.51	413.77	860.99	1209.23	649.13	1272.75	329.46	327.33	264.74	674.76	365.58	429.66	941.36
Srp14	796.0	457.67	583.72	134.76	203.2	335.54	282.2	156.86	497.36	0.58	530.36	563.1	520.93	383.51	179.63	394.06	184.38	874.05	309.15	364.18	635.71	433.07	751.42	761.7	904.3	379.27	427.66	944.25	871.27	219.86	805.31	962.27	621.59	900.11	553.9	340.62	873.26	354.55	638.01	728.03	684.63	412.72	674.68	379.16	348.77	128.16	608.32	374.2	529.61	521.12	328.54	616.14	215.94	422.07	350.63	656.95	487.6	483.62	476.98	436.36	493.74	356.15	891.9	889.98	977.54	1203.25	953.99	1054.63	227.24	240.25	393.73	256.83	531.9	586.99	664.21
Swi5	351.5	462.16	925.24	761.27	271.68	356.79	379.12	970.37	740.39	239.88	253.36	473.26	594.66	731.49	384.24	341.7	638.44	882.29	570.09	571.6	264.11	706.29	735.78	439.95	714.16	774.2	257.95	722.15	817.59	650.43	775.94	375.24	389.19	456.53	708.59	653.96	510.32	404.6	350.32	494.4	412.25	753.84	513.39	486.37	256.34	945.51	361.79	619.0	365.12	314.59	543.3	238.78	608.91	442.82	367.97	639.62	741.73	382.52	381.72	377.73	1059.35	581.48	929.21	761.55	641.16	1004.64	1007.0	2065.31	756.9	239.47	633.64	412.28	986.98	421.59	533.71
Tceb2	653.26	537.3	1146.28	596.39	559.62	550.01	820.56	501.82	600.06	932.27	507.12	915.37	401.47	505.54	755.99	654.36	341.75	1158.48	875.46	504.38	741.65	476.87	1095.18	962.66	611.07	836.79	667.52	1305.43	2290.45	900.79	935.49	1174.28	569.95	435.38	1371.45	838.14	1191.31	783.25	1275.36	1250.16	1464.99	1211.57	1431.78	1241.14	785.3	1023.78	580.31	1186.1	656.5	625.88	651.79	670.3	536.1	535.82	919.21	918.74	907.8	664.54	894.44	848.57	1067.95	1273.99	1193.91	1334.06	667.07	655.97	993.15	713.95	1003.32	680.92	718.68	841.95	500.75	781.34	991.11
Timm8b	726.32	620.58	393.81	311.61	791.64	470.81	387.26	447.48	242.01	357.65	391.08	377.93	714.8	667.25	607.71	468.55	310.88	318.7	767.11	470.93	517.2	523.82	831.1	639.25	322.74	413.4	568.65	723.93	813.57	676.8	862.68	552.64	694.54	917.44	747.78	464.6	1069.23	886.47	868.19	1064.71	934.57	620.6	806.38	1043.83	208.25	601.88	577.44	666.1	743.12	774.76	265.36	418.2	504.79	636.8	585.04	750.99	846.89	533.83	562.37	586.71	234.41	960.45	1076.91	1450.31	1407.3	589.78	1673.89	1124.91	558.71	660.0	662.8	322.19	457.66	739.55	502.95
Tomm6	272.65	139.8	535.69	151.66	247.67	225.52	229.49	239.86	153.21	308.08	115.89	264.18	239.53	162.53	141.25	206.24	321.62	481.84	351.62	185.85	178.27	309.41	473.0	234.92	218.12	125.13	144.81	290.28	277.58	235.17	236.78	404.85	186.39	147.76	223.88	210.43	331.72	381.22	417.23	254.81	430.09	345.1	404.34	366.84	185.73	446.34	171.73	277.37	269.21	257.66	182.56	483.27	300.25	309.3	220.76	282.81	332.72	235.74	264.8	257.19	308.35	297.98	171.39	371.29	446.82	400.94	314.24	255.22	379.55	149.45	343.86	92.69	282.05	335.14	182.23
Trappc2l	410.04	301.1	287.34	309.34	54.11	264.27	294.3	567.2	650.96	1278.55	623.39	587.27	653.16	184.77	623.05	749.86	190.86	990.52	0.0	519.46	495.24	182.31	286.48	526.98	388.88	126.18	152.61	953.31	457.72	978.11	147.68	233.01	205.92	447.83	901.38	245.94	882.95	334.32	516.32	570.91	641.09	544.08	708.74	806.09	198.17	214.95	45.52	136.2	232.52	151.23	403.4	379.93	313.25	146.04	421.15	433.68	333.29	317.38	348.62	291.94	166.85	1137.2	411.99	1094.93	505.79	878.44	477.01	950.86	0.0	424.61	618.19	0.0	465.49	1028.92	304.68
Ubl5	72.49	105.68	149.56	69.3	75.42	60.15	67.26	129.82	105.14	155.98	13.23	81.34	83.34	92.74	80.61	134.08	70.77	138.83	205.27	77.17	74.3	131.14	287.97	123.46	108.76	109.15	41.61	268.76	196.67	196.46	218.47	130.44	111.86	103.75	123.91	91.82	99.32	168.49	161.63	127.41	135.19	265.07	131.37	175.07	37.34	146.23	142.16	95.78	125.04	87.15	108.84	214.0	202.07	87.97	119.34	145.82	112.55	71.26	94.63	75.69	115.01	138.07	151.63	197.94	111.95	124.85	233.37	217.17	99.98	130.91	106.98	28.72	71.02	125.92	78.45
Uqcr10	475.85	692.36	1707.04	693.98	452.06	684.76	521.34	538.18	368.85	696.73	1073.72	843.95	438.66	561.04	810.71	466.58	1035.46	1162.76	1333.07	473.8	1139.87	432.86	949.51	1033.66	441.86	550.71	745.79	1711.0	1762.06	1751.26	633.08	1153.13	1133.2	948.93	1581.16	1423.43	1362.6	1224.36	1436.88	2223.39	1900.44	1578.02	1190.59	1973.76	395.47	687.33	1376.4	967.33	756.43	930.49	978.72	671.27	503.1	586.98	645.81	1327.59	1113.26	769.3	975.93	901.66	774.08	1351.44	2000.17	1862.16	1566.63	903.39	1877.62	1752.69	1076.38	266.72	1089.42	687.8	1022.11	780.06	1312.96
Uqcr11	554.24	783.38	2778.13	831.4	847.62	627.57	1427.11	1486.09	1350.87	753.1	611.19	1689.09	704.52	647.3	948.28	555.22	1429.58	2100.78	1554.68	1204.82	1068.99	1775.97	1350.8	1595.83	1299.19	1372.4	1016.62	2187.76	1851.39	1376.21	1215.98	794.47	1268.37	1403.15	2156.71	1672.66	1097.74	1526.61	1786.42	1690.07	1922.66	1321.14	1858.12	1720.95	673.95	835.68	1011.39	1300.4	1309.36	1240.72	611.11	1440.03	1880.46	1359.56	983.05	1392.59	1497.88	936.37	1278.22	1434.27	1021.33	793.33	1788.18	1253.81	2136.8	1211.79	1697.46	2506.11	779.67	783.59	1716.7	461.37	880.49	777.39	471.35
Vps29	296.66	1239.47	716.65	1045.41	370.11	952.14	115.72	715.92	477.14	440.35	229.53	484.24	519.56	584.53	769.58	518.8	378.52	931.61	598.08	468.54	473.26	771.19	1243.45	956.4	826.37	383.46	425.05	775.04	668.18	781.88	332.07	701.68	708.22	5.72	1092.87	1453.89	973.63	953.6	967.64	798.87	786.26	972.47	813.61	1488.56	760.16	786.63	1481.03	1228.13	1144.23	940.19	368.99	975.12	193.35	789.72	605.65	806.49	636.44	873.79	759.94	778.96	472.69	861.57	2019.65	1358.32	436.52	558.07	485.7	942.41	1687.36	293.28	1047.34	854.65	732.31	740.26	490.4
