	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTpositive_cell_87	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_67	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_10	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTnegative_cell_4	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Dok5	2.05	0.23	32.21	59.04	0.0	1.46	0.8	0.78	137.43	1.52	0.6	338.02	147.74	335.58	121.25	191.31	941.23	83.35	143.4	318.42	170.32	67.43	3.44	198.46	20.86	1.73	73.47	169.88	201.48	96.99	117.03	0.63	0.34	32.62	0.3	0.48	0.43	0.12	0.21	1.76	1.18	0.38	0.51	0.36	213.15	0.46	46.9	0.12	0.0	0.63	69.43	772.63	0.51	641.69	102.4	0.87	0.25	0.66	269.1	1.31	1.26	0.32	1.94	1.59	0.91	0.64	0.87	32.76	60.96	1.28	0.0	123.24	0.34	47.2	0.19	87.15	0.65	0.29	0.13	0.46	0.29	0.8
Dvl3	9.09	54.33	13.88	14.32	34.56	9.87	0.0	0.0	136.69	0.0	56.87	169.11	75.76	73.27	81.0	59.78	164.71	67.91	29.36	121.74	123.52	66.43	46.32	75.63	25.97	113.6	105.69	78.62	95.52	119.01	63.43	0.63	34.12	8.1	28.38	13.5	0.09	0.69	25.29	24.38	23.48	5.31	18.23	11.78	47.66	7.14	21.09	10.7	16.55	1.76	75.23	108.21	11.67	123.65	87.33	11.78	21.48	19.48	85.93	0.0	2.93	11.64	40.97	0.0	0.46	13.87	33.2	24.36	37.53	0.0	5.62	6.12	7.35	40.07	15.39	159.79	19.79	43.85	23.32	7.39	10.83	34.38
Enc1	164.95	322.77	104.42	161.86	172.24	0.22	0.08	0.0	154.76	0.1	160.66	622.3	38.51	181.01	373.27	544.19	807.13	538.43	1.02	862.06	632.47	438.88	0.62	269.27	0.08	333.79	41.47	260.07	534.35	0.55	118.45	42.31	22.39	28.06	139.03	0.42	88.91	28.59	137.89	142.17	51.49	118.49	71.4	2.28	3056.19	116.17	294.66	0.0	379.15	134.78	568.4	769.72	65.97	562.57	365.19	116.6	256.16	79.58	626.02	9.34	0.0	140.88	114.15	94.62	275.38	367.73	21.39	51.5	172.85	0.0	253.83	73.05	96.58	340.89	25.27	139.99	18.93	43.88	90.52	77.83	0.06	0.0
Erbb4	0.0	0.0	0.0	0.0	0.0	1.24	0.0	0.0	23.4	0.0	0.07	18.68	2.63	4.59	57.52	0.0	148.31	94.19	13.6	45.49	20.53	48.71	0.23	79.47	39.8	7.53	2.71	84.96	1.16	18.81	24.58	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.26	0.0	0.0	0.0	2.44	0.0	0.84	2.46	2.73	0.0	0.72	0.64	7.64	49.06	0.0	1.84	14.96	0.0	0.0	0.0	19.63	0.0	1.43	0.0	0.0	0.54	0.0	0.0	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	0.07	0.0	10.87
Fam154b	0.69	1.57	0.0	0.0	0.0	0.0	0.0	0.0	2.88	0.0	0.0	2.24	0.0	0.0	0.98	3.08	0.0	0.23	0.0	0.0	0.98	1.35	0.0	3.09	0.0	0.0	0.0	0.0	1.13	1.13	0.0	0.0	0.39	0.0	0.0	0.48	0.0	0.0	0.04	0.17	0.0	0.69	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.54	0.0	0.0	1.65	1.28	0.0	0.0	0.0	1.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.62	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fam46a	136.0	19.45	168.77	0.0	3.78	104.57	0.0	0.0	102.75	52.88	0.05	711.09	50.93	420.52	126.34	704.94	366.32	637.62	402.03	619.31	351.29	559.1	248.88	256.47	37.78	296.47	25.82	46.52	64.13	234.35	169.65	234.76	163.66	185.69	23.09	256.16	324.19	125.34	257.38	240.66	269.88	91.43	141.92	407.92	65.34	160.44	35.64	1.64	80.58	121.89	55.38	356.14	81.37	33.73	1.6	82.88	193.95	146.46	28.0	80.51	134.77	64.55	221.42	128.21	173.06	163.5	159.35	117.39	0.94	0.0	176.03	42.96	248.13	40.12	233.08	41.74	164.76	39.06	188.4	116.74	234.12	111.84
Fam81a	0.0	0.0	0.17	1.52	0.23	0.0	0.0	0.0	277.23	0.0	0.0	258.48	287.77	133.58	241.81	89.77	196.33	257.54	194.45	169.27	346.38	141.91	0.68	538.87	461.82	226.03	191.75	160.63	202.98	223.48	170.25	0.06	0.38	0.34	130.26	0.58	0.46	0.32	0.32	0.0	36.42	73.96	0.13	0.14	321.86	0.21	13.5	0.0	0.02	0.09	204.75	217.12	14.72	140.6	340.54	4.36	8.57	0.0	136.78	0.0	0.0	0.0	42.95	0.0	10.18	12.4	0.0	17.71	0.15	0.0	116.86	130.12	0.03	0.48	44.01	166.57	0.0	35.05	0.0	21.4	0.15	283.41
Fbxo32	0.52	1.03	0.51	1.26	3.12	0.96	2.21	0.92	129.0	2.62	1.25	88.95	37.04	33.8	10.51	10.0	0.83	32.87	30.55	44.02	2.51	16.4	3.16	33.62	10.24	10.29	1.46	23.1	32.26	26.58	1.68	0.56	1.1	0.61	0.5	0.55	0.67	0.89	0.83	0.87	0.72	0.22	0.94	0.57	0.36	0.35	0.78	0.61	0.22	0.23	12.79	4.21	0.53	40.0	1.07	0.37	0.88	0.8	1.14	1.15	0.65	0.69	0.39	0.35	0.83	0.63	0.6	0.89	1.2	0.67	0.59	1.04	0.29	1.72	1.22	2.05	0.42	0.99	1.4	0.56	1.88	0.89
Fgf13	2.06	176.18	1.38	31.86	3.88	2.79	4.42	5.92	1243.59	1.65	79.87	887.72	646.1	417.25	482.37	560.2	530.81	259.37	1424.85	545.33	100.28	1211.16	18.23	383.84	220.26	145.16	147.81	750.21	310.49	212.82	417.64	2.24	4.94	1.59	121.22	0.66	151.52	0.94	1.65	1.23	3.22	1.73	1.21	1.31	130.94	3.59	2.64	1.2	0.97	59.19	459.86	536.64	2.27	845.65	563.72	2.13	1.64	1.23	477.42	1.57	1.36	2.53	1.21	2.4	1.83	2.05	0.95	0.34	153.83	1.49	2.29	60.64	2.13	13.37	2.67	53.93	1.41	203.0	1.94	1.39	1.07	305.24
Fgf14	73.18	8.34	25.18	23.1	0.0	19.64	0.0	0.0	2.92	0.0	238.07	29.38	179.23	14.59	0.0	207.96	49.58	351.24	157.44	236.48	118.49	423.84	29.3	0.0	131.91	78.4	526.9	58.21	138.72	96.84	223.66	53.91	34.49	11.22	79.6	119.91	0.04	25.26	11.22	30.71	0.1	55.63	19.79	31.84	141.92	4.29	15.08	0.0	0.1	0.0	0.65	226.57	51.71	46.09	82.37	44.59	35.58	1.59	270.72	19.42	59.93	5.83	158.7	106.32	102.95	47.17	51.46	70.99	82.07	0.0	17.89	160.67	38.76	6.33	50.26	100.5	35.06	16.44	10.42	44.65	41.68	0.0
Fmo1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	214.77	0.24	223.12	43.24	52.21	0.0	375.07	158.39	165.08	93.15	55.91	0.0	602.31	480.23	230.06	274.22	144.76	5.88	87.93	111.88	0.0	0.0	0.0	0.0	0.0	0.06	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	61.17	390.5	0.13	0.14	84.66	0.14	0.0	0.0	135.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Frmpd4	40.62	18.65	2.67	20.6	15.37	27.76	0.0	0.0	6.27	0.0	7.23	87.71	58.38	34.53	44.93	66.54	132.23	17.11	94.0	133.76	104.27	66.46	102.33	59.63	0.05	89.57	128.48	90.88	21.37	18.83	49.26	17.31	29.83	1.93	0.42	9.2	6.2	2.63	38.22	5.41	41.91	40.61	17.94	22.75	39.76	37.43	34.34	16.91	26.82	18.26	65.39	46.93	29.45	82.06	26.27	7.83	2.72	19.98	18.63	0.75	0.67	23.06	14.6	9.33	34.02	2.3	64.72	5.79	67.77	0.0	9.87	45.18	29.78	10.9	7.29	41.02	35.01	4.97	9.51	12.79	0.75	126.95
Gabra1	0.15	51.1	0.0	46.97	0.96	0.0	0.0	0.0	288.13	0.0	199.53	339.54	631.46	247.96	388.87	221.25	767.92	425.25	532.51	634.72	555.6	663.5	0.94	392.4	135.96	509.91	519.16	755.75	557.91	403.23	625.18	0.08	0.18	0.28	77.76	0.24	0.16	0.25	0.37	0.0	0.3	0.0	0.09	0.0	280.63	0.0	0.0	0.0	0.07	57.29	648.41	478.11	0.0	303.34	513.62	0.0	0.86	3.88	347.36	0.0	10.13	0.0	0.2	0.07	0.13	0.04	0.0	0.06	185.99	0.0	0.0	41.85	9.0	155.71	0.0	0.0	0.05	129.68	0.0	0.07	0.13	392.28
Gabrb2	12.23	110.26	11.81	116.52	41.38	7.18	0.0	0.0	556.26	0.12	85.83	621.36	647.37	394.06	367.51	456.19	784.75	543.33	936.4	764.64	541.65	659.29	0.26	427.34	293.64	345.69	404.86	623.84	437.22	366.04	426.46	0.07	24.16	0.13	15.4	0.15	34.86	22.41	0.33	0.0	8.42	16.89	21.95	11.06	237.5	0.0	3.27	5.01	27.63	24.17	618.55	404.95	0.0	362.25	629.82	0.08	24.49	0.11	439.7	28.74	9.88	0.03	0.04	0.0	0.0	0.0	0.0	14.66	269.31	0.0	0.04	55.57	8.4	43.41	0.0	137.13	0.0	84.71	16.9	5.95	8.5	241.85
Gad1	2092.2	1242.32	2807.1	473.66	501.05	1716.02	0.0	0.0	3779.98	0.0	137.36	3744.69	3513.94	5157.97	3754.2	4353.26	5119.66	4242.51	7625.79	5398.93	3859.96	6140.35	848.26	4470.1	3209.82	4130.83	5384.47	3536.07	4561.16	1665.39	3347.36	3258.59	4318.35	2665.05	1677.18	2240.31	2899.24	3333.72	1634.59	2018.05	1640.12	2956.57	2867.66	2841.99	1249.66	3064.48	4728.92	2572.41	1977.67	1262.84	3275.01	5027.54	1986.67	3580.32	3826.2	2041.15	3080.08	1776.81	3323.88	827.63	972.91	2469.97	1874.14	2222.71	2581.3	2779.42	2858.51	2037.23	343.33	0.0	2517.65	1282.72	2221.42	424.25	2788.04	2004.56	2705.15	598.18	2014.97	1032.34	2066.02	4258.81
Gad2	320.61	434.48	411.41	129.66	18.33	371.93	1.33	0.52	1139.52	0.27	273.22	955.3	462.02	791.12	762.48	1445.41	1293.84	1286.54	1540.86	985.01	914.45	1708.5	113.88	1747.26	627.95	899.36	1529.42	1076.3	998.58	687.57	719.42	245.09	196.34	314.59	34.12	318.35	156.94	162.81	429.15	333.44	378.8	396.67	294.55	483.26	368.98	360.75	360.07	204.55	301.16	198.65	804.54	1302.16	283.25	818.99	486.53	218.1	261.36	348.54	379.4	132.94	99.8	305.57	250.6	418.12	372.29	475.46	362.78	300.55	617.9	0.48	388.23	517.7	245.39	533.08	315.14	681.65	194.46	331.26	230.51	290.56	429.79	722.66
Gm129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	387.36	32.38	48.58	52.44	127.31	0.0	248.91	1006.42	252.55	106.29	0.0	0.0	62.73	0.0	0.0	0.0	0.0	0.0	212.76	0.0	0.0	0.0	0.06	0.0	0.12	0.1	0.15	0.08	10.77	0.0	0.61	0.0	3.17	192.05	0.0	0.0	0.0	0.0	0.0	58.18	0.0	0.0	0.0	1.21	0.24	0.0	0.0	384.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.94	0.0	0.0	0.0	64.0	0.0	0.0	52.79	0.0	0.0	0.0	0.0	29.8	0.0	1.03
Gnao1	106.46	72.6	63.75	146.51	100.59	118.19	0.0	0.0	77.09	0.0	73.65	11.45	83.79	263.21	245.6	190.1	98.19	107.12	245.73	85.1	172.49	230.36	0.0	67.1	317.0	228.6	215.41	123.12	205.05	118.48	186.66	65.03	113.61	62.62	141.16	66.72	103.5	69.95	103.21	25.97	141.51	27.06	120.2	62.55	132.22	133.2	37.43	159.9	91.38	90.57	98.3	157.58	148.12	306.96	105.61	46.91	48.02	24.07	77.99	71.47	67.22	219.98	82.37	111.62	69.02	86.47	75.34	85.66	95.58	0.0	79.41	8.03	78.0	36.6	24.04	42.98	58.69	98.59	159.94	97.31	75.55	166.34
Golga7	0.0	51.65	49.08	76.4	8.93	150.45	0.22	0.0	231.95	0.0	171.5	170.48	159.98	264.36	100.55	299.33	0.0	204.26	388.93	374.0	62.57	113.13	0.0	329.72	210.47	0.0	0.0	89.02	5.83	290.51	262.52	166.92	157.05	149.44	0.07	8.69	92.64	25.1	7.4	179.96	40.16	79.68	142.35	29.95	91.44	151.72	0.0	68.61	49.91	120.97	81.85	271.3	57.87	48.26	41.53	42.89	54.82	162.18	270.63	141.56	83.47	6.73	0.15	0.0	0.0	0.0	62.74	33.62	83.98	1005.76	31.13	0.0	119.1	117.75	239.81	112.93	126.23	172.99	135.19	47.81	160.74	57.34
Grm5	0.0	60.19	0.0	0.89	10.26	0.0	0.0	0.0	220.1	0.0	57.59	67.97	97.2	274.54	118.18	130.37	69.68	174.23	244.91	185.7	173.28	126.45	175.08	228.58	316.58	182.6	229.51	99.9	110.07	115.48	106.03	0.0	0.0	0.06	0.08	0.02	0.12	0.04	0.27	0.0	0.0	1.61	0.05	1.42	62.17	5.68	6.89	0.03	0.03	0.0	38.65	141.59	1.33	86.42	80.59	0.0	0.03	0.0	140.24	0.0	0.0	0.0	0.03	0.0	0.0	8.18	0.03	0.0	70.91	0.0	4.79	49.27	0.0	61.37	0.0	217.52	0.0	44.54	0.0	0.07	0.02	69.11
Hcn1	3.27	48.57	7.68	0.0	0.0	0.07	0.0	0.0	17.49	0.0	15.96	27.77	8.07	68.41	20.71	59.62	32.93	23.33	112.2	25.39	68.65	45.0	0.0	34.65	17.47	66.87	12.08	20.83	7.17	26.12	20.24	4.32	0.09	3.76	9.74	7.49	2.92	8.76	18.16	5.02	19.09	2.92	0.15	0.3	32.18	0.38	4.57	0.05	0.04	14.19	43.91	45.44	0.04	14.3	19.57	9.25	3.77	2.45	57.56	0.0	0.92	1.56	0.14	0.0	25.86	32.42	22.51	8.27	56.75	0.0	2.93	23.28	0.0	11.66	0.16	31.2	4.1	0.64	2.01	9.53	0.0	22.33
Hist1h2bc	0.0	0.0	0.0	0.0	0.0	0.0	1575.2	0.0	144.81	0.0	0.0	181.52	0.0	0.0	76.6	169.28	287.35	0.0	262.9	167.19	1.59	0.0	0.0	314.87	104.02	129.06	142.73	0.0	414.19	0.0	148.45	0.0	0.0	0.23	0.0	0.0	0.0	54.61	0.0	0.0	0.0	0.0	0.0	0.0	38.78	19.76	0.0	0.0	0.0	0.0	134.72	81.96	0.0	163.19	1.21	0.0	0.0	0.0	96.47	0.0	0.0	0.0	0.0	0.0	0.0	6.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Homer2	7.99	0.0	0.12	0.0	0.0	0.02	0.01	0.0	11.76	0.09	0.11	29.01	0.07	60.27	37.24	65.3	21.73	4.14	54.99	52.96	59.38	0.73	0.0	7.59	26.93	18.46	77.05	29.7	23.39	12.26	23.27	0.02	0.26	6.62	0.0	0.0	0.03	0.02	0.59	0.0	0.09	2.71	0.0	2.86	23.21	0.19	0.34	1.69	12.8	2.99	17.17	34.37	1.32	1.89	3.02	0.03	0.09	0.02	9.44	0.01	5.46	0.03	0.0	0.05	7.17	0.03	9.93	0.03	2.05	0.0	0.0	0.03	0.0	0.0	8.98	0.06	0.3	0.04	2.26	18.03	0.01	34.88
Hspa2	24.67	0.0	0.0	0.0	0.44	0.0	0.0	0.0	145.8	0.0	49.61	152.9	17.87	147.34	36.22	212.79	64.11	83.15	146.31	80.43	266.9	76.07	0.0	60.24	117.38	291.92	76.94	11.6	244.59	155.01	86.94	0.07	0.0	0.03	0.0	49.84	0.05	0.0	16.93	4.58	0.0	0.0	0.0	0.0	195.11	25.65	50.9	0.0	0.0	10.47	164.0	264.51	45.29	169.27	0.0	5.77	54.82	0.0	73.12	17.66	0.0	0.0	15.01	23.56	25.32	9.24	5.16	0.0	0.0	0.0	60.49	23.47	2.45	11.33	42.31	0.21	5.36	0.0	13.99	2.05	12.08	0.0
Id2	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	933.24	0.0	0.24	1861.48	433.37	1987.17	1284.89	2170.76	2196.17	1694.04	2116.2	2395.37	3648.55	4749.09	0.0	1962.82	2314.25	3766.84	1854.05	1991.48	2934.03	2449.49	1417.82	0.13	0.89	1.78	0.19	1.72	2.36	1.81	2.15	0.0	0.25	0.0	3.44	0.0	2494.17	0.0	0.0	0.0	0.45	52.32	1671.18	2863.47	0.0	2420.36	1925.57	0.26	0.19	0.17	3173.74	0.0	0.0	36.99	0.22	38.16	0.22	0.13	0.0	16.72	0.35	409.98	23.79	0.0	0.0	249.25	43.72	0.0	0.0	0.0	0.0	0.0	0.0	136.0
Igf1	101.04	145.55	73.25	92.97	339.45	194.17	0.0	0.0	467.07	0.0	158.06	639.02	227.46	420.78	72.44	387.22	255.79	596.06	204.34	604.25	595.3	198.73	0.27	129.08	401.48	141.55	46.09	182.65	215.12	254.43	236.74	76.23	168.18	164.12	24.31	65.22	241.2	135.21	45.54	40.8	119.61	78.16	57.16	79.49	88.01	41.82	17.48	66.68	96.75	34.23	33.15	285.95	137.8	56.58	72.69	40.17	87.74	20.05	67.02	93.66	172.71	25.04	49.51	57.68	82.02	50.12	17.66	61.64	92.44	0.0	56.42	73.34	47.57	30.2	127.63	161.62	42.03	56.04	120.74	35.53	80.02	628.31
Igsf11	0.28	0.0	0.46	0.0	0.0	0.08	0.0	0.35	35.33	0.0	0.46	59.11	29.99	29.04	124.39	104.02	11.07	40.66	207.1	121.11	45.52	19.66	0.99	63.19	48.27	28.76	66.21	100.38	16.52	53.84	33.5	0.61	0.38	0.27	0.22	0.15	0.07	0.29	0.17	0.19	0.24	0.0	0.41	1.04	25.75	2.01	0.0	0.57	0.22	0.24	25.19	46.91	4.02	106.76	20.68	0.09	0.09	0.17	20.7	0.35	0.42	0.12	0.39	0.18	0.0	0.18	0.14	0.0	0.25	0.11	0.0	0.02	0.07	0.0	0.0	0.13	0.34	0.0	0.23	0.36	0.0	23.89
Kctd6	12.64	2.24	0.0	99.55	0.22	31.25	0.0	0.0	214.61	0.0	0.0	31.36	187.04	125.87	315.29	824.87	367.47	258.12	150.54	446.84	182.42	243.43	0.0	255.55	22.05	337.29	563.95	405.93	29.85	423.44	233.51	40.48	0.23	0.1	0.0	0.0	0.0	0.0	0.0	32.8	0.0	49.01	0.0	1.5	46.93	0.0	0.0	0.13	0.17	0.0	315.54	200.95	0.18	378.72	370.63	0.0	0.0	0.0	133.55	0.0	0.0	19.13	28.22	56.66	0.0	36.96	0.0	0.0	23.3	0.0	17.64	64.12	53.63	90.31	13.36	26.97	0.0	0.0	0.0	17.39	0.0	565.52
Kit	0.0	0.0	0.13	0.0	29.56	4.89	0.0	0.0	864.11	0.0	0.0	1307.81	1266.0	715.05	609.17	1033.97	1065.55	602.5	1583.17	1030.19	848.52	838.3	0.19	522.41	1209.09	821.2	704.87	350.35	686.71	639.91	824.18	0.0	62.2	0.02	0.05	0.0	40.78	0.12	0.09	0.0	0.0	0.05	0.0	0.0	167.98	0.0	0.67	0.0	0.0	0.0	748.44	993.44	23.31	747.3	651.63	0.12	0.0	28.38	961.61	55.1	0.05	21.23	0.0	0.56	0.0	0.0	0.67	13.24	0.08	0.0	0.0	0.0	0.0	0.0	23.07	0.0	0.0	0.0	25.36	0.0	0.0	373.93
Lrp1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.72	0.0	0.0	5.69	41.41	6.68	40.65	5.25	0.07	0.0	6.58	24.71	2.54	1.88	0.0	2.48	3.05	5.86	31.99	24.66	4.12	0.38	23.91	0.0	0.0	0.01	0.02	0.0	0.03	0.01	0.0	0.0	0.0	1.19	0.0	0.0	2.15	0.0	0.0	0.0	0.0	0.0	25.2	25.76	0.0	1.56	2.53	0.0	0.0	0.0	42.2	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.91	2.35	0.67	0.0	0.0	0.0	0.0	0.05	5.68	6.56	0.0	19.84	0.0	0.02	0.0	0.0
Lrp8	8.75	49.28	17.19	0.0	35.18	2.66	60.02	1.77	1.49	0.08	26.79	5.52	0.49	63.44	20.86	119.08	83.52	2.06	81.97	172.34	91.05	1.04	1.13	43.83	45.63	1.27	175.81	37.96	109.25	0.12	47.24	21.61	0.1	14.14	2.08	17.28	7.12	0.43	0.9	11.47	25.56	0.55	24.86	7.92	4.18	9.45	3.57	2.01	26.42	7.26	3.89	55.19	20.78	1.04	17.07	19.16	0.17	1.27	95.15	20.77	7.68	29.68	32.88	11.52	19.13	15.15	19.62	0.28	0.49	0.01	38.4	4.7	21.0	0.0	29.99	22.95	4.07	1.65	1.97	4.25	43.5	3.98
Lrrc8b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	11.88	0.0	70.65	7.61	55.39	3.96	0.0	92.89	4.74	0.0	4.18	0.0	71.46	0.0	0.0	0.0	0.0	0.0	36.85	0.0	2.4	0.0	0.03	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.23	0.0	0.0	0.0	0.0	0.0	33.23	5.52	0.23	0.0	0.0	12.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	30.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0
Luzp2	0.0	0.07	0.0	0.0	0.0	0.1	0.0	0.0	57.04	0.18	0.06	185.1	74.89	318.59	5.54	98.17	55.67	438.18	273.95	191.81	285.0	9.75	0.44	319.92	0.07	275.5	359.33	177.6	107.53	21.83	57.37	0.0	20.39	0.08	0.04	0.06	3.89	0.02	16.69	0.0	0.05	30.05	0.04	2.58	120.82	20.17	0.0	0.0	3.52	0.0	114.87	179.39	0.0	258.99	55.29	0.0	0.0	0.08	56.99	0.0	0.0	0.0	0.0	0.11	110.66	20.35	0.13	0.05	0.0	0.0	13.76	71.63	0.0	0.0	6.71	0.0	0.04	0.0	3.85	0.05	0.02	16.17
Matr3	278.15	272.08	215.58	132.44	183.95	421.01	1.15	367.81	618.5	0.0	330.93	582.99	543.04	601.74	230.11	344.63	427.64	708.7	437.85	758.2	822.37	690.59	413.28	635.49	389.44	395.87	457.0	680.59	705.33	532.97	538.19	500.09	345.97	282.78	385.01	438.32	83.78	365.04	272.3	315.18	505.16	330.57	270.04	311.92	485.66	363.03	525.25	695.02	264.81	203.11	522.04	669.31	184.14	539.17	657.13	292.35	366.97	273.43	459.39	372.72	183.37	267.42	251.51	170.52	284.04	284.24	377.65	238.67	453.25	0.0	122.47	412.81	183.42	337.42	250.73	273.18	186.36	579.15	343.26	283.88	423.7	386.78
Mctp1	0.0	2.44	9.98	0.0	0.0	0.0	0.0	0.0	9.4	0.0	86.83	47.36	45.6	0.0	106.73	33.57	164.87	127.51	0.0	111.58	221.76	0.0	0.0	104.89	1.57	48.55	113.33	23.41	216.42	29.57	33.78	0.0	0.0	28.09	0.14	2.5	2.22	0.02	0.0	31.69	19.86	20.72	3.14	1.69	24.26	3.35	0.0	0.0	0.0	30.3	98.0	119.13	0.0	29.83	27.02	14.48	0.0	0.0	25.32	0.0	21.93	13.22	15.04	0.0	0.0	0.04	0.0	13.98	52.83	0.0	17.69	0.0	22.81	44.06	1.43	3.09	8.7	0.0	1.2	0.0	38.01	0.0
Mef2a	0.0	0.0	2.85	0.0	0.0	17.83	0.0	0.0	0.0	0.0	0.0	7.77	0.0	7.02	63.08	94.05	8.55	156.8	23.84	0.97	5.1	105.12	0.0	109.82	0.0	0.3	49.31	5.95	0.0	5.46	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.04	6.85	3.1	2.8	20.59	0.0	35.9	0.36	0.1	0.0	0.0	0.39	2.94	3.14	11.76	0.0	9.12	14.56	11.44	22.62	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	42.69	0.0	3.29	20.52	0.0	0.0	2.47	1.88	0.0	0.0	0.0	0.0	6.13	0.11	1.95	0.0
Nav2	0.0	5.16	3.17	1.49	0.55	0.02	0.0	0.0	49.92	0.0	1.05	88.25	54.71	20.68	20.21	43.6	22.84	34.63	11.51	35.8	46.29	76.56	0.0	54.23	39.72	54.45	38.25	33.5	17.22	8.63	1.07	0.4	1.67	6.04	6.44	0.24	1.28	0.04	0.17	0.59	4.51	0.5	0.0	0.51	22.63	2.39	4.51	0.5	3.45	0.2	16.02	14.73	0.55	59.61	14.62	9.12	0.02	4.44	29.16	0.02	0.05	3.16	10.29	3.1	12.62	2.25	0.06	6.87	4.49	45.48	7.78	11.06	0.0	20.11	1.95	16.76	0.33	22.24	7.61	1.98	0.14	31.0
