	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_39	Ntsr1_tdTnegative_cell_57	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Snap91	146.95	60.99	28.07	80.63	0.0	0.0	0.11	41.78	166.59	0.0	65.62	96.3	0.0	0.0	77.13	0.0	77.73	42.67	55.39	53.88	59.0	67.02	4.04	78.32	64.19	71.94	66.46	123.37	86.82	64.74	57.11	91.5	98.59	84.7	21.3	71.33	45.33	82.17	33.6	31.28	89.85	36.96	48.38	72.5	92.62	78.8	20.49	43.67	17.51	54.21	34.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.8	114.46	69.79	87.04	94.6	143.33	62.99	82.28	26.97	79.63	89.88	8.46
Sncb	91.79	248.84	153.5	114.6	0.0	0.0	0.0	181.79	274.62	0.0	74.88	152.92	0.0	0.0	85.34	0.0	67.27	27.76	33.72	45.64	95.5	180.51	75.12	84.41	34.63	84.76	102.58	116.83	96.45	164.86	133.76	97.77	41.38	71.22	77.68	56.1	92.46	128.44	41.09	82.07	62.85	147.09	37.03	41.86	97.76	65.48	89.21	23.57	68.54	41.13	61.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.44	114.28	96.94	171.03	151.74	115.76	281.92	202.96	63.97	173.6	97.47	160.29
Snord116	0.0	5.36	6.02	14.63	0.0	0.0	0.0	8.56	0.0	0.0	15.42	0.0	0.0	0.0	3.71	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	0.0	78.04	15.21	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	3.15	7.66	12.13	8.52	10.48	4.47	1.71	14.21	5.74
Snord116l1	0.0	5.36	6.02	14.63	0.0	0.0	0.0	8.56	0.0	0.0	15.42	0.0	0.0	0.0	3.71	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	0.0	78.04	15.21	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	3.15	7.66	12.13	8.52	10.48	4.47	1.71	14.21	5.74
Snord116l2	0.0	5.36	6.02	14.63	0.0	0.0	0.0	8.56	0.0	0.0	15.42	0.0	0.0	0.0	3.71	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	0.0	78.04	15.21	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	3.15	7.66	12.13	8.52	10.48	4.47	1.71	14.21	5.74
Snrpd1	53.05	75.09	58.38	189.33	0.0	0.0	0.0	190.34	151.32	0.0	236.13	206.77	0.0	0.0	298.67	0.0	144.82	128.97	170.76	334.93	150.95	145.13	206.45	92.6	263.57	87.95	233.65	167.0	97.13	133.91	169.96	224.52	92.29	105.64	91.75	310.23	429.4	269.54	150.96	252.72	72.22	147.54	4.73	281.09	123.16	332.64	63.14	58.41	229.44	92.45	135.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.56	88.83	388.85	186.54	155.97	145.24	271.31	371.84	129.05	141.09	110.35	196.29
Svop	0.0	24.17	28.06	50.23	0.0	0.0	0.15	0.0	1.31	0.93	7.98	9.77	0.0	0.0	0.13	0.0	1.35	7.58	0.1	0.11	3.33	10.93	3.18	0.0	44.59	38.89	26.47	94.92	6.84	25.68	0.0	20.01	27.99	46.82	46.23	0.55	108.34	76.2	0.0	24.61	23.78	66.55	0.95	54.7	26.17	0.26	23.53	47.0	0.54	78.68	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.02	49.33	0.0	1.48	67.13	46.0	109.32	57.26	0.0	26.2	20.15	44.82
Tspyl4	244.73	224.24	234.06	521.71	0.0	0.0	0.0	248.29	503.83	252.12	312.64	512.31	0.0	0.0	350.69	0.0	271.33	353.3	255.96	82.85	422.1	282.02	212.47	268.87	249.75	374.3	332.5	415.51	410.02	394.1	514.95	644.8	407.13	142.71	112.38	402.0	349.55	271.44	192.88	232.54	451.17	584.52	98.6	255.94	143.23	280.58	238.3	175.16	342.16	304.97	295.36	0.0	0.0	0.69	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	249.94	160.89	370.94	400.67	467.34	397.39	481.83	331.14	236.54	398.09	135.65	304.5
Unc13a	2.93	2.52	3.96	10.57	0.06	0.0	0.17	2.03	5.44	1.22	30.76	3.93	0.0	0.0	6.91	0.0	1.51	2.48	2.34	2.37	4.43	25.99	17.28	4.18	7.76	1.92	4.2	6.54	4.16	4.86	5.81	3.2	3.1	3.48	6.7	2.83	13.89	3.69	4.67	4.16	0.79	1.05	7.39	6.16	9.15	1.82	2.95	4.73	5.98	1.96	1.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	4.11	4.61	16.42	3.88	8.35	6.99	2.96	1.36	0.78	2.18	2.67
Vti1b	135.7	24.55	89.41	267.16	0.0	0.0	0.0	2.29	34.11	20.52	99.25	53.05	0.38	12.84	247.43	0.0	223.49	267.61	29.89	104.69	210.74	227.63	41.41	31.01	201.85	173.1	243.99	469.48	310.08	183.58	111.12	96.74	174.08	123.51	126.47	129.45	49.0	58.43	54.51	54.91	13.16	64.16	133.1	207.8	274.15	245.5	6.31	24.74	105.29	145.37	41.63	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.49	207.98	125.61	7.83	283.05	170.76	174.52	149.09	290.81	17.52	0.9	24.07	113.23
Ywhaz	1164.86	1091.62	867.02	1152.16	458.83	422.78	615.08	1068.39	1683.64	658.24	2267.68	1722.5	1126.01	412.68	2426.83	489.67	1413.66	1361.26	1015.77	1658.33	1993.76	1509.66	1226.51	1803.03	1564.03	1356.25	1854.44	1315.14	1471.97	1100.73	1141.52	1221.05	1311.98	1042.33	1064.22	1284.98	1988.28	1232.89	947.1	621.87	1243.68	1624.38	1077.71	1257.19	1325.14	1344.64	950.73	1342.56	999.05	1364.99	1297.02	304.81	318.59	521.83	416.99	615.92	466.98	350.06	375.42	272.62	297.88	501.71	1657.88	1245.42	1329.26	1545.17	1655.06	1529.72	2334.27	1911.88	1437.55	1379.6	1185.67	1533.03
