	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_17	Calb2_tdTpositive_cell_21	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_32	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_39	Calb2_tdTpositive_cell_42	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_59	Cux2_tdTpositive_cell_80	Cux2_tdTpositive_cell_95	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_106	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_14	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_36	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_71	Gad2_tdTpositive_cell_77	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_97	Htr3a_tdTpositive_cell_101	Nos1_tdTpositive_cell_65	Ntsr1_tdTnegative_cell_4	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTpositive_cell_5	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_10	Scnn1a.Tg3_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_97	Slc17a6_tdTpositive_cell_6	Slc17a6_tdTpositive_cell_7	Slc17a6_tdTpositive_cell_8	Slc17a6_tdTpositive_cell_9	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_17	Slc17a6_tdTpositive_cell_18	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_33	Sst_tdTpositive_cell_1	Sst_tdTpositive_cell_40	Sst_tdTpositive_cell_42	Sst_tdTpositive_cell_47	Sst_tdTpositive_cell_59	Sst_tdTpositive_cell_97	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_5	Vip_tdTpositive_cell_13	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_38	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_64
Rnf14	850.89	620.65	642.91	967.52	434.6	1028.72	608.51	383.03	629.94	518.25	307.62	262.74	503.46	51.76	0.27	464.53	406.71	69.34	382.87	455.17	570.78	471.42	575.6	628.35	543.19	320.64	498.54	297.63	675.1	666.88	567.87	478.3	511.35	363.8	727.48	469.5	0.0	372.85	375.15	157.51	0.12	413.6	507.91	655.06	75.91	457.59	331.4	324.0	485.99	205.73	56.71	466.25	607.33	561.01	350.59	464.38	867.45	383.01	368.59	645.65	552.0	636.26	1198.1	416.41	1034.2	95.23	153.97	792.02
Rufy3	412.78	205.9	248.75	207.95	381.35	302.91	542.2	47.51	68.1	468.76	112.85	35.71	150.66	117.62	55.98	135.98	90.2	143.35	523.01	216.26	228.8	242.41	238.89	135.11	228.3	83.1	69.61	593.65	265.71	197.82	0.08	209.18	98.23	240.95	140.97	0.0	0.0	83.99	152.35	87.96	349.37	95.68	38.25	68.23	36.2	121.95	80.05	33.55	97.37	42.38	112.28	70.3	556.13	144.52	175.54	136.77	176.14	79.23	147.53	296.9	326.61	109.7	0.25	105.65	29.08	132.05	116.56	462.58
Sars	685.27	100.92	461.63	433.58	317.5	368.93	134.63	372.23	116.87	314.39	138.76	181.19	889.04	294.71	68.13	80.27	429.99	126.68	204.72	150.46	277.18	525.9	379.75	317.2	413.85	0.12	171.11	441.27	114.37	182.25	195.97	162.12	787.33	670.51	268.21	174.9	0.0	141.14	325.59	292.4	206.73	209.92	85.57	165.58	204.58	151.05	157.25	180.4	132.31	111.65	124.07	268.6	798.31	331.95	153.57	420.53	538.1	633.92	630.97	280.82	486.59	381.97	199.04	77.32	125.14	313.97	820.42	389.51
Slc24a3	164.57	0.0	101.09	22.7	0.43	91.84	29.74	0.0	0.0	15.43	0.0	3.79	84.28	173.85	27.31	0.0	0.22	0.0	0.0	0.0	171.87	11.97	81.82	76.29	0.0	0.0	0.1	0.0	47.59	0.0	0.05	0.0	43.83	0.44	322.51	30.61	0.0	0.0	74.83	0.0	0.0	2.5	1.84	0.0	0.0	63.43	0.0	0.0	0.0	0.0	0.0	0.1	64.63	6.57	35.09	28.19	0.59	58.74	10.05	109.29	0.0	29.71	70.67	0.0	136.16	178.8	75.53	49.51
Slc32a1	10.58	0.0	1.41	0.0	1.05	0.0	0.91	0.0	0.0	2.4	0.0	0.0	11.04	11.69	0.0	0.0	0.0	0.0	0.0	0.0	15.86	5.65	12.78	7.83	0.59	0.0	1.34	0.0	0.0	0.0	0.0	0.0	25.12	8.73	44.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.48	19.22	44.09	46.54	0.2	2.59	11.89	0.75	1.45	1.39	0.0	15.2	13.71	0.0	17.43	14.51	12.05
Tcf4	603.95	145.62	265.76	474.84	442.9	673.42	633.11	137.85	26.41	308.28	93.55	1.05	376.23	399.83	152.14	95.69	28.34	41.93	7.15	83.97	196.2	487.47	230.29	364.34	146.53	0.0	204.77	101.12	0.11	0.0	60.96	98.37	104.35	204.9	55.9	92.91	0.0	79.59	59.45	225.7	228.21	120.5	54.85	73.12	76.03	44.78	30.73	4.71	34.12	64.67	45.68	134.03	417.23	354.78	112.75	267.33	284.07	463.19	215.82	618.12	414.98	532.84	658.83	493.29	433.53	660.04	492.62	482.24
Tmem130	291.54	195.89	692.75	167.89	776.68	650.35	578.91	525.46	81.7	214.61	150.15	70.85	111.78	858.63	414.9	30.09	15.75	120.28	2.82	2.71	453.29	328.33	878.17	211.22	296.16	0.31	579.68	3.79	447.31	288.88	212.28	196.6	76.97	188.71	100.96	113.5	0.0	118.28	1.41	16.54	345.58	390.74	0.0	44.41	145.61	159.79	142.01	74.94	46.55	166.61	5.67	207.0	721.97	729.7	540.54	464.64	997.33	109.25	174.29	277.11	274.36	892.38	589.8	753.34	300.41	722.44	324.1	270.44
Tmem55a	71.95	1.01	50.69	81.42	370.63	320.29	380.17	59.92	8.35	0.0	84.71	268.06	184.3	130.61	30.67	249.24	121.76	143.72	43.97	25.17	998.88	228.4	283.19	184.06	271.48	0.0	211.56	0.0	58.99	28.88	68.01	48.96	209.73	209.57	71.78	73.57	0.0	0.0	225.59	196.95	185.4	101.93	62.08	44.63	175.0	197.27	34.81	34.96	77.78	50.24	81.65	0.0	326.26	0.0	6.63	155.44	93.96	368.52	81.81	341.12	458.59	138.12	45.75	55.19	356.97	397.17	619.61	131.6
Tspyl4	616.56	435.13	281.73	419.79	151.15	599.15	823.62	169.62	651.61	107.49	130.46	253.06	140.02	153.75	650.32	0.0	127.2	173.96	110.61	116.09	404.34	310.55	579.37	609.69	767.17	95.02	321.42	1.18	78.86	164.73	332.56	49.22	332.28	292.09	363.17	92.3	0.0	327.12	334.92	167.78	343.5	109.1	149.16	123.54	156.77	109.8	59.62	83.12	355.03	160.56	88.04	332.99	317.02	773.28	245.71	300.6	726.89	257.09	281.01	305.8	689.78	259.36	919.63	386.22	406.43	297.07	150.95	288.94
Vstm2a	1224.5	375.09	240.24	353.36	327.8	34.31	414.0	0.0	9.96	243.18	0.14	53.71	214.42	453.75	0.64	201.15	86.54	134.58	0.0	47.07	103.36	90.81	463.36	578.44	61.85	0.0	536.71	163.17	40.66	14.65	0.09	11.22	351.08	188.69	183.67	66.92	0.0	133.04	219.8	0.0	268.85	3.84	0.0	123.28	0.45	0.17	0.0	0.0	0.0	71.07	0.0	23.39	639.69	230.0	488.63	471.15	514.37	922.5	450.88	740.45	702.15	546.79	367.82	1376.79	1225.58	615.1	115.31	1184.15
Yars	123.54	274.31	345.12	240.52	387.65	107.11	303.36	94.77	0.0	53.25	0.0	55.3	274.55	0.76	32.72	0.44	84.01	63.1	0.24	147.74	12.16	331.74	135.4	569.55	261.61	0.0	0.0	360.77	127.55	82.4	0.28	36.42	346.52	275.25	125.25	179.34	0.0	0.0	0.0	17.43	53.74	2.22	125.75	48.03	60.0	55.8	94.71	72.91	121.62	93.05	59.3	0.0	459.39	163.85	0.0	49.56	136.96	0.19	115.49	192.91	0.0	359.24	1.22	0.0	194.55	144.41	2.08	396.21
Ypel5	917.79	69.1	302.42	260.63	294.7	581.75	222.39	0.2	297.35	375.49	92.16	129.1	653.55	276.0	278.11	256.94	84.98	168.26	174.52	269.98	322.77	183.85	443.84	449.76	927.35	273.22	0.0	477.34	319.9	184.06	371.7	268.73	899.35	427.71	696.08	230.24	0.13	65.69	243.58	99.61	133.78	89.34	308.1	119.2	275.22	230.76	356.96	138.84	206.27	183.72	149.16	283.98	684.68	380.35	211.44	180.08	404.16	436.96	425.75	861.63	482.87	707.2	0.17	466.0	148.77	384.95	236.77	187.07
