	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_186	Scnn1a.Tg2_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_104	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_42
Napg	126.03	104.12	74.45	87.74	283.74	0.23	43.16	381.09	188.21	339.45	58.69	60.72	230.43	0.66	246.14	52.91	80.95	111.96	149.2	3.18	476.38	304.16	220.18	60.07	23.83	48.39	163.82	37.24	53.03	7.82	45.86	101.07	60.43	78.91	28.51	133.11	301.77	22.27	308.64	107.06	112.49	232.31	260.05	130.34	185.68	84.36	161.01	102.97	110.51	115.96	219.08	183.24	367.2	298.91	217.09	319.29
Ncs1	92.32	156.33	163.87	85.82	85.11	0.0	153.4	210.22	92.62	150.62	436.22	351.55	407.13	324.85	198.31	24.7	57.25	68.04	174.47	52.07	335.82	453.33	234.75	23.55	16.35	53.86	0.8	41.34	89.4	103.74	52.73	76.03	1.06	48.08	136.19	207.61	111.95	143.3	73.01	283.66	243.11	435.28	199.25	58.08	24.6	14.68	108.98	19.15	11.29	0.09	181.73	199.91	270.26	550.76	81.11	187.53
Necap1	436.95	401.63	259.01	518.72	471.04	0.66	203.12	501.72	410.08	283.64	459.91	273.78	295.2	276.18	180.73	296.65	130.73	498.07	365.44	163.1	679.9	578.81	606.3	0.16	70.43	183.67	7.14	6.43	227.6	3.49	219.91	128.84	12.58	313.78	16.22	487.51	302.16	648.5	570.23	363.16	405.86	671.1	807.28	303.52	178.26	371.89	249.67	208.32	129.44	948.47	514.87	45.06	275.87	595.77	418.3	422.68
Nmnat2	26.74	168.49	148.25	109.11	104.1	4.84	350.82	162.37	77.41	77.9	138.27	299.13	404.75	70.17	126.38	101.75	39.88	49.34	200.89	34.84	82.07	114.07	105.49	74.8	12.14	46.79	60.3	38.84	59.1	5.06	135.86	112.75	23.33	86.19	5.53	56.53	321.8	208.47	118.43	120.43	60.82	106.78	36.62	19.07	31.05	37.9	45.25	93.78	62.84	173.19	93.26	20.57	85.06	221.16	108.71	55.46
Nucks1	42.86	88.78	23.39	39.49	229.03	103.21	66.54	61.67	21.2	0.35	166.81	96.65	83.71	58.9	0.23	7.01	62.09	95.39	28.83	21.76	202.75	132.32	56.08	4.15	43.53	52.19	33.3	64.27	32.06	72.92	33.78	17.29	33.04	51.11	39.43	1.96	20.26	52.68	82.18	53.95	26.57	47.12	274.9	1.62	145.69	30.96	86.94	42.94	78.66	83.56	54.25	167.83	87.74	229.48	0.48	28.25
Nudt3	241.99	482.92	245.08	409.03	652.62	129.95	563.91	577.61	340.32	533.39	813.28	741.89	1096.12	860.48	768.38	376.06	366.06	713.59	904.19	253.59	739.77	527.52	638.59	371.81	239.42	312.38	143.11	368.86	414.32	126.93	280.87	116.44	210.55	319.21	348.69	625.73	821.46	431.09	462.15	926.85	516.0	313.83	707.26	231.02	105.02	325.81	275.52	188.72	485.9	797.82	452.86	553.02	667.49	605.47	532.62	592.05
Pdha1	140.41	366.9	202.85	246.3	142.92	0.0	216.69	838.63	375.74	321.75	670.94	464.99	306.75	148.96	390.56	76.04	216.76	432.5	705.17	683.58	577.38	482.24	400.26	200.13	0.15	143.82	76.65	38.1	116.11	0.41	133.78	0.98	269.26	166.39	0.53	324.87	109.79	549.67	852.13	259.25	227.5	459.68	131.24	288.51	17.51	58.61	77.15	8.47	262.92	199.85	781.88	557.2	296.78	632.91	614.18	1140.9
Pja1	471.05	656.06	289.04	261.04	207.96	0.0	418.9	417.7	266.94	183.47	337.98	211.35	614.94	570.37	331.61	358.86	522.34	523.25	526.35	338.87	252.3	585.13	207.38	142.45	188.84	158.27	251.68	102.95	114.04	46.7	80.42	98.74	173.78	186.25	424.15	434.09	500.94	714.88	408.56	467.54	452.97	404.84	803.02	219.96	191.48	399.22	45.29	194.27	64.35	383.68	406.35	345.0	241.93	315.38	559.45	378.28
Plekhb2	99.25	26.71	10.0	149.42	269.17	217.82	210.47	586.62	47.29	83.21	122.49	272.44	197.57	43.11	115.28	19.3	20.25	211.36	258.7	5.82	216.22	333.35	265.68	57.92	27.72	92.34	26.79	27.4	89.99	76.54	52.28	17.23	97.62	128.4	28.13	316.06	142.02	49.03	234.12	172.56	117.41	360.49	263.51	114.89	23.72	28.29	95.19	17.33	7.83	19.65	268.1	113.3	181.25	478.66	298.71	127.02
Ppm1k	148.56	59.63	170.94	226.9	166.57	40.54	91.74	279.82	148.44	64.68	291.16	178.44	216.69	192.06	175.61	89.15	34.51	143.7	211.31	53.97	234.66	232.92	321.83	246.92	173.55	170.97	217.54	325.13	216.47	250.87	76.44	109.55	150.78	234.56	21.58	216.98	88.71	198.28	255.24	228.99	175.84	340.52	604.02	236.45	159.58	52.15	155.15	90.01	196.23	481.68	350.73	526.28	315.23	933.39	439.24	190.01
