	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_38	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Htr3a_tdTpositive_cell_123	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_38	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_69	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_105	Rbp4_tdTpositive_cell_107	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_132	Rbp4_tdTpositive_cell_136	Rbp4_tdTpositive_cell_169	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
Maneal	61.04	139.27	53.03	87.92	17.57	0.6	0.0	72.92	0.0	0.0	0.0	0.0	0.0	0.0	3.24	16.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.46	0.0	41.97	0.04	19.83	0.05	0.0	38.3	0.0	0.0	0.0	37.06	0.0	28.99	0.0	0.0	25.59	1.37	0.11	0.0	0.0	51.58	42.72	0.0	0.0	85.69	0.09	38.88	0.76	0.0	56.26	0.0	41.85	7.92	30.77	0.0	127.14	11.12	0.0	0.14	7.0	10.79	77.05	2.41	0.0	0.0	0.0	0.0	0.0	45.9	37.55	0.0	0.0	1.11	57.16	49.82	52.61
Mical2	30.94	39.51	154.31	48.55	13.0	81.34	0.04	5.39	0.0	0.0	0.0	0.0	0.0	0.47	22.78	23.93	9.35	3.11	0.0	0.0	0.0	0.0	0.0	14.92	1.55	8.16	2.82	37.29	5.08	12.35	12.65	1.11	21.91	43.02	36.3	26.79	49.15	69.7	19.63	1.47	20.73	2.14	21.1	74.22	1.19	27.84	29.12	11.86	11.45	7.92	1.45	33.18	22.29	2.95	41.06	11.26	11.7	5.82	23.08	112.41	36.9	126.38	109.86	126.95	78.4	91.26	111.06	0.0	0.0	0.0	0.0	22.12	4.3	0.35	30.74	0.0	17.46	6.84	226.64	202.81
Nedd4l	18.02	61.32	19.15	8.78	2.4	12.9	15.11	4.0	0.0	0.0	0.0	0.0	0.0	0.2	36.49	8.32	14.15	7.35	0.0	0.0	0.0	0.0	0.0	31.98	4.1	0.05	7.58	2.55	11.46	7.9	5.5	16.31	12.45	1.72	13.43	16.85	43.72	19.49	12.33	18.28	0.36	16.71	28.39	14.77	9.48	15.36	15.5	12.06	32.44	0.0	1.05	0.33	0.09	18.76	10.58	1.79	8.33	0.42	0.18	2.85	69.14	14.67	45.17	14.44	41.62	77.5	38.47	0.15	0.0	0.05	0.0	13.81	7.69	28.72	38.61	35.64	34.88	0.02	51.05	50.82
Npcd	0.0	61.18	119.6	0.0	1.93	96.34	10.76	16.12	0.0	0.0	0.48	0.0	0.0	18.22	2.08	0.33	62.27	0.0	0.0	0.0	0.0	0.0	0.32	2.38	14.8	2.03	1.0	0.24	2.08	0.65	4.88	10.41	0.0	12.02	17.66	48.36	10.75	0.18	20.63	10.38	1.71	7.65	70.58	53.02	17.4	23.24	6.77	0.05	93.01	0.66	20.84	3.39	6.56	0.0	1.3	3.35	2.7	10.7	0.0	5.92	3.61	18.73	4.42	36.7	66.64	47.74	0.68	0.0	0.0	0.0	0.0	0.62	17.27	2.73	40.56	0.12	5.19	6.1	247.5	166.76
Npy	138375.8	1.38	2.01	64781.64	173305.25	0.0	40775.82	115124.65	0.0	0.0	0.0	0.0	0.0	108594.8	96206.73	125016.83	34339.27	0.0	0.0	0.0	0.0	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	6.77	12.57	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	0.0	275.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	128781.07	137945.15	95298.15	137580.94	120620.2	214.21	196.57
Nsg2	133.93	200.09	133.94	107.54	37.4	97.49	175.1	99.2	0.0	0.0	0.0	0.0	0.0	53.41	357.05	99.77	134.99	113.84	0.0	0.0	0.0	0.0	0.0	59.89	59.05	55.02	29.19	57.32	99.2	21.33	152.74	106.94	70.39	48.88	119.08	100.14	130.04	107.07	22.86	40.46	119.59	189.07	221.85	221.91	82.49	105.09	24.17	59.0	167.7	44.37	74.77	18.78	58.63	39.14	105.28	54.2	84.78	70.31	133.94	284.93	60.4	186.57	174.33	164.43	200.41	120.58	98.51	0.0	0.0	0.0	0.0	160.8	99.83	110.13	72.68	67.1	137.5	61.69	642.61	673.47
Pacsin1	0.47	188.1	47.94	0.0	18.25	56.12	79.98	75.45	0.0	0.0	0.0	0.0	0.0	0.22	29.76	1.34	71.93	64.27	0.0	0.0	0.0	0.0	0.0	20.31	49.62	0.45	4.54	5.86	51.39	7.59	41.98	5.77	5.47	47.38	4.7	6.35	0.29	21.19	0.0	1.5	2.83	0.0	6.35	75.96	32.3	31.51	14.35	7.6	2.54	15.15	12.03	51.0	34.35	9.07	1.86	9.11	3.6	75.45	0.0	135.51	26.75	158.76	65.46	88.82	27.54	31.55	53.8	0.0	0.0	0.0	0.0	59.41	2.79	22.64	82.42	3.2	47.56	4.46	282.11	283.76
Pacsin2	84.59	65.65	2.19	0.0	1.12	31.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.65	0.06	2.06	0.43	0.0	0.04	0.0	0.0	0.0	0.0	8.88	0.1	35.75	0.0	0.09	0.0	0.08	0.0	18.78	4.22	89.74	4.76	26.75	0.0	0.0	56.25	0.08	31.41	0.0	0.0	0.0	30.25	19.72	25.16	0.0	0.08	0.0	0.02	31.77	82.72	21.69	1.05	29.46	1.9	2.16	0.0	46.1	48.49	117.61	76.82	3.83	41.12	140.95	2.81	0.0	0.0	17.08	0.0	12.87	23.86	7.67	30.35	0.05	2.82	0.02	39.57	41.73
Pcdha5	0.0	55.35	0.0	140.97	0.0	0.0	0.08	2.32	0.0	0.0	0.0	0.0	0.0	8.73	0.08	0.0	67.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	58.17	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.9	28.19	0.0	0.0	0.0	8.49	0.0	0.0	0.0	19.25	37.64	47.01	96.67	1.14	0.0	0.77	11.55	0.0	13.93	0.0	0.0	0.0	0.0	109.3	0.0	24.85	55.4	0.0	9.65	0.0	0.0	0.0	0.0	8.36	0.0	0.0	0.0	21.82	0.0	0.0	7.23	6.88
Pip4k2a	80.43	43.36	80.71	26.54	0.0	0.0	10.18	0.0	0.0	72.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.98	0.0	0.0	0.0	0.0	0.0	3.25	0.11	1.65	11.32	0.0	7.0	44.4	15.66	0.07	0.0	0.0	46.95	18.24	0.0	0.73	0.0	0.0	0.0	0.0	2.41	52.55	30.36	9.16	0.07	0.0	0.0	0.0	0.0	39.94	36.74	0.08	16.79	0.0	36.82	0.0	0.0	8.94	2.28	43.58	124.49	42.27	0.0	44.68	24.3	10.43	0.0	0.0	0.0	32.04	0.07	0.0	87.99	6.74	0.0	40.87	71.54	69.04
Ppp3cb	64.93	59.76	164.5	55.61	153.94	54.7	30.73	9.39	0.0	0.0	0.0	0.0	0.0	0.14	84.62	72.82	0.0	21.5	0.0	0.0	0.0	0.0	0.0	20.76	8.93	29.88	10.61	57.08	3.81	25.92	45.0	71.03	37.94	36.58	67.83	13.79	6.57	21.49	1.76	7.85	23.27	210.16	149.29	102.16	72.19	34.77	28.79	37.76	39.42	0.3	17.62	29.64	1.71	10.62	14.85	2.82	0.48	16.17	110.87	84.81	150.96	81.31	250.71	113.17	12.63	61.46	103.91	0.0	0.0	0.0	0.0	41.51	1.99	42.68	131.69	64.37	30.79	75.8	247.23	241.42
Ptprd	42.36	65.22	14.37	0.0	23.84	46.62	0.0	22.84	0.0	0.0	0.0	0.0	0.0	24.96	11.69	77.91	0.0	100.65	0.0	0.0	0.0	0.0	0.0	22.35	55.87	28.91	8.17	19.56	79.89	13.21	53.03	100.05	118.12	33.71	41.14	61.19	49.42	18.59	31.52	53.19	67.5	4.17	43.2	58.62	74.14	23.45	56.59	35.08	39.23	34.09	51.18	30.08	45.95	15.27	44.51	25.91	32.47	36.57	0.94	113.48	51.93	32.66	49.62	58.02	59.86	116.71	66.76	0.0	0.0	0.16	645.07	3.21	27.39	23.83	16.61	28.46	27.51	47.93	94.17	76.39
Ptprs	113.18	150.99	304.41	126.77	163.95	358.77	295.07	134.08	0.0	0.0	0.07	0.17	34.77	170.01	209.9	141.41	90.78	163.26	81.47	0.0	0.0	0.0	0.08	67.72	60.3	127.75	76.03	120.62	90.31	106.15	138.01	129.06	92.02	107.28	144.05	125.42	112.23	83.84	73.73	73.19	61.42	104.71	141.51	247.54	100.61	92.56	90.45	127.95	117.66	155.33	98.72	75.68	133.22	76.33	163.45	102.26	73.37	101.38	89.51	210.77	203.68	189.69	144.2	187.87	246.4	176.33	231.11	0.42	0.0	8.42	0.0	143.02	115.75	130.37	153.13	192.15	110.81	125.21	214.29	215.32
Rab27b	0.0	45.47	18.87	307.62	14.09	36.09	35.68	0.03	0.0	0.07	0.93	0.14	0.0	66.04	23.33	96.17	173.29	50.86	0.11	0.0	0.0	0.0	0.0	15.99	3.8	40.12	22.8	0.12	0.39	0.12	0.09	0.0	11.37	16.28	0.11	7.13	0.07	18.23	0.0	0.13	0.26	57.33	20.66	0.01	0.0	0.23	55.22	7.34	80.74	1.74	33.21	0.02	0.01	13.35	48.89	8.65	0.04	0.09	26.93	30.87	44.9	60.87	25.48	3.97	22.02	34.49	40.44	0.18	0.0	0.8	0.05	0.08	17.7	0.04	18.41	15.48	12.13	17.47	14.51	12.94
Rab3a	125.32	409.09	664.44	225.42	203.31	474.13	34.45	352.77	0.0	0.0	0.0	0.0	0.0	167.16	878.75	283.96	131.15	142.28	0.0	0.0	0.0	0.0	0.0	296.03	267.67	72.42	202.87	240.62	160.74	217.99	128.36	425.92	142.12	471.84	484.93	593.28	269.64	152.36	144.17	110.88	232.98	268.52	319.41	274.65	210.0	102.44	115.19	151.7	376.82	195.59	85.51	297.25	131.87	113.91	41.47	77.81	90.2	115.22	417.53	279.05	715.54	677.36	838.88	371.03	639.8	349.69	588.07	0.0	0.0	0.0	0.0	210.88	102.26	493.75	216.1	138.39	10.5	265.02	698.81	772.2
Rab3c	77.38	245.34	298.16	256.64	55.7	227.9	149.35	37.01	0.18	0.0	0.2	0.1	0.0	355.7	525.52	595.22	498.6	14.77	0.13	0.07	0.98	0.0	0.08	42.83	83.49	101.54	80.99	84.53	31.27	64.12	81.23	112.28	52.03	116.7	66.76	189.67	94.52	98.6	51.22	67.84	9.66	380.52	301.59	502.15	44.15	74.34	31.74	81.08	637.91	11.18	40.13	96.47	86.32	60.33	51.83	65.5	66.49	25.05	60.99	331.07	239.18	317.74	213.37	115.87	222.64	40.73	260.92	0.51	0.13	0.0	0.0	108.57	13.59	63.86	51.49	124.77	62.1	47.48	153.99	129.19
Rbfox1	63.92	216.6	174.8	34.6	173.3	77.98	155.75	87.14	0.0	0.0	0.0	0.14	0.0	4.64	14.14	129.08	103.04	69.3	0.0	0.0	0.0	0.0	0.0	82.42	78.52	116.23	15.47	53.12	18.57	35.66	44.28	41.61	98.05	79.15	72.17	71.98	107.98	44.19	143.8	135.19	67.04	129.73	45.19	49.41	135.52	80.97	112.18	98.08	124.84	4.23	70.25	114.91	65.13	198.28	41.91	33.86	85.68	49.84	232.97	53.87	92.37	173.16	163.55	210.39	61.73	134.52	66.3	0.0	0.0	6.47	0.0	21.38	127.64	95.48	117.52	131.67	96.7	138.1	198.25	185.0
Rtn3	558.14	190.15	215.91	256.3	322.33	174.62	64.14	177.61	0.0	0.0	0.14	0.0	0.0	144.09	301.63	113.59	95.56	81.78	0.0	0.91	0.0	5.28	0.17	182.06	71.9	45.67	164.72	91.5	83.27	117.48	130.27	152.88	152.96	163.71	295.0	168.79	154.3	98.57	170.79	126.75	153.56	71.75	174.9	128.24	152.41	82.04	82.15	73.19	57.65	141.52	67.95	144.29	37.53	122.13	84.97	179.64	78.3	162.96	93.4	262.92	341.58	107.2	114.75	193.12	316.08	207.67	224.1	0.0	0.0	0.21	0.13	145.58	171.97	149.85	152.99	185.76	230.63	90.01	912.78	919.98
Scn1a	49.98	81.22	84.62	105.11	45.24	50.79	42.69	42.24	0.0	0.0	0.0	0.0	0.0	46.48	187.52	126.04	66.69	51.55	0.0	0.0	0.0	0.0	0.0	69.38	65.16	24.86	33.95	28.74	122.85	2.08	2.8	76.02	142.21	39.29	29.24	20.36	67.78	66.58	22.64	49.54	32.48	114.15	42.48	52.88	26.84	9.57	69.53	35.07	91.45	49.14	41.19	61.53	17.34	32.81	25.94	17.93	29.38	40.06	0.75	102.12	149.16	29.25	172.15	33.52	17.94	61.98	113.83	0.0	0.0	0.0	0.0	23.49	52.79	64.73	60.96	26.4	52.14	35.85	66.09	58.46
Sema4a	12.37	92.29	0.0	0.0	0.0	1.07	0.0	41.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.57	0.0	0.0	0.0	92.42	10.47	6.76	22.67	23.05	0.09	0.0	0.0	0.4	0.0	25.07	3.23	0.0	0.0	3.59	0.2	41.09	0.0	0.0	0.0	0.0	1.16	0.0	0.0	0.0	7.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	23.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.06	1.55	58.15	40.74	40.5
Shank2	0.0	0.0	2.3	0.0	0.0	1.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	2.26	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.4	0.37	0.0	0.0	0.0	2.77	12.69	3.35	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.26	0.0	10.11	27.74	7.12	0.0	3.08	18.6	0.0	0.0	0.0	0.0	0.0	4.07	0.0	0.0	0.0	0.0	0.0	0.0	66.62	61.5
Slc12a5	16.46	33.89	2.75	22.98	2.25	12.58	9.5	0.0	0.0	0.0	0.0	0.0	0.0	7.35	101.33	45.27	13.77	6.97	0.0	0.06	0.0	0.0	0.0	4.84	15.02	10.11	10.1	0.85	13.39	18.49	0.04	0.47	7.38	7.73	3.6	0.0	3.56	9.92	21.73	6.93	19.61	22.12	26.52	34.1	23.37	2.86	13.38	17.4	17.82	11.58	0.04	6.43	6.79	11.55	28.3	9.34	0.04	21.66	0.0	59.28	26.71	49.51	46.93	33.62	27.51	33.75	18.29	0.0	0.0	0.0	0.0	0.23	1.46	19.27	7.16	9.15	32.94	14.57	303.65	314.89
Snap91	146.95	157.53	75.52	88.82	28.07	190.06	61.86	80.63	0.0	0.0	0.0	0.0	0.0	41.78	166.59	96.3	194.53	52.28	0.0	0.0	0.0	0.0	0.0	77.73	42.67	55.39	53.88	59.0	67.02	4.04	78.32	64.19	71.94	66.46	123.37	86.82	64.74	57.11	91.5	98.59	84.7	21.3	221.99	135.09	71.33	33.6	31.28	89.85	36.96	48.38	72.5	92.62	78.8	20.49	43.67	17.51	54.21	34.81	1.95	50.99	63.78	142.9	204.62	250.71	334.53	104.82	118.65	0.0	0.0	0.0	19.6	51.8	114.46	94.6	143.33	79.63	89.88	8.46	254.03	253.8
Sncb	91.79	212.42	345.42	130.72	153.5	344.31	80.26	114.6	0.0	0.0	0.0	0.0	0.0	181.79	274.62	152.92	77.29	317.79	0.0	0.0	0.0	0.0	0.0	67.27	27.76	33.72	45.64	95.5	180.51	75.12	84.41	34.63	84.76	102.58	116.83	96.45	164.86	133.76	97.77	41.38	71.22	77.68	111.05	119.42	56.1	41.09	82.07	62.85	147.09	37.03	41.86	97.76	65.48	89.21	23.57	68.54	41.13	61.78	72.51	141.52	165.94	181.71	331.07	206.17	300.72	140.35	168.63	0.0	0.0	0.0	0.0	176.44	114.28	151.74	115.76	173.6	97.47	160.29	500.1	550.38
Snd1	7.69	90.22	16.39	9.37	3.52	20.74	0.04	5.17	0.14	0.0	0.0	0.0	0.0	8.88	89.96	77.57	60.99	6.25	0.0	42.74	137.72	0.0	0.0	2.24	0.0	1.02	14.79	6.32	20.73	14.93	67.42	6.13	7.09	18.39	40.92	36.35	33.19	5.35	10.76	43.19	87.8	4.47	8.52	9.65	8.13	8.02	0.0	5.5	20.18	0.81	16.32	3.64	4.85	1.34	16.02	11.0	18.45	12.06	0.6	20.51	12.79	59.7	20.69	49.7	9.08	19.92	6.96	16.58	20.17	0.0	22.32	5.32	21.85	5.96	8.97	1.59	37.86	3.79	55.35	57.33
Sorl1	24.51	56.31	113.69	11.2	16.66	175.1	39.2	19.36	0.0	0.0	0.0	0.0	0.0	39.7	41.07	26.29	24.98	0.0	0.0	0.0	0.0	0.0	0.0	0.24	23.82	35.95	2.65	26.03	0.02	0.03	0.06	6.04	28.36	13.49	0.11	19.3	3.05	29.78	44.81	13.97	3.43	28.33	124.42	40.66	2.99	15.42	1.98	6.07	23.37	0.0	24.29	33.82	8.97	20.78	6.0	20.85	8.1	19.27	2.76	116.1	130.03	127.84	7.35	92.75	150.66	80.29	62.16	0.0	0.0	0.0	0.0	0.0	0.03	26.02	18.02	50.47	50.91	42.56	108.6	99.88
Spire1	17.32	89.98	20.56	0.53	50.87	3.39	17.45	5.25	0.0	0.0	0.0	0.0	0.0	74.38	78.54	10.79	3.68	0.26	0.0	0.0	0.0	0.0	0.0	0.03	10.54	9.85	0.02	21.5	11.27	31.55	0.02	3.51	1.48	34.85	7.84	25.2	1.25	6.65	29.83	6.64	0.0	79.21	36.29	28.68	39.99	33.1	24.75	1.98	0.39	2.55	0.16	1.82	0.0	0.06	1.93	4.11	12.02	0.26	0.0	0.38	0.06	67.04	49.99	5.9	10.12	90.65	1.47	0.0	0.16	0.0	0.0	10.26	18.52	4.33	0.43	27.68	7.46	3.4	93.54	91.17
Srgap3	30.48	15.23	50.22	30.88	37.3	21.93	33.41	11.86	0.0	0.0	0.54	0.1	1.33	42.26	27.06	19.37	80.19	0.64	0.0	0.0	0.02	0.0	2.2	26.13	11.44	29.06	10.21	13.09	0.65	1.81	2.68	24.89	19.35	26.64	27.51	26.42	14.31	48.18	33.08	19.41	25.83	30.62	109.38	69.24	22.43	18.29	10.6	14.44	45.62	22.65	0.34	10.21	8.93	2.59	47.72	2.55	7.4	23.52	1.9	38.94	37.44	171.45	3.67	47.52	29.87	88.69	35.35	0.18	0.0	0.27	0.0	22.13	38.57	11.89	22.98	18.59	5.87	29.99	121.23	113.19
Stxbp1	318.1	540.03	360.38	444.36	284.55	583.58	229.72	418.79	0.21	0.0	0.1	0.0	0.0	102.36	364.38	133.19	425.43	181.03	0.0	0.0	2.05	0.0	0.0	402.06	264.61	203.5	101.33	420.64	222.49	165.25	210.69	167.01	366.14	228.34	223.04	215.94	316.85	373.55	274.61	401.95	291.96	97.78	353.12	584.21	308.52	343.33	359.68	483.84	178.01	427.68	198.35	311.04	301.18	204.22	367.2	316.17	282.31	320.46	152.32	562.19	133.42	633.78	363.61	483.05	400.15	349.41	252.61	0.0	0.0	0.0	0.0	244.84	256.83	310.25	255.15	187.46	219.86	229.68	685.86	704.66
Stxbp6	9.1	58.64	55.88	210.34	41.58	159.38	3.18	30.57	1.9	2.97	0.92	0.85	0.26	1.11	2.81	0.52	14.73	0.55	0.08	0.26	0.86	0.0	1.86	11.95	39.74	14.17	0.74	31.17	26.39	20.2	66.94	89.6	60.59	35.18	69.95	24.07	40.31	39.83	89.25	47.61	115.52	0.7	3.65	11.23	0.4	19.31	87.19	74.5	1.02	47.94	25.69	0.83	3.05	51.69	24.91	34.93	68.75	33.75	0.99	178.17	73.4	163.57	123.61	21.41	0.75	0.74	38.59	3.85	0.76	0.0	0.0	38.96	15.42	57.64	29.88	59.96	2.55	14.31	44.81	45.04
Tcf4	86.21	108.51	131.73	164.51	89.59	96.84	174.14	122.76	12.94	40.93	0.05	229.81	155.35	292.42	163.37	170.05	133.46	0.13	25.61	30.68	56.79	41.43	363.73	111.68	84.98	79.67	59.15	68.45	51.25	95.82	94.23	97.0	98.61	74.07	126.36	104.16	110.28	152.59	101.22	54.54	91.94	282.94	169.83	166.11	83.65	50.58	116.92	117.64	360.2	66.2	83.45	77.99	99.73	194.65	61.43	105.87	106.65	119.59	78.33	68.22	105.65	74.5	39.15	94.29	130.09	103.29	62.13	0.08	11.14	0.0	3.35	93.03	45.9	58.53	109.33	147.27	84.65	53.62	95.51	80.57
Tgoln2	12.48	121.29	56.68	5.1	29.7	113.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.98	20.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	1.15	48.52	39.52	61.86	37.95	127.56	72.5	0.0	111.92	7.39	37.5	9.27	101.67	0.0	0.0	119.98	0.0	63.53	25.35	0.0	75.88	0.0	0.0	0.0	0.0	0.0	87.41	58.8	0.0	0.0	0.0	53.87	0.0	46.14	31.61	0.0	0.0	0.0	85.31	47.2	9.39	0.0	0.0	0.0	394.61	0.0	94.44	0.0	0.0	0.0	78.12	0.0	13.87	10.26
Thy1	114.32	145.38	51.55	99.47	74.67	162.7	71.37	172.31	7.38	0.0	0.0	0.0	0.0	75.21	144.78	83.73	22.08	32.55	0.0	0.0	0.0	0.0	0.0	82.2	59.26	108.07	83.49	55.92	165.4	71.79	143.23	58.55	160.45	99.0	49.07	56.48	38.22	81.62	86.45	104.27	92.73	36.23	207.96	194.54	83.64	98.6	102.89	64.8	108.32	30.03	90.13	60.99	83.04	55.77	109.42	78.63	66.66	60.78	82.21	194.18	106.87	66.28	37.37	134.33	132.97	168.58	207.35	0.0	0.0	0.0	0.0	80.44	72.11	148.53	115.2	131.94	173.15	162.88	659.66	677.75
Tmem11	15.05	122.3	81.2	69.72	0.0	39.0	98.48	111.2	1.28	0.0	0.0	0.4	0.0	72.43	174.26	117.14	169.51	82.8	0.0	0.0	0.0	0.0	0.0	114.79	93.06	103.42	73.43	0.0	90.73	0.09	0.19	97.44	50.5	0.0	103.26	116.67	9.38	51.89	59.69	0.0	126.39	34.65	179.67	123.48	81.09	88.69	49.99	0.18	31.69	0.0	130.59	91.29	85.44	45.91	152.13	105.51	0.2	74.65	0.0	150.75	76.68	93.04	181.1	22.27	79.04	64.1	34.56	0.0	0.0	0.0	0.0	59.94	143.59	50.97	39.73	364.12	45.95	0.3	35.17	39.67
Tsc22d3	54.7	348.95	234.05	219.71	110.63	76.47	2.7	3.26	2687.79	0.21	96.93	0.0	699.17	235.05	162.43	191.88	74.23	0.0	29.15	2541.73	0.0	0.0	257.49	117.81	75.28	58.11	87.55	20.59	0.07	25.63	111.62	105.11	94.51	80.08	0.2	127.61	79.66	83.29	197.35	0.72	76.95	93.78	27.86	70.96	165.19	0.0	101.48	83.78	223.87	4.09	52.94	68.08	1.28	104.05	59.02	31.29	100.49	93.31	0.0	233.47	6.47	303.27	58.81	43.94	274.69	311.91	76.84	0.31	0.0	0.0	0.0	55.34	11.36	102.95	100.53	83.69	28.13	66.45	69.6	79.9
Tspan5	47.09	270.44	396.27	0.0	76.81	409.5	149.96	29.41	0.0	0.0	0.0	0.0	0.0	114.07	236.03	73.1	86.87	1.89	721.32	0.0	156.36	0.0	0.15	19.11	61.83	52.46	10.82	27.14	101.52	48.01	67.02	44.19	54.95	20.01	41.06	65.43	62.41	72.66	40.33	105.67	0.86	82.19	75.1	225.58	99.08	128.59	28.04	85.27	58.91	8.72	38.29	18.42	75.03	28.01	29.84	61.01	17.15	33.64	62.05	152.56	68.46	322.03	162.59	102.11	224.15	172.53	134.57	0.19	0.0	0.0	0.0	61.42	60.05	41.04	92.56	47.09	99.28	69.02	148.49	149.54
Ulk1	9.15	0.0	4.4	0.0	0.13	49.4	5.44	0.05	0.0	0.0	0.0	0.0	0.0	0.0	72.02	6.91	0.04	0.0	0.0	0.0	0.0	0.0	0.0	2.8	0.63	0.0	0.0	0.6	0.0	18.92	21.61	3.03	6.61	0.0	0.15	0.0	2.13	61.35	0.0	30.82	0.0	0.0	10.24	26.93	0.0	8.17	6.62	0.0	0.81	0.0	6.17	0.12	0.37	27.5	0.0	0.54	0.0	1.27	0.0	0.05	22.71	0.0	72.99	1.02	49.57	57.89	0.0	0.0	0.0	0.0	0.0	12.33	15.65	6.03	52.01	20.87	20.09	0.0	43.63	46.37
Upf3a	0.0	66.89	7.56	0.0	23.43	0.0	29.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43	0.0	0.0	0.0	1.62	0.0	0.0	0.2	0.0	10.62	0.22	2.08	0.0	0.0	0.0	0.0	0.0	5.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	6.43	0.0	0.0	4.42	0.0	53.48	0.27	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.01	0.0	3.1	1.91	49.66	47.79
