	Calb2_tdTpositive_cell_48	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_30	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_67	Pvalb_tdTpositive_cell_86	PvalbD.Slc32a1_tdTpositive_cell_20	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_11	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_25	PvalbF.Gad2_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_22	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_8	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_4
Prdx5	385.68	0.0	631.61	0.0	0.72	316.9	0.0	715.94	0.93	570.06	475.15	0.49	278.71	206.18	140.17	0.0	17.97	1812.2	560.25	513.69	820.59	536.25	1395.42	1379.85	511.08	771.52	364.28	813.9	623.84	242.98	708.06	741.83	1313.65	800.87	835.13	377.12	909.7	170.31	0.0	27.04	739.3	0.0	476.22	294.18	396.86	463.73	817.72
Psma5	0.0	1648.14	340.88	0.0	37.75	0.0	0.0	0.78	0.0	632.7	0.0	588.07	453.95	545.43	88.96	13.51	5.31	90.38	191.67	0.61	285.57	275.93	0.0	450.32	724.29	364.83	355.94	236.84	624.27	367.42	253.7	352.94	812.71	215.61	248.98	567.89	596.94	3.02	0.0	2.59	9.11	0.0	0.0	176.24	336.54	158.9	222.05
Psma6	1540.87	4769.29	0.0	921.36	0.0	0.0	0.0	1253.93	0.0	0.0	544.63	0.16	503.16	126.39	140.91	3.11	1482.53	488.97	272.42	317.16	371.56	609.95	426.99	419.49	70.49	289.02	448.58	505.52	506.44	696.24	216.0	316.28	461.94	471.82	792.11	580.84	517.84	6.21	0.0	0.8	48.71	0.0	0.0	223.37	238.54	494.17	341.8
Psmb1	0.0	0.0	882.77	1196.03	0.0	520.68	770.83	0.0	0.0	519.37	454.99	437.4	253.66	635.1	212.09	333.23	8.42	1013.51	778.34	714.17	297.38	1086.49	276.26	658.06	1151.14	422.22	380.64	725.41	559.1	534.81	425.77	418.17	730.77	950.15	831.24	492.31	506.84	36.98	0.0	379.46	193.87	679.43	473.6	425.09	172.94	563.43	437.95
Psmb10	0.0	0.0	0.0	0.0	118.71	0.0	0.0	0.0	212.56	0.0	162.72	0.25	0.0	2.01	0.0	0.0	4.24	161.28	1.71	0.0	139.56	100.22	167.4	191.92	0.0	217.27	25.38	208.08	57.6	65.2	159.64	83.13	19.29	212.05	0.83	48.47	81.55	9.62	0.0	0.0	0.0	0.0	0.0	299.51	64.87	174.64	148.98
Psmb3	720.23	0.0	0.0	1102.62	0.0	466.58	0.0	0.67	0.44	0.81	532.75	444.78	168.89	447.07	152.75	1.29	4.59	808.47	875.87	268.26	227.01	625.18	1341.49	243.12	725.74	400.55	250.58	659.55	545.96	200.72	507.32	426.73	404.1	559.26	467.88	291.99	525.27	1.73	0.0	576.22	149.46	0.0	0.0	280.38	342.2	325.07	297.13
Psmb6	0.0	0.4	1.88	1962.32	0.0	2.04	616.94	5.54	0.3	0.28	363.99	283.82	227.94	392.58	130.73	5.34	11.57	615.3	320.35	847.1	475.4	410.73	561.32	1031.94	764.61	381.73	330.63	617.09	457.76	431.8	510.87	492.45	741.24	332.95	608.21	717.85	680.29	764.22	0.0	518.28	51.64	408.08	2.04	255.93	279.09	411.73	322.29
Rbx1	153.59	0.0	1047.38	303.34	35.3	341.04	0.41	1168.73	625.15	0.0	179.3	0.12	586.42	417.22	109.13	1.09	5.33	554.67	330.17	342.87	645.77	256.16	538.89	357.72	407.54	540.82	207.92	473.56	389.96	171.83	511.72	326.84	236.15	425.46	373.2	506.04	379.21	5.06	386.13	261.84	12.91	111.62	219.9	207.0	350.4	32.86	271.52
Rnasek	0.0	859.72	975.88	0.0	508.78	0.71	585.74	1.6	0.0	612.2	391.45	1.64	697.81	277.2	147.98	1.54	43.75	951.41	984.68	563.18	521.29	538.1	755.81	546.36	1027.83	920.18	583.09	800.68	531.5	783.23	965.4	792.85	1090.8	1180.87	724.47	811.71	821.65	18.49	0.0	1.33	193.47	723.67	0.0	168.51	503.08	147.13	489.14
Romo1	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.91	0.47	142.98	99.11	250.26	0.0	7.84	166.68	47.73	160.92	102.59	248.87	407.37	199.65	252.8	196.93	108.47	171.6	133.6	132.35	196.8	94.79	328.98	151.49	134.88	266.12	446.4	10.75	0.0	404.16	470.9	0.0	0.0	203.28	132.98	82.32	115.89
Rpl22l1	0.0	0.0	432.11	0.0	0.0	271.8	574.61	0.0	0.0	0.0	402.13	0.0	120.41	175.43	93.73	0.0	4.91	172.41	74.88	250.1	35.87	605.1	482.47	876.13	477.99	107.51	380.38	411.67	226.03	741.35	413.27	235.47	697.04	260.01	583.0	404.17	462.55	10.36	0.0	0.6	249.75	80.33	370.05	174.72	114.66	253.14	573.6
Rpl36al	0.0	0.0	437.97	0.0	0.0	0.87	0.0	0.0	0.64	0.0	137.13	0.0	199.22	441.27	81.27	0.0	2.24	404.13	149.02	366.14	176.9	625.12	663.47	546.16	430.81	362.96	168.08	408.52	242.95	696.68	545.81	216.44	476.21	457.81	353.0	562.72	623.92	76.2	0.0	351.89	0.0	1.11	0.0	185.8	152.03	136.91	162.83
Rpp21	451.73	0.0	552.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.63	450.92	30.65	189.18	1.43	112.24	0.0	304.43	0.0	203.05	132.75	214.37	879.19	310.64	332.95	239.1	73.52	337.21	115.92	120.02	36.06	108.78	75.98	148.6	83.97	0.74	120.51	0.0	0.0	0.57	0.0	0.0	0.0	68.84	63.55	135.15	7.09
Scg5	0.0	0.0	0.0	0.0	0.0	534.47	0.57	0.39	0.25	1091.13	189.9	0.53	424.39	742.02	104.17	0.74	1060.49	955.42	1017.09	1016.35	597.47	1454.0	1475.41	1319.21	1054.89	852.53	1035.65	943.17	964.97	542.58	1047.04	502.4	903.73	1807.77	1206.16	554.36	1041.89	5.99	0.0	1016.88	139.71	443.25	0.0	492.77	622.78	507.48	324.99
Sec61g	138.85	0.0	176.73	0.0	151.67	296.76	0.0	272.24	0.42	258.09	261.2	105.65	283.17	195.27	152.34	2.5	69.49	333.36	174.07	140.61	293.5	340.84	208.8	294.07	506.6	80.52	130.43	166.67	160.93	251.26	298.31	196.13	372.05	236.98	469.94	737.93	367.98	8.38	0.0	338.01	46.49	0.74	0.0	95.07	74.83	167.01	247.73
Shfm1	0.0	0.0	401.55	1.01	348.1	57.02	1.53	0.0	508.3	0.63	757.88	759.71	310.66	172.74	163.85	639.19	7.13	348.52	598.6	687.27	496.49	840.32	497.56	676.54	553.33	500.62	378.79	488.03	370.9	292.74	198.45	474.92	965.56	792.59	462.72	823.12	673.96	0.0	0.0	1.16	234.19	263.07	0.0	150.46	166.78	127.23	255.85
Skp1a	335.48	334.6	838.66	41.7	96.85	900.74	960.64	8.41	16.62	834.52	1056.91	379.2	1378.44	775.77	201.09	303.24	13.26	1677.83	1080.4	591.94	987.42	1156.21	1537.04	1123.82	2194.17	1061.03	1032.27	1088.61	1069.3	1323.9	1080.03	750.67	883.3	577.93	1169.55	1117.38	666.75	111.14	15.52	366.92	501.32	896.05	2.15	702.15	689.74	468.8	1393.93
Slc24a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	19.61	0.0	22.16	46.39	22.83	0.08	3.05	264.55	528.96	269.15	171.32	324.71	356.57	204.94	343.31	151.03	58.33	161.6	116.61	183.83	136.61	241.15	194.93	64.32	75.18	83.58	138.16	0.22	0.0	0.24	93.52	8.5	0.0	52.16	23.89	36.19	14.74
Snord116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.05	0.0	15.31	0.0	0.0	0.0	0.0	0.0	8.64	8.69	14.41	0.0	3.74	4.1	3.92	15.15	0.0	19.23	0.0	9.68	0.0	0.0	17.28	3.67	8.22	18.07	22.82	15.63	24.38	0.0	0.0	0.0	0.0	0.0	0.0	4.04	1.81	1.31	1.2
Snord116l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.05	0.0	15.31	0.0	0.0	0.0	0.0	0.0	8.64	8.69	14.41	0.0	3.74	4.1	3.92	15.15	0.0	19.23	0.0	9.68	0.0	0.0	17.28	3.67	8.22	18.07	22.82	15.63	24.38	0.0	0.0	0.0	0.0	0.0	0.0	4.04	1.81	1.31	1.2
Snord116l2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.05	0.0	15.31	0.0	0.0	0.0	0.0	0.0	8.64	8.69	14.41	0.0	3.74	4.1	3.92	15.15	0.0	19.23	0.0	9.68	0.0	0.0	17.28	3.67	8.22	18.07	22.82	15.63	24.38	0.0	0.0	0.0	0.0	0.0	0.0	4.04	1.81	1.31	1.2
Snrpd2	0.0	0.0	0.0	0.0	0.0	231.72	0.0	0.0	0.68	0.63	98.01	431.54	19.13	244.67	182.28	0.0	11.97	305.44	214.16	188.18	167.29	425.15	369.51	208.04	230.17	207.5	97.18	199.63	312.4	191.45	385.74	143.68	337.71	126.21	381.38	215.89	258.43	0.0	0.0	1.16	1.22	2.38	499.38	175.38	239.94	151.04	220.96
Snurf	10.01	2.75	6.55	0.0	0.0	0.01	0.03	0.18	0.05	0.04	70.84	14.62	40.97	115.07	25.51	0.04	2.94	153.42	24.79	118.06	131.11	90.34	57.47	73.43	105.03	288.56	112.63	139.65	174.06	103.06	176.99	83.53	119.94	75.76	101.5	141.43	95.72	3.01	0.01	15.02	12.29	0.0	0.0	39.65	58.07	48.63	90.15
Srp14	0.0	3.7	0.0	648.57	0.0	462.72	0.0	0.0	0.0	0.37	675.18	1250.14	467.13	328.75	90.02	923.46	8.43	471.94	449.79	439.7	378.45	557.11	180.93	941.95	846.01	382.93	164.83	339.95	455.76	484.79	365.03	493.61	663.83	1118.65	278.56	320.19	508.82	3.19	0.0	502.06	3.63	0.0	2.73	153.23	316.69	433.31	623.35
Srp19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	214.76	475.95	99.33	186.36	58.76	0.0	3.77	125.74	48.74	131.73	180.55	347.82	371.28	65.35	82.8	195.01	66.61	212.74	199.09	0.42	93.67	78.97	71.46	240.55	435.17	290.82	214.74	1.43	0.0	0.31	199.47	0.0	0.0	167.26	277.53	62.39	196.07
Sugt1	251.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.47	62.54	23.31	111.86	104.52	69.77	0.0	1.63	203.09	391.43	23.33	107.97	78.85	180.37	33.98	108.25	153.99	157.68	93.37	164.84	125.65	87.03	134.72	2.82	2.28	9.7	90.39	60.63	4.31	0.0	0.79	0.0	0.0	141.11	44.28	51.87	53.87	115.85
Swi5	0.0	0.0	484.27	496.72	0.0	274.45	0.0	0.64	75.69	0.0	0.0	1528.44	428.59	565.23	38.12	8.58	7.25	210.69	573.05	344.85	463.78	3.76	700.67	693.82	245.39	334.07	252.43	536.81	275.95	318.15	478.5	854.22	967.26	699.1	129.81	565.65	541.18	3.29	0.0	64.35	132.48	0.72	548.53	249.66	182.65	140.57	134.51
Tceb1	0.0	0.0	0.0	24.41	0.5	414.45	0.0	0.0	78.64	261.49	344.68	0.17	252.11	181.84	60.38	0.97	3.44	525.4	416.3	102.4	273.46	192.62	426.34	500.95	823.22	153.56	301.72	296.33	323.75	684.39	555.41	297.52	402.3	303.77	63.03	398.11	522.53	3.9	0.0	176.25	0.59	0.0	536.5	347.69	318.93	132.66	770.78
Tceb2	0.0	1330.38	721.7	0.0	545.53	135.51	508.73	0.0	403.11	657.46	540.78	1177.99	378.64	963.29	313.86	0.0	18.62	1112.0	432.28	329.78	711.69	1268.32	1358.84	1989.54	1212.96	461.94	522.55	477.6	703.29	1214.9	691.46	901.78	897.03	964.68	1007.09	1018.82	913.38	158.02	0.0	7.23	796.23	431.52	384.54	260.19	325.76	448.67	442.07
Timm8b	411.65	1209.7	0.0	0.0	0.0	288.93	0.0	675.51	0.0	0.0	244.49	0.0	152.68	365.76	352.09	0.0	6.58	472.94	314.2	236.42	302.48	1407.76	994.85	1533.3	1234.26	423.24	588.68	462.69	395.51	945.82	615.43	536.54	1267.64	1291.09	1043.96	876.55	549.36	0.0	0.0	0.53	54.07	0.0	0.0	283.79	315.87	303.13	378.65
Tomm6	0.0	364.32	131.17	121.75	0.0	89.33	0.0	0.0	128.64	0.0	161.08	264.31	152.11	124.42	0.0	198.28	3.45	290.62	141.05	178.09	211.06	320.38	259.54	248.81	170.37	267.7	198.67	307.82	270.48	274.82	275.89	393.12	364.09	202.33	282.33	420.36	268.99	109.87	0.0	106.1	165.27	188.74	50.19	88.45	141.71	130.06	348.07
Trappc2l	0.0	0.0	0.0	611.85	0.0	0.0	0.0	0.82	0.0	0.0	527.8	0.28	328.64	28.65	168.22	0.0	3.73	146.47	0.0	526.67	523.58	518.38	227.3	409.17	406.21	0.0	89.32	217.66	245.77	256.63	248.63	164.87	340.18	141.22	472.81	1129.99	397.49	0.0	1.06	681.06	0.0	0.0	0.0	301.73	171.57	161.1	279.29
Txn1	0.0	0.0	307.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186.63	0.16	0.97	44.44	11.63	0.88	0.0	130.23	312.37	62.62	71.28	96.14	213.6	297.63	370.58	117.87	111.96	126.42	164.89	214.05	401.56	125.29	394.46	3.93	273.24	297.84	398.44	2.13	0.0	465.86	36.78	0.0	0.0	62.62	80.73	28.12	180.13
Txndc17	0.41	673.21	0.0	265.26	0.0	0.29	0.0	0.56	0.62	0.23	50.77	0.12	73.37	99.16	89.43	0.63	2.23	102.94	48.47	49.35	108.09	137.77	34.42	137.82	82.02	257.12	95.06	214.8	94.2	0.0	95.19	101.56	0.32	214.91	85.51	87.32	46.7	0.0	0.83	0.74	2.21	218.3	0.0	59.87	53.86	0.1	60.77
Ubl5	0.32	397.9	0.0	85.63	146.01	54.43	114.72	0.0	0.0	0.0	123.57	78.06	75.95	61.01	27.93	131.31	2.73	140.04	121.85	53.51	109.63	167.6	142.6	214.92	264.65	99.66	51.57	97.89	88.63	169.73	97.71	49.53	69.63	163.54	210.99	235.73	127.88	214.33	0.0	37.97	0.42	0.0	0.0	30.1	35.05	46.64	57.47
Ufsp2	0.0	0.0	87.29	958.61	79.33	0.0	0.0	0.0	0.0	0.0	1.53	0.0	48.94	138.96	0.14	331.44	6.29	531.74	57.0	269.76	159.03	390.1	190.08	379.38	779.62	172.51	122.58	371.05	149.61	145.62	129.33	73.92	385.85	245.95	255.54	19.39	54.2	63.4	923.5	0.34	0.0	0.35	799.55	191.68	45.37	3.26	98.9
Uqcr11	637.05	0.0	2.43	407.27	438.21	343.76	1.76	762.33	1657.51	44.52	465.01	1674.99	809.12	850.0	655.33	743.81	97.96	1992.34	1388.93	532.84	1478.55	2341.62	3684.0	2725.42	1932.7	1024.21	1024.41	1300.43	1145.75	2016.62	1608.17	1497.98	2022.87	1863.9	1168.39	2241.79	1217.99	582.92	0.0	348.97	508.68	1408.14	593.69	674.3	1163.93	765.03	652.89
Vps29	0.0	0.0	0.0	736.82	29.02	535.75	0.72	1.48	440.73	440.23	329.81	0.17	5.8	630.19	0.23	0.0	4.49	870.85	496.33	80.91	1061.23	704.63	1152.15	1057.01	752.81	683.81	477.01	1045.77	598.14	904.41	671.43	811.81	541.58	588.93	990.01	235.47	647.69	1.27	0.0	596.72	86.9	556.32	407.24	707.87	742.62	219.1	425.62
Znhit1	238.61	0.0	52.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2	198.98	1.99	73.1	3.23	0.0	2.11	133.93	195.12	13.42	63.17	0.0	88.25	107.79	68.49	32.75	1.44	72.57	69.9	11.34	124.23	21.01	3.66	0.71	149.39	52.31	29.87	22.75	0.0	2.57	123.28	145.7	0.0	31.1	30.31	117.87	38.66
mt_AF378830	21208.32	27828.21	27813.49	24020.63	39672.03	18046.49	13698.29	23119.35	17786.99	25687.76	52908.5	39259.72	41474.39	28070.96	55289.36	26580.48	38878.51	24454.15	23343.26	27201.04	19161.76	31907.21	27878.9	24778.6	28921.72	27826.74	46877.17	22443.84	24786.78	51765.19	35741.21	38697.02	38916.35	37131.88	39549.63	34575.75	36514.83	30625.22	31935.37	14940.4	33356.48	20624.31	18979.92	20498.47	20453.47	19599.73	22067.94
mt_AK131577	3108.79	2188.6	3952.67	4978.65	6586.18	3977.32	3168.76	4775.02	3601.98	3218.09	11869.87	6129.44	6636.2	5183.26	12410.34	2313.06	4761.71	3662.0	3286.85	4263.52	2832.76	7432.39	4728.4	5577.08	7256.23	5566.25	9933.94	4611.19	4157.77	10889.61	6360.73	6412.84	9572.18	6997.29	7992.08	5727.1	5989.85	5861.73	4291.04	1951.2	7229.73	2821.78	2135.99	4201.12	3364.35	4125.42	3867.97
mt_AK131579	31551.01	30179.68	29741.06	34292.23	55662.18	24983.03	26225.31	27159.61	17005.91	24368.52	73067.83	55281.42	56311.06	40069.68	94403.3	41195.59	50469.69	30746.4	28244.51	36905.92	24917.9	40349.87	33474.15	30087.7	34633.84	32259.57	60705.47	27742.98	30389.16	56120.42	45312.1	46620.23	59803.41	36756.3	51796.42	39836.88	44271.34	50260.41	29300.66	22735.44	33634.6	26975.46	25837.0	30288.04	32711.03	27506.29	27225.01
mt_AK132015	3108.79	2188.6	3952.67	4978.65	6586.18	3977.32	3168.76	4775.02	3601.98	3218.09	11869.87	6129.44	6636.2	5183.26	12410.34	2313.06	4761.71	3662.0	3286.85	4263.52	2832.76	7432.39	4728.4	5577.08	7256.23	5566.25	9933.94	4611.19	4157.77	10889.61	6360.73	6412.84	9572.18	6997.29	7992.08	5727.1	5989.85	5861.73	4291.04	1951.2	7229.73	2821.78	2135.99	4201.12	3364.35	4125.42	3867.97
mt_AK132098	3108.79	2188.6	3952.67	4978.65	6586.18	3977.32	3168.76	4775.02	3601.98	3218.09	11869.87	6129.44	6636.2	5183.26	12410.34	2313.06	4761.71	3662.0	3286.85	4263.52	2832.76	7432.39	4728.4	5577.08	7256.23	5566.25	9933.94	4611.19	4157.77	10889.61	6360.73	6412.84	9572.18	6997.29	7992.08	5727.1	5989.85	5861.73	4291.04	1951.2	7229.73	2821.78	2135.99	4201.12	3364.35	4125.42	3867.97
mt_AK165865	10663.23	5601.7	4911.34	2496.1	8014.67	6212.62	5219.45	18245.53	6122.23	6598.23	24175.67	21297.17	14986.14	15629.19	39977.13	7355.36	18155.09	7440.99	7973.89	11528.16	10500.88	12017.09	12436.46	4979.83	12829.2	11588.46	28666.62	8028.61	15105.79	20551.69	20384.34	18446.12	12200.19	8761.66	8203.1	6298.0	8146.14	17852.86	14059.48	11982.19	6601.9	10207.36	5997.29	7778.73	9324.33	10525.29	9587.4
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.01	0.0	2.78	0.01	0.04	0.02	0.0	0.06	0.18	0.0	0.0	1.25	1.74	0.22	223.51	0.0	0.0	0.13	0.0	0.0	0.18	0.15	0.1	0.01
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.01	0.0	2.78	0.01	0.04	0.02	0.0	0.06	0.18	0.0	0.0	1.25	1.74	0.22	223.51	0.0	0.0	0.13	0.0	0.0	0.18	0.15	0.1	0.01
mt_AK167037	3108.79	2188.6	3952.67	4978.65	6586.18	3977.32	3168.76	4775.02	3601.98	3218.09	11869.87	6129.44	6636.2	5183.26	12410.34	2313.06	4761.71	3662.0	3286.85	4263.52	2832.76	7432.39	4728.4	5577.08	7256.23	5566.25	9933.94	4611.19	4157.77	10889.61	6360.73	6412.84	9572.18	6997.29	7992.08	5727.1	5989.85	5861.73	4291.04	1951.2	7229.73	2821.78	2135.99	4201.12	3364.35	4125.42	3867.97
mt_GU332589	8087.62	21230.38	7183.93	3506.36	9115.7	3684.53	5819.61	11728.71	6061.34	7617.63	22738.66	26493.16	13741.48	13267.12	28909.02	8097.57	12431.83	7354.81	10558.64	10667.86	7169.37	10398.78	9662.47	3975.42	9258.74	12449.98	31086.28	9573.74	16090.8	21460.06	22390.28	20242.91	18187.79	11566.32	19369.81	14379.47	14964.47	19212.31	7312.3	10154.73	4488.08	3887.02	6856.76	7119.49	6781.78	5529.51	8834.73
