	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Phf16	0.0	1.94	0.0	0.0	0.0	0.0	6.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.78	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	1.94	0.0	10.98	0.0	0.0	0.0	4.28	0.0	0.0	0.0	0.0	0.0	0.0	3.44	0.0	0.0	0.17	0.0	0.0	0.0	44.65	0.0	0.0	0.0	0.0	0.0	0.49	2.56	2.78	0.84	0.84	6.35	7.0	7.08
Pi4ka	13.38	45.96	37.44	15.1	0.0	48.9	2.64	185.36	31.03	14.22	0.0	0.11	0.0	37.86	0.0	0.0	60.11	18.63	32.53	47.74	14.63	5.42	24.55	3.01	3.48	0.0	63.38	30.95	1.34	4.96	32.7	5.59	20.55	28.14	37.98	6.09	23.51	37.47	36.37	35.32	10.13	7.05	74.14	11.7	5.76	22.53	112.29	54.58	26.85	1.21	51.14	1.79	49.01	50.39	42.74	36.37	41.41	151.13	142.37	151.54
Plxna4	0.0	8.06	0.0	0.04	0.0	0.0	0.0	0.98	0.77	0.0	1.11	0.0	0.0	1.12	0.0	0.0	11.35	0.07	4.34	1.31	7.38	0.0	0.0	0.39	0.0	5.06	2.48	15.65	0.02	0.0	0.0	0.86	0.0	12.97	0.05	0.0	0.5	0.0	7.25	0.0	0.04	0.0	1.43	14.47	0.16	3.58	21.4	3.0	0.0	0.0	0.03	8.14	7.65	3.52	3.66	2.31	2.74	28.71	25.59	30.42
Prkcz	38.99	49.34	16.67	16.9	0.0	27.43	38.56	0.0	0.0	0.0	0.76	0.0	0.0	27.96	0.0	0.0	41.3	67.09	0.09	4.36	75.73	22.18	58.1	0.0	1.98	25.13	32.35	26.9	57.89	37.78	54.06	22.31	22.63	22.78	78.31	0.0	53.36	36.44	2.83	92.74	1.46	0.66	164.73	14.69	18.93	0.66	90.3	55.83	11.26	22.18	0.07	87.12	85.94	40.16	55.25	55.19	54.68	177.01	178.52	171.75
Ptk2	4.6	0.0	0.0	0.0	0.0	0.94	0.0	2.25	8.72	0.0	0.0	0.0	0.0	13.83	0.0	0.0	28.37	6.08	16.2	6.28	0.02	0.0	20.21	2.44	6.98	0.0	0.44	16.77	0.0	24.55	0.37	27.41	8.08	4.94	30.01	0.0	0.0	11.25	16.24	29.03	1.41	0.0	9.92	0.16	0.1	1.36	34.12	11.8	16.49	17.27	1.91	0.07	79.93	92.46	91.52	73.55	75.02	77.05	74.15	81.2
R3hdm1	5.8	0.42	21.82	16.58	0.0	46.07	31.25	20.37	67.98	39.09	0.12	0.0	0.0	11.65	0.0	0.0	48.46	18.21	12.34	34.25	0.32	8.39	55.78	39.0	51.03	4.26	0.46	20.77	61.19	56.32	29.89	11.03	9.72	24.25	82.38	48.3	54.84	25.99	31.24	46.64	14.63	11.19	25.16	22.83	40.89	65.59	90.73	121.62	59.81	29.76	47.56	39.43	157.64	167.83	162.86	152.21	147.65	181.8	152.46	190.21
Rexo1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.67	0.03	0.02	4.38	8.5	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	2.49	0.0	0.04	0.0	0.0	0.0	0.0	22.7	2.75	0.0	0.0	0.0	0.0	0.0	0.0	32.27	0.0	10.67	0.0	0.06	0.0	1.58	2.22	3.18	2.21	1.44	27.57	30.74	32.54
Rfesd	0.0	25.39	0.0	0.0	0.0	11.9	0.0	0.0	0.0	70.5	24.87	0.0	0.0	0.0	0.0	0.0	22.68	0.0	0.0	0.0	0.0	0.0	0.82	10.85	7.21	0.0	28.87	41.5	49.33	0.29	37.84	0.0	0.0	17.91	47.81	0.0	0.0	12.4	10.77	26.59	0.0	1.65	0.0	0.0	29.71	29.67	82.74	72.76	0.0	38.17	21.86	0.0	21.79	26.94	20.32	17.97	14.5	10.86	9.21	9.65
Rnf208	26.04	49.35	10.36	46.52	0.0	84.34	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68	0.12	0.09	5.1	31.26	44.79	15.55	16.89	0.0	0.0	1.08	24.43	57.77	0.4	15.65	0.0	4.24	0.0	0.0	0.0	3.52	1.44	0.64	0.0	3.57	11.37	184.93	0.0	0.0	13.41	157.87	69.37	0.0	23.81	34.52	25.49	11.52	28.42	19.93	24.83	31.19	124.6	138.39	125.1
Rpusd2	0.74	0.26	0.07	0.18	0.0	0.65	0.56	0.46	1.25	0.57	0.38	0.11	0.04	0.83	0.0	0.18	0.28	0.12	0.07	0.0	0.1	0.24	0.38	0.38	0.06	0.0	0.14	0.19	0.6	0.34	0.11	0.09	0.33	0.08	17.9	0.17	3.12	0.0	0.13	0.19	0.24	0.4	0.24	0.0	5.17	0.51	18.03	0.5	9.84	0.3	0.18	1.79	4.23	2.44	8.31	4.73	4.46	3.29	3.61	3.58
Sestd1	28.24	0.0	0.0	7.56	0.0	0.0	0.0	76.02	0.0	17.34	0.0	0.0	0.0	2.83	0.0	0.0	0.0	16.45	20.05	0.04	4.69	13.36	15.77	28.37	0.0	18.14	9.55	0.11	12.84	0.28	0.0	0.64	0.0	0.0	17.6	0.0	0.0	0.02	14.62	8.89	21.66	15.1	28.8	13.11	1.56	0.01	83.98	17.11	14.99	0.0	14.8	0.44	20.76	14.61	12.89	9.79	8.31	28.93	24.58	29.0
Slc10a7	0.0	0.0	0.0	0.0	0.0	12.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	33.95	0.0	0.44	0.0	26.67	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.09	0.0	2.57	2.86	3.81
Slc25a16	26.83	39.33	0.0	0.0	0.0	38.15	0.0	0.0	0.0	0.13	7.32	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.03	30.66	0.0	2.07	16.57	0.0	0.09	26.91	0.0	0.0	50.91	23.76	1.67	0.0	0.0	0.0	0.0	5.76	0.0	8.44	0.0	0.0	26.22	0.09	0.0	31.88	57.54	0.0	0.0	0.12	0.39	0.0	0.1	10.02	8.71	7.65	9.26	38.92	36.43	35.64
Slc30a5	15.26	0.21	0.0	0.0	0.0	0.0	50.06	21.78	11.13	0.13	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.25	0.0	0.0	12.2	0.0	0.0	0.0	26.78	0.0	11.38	0.0	10.38	0.0	0.0	30.35	0.3	0.15	9.96	0.0	0.0	0.0	0.0	38.04	0.0	0.0	117.65	0.0	0.0	1.59	62.54	4.26	35.35	0.0	22.1	0.03	5.83	7.83	10.08	8.85	10.24	38.13	40.47	38.12
Smarcc2	22.53	1.92	0.0	35.91	0.1	21.58	53.9	54.37	0.0	25.4	34.32	0.0	0.0	21.92	0.0	0.1	5.03	28.8	11.62	2.94	18.73	34.1	29.63	28.71	9.9	1.44	12.69	19.69	35.46	12.82	7.25	10.24	6.68	8.33	14.33	5.74	0.33	0.18	9.84	9.84	28.23	32.46	34.74	20.25	19.4	20.13	71.9	38.46	51.27	7.9	14.42	12.72	21.64	13.83	8.97	13.05	9.74	153.2	155.7	159.08
Sobp	2.16	8.44	0.07	0.0	0.0	19.8	16.22	46.28	0.39	0.76	0.0	0.0	0.0	6.56	0.0	0.0	0.13	13.95	0.09	0.43	2.12	0.42	0.58	11.77	9.36	0.47	7.05	18.48	0.0	4.72	0.27	0.06	13.97	0.0	2.93	0.0	12.97	10.99	8.12	5.0	17.63	4.71	21.71	6.1	4.05	2.49	36.89	0.0	6.95	0.0	13.71	0.19	3.04	9.24	6.11	10.68	8.7	43.99	46.81	48.08
Sox12	0.0	0.0	7.03	26.57	0.0	18.93	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.19	7.16	0.0	0.07	0.0	0.02	0.05	0.0	0.0	23.45	0.0	30.4	0.27	0.0	0.0	0.0	0.06	0.0	19.59	0.0	0.46	0.0	22.93	0.0	0.0	0.44	0.0	0.0	25.33	0.0	45.56	0.0	0.0	22.72	0.0	0.0	8.18	1.15	5.07	3.08	4.97	14.37	15.49	16.19
Srrm2	16.88	30.81	3.95	30.05	3.51	41.37	7.38	14.62	5.2	42.69	19.59	0.06	0.81	53.55	0.0	47.52	4.01	17.96	3.42	5.87	8.83	13.24	8.57	13.91	21.04	3.57	19.49	35.09	35.97	19.11	9.24	52.63	16.51	1.98	21.36	21.92	5.78	6.52	2.38	5.16	21.9	6.47	4.93	6.3	23.57	15.13	75.08	41.21	6.22	8.85	22.84	11.94	24.33	27.17	11.11	13.05	15.08	235.66	204.43	252.64
Srsf9	35.67	88.01	1.29	111.02	53.81	14.77	0.0	0.0	136.36	100.97	37.9	0.0	143.57	177.79	0.0	0.0	55.39	32.38	12.47	13.12	63.32	73.73	55.94	47.3	0.0	28.24	32.68	38.58	102.9	65.59	53.52	64.31	53.49	36.94	126.01	0.0	64.96	19.23	123.9	31.86	54.52	56.65	68.36	32.18	50.08	31.6	288.33	168.39	29.71	0.68	77.39	27.66	109.54	92.37	110.42	81.72	91.08	62.37	61.58	62.86
Tanc2	7.3	11.35	0.06	11.0	0.04	0.26	9.83	66.65	0.0	0.57	5.93	0.08	0.04	21.21	0.62	0.66	0.34	16.22	2.68	0.09	9.58	23.13	4.89	11.48	8.3	1.92	0.11	0.03	13.15	15.13	1.32	3.43	26.25	3.64	8.81	0.14	10.95	10.09	9.45	4.58	43.26	9.15	42.72	15.25	2.26	4.37	49.43	41.62	10.32	4.71	10.35	1.95	46.3	42.46	42.05	29.73	30.95	57.39	54.13	60.94
Tmem120a	0.0	0.0	0.0	0.0	0.0	42.28	0.0	75.34	0.0	0.0	41.8	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	36.12	10.41	0.0	130.01	0.0	0.0	46.96	61.64	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	64.19	0.0	0.0	0.0	164.51	0.0	0.0	0.0	4.88	0.0	17.82	11.97	4.31	16.56	19.78	23.45	22.02	21.84
Tmem150c	1.8	0.0	0.0	22.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.08	0.0	0.0	1.31	0.0	3.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	2.93	0.0	0.0	28.54	0.0	0.0	0.0	35.64	0.0	14.88	0.0	0.0	15.41	2.18	0.09	2.51	1.56	0.79	32.53	32.76	31.22
Trim36	4.73	5.3	4.26	4.06	1.42	4.06	5.36	7.82	12.42	3.86	7.06	4.25	3.57	5.75	0.0	1.54	2.13	2.22	2.45	21.16	20.27	21.12	2.86	5.45	29.59	2.6	3.09	3.34	4.04	4.74	4.52	21.2	3.47	3.75	33.72	3.52	5.25	3.02	19.07	31.78	2.31	3.91	44.25	3.76	21.94	2.29	36.35	4.5	3.22	3.06	2.41	1.61	5.76	5.66	4.36	4.4	5.0	4.58	4.72	4.9
Trp53inp2	0.65	28.7	0.0	39.46	0.0	70.51	91.48	17.7	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	4.12	0.08	0.03	0.04	0.03	0.03	0.12	0.0	1.52	16.47	14.63	8.35	0.0	0.07	0.0	4.97	0.06	0.0	50.66	0.0	0.0	24.44	0.07	0.81	0.0	0.0	60.73	0.0	0.0	78.53	89.93	59.66	0.0	0.0	0.0	0.05	5.07	20.57	8.06	21.29	13.42	141.93	139.5	142.37
Tubgcp3	28.45	0.0	6.27	45.49	0.0	0.0	12.49	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.56	0.02	0.0	33.24	17.81	0.0	34.7	0.0	0.0	64.67	0.08	13.42	0.0	48.07	23.58	0.18	0.0	0.0	34.22	18.6	0.14	77.77	37.65	44.9	2.54	9.01	0.12	6.64	0.06	0.0	172.26	92.5	20.91	34.42	0.0	0.0	13.73	17.04	16.83	14.91	15.81	30.37	29.06	26.76
Ube2e1	26.31	125.94	0.0	36.06	0.0	118.3	0.0	320.83	25.71	2.24	0.29	0.0	0.0	106.77	0.0	0.0	2.71	130.41	15.06	61.95	82.73	0.12	82.32	47.1	59.69	0.44	74.06	0.0	3.39	45.65	176.92	73.32	35.46	22.0	85.51	0.0	0.0	106.75	5.43	52.28	45.1	17.06	118.06	39.4	0.21	96.13	228.43	78.19	0.0	45.9	81.74	76.05	27.43	33.14	22.63	22.23	22.83	108.0	100.51	100.91
Usp31	0.12	0.23	0.0	18.37	0.0	0.86	0.0	14.56	0.0	0.04	0.06	0.0	0.0	0.0	0.0	0.0	1.18	0.41	1.6	13.1	2.21	1.77	9.29	7.75	8.91	0.0	15.96	10.6	19.98	1.67	4.88	4.69	4.74	15.54	9.3	1.97	4.62	4.48	20.77	17.1	0.79	2.7	28.95	4.67	15.86	2.7	29.39	0.0	5.81	17.87	0.62	0.0	9.64	6.82	8.78	5.72	5.35	37.05	34.03	36.71
Vegfa	0.0	0.0	0.14	3.23	0.0	3.03	0.27	6.19	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.12	0.06	0.0	14.28	0.0	0.0	0.69	0.02	0.0	0.09	0.0	7.68	0.0	0.0	0.0	0.0	0.12	0.09	0.0	6.4	0.0	0.23	1.46	0.0	5.88	0.0	0.0	0.05	23.56	3.38	0.0	0.23	4.27	4.08	0.69	0.33	0.23	0.55	1.23	54.52	54.42	57.76
Ywhah	1075.41	763.61	43.56	463.18	0.0	131.34	102.25	804.03	486.38	38.75	487.72	0.0	0.54	2.7	0.0	0.27	422.06	540.88	630.95	389.46	477.7	610.99	499.28	233.32	594.6	549.7	700.51	564.08	132.96	137.94	334.29	711.24	437.46	447.31	531.25	61.55	425.38	902.92	581.89	629.08	819.8	326.16	564.37	386.29	561.2	942.29	869.96	1217.46	890.02	391.99	852.6	548.54	1596.08	1498.67	1763.75	1507.12	1585.06	1236.59	1283.84	1205.67
Zc3h13	2.26	3.19	0.0	6.47	0.0	6.48	16.22	4.32	0.0	10.17	0.0	0.0	0.0	0.93	0.0	0.0	0.57	0.0	1.47	0.0	0.0	0.94	15.64	12.5	2.86	0.0	0.23	0.0	3.96	0.0	1.11	3.06	0.0	3.94	11.25	0.0	0.04	2.75	0.0	5.44	19.56	0.0	19.97	24.53	8.49	5.42	18.47	10.24	0.0	5.63	2.63	2.46	16.91	33.91	25.35	10.06	13.72	42.0	36.95	42.63
Zfp352	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.04	0.0	0.0	0.0	0.0	1.61	0.0	0.4	0.0	2.5	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0	0.0	3.09	2.73	0.0	0.0	6.12	2.67	0.41	0.0	4.98	0.0	1.08	2.98	0.0	0.0	0.4	2.04	0.53	0.31	0.77	1.31	1.52	1.26
Zfyve9	0.0	0.32	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0	0.0	0.0	11.75	0.0	0.0	2.19	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96	51.77	71.22	0.0	0.36	8.17	0.0	4.17	4.92	1.24	0.96	4.51	54.36	51.25	52.59
Zhx2	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.22	0.39	0.45	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.32	0.0	0.0	7.7	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.96	0.0	25.71	0.53	0.0	0.0	0.0	7.78	0.2	1.43	0.34	0.23	1.1	7.08	8.25	8.34
