	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_48	Calb2_tdTpositive_cell_50	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_58	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_41	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_45	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_19	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm14431	70.24	0.0	0.22	0.26	4.73	1.11	0.04	0.0	0.5	10.9	2.24	0.0	0.0	0.0	0.1	0.0	0.0	9.07	13.29	13.16	2.09	12.89	0.41	0.26	1.65	0.17	0.0	0.31	13.51	0.8	0.64	0.0	0.0	0.0	0.76	3.78	0.0	0.0	1.38	1.79	0.0	0.0	8.73	0.07	0.49	0.85	5.17	2.91	1.88	1.05	1.97	1.45	0.25	12.27	0.0	0.6	0.94	10.22	0.12	8.49	4.19	6.32	13.21	4.23	0.17	0.05	0.4	4.88	3.18	0.43	0.0	0.0	1.64	3.42	0.0	0.0	0.58	2.04	10.84	2.27	0.24	0.0	0.19	0.0	0.51	0.0	0.11	0.0	0.0	0.0	0.3	0.0	0.89	11.11	3.78	16.39	1.62	0.97	0.84	0.55	5.69	0.0	0.09	0.71	0.62	1.62	11.13	8.87	7.17	8.34
Gm14434	0.0	61.33	17.72	0.0	0.32	8.29	0.0	12.91	2.27	6.33	0.0	0.0	0.04	0.0	35.49	0.0	0.0	0.0	12.4	0.0	17.47	8.79	0.0	1.79	7.41	19.54	0.0	21.04	23.07	13.78	20.03	0.0	0.0	0.0	0.42	0.0	0.0	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.0	0.12	11.84	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	0.0	0.0	0.0	8.44	0.0	0.0	0.0	1.66	0.01	0.0	0.0	0.0	0.07	0.08	2.39	5.1	0.82	0.0	19.93	0.0	0.0	0.0	4.29	0.26	0.27	0.72	0.0	2.42	18.35	8.42	24.16	7.67	5.07	7.49
Gm14436	46.51	0.0	8.76	0.0	4.52	0.77	1.3	0.8	1.72	6.8	1.25	2.58	1.39	0.0	15.51	0.0	2.14	17.52	31.15	46.66	3.98	35.45	0.0	1.53	1.26	3.33	4.67	0.91	28.07	5.62	3.1	2.48	0.0	5.19	0.0	2.62	0.4	8.92	18.51	6.17	3.41	2.52	10.28	2.3	2.84	0.95	10.21	7.4	3.57	0.68	4.19	0.57	0.68	31.32	12.59	6.88	2.87	28.27	3.8	11.71	11.8	6.23	4.1	4.44	35.64	2.18	5.49	8.32	6.3	1.33	1.29	2.28	8.24	3.33	4.18	2.69	0.0	59.24	4.15	1.41	1.65	0.0	0.0	8.66	7.54	8.22	0.19	1.0	1.53	2.16	0.47	3.03	7.52	6.9	1.61	8.24	15.47	13.82	0.43	50.21	6.65	2.24	0.98	8.14	1.8	0.23	34.43	18.0	12.5	20.39
Gm3317	0.0	0.0	0.0	0.0	0.0	25.14	1.94	10.22	35.52	8.22	9.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.56	0.0	0.0	0.0	13.57	0.0	0.0	0.0	0.0	0.0	0.0	4.03	10.86	13.28	0.11	18.01	20.69	20.0	5.9	4.04	6.81	4.51	11.3	0.73	18.28	10.79	5.48	3.98	46.66	0.0	0.0	3.93	5.7	8.52	58.19	17.73	3.32	34.54	21.97	4.0	20.88	39.01	11.54	13.05	43.66	10.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.64	2.37	4.72	0.0	0.0	28.71	5.35	3.81	0.71	6.74	0.0	20.61	17.12	8.49	0.0	4.66	0.0	2.38	2.75	2.9
Gm3494	0.0	0.0	0.0	0.0	0.0	25.14	1.94	10.22	35.52	8.22	9.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.56	0.0	0.0	0.0	13.57	0.0	0.0	0.0	0.0	0.0	0.0	4.03	10.86	13.28	0.11	18.01	20.69	20.0	5.9	4.04	6.81	4.51	11.3	0.73	18.28	10.79	5.48	3.98	46.66	0.0	0.0	3.93	5.7	8.52	58.19	17.73	3.32	34.54	21.97	4.0	20.88	39.01	11.54	13.05	43.66	10.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.64	2.37	4.72	0.0	0.0	28.71	5.35	3.81	0.71	6.74	0.0	20.61	17.12	8.49	0.0	4.66	0.0	2.38	2.75	2.9
Gm4724	0.0	61.33	17.72	0.0	0.32	8.29	0.0	12.91	2.27	6.33	0.0	0.0	0.04	0.0	35.49	0.0	0.0	0.0	12.4	0.0	17.47	8.79	0.0	1.79	7.41	19.54	0.0	21.04	23.07	13.78	20.03	0.0	0.0	0.0	0.42	0.0	0.0	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.0	0.12	11.84	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	0.0	0.0	0.0	8.44	0.0	0.0	0.0	1.66	0.01	0.0	0.0	0.0	0.07	0.08	2.39	5.1	0.82	0.0	19.93	0.0	0.0	0.0	4.29	0.26	0.27	0.72	0.0	2.42	18.35	8.42	24.16	7.67	5.07	7.49
Gm8898	70.24	0.0	0.22	0.26	4.73	1.11	0.04	0.0	0.5	10.9	2.24	0.0	0.0	0.0	0.1	0.0	0.0	9.07	13.29	13.16	2.09	12.89	0.41	0.26	1.65	0.17	0.0	0.31	13.51	0.8	0.64	0.0	0.0	0.0	0.76	3.78	0.0	0.0	1.38	1.79	0.0	0.0	8.73	0.07	0.49	0.85	5.17	2.91	1.88	1.05	1.97	1.45	0.25	12.27	0.0	0.6	0.94	10.22	0.12	8.49	4.19	6.32	13.21	4.23	0.17	0.05	0.4	4.88	3.18	0.43	0.0	0.0	1.64	3.42	0.0	0.0	0.58	2.04	10.84	2.27	0.24	0.0	0.19	0.0	0.51	0.0	0.11	0.0	0.0	0.0	0.3	0.0	0.89	11.11	3.78	16.39	1.62	0.97	0.84	0.55	5.69	0.0	0.09	0.71	0.62	1.62	11.13	8.87	7.17	8.34
Hk1	0.0	0.0	0.0	0.0	0.0	9.02	25.27	68.4	55.58	17.65	19.51	0.0	0.0	13.39	0.0	0.0	0.0	54.45	14.61	0.0	50.77	96.42	0.0	4.16	0.47	57.99	6.36	69.53	28.29	45.92	0.0	0.63	54.24	22.1	0.0	0.0	0.0	0.0	74.85	5.87	9.96	8.61	74.53	1.26	11.21	64.53	0.35	17.19	40.74	72.61	69.34	40.85	19.51	10.08	36.88	22.14	7.29	28.12	38.27	0.07	29.35	55.94	29.86	50.11	85.34	36.27	0.0	8.48	27.63	5.43	24.25	44.74	17.09	0.0	0.0	0.2	51.38	0.0	0.0	193.82	0.14	0.0	0.13	18.85	0.12	0.09	0.0	0.21	0.0	14.36	26.95	7.66	20.79	0.08	2.23	57.12	4.92	3.81	36.9	70.53	13.55	9.1	14.15	13.82	82.38	94.0	127.73	221.73	224.48	218.26
Kcnf1	0.0	0.0	0.0	0.0	0.0	8.21	38.44	53.47	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	34.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41	0.0	0.02	0.07	0.07	0.0	0.0	21.59	0.0	0.0	0.0	0.08	0.0	29.52	2.3	11.64	0.0	0.0	0.0	0.0	0.06	0.0	0.0	49.8	1.24	0.0	0.0	0.0	0.22	22.31	0.0	0.0	32.66	14.31	10.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.05	0.08	0.0	0.0	0.15	0.0	0.0	0.0	18.37	31.58	7.48	0.0	77.0	0.0	25.02	56.38	39.06	4.4	0.0	4.25	0.82	0.02	75.16	85.7	90.56	82.9
Lrrc17	3.5	115.54	6.14	356.07	5.02	407.4	735.31	365.51	535.5	339.84	1328.13	3.44	8.7	29.45	2.31	5.26	24.08	725.48	699.47	168.74	850.94	273.41	120.53	520.61	413.58	529.66	386.95	263.36	307.23	592.88	241.16	249.23	33.9	2.54	3.92	12.68	15.62	10.59	476.34	215.03	219.98	349.61	255.08	393.76	356.77	368.45	558.74	396.22	336.63	792.44	408.17	174.53	272.35	293.25	95.56	209.62	87.64	99.69	273.52	400.48	200.48	81.98	150.15	127.53	512.79	221.26	269.6	155.25	102.13	156.98	121.37	48.29	138.21	16.97	67.89	29.95	20.6	13.68	6.82	11.84	20.93	13.9	10.5	147.74	611.93	31.15	78.87	30.06	234.0	24.4	643.39	267.33	685.3	1044.2	85.74	252.23	452.84	359.53	544.26	780.49	226.89	549.78	522.87	195.98	288.29	719.86	1367.08	16.94	25.08	15.49
Mn1	0.0	0.0	0.11	0.0	0.0	62.91	40.85	27.15	154.35	14.62	35.14	0.0	0.0	0.0	0.0	0.0	0.0	8.83	261.78	0.08	23.65	1.27	0.0	106.33	93.8	81.39	0.2	108.41	0.0	63.08	42.01	64.28	0.0	0.0	0.0	0.0	0.0	0.0	27.1	86.29	38.36	28.77	67.15	33.42	28.99	45.87	76.87	94.08	29.29	46.11	26.19	80.52	165.8	107.56	51.68	44.76	193.37	35.35	67.56	108.55	67.9	84.08	40.71	175.31	56.19	96.08	40.36	70.19	91.03	16.55	49.82	32.65	93.7	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.48	0.0	0.11	0.28	0.29	0.12	0.43	0.05	0.23	0.2	115.16	18.17	58.7	59.52	33.44	41.04	40.79	252.81	92.5	0.0	45.16	43.6	18.02	59.17	23.23	19.18	195.81	16.83	18.03	15.51
Mul1	0.0	0.15	145.5	0.13	0.0	21.66	16.93	33.59	66.57	32.97	22.23	0.77	0.0	0.0	0.0	0.0	0.0	0.0	34.05	0.0	35.99	3.05	0.0	1.1	1.9	0.0	0.0	37.67	51.49	0.0	15.1	0.0	0.0	0.0	0.0	0.07	0.0	0.0	16.64	19.36	0.07	7.28	23.31	29.72	1.56	39.18	29.1	37.41	29.52	19.43	57.62	35.45	23.2	27.59	5.1	0.07	39.37	5.5	25.55	103.87	0.0	31.43	0.0	0.08	0.0	42.84	19.56	20.8	0.0	65.02	16.04	31.09	34.58	0.0	219.58	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.27	0.29	0.0	0.23	0.0	0.0	35.87	0.27	23.65	22.49	17.81	63.64	155.13	0.0	18.54	110.33	62.47	0.0	22.58	44.59	70.1	21.29	142.14	26.56	26.32	24.68
Npy	0.0	0.0	0.0	0.0	0.0	138375.8	56190.59	64781.64	173305.25	40775.82	115124.65	0.0	0.0	0.0	0.0	0.0	0.0	43922.94	108594.8	1.97	96206.73	82245.2	0.0	42632.64	68542.73	67463.47	65548.38	57444.26	77711.12	125016.83	59230.28	80627.8	0.0	0.0	0.0	0.56	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	73168.9	126989.03	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.25	1.73	0.51	28.14	0.0	0.0	8.66	5.73	145032.54	13964.96	180453.32	92572.95	48343.46	128781.07	23340.13	7487.26	137945.15	70964.58	49931.63	95298.15	137580.94	65503.76	65353.97	120620.2	68416.93	214.21	196.57	200.76
Nrbp1	0.0	9.64	0.0	0.0	493.74	28.52	55.16	82.51	1.93	17.63	25.43	0.0	0.21	0.0	14.81	0.0	0.32	56.72	9.89	0.0	0.0	0.0	13.19	0.0	118.28	127.31	3.23	106.06	0.0	50.79	0.0	0.0	3.52	0.0	0.0	0.0	0.0	0.88	29.81	160.89	0.26	0.11	15.08	105.09	12.82	26.35	38.34	148.37	126.78	96.53	45.01	132.04	163.98	17.77	0.53	77.76	10.44	15.62	0.14	114.88	38.59	0.45	0.1	121.74	5.08	76.13	45.97	45.61	20.3	7.57	22.12	167.23	51.97	0.0	0.0	0.0	0.0	18.32	0.0	0.0	231.65	0.0	0.08	34.74	0.48	0.0	3.51	0.0	0.0	0.0	56.7	95.45	0.0	42.75	2.57	13.07	111.3	0.44	0.0	1.97	0.0	145.29	0.14	20.12	7.19	52.61	227.58	74.05	81.21	76.58
Phb	0.0	169.39	0.0	263.08	267.87	157.26	178.84	78.83	150.01	151.5	276.72	0.0	259.19	0.0	239.81	0.0	426.41	220.41	243.01	0.0	211.1	29.78	201.96	146.62	305.9	243.37	12.31	50.76	339.56	194.2	176.37	412.19	0.0	336.53	0.0	40.85	0.0	0.0	198.2	115.92	213.14	208.73	170.17	133.34	133.62	187.19	295.04	387.78	190.99	297.39	252.01	210.21	379.07	111.48	193.14	140.74	152.29	39.49	185.64	145.61	195.77	68.63	230.93	75.49	189.65	283.91	221.49	124.67	147.84	87.51	282.13	131.95	166.22	0.0	0.0	0.0	0.54	0.0	10.37	0.0	0.0	1016.32	0.3	231.0	244.14	1.04	250.97	623.6	0.81	781.38	196.99	77.56	73.83	44.03	156.0	199.33	328.66	150.9	307.66	278.95	253.77	80.96	160.03	214.19	185.14	106.63	153.25	75.29	77.17	68.49
Ppie	0.64	0.0	303.89	419.07	0.0	89.72	61.04	0.0	0.0	61.85	0.0	0.0	0.0	0.0	0.0	0.0	792.6	0.0	135.1	16.46	0.0	0.63	685.81	0.0	0.0	150.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.7	0.32	0.07	103.35	62.46	0.0	42.22	41.88	32.96	52.45	0.0	104.95	56.43	32.21	93.85	0.0	97.27	0.0	74.6	69.01	0.26	48.35	50.39	0.0	0.0	89.78	125.7	0.0	85.88	0.0	47.92	89.24	33.96	46.05	77.7	0.0	0.0	0.0	0.0	0.0	656.21	206.19	0.0	0.0	0.31	209.99	0.0	1.3	0.0	0.0	0.0	0.0	9.85	0.0	22.19	0.0	122.05	16.8	168.11	0.0	0.0	60.42	54.84	5.39	47.96	39.49	154.11	0.08	332.29	14.54	16.47	17.24
Psmd3	0.0	0.0	0.0	0.0	0.0	2.4	1.14	2.39	12.26	0.0	10.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.7	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	1.03	1.22	1.85	0.0	0.0	4.51	0.1	0.56	34.13	6.84	0.0	2.09	0.0	28.79	2.12	27.42	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.7	0.0	0.0	0.72	0.0	0.0	0.41	0.0	0.29	0.0	0.0	0.0	0.0	1.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.15	0.0	0.4	0.0	0.64	2.22	0.0	4.67	0.0	0.0	0.21	0.0	0.0	18.94	2.7	0.0	0.0	0.04	76.28	128.29	138.98	132.76
Rabac1	0.0	0.0	271.76	0.0	457.09	242.96	410.0	492.33	174.38	109.05	508.79	0.0	0.0	1.64	383.04	0.0	288.14	365.45	298.5	10.0	256.91	330.07	429.06	4.91	214.22	91.41	76.06	347.24	159.74	146.51	471.46	247.21	0.0	0.0	279.29	553.59	0.0	0.0	231.64	445.37	211.4	139.6	370.2	105.99	489.15	452.27	243.1	256.74	219.71	506.11	552.84	529.05	304.74	182.7	252.8	417.77	289.73	379.09	290.19	91.1	352.49	144.34	256.75	204.55	311.93	340.94	359.02	446.91	267.85	263.02	461.64	332.76	366.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	0.0	27.85	164.55	30.7	44.16	378.98	327.77	0.0	0.0	390.29	266.37	286.71	306.31	185.94	572.71	37.72	294.18	461.02	233.51	149.25	298.88	408.12	410.81	442.13	355.75	560.27	260.53	297.62	265.98
Rundc3a	0.0	0.0	0.28	0.0	0.0	7.93	15.9	21.24	9.19	0.1	12.28	0.0	0.18	0.0	0.0	0.0	0.0	0.97	5.61	0.0	16.58	94.71	0.0	11.84	7.24	32.08	9.43	1.01	8.91	21.99	5.84	38.93	0.0	0.0	0.0	0.0	0.0	0.0	0.16	4.85	5.24	0.2	0.0	17.36	23.07	10.69	0.87	25.71	10.11	9.53	0.0	0.59	16.63	0.0	0.0	5.86	0.0	12.77	4.12	7.4	39.5	11.0	7.84	6.04	28.98	0.0	10.04	1.95	19.89	0.9	7.98	1.06	11.04	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.16	0.0	0.08	0.0	0.0	0.23	0.3	0.0	4.7	12.42	21.43	6.64	10.8	0.36	1.05	6.28	0.0	2.69	0.0	2.92	4.93	25.4	43.39	0.3	77.94	259.19	288.36	272.51
Rwdd1	0.0	0.0	0.0	0.0	29.48	36.7	0.0	27.13	30.71	67.46	33.53	0.0	0.0	0.0	0.0	0.0	250.6	1.06	4.29	0.0	1.0	28.04	7.96	0.98	82.65	56.3	0.0	0.0	49.52	0.48	43.84	44.54	0.0	0.0	11.01	0.0	0.0	0.0	80.0	1.05	31.97	57.43	12.32	0.0	42.91	25.25	44.69	4.74	0.0	15.19	17.03	0.87	36.63	70.26	18.56	0.71	0.0	0.25	40.26	29.76	46.32	0.23	101.47	65.36	60.26	25.09	25.53	30.01	42.73	43.92	13.67	10.65	50.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.11	0.0	0.17	128.01	0.0	0.0	70.82	0.0	0.0	0.39	0.0	15.02	60.8	77.72	98.35	0.0	0.0	34.45	31.05	0.0	0.0	2.01	18.59	20.96	30.15	16.04	142.97	70.69	70.98	68.47
Ryr2	0.0	0.0	0.1	0.0	0.04	10.59	18.29	20.37	28.81	3.06	8.54	0.03	0.0	0.02	0.0	0.0	0.04	0.35	0.22	0.03	0.61	16.81	0.0	0.0	28.82	2.99	4.8	3.25	1.0	8.34	0.51	0.0	0.0	0.07	0.0	0.0	0.04	0.03	4.42	1.97	0.74	7.48	0.97	16.76	10.78	0.92	13.2	16.53	1.45	24.82	7.81	0.89	12.91	0.06	11.33	0.39	0.73	1.61	3.61	7.05	0.17	10.69	0.03	5.43	10.2	10.84	0.0	6.09	4.42	1.62	7.38	8.93	2.6	0.1	0.0	0.2	0.0	0.0	0.04	0.03	0.07	0.18	0.03	0.06	0.03	0.13	0.0	0.02	0.05	0.07	4.0	10.13	0.0	2.83	3.88	0.02	0.35	5.81	12.65	5.02	2.97	0.7	0.62	0.03	0.15	4.78	47.67	51.84	45.32	51.46
Scn2a1	0.09	0.13	0.07	0.0	0.15	132.56	38.29	130.35	126.2	26.28	90.1	0.11	0.15	0.0	0.04	0.0	0.15	152.62	96.62	0.06	99.49	22.72	0.12	45.23	154.01	147.06	267.79	87.11	51.07	61.84	43.28	161.13	0.0	0.0	0.07	0.16	0.05	0.17	57.59	94.29	64.57	11.03	131.8	32.77	113.53	86.01	93.72	59.64	113.24	137.83	97.33	55.37	150.74	60.17	81.88	65.29	115.96	35.55	113.9	39.87	71.22	46.6	80.2	138.45	134.19	61.58	59.53	94.99	77.27	82.82	81.23	22.85	75.43	0.08	0.06	0.32	0.39	0.0	0.16	0.02	1.14	0.0	0.39	0.32	0.24	0.72	0.07	0.2	0.69	0.14	63.21	126.9	64.44	46.18	128.1	129.49	162.93	161.11	61.96	141.83	76.75	106.78	122.48	169.96	84.79	43.92	243.19	128.76	111.81	126.47
Sfxn3	2.43	6.61	6.84	4.26	514.04	97.0	76.27	95.51	108.24	86.27	128.54	2.57	22.6	0.0	7.68	0.0	18.09	327.18	312.94	9.1	441.1	106.45	12.75	140.34	168.02	119.79	6.98	201.86	123.31	68.62	14.62	190.42	0.0	0.22	16.58	9.48	0.65	4.38	147.75	56.47	121.6	6.24	153.78	92.38	200.16	68.28	88.12	145.89	124.03	241.1	272.44	181.94	315.26	239.04	2.46	119.92	0.71	74.72	87.32	269.11	118.48	95.84	208.59	86.98	118.4	160.03	52.43	91.15	166.51	126.74	133.98	127.6	30.35	1.46	33.96	12.43	11.07	1.65	16.73	2.11	2.38	7.51	3.86	3.95	1.16	1.44	505.02	132.07	3.29	695.94	52.88	97.45	127.2	196.81	20.34	171.4	691.67	20.96	54.08	236.06	29.62	82.87	121.55	174.08	180.75	103.62	347.49	106.95	108.33	106.28
Sgta	430.31	0.31	0.0	0.0	5.21	13.27	187.68	321.62	202.09	109.69	64.45	499.92	0.0	0.0	138.86	0.0	0.35	169.6	86.72	0.0	265.39	159.27	0.0	5.82	114.84	157.23	0.0	107.82	191.11	287.52	35.99	229.23	0.0	0.0	0.0	0.14	0.32	0.24	111.54	87.07	3.31	78.49	179.84	9.59	207.37	130.91	176.79	106.02	104.36	207.54	185.08	308.67	252.13	338.9	144.76	38.13	172.32	98.62	77.58	161.9	104.34	69.8	170.79	169.57	31.09	65.76	188.04	49.53	149.13	124.04	77.13	189.09	159.7	0.0	776.25	0.86	2.0	326.12	0.0	0.0	330.8	0.0	0.28	0.0	0.66	0.96	5.26	0.15	0.74	19.44	107.03	180.31	91.03	73.81	88.42	134.35	296.72	177.45	247.03	427.03	71.18	51.81	99.95	346.71	360.68	234.82	316.55	121.08	127.43	127.04
Shank2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.06	0.0	0.0	0.0	0.0	3.77	1.63	0.0	0.0	0.03	0.0	0.0	1.44	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	2.26	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.4	0.37	0.0	0.0	0.0	2.77	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.07	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	20.09	66.62	61.5	75.84
Smarcd3	0.0	0.0	9.43	0.0	0.0	0.0	0.18	6.69	0.0	0.18	39.01	0.0	1.49	0.0	0.0	0.23	0.0	0.0	0.0	21.48	0.0	2.94	165.68	0.0	16.41	0.0	0.0	69.52	0.0	0.0	0.0	0.0	0.0	0.0	5.24	0.0	0.0	0.0	0.0	39.63	39.28	0.21	0.0	0.0	28.37	0.0	20.1	1.64	6.31	61.93	0.0	0.0	32.73	0.0	0.0	34.74	0.0	0.0	11.33	0.97	11.75	0.0	44.63	0.33	0.0	0.0	0.0	28.71	0.0	0.0	45.32	5.32	28.69	0.0	2.74	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.1	0.0	0.0	0.0	6.42	0.0	0.84	0.24	30.45	0.0	2.55	0.0	1.05	32.37	0.0	0.0	4.93	3.56	1.46	1.8	35.05	34.78	0.0	11.81	63.02	88.45	93.11	89.65
