	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Nr5a1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_78	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Ccdc82	83.09	132.55	16.55	83.88	185.12	140.98	194.11	196.82	185.33	255.03	408.55	130.61	153.28	160.17	166.93	93.29	92.3	137.08	81.46	47.01	97.39	73.92	66.15	104.99	103.6	60.75	98.81	101.08	63.32	67.09	106.19	132.14	63.65	123.82	34.93	77.54	51.48	96.89	81.16	83.24	86.62	91.95	74.23	84.27	110.95	512.76	920.55	831.48	1444.03	295.96	546.02	44.64	73.16	109.95	98.39	122.05	49.05	40.79	58.32	37.77	111.19
Cd200r2	2.62	7.8	0.7	3.81	17.35	2.36	4.96	6.25	12.2	9.41	13.84	15.28	6.12	8.02	5.09	5.08	4.34	3.83	4.83	2.09	1.95	5.17	5.32	4.62	4.15	2.99	5.55	1.7	6.01	4.31	7.51	2.96	5.15	3.62	2.62	5.76	4.38	3.9	5.39	5.64	5.54	3.59	4.85	4.41	6.9	48.38	134.48	93.85	124.09	30.42	35.93	3.02	5.82	4.69	2.28	17.93	2.54	6.16	1.35	1.86	12.7
Cd300a	6.18	5.95	5.97	7.63	18.71	21.54	9.23	10.91	21.81	18.05	26.2	11.43	7.66	6.58	9.01	4.21	9.88	7.36	6.46	3.81	5.18	6.05	4.08	7.55	4.77	6.94	7.01	3.71	4.72	6.49	8.61	5.17	6.94	5.3	4.29	6.0	11.49	18.1	5.52	5.88	7.94	6.91	8.06	3.14	10.1	23.77	94.88	79.26	103.19	50.07	45.93	5.11	13.17	9.27	6.42	18.89	5.29	9.21	4.03	3.53	8.69
Cd8b1	2.94	1.66	0.55	1.11	3.88	3.21	2.94	1.46	2.5	7.78	8.93	4.74	2.76	1.32	7.15	0.89	1.1	1.91	1.1	0.51	1.13	1.76	1.24	2.27	1.94	1.57	2.68	0.67	1.56	2.18	3.86	1.43	2.04	2.4	1.06	1.53	4.44	1.76	0.79	1.7	2.29	1.3	1.46	1.92	3.84	12.59	48.74	21.28	37.38	11.67	13.39	0.63	0.85	1.36	2.66	3.23	1.11	1.63	1.11	0.8	3.91
Chst3	1.41	0.74	0.13	1.22	2.22	2.11	1.26	2.97	0.91	3.63	5.36	2.05	1.98	4.11	2.48	1.25	0.82	1.56	0.8	0.87	0.72	0.68	1.0	1.05	0.99	1.69	2.32	0.71	0.5	0.7	1.7	1.08	1.5	1.47	0.41	2.02	2.25	2.2	0.55	0.79	1.69	0.63	0.8	0.82	1.06	13.62	22.08	11.32	23.77	13.58	12.59	4.33	0.83	2.0	0.95	2.53	0.84	1.21	1.16	0.83	2.16
Clmn	0.1	0.31	0.11	0.17	0.76	0.31	0.36	0.72	0.84	0.89	0.44	0.5	0.57	0.67	0.63	0.13	0.16	0.11	0.06	0.16	0.16	0.17	0.22	0.28	0.14	0.17	0.36	0.18	0.24	0.31	0.43	0.19	0.17	0.08	0.08	0.32	0.22	0.17	0.3	0.22	0.26	0.24	0.18	0.16	0.29	0.58	2.79	4.05	2.45	1.33	0.86	0.32	0.05	0.21	0.17	0.69	0.17	0.29	0.34	0.05	0.5
Colec12	40.76	16.73	7.29	9.24	44.44	9.72	23.58	28.6	22.26	36.55	87.45	17.74	19.72	21.46	17.31	14.49	10.75	17.33	7.4	4.0	13.42	14.05	8.55	21.35	12.65	8.61	10.44	12.24	11.4	9.07	13.64	17.13	12.51	14.1	8.52	22.66	11.99	13.16	11.96	12.34	10.46	12.0	8.46	15.21	15.94	65.0	193.06	145.28	236.02	85.59	111.6	12.61	11.79	18.28	71.48	33.88	9.43	7.76	35.53	3.7	13.03
Crx	1.25	4.61	1.41	4.04	6.71	3.25	5.11	4.75	4.92	5.05	11.47	0.82	7.03	3.1	5.08	2.39	4.32	4.09	4.43	1.57	2.34	1.29	2.69	3.63	0.93	2.75	3.9	4.76	1.5	5.01	4.7	2.91	3.34	2.16	2.13	4.91	3.2	5.03	2.27	2.01	3.16	2.53	2.63	1.0	2.86	24.19	71.56	15.67	44.6	20.9	30.13	2.14	2.12	3.6	2.55	8.76	0.81	3.39	1.42	1.19	3.37
Csf2rb2	2.0	3.1	0.88	4.1	11.9	4.7	5.12	3.56	6.58	2.85	13.3	6.79	6.1	11.25	8.44	2.15	1.29	1.27	1.55	0.95	2.44	2.2	1.67	4.01	3.48	3.97	2.35	2.06	4.47	2.78	4.05	5.72	2.31	2.84	2.21	3.73	3.5	6.68	3.5	1.22	3.31	1.55	1.43	2.59	4.28	44.62	77.56	28.62	44.54	33.93	59.74	3.02	2.13	5.57	3.99	7.9	2.9	1.96	1.79	2.04	4.58
Ctcfl	1.84	2.18	0.75	1.66	4.38	3.59	1.52	3.24	1.71	8.56	14.37	4.57	2.35	6.56	5.12	1.48	2.6	1.52	1.23	1.44	1.75	0.88	1.92	3.81	2.01	1.14	1.39	1.24	1.02	2.4	3.69	2.56	2.92	2.38	2.37	2.74	2.26	2.42	1.22	2.1	3.93	1.94	1.36	1.98	1.93	13.42	44.02	33.27	53.39	5.04	33.79	2.0	2.48	2.48	1.4	6.99	1.31	0.92	1.75	0.59	4.4
Ctla2a	50.43	68.28	33.62	63.34	241.98	105.84	108.41	126.94	103.23	184.3	431.57	112.37	117.57	92.11	97.95	42.37	50.67	43.7	34.82	34.61	38.21	54.98	44.9	70.51	59.31	37.44	60.62	54.54	58.0	57.39	67.6	47.11	65.88	41.08	45.56	82.02	86.19	43.69	45.13	51.7	52.65	47.34	34.29	47.55	57.66	474.11	1192.77	783.78	1118.26	344.64	618.31	55.21	36.47	107.7	61.98	186.95	34.37	38.99	58.25	41.99	92.78
Cxcr2	27.91	24.85	13.5	28.55	59.39	43.5	32.9	69.26	41.68	54.01	174.56	40.52	52.79	44.76	60.19	15.2	20.67	30.58	27.74	25.46	13.59	25.62	25.64	40.26	23.5	27.5	27.13	19.34	16.76	16.42	24.95	20.49	36.78	20.16	15.42	40.31	41.31	29.82	21.56	27.58	22.97	14.02	20.56	19.44	28.08	158.79	249.97	324.21	465.16	209.72	168.63	31.14	20.11	73.69	21.41	53.15	17.93	37.72	15.14	16.46	35.06
Cybrd1	1.8	2.52	0.65	2.55	3.51	2.74	1.77	3.68	4.52	5.16	14.58	5.09	3.69	2.91	3.69	2.06	1.55	0.98	1.39	0.76	0.71	1.65	2.23	0.9	1.74	1.89	1.68	2.81	8.1	1.68	3.38	2.47	4.51	2.9	2.77	4.79	1.66	1.21	1.96	1.3	2.74	1.94	0.82	2.11	2.35	31.6	43.66	15.64	33.77	9.28	30.69	1.01	1.12	2.57	2.26	4.13	1.39	1.46	1.09	0.48	3.63
Cyp2j5	2.27	2.38	0.52	2.81	4.28	2.54	3.25	13.11	11.23	17.26	29.79	1.51	2.18	4.12	2.27	3.22	2.91	2.38	3.06	2.0	2.11	3.26	4.35	4.43	2.06	5.8	3.86	1.12	2.86	3.77	3.27	5.46	2.64	1.83	1.82	2.5	1.65	2.24	2.35	2.01	2.79	4.29	2.26	2.43	2.72	10.75	44.53	32.91	74.93	26.45	20.19	1.77	2.13	2.87	1.03	7.5	2.12	0.69	3.12	1.03	7.87
D030040B21Rik	1.23	1.71	0.53	0.93	2.11	1.17	1.62	0.0	2.14	2.55	6.14	1.38	0.63	1.33	2.3	1.11	1.01	1.76	1.07	0.8	1.11	0.63	1.45	0.99	0.9	0.43	0.43	0.83	1.05	0.51	1.7	1.45	1.03	2.28	2.09	0.91	1.74	1.11	0.17	0.64	0.91	1.36	0.38	0.7	1.09	12.7	11.26	16.95	19.97	14.14	11.67	0.57	0.3	3.02	0.91	3.04	1.12	0.98	1.78	0.58	2.15
D4Wsu53e	94.17	168.23	45.93	46.01	500.47	272.33	190.81	339.66	352.4	340.45	706.48	438.38	229.79	220.01	153.8	184.04	180.71	102.07	63.74	74.46	81.92	146.73	166.24	296.24	242.95	191.58	143.1	41.58	38.16	185.79	206.48	121.55	67.05	78.9	54.67	29.66	25.45	61.57	106.35	55.56	17.91	167.51	85.48	93.91	60.36	575.03	1293.5	1786.4	482.36	1342.94	1956.12	161.94	92.09	268.73	76.76	393.55	155.26	47.23	105.21	58.18	108.46
D830005E20Rik	24.56	46.12	10.52	34.7	102.78	34.18	53.25	32.45	77.9	81.76	140.39	82.35	45.27	79.12	61.82	43.2	29.17	38.87	39.94	22.8	27.24	31.72	39.1	51.0	36.78	38.37	43.6	36.18	35.41	46.38	33.51	28.42	21.2	28.14	30.94	41.54	24.37	38.6	25.88	25.88	44.86	36.63	24.85	27.76	26.53	439.1	785.28	340.08	748.67	524.86	750.87	22.11	35.17	48.22	46.6	152.67	33.34	32.48	16.3	12.18	67.53
Dcaf10	27.46	13.95	3.19	14.77	44.02	15.33	28.95	25.42	13.78	32.74	59.68	15.71	20.39	20.5	19.62	11.94	12.14	8.02	7.47	7.84	10.22	9.44	12.76	11.16	11.01	15.26	26.43	10.68	9.65	9.67	16.3	9.54	10.01	15.31	10.13	17.32	13.32	15.39	11.59	9.25	9.31	9.08	11.57	8.12	11.36	96.66	170.62	163.72	166.03	132.97	76.12	16.63	11.59	16.81	11.71	30.43	10.24	11.53	8.35	13.95	24.05
Dcdc2c	27.63	41.67	28.36	8.24	124.11	36.25	95.87	86.99	45.68	177.53	248.37	35.97	51.64	31.31	80.58	30.58	33.2	34.98	48.1	35.17	8.03	18.56	43.28	41.77	23.37	28.01	37.52	28.22	19.16	8.8	40.37	20.85	20.89	28.88	45.9	55.62	39.28	22.63	29.86	21.2	23.91	21.99	5.17	7.38	25.98	353.65	306.21	437.91	684.01	149.65	342.75	35.97	29.3	57.7	28.59	86.48	0.0	12.93	80.95	33.17	110.56
Dlgap5	0.4	3.11	0.62	3.36	7.51	3.13	3.81	1.96	2.79	12.67	17.06	6.3	6.69	4.99	3.99	1.99	1.52	3.3	2.18	0.82	2.05	2.31	2.21	3.74	2.04	1.68	1.8	2.14	2.7	1.44	6.18	2.74	3.36	3.32	4.42	2.98	4.08	3.91	1.46	2.25	4.65	2.26	1.63	2.15	4.34	22.48	53.0	42.64	35.81	14.16	7.29	3.71	2.17	6.22	2.38	8.24	2.6	2.22	0.98	0.94	4.48
E230016K23Rik	4.29	8.02	1.23	5.66	31.71	5.73	9.56	10.45	6.93	10.78	37.68	16.18	17.63	15.95	8.84	3.14	5.48	3.85	2.45	5.94	1.48	1.41	2.32	6.51	1.92	1.18	6.52	3.12	3.02	6.37	18.08	5.16	1.96	4.96	4.42	7.74	8.53	4.07	1.06	2.05	3.71	2.76	3.84	2.53	6.23	24.7	31.79	44.89	117.53	9.96	35.66	0.78	1.75	6.53	3.97	12.98	2.02	5.87	6.53	2.01	6.45
Eif2ak2	15.23	20.32	4.6	12.47	56.4	25.8	34.49	100.58	39.04	68.87	118.02	66.45	21.98	29.32	26.42	10.67	14.32	15.4	20.0	8.9	12.79	21.23	15.35	22.2	15.13	17.43	22.93	14.71	22.3	10.78	24.01	15.68	14.96	13.67	20.36	29.86	19.52	22.68	16.71	18.91	15.03	12.96	18.42	15.05	17.03	127.44	295.39	273.75	373.62	172.84	167.55	17.72	18.42	25.36	22.67	57.51	14.06	20.31	15.05	10.0	55.12
Ermap	1.61	2.17	0.38	2.78	3.75	2.35	4.61	2.15	2.52	6.52	6.97	0.9	3.85	4.43	2.56	0.69	1.31	2.08	2.08	0.52	0.68	1.58	1.18	1.85	1.35	1.12	0.91	1.47	0.82	1.08	0.53	1.28	1.06	2.26	1.13	1.35	0.72	1.16	2.19	3.76	1.89	0.95	0.96	0.63	1.22	12.13	8.22	23.92	20.86	16.97	14.19	1.02	1.24	2.25	1.32	4.55	1.64	1.19	1.12	1.46	2.48
F830016B08Rik	18.08	14.56	7.4	9.07	65.06	26.35	25.59	28.32	29.41	52.16	75.2	44.65	16.82	29.56	22.14	8.32	8.04	10.69	9.26	2.41	2.0	15.28	9.83	24.37	15.52	18.39	13.18	17.55	10.67	8.51	18.88	4.88	13.82	14.05	6.14	19.28	17.17	17.49	26.6	12.72	23.33	9.54	7.1	14.26	20.94	152.11	249.92	195.14	253.58	149.75	202.52	8.71	15.39	19.35	7.7	39.07	9.88	13.34	18.63	1.29	37.31
Fam169b	3.52	16.64	1.41	6.88	34.12	8.11	18.18	32.87	25.9	54.11	58.62	28.16	12.57	16.52	24.65	6.84	5.91	9.17	9.11	7.86	6.66	5.86	8.31	9.92	9.03	3.77	9.69	10.32	4.79	9.77	21.89	7.16	7.26	8.6	4.42	15.97	3.4	9.11	8.41	9.37	7.03	12.45	8.52	9.41	14.27	45.88	102.77	30.43	125.98	69.23	137.48	6.82	6.83	10.33	7.7	35.26	6.58	2.2	8.51	3.78	15.35
Fam198b	0.76	0.48	0.23	0.82	1.1	3.78	2.5	17.15	14.01	87.98	3.0	4.14	8.87	2.75	46.2	0.56	0.16	0.33	0.5	0.27	0.42	0.67	0.39	0.79	0.39	0.7	0.5	0.31	0.26	0.33	7.15	1.13	0.44	0.88	0.35	1.92	0.36	0.81	0.47	0.57	0.53	0.63	0.48	0.43	0.65	4.54	10.63	13.56	8.52	48.41	4.39	0.49	0.36	1.15	0.62	1.19	0.56	0.77	0.48	0.27	6.32
Fcrl6	1.81	0.72	0.36	0.75	2.85	2.18	3.57	1.78	1.88	3.27	4.85	0.67	1.19	1.48	1.75	0.62	0.73	1.74	3.28	0.0	1.28	0.95	1.03	2.26	1.15	0.0	1.43	0.35	0.45	0.39	0.89	0.0	0.0	0.44	0.11	0.48	0.31	1.03	0.46	1.44	2.08	0.3	0.22	0.8	0.42	13.64	11.8	12.77	22.02	26.3	21.8	0.69	0.71	0.19	0.24	3.57	0.0	0.13	0.42	0.47	1.68
Fut8	55.34	43.39	7.57	10.27	406.57	152.38	269.89	97.26	146.56	77.48	203.73	33.54	109.78	183.09	39.01	20.03	19.76	23.08	47.85	4.18	59.94	105.86	130.42	41.69	41.08	83.75	74.15	93.14	151.54	42.57	135.42	40.94	25.17	83.6	23.08	27.02	31.36	122.23	93.2	21.42	18.87	37.4	52.47	37.78	26.79	257.65	419.96	456.35	444.37	276.4	395.53	18.59	32.7	25.68	11.19	345.16	63.12	24.31	17.94	17.84	48.03
G730013B05Rik	6.71	7.83	1.27	5.59	35.61	4.39	9.87	12.1	16.66	24.8	40.16	16.33	8.01	10.32	8.36	5.68	3.58	7.82	8.2	4.03	4.15	4.08	3.97	7.26	10.43	5.04	8.57	5.29	5.69	4.3	5.79	7.26	4.46	5.36	2.16	11.1	5.02	9.91	4.44	5.29	6.11	4.54	5.39	4.13	5.33	63.14	148.18	84.55	80.72	96.9	65.51	5.28	4.36	5.46	4.9	21.35	6.54	2.26	3.84	3.17	30.8
Gjc3	14.6	25.33	6.39	19.97	38.62	26.42	29.9	30.76	31.86	52.18	85.74	29.85	30.66	13.11	26.91	15.89	12.18	14.53	17.8	11.22	9.72	13.06	13.43	19.56	16.6	14.29	21.44	14.34	12.34	18.52	24.16	14.69	13.68	13.26	11.13	32.13	44.22	14.65	17.11	13.51	15.32	9.99	11.06	13.61	17.99	109.63	221.55	211.4	262.99	97.69	171.63	15.27	13.01	38.79	16.3	61.15	11.54	13.64	17.27	13.6	25.8
Glrx2	40.86	57.41	34.49	30.57	134.21	90.75	96.47	81.45	142.74	105.9	285.03	222.03	98.28	61.26	133.68	13.68	43.01	45.36	61.33	20.23	57.06	61.9	19.2	53.74	58.05	84.48	97.09	43.06	106.14	22.13	43.57	69.63	72.31	82.22	56.37	104.49	27.82	87.81	74.55	54.71	43.92	50.7	42.98	29.47	40.05	224.68	467.02	413.27	494.42	381.69	333.15	58.51	44.82	122.67	27.62	155.08	21.24	96.0	65.88	78.14	37.36
Gm10389	21.57	24.84	7.29	68.13	55.55	22.89	26.93	35.61	28.7	71.5	128.11	26.36	23.87	42.77	43.48	15.45	16.97	16.52	17.13	14.18	14.71	15.16	30.99	27.41	17.83	16.91	25.77	15.63	13.47	20.94	27.7	16.52	24.15	28.37	19.32	28.9	24.79	19.4	15.1	18.7	28.66	14.31	16.1	16.0	32.33	93.56	365.71	257.83	335.85	127.22	158.58	18.13	33.41	39.0	17.6	42.35	17.83	42.49	13.06	15.85	32.76
Gm10635	0.0	0.0	0.0	0.0	0.82	0.15	0.1	0.31	0.09	0.58	0.53	0.78	0.13	0.14	0.0	0.0	0.2	0.14	0.36	0.03	0.02	0.03	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.13	0.08	0.08	0.0	0.06	0.0	0.0	0.0	0.0	0.06	0.0	0.23	0.0	0.16	0.03	0.0	1.49	1.45	1.53	3.94	1.05	0.47	0.0	0.0	0.0	0.05	0.57	0.06	0.0	0.0	0.0	0.29
Gm10789	0.56	1.73	0.7	1.24	7.12	1.67	1.8	5.37	3.04	6.83	5.76	2.28	2.67	0.92	2.33	0.76	1.42	2.3	2.94	1.18	1.0	1.22	1.02	1.9	1.65	1.35	0.72	2.06	1.26	1.66	1.23	0.62	2.68	1.13	0.77	3.35	0.94	1.72	1.11	1.08	1.91	0.58	0.95	0.72	1.87	9.76	20.0	8.11	26.05	8.14	15.21	1.06	1.1	1.96	1.35	5.72	0.97	0.32	0.68	0.86	2.33
Gm10845	119.15	83.31	83.54	36.95	216.51	165.55	204.88	226.7	115.09	286.31	380.41	144.69	161.13	202.61	213.06	93.93	73.66	88.06	91.08	60.44	59.61	70.48	102.63	102.71	96.52	90.7	73.11	52.49	107.54	76.59	148.83	83.71	121.95	56.42	104.59	57.53	95.35	132.13	63.12	43.34	64.0	72.1	74.84	83.41	111.0	296.14	631.73	489.37	1223.57	572.87	579.54	38.17	72.64	85.21	34.53	301.97	52.71	66.9	61.6	62.09	99.53
Gm14420	15.63	14.07	13.0	8.22	51.81	31.32	34.38	47.65	31.98	43.71	111.17	68.18	34.83	14.0	29.83	20.59	18.29	12.29	12.84	15.82	17.44	26.82	17.4	73.11	31.54	38.35	21.0	30.15	9.22	34.3	16.28	15.98	21.82	21.28	17.44	19.66	13.35	19.22	12.87	28.86	26.69	11.23	9.21	9.85	24.12	84.64	132.96	99.42	216.94	87.16	153.41	10.18	15.82	49.39	29.41	74.91	26.72	7.44	7.18	4.43	38.59
Gm17821	159.2	144.83	44.72	109.53	373.77	152.27	175.54	219.33	212.78	392.7	774.86	227.4	204.39	199.06	221.99	108.53	130.67	139.94	149.2	83.86	102.68	158.01	114.81	161.7	109.85	125.35	145.62	107.97	138.45	152.69	111.04	147.65	141.67	132.54	99.22	162.69	155.3	179.51	109.01	105.43	150.54	115.41	117.21	127.57	136.93	901.14	1857.36	1734.48	2668.83	1354.52	1413.94	95.33	105.99	202.83	117.85	308.99	86.22	99.38	102.26	55.36	235.19
Gm19757	29.36	23.19	15.55	14.42	64.55	55.1	41.37	52.12	35.98	85.59	72.22	36.68	51.35	46.0	57.73	23.04	29.67	22.04	26.37	13.1	14.62	24.12	24.2	31.12	37.82	28.96	21.4	11.1	24.74	37.5	37.96	32.05	12.96	17.4	30.06	11.38	26.21	37.17	22.67	14.19	31.07	17.79	21.23	16.4	21.52	141.05	203.91	59.18	175.16	117.98	115.11	18.7	18.28	23.47	18.23	97.37	16.41	22.9	8.77	17.54	44.58
Gm19782	2.36	1.7	1.33	1.97	4.61	3.67	4.19	9.96	5.24	6.61	17.97	1.95	4.92	1.47	5.58	2.22	1.32	5.05	3.03	1.56	3.12	2.35	3.58	2.1	1.08	2.5	1.33	2.1	2.96	1.69	3.17	1.71	2.8	2.69	2.13	5.45	1.78	2.57	0.58	0.9	3.0	1.87	2.97	1.35	2.02	24.12	44.86	68.94	83.33	10.08	32.91	1.77	2.24	2.13	1.79	3.66	3.06	1.74	0.32	3.15	5.17
Gm4791	25.12	46.3	8.09	18.39	65.74	19.56	33.13	53.7	15.09	92.71	178.76	40.01	37.47	27.43	44.11	21.4	16.81	22.58	16.66	16.11	11.8	30.98	19.59	26.68	12.8	29.95	37.07	21.66	37.26	21.87	14.98	35.67	35.29	25.07	27.26	30.99	8.56	62.26	34.84	19.0	15.56	24.07	18.84	18.96	22.68	134.89	429.41	182.1	545.57	118.25	197.31	12.27	20.28	50.93	31.92	72.21	22.02	26.06	26.44	5.19	49.78
Gm4841	7.72	10.31	2.01	8.38	16.9	8.16	9.79	7.97	18.32	26.4	32.85	8.42	10.13	11.87	12.0	5.68	5.58	6.36	4.19	1.33	2.26	3.69	4.62	8.05	5.11	5.5	7.26	4.34	6.99	8.2	8.65	7.28	8.13	7.24	9.15	9.78	5.95	7.57	3.86	5.62	7.26	4.21	5.85	7.53	7.2	61.93	104.21	40.75	79.01	51.59	102.41	6.15	5.45	7.71	5.0	11.83	5.11	4.85	6.24	2.49	13.31
Gm5065	0.5	0.58	0.49	0.27	1.75	0.72	1.3	1.02	1.16	2.01	5.22	0.98	0.9	0.98	1.59	0.9	1.06	1.83	0.51	0.43	0.6	1.56	0.96	1.37	0.8	0.87	1.29	0.45	0.58	0.52	0.69	0.82	0.61	0.67	0.95	0.56	1.32	0.88	0.7	0.38	0.49	1.15	0.79	1.06	0.91	5.56	13.45	10.31	17.83	9.75	6.95	0.63	0.82	0.67	0.76	2.22	0.29	0.61	0.73	0.13	1.58
Gm6300	56.6	38.44	14.46	35.72	137.21	39.54	53.89	61.5	85.98	143.16	271.98	66.7	89.47	70.26	67.47	29.13	53.14	48.81	40.6	24.79	28.58	46.38	30.79	50.06	34.46	48.02	50.97	46.89	35.95	47.2	49.09	47.62	49.3	44.26	33.92	68.64	41.82	49.96	43.48	34.62	50.67	32.89	32.71	39.21	56.47	319.57	589.92	651.67	1032.68	310.83	476.23	35.03	34.31	62.55	28.95	107.08	32.25	35.8	26.73	24.47	59.52
Gm6313	5.38	12.04	1.7	6.58	32.96	14.67	16.87	17.06	18.91	45.56	22.8	17.53	17.06	9.63	17.61	5.46	8.79	10.38	6.7	3.42	4.07	9.66	9.9	11.51	8.26	8.36	12.67	9.02	10.09	7.74	17.11	7.26	6.48	5.04	4.97	12.23	7.17	12.16	10.36	4.74	6.31	17.28	7.05	10.32	8.58	55.14	132.65	88.92	192.53	37.2	110.06	4.33	4.53	5.44	8.64	20.3	6.69	5.7	4.42	2.51	17.34
Gm6602	4.77	12.5	1.83	7.68	24.44	15.91	20.51	19.98	21.84	36.43	42.78	13.38	13.79	10.01	20.29	7.56	10.33	6.07	11.66	6.01	3.38	9.9	4.91	11.81	5.48	8.78	10.67	6.99	3.86	6.04	7.61	7.64	7.87	7.79	4.6	17.8	10.18	7.96	10.96	12.53	9.4	3.91	8.37	8.06	8.31	64.95	200.8	116.81	169.13	98.71	78.09	6.74	9.16	10.16	7.54	38.05	7.86	5.17	4.48	4.04	15.68
Gm7102	15.2	17.68	17.65	9.69	80.69	11.38	87.57	62.68	28.83	56.6	102.66	42.17	33.96	18.87	63.38	22.02	13.43	14.4	10.77	16.32	2.75	15.19	17.16	14.02	12.57	22.67	23.52	9.07	10.66	3.69	27.59	9.14	16.87	10.83	23.14	37.69	11.79	5.78	16.66	8.73	9.48	22.11	5.34	6.51	16.22	184.6	229.13	251.58	196.23	76.65	253.32	16.88	20.25	39.95	13.67	54.36	0.28	15.35	52.86	11.12	54.14
Gm7609	7.63	20.4	2.62	7.85	16.46	10.31	5.57	14.8	8.94	20.09	25.51	8.23	12.41	15.04	8.9	6.23	3.34	7.05	6.91	3.69	4.57	9.83	4.65	8.07	10.02	9.33	6.09	5.17	3.27	5.88	2.65	6.68	6.53	20.79	7.71	7.35	1.47	6.37	4.33	8.16	7.59	4.07	3.91	4.15	9.25	22.23	86.7	79.82	79.3	32.11	50.99	3.82	5.66	4.1	8.42	15.21	6.53	5.68	2.57	3.25	7.1
Gm8234	15.42	17.51	3.77	12.23	36.26	22.66	40.03	23.01	29.02	36.54	61.8	18.55	28.61	29.63	23.14	17.34	16.8	15.25	6.4	9.28	17.7	7.67	11.58	20.04	12.73	11.97	14.55	15.94	13.55	9.61	24.55	27.94	16.38	16.05	5.76	15.25	3.98	22.7	12.94	16.12	15.06	8.39	8.02	10.86	16.46	50.49	136.39	105.21	253.22	38.83	64.32	15.59	14.65	21.22	15.8	29.89	9.54	11.35	16.49	9.82	24.86
Gpr174	0.51	0.51	0.19	0.54	1.22	0.88	0.83	2.97	1.86	2.54	5.79	0.61	0.42	0.96	0.82	0.27	0.23	0.19	0.22	0.19	0.14	0.27	0.18	0.42	0.4	0.22	0.35	0.48	0.42	0.34	0.94	0.82	0.79	0.41	0.39	0.82	0.25	0.42	0.22	0.28	0.61	0.32	0.19	0.57	0.21	4.43	6.3	4.74	4.18	2.38	8.2	1.05	0.52	0.62	0.14	0.94	0.6	0.35	0.41	0.62	0.19
Grk4	275.35	249.85	69.61	231.81	647.38	336.76	355.92	461.84	417.05	787.67	1190.75	397.37	399.75	310.32	500.93	236.99	204.95	245.04	240.48	102.42	169.68	283.81	240.39	306.53	210.57	195.29	285.03	180.95	275.11	257.46	241.86	250.51	228.18	197.09	147.67	310.08	214.23	294.46	180.43	163.58	259.05	198.1	194.5	224.6	226.99	1258.78	3785.45	2967.09	4387.41	1908.63	2134.42	179.18	198.88	371.08	169.99	488.85	151.93	127.38	154.37	84.18	428.72
H2-Q4	42.1	65.05	17.82	55.16	129.13	72.97	95.93	63.32	111.29	195.15	234.97	114.43	74.57	120.14	81.2	34.85	39.6	51.57	27.94	38.27	26.34	51.64	36.59	47.58	46.02	65.46	54.9	60.05	35.18	48.61	54.66	43.17	62.39	30.28	48.85	64.85	54.17	38.87	44.44	39.67	26.56	47.49	38.69	34.59	54.25	323.74	909.51	583.73	973.26	330.48	411.48	34.45	49.69	65.79	61.55	97.92	57.6	51.54	40.52	27.14	48.85
