	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_49	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_18	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_16	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Hsph1	102.17	187.71	81.55	29.03	0.0	0.0	146.2	131.07	70.07	0.0	177.92	31.12	0.0	0.0	24.98	68.95	48.8	76.29	41.2	59.87	8.35	54.55	114.17	2.48	61.36	89.15	127.85	152.85	109.12	0.0	76.48	84.93	86.63	72.28	184.7	46.07	87.36	118.19	97.31	3.84	110.71	87.15	55.6	31.53	179.71	31.45	35.93	100.05	187.18	100.55	0.0	54.03	53.82	76.24	6.38	34.37	334.45	29.83	0.26	146.21	23.92	0.11	209.38	282.01	326.44	210.34	235.88	315.47	208.3	201.63	213.44	193.74	203.15	238.03	226.06	225.17
Iffo1	0.0	1.67	0.0	0.0	0.0	0.0	0.33	0.0	5.8	0.0	0.0	31.0	0.0	0.0	0.0	0.13	0.0	0.0	13.73	0.0	0.0	0.08	0.0	0.0	0.0	6.55	2.71	0.0	0.0	34.02	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	3.84	0.0	0.0	0.0	44.67	0.0	0.0	27.67	0.0	0.0	0.0	0.0	0.0	5.74	8.21	3.07	1.43	0.26	3.95	8.78	5.4	5.47	3.88	4.65	49.34	54.98	48.1
Il17ra	0.55	0.26	0.17	0.47	0.0	0.0	0.09	0.06	0.46	0.54	0.02	0.24	0.07	0.0	0.05	0.0	0.02	0.06	0.0	0.13	0.05	0.16	0.0	0.44	0.16	0.33	0.33	0.25	0.15	0.05	0.16	0.22	0.23	0.36	0.0	0.49	0.36	0.27	0.15	0.05	0.32	0.05	0.0	0.29	0.14	0.0	0.2	0.25	3.02	1.03	0.0	0.0	0.0	0.08	0.21	0.18	0.29	0.05	0.08	0.11	0.09	0.0	3.27	7.89	10.03	1.62	5.16	1.94	3.79	1.76	6.45	5.11	5.02	13.28	12.23	11.53
Kalrn	6.93	7.43	1.65	7.89	0.06	0.0	15.21	12.68	47.96	67.37	9.27	5.38	0.36	0.0	1.05	9.71	2.77	0.82	0.19	0.27	3.35	11.42	3.34	4.22	0.54	9.14	1.09	0.5	1.17	0.18	5.84	0.05	1.13	11.9	8.61	0.29	3.42	4.69	0.55	0.05	10.91	9.47	1.06	0.81	0.1	5.47	2.63	9.15	14.54	23.62	0.17	6.79	11.2	0.63	4.43	12.46	28.18	19.1	11.1	0.77	7.99	0.0	20.65	16.9	14.52	15.66	20.19	23.43	19.36	12.99	17.99	18.67	18.98	250.25	239.88	249.16
Klhdc4	6.19	72.71	0.33	54.21	0.0	544.32	19.2	0.0	48.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.85	0.0	1.22	0.0	0.0	0.12	0.0	14.51	0.0	0.0	0.0	0.0	64.05	0.0	0.27	0.0	7.01	0.0	100.22	0.72	7.45	18.27	0.0	0.0	0.0	70.0	21.27	0.0	167.88	0.0	2.5	81.49	0.0	0.0	24.71	18.69	10.53	54.54	21.61	3.61	12.85	0.84	12.4	23.95	17.12	21.44	24.74	25.14
Klhl5	0.0	60.58	0.0	3.56	0.0	0.0	0.0	0.12	0.0	0.0	0.06	0.0	0.0	103.1	0.0	0.11	0.0	0.0	0.0	0.08	0.06	0.06	0.0	0.0	0.0	0.11	0.0	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.96	0.0	0.0	0.0	0.0	0.0	7.39	1.79	0.0	1.47	0.0	0.0	18.4	12.11	0.0	0.0	1.0	0.1	0.0	0.0	64.46	0.0	2.35	12.41	0.08	0.0	0.1	3.56	10.07	0.99	0.0	11.73	1.13	0.43	3.57	1.81	2.23	36.47	35.96	36.15
Lcorl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.95	58.57	0.0	0.0	0.0	0.0	0.0	3.94	0.03	0.0	0.0	0.0	0.02	0.02	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	14.7	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.19	7.21	0.0	0.0	0.04	0.0	0.58	0.0	64.76	0.0	0.0	0.0	2.31	0.0	2.18	5.28	0.0	0.0	11.33	0.0	1.86	0.0	1.6	3.88	0.92	11.2	8.6	10.55
Lztr1	3.49	3.16	60.19	8.54	0.0	0.0	0.0	16.86	32.39	106.39	0.0	28.76	0.08	0.0	62.27	12.84	17.98	10.57	14.9	4.44	0.03	6.48	15.01	13.63	31.21	19.79	1.56	43.77	18.19	51.81	62.44	54.89	17.12	13.34	1.69	10.25	65.02	0.2	53.51	0.08	23.66	13.66	59.22	9.0	67.08	0.33	51.28	0.16	51.6	25.93	0.0	0.18	39.5	32.18	12.34	5.53	171.21	6.59	4.97	0.84	8.46	0.0	60.71	44.11	78.07	61.9	48.22	83.13	77.49	114.07	52.3	43.4	48.92	125.19	126.43	125.91
Mmd2	0.0	0.0	0.0	4.11	0.0	1107.07	0.09	0.79	176.49	123.11	73.02	0.24	0.0	0.0	0.0	0.52	0.67	97.08	1.17	0.06	0.05	0.0	0.0	0.0	0.13	0.0	24.3	0.14	0.0	77.41	28.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.13	0.07	48.86	0.0	357.54	37.01	0.59	0.0	0.21	0.16	0.0	0.0	228.81	0.0	0.0	0.0	0.0	0.0	136.29	136.78	105.92	123.69	254.65	127.36	53.74	115.72	143.64	109.37	108.08	133.63	140.82	142.12
Mrpl39	19.81	109.4	36.11	1.25	0.0	0.0	14.93	95.73	110.24	27.31	8.38	63.0	2.89	0.0	49.22	16.57	20.34	17.36	51.39	2.34	35.46	1.02	74.64	2.91	86.54	91.99	28.37	34.76	1.0	43.13	1.06	1.3	1.37	57.74	7.49	1.39	0.66	6.95	17.03	102.87	7.96	34.04	64.42	0.24	0.93	2.14	1.73	0.59	56.63	55.26	1.14	65.25	11.56	65.57	32.9	31.93	120.75	1.47	7.2	0.24	18.07	0.61	24.62	20.25	27.3	42.94	36.41	32.18	41.17	37.65	29.13	30.74	24.75	24.28	27.03	27.9
Mum1	0.69	1.8	5.91	0.0	0.0	0.28	1.76	1.44	1.73	0.71	1.16	1.23	0.14	4.51	2.67	1.9	0.68	1.67	0.28	0.49	1.29	0.09	9.61	0.6	17.16	47.49	0.12	4.19	0.21	26.17	3.19	0.34	20.48	3.09	12.94	4.11	28.61	0.17	0.29	0.78	0.0	0.37	0.72	27.85	0.63	1.17	1.58	17.02	5.08	3.43	0.17	0.1	14.54	6.8	6.21	0.24	79.07	0.05	0.15	0.11	29.36	0.0	16.08	2.3	16.03	12.68	30.5	7.8	22.05	7.59	5.42	3.51	11.55	25.0	27.75	26.37
Neurl1a	0.17	0.3	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	13.49	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	4.27	0.0	0.39	0.0	0.0	0.0	0.0	0.06	1.8	0.0	0.0	0.0	0.0	0.0	0.71	11.2	0.0	0.0	0.0	0.0	0.0	3.76	127.24	32.99	1.4	0.0	0.0	0.0	7.67	3.87	5.97	5.19	7.11	8.53	2.51	8.87	2.02	7.91	6.76	125.32	131.62	134.53
Nlrc4	0.0	0.58	0.36	0.07	0.34	0.0	0.25	0.0	0.19	0.17	0.0	0.0	0.17	0.0	0.11	0.05	0.03	0.12	0.58	0.17	0.08	0.08	0.0	0.0	0.07	0.1	0.0	0.0	0.0	0.05	0.0	0.06	0.22	0.34	0.0	0.0	0.33	0.2	0.4	0.0	0.0	0.02	0.28	0.09	0.04	0.12	0.0	0.51	0.51	0.45	0.0	0.07	0.13	0.09	0.26	0.18	0.83	0.06	0.0	0.11	0.0	0.0	2.59	0.24	2.59	0.26	0.25	0.59	0.33	0.23	1.24	0.71	0.45	0.79	0.43	0.73
Noc4l	0.32	132.1	0.0	49.77	0.0	0.0	0.21	0.0	0.0	40.8	0.0	27.11	0.0	0.0	37.52	0.0	0.16	0.47	60.06	4.61	0.94	34.27	0.0	0.15	0.14	0.19	1.64	73.95	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.16	0.12	91.55	30.55	0.0	0.0	0.21	0.41	15.74	0.14	0.31	0.35	0.49	2.61	18.8	0.31	44.59	0.0	12.5	0.58	30.7	139.04	49.97	49.41	75.51	0.22	0.0	33.85	13.68	41.35	38.38	25.2	27.71	8.67	23.42	23.15	29.46	25.73	21.09	23.35	21.19
Npy	138375.8	64781.64	173305.25	115124.65	0.0	0.0	108594.8	96206.73	82245.2	68542.73	57444.26	125016.83	59230.28	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	73168.9	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	12.38	985.16	0.0	145032.54	180453.32	92572.95	128781.07	137945.15	32250.58	95298.15	137580.94	65353.97	120620.2	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.6	0.0	0.7	214.21	196.57	200.76
Pde4a	29.29	27.14	37.71	4.2	0.0	0.0	34.95	53.64	18.86	13.7	0.74	42.32	27.56	0.0	7.54	0.09	5.74	7.2	9.76	4.37	15.75	7.02	0.0	26.58	3.7	14.49	18.91	64.53	0.0	6.91	12.87	7.14	23.78	10.02	6.09	6.88	11.2	0.97	0.0	14.48	2.11	0.55	23.1	13.16	2.42	5.12	9.45	0.24	30.17	29.83	0.0	8.03	2.41	0.0	0.07	0.0	62.34	2.11	4.37	44.77	8.6	0.0	43.12	32.75	53.65	40.28	53.87	52.81	19.46	43.09	45.86	44.49	50.32	70.0	69.52	69.31
Pdk2	3.41	72.92	0.91	43.3	0.0	0.0	0.0	11.75	51.37	0.58	0.0	0.0	12.33	0.0	0.0	0.16	7.23	0.05	0.15	0.0	0.05	30.2	15.84	0.41	0.0	14.29	0.0	2.68	0.42	54.48	0.0	0.0	0.0	4.23	11.55	0.0	49.71	0.0	113.17	112.59	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	43.4	22.18	0.0	0.25	30.98	0.15	0.65	56.01	115.3	20.49	0.0	1.17	0.0	9.15	2.68	11.92	31.5	18.45	40.61	28.16	36.65	7.45	18.81	22.03	23.89	84.61	89.08	86.53
Pdzd2	0.0	13.24	0.0	0.01	0.0	0.0	2.02	0.03	0.06	0.0	0.0	0.0	0.02	0.0	1.21	0.37	0.0	0.02	0.0	0.01	0.0	0.04	0.0	0.02	0.01	0.0	0.35	0.0	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.03	0.07	0.0	0.08	0.1	0.0	0.4	0.01	0.02	0.0	3.78	6.71	0.0	2.81	0.03	0.67	0.02	2.17	1.57	0.02	0.04	0.13	0.01	0.0	3.51	4.51	6.13	2.14	2.64	2.25	1.4	2.68	3.28	2.65	3.06	18.21	16.23	20.08
Pgls	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.86	0.0	0.0	8.52	0.0	0.62	0.0	0.0	14.79	0.0	0.0	0.0	0.0	0.0	0.13	23.74	29.77	0.0	0.0	0.0	0.0	0.0	8.68	0.0	0.0	0.0	0.0	0.0	0.0	1.71	0.0	0.0	0.0	0.0	0.0	0.33	0.0	3.89	17.53	21.75	0.0	1.04	8.9	0.0	0.0	0.0	58.43	0.0	0.0	44.73	2.95	10.46	0.0	10.27	0.0	4.22	1.28	6.31	0.8	0.36	0.68	3.68	1.76	0.71	1.63	3.3	29.57	38.8	38.01
Pik3r1	13.78	37.2	0.0	33.18	0.0	0.05	16.83	36.64	6.42	0.0	25.07	42.19	0.67	0.0	10.75	0.06	23.46	0.0	0.06	15.08	10.27	3.42	0.45	4.07	15.03	0.0	37.08	0.0	5.04	43.53	0.1	0.08	0.0	23.38	0.25	8.9	5.72	20.6	0.0	0.05	0.26	10.68	2.16	4.03	38.44	11.34	11.82	9.98	42.76	25.62	0.0	18.22	0.1	33.2	0.0	0.0	39.63	0.03	0.0	12.08	14.12	0.0	47.04	31.76	53.9	36.61	54.15	74.7	49.23	52.02	65.87	54.18	54.03	61.64	57.5	64.01
Polr3b	4.73	3.75	0.0	17.39	0.0	0.0	0.0	16.03	0.0	78.13	0.0	3.72	0.0	0.0	0.0	2.76	2.34	7.94	0.0	4.07	0.0	0.0	0.0	0.06	0.0	0.0	7.06	0.8	0.0	0.0	4.33	1.53	1.11	0.0	0.0	0.0	18.0	13.57	0.0	0.0	0.05	0.0	0.0	0.12	0.06	0.0	1.81	22.02	3.43	0.69	0.0	10.81	17.51	0.17	0.0	1.22	87.96	1.1	13.71	0.09	0.0	94.71	3.64	0.15	3.29	2.01	2.03	0.0	2.54	3.49	2.2	2.82	3.28	9.22	10.33	8.91
Ppap2a	2.83	0.0	24.74	0.0	0.28	0.0	6.39	0.0	0.0	21.59	0.0	0.0	0.44	0.0	7.25	0.31	68.61	0.2	146.77	69.49	0.09	35.61	29.84	0.0	0.2	56.39	0.0	0.0	0.0	177.18	2.91	10.78	5.56	3.81	0.0	28.75	0.0	0.0	0.0	5.38	1.88	0.0	22.86	0.22	0.0	61.88	62.9	0.0	20.01	21.97	0.0	0.0	0.0	126.8	2.81	1.47	96.83	0.0	0.0	0.0	0.0	0.0	48.85	48.01	68.99	43.04	62.11	61.61	78.83	64.51	66.4	58.89	47.73	29.25	31.58	30.75
Ppp3r1	102.0	48.88	94.77	82.62	0.0	10.81	9.38	100.02	302.34	39.72	85.62	124.3	21.07	0.0	74.05	74.54	120.95	18.83	191.07	76.59	44.23	191.63	91.44	66.57	28.46	77.55	45.27	45.09	45.42	2.97	23.35	75.94	170.06	82.77	12.57	23.8	49.04	86.41	41.97	10.64	11.97	106.08	72.55	73.4	124.18	26.88	18.94	42.26	142.55	194.81	0.0	18.32	36.85	94.69	57.94	97.3	104.81	67.74	55.38	275.36	12.28	3.17	204.46	152.24	183.6	165.54	166.94	168.24	155.84	138.72	226.77	215.64	211.12	920.94	893.77	828.14
Prkcb	13.39	52.16	45.18	11.53	0.0	0.0	111.88	122.43	73.8	13.98	48.04	74.86	35.75	0.0	8.6	24.56	14.93	2.64	6.89	28.23	9.02	2.13	11.3	34.75	23.49	15.0	9.01	0.36	15.78	22.11	2.83	3.8	36.62	23.13	3.33	15.12	33.02	0.06	53.76	32.65	30.8	5.25	14.58	0.37	3.4	2.75	0.14	7.3	138.55	117.39	0.0	0.27	0.11	91.21	0.52	2.75	81.12	23.47	1.86	23.45	8.53	0.13	309.5	267.34	322.54	298.74	313.34	329.4	217.93	257.9	279.7	261.35	235.19	360.87	341.57	387.59
Prr12	2.76	3.14	0.0	0.0	0.0	0.0	10.95	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.02	0.07	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	9.89	0.0	1.18	1.34	0.22	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.46	1.32	0.0	0.0	0.95	4.1	0.0	0.57	1.19	0.0	0.0	1.12	3.79	0.0	0.0	7.22	0.0	0.04	0.0	0.0	0.05	0.66	0.21	0.05	1.26	0.6	0.41	0.44	0.71	0.3	0.89	0.55	24.08	25.31	25.2
Rabgap1l	41.52	25.57	74.86	27.78	0.0	0.0	0.12	18.93	103.83	150.64	24.91	36.02	4.95	0.0	10.36	33.56	36.2	42.07	19.89	17.91	0.03	41.68	27.89	17.97	15.82	5.14	70.56	18.48	43.58	0.0	9.56	40.24	4.13	18.34	45.21	33.79	17.41	23.71	9.33	57.94	0.08	17.91	57.21	11.11	25.87	6.33	1.2	3.5	24.07	65.21	0.0	25.95	23.18	0.11	32.85	22.36	170.74	31.74	15.72	0.14	19.19	0.23	26.44	12.45	25.86	30.65	29.35	56.58	18.88	19.84	44.54	22.09	27.18	71.6	60.68	67.73
Ranbp3l	1.18	5.08	3.36	4.36	0.44	0.0	2.43	2.41	1.65	2.52	4.9	3.26	1.77	0.0	2.15	1.17	1.68	2.39	1.98	3.63	2.41	2.28	1.23	2.4	2.03	4.65	2.22	3.52	3.51	1.19	2.4	4.34	4.31	3.62	2.8	3.1	1.35	2.58	1.07	1.31	4.38	1.96	2.01	2.05	4.25	1.77	2.34	2.21	8.68	5.92	1.98	2.26	1.25	4.34	5.98	2.67	11.56	2.38	1.18	4.33	1.61	0.32	4.81	5.87	5.94	6.51	5.14	6.22	4.95	4.27	4.9	5.9	4.69	6.34	5.86	6.65
Reep1	67.51	0.0	5.19	79.0	0.0	0.0	33.2	20.72	232.45	154.25	0.0	31.74	1.56	0.0	58.48	21.99	98.77	4.59	114.57	0.0	39.82	65.65	96.11	16.71	104.4	76.12	19.71	49.02	70.18	69.63	43.06	88.37	17.58	0.0	72.91	18.49	16.88	13.9	2.97	29.0	27.2	33.45	0.15	47.78	89.98	34.76	3.65	45.64	15.67	35.57	0.0	19.79	56.99	0.35	0.0	80.85	261.96	77.91	18.52	0.0	17.36	0.0	39.19	45.01	104.1	28.9	47.63	39.1	32.54	54.37	54.79	45.47	37.98	107.81	106.11	104.33
Sft2d1	108.81	87.77	9.46	34.16	0.0	0.0	131.04	76.36	188.26	50.14	1.62	0.0	0.0	0.0	4.93	31.18	45.18	126.45	94.68	11.98	33.98	25.65	54.35	39.82	27.5	76.65	34.42	51.04	44.78	0.0	29.49	0.74	101.81	277.84	0.0	0.0	85.17	105.52	174.97	133.06	0.0	44.0	39.01	0.0	59.76	42.09	0.46	85.17	126.66	129.92	0.0	27.48	37.1	77.05	0.0	41.5	240.54	0.0	0.0	71.89	41.03	0.37	116.26	147.73	160.28	87.23	86.36	91.96	44.66	67.15	66.12	53.06	62.13	51.89	59.12	54.66
Slc10a3	0.0	0.0	0.0	58.31	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	84.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.57	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	25.69	10.71	0.0	0.0	0.0	0.0	0.0	0.0	128.67	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	7.16	0.0	10.08	10.38	16.2	1.39	9.6	4.67	3.48	3.01	3.51
Slc24a2	8.28	69.44	4.04	0.0	0.0	0.0	56.4	46.71	56.77	6.22	4.23	99.37	9.21	0.0	0.06	0.14	0.1	0.07	0.11	0.07	0.04	0.02	4.54	19.15	13.75	13.13	0.0	5.33	8.61	0.1	0.0	5.05	57.46	18.46	0.0	12.42	5.86	0.0	13.83	0.0	0.17	0.04	0.05	0.05	0.05	0.03	0.0	0.0	116.61	59.28	43.72	3.97	0.84	52.72	0.06	0.35	57.45	0.02	0.14	52.7	6.18	23.55	96.14	90.7	116.27	91.49	113.2	118.98	105.37	138.53	144.15	111.97	131.04	186.31	165.34	192.36
Slco4c1	0.0	0.0	54.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	23.75	0.0	2.44	59.53	0.0	0.0	3.47	0.0	0.0	0.0	74.26	0.0	0.0	96.46	0.0	0.0	0.0	0.04	0.0	23.2	3.6	19.49	0.28	15.33	0.0	0.0	0.0	1.63	3.03	2.91	2.64	1.87	2.34
Sumf1	29.82	0.14	0.53	0.1	0.37	0.0	0.0	2.34	38.57	56.29	0.06	0.58	0.1	0.0	0.13	1.13	0.03	0.46	0.26	0.0	0.08	0.52	0.0	1.55	0.0	0.0	0.0	0.46	7.68	0.5	0.65	0.96	0.23	0.6	30.05	1.36	0.55	0.49	0.0	0.32	1.77	0.08	1.94	0.11	0.0	37.39	0.09	2.66	0.34	5.1	0.0	0.66	0.0	17.97	24.96	50.38	82.37	0.22	0.34	0.0	0.0	0.0	0.41	3.58	1.3	1.39	1.5	6.18	11.22	0.15	8.84	2.91	8.95	21.89	22.8	21.55
Syt12	1.17	11.56	2.73	1.83	1.88	0.0	1.15	1.08	2.12	1.16	1.29	7.45	0.99	0.0	0.9	0.66	1.01	1.09	0.22	1.41	0.68	0.54	1.81	9.34	0.62	0.85	0.87	0.89	2.0	0.71	1.44	1.04	1.17	1.24	0.55	0.81	0.86	1.06	2.01	1.25	2.38	0.85	1.52	1.17	0.72	1.21	1.82	0.63	17.46	14.38	1.16	0.48	0.47	6.32	0.87	0.86	17.42	0.67	0.78	0.91	7.3	0.0	21.79	39.81	29.63	33.16	19.64	21.34	29.22	43.5	38.65	42.91	36.44	27.22	27.84	28.06
Syt3	9.09	66.93	48.03	7.01	0.0	0.0	0.0	22.83	27.58	0.0	0.0	20.22	0.0	0.0	0.0	0.0	11.94	0.0	0.0	50.42	0.04	0.05	0.0	0.0	1.34	1.73	0.0	19.46	32.14	9.78	0.0	0.0	11.95	0.0	17.32	0.0	0.0	0.87	0.0	0.0	0.0	6.01	0.0	5.57	0.0	0.0	0.0	5.81	5.18	3.47	0.0	11.85	0.0	0.0	37.96	0.0	109.02	8.7	23.04	13.68	0.04	0.0	1.01	3.63	5.84	5.01	9.27	0.0	6.91	5.31	4.55	2.23	5.63	45.78	49.95	46.37
Tcf20	8.65	20.75	0.0	15.11	0.0	0.0	14.82	4.07	23.17	5.95	4.54	4.74	1.04	0.0	4.48	3.46	4.14	3.28	16.34	4.38	5.64	2.59	8.16	9.1	9.22	5.22	12.17	10.38	6.61	10.29	12.61	2.92	30.19	5.36	20.24	4.49	7.23	3.18	0.08	11.21	0.98	7.86	7.82	0.91	6.84	9.25	7.7	7.61	5.53	13.3	0.0	9.7	10.9	10.65	11.38	8.27	18.41	5.47	6.0	9.97	5.41	0.0	18.8	12.95	12.93	14.25	17.11	20.83	16.55	10.74	20.52	17.95	19.49	41.58	41.79	43.86
Trank1	5.09	8.53	4.04	14.55	0.0	0.0	18.67	21.61	29.62	2.01	5.99	0.8	55.76	0.0	4.97	8.08	5.08	3.7	0.06	6.46	3.12	0.7	2.44	16.21	9.41	0.15	3.11	12.6	1.13	14.44	14.33	15.04	9.6	18.6	4.81	9.35	9.5	2.55	0.0	20.12	0.02	4.41	9.08	1.48	3.87	2.87	1.98	0.17	11.33	33.25	0.0	1.29	7.81	29.32	1.24	0.04	28.19	8.18	0.09	5.65	10.52	0.0	16.31	12.99	22.16	13.68	19.27	20.82	10.96	12.81	15.91	13.36	15.69	140.49	127.25	159.33
Trim28	26.57	36.96	29.25	0.66	0.0	0.0	0.0	46.56	49.96	0.6	0.0	72.12	0.0	0.0	3.94	12.07	43.09	0.0	0.26	58.34	74.64	2.8	32.23	1.33	0.0	1.67	0.0	0.0	49.32	0.0	0.09	0.61	0.0	2.46	0.0	0.0	0.07	67.84	1.39	0.22	0.0	0.06	2.9	0.0	1.09	3.04	0.0	0.0	39.68	26.67	0.0	0.0	0.0	0.21	10.65	0.75	164.57	0.06	2.61	0.27	30.8	0.0	16.8	13.97	21.69	9.03	7.28	18.94	14.59	20.64	21.83	8.46	14.2	86.22	96.76	85.68
Tulp3	0.95	0.32	0.2	0.55	0.0	0.0	6.28	0.0	2.75	0.0	0.74	0.0	0.0	0.0	0.54	0.43	0.02	0.37	0.39	0.31	0.24	0.57	1.22	0.74	4.99	0.23	0.36	0.54	0.19	0.76	0.81	0.51	0.0	0.46	0.43	0.19	0.5	0.5	0.08	0.14	0.38	0.45	0.25	0.17	0.0	0.28	8.75	0.96	6.52	2.73	0.19	0.51	0.0	4.16	0.17	0.13	38.98	0.06	0.27	8.41	0.51	0.0	7.44	6.32	0.5	5.48	4.16	0.25	11.17	1.12	1.32	3.45	2.46	14.82	15.52	13.9
Ube2g2	0.0	0.37	0.0	0.27	0.0	0.0	239.54	5.98	174.78	0.0	3.55	94.24	112.5	0.0	43.79	75.78	53.75	145.8	0.0	0.07	0.42	47.25	107.46	0.0	31.96	49.52	0.21	0.92	0.0	53.67	105.98	2.78	0.0	0.0	0.0	0.16	52.34	30.52	124.36	0.0	145.07	0.0	56.69	80.93	0.0	43.5	60.11	0.25	41.44	2.24	0.0	54.51	2.44	136.01	0.0	95.24	242.19	62.94	1.39	0.0	0.05	0.0	44.25	50.27	12.26	55.7	41.51	83.78	28.36	67.69	13.36	29.76	30.74	56.0	57.16	52.18
