	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_5	Calb2_tdTpositive_cell_17	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_60	Calb2_tdTpositive_cell_63	Chrna2_tdTpositive_cell_1	Chrna2_tdTpositive_cell_8	Chrna2_tdTpositive_cell_71	Chrna2_tdTpositive_cell_81	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_35	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_60	Gad2_tdTpositive_cell_63	Gad2_tdTpositive_cell_79	Htr3a_tdTpositive_cell_3	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_29	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_54	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_63	Htr3a_tdTpositive_cell_67	Htr3a_tdTpositive_cell_69	Htr3a_tdTpositive_cell_75	Htr3a_tdTpositive_cell_77	Htr3a_tdTpositive_cell_80	Htr3a_tdTpositive_cell_88	Htr3a_tdTpositive_cell_92	Htr3a_tdTpositive_cell_102	Htr3a_tdTpositive_cell_112	Ndnf_tdTpositive_cell_10	Nos1_tdTpositive_cell_5	Ntsr1_tdTnegative_cell_55	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_31	Vip_tdTpositive_cell_33	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_69
Snx10	286.34	141.95	68.19	187.79	192.13	1111.95	75.88	0.0	0.0	188.87	233.94	265.81	365.46	446.13	503.05	7.08	363.77	0.0	0.0	0.0	475.67	0.0	0.0	342.04	460.56	53.15	287.73	480.74	276.12	596.39	0.0	339.6	180.32	0.0	499.41	121.77	867.35	217.88	422.21	395.33	428.88	79.99	7.03	122.04	245.22	514.47	171.57	234.23	88.34	410.18	402.21	289.23	295.12	199.77	508.54	211.5	247.15	0.0	216.67	889.08	120.59	0.0	0.0	52.8	0.0	0.0	0.0	192.09	131.55	140.83	221.43	747.69	525.81	590.21	774.89	580.2	0.54
Stmn2	121.54	235.87	305.06	60.4	716.47	812.25	110.43	198.07	208.27	162.63	79.74	317.04	586.59	530.91	1182.74	1107.83	1471.99	0.0	0.0	0.0	0.24	0.0	0.0	907.66	183.26	0.3	588.35	510.97	56.78	700.43	0.0	670.72	97.41	459.87	119.59	74.23	340.97	66.62	391.07	0.14	491.48	318.17	90.02	205.39	0.82	182.26	0.2	548.57	73.46	86.01	623.09	782.25	616.28	426.14	1595.25	724.65	686.55	0.0	474.42	1261.29	474.47	0.0	0.0	0.0	0.0	0.0	0.0	554.81	253.71	526.27	0.8	470.93	221.12	702.15	709.87	1419.71	301.27
Strbp	95.15	82.02	103.41	61.66	0.72	105.49	42.37	147.08	39.6	76.23	107.7	133.69	94.93	94.86	102.48	1.71	128.52	0.1	0.32	0.22	0.39	0.09	0.17	74.73	2.32	153.25	155.37	198.61	116.87	169.32	152.0	212.0	105.16	33.15	23.56	66.16	17.69	1.28	45.04	21.26	17.46	164.46	144.09	23.3	57.22	108.28	135.07	61.0	89.34	189.67	95.39	121.16	65.72	122.24	86.15	78.9	126.64	0.54	135.09	259.75	69.64	0.19	0.99	0.61	0.55	0.21	0.0	22.93	124.83	125.61	43.75	4.47	102.45	252.19	134.26	141.44	2.54
Tcf4	603.95	536.15	265.76	442.9	673.42	633.11	301.82	434.9	376.23	467.74	384.53	512.71	510.09	495.38	444.95	451.23	338.2	12.94	40.93	4.21	206.84	32.96	8.54	513.25	221.23	754.94	477.15	781.19	632.91	730.47	339.73	571.37	204.77	534.77	296.02	248.48	612.27	204.56	392.17	138.93	400.77	394.43	471.9	345.66	401.46	201.66	447.8	712.62	521.09	583.05	298.5	361.32	613.0	648.3	362.87	428.02	580.95	181.94	359.05	301.81	55.9	0.0	0.62	0.03	171.01	126.47	3.35	279.05	180.55	532.84	658.83	438.86	376.95	389.37	492.62	428.56	92.92
Thrb	402.29	307.95	497.24	412.94	63.27	74.14	390.6	0.07	279.11	277.12	102.54	137.29	287.58	159.69	498.98	356.41	366.52	0.0	0.0	0.0	0.0	0.0	0.0	421.18	0.17	506.78	1271.11	619.45	152.71	549.81	199.07	385.61	214.91	252.04	191.85	55.58	492.7	216.35	178.42	92.78	103.11	272.33	230.99	232.34	103.38	161.94	654.89	356.1	154.75	283.12	743.4	164.38	129.4	357.88	94.32	338.76	184.53	0.0	154.46	213.82	26.38	0.0	0.09	0.03	0.0	0.07	0.0	219.71	90.29	0.23	0.5	67.41	385.12	482.23	420.88	268.39	287.62
Tpbg	0.13	0.0	73.26	0.0	7.78	19.79	0.0	0.0	0.0	0.38	0.0	0.0	3.72	41.1	51.91	212.71	54.73	0.0	0.0	0.0	0.0	0.0	0.0	289.98	0.3	0.16	6.94	91.61	0.14	2.82	0.0	66.9	0.0	0.25	0.0	0.11	0.8	0.0	0.19	0.59	0.0	0.57	0.0	0.0	0.67	0.0	0.0	18.26	0.11	0.0	75.58	125.73	75.15	0.0	2.12	47.6	0.11	0.0	75.41	9.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.55	103.14	90.03	3.79	14.06	0.51
Tspyl5	98.6	27.89	138.87	282.12	236.44	234.77	255.12	239.6	145.11	68.4	54.07	215.97	260.43	319.84	198.12	188.37	178.52	0.0	0.0	0.08	0.11	0.0	0.0	239.0	59.44	182.26	190.71	425.48	174.12	193.98	111.6	106.65	62.84	156.22	171.38	17.2	44.51	149.25	88.26	173.86	118.65	262.66	151.73	76.6	60.91	102.71	87.49	189.73	104.92	44.19	79.92	141.49	2.74	46.11	159.81	62.63	56.43	0.0	0.42	265.44	119.1	0.0	0.0	0.0	0.0	0.0	0.0	133.14	43.84	74.48	198.67	188.39	132.72	108.1	109.24	282.4	0.22
Uchl1	82.73	101.97	209.55	126.95	156.87	331.76	244.09	167.5	0.0	44.36	239.56	0.0	17.35	497.15	355.59	490.39	468.0	0.0	0.0	0.3	0.0	0.0	0.0	142.22	0.0	89.76	257.33	91.64	269.56	67.56	68.22	284.61	454.53	137.02	108.15	0.0	226.52	0.0	49.95	126.04	0.0	7.88	0.76	17.86	0.35	0.0	0.51	130.22	0.35	74.25	380.24	610.29	445.63	211.58	246.19	756.27	127.95	0.0	277.69	518.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.46	152.49	0.45	0.0	231.19	252.37	7.03	456.08	0.0
Usp22	283.3	460.34	430.23	365.63	709.25	236.7	191.54	801.05	147.24	177.26	31.44	598.02	952.92	1141.89	1118.59	242.13	798.73	0.11	0.0	47.61	0.1	381.21	226.74	742.44	753.93	117.84	794.89	732.68	278.76	788.18	0.0	803.49	401.94	342.39	463.22	145.43	258.95	678.71	526.6	168.19	187.81	448.48	283.03	443.96	129.82	646.54	766.65	745.96	745.29	962.54	651.11	888.33	464.45	808.82	872.89	590.31	331.2	0.0	271.34	1087.92	622.79	0.0	0.0	140.96	0.0	62.18	88.38	0.46	93.65	419.02	442.59	849.37	424.62	462.88	947.34	694.54	351.6
Vip	20048.18	17051.42	18420.92	26849.21	24688.7	27223.39	32658.1	48402.26	18653.0	19652.48	35690.76	21970.5	16914.67	17752.55	22508.45	26835.38	17526.53	0.0	0.0	0.0	0.0	0.0	0.0	24307.74	42738.55	19221.37	23972.72	18697.63	20043.81	21062.13	13833.32	18726.8	25538.7	39789.49	29215.94	34420.5	22353.39	53179.5	32676.37	22309.91	46837.05	23764.13	32241.62	20217.1	20890.09	26385.26	23582.35	19253.14	23865.54	19091.82	19135.39	22500.8	20201.33	18089.18	25309.04	19815.22	18099.69	0.0	24233.05	20285.51	14680.95	0.0	0.0	0.0	0.0	0.0	0.0	19024.52	17206.39	18390.47	14881.0	15677.98	14188.84	13189.75	15582.92	16090.83	10182.14
Vstm2a	1224.5	257.33	240.24	327.8	34.31	414.0	652.55	347.27	214.42	686.5	399.54	470.33	899.4	1023.24	926.67	675.28	429.59	0.0	0.0	0.0	0.0	0.0	0.0	751.31	271.44	1272.57	1161.91	1479.21	363.05	502.95	71.55	1015.02	536.71	161.15	98.53	230.77	315.8	441.5	592.41	448.15	781.47	80.22	379.85	420.48	246.76	617.43	110.22	753.11	728.51	219.31	252.93	513.27	497.66	1008.22	709.29	1139.02	867.96	0.0	586.78	471.35	183.67	0.0	0.0	0.05	0.0	0.0	0.0	381.58	63.91	546.79	367.82	1133.8	640.34	916.48	115.31	687.19	1.22
Zfp329	68.8	78.46	4.15	88.28	180.69	38.91	7.13	140.13	44.92	12.92	11.58	149.57	0.0	0.12	107.26	77.06	29.54	0.0	0.06	0.37	0.06	0.4	0.18	52.01	54.47	0.16	9.08	73.01	39.05	77.08	24.35	0.31	0.08	159.13	92.18	0.13	9.79	20.25	5.45	41.71	8.95	0.05	11.93	25.32	60.22	39.28	0.1	0.0	0.45	28.41	40.13	106.56	31.6	72.35	0.0	28.02	65.54	0.25	10.68	83.58	0.09	0.21	0.0	0.26	0.17	0.05	0.08	0.31	30.19	42.47	0.5	44.55	14.99	34.48	0.17	110.18	0.06
