	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_62	Cux2_tdTpositive_cell_63	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_11	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_74	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_11	Nkx2.1_tdTpositive_cell_12	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_39	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_41	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_43	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_57	Pvalb_tdTpositive_cell_58	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_61	Pvalb_tdTpositive_cell_62	Pvalb_tdTpositive_cell_64	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_79	Pvalb_tdTpositive_cell_80	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_20	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_31	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_13	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_32	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_75	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_79	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_82	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_84	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_21	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_12	Slc17a6_tdTpositive_cell_19	Sst_tdTpositive_cell_56	Tac2_tdTpositive_cell_1	Tac2_tdTpositive_cell_6	Tac2_tdTpositive_cell_7	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_25
Kcnab1	0.0	0.12	87.51	0.0	272.96	740.4	0.0	0.0	599.77	25.06	362.65	608.71	377.04	549.47	636.35	257.17	0.0	0.0	0.0	321.86	188.89	127.66	319.52	294.36	429.85	235.4	475.12	0.0	15.17	0.0	17.75	0.2	388.75	424.77	342.74	312.96	498.33	437.57	338.11	440.1	684.16	302.46	669.3	449.11	724.18	595.28	167.67	679.62	96.1	382.89	310.32	366.23	256.7	483.66	504.97	577.41	132.29	82.71	51.64	335.32	355.14	447.24	269.99	253.31	78.21	705.31	0.1	228.66	258.41	416.28	255.64	550.52	563.57	447.83	251.16	297.21	709.7	134.35	426.89	0.41	439.02	11.08	150.75	387.08	509.58	487.96	570.81	566.29	554.35	457.26	210.36	487.23	629.94	94.1	133.06	211.96	229.99	306.0	177.54	246.65	805.16	680.63	416.82	797.38	138.65	262.75	458.87	225.91	294.64	383.56	420.53	341.38	372.39	500.9	465.97	253.2	439.55	492.6	840.28	307.78	341.76	584.31	376.81	520.99	475.89	425.44	492.54	204.4	533.61	428.24	210.11	562.04	483.83	420.04	358.67	321.91	317.77	543.34	529.02	414.27	323.55	242.37	753.06	277.59	232.14	490.77	0.0	0.0	0.18	0.12	0.0	0.0	0.0	375.17	461.83	147.1	356.99	0.0	0.0
Kcnab2	0.0	0.82	78.75	0.2	125.93	50.57	0.0	0.0	54.62	0.31	56.32	34.78	25.04	2.69	45.03	96.91	0.0	0.0	0.0	41.6	28.22	8.56	23.84	2.49	36.88	2.61	39.01	0.0	0.0	0.0	0.0	0.0	61.03	19.58	47.5	45.26	22.24	87.19	21.11	102.87	58.06	20.21	23.79	20.95	116.01	58.4	32.12	61.28	5.19	23.29	41.04	26.51	56.58	27.07	89.61	25.1	36.84	65.46	4.56	87.95	1.19	22.53	1.84	50.09	42.22	34.2	14.55	0.67	29.97	34.78	77.57	24.1	83.49	88.78	8.73	62.11	61.86	45.03	53.29	116.29	113.61	6.57	28.57	33.32	56.54	29.63	77.34	36.38	118.17	49.89	37.73	26.18	85.61	17.21	64.08	40.51	73.2	38.44	76.12	44.07	78.22	43.88	35.72	51.52	22.14	28.08	114.13	50.84	92.95	2.83	36.56	41.09	25.17	30.58	53.47	11.95	57.17	35.16	69.58	45.27	49.91	57.48	62.75	40.46	36.58	65.92	16.1	37.69	101.04	72.34	22.4	84.42	95.73	1.2	30.07	47.5	52.5	133.47	126.13	30.38	79.62	114.32	58.0	43.18	150.1	98.54	0.0	0.0	0.0	0.41	0.0	0.0	37.3	30.04	20.05	1.65	13.22	0.39	11.09
Kcnab3	0.0	0.0	1.3	0.0	1.31	67.94	0.0	0.0	82.46	2.29	90.12	5.0	37.85	0.0	0.12	201.86	0.0	0.0	0.0	157.84	74.8	0.73	43.02	190.91	101.55	225.05	61.76	0.0	0.0	0.0	0.0	0.24	80.74	30.72	22.97	21.13	68.59	58.39	131.83	100.67	121.76	126.89	87.06	0.0	32.44	39.84	5.92	61.33	88.48	17.2	81.37	42.62	180.55	84.8	73.57	35.68	0.3	77.34	105.43	160.74	104.94	88.64	43.01	105.88	42.76	48.39	1.84	64.9	88.55	135.99	192.41	202.72	48.33	37.69	24.99	110.35	60.9	94.2	57.31	116.67	88.22	0.2	102.01	72.25	80.64	104.91	209.83	132.7	233.94	188.26	45.0	57.63	98.49	77.58	110.08	132.55	227.59	5.18	60.58	71.38	190.39	32.76	106.14	109.28	30.01	56.94	185.65	122.48	63.48	109.18	47.72	112.85	104.81	112.8	115.29	227.93	63.29	44.07	196.82	184.04	188.66	146.53	31.69	43.59	25.7	93.51	192.23	239.79	134.08	80.91	146.18	41.27	106.25	8.62	55.94	54.48	0.0	153.86	103.06	290.24	137.44	62.42	113.44	30.29	154.5	149.29	0.0	0.0	0.0	0.29	0.0	0.0	0.0	41.99	78.12	89.95	123.84	0.0	20.11
Kcnc1	0.16	0.03	75.95	50.38	41.32	81.1	0.15	0.0	28.09	29.69	53.55	61.63	42.45	28.03	49.57	58.19	0.0	0.0	0.37	82.71	45.3	54.53	31.73	50.48	34.26	72.61	49.74	0.07	0.64	0.0	0.0	0.0	80.85	67.28	77.82	74.02	49.79	107.15	73.05	64.73	73.76	91.0	65.88	73.4	89.51	75.47	48.42	84.17	68.73	108.09	94.14	46.65	77.61	51.94	96.22	80.9	81.63	116.05	78.93	69.42	84.49	114.84	35.3	45.33	61.43	78.39	36.48	62.3	26.26	46.31	68.03	65.98	81.58	69.72	51.68	40.82	39.93	35.14	81.58	67.2	80.3	35.46	38.92	61.05	81.63	69.5	90.6	100.5	36.48	121.18	68.51	142.51	81.33	83.53	52.3	78.48	106.68	27.76	62.53	66.6	66.27	59.41	41.77	84.98	90.96	63.08	29.78	66.95	58.66	40.31	71.41	92.14	85.62	56.11	41.54	60.31	80.19	66.41	113.62	46.65	56.5	136.16	40.86	101.42	24.45	88.99	63.24	29.1	120.33	99.23	69.98	89.17	55.95	71.38	88.93	63.33	38.87	113.4	81.49	148.59	53.47	54.29	86.24	53.88	106.94	73.73	0.12	0.0	0.0	0.3	0.08	0.0	0.0	57.47	23.75	16.08	79.83	0.07	0.93
Ldhb	7486.96	6607.22	8138.08	8970.97	7028.63	7195.62	5404.32	5274.92	7241.68	5500.83	9309.63	6819.53	7692.96	8204.16	6604.57	8550.52	4364.95	5876.73	5600.23	7548.96	7723.1	7026.65	6832.63	6736.85	6706.03	7326.56	8752.31	3732.24	4622.23	4338.23	4948.76	6399.01	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	7735.26	8217.62	8583.06	8302.41	8517.89	7520.49	9220.91	9343.6	6570.82	8808.99	8620.64	7074.56	8223.21	5652.61	8574.79	5920.89	10165.1	6613.08	9166.61	7814.88	9602.81	5915.04	5645.32	7785.08	6321.13	5751.11	7461.8	7095.88	7272.01	6844.28	8469.38	11261.44	8285.69	6969.49	6159.05	10004.69	7259.91	6263.78	6844.62	8757.21	9074.03	6082.08	13571.31	5440.49	6655.09	12546.17	7218.63	7758.33	9106.97	6125.9	8513.41	9755.78	7935.39	8904.1	8390.99	7659.83	11010.48	6292.62	8275.76	5078.7	7686.04	8671.45	6703.36	7724.63	10182.84	6673.69	6251.75	5744.21	5888.35	7057.76	6851.78	7891.81	7551.43	6831.71	7750.55	7070.46	7124.4	6379.79	7739.08	7194.73	7205.83	6728.17	7185.39	9082.37	7352.41	7441.82	6343.21	7928.56	7199.93	6498.69	7910.47	6628.6	7322.67	7844.79	5877.43	5994.56	6796.56	8351.44	6259.84	7175.32	7830.1	6907.68	8111.86	7493.59	8045.48	6971.5	8330.83	11746.38	3251.53	2798.49	2749.36	5873.38	3719.56	5577.5	4405.63	7184.19	6065.31	6360.56	6577.4	2264.05	2375.32
Luzp1	0.0	0.03	12.07	0.0	28.79	43.63	0.0	0.0	14.61	0.15	38.78	7.76	19.03	62.11	28.28	10.01	0.04	0.0	0.0	1.93	24.75	11.74	3.48	24.42	15.28	38.4	5.6	0.0	19.82	40.47	0.0	9.61	62.47	19.93	35.96	26.74	32.65	39.77	63.43	50.62	23.22	18.28	105.4	22.91	29.81	11.79	32.46	26.92	16.11	17.02	51.05	25.8	30.65	15.34	21.09	27.13	15.06	27.74	0.06	10.72	21.67	31.83	2.56	9.47	46.15	59.0	23.86	14.84	31.5	7.05	6.54	35.41	15.6	5.27	30.4	42.9	10.2	11.11	12.83	16.96	35.59	14.39	64.49	4.7	37.29	7.85	26.6	57.37	25.63	4.66	38.92	66.96	24.21	0.3	52.09	9.52	32.82	9.94	7.56	8.55	41.33	25.23	41.44	13.54	8.91	16.2	53.53	27.62	29.44	43.19	7.15	4.58	3.42	24.29	67.68	14.17	41.95	19.63	26.87	39.61	6.02	18.38	17.66	64.34	50.08	44.66	9.06	38.44	16.44	35.11	4.37	18.91	34.28	14.83	22.21	48.31	10.53	56.11	34.91	1.68	43.9	0.93	0.89	30.2	8.46	13.01	0.0	0.0	0.0	0.0	0.0	0.0	20.51	17.78	31.18	13.13	25.9	12.7	11.6
Lynx1	0.0	20.23	120.74	0.0	89.75	42.35	0.0	0.0	35.15	16.66	107.58	152.33	64.23	11.99	67.03	23.68	0.0	0.0	0.0	246.06	51.6	89.35	19.69	80.75	11.92	222.59	31.97	0.0	0.0	0.0	0.0	2.1	100.39	70.47	35.04	62.83	75.41	68.36	124.59	37.39	38.25	53.41	42.12	98.88	44.28	145.97	73.35	44.34	8.21	95.75	60.56	33.65	55.88	42.62	78.67	41.06	14.93	20.27	26.67	18.11	74.88	146.48	54.22	16.36	83.37	15.63	0.2	29.31	0.53	7.87	60.67	12.71	99.02	52.23	50.62	31.31	6.52	72.26	127.61	64.27	63.06	1.43	85.91	75.27	69.89	70.01	91.7	92.24	72.52	12.11	150.0	75.15	50.35	69.5	26.03	47.0	131.26	41.42	161.04	113.5	124.26	55.22	111.63	84.06	69.11	104.54	44.59	114.95	87.42	18.47	32.11	78.93	56.47	45.45	105.23	11.64	53.19	0.93	42.33	105.46	29.92	71.33	98.03	116.36	142.49	141.77	90.81	175.87	70.23	55.53	124.07	136.59	3.1	49.41	92.85	144.99	78.64	125.41	162.26	124.38	66.57	95.73	103.44	167.0	66.68	70.91	0.0	0.09	0.0	0.09	0.0	0.0	70.87	166.05	61.98	18.21	49.31	80.87	12.51
Lysmd2	0.0	113.6	181.25	211.53	80.84	104.75	0.0	0.0	0.0	93.89	105.37	109.24	57.14	0.0	133.34	99.02	0.26	0.0	0.0	47.97	86.91	17.09	191.06	127.22	126.91	0.0	208.81	0.0	0.0	38.35	0.0	0.0	45.7	136.33	116.27	143.72	26.29	157.03	0.0	60.22	69.81	240.16	82.29	27.57	104.32	100.13	100.45	275.35	0.0	73.95	89.45	156.15	82.95	269.13	220.26	104.21	146.78	134.05	150.34	0.0	0.0	0.0	129.62	47.75	52.56	118.43	34.43	231.28	0.0	14.05	133.86	29.4	162.99	142.84	82.21	58.05	129.42	129.45	135.43	352.51	34.57	9.3	97.62	121.77	58.33	48.67	174.9	82.03	65.17	101.11	71.24	68.93	109.51	0.39	107.64	141.91	0.0	19.7	41.31	0.0	0.0	97.62	198.23	158.89	17.17	111.87	124.15	131.92	66.38	205.14	49.97	79.91	175.65	84.89	214.58	121.69	227.92	78.71	110.44	32.67	0.0	100.02	114.24	128.22	144.8	142.63	68.1	57.97	51.61	74.3	0.0	55.76	4.54	43.87	0.0	59.43	83.75	176.58	126.9	93.67	235.05	73.27	61.71	68.13	181.5	116.38	0.0	0.3	0.0	0.32	0.0	0.0	0.64	95.26	135.99	281.18	131.99	202.45	277.34
Mpi	0.0	82.45	206.3	0.0	134.06	171.56	0.0	0.0	219.48	87.42	99.69	97.96	64.87	224.03	72.25	185.05	0.0	0.16	862.95	83.19	172.14	2.67	91.23	240.51	70.97	87.23	135.29	0.0	0.0	0.0	0.0	0.0	242.05	176.03	140.69	37.44	186.96	120.23	123.94	107.96	92.43	241.43	120.49	195.5	153.87	203.5	0.0	268.32	0.37	27.37	2.23	163.11	326.32	63.25	105.08	133.27	0.89	58.68	183.59	37.79	212.26	40.6	7.71	86.18	191.45	85.16	0.0	198.77	0.0	161.89	213.57	139.73	3.23	189.19	72.78	0.0	170.57	103.96	59.32	103.46	59.53	109.09	123.43	177.38	176.8	155.54	37.97	339.51	46.08	203.42	413.79	200.4	236.7	0.0	0.31	7.32	234.29	74.09	227.72	5.73	287.96	0.0	248.29	73.87	0.0	32.91	237.83	263.91	85.19	81.39	436.09	70.99	134.17	271.12	66.74	63.42	168.14	21.05	66.83	9.2	59.32	128.44	85.27	153.3	12.87	21.47	5.27	243.56	125.35	139.47	84.79	63.49	155.77	98.38	75.26	185.49	0.26	3.28	114.37	0.18	213.89	54.49	1.6	518.42	6.62	61.81	0.0	0.2	424.21	165.6	0.0	234.59	85.92	335.19	103.23	15.04	139.57	12.38	0.17
Mrpl10	0.63	15.87	2.89	1.76	208.17	115.62	4.79	3.32	88.52	71.7	71.16	5.43	0.36	0.93	104.42	3.26	950.98	2.36	4.93	51.29	61.4	4.92	62.62	85.87	11.96	3.29	106.51	8.23	2.11	2.42	2.61	3.87	68.91	113.35	66.62	15.61	83.27	26.24	90.53	63.51	140.76	126.22	111.88	10.17	110.32	86.48	167.91	19.24	57.77	141.74	8.25	172.97	118.1	45.13	4.18	168.03	1.8	54.11	124.28	111.75	63.07	108.38	135.95	1.95	19.3	1.08	228.71	55.92	5.35	168.3	84.4	179.11	0.34	166.9	53.27	7.75	93.77	70.08	46.32	74.46	56.85	101.93	23.97	41.62	39.73	74.83	90.79	295.16	22.89	1.31	51.05	74.08	61.06	3.87	23.9	30.06	11.85	39.67	6.28	185.77	1.42	69.59	108.01	134.36	2.29	127.83	2.13	151.07	147.18	139.3	146.96	102.51	55.31	116.26	47.46	50.77	102.61	79.67	0.48	54.67	100.73	18.41	1.55	126.55	48.95	36.4	170.95	110.14	17.86	58.75	2.29	94.45	212.23	95.06	37.28	57.96	95.51	54.08	75.38	19.78	46.3	0.95	3.14	50.62	172.98	215.5	1.9	4.51	2.61	131.62	544.59	12.04	98.56	100.89	2.7	81.41	69.17	3.95	1.84
Mtap1a	0.12	19.69	1.07	0.04	35.11	18.86	0.09	0.24	34.47	26.29	39.5	26.65	46.44	16.14	44.94	15.85	0.0	0.07	0.12	70.18	23.88	20.46	12.77	16.86	26.25	22.75	18.47	0.07	0.54	0.03	0.0	0.46	35.91	35.57	27.87	80.19	32.83	27.1	49.88	13.87	25.01	78.12	59.45	26.81	47.91	51.61	30.37	51.52	69.83	29.59	21.79	27.05	38.02	12.93	39.82	51.6	3.77	41.49	25.02	69.28	15.63	39.15	27.74	21.9	36.08	50.51	43.65	87.33	43.73	48.68	43.89	37.87	74.87	62.03	21.9	40.11	19.24	2.85	62.74	48.87	58.63	0.93	49.82	26.33	65.89	48.32	29.3	47.38	25.66	41.34	32.52	32.65	36.44	21.3	42.28	52.96	40.04	37.76	42.72	15.04	15.69	51.77	53.55	27.54	36.54	24.8	22.63	40.85	15.94	58.18	26.05	29.56	41.14	27.07	34.3	37.71	78.79	28.92	50.76	10.83	26.85	34.51	27.7	42.49	27.88	51.41	35.14	33.23	54.38	46.4	55.12	16.54	2.18	27.28	21.46	67.23	55.69	56.97	21.58	25.03	39.43	25.14	16.27	50.14	15.73	59.79	0.07	0.27	0.09	1.73	0.03	0.0	12.78	33.67	33.5	24.21	33.49	18.7	0.36
Nat8l	0.0	5.03	0.0	0.0	18.73	49.88	0.0	0.0	44.73	0.03	21.49	44.06	43.33	0.0	15.18	39.47	0.09	0.0	0.0	52.27	12.87	8.56	64.33	60.63	8.82	83.21	67.2	0.0	0.19	0.0	0.0	0.18	39.2	18.13	41.62	51.18	25.97	32.88	18.91	48.27	55.9	60.64	103.94	31.53	108.26	52.29	30.94	83.2	21.6	39.77	12.11	45.54	53.91	48.06	50.39	28.22	43.52	114.13	36.63	32.55	21.53	9.59	30.62	54.38	26.63	32.89	40.92	35.78	75.25	9.99	35.16	29.34	10.82	50.04	10.25	54.82	59.11	6.77	62.19	66.72	51.88	11.2	37.4	39.07	40.7	2.61	34.49	90.66	31.07	41.38	19.2	55.65	57.41	73.79	24.73	65.97	73.02	5.2	22.06	62.8	86.25	75.75	119.04	36.28	27.18	18.71	42.66	61.45	14.56	74.23	44.0	21.55	16.52	69.83	89.46	11.0	50.41	70.94	40.89	65.31	25.76	64.41	23.95	44.68	102.17	35.79	58.98	50.4	63.61	37.25	13.35	35.62	45.07	47.29	27.32	49.12	79.73	69.77	161.43	35.08	68.83	58.68	22.22	62.04	26.91	101.06	0.0	0.0	0.0	0.17	0.06	0.0	16.95	15.26	13.11	25.68	7.07	0.34	1.76
Nceh1	0.0	191.5	39.79	84.38	117.01	126.96	0.0	0.0	178.58	51.66	192.8	224.01	47.96	0.11	137.66	147.14	0.07	196.16	0.0	200.34	93.84	174.53	58.72	151.9	80.57	165.58	81.33	0.0	0.0	0.0	0.0	0.13	198.98	141.6	155.9	175.42	285.55	296.48	137.24	153.62	146.4	185.13	167.56	118.27	112.52	155.03	110.84	155.85	62.73	105.83	198.35	81.17	63.27	125.4	156.69	132.26	322.33	38.06	200.95	94.62	107.06	214.75	107.21	121.23	238.95	131.25	234.66	199.54	255.48	28.28	98.16	54.08	118.55	157.38	167.55	88.57	276.89	205.57	144.62	22.26	75.83	91.77	95.61	92.41	245.96	180.65	140.11	192.75	154.46	236.98	150.73	129.93	77.3	334.66	54.19	90.78	85.09	149.18	148.87	75.57	66.3	120.17	83.43	127.26	159.64	249.56	277.98	195.83	123.99	97.69	91.79	55.82	240.7	116.88	257.48	47.86	96.52	338.23	185.01	111.61	44.41	231.56	126.77	138.78	88.86	151.41	172.72	179.28	214.03	91.92	100.85	183.71	254.06	63.94	106.86	73.36	88.66	219.92	291.46	125.21	183.02	222.84	124.16	213.7	148.77	165.58	0.0	0.08	0.04	0.25	0.0	0.0	37.85	139.12	104.21	109.89	19.86	124.65	56.16
Ndufaf4	5.45	14.25	18.38	0.0	31.92	14.52	0.0	0.0	94.78	24.6	28.65	100.26	39.94	131.1	170.05	95.72	1.4	0.0	0.0	92.64	77.6	82.99	92.46	73.39	112.4	19.52	71.65	0.0	0.0	0.0	0.0	7.53	102.39	66.8	68.93	58.46	88.7	86.93	222.77	63.4	68.08	96.58	49.08	28.6	17.96	110.69	84.26	53.34	116.6	74.82	26.15	130.72	11.13	109.68	137.99	53.58	49.64	0.33	71.2	32.27	92.5	111.21	94.6	69.97	52.99	62.56	40.58	54.38	11.95	35.35	24.19	39.56	84.15	72.03	40.78	0.0	36.26	21.25	77.18	76.88	78.52	20.7	96.94	119.48	83.6	72.04	58.67	36.57	89.01	55.95	107.73	23.78	59.11	164.07	86.85	21.67	98.56	83.85	92.58	33.85	28.24	131.6	148.6	182.2	174.87	141.7	73.06	64.62	0.43	132.11	169.84	226.7	98.8	23.57	125.26	90.91	78.32	56.92	15.05	119.42	28.51	121.46	93.69	82.27	104.7	67.11	6.86	83.17	70.88	91.87	41.62	99.35	11.48	48.44	82.32	72.87	66.13	0.0	55.84	1.97	70.5	42.44	58.31	43.48	33.97	152.25	0.0	0.0	0.0	0.1	0.0	0.0	79.04	111.11	70.33	79.23	136.25	0.54	16.22
Ndufs1	26.31	152.35	316.82	126.66	573.35	425.59	0.83	0.0	474.89	81.6	227.76	576.8	313.51	408.81	363.82	266.07	539.79	111.38	0.0	69.39	160.87	469.01	284.91	210.97	433.93	497.14	254.55	19.9	134.84	0.15	23.45	443.59	226.99	421.33	199.26	125.0	357.86	188.15	223.8	347.46	382.7	378.19	358.31	370.89	444.11	449.77	404.29	256.74	314.46	436.65	228.54	381.94	924.02	555.75	359.95	188.8	608.24	681.81	398.23	165.83	373.23	435.33	482.83	237.11	571.79	275.74	66.63	279.16	312.32	367.94	187.6	661.74	424.7	452.55	336.9	311.34	417.5	383.92	402.09	222.48	559.92	197.46	482.74	392.51	235.01	282.12	326.27	288.81	334.62	394.01	477.31	247.15	311.69	294.07	318.98	115.94	194.38	88.05	145.74	288.71	189.49	605.06	584.74	518.76	410.17	276.68	415.83	449.03	521.07	225.1	510.91	199.15	196.53	438.13	497.62	448.57	425.83	809.4	525.36	377.03	562.19	448.64	794.47	325.43	415.74	397.68	751.76	940.92	448.95	424.5	639.09	135.1	528.26	328.82	204.69	436.62	187.54	262.32	279.02	358.7	447.16	517.65	486.88	181.47	243.35	522.58	0.0	0.13	0.0	1.18	0.15	0.26	287.53	320.32	388.53	368.66	168.44	353.84	62.23
Ndufs2	0.0	238.91	233.49	0.0	384.02	109.69	511.07	0.0	519.82	595.27	684.21	436.69	147.49	824.0	502.13	251.13	0.19	0.35	0.0	466.26	323.57	476.95	308.77	261.27	330.26	442.64	442.29	1.05	0.0	0.0	579.52	586.82	739.7	517.1	357.95	129.0	546.73	464.49	316.42	545.93	1061.7	288.87	625.09	641.77	521.13	610.04	667.03	351.86	704.72	559.66	499.78	664.22	491.89	571.21	528.62	743.23	376.07	282.57	680.44	660.55	509.84	592.59	626.03	385.55	422.58	733.48	743.99	390.89	804.69	196.97	612.45	347.05	612.81	514.41	697.52	906.04	567.94	513.68	419.57	623.31	352.17	668.97	818.93	893.03	436.11	424.41	426.44	756.27	377.45	266.48	627.57	268.71	822.62	444.11	268.97	538.52	290.55	171.37	363.45	136.24	613.86	157.57	211.94	556.06	476.6	946.19	609.91	842.66	160.03	430.75	416.61	492.94	767.47	262.57	561.03	580.46	243.23	390.17	286.97	278.4	588.87	378.48	542.97	430.85	324.96	214.69	294.72	455.82	497.96	262.48	497.16	719.45	284.07	646.71	359.11	605.82	356.93	664.42	586.42	724.3	643.16	499.64	498.52	916.22	570.11	714.47	0.0	0.44	314.73	2.33	134.57	0.0	236.93	458.84	593.27	578.0	377.28	18.9	156.97
