	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_26	Cux2_tdTpositive_cell_47	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_93	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_12	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_31	Nr5a1_tdTpositive_cell_34	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_47	Nr5a1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_14	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_20	Rbp4_tdTpositive_cell_23	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_29	Rbp4_tdTpositive_cell_34	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_67	Rbp4_tdTpositive_cell_71	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_122	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_161	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_25	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_29	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_44	Rorb_tdTpositive_cell_46	Rorb_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_16	Scnn1a.Tg3_tdTpositive_cell_21	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTpositive_cell_69	Scnn1a.Tg3_tdTpositive_cell_71	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_39	Sst_tdTpositive_cell_68	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_8	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_29
Pgm2l1	135.12	148.49	101.1	128.56	186.29	305.62	215.73	72.52	116.22	89.16	148.42	0.0	35.06	54.11	161.62	0.0	0.0	0.0	184.96	50.34	133.15	322.89	58.72	110.03	94.06	359.97	50.55	125.43	0.0	0.0	0.6	180.88	0.04	0.04	167.96	256.22	195.53	114.44	202.28	220.68	249.64	273.6	111.39	89.96	184.28	309.25	205.86	163.53	251.12	195.58	243.27	694.56	397.75	0.03	0.16	0.0	244.51	262.08	319.05	342.21	110.45	164.95	327.59	327.24	326.99	58.43	128.23	112.08	165.55	67.98	0.0	0.0	0.0	111.73	164.54	96.19	57.68	126.13	142.98	142.54	251.88	105.55	97.12	46.16	221.78	172.23	205.95
Ptchd1	22.57	120.49	0.0	156.78	37.77	120.71	60.6	83.33	265.65	0.0	126.06	0.0	198.95	182.51	110.04	0.0	0.0	0.0	56.05	347.58	212.32	0.0	48.56	0.0	22.31	65.4	11.76	99.2	0.0	0.0	0.35	159.44	0.0	0.0	93.25	0.0	20.6	0.13	139.77	215.42	170.18	83.92	239.5	48.38	18.01	545.78	74.8	565.58	81.19	192.9	87.26	276.17	257.41	0.0	0.0	0.0	0.04	117.16	0.05	0.0	0.04	148.32	158.03	298.57	176.77	91.88	0.0	0.0	0.11	0.0	0.0	0.0	0.0	154.7	82.01	126.22	54.72	157.68	72.75	82.85	78.62	12.74	19.0	39.53	50.36	6.61	92.74
Rbfox3	89.89	114.42	0.0	11.29	55.38	26.52	36.27	105.46	127.79	28.04	41.13	0.0	29.13	1.67	5.18	0.0	0.0	0.16	178.6	76.29	89.59	51.68	34.53	16.02	1.04	25.93	6.52	7.01	0.0	0.0	0.96	39.03	0.0	0.0	57.6	30.56	59.58	47.56	28.3	33.37	48.94	78.51	17.92	39.39	36.86	64.69	74.84	25.02	2.0	48.62	7.21	57.17	56.89	0.0	0.0	0.0	123.79	104.62	94.09	73.96	37.64	52.84	51.42	42.35	31.35	141.78	69.09	341.53	60.64	14.51	0.0	0.0	0.0	8.62	50.13	55.09	12.3	40.84	22.48	2.41	30.77	126.13	14.77	108.92	24.82	12.75	27.45
Rpn1	9.62	150.95	289.61	0.0	51.16	107.49	54.1	19.53	0.0	1.94	218.46	188.07	5.41	0.0	0.39	1.78	0.0	0.0	5.63	0.0	0.0	92.85	69.45	6.6	0.0	0.0	0.41	57.81	164.92	0.0	0.16	20.96	0.0	0.0	215.22	59.36	55.87	116.79	2.09	111.43	55.44	0.08	8.16	0.0	41.83	143.03	18.5	176.73	44.79	76.71	142.65	102.43	0.0	0.0	0.12	1.2	41.83	71.43	54.79	246.41	79.42	53.21	85.33	0.05	128.79	0.2	109.69	0.25	117.74	1.63	0.57	0.0	3.77	254.14	0.0	157.97	3.67	59.6	58.41	62.57	11.8	0.0	0.07	0.0	60.02	33.84	0.77
Sept3	1.27	0.0	0.0	68.29	27.63	86.73	0.62	0.0	99.98	0.21	256.77	54.42	86.27	106.59	48.03	0.37	0.0	0.17	94.26	43.27	15.97	0.23	74.7	71.52	7.81	162.71	8.79	71.02	0.12	0.0	0.25	531.56	0.0	0.0	5.12	69.19	42.12	0.7	84.09	94.5	95.02	183.1	2.72	126.18	6.51	0.92	154.75	193.07	101.65	188.39	135.68	259.96	202.39	0.0	0.12	0.0	123.76	0.41	34.41	214.75	87.33	188.55	75.08	150.32	38.76	39.87	62.94	51.31	212.41	174.43	0.0	0.0	0.03	17.21	33.35	108.77	21.16	127.99	117.74	86.6	27.19	79.24	162.8	85.08	72.26	39.67	162.94
Sf3a3	0.23	237.47	0.38	200.87	107.25	42.61	0.18	116.44	225.18	0.0	353.61	39.57	0.0	376.02	16.33	0.0	0.0	0.0	166.53	184.9	334.43	0.0	146.45	0.18	0.19	125.4	0.0	115.06	0.0	0.0	0.0	0.33	0.16	0.0	11.91	39.65	266.58	0.0	101.48	75.37	0.21	77.27	6.37	79.11	0.0	100.83	38.38	3.7	145.58	218.06	0.0	0.0	1.14	0.0	0.26	9.7	0.16	114.8	20.23	5.0	0.82	0.0	20.62	172.35	1.61	71.89	0.0	0.0	0.0	9.49	0.0	0.0	6.04	556.85	251.81	33.37	8.29	136.19	98.47	0.21	119.91	250.28	19.68	0.0	24.33	166.41	112.47
Slc17a7	25.9	34.63	0.0	20.14	22.17	84.53	17.16	20.22	0.28	29.17	79.39	73.8	0.0	50.48	13.86	0.0	0.0	0.0	63.46	56.89	42.97	19.96	27.01	0.83	33.21	4.64	13.93	16.52	0.0	0.0	0.0	67.49	0.0	0.0	54.86	38.32	24.53	0.3	28.42	46.29	22.31	49.31	32.64	9.08	122.54	31.51	63.07	15.67	9.45	39.32	1.28	36.06	8.03	0.0	0.15	0.0	92.66	104.64	64.9	89.72	69.25	21.89	29.72	27.44	37.4	20.13	116.1	45.76	72.58	40.49	0.0	0.0	0.0	36.45	13.53	75.95	0.0	22.02	29.65	37.68	20.09	17.85	5.06	27.5	31.85	9.22	10.47
Slc25a22	35.63	0.0	0.0	21.54	36.17	208.31	62.13	69.48	0.0	0.0	43.58	0.0	50.86	167.47	238.42	0.0	0.0	0.0	0.17	119.44	165.99	106.5	1.74	10.83	62.22	0.41	38.89	1.11	0.0	0.0	1.37	0.43	0.0	0.0	9.26	111.37	8.0	0.35	172.32	116.6	54.57	76.53	126.58	33.54	38.83	45.88	124.51	0.0	1.18	122.36	1.92	30.95	4.95	0.0	0.0	0.25	109.43	0.45	21.05	120.57	92.06	9.09	157.09	40.09	188.47	47.37	56.24	13.16	5.34	36.74	0.27	0.0	0.0	0.78	0.0	43.33	78.09	57.24	94.63	2.58	26.29	0.0	0.38	47.88	41.19	40.7	28.86
Slc7a8	0.0	3.5	0.0	128.32	1.56	127.63	6.61	88.93	3.2	0.58	272.43	0.0	3.25	1.25	37.5	0.0	0.0	0.0	2.22	0.0	1.35	3.39	0.05	1.88	4.51	82.57	25.46	43.2	0.0	0.0	0.29	0.43	0.0	0.19	0.76	66.93	44.61	93.93	37.96	38.88	142.19	3.08	118.6	5.12	1.23	0.06	55.21	0.83	0.0	82.97	4.49	36.75	5.82	0.0	0.0	0.0	9.2	0.46	123.16	6.74	50.66	90.76	0.4	21.58	63.55	46.03	66.52	5.52	60.62	12.23	0.0	0.32	0.0	3.53	15.17	41.44	14.55	24.63	22.17	0.34	28.39	0.49	1.24	0.51	6.36	35.62	33.49
Sprr2a1	0.18	0.0	0.09	0.0	0.0	0.8	0.04	0.61	0.21	0.0	1.71	0.58	0.13	0.71	0.05	0.0	0.0	0.0	0.35	0.0	0.58	0.0	0.03	0.0	1.55	0.15	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.29	0.87	0.32	0.0	0.38	0.18	0.17	0.16	0.07	0.12	0.28	0.92	0.14	0.0	0.09	0.54	0.38	0.05	0.0	0.0	0.0	0.2	0.21	0.04	0.9	0.59	0.04	0.19	0.11	0.0	1.38	0.67	1.18	0.8	0.14	0.0	0.0	0.0	0.26	0.64	0.1	0.41	0.04	0.07	0.0	0.14	0.31	0.43	0.0	0.0	0.0	0.2
Sprr2a2	0.18	0.0	0.09	0.0	0.0	0.8	0.04	0.61	0.21	0.0	1.71	0.58	0.13	0.71	0.05	0.0	0.0	0.0	0.35	0.0	0.58	0.0	0.03	0.0	1.55	0.15	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.29	0.87	0.32	0.0	0.38	0.18	0.17	0.16	0.07	0.12	0.28	0.92	0.14	0.0	0.09	0.54	0.38	0.05	0.0	0.0	0.0	0.2	0.21	0.04	0.9	0.59	0.04	0.19	0.11	0.0	1.38	0.67	1.18	0.8	0.14	0.0	0.0	0.0	0.26	0.64	0.1	0.41	0.04	0.07	0.0	0.14	0.31	0.43	0.0	0.0	0.0	0.2
Stmn1	8115.46	9039.94	10414.48	10776.66	10587.49	9820.07	8897.34	7545.95	9473.65	8417.79	7139.74	11391.73	6873.38	10788.4	10862.63	3661.32	2682.21	2743.34	6567.34	7231.12	9729.87	7770.87	6113.0	9070.67	7571.36	12096.72	9467.14	8680.94	6105.52	3925.04	6131.07	9462.09	5921.51	10015.46	9224.38	10267.64	8617.95	8905.33	8156.45	6890.13	9644.83	7791.86	7828.75	7434.55	9355.99	7634.77	6754.57	8442.67	9374.93	8091.59	13005.25	8575.21	11961.92	5457.92	5765.28	6980.74	7113.82	7448.32	7953.01	8042.85	10665.83	7388.93	7826.55	8022.74	7156.62	6387.28	7040.87	7187.59	6165.55	7564.55	6841.51	6129.65	5307.39	9453.54	10788.95	9399.34	7022.28	5673.52	6595.8	8937.9	10789.21	9222.0	12161.23	10051.01	11287.74	9866.46	6810.85
Sv2b	260.57	152.41	66.41	15.24	106.27	373.99	173.76	67.82	103.81	361.2	147.03	98.18	0.0	317.96	140.47	0.0	0.0	0.0	97.66	29.57	82.45	78.85	67.95	116.48	217.56	153.07	24.9	81.65	0.0	0.0	1.19	2.23	0.0	0.0	383.08	246.13	230.71	72.49	178.09	201.5	143.69	248.89	148.54	205.51	172.73	227.22	403.3	212.6	203.08	524.69	67.88	149.61	11.51	0.05	0.08	0.12	137.38	129.18	337.25	78.3	194.46	262.16	65.55	57.19	50.18	190.37	339.06	30.29	138.73	317.27	0.0	0.0	0.0	1.18	100.87	177.58	0.0	103.62	89.9	73.27	102.0	1.79	103.63	128.54	17.43	46.01	154.67
Syn2	50.41	168.82	100.98	70.6	230.5	433.96	105.75	89.82	25.65	35.29	227.92	164.8	110.04	17.54	87.68	0.0	0.0	0.0	124.54	49.77	174.41	135.71	74.0	209.02	111.77	79.18	115.54	55.95	0.0	0.0	0.75	300.86	0.0	0.0	156.69	8.39	213.92	124.39	406.02	147.43	94.95	122.27	142.56	43.46	210.98	239.56	195.92	57.02	5.43	303.15	35.28	145.75	105.67	0.07	0.22	0.0	108.59	103.08	303.87	339.65	210.76	150.4	162.45	138.46	199.66	155.19	143.51	48.2	170.54	211.37	0.0	0.0	0.0	37.62	1.94	0.14	61.85	80.25	50.46	13.39	248.2	0.0	48.8	23.23	148.15	0.06	166.05
Tmem107	144.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.53	194.99	128.65	0.0	0.0	18.08	0.0	0.0	0.0	54.87	2.16	0.0	0.62	83.6	0.0	0.31	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	124.95	57.99	69.81	0.0	0.0	73.75	0.0	22.9	0.0	0.0	0.0	46.55	0.0	90.93	0.0	30.07	87.84	0.68	77.94	0.0	0.0	0.0	0.55	51.11	29.05	211.07	139.64	52.79	0.0	0.2	54.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.75	56.53	43.35	56.62	0.0	95.09	0.0	115.01	0.0	132.52	102.8	29.38
Unc80	18.48	50.71	0.0	16.04	11.1	64.93	12.54	114.08	3.0	11.79	113.69	22.68	12.72	30.01	23.05	0.0	0.0	0.0	57.13	100.16	77.48	19.84	51.36	1.73	30.79	48.37	7.58	49.47	0.0	0.0	0.0	7.87	0.0	0.0	56.74	77.03	52.58	34.05	26.4	40.08	44.18	69.3	33.52	26.36	9.11	70.6	58.43	29.22	29.65	18.71	30.49	114.71	138.99	0.0	0.0	0.0	46.34	32.19	27.86	100.2	32.31	20.93	22.15	39.54	82.37	93.66	49.78	71.54	5.43	90.29	0.0	0.0	0.0	35.23	45.31	17.7	43.53	34.35	30.52	42.11	39.37	53.61	5.86	57.02	40.92	6.85	90.29
Zcchc7	79.12	55.62	6.59	13.05	34.1	79.09	0.08	185.87	61.35	3.13	166.24	0.2	10.47	154.03	43.7	0.22	0.0	0.0	75.24	167.91	43.71	0.0	24.67	109.71	56.44	73.21	0.0	25.27	65.63	0.0	83.98	241.9	0.0	52.02	144.22	15.94	21.64	0.0	90.55	71.43	7.29	141.69	20.61	22.56	19.01	102.17	17.39	67.46	125.18	7.34	0.0	0.0	113.76	0.0	0.17	0.0	39.97	18.2	55.23	2.93	26.61	71.35	70.57	4.42	107.6	0.0	11.86	0.37	37.17	42.61	26.21	0.0	0.17	2.68	54.91	30.99	14.02	44.41	21.92	66.27	0.11	103.44	0.76	8.94	137.63	10.96	60.82
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	149.41	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	3.08	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.06	87.42	0.01	0.22	38.86	10.31	31.65	67.31	46.68	0.0	2.61	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.04	0.08	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.5	0.0	0.0	0.0	0.0	0.0	0.02	0.05	0.0	261.93	165.57	0.01	1.14	52.84	0.09	5.83	2.02	0.0	228.88
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	149.41	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	3.08	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.06	87.42	0.01	0.22	38.86	10.31	31.65	67.31	46.68	0.0	2.61	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.04	0.08	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.5	0.0	0.0	0.0	0.0	0.0	0.02	0.05	0.0	261.93	165.57	0.01	1.14	52.84	0.09	5.83	2.02	0.0	228.88
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	149.41	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	3.08	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.06	87.42	0.01	0.22	38.86	10.31	31.65	67.31	46.68	0.0	2.61	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.04	0.08	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.5	0.0	0.0	0.0	0.0	0.0	0.02	0.05	0.0	261.93	165.57	0.01	1.14	52.84	0.09	5.83	2.02	0.0	228.88
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	149.41	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	3.08	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.06	87.42	0.01	0.22	38.86	10.31	31.65	67.31	46.68	0.0	2.61	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.04	0.08	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.5	0.0	0.0	0.0	0.0	0.0	0.02	0.05	0.0	261.93	165.57	0.01	1.14	52.84	0.09	5.83	2.02	0.0	228.88
