	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTpositive_cell_9	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_25	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_12
Eef1e1	0.0	465.63	0.0	0.0	525.47	366.05	0.0	0.28	0.0	338.46	1.79	594.51	306.22	721.94	131.07	300.19	133.62	238.83	107.86	321.76	252.9	658.47	239.01	374.68	338.47	156.67	307.53	312.84	241.1	338.69	263.9	345.12	238.27	297.19	304.66	144.19	227.93	361.31	545.16	146.14	306.48	340.58	381.28	90.99	560.24	825.06	0.0	0.0
Eif2s1	343.4	218.92	0.17	0.15	1.29	161.3	0.36	0.21	0.43	44.84	479.7	73.51	130.71	172.64	66.52	113.42	82.62	228.58	221.67	143.43	119.46	49.22	107.53	323.39	84.62	164.32	134.96	45.28	110.54	197.52	132.27	69.03	207.88	108.54	92.82	68.94	12.6	256.76	128.8	238.27	242.77	52.63	49.88	176.6	59.62	0.13	494.82	0.0
Ergic2	0.0	111.47	0.0	0.0	0.0	71.29	0.0	0.0	0.0	61.23	0.84	190.06	150.37	347.54	177.73	253.12	209.79	157.96	20.16	158.38	202.45	271.1	177.04	51.32	77.3	106.11	147.52	112.43	166.89	68.48	198.07	160.82	122.83	193.15	91.0	158.54	127.14	270.64	225.64	229.28	100.19	73.21	211.46	167.25	153.94	0.0	1.47	0.0
Ermap	0.88	2.11	0.84	0.23	3.93	2.08	1.02	2.71	1.01	1.97	2.09	1.4	2.01	0.0	1.09	1.72	1.94	0.9	3.12	1.24	0.95	2.3	1.41	2.22	1.42	0.57	2.17	2.31	1.47	1.78	0.9	1.49	0.78	1.34	2.18	1.65	1.62	2.33	1.57	1.6	0.57	2.57	0.11	1.59	1.2	0.0	0.1	5.78
Fads1	0.0	46.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.37	0.0	25.77	0.0	0.14	2.2	0.0	0.0	0.0	4.57	0.0	0.0	73.21	2.04	0.0	0.0	0.0	40.42	29.05	83.6	4.08	0.45	0.8	1.24	0.88	0.0	0.0	2.73	0.0	0.0	0.0	0.16	0.0	65.42	0.22	38.75	0.0	0.0	0.0
Fam136a	0.0	199.28	0.0	0.0	0.0	189.97	0.0	0.0	0.0	174.74	0.0	0.0	128.5	84.84	8.16	0.86	73.03	7.88	121.39	137.4	0.0	0.0	0.0	119.8	146.58	58.53	74.63	90.74	268.16	0.0	2.99	90.04	78.21	93.99	47.51	62.75	54.06	209.49	0.0	192.56	10.57	120.06	78.84	108.88	0.0	0.0	0.0	0.0
Fam19a5	242.59	0.32	0.0	0.0	0.0	0.55	0.0	515.29	0.0	60.91	0.69	12.78	0.0	49.25	31.51	2.94	0.33	39.41	29.04	0.0	7.48	57.35	14.85	0.95	0.0	54.28	8.98	73.72	43.33	39.68	70.93	0.4	8.63	27.38	0.7	0.16	10.78	0.19	47.54	2.23	8.83	1.24	0.58	106.78	3.18	0.0	0.15	0.0
Fasn	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.27	0.0	2.95	0.0	1.41	1.46	0.0	0.09	3.72	0.08	0.08	10.51	6.03	1.72	0.27	0.0	0.0	4.68	0.06	0.0	7.45	0.6	0.0	0.0	0.06	1.42	0.0	0.0	0.11	7.63	0.0	2.67	9.59	0.0	0.0	0.0	2.25	1.93	0.0	0.0	0.0
Fert2	0.0	70.57	0.0	0.15	0.0	38.06	0.0	0.0	1.55	31.05	0.0	13.17	7.2	0.0	0.0	40.2	37.55	22.05	40.67	0.79	5.58	107.49	13.28	16.86	0.0	8.4	0.0	0.19	32.19	22.87	43.76	42.65	0.24	16.76	0.0	8.69	0.0	9.53	0.0	15.84	41.08	10.2	16.48	0.0	0.08	0.0	0.0	0.0
Fndc5	0.0	224.04	0.0	0.0	0.0	87.78	0.0	0.0	0.0	32.29	0.0	87.99	108.45	111.89	72.53	86.6	85.83	46.33	116.47	83.06	88.17	84.56	82.21	64.23	49.55	15.86	47.41	151.43	151.79	23.87	31.34	142.16	44.2	45.35	41.89	117.94	41.83	88.85	50.66	93.18	89.95	98.99	116.92	56.36	77.97	0.0	0.13	0.0
Fntb	0.0	0.0	0.0	0.0	346.59	79.12	0.0	0.0	658.3	11.65	0.0	34.32	0.82	0.0	0.0	0.0	29.53	0.0	23.87	25.34	0.0	71.72	0.0	34.15	34.83	0.0	6.34	0.0	0.11	82.1	0.0	79.24	32.73	0.0	0.0	35.02	18.0	0.0	0.0	42.83	39.88	0.0	0.0	14.58	0.99	0.0	0.14	0.0
Gars	0.0	0.0	0.0	0.0	0.0	141.83	0.0	0.0	0.0	85.73	0.25	40.3	56.77	3.87	59.97	26.21	93.11	246.35	130.72	139.61	33.02	93.58	70.67	56.82	35.65	42.78	40.8	168.43	207.57	88.71	11.48	18.86	77.73	188.78	27.6	106.63	80.38	108.01	148.41	108.12	84.42	33.5	27.68	44.57	12.41	0.0	0.0	0.0
Gga3	0.0	0.0	0.0	0.0	41.48	19.59	0.0	0.0	0.0	51.72	0.0	2.4	43.72	1.65	0.69	17.45	36.93	0.0	6.61	28.29	61.58	37.36	15.52	35.43	3.11	11.06	0.0	51.92	109.15	1.29	0.0	27.89	21.48	30.33	20.17	98.77	12.13	3.77	0.72	41.4	48.29	2.36	0.0	3.58	5.36	0.0	0.2	0.0
