	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_13	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_20	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_58	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Cux2_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_16	Nr5a1_tdTpositive_cell_19	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_29	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_4	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_25	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_59	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_11	Rbp4_tdTpositive_cell_27	Rbp4_tdTpositive_cell_37	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_102	Rbp4_tdTpositive_cell_103	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_16	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_56	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_67	Scnn1a.Tg3_tdTpositive_cell_73	Scnn1a.Tg3_tdTpositive_cell_80	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_99	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_40
Efhd2	237.27	144.51	57.47	34.41	105.66	182.08	60.31	0.0	37.28	0.0	18.03	23.17	56.09	396.04	13.44	4.86	53.26	1.36	0.0	0.0	0.46	3.17	8.67	0.0	20.27	127.64	3.41	0.11	51.79	256.4	238.48	34.43	36.73	49.52	218.97	98.49	227.66	142.91	107.68	21.58	69.18	0.0	58.96	110.13	182.87	55.27	117.58	46.58	80.24	68.24	148.93	0.0	0.48	3.88	135.72	17.09	71.94	7.68	199.89	0.0	7.96	72.89	145.49	156.93	127.88	0.0	62.42	14.7	40.98	143.08	0.0	142.54	120.52	210.44	172.65	192.31	183.35	153.76	164.31	142.85	142.89	130.74	108.17	112.36	0.0
Eif2s1	0.13	228.35	171.99	255.74	171.33	99.51	85.03	259.17	88.4	0.0	257.96	106.14	249.95	50.53	569.11	70.81	0.89	1.77	167.98	86.17	19.48	170.4	99.0	99.04	129.28	232.01	214.94	95.67	134.53	271.43	55.92	44.69	222.01	122.63	151.34	194.07	179.78	70.81	160.16	62.83	154.07	127.06	76.82	167.24	54.45	164.01	220.7	219.21	114.71	127.66	0.3	92.8	114.67	192.53	76.71	108.32	79.13	223.66	134.17	118.33	76.05	172.89	356.0	96.56	110.63	165.56	63.65	200.21	0.1	387.39	316.65	191.93	211.02	157.29	153.08	170.12	138.55	83.76	241.28	140.97	209.36	166.66	162.88	150.29	206.57
Emb	0.0	0.11	16.16	272.35	0.0	28.19	0.0	0.0	0.0	168.95	1.67	0.0	59.23	0.0	0.0	0.0	59.99	27.44	22.81	157.28	0.0	0.0	0.0	0.0	0.0	10.6	28.8	0.05	0.84	0.3	164.26	107.68	112.01	98.05	68.12	0.0	8.85	453.25	0.17	0.0	63.74	0.0	26.59	0.0	0.0	0.0	0.64	0.0	0.0	27.6	0.0	0.0	56.0	0.0	67.12	27.63	78.84	0.0	48.45	0.0	0.0	119.31	54.22	0.0	0.14	0.0	0.0	0.39	6.02	228.66	0.0	62.06	116.43	76.78	106.8	118.77	89.2	92.87	62.94	90.37	73.11	85.08	60.17	81.66	0.0
Exoc6	0.0	0.98	91.9	3.34	0.08	0.0	164.44	0.0	0.0	0.0	0.0	0.0	3.16	69.73	0.0	10.26	0.0	83.54	0.0	0.0	214.65	0.0	81.5	0.0	0.8	0.0	0.0	158.75	0.0	0.0	0.35	127.32	0.12	95.76	107.29	136.44	73.39	105.97	139.37	0.0	82.66	0.0	26.06	3.23	59.07	95.64	0.0	104.68	1.57	58.95	180.31	0.0	0.39	0.0	0.0	2.51	0.04	0.0	0.0	0.0	0.0	33.51	2.06	0.0	0.0	0.0	3.68	0.19	0.0	52.51	0.0	62.99	19.78	61.23	24.72	39.22	67.06	68.76	26.43	24.48	46.57	69.1	58.68	61.62	0.82
Fezf2	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	52.77	0.6	68.52	0.15	0.0	0.0	1.19	95.7	0.0	0.0	0.0	11.44	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	6.57	0.0	44.65	42.59	12.54	60.4	34.01	27.71	19.76	29.24	20.55	24.81	21.06	24.74	28.9	43.91
Foxp2	0.0	0.02	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.16	0.0	0.0	0.0	0.0	0.0	0.06	0.0	1.6	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	22.32	28.42	73.56	82.85	39.5	85.35	16.09	52.96	26.9	0.0	0.0	11.79	0.04	0.0	0.0	0.0	0.0	0.0	0.05	0.03	0.0	0.0	0.0	0.0	0.12	0.03	0.0	0.19	0.0	0.0	0.0	0.0	0.0	62.88	0.14	0.0	0.0	0.0	0.0	0.0	34.62	0.0	36.75	48.04	27.02	63.78	29.71	62.67	64.09	27.96	55.0	30.97	73.1	59.52	53.91	0.04
Gadd45a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.04	9.68	0.0	0.0	0.0	70.47	45.16	34.8	145.91	35.49	22.87	67.42	48.63	19.27	10.91	8.71	0.0	0.0	0.0	6.34	0.0	0.0	46.28	0.0	5.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	2.68	0.0	0.0	0.0	117.82	0.0	0.0	0.0	0.0	2.45	85.52	31.43	0.0	158.63	88.45	73.03	73.06	129.8	61.92	82.07	43.51	48.07	48.81	49.14	64.49	53.46	0.0
Gap43	0.6	384.95	116.7	129.97	221.41	0.0	8.64	461.62	118.6	277.13	6.47	287.43	230.97	121.39	0.0	110.37	0.89	68.28	5.47	535.5	0.0	345.98	1.54	314.36	4.47	350.95	34.92	138.21	174.91	830.03	549.27	768.35	452.22	515.53	1144.85	535.27	477.54	1359.19	116.46	88.82	178.24	966.36	123.78	216.48	241.02	407.85	1050.84	298.23	362.8	232.54	605.54	569.41	312.28	65.65	619.77	505.54	247.22	597.95	188.54	553.98	169.95	326.9	279.16	83.56	0.29	8.63	100.81	311.04	149.9	224.53	213.68	912.11	869.77	675.46	886.12	1019.4	789.7	687.61	963.64	602.19	845.87	775.15	696.29	806.0	1050.99
Garnl3	0.0	0.0	12.34	0.06	0.0	69.05	0.0	0.0	0.0	0.0	0.0	0.0	86.54	0.0	80.28	18.12	0.11	0.15	0.0	0.0	0.16	0.0	0.0	0.0	0.0	1.85	0.0	0.0	105.82	190.01	104.42	179.78	15.28	203.03	290.59	171.8	294.77	537.67	0.0	9.36	46.79	44.16	17.8	36.13	0.12	20.94	41.69	0.0	0.09	45.64	0.0	0.0	83.88	0.0	0.05	0.0	0.18	0.0	0.0	1.68	98.05	139.55	259.92	296.88	3.64	0.0	40.06	157.26	29.54	125.53	138.69	144.11	151.03	201.89	92.82	125.14	116.85	131.41	97.1	118.28	100.3	145.51	149.22	162.75	30.15
Gm1574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm2002	0.0	0.07	0.04	0.0	0.0	0.0	0.0	0.0	31.18	0.0	0.0	0.08	0.11	0.0	0.0	0.4	0.0	0.03	0.12	0.39	0.35	0.0	0.23	0.0	0.41	0.0	0.08	0.1	0.06	0.27	0.06	0.21	0.2	0.1	0.22	0.0	0.42	0.84	0.04	0.0	0.42	0.54	0.0	0.0	3.56	0.0	0.36	2.32	0.12	0.0	0.0	0.0	4.85	0.0	0.05	0.19	0.89	8.6	8.36	0.12	0.0	0.17	0.31	0.0	0.07	16.93	0.18	0.0	0.14	0.0	0.0	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	4.28	1.89	0.25
Gm5506	547.33	876.3	621.41	398.98	1161.86	921.92	442.06	1003.91	859.52	498.02	489.5	391.71	346.19	631.73	650.55	696.69	399.72	471.06	349.77	187.84	423.87	171.26	520.7	767.87	446.03	964.96	431.65	526.7	660.28	927.8	409.95	1253.95	1663.42	1150.95	1157.93	914.03	2386.33	1575.68	1550.49	1173.23	1036.07	366.65	674.33	1074.78	1462.15	1784.54	759.9	898.79	1054.99	716.22	596.45	540.25	704.74	655.18	418.48	683.08	215.36	712.74	595.15	685.51	438.33	494.82	946.62	487.87	551.26	505.77	654.96	747.08	380.34	1067.64	605.75	1188.99	1023.2	963.13	887.85	972.57	1103.37	1123.55	1114.45	1135.51	1087.49	1024.71	1100.05	1290.25	186.89
Gpi1	294.35	409.9	575.55	256.25	550.57	199.41	183.4	418.18	513.57	419.02	208.94	352.65	380.55	360.95	488.54	144.66	113.13	600.78	593.26	261.01	320.13	408.26	292.85	813.8	132.07	312.7	341.17	308.0	417.26	371.33	266.3	413.43	911.51	1020.39	1007.92	1440.92	795.31	729.59	904.99	802.45	553.19	422.67	628.06	573.91	933.09	520.93	744.57	478.37	720.05	752.8	466.83	420.28	233.91	582.33	58.46	170.67	195.0	249.1	421.97	573.89	342.91	265.53	1111.31	475.08	265.28	432.43	194.22	635.99	353.63	345.33	389.52	642.41	626.7	602.62	616.98	752.69	572.66	781.54	551.76	589.61	570.32	568.89	737.74	704.69	363.97
Gpr123	0.17	53.71	3.67	0.02	0.11	0.09	2.44	0.0	10.46	0.0	0.0	0.17	0.0	0.0	76.54	50.38	0.2	0.07	0.13	0.0	0.0	0.0	0.15	43.11	62.37	0.0	0.0	33.99	0.0	57.12	16.77	45.14	54.46	52.62	35.34	0.25	207.37	65.94	20.94	44.14	64.31	32.48	105.27	75.05	0.0	32.08	137.25	22.89	18.95	9.03	0.0	0.04	0.03	6.02	0.12	0.04	0.24	94.88	0.0	69.11	0.0	27.2	265.72	0.0	0.0	0.0	24.47	20.56	25.78	105.39	0.13	109.78	118.45	139.55	113.09	123.39	121.77	112.58	79.16	100.72	98.91	41.43	72.33	61.78	41.3
Gria3	114.7	172.31	332.83	0.25	69.69	0.0	0.0	13.11	0.24	25.54	0.0	0.0	408.65	180.89	0.0	0.12	0.62	17.7	0.04	0.84	0.0	0.12	0.0	0.0	51.21	10.06	38.19	0.0	0.0	238.42	196.91	416.66	233.33	202.73	304.44	572.3	416.29	156.29	284.1	326.26	164.74	0.1	78.57	148.43	74.02	285.68	148.31	167.14	13.69	174.8	0.0	50.73	0.03	0.06	11.19	0.12	0.53	0.06	26.94	70.24	1.2	77.08	223.89	0.0	116.85	0.0	11.17	123.64	0.39	337.16	313.91	142.27	209.89	253.01	197.47	158.66	231.22	212.28	133.98	187.87	181.84	335.92	241.89	223.69	0.0
Grp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	83.53	58.0	42.98	60.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.44	9.58	45.62	150.01	37.41	119.0	65.29	99.84	126.15	130.59	73.35	85.32	56.14	141.93
H2-T23	107.62	121.83	155.0	144.5	264.63	728.43	92.7	277.67	80.93	171.13	100.13	241.23	341.77	386.94	223.75	224.28	88.34	81.57	99.57	255.82	199.07	226.59	154.29	516.59	286.69	190.42	204.06	300.57	91.09	184.4	386.74	637.17	489.23	177.73	488.25	607.17	794.35	711.55	111.56	178.07	206.28	209.23	180.03	133.09	349.35	608.35	151.37	620.53	174.09	264.21	103.39	137.92	95.99	75.58	90.63	262.25	475.18	147.46	222.88	64.7	591.69	173.26	733.74	102.95	236.45	206.69	89.35	120.23	203.82	799.3	110.44	504.22	673.42	575.11	567.33	532.76	616.29	597.78	582.25	689.03	977.14	559.55	674.2	645.66	122.34
Hs3st2	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.07	75.95	0.0	22.71	2.76	70.49	0.0	35.01	1.95	58.43	5.51	0.0	0.0	43.87	0.0	15.3	53.59	0.0	30.87	39.58	63.09	0.0	0.0	0.0	0.0	0.0	0.0	5.08	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.53	29.15	35.54	36.64	29.75	28.01	6.67	30.71	8.19	8.83	27.2	29.39	30.42	0.11
Hs3st4	0.0	0.0	0.0	0.12	0.08	5.48	0.0	14.18	0.33	43.93	17.32	1.89	0.0	0.2	42.53	0.15	2.64	0.0	0.15	51.29	7.53	27.59	35.82	0.0	0.9	8.39	0.0	97.66	2.42	78.59	157.98	9.48	165.97	36.59	78.5	98.48	5.98	0.46	0.08	0.0	54.3	0.18	29.31	51.87	0.0	4.82	60.95	0.24	0.11	0.45	73.91	0.19	0.09	5.17	101.19	0.08	0.13	42.93	67.05	0.99	36.9	3.6	91.37	0.0	90.9	42.87	0.0	0.42	90.48	79.8	0.0	91.0	98.35	77.27	141.22	93.83	147.06	118.2	119.5	100.45	103.83	149.32	140.89	138.75	0.0
Igfbp4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.58	0.0	0.0	0.0	0.0	0.0	0.0	245.26	0.0	73.66	179.9	27.35	86.98	5.73	258.25	181.46	0.0	0.34	0.0	0.0	0.0	0.0	150.09	12.08	0.0	40.02	13.29	4.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.73	0.0	0.0	0.0	0.0	0.0	0.0	66.15	0.0	52.78	84.47	77.82	151.95	71.47	123.85	86.54	99.35	52.59	101.74	88.72	80.35	91.06	0.0
Il11ra2	0.0	0.07	0.04	0.0	0.0	0.0	0.0	0.0	31.18	0.0	0.0	0.08	0.11	0.0	0.0	0.4	0.0	0.03	0.12	0.39	0.35	0.0	0.23	0.0	0.41	0.0	0.08	0.1	0.06	0.27	0.06	0.21	0.2	0.1	0.22	0.0	0.42	0.84	0.04	0.0	0.42	0.54	0.0	0.0	3.56	0.0	0.36	2.32	0.12	0.0	0.0	0.0	4.85	0.0	0.05	0.19	0.89	8.6	8.36	0.12	0.0	0.17	0.31	0.0	0.07	16.93	0.18	0.0	0.14	0.0	0.0	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	4.28	1.89	0.25
Inpp4a	362.54	350.44	210.98	256.62	265.46	274.24	326.86	213.55	262.45	363.01	334.0	181.36	637.01	236.48	371.32	408.7	338.29	138.38	542.1	420.61	524.92	298.44	317.52	529.46	298.79	389.63	122.61	393.52	411.71	270.22	404.64	628.09	339.32	320.75	528.18	312.21	384.88	447.38	649.59	425.65	440.14	434.31	324.2	473.44	267.7	391.39	727.13	559.15	422.16	436.7	375.39	557.99	210.28	321.73	267.18	302.98	252.01	139.82	389.03	206.21	156.9	199.38	479.2	464.41	592.72	360.93	418.78	296.65	381.77	521.53	496.3	486.77	463.76	468.13	364.88	457.99	642.6	559.41	371.55	501.16	302.09	933.22	683.89	741.12	212.88
Ldb2	284.63	90.13	54.9	0.16	0.0	0.0	0.0	0.0	0.0	57.43	86.78	0.0	85.31	0.0	165.17	0.0	0.08	0.0	0.16	12.45	28.02	52.15	0.2	38.59	106.87	97.92	0.0	7.15	0.0	150.83	7.66	149.4	113.87	16.5	358.21	120.26	285.42	225.71	60.58	39.08	110.78	0.1	105.79	143.98	60.69	154.72	37.9	324.4	290.17	104.5	65.87	0.0	1.54	0.0	0.07	119.54	0.15	0.0	5.47	4.06	19.42	116.21	198.65	40.21	0.0	0.0	0.0	22.99	10.36	177.79	0.0	174.84	72.87	120.06	130.71	88.25	117.55	181.18	181.29	141.19	192.47	177.23	171.89	202.17	29.44
Ldha	892.29	1278.27	931.29	451.52	1283.85	845.84	860.14	1817.54	1253.52	1618.65	2066.63	396.53	1041.07	1390.46	667.84	353.91	170.99	597.84	1418.3	289.15	856.25	537.59	602.77	2005.48	1522.8	384.98	704.63	1007.67	1498.36	2770.48	1419.84	3217.4	2897.2	1827.46	1561.34	1505.03	2466.01	2200.68	2157.59	1568.17	2222.48	550.28	1628.64	1325.2	2312.74	1502.57	1418.54	2103.1	1429.96	1364.33	802.25	951.47	1073.66	1989.81	829.74	1413.84	1809.4	1367.08	959.84	689.42	1055.19	1496.23	2148.54	291.43	296.45	1054.77	546.36	1619.97	704.9	2268.15	286.7	2464.62	2135.5	2266.41	2206.23	2003.97	1787.17	1980.79	2099.08	1786.45	1966.69	1598.2	2019.03	1862.91	354.88
Lmo3	0.0	0.14	0.04	0.05	0.0	10.16	0.0	0.48	0.0	0.32	0.0	0.0	0.0	0.0	407.1	0.0	0.09	0.0	0.1	0.0	296.64	0.19	0.0	0.0	0.0	0.64	0.0	0.0	0.0	626.54	240.07	190.95	348.58	280.99	409.05	388.15	926.63	217.06	501.66	371.1	185.79	246.31	47.95	1150.2	224.64	776.29	141.24	298.5	720.4	556.72	81.74	0.0	0.13	0.0	0.42	0.0	0.47	0.0	0.0	0.0	0.0	0.0	252.43	0.0	0.0	0.0	0.0	0.16	0.11	398.26	230.94	491.55	427.61	536.59	321.14	338.79	352.13	370.32	337.07	370.82	303.12	498.07	312.91	385.76	290.03
Lpgat1	88.78	48.49	27.55	88.07	0.0	174.46	4.03	5.35	0.0	265.07	4.6	53.98	4.54	61.28	80.25	168.55	15.4	25.02	53.4	57.48	23.92	18.56	62.17	25.11	49.87	28.32	51.82	2.72	82.35	147.34	152.8	98.9	125.42	125.56	35.79	108.11	199.48	164.46	45.43	68.34	83.14	55.1	43.91	104.8	113.32	45.57	47.38	88.15	68.21	54.0	32.14	6.3	50.89	53.54	71.44	39.38	0.34	47.28	98.13	95.15	150.46	79.41	13.6	6.62	47.33	0.0	27.16	1.57	0.16	136.16	14.27	130.96	102.38	143.7	118.94	111.77	91.12	86.55	79.73	90.46	91.39	155.56	109.32	103.82	58.92
Lrrtm2	276.78	31.72	26.08	11.04	64.68	85.6	0.07	0.0	0.0	4.53	0.1	5.23	79.01	0.0	13.35	0.04	115.51	44.09	0.03	0.0	0.09	207.39	0.0	74.38	0.0	43.01	35.53	59.28	43.35	61.33	80.74	20.47	10.84	107.8	15.15	87.74	119.02	92.3	102.04	42.5	0.0	15.54	21.73	20.88	11.07	44.13	72.22	78.93	38.83	26.71	230.62	0.05	12.0	0.0	3.72	4.86	34.94	87.36	0.0	90.88	87.92	0.0	22.7	0.34	0.0	0.0	0.0	0.33	63.75	74.64	7.44	68.71	46.63	95.79	45.23	52.31	100.95	69.58	34.69	61.72	28.19	71.2	52.82	54.87	9.96
Lsmd1	126.83	92.11	151.74	0.21	97.7	142.08	54.01	176.96	156.6	32.17	134.63	267.19	187.72	205.53	179.18	0.71	150.53	150.87	0.0	119.97	125.57	311.38	250.36	0.0	55.77	214.79	187.81	0.0	162.92	291.68	92.99	118.94	293.27	306.77	39.91	219.86	98.15	10.94	230.29	53.95	173.19	122.56	52.86	121.77	389.73	153.01	50.11	27.51	190.85	278.02	88.08	328.34	225.44	68.65	56.32	118.43	32.8	93.99	8.48	273.44	74.3	0.91	37.36	0.0	177.56	111.47	0.0	139.18	308.46	84.08	102.1	124.64	185.1	121.07	178.41	209.72	155.62	85.54	263.26	219.45	189.44	101.9	148.8	154.66	227.43
Mctp1	0.0	0.03	36.82	0.05	0.0	66.34	12.61	0.0	0.1	105.93	0.0	58.52	0.0	0.0	13.38	0.0	48.8	0.0	0.05	0.0	14.42	0.0	0.0	0.49	0.0	0.1	21.2	0.0	0.0	0.0	34.41	1.38	107.44	1.2	89.48	221.7	28.73	126.21	0.16	77.82	0.0	0.0	2.61	4.96	0.0	0.56	57.27	46.2	0.64	0.1	0.0	85.45	0.06	0.0	0.08	91.27	0.09	0.0	0.0	0.0	24.68	0.0	69.67	0.0	0.0	0.0	0.0	0.0	0.05	38.37	75.51	71.41	62.02	66.88	52.54	60.79	65.77	36.03	41.53	52.99	43.06	70.84	55.57	49.89	0.0
Med10	329.95	209.8	80.08	25.0	124.41	0.0	150.94	146.61	0.0	141.19	193.99	167.34	455.91	0.0	476.86	3.97	217.17	1.42	0.0	204.82	0.0	285.48	0.0	139.71	0.0	1.62	0.0	0.0	206.03	216.7	521.73	643.92	127.37	426.09	377.65	446.65	553.78	663.1	203.4	110.34	131.67	228.03	118.02	173.72	0.0	72.76	110.95	101.83	55.12	231.73	0.0	0.0	98.21	0.27	178.94	0.25	603.41	470.14	109.72	262.85	28.44	327.07	429.72	0.0	171.23	288.11	0.0	108.17	312.08	584.25	0.0	389.79	509.44	307.48	558.79	473.4	433.48	429.78	504.75	396.05	704.33	483.52	512.17	515.63	152.69
Meis2	0.0	8.02	0.18	0.31	0.1	0.53	0.08	0.13	0.27	0.39	0.19	0.37	0.44	102.27	0.26	0.05	2.41	0.0	0.14	0.07	0.11	0.26	0.0	0.19	0.18	0.32	63.65	0.04	0.12	17.61	22.86	50.94	0.0	30.7	33.44	67.98	12.17	82.97	0.0	0.07	0.09	1.38	0.0	0.36	0.25	0.65	0.54	0.11	0.16	0.09	0.19	1.86	32.69	0.27	0.1	0.22	0.29	50.41	0.16	0.17	15.7	0.43	58.68	0.0	0.45	0.33	0.16	0.25	0.28	0.31	0.0	35.35	26.76	50.41	37.87	9.26	13.19	26.93	37.76	20.23	33.87	14.62	26.91	16.99	1.65
Mmp17	31.95	35.34	5.27	0.03	0.06	0.0	0.0	0.0	0.36	5.51	2.17	50.75	13.32	0.16	0.0	0.0	15.21	21.89	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.23	3.86	71.57	146.16	39.16	5.35	0.11	186.23	38.43	56.62	19.0	54.85	0.0	4.74	18.15	232.88	56.81	172.06	31.24	68.47	2.21	5.41	0.0	0.0	0.0	0.05	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	16.02	51.64	47.89	42.28	23.48	46.26	65.05	41.33	52.78	32.46	50.56	47.8	37.2	33.97	30.71	0.0
Myadm	87.28	75.73	0.0	205.31	56.71	0.0	2.58	50.8	0.92	19.61	29.97	26.99	121.66	6.54	0.0	4.6	0.14	0.0	119.11	18.37	0.0	0.14	0.0	0.0	0.0	0.16	15.1	62.48	0.0	226.66	10.64	27.59	55.92	43.67	127.63	168.69	227.46	113.9	193.75	5.45	31.61	66.86	60.6	16.27	52.91	71.18	23.67	103.71	3.04	45.6	22.7	0.0	0.06	146.57	86.8	49.9	14.14	0.0	298.08	124.53	12.6	18.46	0.45	20.25	25.23	0.27	16.73	0.91	5.18	78.48	0.11	115.78	80.36	105.08	135.98	85.98	113.8	94.78	58.67	82.83	39.21	98.66	102.35	115.21	14.4
Myh3	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.15	8.02	2.11	6.35	7.68	1.56	6.93	4.45	2.34	4.15	2.61	2.5	2.61	2.63	0.0
Myl4	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	215.41	0.0	467.81	3.9	104.84	59.39	0.0	537.18	0.0	406.2	114.15	0.0	0.6	0.0	38.78	217.89	630.45	375.11	117.06	47.54	1193.22	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	601.68	0.0	0.0	0.0	0.0	0.0	0.0	439.74	0.0	84.32	154.72	172.08	203.48	214.25	196.21	273.89	737.23	465.87	862.85	355.7	404.85	406.13	0.0
