	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Calb2_tdTpositive_cell_14	Calb2_tdTpositive_cell_39	Calb2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_58	Ctgf_tdTpositive_cell_5	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_15	Cux2_tdTpositive_cell_16	Cux2_tdTpositive_cell_25	Cux2_tdTpositive_cell_27	Cux2_tdTpositive_cell_34	Cux2_tdTpositive_cell_46	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Cux2_tdTpositive_cell_79	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_50	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_41	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_13	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_88	Rbp4_tdTpositive_cell_112	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_35	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Scnn1a.Tg2_tdTnegative_cell_7	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_97	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_12
Gfm2	0.0	45.65	54.39	71.46	184.49	73.82	0.0	0.08	0.09	0.14	0.0	142.81	7.68	1.08	0.0	127.21	49.47	102.41	0.19	377.97	172.88	71.86	0.0	120.93	0.0	3.62	79.03	77.95	40.57	19.95	0.09	0.2	11.6	16.99	1.89	111.02	65.47	53.48	18.21	0.05	9.82	4.85	0.0	0.0	2.67	0.26	0.0	0.0	107.46	0.04	71.06	0.18	88.39	85.1	55.7	57.8	1.83	0.14	50.65	40.84	38.67	100.58
Gorasp2	0.0	22.31	7.17	45.7	0.0	0.18	0.0	25.93	81.68	0.0	85.36	244.6	19.67	0.0	47.92	32.74	1.08	181.15	0.54	55.78	3.95	80.85	0.0	2.81	0.0	0.0	9.15	10.41	9.2	1.92	0.0	0.0	3.52	24.95	0.06	0.0	141.19	0.0	0.0	0.0	11.33	0.22	0.0	0.0	0.22	0.19	9.18	0.83	5.02	3.35	64.37	0.0	1.02	117.95	3.27	11.32	28.09	9.62	35.64	34.18	51.39	35.47
Gpn1	0.0	23.57	115.67	149.43	0.0	0.23	0.0	43.33	92.99	0.0	142.99	263.7	0.0	145.33	109.73	193.97	60.17	140.28	414.92	231.32	172.39	7.33	0.0	252.44	0.0	62.07	0.0	168.44	0.22	18.18	0.0	169.58	186.0	208.25	190.87	0.0	105.11	0.0	111.0	0.0	704.75	546.95	216.88	0.0	295.32	69.38	0.0	68.08	0.0	124.9	0.13	172.73	312.14	143.55	0.0	130.17	35.67	123.6	129.63	119.55	98.6	58.91
Gucy1a3	176.24	48.53	148.16	100.29	76.08	16.24	0.0	143.4	69.44	0.1	15.47	291.4	72.37	84.9	89.39	345.47	136.76	57.52	193.94	0.0	118.78	0.64	0.24	44.91	0.0	148.68	228.34	0.0	0.0	0.0	15.14	0.0	68.09	0.0	0.0	0.0	0.0	0.29	7.9	0.0	0.0	0.11	0.0	0.0	0.0	8.83	0.0	26.84	0.86	0.02	0.0	30.48	150.65	6.61	0.0	0.29	0.03	0.0	1.72	0.44	0.22	67.35
Hcfc2	0.0	142.2	21.95	6.89	12.93	0.0	0.0	18.38	97.44	0.0	0.0	329.98	151.7	0.14	0.0	8.9	214.34	0.0	118.99	0.0	65.13	0.91	27.99	75.92	0.0	83.38	38.97	133.59	0.0	0.0	13.44	28.46	81.52	46.82	19.48	37.73	0.0	155.39	2.06	0.0	0.34	5.49	31.51	177.64	60.15	9.96	5.58	8.55	0.0	3.39	56.53	3.06	0.33	67.96	0.0	0.36	0.4	4.83	23.22	11.43	17.96	17.98
Ier3	0.0	1.21	0.18	130.76	0.0	0.0	0.0	0.0	7.81	0.0	14.39	110.71	73.97	96.53	88.93	0.0	0.14	116.55	0.0	0.0	0.42	0.0	0.0	188.75	0.0	105.42	0.0	0.0	0.0	0.0	0.4	79.89	0.08	152.72	148.19	0.0	208.62	0.0	0.0	0.0	0.0	0.0	0.0	140.33	0.47	104.94	0.0	20.06	133.61	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.52	0.0	11.61	17.29	25.69	40.11
Igfbp6	284.67	627.44	325.44	406.72	525.85	53.7	0.0	80.41	295.72	151.25	667.84	325.68	288.75	559.11	343.19	275.6	412.38	577.42	456.85	165.0	596.89	491.84	225.7	293.85	0.0	77.33	397.7	84.38	0.0	123.7	715.43	0.48	235.3	1.17	138.85	169.73	135.21	255.86	138.97	0.24	0.0	0.0	0.0	65.31	60.62	358.76	399.91	0.64	0.84	163.9	312.58	0.0	367.78	493.35	183.4	186.68	464.33	0.0	118.89	137.59	152.39	181.9
Impa1	76.38	257.75	300.06	294.44	61.5	193.0	16.97	0.12	112.23	11.09	0.16	628.22	25.59	345.04	70.15	149.01	41.77	240.08	174.15	110.85	0.0	142.88	130.72	0.0	0.0	304.73	282.63	180.57	335.15	111.25	186.72	175.51	429.2	308.09	2.39	115.01	120.73	442.76	230.98	0.11	4.96	0.19	73.64	62.8	0.0	76.66	0.0	153.69	80.52	0.09	208.13	86.45	6.19	97.14	182.26	261.98	97.88	272.93	155.02	136.18	149.42	0.19
Kcnh3	2.34	4.47	0.1	0.0	0.0	0.23	0.0	0.48	1.73	0.0	2.96	28.28	4.74	7.46	27.25	1.59	0.04	0.29	0.85	0.76	0.12	0.48	0.14	0.0	0.0	0.64	0.0	0.68	9.88	0.0	0.0	3.1	2.04	0.09	0.14	0.0	0.11	0.0	0.11	0.08	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.16	3.51	0.0	11.86	0.0	0.09	0.19	3.53	0.0	0.41	0.57	0.58	4.81
Kctd4	0.0	32.53	88.7	23.96	22.33	0.0	0.0	0.0	13.83	0.0	18.46	169.79	0.0	62.65	38.01	5.93	3.08	134.61	12.57	77.02	193.85	17.17	2.45	62.89	0.0	178.49	168.57	0.0	0.0	2.17	0.0	48.38	0.0	0.0	0.0	0.0	0.0	46.51	0.0	50.95	0.0	0.0	0.0	0.0	2.81	0.56	0.0	0.0	0.0	5.24	0.0	0.0	114.57	120.9	0.0	0.11	0.09	0.0	2.57	1.82	3.91	38.83
Krr1	85.01	80.88	13.43	23.59	51.87	39.03	1.53	3.16	5.98	32.16	150.35	114.04	79.26	44.89	59.54	32.44	46.65	131.16	27.61	4.55	67.96	4.35	98.46	116.3	22.97	66.15	3.88	73.31	64.82	40.65	120.17	36.11	15.9	32.08	4.39	68.15	42.31	27.19	2.87	2.02	8.06	2.61	57.96	80.59	20.38	76.45	3.5	3.32	2.6	3.12	60.69	1.58	105.67	8.01	17.48	126.7	1.24	57.02	48.39	37.77	33.45	6.39
Lmcd1	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	2.89	121.95	0.0	0.0	0.0	0.0	5.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	94.1
Lrrc41	0.0	55.08	0.0	0.0	32.82	7.07	0.0	0.1	0.2	0.0	153.44	130.15	0.17	12.34	29.66	0.0	189.66	0.0	0.0	0.0	28.67	0.0	3.17	0.0	0.0	0.27	56.17	0.0	0.0	0.0	0.0	0.0	14.8	0.0	0.0	61.96	0.82	95.91	0.0	0.05	0.0	0.0	0.21	0.39	0.0	28.57	0.0	0.0	0.0	0.0	0.0	89.86	0.27	41.55	0.0	0.66	0.19	0.11	7.48	21.45	19.71	0.0
Lrrtm3	0.0	124.72	200.39	529.4	44.8	175.87	0.0	0.99	126.14	45.81	77.18	275.42	194.7	136.54	88.23	202.74	272.12	267.07	282.4	0.14	155.6	59.66	20.56	149.03	0.0	203.87	183.68	121.21	0.0	0.62	55.33	67.82	34.01	0.77	104.12	129.23	42.17	74.29	0.42	144.26	17.25	37.87	0.16	137.02	166.04	45.3	0.0	0.4	5.09	0.38	159.26	156.32	183.87	590.75	96.5	11.58	54.19	0.4	113.28	108.94	111.17	118.59
Lrrtm4	143.91	131.11	217.99	328.19	596.01	124.81	0.0	73.57	349.2	0.13	194.77	226.39	248.17	304.71	216.8	327.75	353.56	474.85	446.11	0.0	543.94	307.92	0.0	518.54	0.0	598.07	481.49	114.66	0.12	98.35	231.1	23.15	18.01	9.78	0.04	0.0	0.12	94.29	117.18	151.14	80.41	243.01	285.86	5.63	195.45	0.12	0.0	0.0	0.0	0.0	50.27	66.49	72.99	691.49	52.29	0.15	0.16	0.0	82.1	37.29	42.22	162.92
Map3k12	74.37	14.79	25.3	0.0	0.0	0.14	0.0	81.52	0.0	32.61	0.0	101.69	22.6	32.45	0.0	49.57	17.08	35.77	40.25	0.0	0.0	0.0	7.83	0.0	0.0	18.62	0.0	3.94	15.64	0.1	18.84	1.76	0.0	0.0	0.0	0.12	28.25	0.0	0.0	9.29	0.0	27.74	0.0	0.0	0.0	10.27	0.0	11.39	0.02	5.12	14.4	0.0	25.42	7.12	0.0	0.0	0.0	0.0	15.59	6.3	6.99	29.81
Mboat7	0.0	0.0	17.35	0.0	0.0	0.0	0.0	48.67	26.8	0.0	113.4	32.73	0.0	128.7	51.61	48.23	0.0	0.0	0.0	72.35	0.0	46.48	6.12	0.0	0.0	85.12	36.88	0.07	0.0	0.0	0.0	3.1	0.09	2.03	0.0	0.0	40.73	0.0	17.1	0.05	0.28	0.0	2.08	64.07	0.0	25.97	0.0	0.0	0.07	0.04	0.0	0.1	76.65	0.0	0.0	38.46	38.77	9.94	10.14	19.69	10.0	0.0
Mtf2	0.19	13.98	48.58	65.57	6.79	56.43	0.0	72.09	7.16	0.1	131.74	189.95	73.27	126.38	94.54	81.65	47.8	0.0	0.14	85.31	78.79	0.27	0.0	0.0	0.0	56.41	12.22	94.88	35.71	19.27	0.0	41.93	113.47	60.02	0.0	0.0	0.0	45.85	20.02	52.66	5.12	57.91	40.65	1.55	26.45	11.06	96.47	0.0	22.28	17.0	6.24	48.5	89.98	1.31	0.27	16.44	62.2	2.29	24.44	21.59	25.07	0.94
Naa35	0.0	165.02	39.49	124.02	185.05	89.18	0.0	0.08	90.93	1.48	241.08	391.42	189.31	0.0	89.75	33.67	94.78	258.35	88.67	0.0	135.68	0.17	144.21	152.98	10.39	0.0	45.07	1.37	0.0	115.2	11.75	78.62	53.06	0.25	274.36	0.63	1.35	2.92	42.75	0.06	0.0	105.42	74.18	3.9	130.0	101.37	0.0	0.09	7.31	140.15	23.12	81.81	20.21	38.46	40.28	99.74	270.47	99.04	109.56	60.09	68.08	86.35
Nell2	1.09	518.41	385.31	378.17	427.91	2.33	0.0	73.34	51.74	279.56	269.65	263.91	395.92	361.75	379.74	598.37	124.46	194.11	153.77	328.43	377.95	205.08	301.49	381.89	0.0	361.53	655.45	119.78	51.12	312.95	85.48	85.98	270.37	113.78	59.81	107.83	294.52	105.24	247.28	0.0	15.25	0.0	0.18	31.62	82.88	242.59	0.0	391.47	285.91	206.95	249.25	122.29	709.94	506.11	115.94	172.93	97.63	0.0	138.54	143.03	141.54	145.62
Ntrk3	26.44	29.23	124.27	175.88	172.21	0.28	0.0	107.33	136.18	0.12	81.49	392.52	170.86	160.0	163.15	193.83	132.86	140.66	45.55	70.71	108.18	129.5	83.8	0.0	0.0	346.54	112.92	43.02	0.0	112.86	0.0	0.03	10.17	0.0	154.86	4.4	124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.2	0.0	0.0	115.41	0.04	0.0	0.0	663.17	292.69	0.0	69.58	0.41	0.2	26.71	35.44	38.41	153.34
Osbpl8	1.81	8.42	24.08	28.41	23.64	7.15	1.08	2.64	29.37	70.04	72.04	170.11	8.41	9.55	28.91	101.96	8.75	125.92	4.48	45.34	10.1	16.94	90.98	213.55	0.0	110.96	24.69	1.07	48.59	2.02	1.96	52.63	1.95	3.23	0.61	0.32	2.93	52.66	31.03	17.31	2.04	21.57	18.79	2.85	1.22	37.07	130.08	0.59	33.52	25.44	52.66	0.98	1.83	83.86	96.1	0.88	9.18	20.19	14.5	16.78	14.22	74.42
Pax3	0.0	0.04	0.11	0.16	0.0	0.0	0.0	0.06	0.16	0.0	0.24	0.3	0.0	0.0	0.0	0.0	0.04	0.11	0.0	0.0	0.25	0.11	0.27	0.06	0.0	0.19	0.0	0.06	0.0	0.0	0.0	0.09	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.14	0.12	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.1	0.0
Phtf2	18.36	71.43	0.04	0.0	107.36	0.0	0.0	0.08	73.0	0.0	10.45	233.95	94.41	50.54	32.32	56.34	0.03	87.24	21.57	5.27	0.0	0.09	66.5	79.94	0.0	81.82	38.41	0.08	0.0	0.0	145.35	42.32	0.39	55.05	62.73	38.24	9.23	0.0	61.97	19.87	0.0	47.0	0.0	0.0	0.0	19.17	0.0	0.0	65.07	0.02	9.02	34.18	0.0	143.09	48.82	0.07	0.06	0.0	21.31	22.26	16.0	21.36
Pnmal2	0.18	67.16	37.24	23.25	0.71	25.31	0.0	2.5	38.41	45.47	79.13	41.53	43.49	146.8	71.81	50.83	141.86	32.95	14.52	44.82	54.99	61.16	11.17	48.15	0.0	1.11	58.94	8.97	1.04	0.0	1.73	5.47	0.25	0.86	0.28	3.39	1.03	0.0	15.12	0.0	33.37	0.6	59.15	0.13	0.0	0.3	0.0	0.05	2.31	26.7	56.42	0.07	36.86	93.18	32.88	0.49	27.76	31.83	9.43	7.08	12.88	0.81
Polr2i	0.0	105.77	3.75	149.69	8.45	94.32	0.0	75.8	185.86	67.34	6.98	325.13	3.72	71.83	103.82	0.0	134.93	0.0	11.38	93.29	0.0	15.38	112.76	93.73	0.0	53.81	38.04	6.41	96.52	37.22	74.69	53.51	128.52	61.23	34.28	2.55	142.99	40.71	4.42	109.62	87.51	0.0	3.71	63.6	12.34	0.0	237.43	85.96	138.54	106.19	42.4	26.91	111.33	68.13	8.22	103.26	2.74	143.29	56.44	70.31	76.87	81.11
Psmd4	16.95	229.53	232.06	374.14	287.93	5.43	0.0	474.43	182.5	151.85	0.0	467.63	286.98	284.64	119.01	192.34	48.03	143.37	113.98	0.0	121.82	139.91	204.29	292.0	0.0	96.17	154.27	104.01	387.96	1.43	153.75	106.74	0.5	0.13	149.09	0.0	336.69	216.7	91.84	102.08	279.63	193.13	0.0	153.58	0.0	216.38	111.03	295.14	0.09	0.09	336.42	331.89	122.36	22.33	231.3	93.7	66.28	93.29	187.43	181.25	176.85	384.13
Ptk2b	151.59	219.15	275.83	134.1	48.59	93.47	0.0	11.81	162.4	46.28	340.17	416.3	229.16	78.15	44.73	198.72	109.89	106.84	139.11	147.56	195.99	108.61	83.1	97.37	0.0	151.2	237.81	161.6	318.75	50.11	57.87	93.63	27.0	90.7	168.55	69.53	125.08	92.31	38.35	116.6	5.59	66.15	84.22	121.95	1.84	89.31	7.56	40.09	9.06	26.85	2.94	129.82	352.68	165.16	169.63	234.57	32.95	0.0	69.56	86.95	69.33	66.65
Rasgrf2	76.24	44.28	56.92	61.86	29.63	0.0	0.0	12.74	109.6	0.0	90.0	173.36	121.73	84.81	59.13	36.57	30.15	121.29	3.63	2.59	48.59	216.42	1.06	1.53	0.0	53.65	6.38	85.45	41.08	0.0	12.69	4.83	0.8	62.16	2.59	0.0	0.07	0.12	0.0	0.0	1.36	0.17	0.0	0.0	0.0	0.0	0.0	78.8	0.7	88.85	0.0	0.0	164.25	7.45	0.0	0.09	0.12	4.24	0.0	0.52	0.0	7.56
Rfxap	0.0	0.0	42.07	6.61	0.0	0.0	0.0	0.0	2.65	0.11	0.0	42.48	3.14	14.88	5.84	0.0	12.73	0.0	0.85	0.0	0.0	6.63	0.0	0.0	0.0	0.0	1.69	0.0	0.0	0.0	0.99	0.0	0.0	0.0	46.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.7	37.96	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	3.47	3.04	2.42	2.68
Rgs7bp	3.07	61.09	55.31	8.9	85.5	67.23	0.07	21.63	60.85	1.03	103.81	92.06	104.56	71.92	48.64	70.33	55.62	36.3	19.57	2.54	42.09	99.91	16.53	32.71	0.0	19.53	24.67	51.18	39.48	2.37	32.71	10.67	23.32	25.93	22.51	12.83	9.12	7.48	17.2	5.09	4.19	2.39	35.52	18.68	16.63	43.7	1.41	24.62	1.47	24.24	26.72	1.23	37.42	28.11	40.67	30.43	60.91	9.76	38.42	44.7	51.79	43.22
Rragd	40.71	67.28	88.23	25.92	75.45	0.03	0.32	5.43	82.04	51.45	179.42	288.97	16.77	190.59	141.31	95.02	26.44	220.92	40.38	71.12	150.17	154.22	93.33	0.16	0.0	109.3	177.4	36.41	30.33	0.09	36.02	1.26	25.28	0.05	37.79	0.1	4.44	50.79	37.5	0.16	0.31	0.0	56.76	83.18	0.0	0.29	14.29	0.11	96.78	0.02	28.17	29.07	107.06	103.97	8.74	0.21	0.16	39.82	12.73	9.59	9.02	121.84
Sec14l3	0.0	0.04	0.12	0.13	0.27	0.0	0.0	0.1	0.1	0.0	0.13	0.31	0.14	0.18	0.1	0.08	0.0	0.25	0.0	0.0	0.23	0.11	0.0	0.0	0.0	0.0	0.12	0.0	0.1	0.11	0.11	0.03	0.04	0.0	0.0	0.0	0.0	0.0	0.06	0.1	0.0	0.02	0.15	0.0	0.12	0.0	0.24	0.04	0.18	0.09	0.1	0.07	0.0	0.23	0.0	0.0	0.0	0.09	0.0	0.0	0.09	0.0
Sestd1	2.03	35.4	100.39	0.52	42.62	0.05	0.0	0.06	108.71	3.5	62.37	108.83	108.09	38.8	103.57	90.57	74.79	67.79	102.74	125.93	149.25	48.52	5.65	54.03	0.0	124.71	100.23	60.63	0.04	0.0	31.36	0.19	28.86	51.85	76.84	39.09	31.31	0.0	56.62	43.72	4.09	0.0	0.07	0.0	0.22	43.11	0.0	65.15	42.98	0.87	32.82	83.88	163.6	68.27	0.03	45.16	26.76	0.47	12.89	9.79	8.31	44.7
Sf3b1	88.42	169.66	144.65	133.23	48.69	82.28	0.0	200.01	98.16	103.42	277.84	152.18	250.04	218.35	90.93	32.33	132.86	118.5	89.29	204.2	179.27	101.95	84.53	150.51	0.0	104.42	48.43	331.8	2.02	30.92	38.97	129.05	23.06	92.5	60.11	57.9	69.16	45.51	96.94	164.19	115.47	153.22	90.56	165.37	68.99	68.4	83.65	1.21	67.98	55.88	143.16	50.19	202.59	175.82	129.18	106.03	156.47	80.7	93.68	81.9	72.1	104.91
Sh3kbp1	0.0	27.56	51.72	0.0	66.3	0.0	0.0	1.47	32.8	0.0	0.0	98.68	47.72	0.0	3.18	0.31	0.0	5.38	0.0	0.0	0.32	0.27	0.0	0.17	0.0	0.0	34.04	0.0	21.14	0.0	0.0	0.05	0.02	0.0	0.0	0.0	0.0	30.01	0.0	0.0	0.0	0.0	0.0	10.77	0.0	9.9	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	8.67	3.2	3.56	0.0
Shroom2	79.69	65.55	137.07	27.74	34.4	32.18	0.0	0.04	56.18	0.0	84.39	313.48	2.09	1.63	148.93	78.46	2.0	39.77	8.14	0.0	139.25	66.86	24.79	123.87	0.0	62.36	61.05	77.32	0.52	34.65	54.24	48.05	108.32	49.69	62.02	0.04	53.85	119.73	26.06	59.19	7.53	85.07	47.85	13.48	0.46	0.78	0.0	0.02	0.01	54.47	77.03	2.26	189.98	57.36	87.63	44.97	0.32	50.08	14.98	9.74	21.9	70.7
Snap25	26182.83	20995.4	16919.96	17910.18	18360.91	20371.44	0.2	24880.43	18924.61	23752.44	19564.24	18044.41	19393.09	15600.2	13903.38	13837.15	14897.45	19832.73	17984.32	25194.29	19442.84	21404.94	22198.58	16271.25	0.16	19959.97	21262.24	24000.2	24648.02	21855.18	22891.51	21740.03	21362.22	21459.53	20866.53	21261.82	23051.34	22470.57	18985.93	21435.37	18096.94	17078.37	19257.32	22845.02	21696.22	22039.64	25542.47	18233.72	21954.45	22725.47	21280.34	20618.04	16440.37	19485.64	20576.26	18336.85	20516.03	21043.71	20846.74	19146.26	18964.09	18167.33
Sorbs2	11.79	145.83	118.76	110.32	181.68	2.24	15.98	117.29	136.24	14.12	5.8	266.42	112.13	78.65	42.41	80.54	268.18	34.45	57.94	25.62	71.27	98.67	179.32	134.2	0.0	226.74	126.87	87.98	63.27	3.29	26.33	32.52	120.96	12.5	33.31	48.49	14.43	3.62	1.2	13.5	109.83	10.69	0.0	0.0	61.94	77.2	144.24	22.8	68.23	33.83	29.74	4.85	61.47	124.46	70.31	0.14	6.5	83.47	30.75	30.26	32.68	88.14
Stard8	0.0	37.14	36.18	32.16	71.57	0.08	0.33	0.02	0.33	1.43	7.94	133.57	86.94	114.02	18.06	0.0	68.09	0.63	0.12	0.0	0.18	47.93	0.0	1.67	0.27	15.39	1.62	76.53	0.0	64.3	0.0	0.08	0.16	0.03	0.07	0.2	0.06	0.0	0.08	0.09	0.0	0.2	0.0	0.23	0.0	0.17	0.23	0.0	0.02	1.59	0.11	0.17	12.66	64.59	0.2	0.53	0.11	0.07	0.04	0.21	0.19	0.1
Tbc1d20	0.0	0.0	0.0	7.98	0.0	0.0	0.0	0.05	0.0	0.0	0.0	51.36	0.0	6.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.08	0.1	0.0	0.0	0.0	0.0	0.0	0.08	0.0	24.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.31	0.33	0.0	0.07	0.0	6.07	1.43	3.62	53.62
Tbc1d23	277.91	0.0	34.03	0.72	0.0	7.45	0.0	0.06	2.51	0.0	0.0	188.73	8.14	125.77	0.0	8.43	42.04	0.0	72.96	4.18	131.46	0.0	0.0	54.62	0.0	55.72	0.74	21.86	2.69	66.5	0.58	0.69	20.16	24.57	262.64	0.0	75.12	109.02	0.11	14.0	21.52	52.7	3.27	27.9	0.0	55.1	0.0	0.0	0.0	1.41	14.32	48.73	0.63	26.82	0.0	0.23	48.11	18.86	26.66	21.19	22.33	80.18
Thy1	59.91	110.72	96.89	104.22	130.58	25.88	0.0	40.51	78.31	42.42	113.03	163.04	58.38	79.07	94.18	121.99	87.39	47.52	40.49	103.54	51.69	119.8	59.76	76.16	0.0	92.97	161.81	29.21	57.04	1.28	36.58	58.85	27.84	176.58	41.9	128.76	18.99	110.27	60.15	93.62	96.92	79.36	3.15	105.37	47.71	100.64	145.47	3.96	61.03	51.74	113.0	25.94	87.8	66.85	62.01	41.55	33.13	52.99	65.01	72.7	91.22	121.76
Tom1l1	0.0	65.14	0.45	0.0	0.0	74.87	0.0	0.0	21.03	291.2	0.0	172.47	0.0	44.13	0.0	2.19	0.0	0.0	14.16	0.0	105.11	0.0	0.0	252.24	0.0	0.0	14.64	0.09	2.66	0.0	0.0	0.0	0.04	0.0	161.37	0.0	0.0	99.18	1.18	0.0	0.0	0.0	32.98	0.0	0.0	7.93	0.0	0.0	37.09	88.1	0.12	0.14	41.07	0.0	0.0	0.0	0.0	0.0	49.07	24.99	46.05	30.83
Tpp2	364.81	51.98	5.93	0.0	0.0	113.53	0.0	2.42	10.66	0.1	93.03	52.12	11.44	0.81	114.49	44.26	21.95	116.95	0.13	0.0	1.33	144.53	136.3	196.92	0.0	2.3	72.45	8.17	4.13	26.46	10.18	0.02	10.19	9.3	0.03	0.42	9.37	3.98	54.46	5.51	7.21	33.63	107.93	0.12	0.21	26.9	0.0	1.49	0.0	0.79	66.44	17.89	94.84	34.4	0.0	0.29	35.26	0.06	46.74	23.48	29.02	4.08
Trip11	73.95	6.41	0.57	80.36	0.0	19.67	0.57	0.0	17.58	12.66	14.9	15.65	3.03	0.79	37.02	8.28	5.46	38.99	15.86	0.17	36.01	59.86	0.0	39.55	0.0	8.27	14.61	25.36	0.0	21.1	2.35	13.87	32.61	0.42	22.47	0.0	0.0	0.0	0.0	10.68	2.59	31.32	3.31	36.71	0.0	25.08	4.65	0.0	28.62	3.34	0.0	0.0	47.17	0.0	0.05	11.8	0.31	22.9	8.61	6.59	4.31	14.29
Tsnax	0.0	760.83	596.64	273.95	230.42	106.23	0.17	0.17	79.81	0.19	298.88	348.8	423.43	300.03	359.52	290.79	493.67	503.42	133.91	0.0	158.36	32.39	91.62	713.02	0.0	96.8	579.84	98.13	0.0	12.84	0.36	75.58	618.66	0.27	241.94	8.42	150.34	0.0	212.63	229.91	13.19	80.3	0.0	38.51	0.0	105.73	0.0	0.1	24.57	261.19	68.28	106.67	39.52	1245.63	0.0	26.54	14.98	12.58	35.17	52.84	46.18	2.82
Ube2q1	0.0	48.89	30.97	0.0	31.04	0.0	0.0	26.67	133.39	0.36	27.34	178.84	0.0	29.31	80.59	29.84	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.14	0.0	0.0	4.25	30.22	0.03	0.03	0.0	75.48	0.0	0.0	0.0	85.08	6.06	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.36	19.85	7.12	0.0	0.0	0.0	49.47	0.0	0.17	0.04	49.31	8.79	13.04	12.37	0.0
Vps13a	16.68	0.82	0.64	2.89	24.09	11.98	0.04	0.01	4.55	0.0	23.27	49.11	9.15	20.42	2.11	3.53	21.84	3.38	0.16	0.0	9.3	0.0	15.14	28.83	0.0	8.02	85.56	26.05	0.0	28.1	7.06	4.06	34.04	0.04	0.0	0.12	32.98	20.5	2.62	0.92	31.81	0.14	31.72	0.0	1.32	0.37	0.0	0.41	9.16	13.26	0.0	5.3	23.47	16.33	0.71	0.05	0.12	7.43	6.24	6.19	7.84	6.57
Zdhhc17	68.35	129.4	14.23	140.28	43.26	39.84	0.0	3.07	43.31	78.77	125.94	118.05	0.11	71.8	84.69	17.96	77.68	16.27	53.55	107.18	89.39	187.46	1.24	60.69	0.0	2.35	21.0	71.41	129.81	49.09	0.65	67.15	132.51	0.14	54.91	78.58	8.04	47.68	51.95	0.03	6.32	135.8	2.6	17.05	0.0	21.21	141.12	149.47	208.65	0.07	62.95	0.25	34.24	23.58	0.0	16.0	2.23	3.95	28.16	30.01	21.5	6.39
