	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_20	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_62	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_57	Gad2_tdTpositive_cell_58	Gad2_tdTpositive_cell_61	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_108	Ndnf_tdTpositive_cell_3	Nkx2.1_tdTpositive_cell_22	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_14	Pvalb_tdTpositive_cell_83	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_79	Rbp4_tdTpositive_cell_12	Rbp4_tdTpositive_cell_77	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_119	Rbp4_tdTpositive_cell_122	Rbp4_tdTnegative_cell_19	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_32	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_36	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_83	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_100	Sst_tdTpositive_cell_101	Sst_tdTpositive_cell_102	Vip_tdTpositive_cell_49
Rplp2	104.84	430.29	437.85	495.05	436.85	430.96	491.57	749.36	815.66	383.77	434.82	399.79	1779.44	120.68	455.1	359.79	516.83	306.86	197.71	307.94	323.02	369.3	296.13	460.93	392.88	434.09	498.06	563.61	360.0	290.42	568.31	612.84	485.37	321.14	202.85	323.6	351.37	351.98	360.23	419.99	321.87	476.95	470.86	505.9	604.68	429.76	322.56	451.83	347.91	634.43	465.73	742.67	262.04	435.82	501.7	512.0	432.51	432.95	272.9	507.21	427.5	371.84	547.58	0.0	508.76	647.31	362.41	440.79	627.32	316.42	525.94	342.0	843.63	564.36	546.24	335.95	327.31	274.43	587.35	436.61	326.92	334.48	455.9	632.16	386.46	475.1	382.54	327.14	332.63	288.23	527.67	612.62
Rps11	446.76	1650.39	551.05	1461.55	1179.57	700.0	959.21	704.29	2293.77	578.94	1059.5	542.44	7057.18	1.22	351.72	788.41	622.72	688.03	618.88	555.89	860.1	670.43	488.26	458.32	612.91	763.38	3061.05	1001.15	674.01	1069.76	1250.09	1079.97	962.9	724.15	914.39	805.32	707.3	807.12	699.34	966.21	495.7	546.69	686.96	1080.14	1099.16	535.06	611.6	1101.97	876.4	1005.67	711.72	1137.83	809.02	1290.98	1306.08	475.78	898.3	1027.88	1046.45	1286.17	940.38	776.16	896.64	0.0	642.92	1018.9	485.51	652.83	707.8	666.26	412.32	523.86	5145.62	836.77	1138.92	1247.15	673.9	506.48	1610.15	1080.56	897.11	309.82	655.59	1228.38	917.66	1203.79	817.11	455.78	1003.22	854.54	753.89	700.76
Rps13	261.14	781.22	533.84	606.53	762.66	601.44	391.38	1092.35	561.9	361.22	533.4	291.12	1558.45	0.0	534.81	538.86	247.09	513.79	535.07	329.42	518.85	334.39	595.8	743.65	352.46	520.52	1262.09	970.86	449.04	487.25	520.93	382.65	447.65	687.03	523.0	362.97	491.56	538.65	348.32	532.25	258.43	642.6	212.48	562.16	475.6	738.21	741.17	463.55	392.65	836.74	283.08	628.63	313.15	981.63	216.06	720.6	589.34	686.02	313.98	311.93	634.26	389.78	391.79	0.0	589.95	597.54	333.24	351.28	522.66	330.77	532.71	300.68	29.36	451.68	551.76	569.81	1190.38	338.93	579.47	453.21	419.87	44.77	471.71	858.83	619.62	1530.33	538.78	240.69	640.66	555.66	493.73	348.52
Rps14	0.0	718.56	1185.4	671.97	1334.74	939.86	1075.89	1980.58	2227.94	452.67	1268.42	330.67	5026.27	471.4	485.03	711.19	855.89	425.16	471.6	438.09	759.34	570.67	218.5	991.11	681.6	778.82	2090.49	1466.44	636.28	513.05	1009.85	580.9	755.08	966.65	937.45	661.79	851.94	767.91	741.13	877.19	644.27	514.4	635.84	889.44	922.72	812.47	820.93	930.98	787.76	994.93	538.79	1214.0	570.54	1458.34	1176.79	625.53	830.67	926.84	555.0	968.52	769.18	745.63	876.58	1602.93	460.42	587.7	711.66	521.97	905.84	471.61	796.83	478.9	3640.89	454.78	685.19	583.37	842.47	421.3	1361.62	1129.78	830.77	125.66	859.89	1023.51	940.37	1603.22	960.82	351.57	764.16	971.64	639.28	1218.31
Rps16	0.0	898.13	464.13	813.95	0.0	709.81	422.45	515.06	806.25	233.35	655.18	507.57	507.01	0.0	414.92	221.81	752.69	348.55	471.28	207.0	273.14	291.89	490.35	206.76	404.97	270.07	775.21	508.13	419.7	461.0	438.97	318.47	202.14	245.01	429.92	356.88	234.29	417.05	441.76	381.96	293.61	349.8	242.75	477.73	590.13	417.19	623.78	432.96	440.93	484.42	352.81	404.61	373.35	177.23	481.75	79.15	576.41	285.99	337.96	300.01	526.86	323.69	308.64	0.0	330.06	559.28	453.02	546.17	566.75	227.57	502.82	300.93	3039.93	444.6	113.77	529.67	169.35	397.66	657.82	165.45	599.74	311.1	320.08	471.59	449.73	845.05	374.79	443.43	372.1	467.43	627.74	889.12
Rps18	400.66	894.49	1012.34	1252.98	1120.22	760.12	760.86	1678.4	1391.13	400.82	606.16	405.21	3326.99	0.0	580.87	299.78	408.44	857.92	428.17	115.6	544.89	664.86	1216.59	958.51	468.15	771.83	2464.05	1395.91	731.55	707.77	786.79	475.47	309.79	704.69	655.49	651.26	460.82	951.72	396.46	592.17	411.18	716.36	741.64	555.2	672.9	591.84	992.14	488.09	539.26	890.2	583.81	756.03	897.92	1168.91	862.34	596.08	678.37	865.3	505.77	876.39	415.96	812.32	1004.93	152.86	549.21	901.95	384.98	638.26	566.35	620.51	684.8	730.87	6688.38	639.17	670.78	703.57	478.94	492.67	993.97	902.68	548.68	1038.25	545.12	1202.21	793.78	945.41	627.5	875.6	404.26	691.37	625.13	833.59
Rps19	0.0	847.39	1253.7	869.2	1432.61	432.17	896.42	1336.79	1665.83	412.1	1143.65	648.76	3294.24	2.32	574.5	473.02	789.27	563.47	524.99	607.32	285.41	289.53	302.9	564.69	986.76	755.66	4789.91	1140.68	877.64	661.68	912.96	1506.6	1058.34	739.78	551.65	813.98	828.65	1099.11	636.93	974.86	793.99	659.04	558.32	1138.8	933.24	975.03	742.29	1040.76	404.26	902.44	859.62	991.61	433.01	1627.67	1364.46	675.23	1004.52	1357.94	880.56	991.71	759.95	852.28	495.61	364.86	736.76	810.84	574.96	494.81	707.36	558.92	548.0	675.35	6591.45	910.16	1081.2	694.63	531.79	469.62	1310.24	963.87	738.56	244.64	987.01	1484.09	1212.55	1663.01	663.18	512.33	578.51	880.06	557.11	860.67
Rps21	0.0	490.07	401.78	214.86	505.01	293.94	208.21	712.59	1170.43	158.66	292.05	374.02	805.35	0.0	206.57	292.56	500.31	177.84	317.0	118.31	178.79	249.44	156.75	362.01	218.77	192.23	454.09	918.95	268.63	279.66	331.31	229.81	218.7	163.71	332.91	236.12	297.86	548.28	238.37	350.01	153.27	267.41	191.0	349.21	260.73	348.42	215.39	333.91	196.77	302.68	269.34	492.74	310.22	809.03	316.72	180.78	291.21	365.83	426.81	305.57	308.52	342.03	208.04	248.57	211.3	514.65	208.34	428.68	320.82	240.78	215.87	179.78	364.97	214.88	362.79	260.27	218.71	359.18	307.01	512.04	269.85	100.68	161.74	492.06	387.87	818.24	232.0	256.54	298.62	306.57	223.98	283.88
Rps23	506.15	687.87	625.6	312.87	1186.1	362.82	561.86	1357.85	697.15	327.06	1010.31	715.27	2483.77	0.0	340.57	326.62	365.35	526.95	492.74	822.83	548.36	322.24	358.2	448.11	421.65	906.78	3018.28	1236.84	536.24	767.93	734.23	827.76	699.93	811.34	421.37	593.17	674.37	651.43	285.75	534.25	714.12	372.52	547.41	612.89	670.75	780.0	692.32	885.82	440.97	711.14	709.6	879.52	462.8	1529.08	796.82	484.33	713.09	824.47	774.26	685.9	800.07	635.75	694.17	0.0	373.43	830.04	325.71	466.74	722.75	337.44	344.74	466.91	3533.04	650.84	608.53	1056.08	390.46	316.81	732.08	616.03	565.87	276.22	696.84	1183.09	824.65	1783.36	408.14	226.93	610.31	719.41	594.92	927.42
Rps24	107.51	98.0	490.84	366.82	439.8	44.12	235.44	302.49	711.19	213.06	362.19	395.07	667.23	352.17	108.35	44.94	314.61	109.13	271.58	185.36	79.07	118.33	77.49	154.29	231.75	169.35	1203.02	380.36	176.47	354.61	392.56	240.16	284.8	266.51	186.78	334.98	321.86	352.13	240.76	402.14	361.02	211.81	306.25	330.61	269.11	377.01	236.57	254.76	133.03	456.88	210.07	399.16	132.14	489.42	244.8	260.52	451.06	410.04	336.16	319.26	300.07	197.73	219.16	0.0	167.28	49.88	309.27	240.83	339.65	118.66	196.6	237.89	980.8	193.03	339.24	368.77	329.16	227.52	650.42	231.46	229.99	59.04	225.07	582.81	502.08	459.96	227.32	343.64	327.98	323.4	186.78	258.54
Rps26	138.85	436.17	663.75	273.45	438.01	306.74	430.72	616.27	983.53	108.77	269.94	332.88	705.62	0.0	152.41	287.43	292.32	320.8	177.02	449.55	213.57	212.42	127.39	671.77	335.79	158.73	878.6	685.01	400.43	375.81	313.3	380.68	170.96	419.13	412.35	271.6	457.13	322.91	274.47	381.17	201.18	416.52	378.11	297.47	350.64	363.74	405.77	396.04	166.65	487.38	518.8	410.74	236.13	644.54	808.68	307.5	457.87	546.49	313.35	423.96	385.98	361.18	147.11	0.0	254.86	337.04	218.7	344.29	330.03	273.63	163.68	450.73	297.75	299.03	348.77	425.0	258.34	112.06	382.1	396.39	546.76	241.28	394.2	872.63	399.03	464.87	314.34	203.33	392.93	422.25	150.26	862.63
Rps27	0.0	746.51	626.85	1478.61	1828.18	1134.23	726.3	1555.03	1073.68	361.77	520.69	559.02	449.27	0.0	184.33	0.0	120.55	612.35	395.68	591.01	922.76	0.0	612.28	830.08	0.0	619.02	1290.46	1365.45	327.4	0.0	503.62	116.91	327.99	260.66	127.54	108.7	708.06	303.48	547.78	425.01	18.08	66.67	39.92	1053.43	550.67	0.0	0.0	613.34	0.0	631.36	26.73	634.57	2.63	1151.62	963.9	204.16	0.0	1142.33	267.86	615.56	0.0	241.49	510.24	0.0	704.58	919.05	420.71	401.5	786.43	423.59	591.15	662.42	6439.66	560.79	447.92	989.14	263.53	684.58	982.44	862.35	953.27	0.0	250.77	750.49	324.01	942.34	456.3	624.91	716.92	176.7	406.92	1890.23
Rps27a	0.0	884.16	703.66	513.96	781.44	477.19	690.31	1148.13	575.19	318.61	513.89	312.97	2248.79	140.0	144.21	376.84	597.78	296.17	441.53	296.52	349.46	448.9	422.22	474.62	162.96	300.27	2210.2	916.99	477.07	555.45	671.31	621.84	499.82	575.68	314.67	351.15	575.68	409.78	466.46	772.38	367.74	476.52	266.21	590.13	648.85	547.05	393.71	401.34	449.27	688.33	459.38	703.35	171.65	1109.63	838.54	393.35	472.75	499.16	483.26	437.59	512.33	365.5	483.7	127.13	318.29	670.18	332.05	409.03	553.42	102.89	448.27	401.77	447.12	212.86	478.72	594.9	418.2	410.04	512.16	442.03	442.77	219.91	356.56	990.92	603.62	1075.67	358.71	371.37	483.04	534.75	526.88	812.08
Rps28	346.85	532.89	631.77	1075.86	707.52	524.1	598.99	767.43	735.45	335.67	640.87	412.63	1719.36	0.0	226.33	330.26	309.19	92.35	495.46	245.03	376.03	324.9	294.75	571.02	527.47	465.07	1719.72	432.74	346.85	551.65	454.04	371.74	317.72	434.26	337.92	373.95	321.02	440.88	294.51	503.86	301.99	253.4	340.04	597.72	551.33	426.67	403.6	411.01	278.44	671.7	248.66	205.59	521.39	409.87	379.97	378.51	432.53	372.97	469.19	452.04	253.31	396.31	279.61	0.0	442.16	467.7	189.89	571.62	544.87	364.36	322.06	246.71	1519.98	374.18	252.2	419.45	439.33	406.56	410.32	650.45	333.41	0.0	484.15	620.24	578.6	960.7	429.05	377.4	374.28	510.27	403.68	608.61
Rps29	354.22	650.93	774.14	1011.65	900.42	338.61	736.59	1096.2	1222.8	407.68	675.78	272.54	4600.26	79.99	502.21	354.26	543.41	508.43	535.73	274.81	467.33	396.32	377.39	773.22	628.13	617.16	3201.67	981.21	471.51	662.43	804.54	682.45	566.69	495.63	560.33	713.07	636.58	526.11	550.98	532.78	508.85	556.01	338.07	667.39	488.31	525.08	506.95	579.11	423.93	507.36	547.22	557.4	490.16	940.48	625.1	528.55	725.04	648.93	597.24	686.39	742.4	474.95	276.8	235.7	657.82	549.0	684.8	447.6	551.38	377.58	409.33	539.11	6769.79	291.39	556.6	1058.87	709.57	441.96	570.37	701.28	778.02	376.79	472.1	713.31	647.16	1158.46	473.55	421.47	726.41	592.37	441.64	622.72
Rps3	164.25	471.81	409.84	777.72	615.87	381.18	414.72	589.75	963.49	309.97	558.4	399.65	1097.88	0.0	415.07	286.68	515.33	349.61	415.77	361.85	332.24	286.75	563.13	471.96	399.41	382.67	1171.59	635.32	290.5	406.15	497.97	425.03	430.84	351.54	383.64	461.49	396.5	451.91	258.33	346.96	319.85	304.27	306.67	527.64	396.51	367.87	446.38	427.9	269.19	328.6	284.25	515.1	429.02	729.51	391.51	339.47	581.48	492.52	310.88	399.46	468.96	253.56	481.44	104.66	581.55	416.46	315.62	385.3	361.61	380.48	230.72	416.27	1077.87	394.4	696.01	603.27	269.84	372.51	222.85	498.54	410.48	78.54	542.6	513.39	527.49	1048.29	334.58	320.99	478.79	424.62	355.04	883.53
Rps3a	0.0	584.29	1503.85	434.25	59.37	386.72	572.24	837.9	1086.12	509.75	947.48	269.64	2514.89	0.0	297.02	263.06	177.23	628.49	557.5	557.43	561.0	466.59	706.46	565.95	688.46	567.29	3012.78	1016.85	544.22	716.47	519.84	1199.53	483.61	294.99	578.17	781.41	414.15	443.99	512.0	816.56	655.34	678.79	577.45	721.91	1054.35	786.69	723.05	694.77	538.43	647.08	539.08	1122.72	635.5	688.13	900.95	642.58	989.66	773.36	627.64	804.02	698.49	902.16	545.93	0.0	689.27	1132.79	451.0	319.13	469.48	471.43	149.12	348.51	1055.06	678.76	951.43	838.35	637.04	465.07	849.16	786.7	406.21	140.8	260.31	822.01	766.07	1163.02	701.19	474.33	790.18	752.85	478.12	459.22
Rps6	236.95	872.51	825.25	671.49	574.43	615.14	545.69	846.71	848.53	329.31	674.29	813.68	1184.85	0.5	435.93	468.23	409.38	664.89	486.59	299.95	433.7	292.19	450.74	449.01	292.43	367.44	2113.77	883.3	453.11	572.16	632.03	561.39	461.05	623.17	573.69	741.58	627.22	699.67	400.02	631.22	333.7	364.41	378.93	675.31	616.99	411.84	448.35	855.4	658.05	734.99	529.53	359.97	202.37	1014.51	983.8	522.76	508.1	489.57	777.77	611.41	521.0	356.23	383.77	0.57	891.79	397.66	755.52	375.49	465.06	678.36	403.25	447.19	2007.06	825.75	732.19	759.05	687.07	408.23	1052.97	565.18	502.78	449.35	707.32	617.17	595.54	993.42	740.52	573.91	860.94	655.14	666.81	926.68
Rps8	91.81	327.06	381.06	596.72	415.24	524.82	769.45	648.92	284.33	223.68	664.79	428.51	1313.24	0.0	279.21	371.18	144.74	234.24	242.38	316.76	98.11	270.64	162.73	176.76	306.22	318.77	1102.76	709.64	393.52	419.05	501.17	599.87	383.49	336.69	468.55	322.82	358.13	490.0	341.44	480.45	422.79	260.88	415.56	693.78	506.53	348.83	428.43	439.63	293.0	484.48	172.68	267.78	111.13	620.67	526.26	424.11	759.08	294.31	404.73	306.46	387.47	189.3	459.13	0.65	283.44	376.67	277.49	253.88	314.99	265.15	161.71	710.83	1764.56	362.89	485.63	487.91	492.16	436.07	406.21	417.47	365.16	533.9	383.75	386.79	411.24	740.47	208.23	233.3	521.51	608.5	258.9	1038.16
