	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_74	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cyth2	0.0	0.0	0.0	0.0	0.0	27.4	0.0	0.0	0.0	0.0	0.0	0.17	0.0	2.85	3.76	0.28	33.75	0.0	3.79	10.09	0.43	0.0	19.4	9.71	14.84	5.23	30.46	0.0	12.79	0.0	0.0	3.09	0.72	0.0	0.0	0.16	30.64	15.33	0.0	7.65	4.3	39.72	5.35	22.33	0.0	0.0	0.66	0.0	0.0	14.87	18.98	0.0	0.0	31.12	20.91	0.0	5.84	12.27	20.11	8.95	0.0	0.0	0.0	0.0	0.0	0.0	68.24	74.9	71.28
Dcaf6	7.28	82.82	0.0	1.84	0.0	3.82	0.77	21.66	15.56	7.61	0.0	9.74	3.12	4.69	4.47	42.56	0.0	0.29	1.54	3.25	3.94	5.76	2.68	1.43	5.61	1.83	0.97	6.33	46.11	3.52	4.88	6.77	5.51	11.88	0.0	4.28	25.05	5.92	3.4	3.02	1.84	1.48	3.24	2.86	2.63	8.16	3.12	0.48	6.83	2.68	6.93	0.84	3.94	7.74	4.67	14.22	2.27	0.92	8.63	2.87	1.83	4.75	0.0	0.0	0.22	0.0	80.08	75.12	71.58
Dnm1	0.0	0.0	0.0	0.0	0.0	46.47	9.2	51.89	0.0	0.0	0.0	78.56	0.0	0.0	49.98	54.5	24.08	22.6	42.23	65.64	39.79	44.67	56.43	20.34	98.62	59.25	13.46	26.69	51.02	72.66	74.58	86.27	35.07	45.36	10.67	31.14	62.71	54.75	10.96	65.43	91.12	59.24	10.87	51.62	25.46	159.48	100.11	93.66	55.97	107.29	52.37	64.16	74.07	87.87	71.52	39.79	57.54	195.96	101.6	31.78	82.65	73.5	0.0	0.11	0.39	0.0	785.48	840.55	821.55
Dpf1	0.0	0.0	0.25	80.84	0.0	0.56	1.12	0.0	1.06	0.0	18.8	0.55	0.0	0.0	7.06	14.52	0.22	2.95	7.37	5.77	17.53	5.86	1.96	5.57	15.07	0.0	0.28	4.38	1.05	5.44	6.46	3.84	2.19	2.95	0.0	0.0	1.85	1.89	1.05	5.99	0.0	0.0	9.25	14.77	8.83	5.5	1.83	0.0	2.14	5.93	5.46	2.89	0.2	3.23	1.21	4.12	6.15	2.93	9.9	4.98	5.96	2.83	0.0	0.18	0.16	0.0	47.74	50.08	44.62
Dync1h1	17.0	19.1	0.0	95.15	0.0	0.0	55.57	0.15	0.0	0.0	0.0	34.41	0.0	0.08	10.16	23.01	13.97	8.12	6.97	27.98	2.27	14.47	40.12	25.02	21.01	12.21	32.48	11.73	24.33	19.77	16.01	22.98	27.27	8.35	52.91	11.06	10.05	17.76	25.67	27.48	26.45	15.79	5.29	15.57	8.5	28.47	8.49	24.09	18.52	18.38	33.41	30.35	19.55	36.23	10.27	2.19	14.64	21.76	23.66	15.34	1.96	24.17	0.0	0.06	0.25	0.05	143.44	143.12	153.5
Eid1	11.6	0.1	0.0	0.0	0.0	66.15	0.0	0.0	0.0	0.0	0.0	24.12	0.0	0.71	34.08	0.83	38.45	0.0	18.82	48.74	30.04	0.0	19.78	20.85	8.74	17.17	30.26	6.75	0.24	0.0	0.0	46.18	5.14	0.0	4.26	7.19	13.67	20.31	11.44	13.24	8.86	33.95	0.3	13.0	0.0	15.48	0.0	10.51	0.0	21.21	0.24	10.96	0.0	49.3	31.7	38.29	28.21	38.07	17.27	29.26	83.57	14.55	0.0	0.0	0.0	0.0	219.68	227.68	212.38
Elavl3	0.0	0.41	0.0	0.0	0.0	3.0	1.7	3.63	0.0	18.42	2.24	10.44	0.0	0.12	42.64	38.05	34.6	47.89	18.22	22.97	37.53	27.52	57.39	20.38	25.54	20.5	1.14	38.43	19.05	41.96	9.58	22.73	4.43	0.53	13.37	24.1	84.74	33.64	25.87	37.75	37.76	15.48	9.08	30.25	28.22	89.25	24.27	50.35	33.47	78.45	0.75	38.57	19.87	40.04	11.33	23.08	14.67	63.21	66.62	33.07	70.65	38.14	0.0	0.15	0.0	0.0	107.03	102.66	114.29
Epb4.1l1	0.0	0.0	0.0	0.0	0.0	0.3	0.08	19.75	0.0	0.0	0.0	13.26	0.0	0.0	24.77	6.57	19.04	37.5	10.86	45.28	5.63	26.84	39.97	5.65	2.59	31.48	35.91	6.23	24.12	23.26	15.19	10.64	1.62	4.03	5.68	12.06	29.99	34.25	37.1	20.56	55.65	33.16	9.94	38.28	26.43	6.94	17.11	25.53	31.62	18.1	38.18	19.15	15.79	25.19	44.57	13.95	35.15	35.32	43.13	41.12	79.14	16.54	0.0	0.07	0.06	0.0	226.35	219.82	236.74
Ephb6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	14.1	0.0	0.0	0.0	3.71	0.0	3.62	0.0	1.02	12.11	0.0	25.06	26.35	0.86	5.1	0.0	26.91	0.0	0.0	0.0	0.12	22.59	0.0	49.53	0.0	0.0	10.84	0.0	1.51	0.0	0.0	28.62	0.26	0.0	7.27	0.33	0.0	0.0	27.23	69.14	39.27	16.98	31.3	14.29	0.0	24.15	30.06	0.0	28.21	1.61	0.0	0.0	0.0	0.2	0.0	93.01	90.46	96.16
Etv3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.36	0.0	0.97	0.0	3.15	0.13	0.12	3.88	0.0	4.08	0.0	0.0	0.0	2.52	12.98	12.98	0.0	0.0	0.0	0.0	0.0	17.96	2.38	13.67	2.21	14.69	0.0	0.0	2.35	0.0	0.0	0.46	7.99	0.0	5.7	0.43	0.0	0.0	0.72	0.0	4.14	0.0	0.0	0.12	10.3	0.0	0.0	0.0	16.62	4.71	16.16	0.91	0.0	0.0	0.0	0.0	0.8	0.14	0.0	19.55	18.4	16.42
Fam160a2	0.0	0.08	0.0	0.0	0.0	1.7	0.0	35.81	0.02	0.02	0.0	0.0	0.0	0.0	4.82	0.0	0.43	1.05	0.03	27.71	4.07	23.9	0.06	8.15	20.67	1.23	3.79	0.0	7.49	19.8	0.07	0.04	12.07	0.07	2.33	0.4	0.0	3.58	6.76	0.61	0.12	23.54	3.3	0.0	0.0	3.22	0.0	0.72	0.62	3.95	0.06	1.21	0.0	4.66	6.33	0.04	0.0	14.63	14.66	3.98	28.44	0.09	0.0	0.0	0.46	6.46	24.28	25.16	25.64
Fam5b	0.0	34.66	0.0	0.0	0.0	0.0	0.0	112.27	0.0	0.0	0.0	15.23	0.0	0.14	6.6	0.68	24.67	0.0	16.94	21.08	0.26	39.65	6.46	0.0	0.0	0.0	0.0	1.61	3.76	0.0	10.46	25.87	24.2	0.0	0.0	0.39	1.53	0.0	0.0	0.0	30.0	0.0	0.0	8.11	0.0	59.82	31.42	0.19	0.0	22.7	0.75	0.0	0.0	29.63	19.43	0.1	0.0	26.4	17.64	19.12	24.61	23.41	0.0	0.2	0.18	0.0	67.67	69.72	71.26
Gabrb3	0.08	1.1	0.0	0.1	0.0	0.11	0.0	0.0	0.35	0.0	0.0	8.01	0.0	0.43	61.79	10.21	0.0	45.42	12.74	24.43	4.71	17.22	5.14	31.12	0.98	19.9	51.73	0.0	2.05	0.47	52.34	55.18	7.87	0.32	80.46	10.61	28.55	20.1	0.08	32.53	5.6	7.73	6.83	15.96	0.17	49.73	18.49	25.16	9.95	12.46	0.12	38.2	43.62	31.16	81.49	6.13	13.24	31.6	31.44	72.36	28.15	14.88	0.08	0.37	0.27	0.09	154.37	138.99	149.04
Get4	0.0	63.88	0.0	0.0	0.0	4.34	0.0	0.0	0.0	0.0	0.0	4.2	0.0	0.32	5.31	1.85	6.83	0.0	5.94	0.41	1.15	0.0	40.21	0.0	19.73	0.0	41.3	7.28	0.0	0.0	16.26	0.48	3.58	0.0	0.39	1.93	0.0	4.37	86.65	9.04	23.43	1.94	0.0	1.58	0.0	9.87	23.33	10.07	3.69	2.53	0.0	0.0	35.48	8.7	0.0	38.58	0.0	7.41	51.94	6.13	0.0	3.79	0.0	0.0	0.0	0.0	55.98	62.01	56.66
Gfod1	0.0	2.15	0.0	0.0	0.07	0.0	0.38	0.56	0.0	0.0	0.0	11.02	0.0	0.09	15.48	3.12	5.75	18.65	5.22	53.4	41.56	33.08	12.54	13.95	19.0	21.59	1.43	7.96	25.7	68.32	30.34	0.27	9.27	2.25	38.78	0.0	25.44	0.0	26.67	18.14	25.36	14.85	17.11	15.22	0.0	25.64	1.35	7.86	14.56	2.5	1.57	0.0	0.0	12.65	16.01	1.93	23.61	21.91	10.36	18.63	0.0	16.14	0.0	0.0	0.0	0.0	50.26	46.46	49.88
Gm1673	0.0	13.46	0.0	0.0	0.0	1.67	0.0	15.73	0.0	0.0	0.0	0.0	0.0	0.0	17.17	0.0	0.0	10.07	0.0	0.0	0.0	24.09	1.68	8.35	0.0	20.03	0.0	0.0	4.72	3.42	0.0	0.0	0.0	1.86	0.0	7.5	0.0	6.48	16.2	0.0	0.0	5.38	1.97	0.0	11.47	18.09	0.0	0.0	5.68	5.07	6.54	0.0	1.19	2.42	2.63	0.0	0.0	0.0	0.0	18.58	0.0	0.0	0.0	0.0	0.0	0.0	53.39	62.92	63.57
Gnl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.4	0.0	0.1	13.87	0.0	0.0	0.22	0.23	22.22	1.18	0.0	34.7	2.53	24.82	26.36	2.78	0.0	32.23	21.98	16.33	81.95	15.03	5.95	0.56	0.0	0.0	2.18	1.77	56.51	0.38	13.87	48.2	6.25	1.72	0.15	1.09	8.75	0.0	89.59	7.71	3.05	20.64	26.63	28.29	58.63	0.0	2.67	28.24	26.97	2.47	13.01	4.1	4.37	3.57	0.0	0.14	0.0	0.0	0.0	139.48	150.8	141.26
Golga4	0.0	6.73	0.0	0.0	0.0	4.9	0.0	0.0	0.0	0.0	0.0	17.74	0.0	30.38	7.14	12.48	18.65	10.7	0.0	6.46	3.0	0.44	14.9	3.63	0.28	0.13	0.0	11.44	20.74	17.01	8.89	5.05	17.36	26.72	11.68	3.72	3.51	10.17	0.0	13.39	19.76	0.54	13.15	10.67	39.47	11.93	0.0	2.92	6.42	7.3	0.16	0.36	21.24	18.49	5.96	22.49	11.26	17.56	0.0	17.46	0.93	2.06	0.0	0.16	0.05	0.0	48.3	40.88	49.25
Grm4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.85	0.0	0.0	0.0	4.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.66	17.01	18.6
Hdac2	0.0	10.1	85.32	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	9.49	0.0	0.3	0.0	7.4	0.0	14.42	16.31	37.96	5.21	57.7	0.96	73.92	4.37	46.06	0.0	7.22	5.71	1.96	120.67	0.69	3.15	0.18	0.0	0.0	36.76	0.0	0.0	26.61	50.86	3.9	0.0	0.0	2.85	77.52	0.0	0.0	5.15	159.2	0.0	0.27	0.0	0.0	31.67	2.86	0.0	0.0	109.71	0.0	0.17	37.94	0.0	1.04	0.0	0.0	97.43	91.4	94.39
Hspa12a	0.0	0.0	0.0	0.0	0.0	95.57	0.0	2.49	0.0	0.0	0.0	21.12	0.0	0.0	2.35	26.97	38.65	22.26	3.71	59.54	13.34	45.17	45.81	50.68	26.1	54.64	0.0	30.5	8.04	103.38	0.13	0.16	60.95	0.06	45.01	24.93	24.58	40.33	29.04	39.09	34.4	21.1	34.63	40.71	26.89	40.69	18.81	21.22	64.2	34.17	38.35	39.14	40.13	45.18	23.85	25.74	34.47	103.62	103.88	89.3	131.17	12.33	0.0	0.0	0.0	0.0	120.9	114.32	124.73
Itpr1	0.0	0.0	0.0	0.0	0.0	28.19	0.76	22.99	0.0	0.0	0.0	26.38	0.0	0.18	27.24	11.39	0.02	18.25	18.95	36.03	27.92	84.64	18.43	32.52	32.34	16.52	35.77	12.06	67.98	56.97	14.23	57.7	25.24	51.19	89.6	10.89	52.94	22.88	14.86	38.85	8.03	23.9	48.77	22.58	52.66	11.44	46.38	1.03	11.4	5.61	66.33	14.52	29.95	41.95	50.83	44.84	18.76	40.36	74.95	43.96	35.57	29.32	0.0	0.04	0.07	0.0	211.99	196.39	212.52
Kbtbd7	0.0	6.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.26	0.0	0.0	0.0	0.31	0.0	0.0	1.07	0.0	31.87	0.0	2.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.74	0.0	5.78	5.42	0.0	0.0	0.0	2.19	0.0	25.49	0.49	12.7	1.43	5.06	0.0	0.09	32.13	0.0	23.53	0.0	0.0	0.3	1.97	0.09	0.0	1.12	2.06	0.08	37.6	27.73	0.08	0.0	0.08	0.0	34.48	33.77	31.87
Kcnab2	0.0	0.2	0.0	0.0	0.0	56.32	2.69	96.91	0.0	0.0	0.0	39.01	0.0	0.0	61.03	19.58	47.5	45.26	22.24	87.19	102.87	58.06	23.79	116.01	58.4	61.28	5.19	41.04	56.58	89.61	36.84	4.56	22.53	29.97	34.78	31.15	77.57	88.78	45.03	53.29	113.61	33.32	77.34	118.17	49.89	59.43	26.18	85.61	64.08	73.2	44.07	43.88	35.72	25.17	57.48	84.42	47.5	133.47	126.13	79.62	150.1	98.54	0.0	0.0	0.41	0.0	267.74	284.22	279.19
Kcnj9	0.0	0.07	0.0	0.0	0.0	9.66	0.0	9.28	0.0	0.0	0.0	25.69	0.0	0.0	18.24	18.79	0.0	53.01	20.8	1.41	35.86	43.43	13.36	52.48	28.03	42.63	1.17	3.7	6.19	30.07	81.81	0.0	18.53	0.0	1.36	10.27	0.32	8.51	46.46	28.33	50.29	37.49	6.16	7.47	21.14	0.95	1.26	14.39	0.0	3.08	0.0	1.0	24.64	4.19	38.93	17.85	1.26	54.79	94.98	35.46	22.86	66.25	0.0	0.0	0.0	0.0	121.29	116.59	115.73
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Kpna6	0.0	0.0	0.0	0.0	0.0	16.91	0.0	6.2	0.0	0.0	0.0	10.6	0.0	0.0	1.25	0.0	0.0	0.0	0.65	0.27	23.87	19.29	0.0	54.57	23.11	11.94	15.19	4.98	1.35	0.0	0.0	14.14	2.04	0.0	17.62	0.0	34.04	10.73	20.78	6.93	0.0	15.07	0.0	1.39	22.32	14.05	20.68	7.24	0.0	3.66	0.0	34.0	5.63	3.49	41.86	0.0	3.13	25.75	13.5	14.05	0.23	3.64	0.0	0.0	0.06	0.0	51.29	52.26	49.38
Ldhb	7486.96	8970.97	4317.46	5404.32	5274.92	9309.63	8204.16	8550.52	4364.95	5876.73	5600.23	8752.31	4948.76	6399.01	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	8217.62	8583.06	8517.89	9220.91	9343.6	8808.99	8620.64	8223.21	8574.79	10165.1	9166.61	9602.81	7785.08	8469.38	11261.44	7829.53	8285.69	10004.69	8757.21	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8013.75	8904.1	8390.99	11010.48	8275.76	8671.45	7724.63	10182.84	7750.55	9082.37	7844.79	8351.44	7175.32	7830.1	8111.86	8330.83	11746.38	3251.53	5217.81	5873.38	5577.5	737.58	774.98	752.92
Lpcat4	0.0	0.13	0.0	0.0	0.0	0.0	0.0	38.6	0.0	0.0	0.0	3.56	0.0	0.0	8.81	0.0	0.26	0.0	5.8	74.81	82.99	31.33	0.34	31.45	14.4	51.65	8.16	14.95	30.45	52.72	63.47	8.0	31.86	0.0	0.0	42.69	43.54	39.91	40.1	36.05	27.28	0.22	4.77	33.17	5.94	37.14	9.23	34.23	20.04	54.86	0.0	0.0	0.0	0.24	0.8	1.08	9.4	55.23	75.38	40.99	0.18	70.38	0.0	0.0	0.0	0.0	125.99	137.81	128.9
Lphn1	6.71	31.06	0.0	105.03	0.0	15.35	26.34	38.98	112.07	1.24	0.0	24.44	52.24	0.0	11.7	11.98	14.1	9.32	0.12	4.73	15.28	31.63	15.45	13.41	20.31	11.96	1.7	9.58	4.89	0.08	0.0	9.94	25.68	38.4	38.38	39.45	0.0	30.23	14.41	18.34	6.59	36.32	36.68	17.64	9.96	38.76	11.18	8.58	19.21	13.32	16.98	12.74	25.51	39.95	38.37	10.28	23.33	18.58	66.49	12.27	50.7	15.31	0.0	4.09	68.54	0.0	185.96	190.77	203.82
Madd	0.0	0.46	0.16	1.16	0.11	33.4	0.07	70.34	0.05	0.0	0.0	20.39	0.38	0.83	10.72	21.71	26.0	22.28	38.2	54.68	11.41	42.33	15.75	14.02	26.73	47.77	4.14	24.88	39.17	50.44	2.59	48.34	3.3	80.33	94.3	42.42	27.46	27.37	92.45	46.96	24.73	5.81	36.25	60.48	22.22	29.48	25.79	17.91	39.47	42.76	42.04	10.32	41.29	42.49	54.96	13.39	71.1	52.22	67.98	28.57	28.09	67.4	9.4	1.46	0.1	0.0	113.32	109.49	109.17
Map3k5	0.0	0.0	0.0	34.44	0.0	0.12	0.0	0.0	30.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	5.1	6.25	0.0	4.35	0.0	9.02	0.12	7.71	0.0	0.0	0.0	16.07	1.15	0.0	0.34	0.0	0.0	0.0	23.39	0.0	0.0	0.0	0.0	1.93	0.0	2.98	0.0	0.0	0.2	15.7	5.7	0.0	0.0	0.0	0.0	1.49	0.07	0.0	0.0	0.19	4.46	0.0	0.0	0.08	0.0	0.0	26.04	25.01	25.24
Mapk1	0.0	39.14	0.0	0.0	0.0	63.53	0.0	50.53	0.0	0.0	0.0	3.34	0.0	0.58	71.21	9.8	2.9	13.08	55.8	32.61	57.77	105.1	127.71	149.7	52.77	113.55	37.8	27.98	45.72	26.86	34.6	57.13	37.28	74.74	111.04	11.04	99.44	35.12	14.07	49.56	40.13	12.69	24.29	52.62	24.52	77.07	16.75	1.31	82.85	47.61	23.76	3.5	35.7	15.4	77.72	21.39	30.82	80.36	81.15	63.82	37.47	31.05	0.2	46.78	0.82	0.0	371.72	366.39	352.91
Mapk8ip2	0.0	3.72	0.0	0.0	0.0	5.53	0.0	18.9	0.0	0.0	0.0	4.36	0.0	0.0	2.83	1.58	4.41	17.2	19.86	12.56	30.0	14.03	0.71	15.77	1.37	14.11	33.13	24.45	21.0	22.64	0.0	17.67	19.98	0.49	6.18	17.12	46.72	16.05	33.35	16.49	17.81	6.55	0.0	0.0	6.24	47.73	1.52	12.54	26.24	4.19	48.55	45.09	7.88	22.95	29.32	32.36	14.52	26.75	1.12	12.99	5.51	3.34	0.0	0.0	0.0	0.0	190.79	206.07	202.05
Mast1	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	5.11	2.54	0.0	0.0	0.48	4.03	9.65	0.33	1.02	0.0	16.7	2.75	0.0	3.45	0.72	0.0	0.0	0.09	4.99	0.0	0.0	0.0	6.03	1.54	0.0	1.58	0.95	0.25	0.08	0.0	0.18	10.67	0.0	2.4	0.0	1.45	0.0	0.11	0.82	1.38	9.81	0.0	0.0	0.0	5.11	0.07	0.07	0.0	0.0	0.0	0.0	0.0	57.59	61.96	60.11
Mgat3	0.0	0.0	0.12	0.0	0.0	76.66	0.0	19.15	0.0	0.12	0.0	29.49	0.0	0.13	32.62	45.71	28.23	6.17	18.68	28.48	28.94	54.76	65.75	26.18	12.68	56.3	0.0	15.97	19.17	16.69	4.43	5.16	25.12	150.93	6.65	22.94	3.69	97.61	0.0	17.93	42.44	18.4	16.31	27.52	33.06	153.54	0.0	1.1	0.0	143.31	56.08	61.3	28.7	7.3	63.61	45.97	74.48	28.69	41.05	6.59	0.0	88.5	0.0	0.0	0.16	0.0	99.56	101.36	101.11
Mgat5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14	10.93	2.87	0.0	0.0	0.0	0.0	0.0	0.76	0.0	1.94	12.89	0.0	0.0	3.6	0.0	0.0	0.0	0.0	6.82	2.94	0.0	0.0	4.84	0.0	2.46	0.0	0.0	1.22	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.22	54.09	52.11
Mxi1	0.0	0.0	68.86	0.11	0.0	0.0	59.5	0.0	0.18	0.17	0.0	17.66	0.0	102.14	4.37	21.92	25.82	31.77	9.7	0.95	0.0	0.0	9.62	0.0	3.44	26.75	0.0	14.02	0.0	15.28	0.0	15.11	18.26	0.0	2.06	0.08	28.51	24.8	22.59	0.0	14.15	0.0	0.0	31.51	24.49	47.87	22.84	20.77	0.11	20.64	0.0	0.54	15.6	48.29	33.14	23.79	15.54	34.65	18.55	18.4	0.03	22.88	0.0	0.25	127.92	0.0	35.92	35.55	32.05
Myh10	0.0	26.69	0.0	0.07	0.0	44.19	14.86	42.02	0.0	0.0	0.0	37.09	0.0	0.38	28.3	13.94	33.03	9.57	14.58	45.97	41.37	27.71	19.73	31.89	20.25	33.7	25.6	44.98	50.28	34.42	37.05	26.89	28.53	11.95	27.72	8.64	9.26	7.31	2.21	41.49	24.09	18.48	30.23	23.55	35.91	61.99	56.52	22.3	33.08	17.83	16.06	8.99	37.37	31.66	26.02	32.25	1.86	56.31	61.64	61.0	26.3	10.43	0.0	0.16	0.05	0.0	136.61	130.54	138.14
Myo5a	0.0	4.61	0.0	0.0	0.0	42.77	28.5	25.16	0.02	0.05	0.0	53.44	0.03	0.44	45.27	92.3	11.11	69.14	40.3	61.52	44.13	71.73	111.23	46.76	73.9	75.09	51.28	47.35	33.66	65.61	24.09	68.38	45.14	50.24	41.79	47.17	23.02	55.97	46.56	69.17	55.96	9.71	57.57	42.95	28.13	91.78	69.49	47.53	36.2	38.36	50.63	71.79	73.22	41.34	48.43	141.99	145.14	193.59	70.29	63.74	95.3	42.52	0.0	0.11	0.5	0.0	147.23	132.38	154.8
Nat8l	0.0	0.0	0.0	0.0	0.0	21.49	0.0	39.47	0.09	0.0	0.0	67.2	0.0	0.18	39.2	18.13	41.62	51.18	25.97	32.88	48.27	55.9	103.94	108.26	52.29	83.2	21.6	12.11	53.91	50.39	43.52	36.63	9.59	75.25	9.99	0.49	35.16	50.04	6.77	62.19	51.88	39.07	34.49	31.07	41.38	51.37	55.65	57.41	24.73	73.02	62.8	75.75	119.04	16.52	64.41	35.62	49.12	69.77	161.43	68.83	26.91	101.06	0.0	0.06	0.17	0.0	153.84	160.67	162.44
Ncor1	5.11	22.12	8.63	17.87	3.72	15.11	34.47	48.51	11.94	4.78	3.55	63.31	7.95	26.15	31.92	19.78	47.46	56.63	38.8	18.61	13.7	39.96	15.58	45.11	13.11	23.24	28.24	12.91	25.99	5.24	52.64	24.17	15.16	36.57	2.98	22.73	59.33	33.04	50.15	11.48	4.9	20.7	58.69	32.59	35.31	17.77	55.53	7.94	44.02	27.28	41.23	36.79	26.6	26.2	20.25	78.3	37.27	18.65	6.69	48.03	24.72	38.39	4.56	15.44	19.35	5.28	87.37	80.71	92.95
Odc1	0.0	24.86	0.0	0.0	0.18	46.6	40.44	26.88	80.9	0.0	0.0	67.62	0.0	0.0	37.99	1.7	0.1	64.46	21.61	26.04	0.0	45.93	0.0	0.75	6.19	0.0	0.0	6.08	0.0	33.6	0.0	2.89	0.21	0.0	69.17	5.99	15.09	61.4	1.88	0.28	43.29	0.0	33.79	0.0	0.0	105.66	0.16	0.0	0.21	60.87	3.42	13.93	85.14	34.48	1.57	0.0	18.68	16.88	27.29	18.26	8.29	55.08	0.0	0.0	0.29	0.0	58.12	59.46	55.0
Odz4	0.0	1.73	0.0	0.0	0.0	9.98	1.16	20.17	0.0	0.0	0.0	0.0	0.0	0.11	0.0	17.13	0.28	0.0	6.29	8.63	0.1	0.08	5.71	5.19	2.76	5.58	10.3	0.31	3.15	14.01	0.0	1.49	0.77	18.8	0.03	0.0	0.0	6.59	0.03	4.9	0.1	1.89	2.5	5.83	5.2	7.22	0.0	0.15	0.35	12.33	12.59	6.92	0.04	20.71	0.0	0.04	15.77	2.9	9.87	9.04	3.79	2.77	0.0	0.04	0.07	0.0	30.76	27.31	33.46
