	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_59	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Smarcd1	0.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	33.87	103.04	75.5	7.57	44.53	36.81	37.29	0.14	0.0	0.0	0.0	0.0	4.75	20.38	7.63	5.29	1.47	0.0	0.28	2.52	34.8	36.24	0.0	0.0	25.19	0.0	0.0	21.18	20.96	17.31	12.59	10.73	47.71	0.3	0.0	31.91	0.09	0.83	11.42	13.37	6.56	26.26	59.48	11.6	0.87	7.26	23.23	0.74	6.64	2.67	33.28	6.43	0.86	17.81
Srgap3	30.48	37.3	11.86	0.0	0.0	0.07	0.54	1.33	37.27	27.06	94.83	87.14	19.08	18.99	101.73	80.19	0.0	0.07	0.02	0.16	0.0	26.13	29.06	10.21	13.09	0.65	2.68	24.89	19.35	26.64	27.51	26.42	14.31	19.41	25.83	22.43	54.47	18.29	10.6	14.44	45.62	22.65	0.34	10.21	8.93	2.59	47.72	2.55	23.52	40.51	92.55	22.13	38.57	49.15	24.62	11.89	6.3	105.29	22.98	25.75	5.87	29.99
Srsf7	213.53	64.6	338.41	0.0	263.83	0.0	0.0	0.0	364.93	279.71	457.9	359.39	735.32	307.09	261.71	436.87	0.0	0.0	0.0	205.15	0.0	172.92	132.05	196.36	138.01	410.51	371.55	66.77	171.03	173.64	67.55	369.36	109.27	171.89	367.6	191.35	276.7	253.95	261.61	140.44	564.28	348.42	153.05	245.25	201.6	191.82	157.44	254.01	132.07	197.07	367.25	209.05	110.38	215.74	674.75	160.41	500.7	375.7	253.76	340.29	177.94	177.84
Strbp	56.49	42.39	47.47	0.32	0.37	0.22	0.25	0.0	174.79	182.06	239.92	159.92	115.67	146.91	135.58	142.54	0.58	13.3	0.25	0.54	0.0	42.02	81.24	45.24	28.62	56.44	68.11	29.52	62.06	67.87	68.43	76.77	88.4	46.42	42.23	58.92	46.8	28.34	37.57	19.54	29.48	30.12	90.93	44.91	33.68	90.46	110.31	64.97	70.52	114.18	324.59	32.58	38.72	94.45	45.65	54.26	58.7	104.58	55.77	151.27	36.91	32.28
Syncrip	0.0	3.69	31.69	0.0	0.0	95.01	0.14	0.0	62.44	85.45	155.28	56.92	0.0	60.43	89.12	44.8	0.0	0.0	0.0	0.0	0.0	5.8	15.97	38.82	0.03	14.95	43.16	17.75	43.36	0.0	25.53	33.92	21.91	0.04	0.0	101.52	17.37	6.22	16.11	1.41	0.0	0.0	0.0	0.0	18.7	0.63	2.27	28.94	7.88	60.8	17.84	4.01	26.01	38.82	66.48	15.08	66.05	0.0	17.17	0.0	5.24	38.23
Ttc3	167.93	361.34	227.12	0.06	0.0	0.0	0.0	0.0	551.3	253.73	506.46	549.74	504.72	268.44	412.62	323.15	10.56	0.04	0.0	0.21	0.0	171.42	161.41	112.39	120.18	210.54	156.89	207.73	172.31	157.83	224.21	148.39	183.89	131.92	208.72	210.89	481.13	149.63	125.74	142.13	300.66	211.2	325.46	273.28	191.36	122.39	193.81	125.06	228.16	427.31	386.43	165.78	317.41	519.09	274.8	220.25	618.61	494.69	223.54	374.25	199.72	201.56
Usp37	28.17	37.0	42.99	0.0	2.26	0.0	0.0	0.0	134.58	26.91	126.55	42.95	0.0	66.02	60.77	12.24	0.02	0.0	0.0	0.0	0.0	14.28	3.21	33.11	0.02	76.08	19.76	6.45	0.0	17.57	9.04	61.71	20.77	10.96	10.9	46.58	15.83	19.02	30.8	66.95	70.77	0.32	31.8	3.78	12.16	39.63	18.77	16.3	11.37	13.98	45.74	23.61	16.75	47.0	10.75	12.64	83.11	60.63	58.23	21.67	13.16	28.43
Veph1	3.03	3.28	4.68	0.33	3.45	0.1	0.0	0.22	19.86	13.41	9.03	11.01	16.88	4.15	6.27	4.89	0.58	1.55	1.49	0.65	0.0	2.9	3.4	2.5	2.17	2.5	3.32	2.45	4.83	2.7	3.69	4.26	4.81	2.22	0.85	5.7	7.42	1.85	2.48	1.22	5.01	1.79	5.79	2.78	2.57	3.95	3.66	2.33	3.69	5.71	8.93	1.88	2.49	4.7	3.35	5.18	8.99	8.4	4.31	6.24	0.87	1.07
Vps26a	95.06	49.58	104.92	0.0	0.11	0.0	0.0	0.0	268.42	106.58	277.97	80.04	52.12	226.45	0.0	116.31	3.31	0.0	0.0	0.0	0.0	194.69	88.12	165.34	129.69	153.4	64.68	143.78	38.88	71.68	126.56	103.87	33.38	61.78	45.0	87.99	155.34	48.52	137.02	61.13	137.16	11.93	49.42	29.45	19.67	51.75	43.41	93.01	67.75	52.27	109.01	56.21	30.96	52.91	40.42	96.55	4.43	54.93	0.65	56.1	156.7	38.59
Xpot	27.58	30.51	17.94	0.0	0.0	0.0	0.0	0.0	134.96	18.66	101.97	52.92	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.01	0.0	0.03	0.0	0.0	0.0	19.19	22.31	13.64	18.38	17.13	0.0	0.0	0.14	12.63	0.0	1.35	33.53	104.06	0.0	8.79	0.0	29.9	0.0	6.01	0.0	0.0	12.78	14.33	0.09	0.0	0.28	1.92	0.0	11.99	75.53	1.5	0.0	6.12	0.85
Zfp277	120.04	63.8	69.92	5.01	100.5	12.71	57.55	0.0	249.96	105.3	160.82	139.26	248.52	121.68	292.41	104.47	7.95	63.65	59.07	5.63	0.0	85.6	81.54	66.07	54.87	70.88	69.89	84.19	93.02	58.61	60.83	132.46	91.17	58.23	70.3	86.81	237.69	63.76	76.91	48.58	98.36	89.77	71.5	62.34	148.88	76.94	121.08	52.16	65.24	124.23	246.1	53.47	70.79	85.41	42.0	64.45	159.95	108.06	43.69	92.98	60.4	34.54
Zfp488	124.66	115.69	127.89	366.86	247.08	51.31	185.57	0.0	350.69	155.34	265.65	216.14	521.6	185.94	182.33	174.9	66.73	35.23	53.31	56.02	2.11	79.4	114.57	69.95	75.88	125.54	113.41	97.66	139.76	90.93	95.33	131.89	136.99	85.08	105.09	134.1	208.53	108.15	111.48	102.61	168.49	147.67	93.3	118.24	78.88	84.31	81.9	94.25	106.63	166.56	303.07	77.88	100.48	184.2	71.51	97.38	156.33	235.45	101.98	165.79	75.52	45.47
Zfp71-rs1	51.37	50.71	40.08	13.01	22.31	24.19	17.87	0.0	113.81	61.21	66.87	79.01	138.86	98.75	78.97	59.57	7.53	17.57	7.77	25.54	24.49	41.25	52.62	60.18	44.91	57.01	63.67	47.08	58.89	36.96	39.86	55.12	31.19	46.89	47.77	51.8	49.51	45.69	34.91	32.18	45.29	53.77	58.12	30.4	28.0	87.8	48.03	36.6	38.47	38.89	119.57	33.33	35.63	56.71	26.77	37.39	89.94	63.38	66.16	38.86	32.46	83.81
Zfr	102.48	141.61	52.98	0.0	40.52	0.0	17.49	396.28	307.99	166.4	513.44	146.97	589.42	264.73	253.98	199.34	0.0	0.0	0.0	0.0	0.0	181.22	143.55	66.61	26.46	87.36	43.72	154.16	130.7	61.52	74.55	184.84	42.1	87.07	53.55	125.24	209.89	29.73	70.75	68.01	198.88	183.11	25.45	52.09	60.07	83.13	78.34	105.08	80.47	76.0	276.18	145.21	81.13	183.25	86.27	69.77	126.59	227.27	84.49	140.19	158.22	77.07
Zkscan1	27.18	0.74	18.75	0.05	0.0	0.0	0.0	0.0	159.9	37.33	107.93	63.45	7.98	94.02	42.03	54.6	77.5	74.52	0.0	0.04	0.0	38.17	33.04	39.99	47.98	49.2	57.11	37.16	14.06	54.07	32.32	27.03	3.83	36.81	15.7	28.05	40.57	17.77	29.65	23.77	51.21	0.0	87.02	14.53	28.51	54.63	8.69	14.76	25.03	26.08	39.56	12.51	20.13	19.1	27.57	0.04	96.0	85.24	4.47	34.32	11.89	0.0
