	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dtx3	42.52	35.87	39.86	0.0	0.0	0.0	0.0	0.0	0.0	2.83	135.39	37.07	37.15	180.04	0.0	31.21	33.18	172.8	5.22	65.91	62.6	94.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.22	1.9	28.53	35.17	0.09	2.9	25.82	0.81	16.64	25.73	30.74	10.47	35.72	7.67	81.19	23.55	0.44	18.58	51.86	43.02	78.16	24.3	0.0	52.92	89.87	0.78	11.19	155.57	19.04	25.63	48.6	13.65	0.14	22.92	84.09	48.8	0.0	0.0	0.0	7.94	7.01	39.77	13.33	48.98	10.04	0.0	68.9	4.03	217.24	238.78	229.0
Dync1li2	56.99	0.88	43.38	0.0	0.0	135.22	0.0	0.0	0.0	87.5	109.35	142.66	158.08	232.8	61.32	0.19	127.3	82.07	22.89	78.52	0.36	19.93	0.04	0.0	0.0	0.0	57.17	0.0	0.0	24.58	20.18	1.79	27.75	7.8	87.74	8.38	47.99	29.87	3.37	27.83	62.41	1.21	41.96	59.36	125.2	47.43	40.84	53.38	0.0	35.96	0.0	52.46	35.13	43.65	0.23	24.32	1.91	96.47	0.31	4.7	32.51	39.12	52.44	53.15	41.06	0.0	0.0	0.0	68.25	43.77	34.24	10.86	66.53	29.75	3.99	3.12	12.4	163.9	162.52	165.81
Erbb2ip	37.23	45.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	8.82	23.79	8.38	43.62	1.01	81.43	10.87	7.86	119.03	54.79	61.78	57.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	6.89	0.28	0.02	0.03	0.0	0.0	2.54	0.22	14.58	0.0	14.3	0.06	11.84	0.43	0.59	0.43	3.43	11.38	16.58	0.0	1.01	0.68	0.64	0.15	0.74	0.0	0.0	0.0	0.03	0.78	0.0	18.3	4.89	0.04	0.0	0.0	0.0	0.0	0.0	4.05	0.0	0.0	0.0	0.12	0.0	0.01	0.0	36.17	29.44	40.48
Evl	9.33	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	22.12	29.89	2.85	139.89	38.72	0.0	83.66	30.26	34.67	62.0	16.47	36.15	0.0	0.0	0.0	2.12	0.0	54.15	0.0	0.0	25.01	14.98	42.91	27.16	1.79	36.78	0.18	6.88	43.66	10.08	14.24	8.16	9.4	17.75	7.3	15.89	31.77	26.17	0.0	2.8	14.04	0.0	10.1	0.35	44.13	25.65	0.0	13.84	17.87	14.07	7.8	14.66	24.2	6.36	36.93	1.58	0.0	0.0	41.3	5.57	8.77	3.82	20.05	30.33	34.46	0.0	10.95	4.95	111.96	118.37	113.45
F630111L10Rik	34.72	42.0	35.66	0.07	0.0	0.0	0.0	0.0	0.0	28.1	0.0	15.47	0.0	72.25	41.98	119.39	34.72	85.67	79.6	55.5	0.04	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.73	0.1	3.91	36.69	24.94	0.05	0.11	0.38	14.05	7.26	12.31	18.64	0.0	0.04	27.98	0.0	77.07	0.03	32.54	0.0	0.04	24.62	0.11	0.0	0.0	0.0	0.0	1.39	0.0	0.0	0.04	0.0	10.31	30.99	0.0	15.55	0.07	0.0	0.0	0.0	26.14	0.0	0.04	0.0	47.27	4.95	21.83	0.0	0.06	0.06	0.06
Fam177a	6.75	0.66	3.78	5.1	2.63	2.05	2.8	0.11	2.15	5.1	25.01	16.25	26.59	49.44	4.73	27.33	15.13	31.83	61.73	16.63	14.23	10.18	3.14	0.15	3.42	1.72	28.96	0.0	1.95	0.75	7.92	4.6	0.97	5.07	19.24	14.74	10.07	22.21	2.3	7.08	3.74	10.01	22.97	12.78	10.53	5.51	4.19	26.95	14.55	4.03	30.94	3.22	5.27	9.6	1.07	3.41	11.48	12.89	15.79	11.15	2.03	3.87	8.65	17.02	12.08	23.39	1.52	2.02	18.26	23.92	11.71	8.08	15.19	9.76	6.64	1.29	12.49	17.56	16.4	17.92
Fbxl16	0.0	28.55	8.46	0.0	0.78	0.08	0.0	0.0	0.0	6.81	82.08	34.62	219.58	167.27	4.99	220.22	67.32	195.13	36.28	69.65	0.08	87.84	0.18	0.0	0.0	32.88	22.16	0.0	0.11	1.94	13.37	13.53	9.86	0.05	30.08	0.03	0.52	26.37	3.65	0.46	0.96	1.95	22.42	7.78	3.22	0.0	3.54	8.16	94.65	10.9	47.11	11.41	0.18	20.82	19.6	77.07	34.43	11.29	1.06	16.79	17.51	7.16	0.05	24.71	11.41	0.0	0.0	0.0	2.45	25.78	0.19	23.99	16.82	6.49	4.79	27.0	187.98	727.21	765.65	765.77
Fbxo45	19.96	46.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.25	2.32	19.33	0.0	0.0	1.42	0.0	125.77	128.28	98.94	66.65	49.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.76	31.26	0.0	22.33	0.0	0.0	1.16	0.0	0.46	0.0	0.0	0.0	0.0	0.23	0.0	0.0	1.04	0.0	0.44	0.0	0.0	0.0	0.0	23.13	7.02	0.0	0.06	0.0	24.93	0.33	56.58	0.81	22.88	0.0	0.0	0.0	0.0	0.0	6.82	0.0	0.08	0.0	0.0	0.0	29.89	30.47	0.0	44.55	43.82	43.94
Fem1b	30.31	72.42	21.29	0.0	0.0	0.0	0.0	0.0	0.0	71.31	69.23	47.23	54.48	12.86	4.15	2.17	43.52	105.87	113.17	85.41	71.45	72.02	0.0	0.0	0.0	0.0	42.33	0.0	0.0	24.54	61.44	33.6	39.45	28.26	41.81	30.13	8.33	9.28	29.34	7.09	21.98	55.41	23.74	79.46	18.22	42.98	76.65	47.93	3.58	1.29	61.77	2.64	0.74	19.08	10.59	0.0	1.29	3.53	22.63	9.35	37.04	5.62	1.48	35.47	32.37	0.0	0.0	0.0	37.01	51.92	0.05	29.8	1.14	18.29	2.68	76.82	0.11	68.78	68.27	62.92
Gde1	101.79	85.14	1.59	0.0	0.0	0.0	0.0	0.0	0.0	79.54	30.41	151.74	207.58	54.21	110.31	289.77	240.36	83.3	21.03	141.59	9.61	127.95	0.0	0.0	3.12	0.0	4.53	0.0	0.0	12.16	9.76	4.62	0.08	9.4	130.3	1.77	4.87	69.47	42.48	75.53	3.91	10.51	8.98	66.6	12.32	3.72	12.08	17.63	58.77	4.67	284.95	85.39	33.72	46.93	0.0	137.17	11.11	6.95	4.86	61.94	3.7	4.19	3.66	5.25	21.68	0.0	0.0	0.0	78.35	0.0	40.81	5.07	76.36	58.08	66.84	3.6	123.83	304.34	337.74	326.45
Gm14430	8.29	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.4	0.05	17.47	8.79	1.79	7.41	46.02	19.54	0.0	21.04	23.07	0.0	13.78	0.0	0.0	0.12	0.0	0.0	0.0	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.0	0.12	0.0	11.84	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	2.39	0.82	0.0	0.0	4.29	0.72	0.0	8.42	24.16	7.67	5.07	7.49
Gm14434	8.29	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.4	0.05	17.47	8.79	1.79	7.41	46.02	19.54	0.0	21.04	23.07	0.0	13.78	0.0	0.0	0.12	0.0	0.0	0.0	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.0	0.12	0.0	11.84	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	2.39	0.82	0.0	0.0	4.29	0.72	0.0	8.42	24.16	7.67	5.07	7.49
Gm4724	8.29	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.4	0.05	17.47	8.79	1.79	7.41	46.02	19.54	0.0	21.04	23.07	0.0	13.78	0.0	0.0	0.12	0.0	0.0	0.0	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.0	0.12	0.0	11.84	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	2.39	0.82	0.0	0.0	4.29	0.72	0.0	8.42	24.16	7.67	5.07	7.49
Hcn1	3.27	7.68	0.07	0.0	0.0	0.0	0.13	0.0	0.0	8.07	68.41	20.71	59.62	32.93	23.33	112.2	25.39	45.0	34.65	66.87	12.08	20.83	0.0	0.0	0.0	0.0	26.12	0.0	0.0	4.32	0.09	3.76	9.74	7.49	2.92	8.76	18.16	5.02	19.09	2.92	0.15	0.3	0.38	4.57	0.05	0.04	14.19	43.91	45.44	0.04	14.3	19.57	9.25	3.77	2.45	57.56	0.0	0.92	1.56	0.14	0.0	25.86	32.42	22.51	8.27	0.0	0.0	0.0	2.93	0.0	11.66	0.16	4.1	2.01	9.53	0.0	22.33	28.29	25.28	29.23
Hlf	0.11	0.0	0.0	0.0	0.0	0.07	0.0	0.0	4.38	3.67	49.35	47.94	226.59	106.08	75.79	251.27	93.98	201.95	58.69	196.96	100.85	0.09	0.0	0.0	0.0	0.0	49.11	0.0	0.0	0.09	0.06	0.04	0.04	0.06	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.64	0.0	0.0	0.15	0.0	81.23	32.32	0.0	210.19	36.51	0.0	2.85	0.0	63.22	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.96	0.0	0.0	0.03	0.0	0.0	38.14	109.73	107.52	97.85
Igsf8	9.51	23.72	4.91	0.0	0.0	0.0	0.0	0.0	52.66	27.78	37.43	7.27	136.95	82.82	7.61	114.3	65.91	151.03	11.21	51.06	4.46	76.49	0.0	0.0	0.0	0.0	17.21	0.0	0.0	19.64	19.16	28.34	21.92	2.02	18.69	38.63	11.39	47.43	29.49	4.09	37.55	34.28	16.85	49.33	32.57	2.53	1.57	17.48	17.21	3.82	113.41	1.24	7.55	6.59	3.27	0.0	26.82	11.93	29.2	15.39	14.08	30.17	35.17	7.42	45.89	0.0	0.0	303.15	1.55	23.16	21.13	2.64	35.03	22.23	5.48	3.94	90.64	177.56	211.72	181.99
Irgq	3.92	14.1	10.72	0.0	0.0	0.06	0.0	0.0	0.0	8.93	0.17	3.37	37.57	4.11	5.94	0.57	12.48	67.84	0.03	0.0	1.97	0.48	0.02	0.0	0.0	0.0	0.24	0.0	0.0	0.55	6.64	1.37	39.02	13.66	29.08	0.03	0.0	2.29	0.61	13.78	4.16	0.67	0.58	5.46	0.88	8.23	0.03	1.02	0.0	0.58	42.19	28.27	0.23	0.04	0.07	0.46	0.29	0.09	1.55	0.04	1.26	1.45	0.03	0.56	0.43	0.0	0.0	0.0	0.6	11.77	0.69	0.35	6.02	32.07	1.16	0.08	1.31	67.22	66.07	66.39
Kcnc1	8.09	50.94	3.37	0.0	0.0	0.16	0.0	0.06	0.0	9.71	26.23	58.08	66.83	61.53	2.99	129.83	83.07	119.53	8.46	25.44	19.34	22.18	0.0	0.16	0.0	0.0	1.46	0.0	0.0	0.09	7.4	2.8	0.04	0.02	0.33	0.02	4.87	4.49	7.53	0.06	0.0	3.81	3.79	0.94	3.81	4.61	0.05	26.71	16.46	0.04	70.68	14.39	1.16	0.83	9.61	7.48	0.03	0.18	3.62	0.1	1.56	0.2	2.6	1.7	0.0	0.0	0.05	0.0	0.22	0.9	3.42	19.84	0.31	10.25	32.29	2.35	39.66	96.03	98.54	104.01
Kcnj3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.42	38.67	57.48	70.85	0.0	0.0	0.0	81.26	0.0	0.0	0.0	47.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.05	83.59	83.9
Kif5c	101.66	59.0	21.56	0.0	46.64	0.0	0.0	0.0	0.0	124.5	274.73	70.18	250.82	342.01	56.19	665.5	257.51	149.03	104.57	233.18	40.45	69.68	0.0	0.0	0.0	0.0	56.03	0.0	0.0	108.68	56.84	142.51	27.29	26.58	59.51	62.35	94.67	20.67	44.52	37.43	35.39	34.63	27.21	70.33	39.71	40.8	31.06	81.06	123.6	10.89	10.42	100.81	49.35	39.29	1.02	38.76	61.09	7.69	38.2	33.69	40.53	86.84	77.83	77.0	7.38	0.0	0.0	0.0	52.47	58.58	40.79	36.31	49.23	27.24	26.52	35.31	230.51	410.62	385.0	413.29
Mbnl1	84.05	1.07	43.24	0.0	0.0	0.0	0.0	0.21	265.91	292.99	150.82	50.2	91.87	167.04	224.64	5.19	118.3	314.22	61.58	161.63	4.6	25.09	440.54	722.27	4.95	0.0	14.79	0.0	0.0	18.84	17.43	46.63	11.03	40.9	38.72	47.14	39.11	99.47	34.4	92.25	61.03	32.31	37.34	142.37	48.66	33.53	30.66	67.86	138.04	67.89	92.11	111.21	66.55	25.66	58.59	102.39	7.58	127.19	72.95	59.33	90.28	64.89	101.47	57.0	40.41	12.39	477.74	55.02	25.5	69.26	6.53	35.56	46.71	54.53	30.13	3.05	184.74	42.32	38.93	40.78
Mrps34	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.22	36.52	2.45	0.83	7.17	0.0	0.0	0.0	62.76	0.0	0.0	0.0	4.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13	0.0	0.0	0.98	0.19	0.0	3.22	5.94	0.0	0.36	0.0	0.45	0.0	21.11	0.0	7.87	0.0	16.52	0.0	0.0	0.0	2.69	41.74	6.4	0.28	0.0	13.55	0.0	0.0	0.0	6.15	3.06	0.0	0.0	0.81	0.58	0.0	0.0	0.0	0.0	0.0	0.0	30.37	14.68	0.0	0.0	12.72	0.0	61.96	78.81	68.15
Mrps6	71.11	0.0	50.37	0.0	0.56	0.0	0.0	0.0	0.0	63.48	173.96	100.92	216.95	279.14	150.57	1.39	92.73	297.17	0.28	1.15	0.38	4.09	0.0	0.0	0.0	0.0	31.93	0.0	0.0	34.68	48.2	15.53	47.16	118.76	5.59	0.55	43.8	0.0	42.21	41.64	65.51	3.29	61.84	90.35	72.78	59.54	10.12	0.0	0.0	206.88	115.46	29.51	26.27	56.3	95.15	156.77	0.0	86.01	79.35	62.48	27.51	138.26	159.75	0.31	43.9	0.0	0.0	3.4	42.49	57.47	122.28	13.49	29.66	0.0	58.03	58.83	103.21	43.06	46.16	40.7
Mtap7	0.0	4.37	6.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.78	5.23	23.38	0.11	47.51	39.74	0.0	0.55	0.88	0.0	0.0	0.0	0.0	0.0	11.43	0.0	0.0	0.0	0.09	0.0	0.0	19.99	0.0	0.03	0.06	3.59	0.0	0.07	19.52	17.46	5.0	0.08	0.06	0.0	0.0	38.77	0.27	0.0	0.76	0.0	15.17	0.0	5.79	43.09	0.06	0.0	0.0	0.0	0.08	0.0	0.0	0.0	1.71	3.24	0.0	0.0	0.0	8.81	0.0	17.22	0.57	0.0	0.0	0.09	0.91	75.61	75.06	75.91
Necab1	0.62	1.37	0.32	2.95	0.93	0.17	5.39	1.3	0.0	234.78	338.05	38.77	102.47	169.52	466.97	14.25	139.77	347.6	370.88	229.79	28.67	1.6	0.49	0.38	0.0	0.31	52.12	0.0	4.37	0.41	0.41	0.88	1.89	0.67	0.52	0.89	0.76	0.57	0.33	0.19	0.43	0.53	0.09	0.79	0.54	0.62	0.57	75.1	41.59	0.75	4.27	26.19	0.84	0.23	0.21	124.3	0.59	0.58	0.63	0.0	0.42	0.32	0.76	1.09	0.53	0.31	0.2	0.0	0.17	0.29	0.8	0.95	0.64	0.18	0.06	0.32	1.46	77.53	66.55	73.48
Npy	138375.8	173305.25	115124.65	0.0	0.0	0.0	0.0	0.0	0.0	108594.8	20681.08	96206.73	82245.2	42632.64	68542.73	39772.71	67463.47	65548.38	57444.26	77711.12	45335.24	125016.83	0.0	0.0	0.0	0.0	80627.8	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	73168.9	126989.03	45711.04	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	145032.54	180453.32	92572.95	128781.07	137945.15	95298.15	137580.94	120620.2	68416.93	214.21	196.57	200.76
Nrgn	0.0	0.0	0.0	0.0	0.0	0.0	9.89	0.0	0.0	0.0	75.71	21.8	20.98	0.0	2.06	34.57	43.12	13.4	32.85	3.7	0.0	21.94	0.0	0.0	0.0	0.0	14.52	0.0	0.0	0.0	0.29	0.31	0.0	0.26	0.11	0.16	0.09	0.0	0.0	0.22	0.0	0.0	0.72	3.51	11.3	0.0	0.0	0.24	4.5	0.0	52.77	0.56	0.0	0.0	0.0	42.03	0.19	13.93	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.14	2256.7	2403.01	2414.28
Nsg2	133.93	37.4	99.2	0.0	0.0	0.0	0.0	0.0	0.0	53.41	386.45	357.05	621.99	466.41	72.51	383.18	188.18	442.09	154.51	152.03	337.94	99.77	0.0	0.0	0.0	0.0	128.59	0.0	0.0	59.89	59.05	55.02	29.19	57.32	99.2	21.33	152.74	106.94	70.39	48.88	119.08	100.14	130.04	107.07	22.86	40.46	119.59	189.07	180.31	82.49	61.44	65.91	105.09	24.17	59.0	167.7	44.37	74.77	18.78	58.63	39.14	105.28	54.2	84.78	70.31	0.0	0.0	0.0	160.8	99.83	203.35	110.13	72.68	67.1	137.5	61.69	233.46	642.61	673.47	621.36
Olfm1	32.7	49.55	129.52	0.0	0.0	0.0	0.0	0.0	0.0	174.78	183.25	613.98	289.94	639.86	158.02	162.03	231.71	445.24	590.25	56.35	397.46	68.34	0.0	0.0	0.0	0.0	70.68	0.0	0.0	118.24	15.98	55.71	21.92	2.17	43.41	77.37	59.29	85.63	101.7	133.15	38.48	47.62	13.34	117.08	76.08	117.48	80.67	129.59	261.27	63.53	196.46	229.59	20.57	67.17	69.79	257.05	41.79	52.81	122.99	7.74	31.53	65.41	93.75	109.81	36.04	0.0	0.0	0.0	127.94	75.52	102.56	50.01	39.17	36.23	133.7	0.54	929.92	1129.63	1145.72	1126.81
Papola	7.46	38.4	9.82	0.0	0.0	0.18	0.0	0.0	0.0	60.38	66.18	24.88	212.24	55.45	42.03	194.92	76.11	96.75	104.38	193.04	64.72	105.18	99.93	0.0	76.15	0.0	42.75	23.13	0.1	1.25	15.82	20.48	0.92	32.03	8.47	34.29	21.94	8.06	27.61	18.0	0.17	38.84	19.11	17.34	56.4	0.21	15.63	94.24	22.95	28.43	102.12	45.09	0.0	2.32	0.0	16.15	64.54	0.0	12.76	48.54	0.0	0.84	8.09	23.03	18.62	0.0	0.0	0.0	69.56	21.04	0.07	48.62	44.65	60.61	28.52	27.93	12.44	62.25	56.4	58.78
Parp6	17.38	19.87	42.02	0.0	0.0	0.0	0.0	0.0	0.0	17.03	38.33	1.58	186.91	170.41	0.0	111.99	18.07	153.37	72.74	134.94	0.55	151.09	0.0	0.0	0.0	0.0	28.95	0.0	0.0	36.51	7.72	10.27	0.51	35.92	0.0	11.51	0.99	29.51	2.29	37.2	4.99	0.0	4.0	217.1	0.0	13.66	77.03	0.0	33.98	164.99	13.8	145.97	0.13	65.97	0.0	12.26	0.0	67.73	69.28	99.75	69.34	38.52	6.4	0.54	59.89	0.0	0.0	0.49	74.33	88.46	0.0	5.42	55.88	15.31	44.69	0.0	160.41	110.81	103.98	113.03
Plekha8	0.0	8.67	17.5	0.0	0.0	0.0	0.0	0.0	0.0	26.01	52.41	0.09	0.85	69.47	0.0	0.0	5.85	38.03	40.92	0.0	9.41	0.0	0.0	0.0	0.0	0.0	0.08	2.24	0.0	0.0	0.0	0.0	0.05	25.69	0.0	0.0	0.0	0.43	1.02	0.0	0.0	0.0	11.24	1.13	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.07	0.67	0.0	0.0	0.0	17.21	0.11	0.0	0.5	0.0	0.0	17.69	0.0	22.32	0.0	0.0	0.0	0.13	12.75	28.95	0.0	0.39	0.03	0.0	0.01	0.0	8.84	8.58	8.01
Ppp1r2	45.72	0.0	0.97	0.0	0.0	0.1	185.09	123.45	0.0	29.97	125.91	264.29	233.8	187.49	38.81	285.38	120.19	288.02	146.96	0.0	12.63	152.45	0.0	0.0	0.0	0.13	0.64	47.59	0.0	28.01	15.83	0.54	0.0	0.04	13.89	0.9	6.8	31.91	7.63	28.95	29.88	14.12	11.47	42.56	29.91	47.43	0.0	19.65	24.76	0.0	172.88	118.86	20.84	8.18	32.4	57.43	0.0	76.62	56.89	35.96	0.0	2.27	10.54	0.06	0.0	0.0	257.64	0.0	3.14	31.4	0.0	21.72	53.4	18.6	18.58	4.16	184.45	107.87	115.66	108.77
Prkcb	13.39	45.18	11.53	0.12	0.1	0.0	0.0	0.11	0.0	111.88	34.72	122.43	73.8	85.9	13.98	86.74	61.55	61.7	48.04	57.74	66.47	74.86	0.2	0.05	2.24	1.11	12.0	0.0	4.56	8.6	24.56	14.93	2.64	6.89	28.23	9.02	2.13	11.3	34.75	23.49	15.0	9.01	0.36	15.78	22.11	2.83	3.8	36.62	23.13	3.33	154.5	68.43	15.12	33.02	0.06	53.76	32.65	30.8	5.25	14.58	0.37	3.4	2.75	0.14	7.3	1.75	0.0	0.0	0.27	0.11	91.21	0.52	2.75	23.47	1.86	8.53	40.98	360.87	341.57	387.59
Rab3c	77.38	55.7	37.01	0.18	0.0	0.0	0.0	0.1	0.0	355.7	652.58	525.52	527.23	697.53	569.8	829.53	780.64	1007.13	454.56	447.36	777.51	595.22	0.13	0.0	0.98	0.0	511.91	0.0	0.08	42.83	83.49	101.54	80.99	84.53	31.27	64.12	81.23	112.28	52.03	116.7	66.76	189.67	94.52	98.6	51.22	67.84	9.66	380.52	442.85	44.15	175.16	412.28	74.34	31.74	81.08	637.91	11.18	40.13	96.47	86.32	60.33	51.83	65.5	66.49	25.05	0.37	0.0	0.06	108.57	13.59	202.55	63.86	51.49	124.77	62.1	47.48	75.75	153.99	129.19	150.79
Rabgef1	10.58	48.59	28.85	0.0	0.0	0.0	0.0	0.0	0.0	88.11	74.35	41.5	79.32	19.24	17.58	109.74	17.27	92.61	96.2	30.31	61.11	22.88	0.0	0.0	0.0	0.0	71.64	0.0	0.0	8.57	13.64	18.87	0.0	12.5	67.88	37.31	13.09	24.27	60.77	28.88	3.93	21.45	29.92	0.36	0.0	24.41	2.8	36.95	41.03	153.32	7.43	49.11	3.51	0.0	42.63	14.59	2.3	39.72	19.98	6.68	76.05	0.0	1.48	0.0	12.6	0.0	0.0	18.52	23.89	17.1	0.25	13.11	21.0	63.38	7.3	2.85	36.09	36.91	35.92	33.65
Rai1	0.0	2.75	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.31	9.81	15.97	5.54	0.0	67.1	8.47	29.2	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	5.51	0.0	0.0	0.88	0.0	0.56	0.0	8.87	2.64	4.68	1.9	6.78	0.0	0.0	0.0	0.0	0.0	7.81	0.09	0.0	0.03	6.08	4.33	3.21	0.0	0.65	0.0	0.0	0.0	0.0	2.26	0.0	0.26	0.04	0.0	0.0	13.46	0.0	0.0	0.0	0.0	0.0	4.8	0.0	0.05	0.0	0.0	6.39	0.0	0.0	13.51	31.99	33.71	35.59
Rassf2	0.0	0.36	0.0	261.87	22.87	0.09	0.0	0.26	16.22	5.53	9.01	39.0	0.3	85.72	9.84	50.73	10.24	101.75	1.59	3.91	15.51	6.69	0.0	0.52	0.11	1.54	6.09	0.0	0.15	0.15	0.0	0.22	0.09	0.03	1.37	0.15	0.05	0.34	0.07	0.14	0.07	0.13	0.06	0.18	0.16	0.0	0.06	5.95	6.26	0.21	60.0	5.93	0.13	0.0	0.0	47.11	0.09	0.25	0.08	0.12	0.24	0.25	0.06	0.15	4.01	50.28	28.25	18.51	0.06	0.33	0.07	0.24	0.13	0.1	0.0	0.0	0.65	29.35	29.69	31.74
