	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_20	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_36	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_57	Calb2_tdTpositive_cell_59	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_1	Gad2_tdTpositive_cell_14	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_19	Gad2_tdTpositive_cell_23	Gad2_tdTpositive_cell_29	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_79	Htr3a_tdTpositive_cell_20	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_57	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_76	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_104	Htr3a_tdTpositive_cell_122	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_8	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_13	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_21	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_31	Vip_tdTpositive_cell_32	Vip_tdTpositive_cell_34	Vip_tdTpositive_cell_35	Vip_tdTpositive_cell_42	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_54	Vip_tdTpositive_cell_55	Vip_tdTpositive_cell_56	Vip_tdTpositive_cell_58	Vip_tdTpositive_cell_63	Vip_tdTpositive_cell_65	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dclk1	36.83	250.2	108.7	38.64	102.88	0.06	108.0	0.13	9.96	183.68	185.47	174.49	24.5	175.4	18.9	81.56	4.54	0.0	0.12	258.33	835.83	136.65	0.12	162.36	102.16	106.18	130.56	124.83	0.0	121.86	34.49	191.8	28.4	79.3	211.21	113.57	78.63	147.25	2.62	285.58	185.15	171.22	124.67	121.06	22.27	265.42	15.63	251.67	79.99	91.62	39.52	51.99	47.55	57.72	125.26	122.45	160.96	96.19	128.29	0.78	159.66	137.72	34.39	87.01	0.15	87.78	309.9	127.44	95.92	204.5	243.6	318.17	233.7	236.91	206.95	187.58	172.21	160.47	248.84	210.66	215.96	367.79	342.85	374.41
Dll4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.63	0.0	0.0	0.69	0.0	2.51	2.38	2.22
E130012A19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	1.48	0.0	0.0	0.0	0.0	8.12	0.0	6.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.85	3.35	13.24	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.14	2.01	3.46	3.1	0.73	2.58	0.0	0.11	5.24	0.9	3.71	2.99	69.45	79.18	76.51
E2f4	0.0	0.0	0.0	0.0	0.0	0.0	39.09	0.0	0.0	0.0	0.0	0.0	0.0	63.17	0.0	0.0	0.0	0.0	0.0	0.0	115.71	0.0	0.0	52.81	0.17	0.0	0.0	0.0	30.48	0.0	0.0	0.0	0.0	112.73	0.0	5.34	0.0	0.0	0.0	20.72	2.36	1.94	0.0	0.0	0.0	0.0	0.0	166.48	3.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.56	3.23	4.17	18.62	14.69	6.32	3.95	1.31	0.12	4.0	4.08	5.4	7.02	31.64	31.27	33.23
Eif2ak4	0.0	0.0	0.0	20.21	13.29	0.0	0.0	23.83	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.9	0.0	0.0	88.98	0.0	0.0	27.18	0.0	0.0	1.23	9.73	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.07	1.72	5.64	0.0	0.0	0.0	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0	12.11	1.78	29.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	6.44	1.01	4.79	1.51	1.64	4.84	7.0	3.54	0.96	0.72	3.12	2.1	15.52	15.63	15.03
Fam98c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	10.05	0.0	0.0	0.0	0.0	2.96	37.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.14	0.0	3.03	0.0	0.0	0.0	0.0	0.0	0.0	21.1	0.0	0.0	0.0	0.0	0.0	6.11	21.75	0.0	0.0	12.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	5.35	3.01	0.0	1.16	5.5	0.13	0.24	4.26	2.36	39.96	47.33	38.61
Fnip1	21.64	0.0	3.0	12.18	0.0	0.0	1.49	0.0	0.0	8.45	1.02	0.11	49.61	7.28	11.5	24.67	23.27	1.94	3.46	0.0	123.36	0.0	0.0	70.21	3.81	4.18	39.12	0.0	0.0	0.0	0.05	1.86	0.0	17.24	0.0	0.0	0.23	0.0	7.75	20.02	38.74	88.77	0.0	0.0	73.95	14.0	0.0	0.0	0.0	38.66	62.75	0.0	0.0	0.0	34.48	0.0	82.37	0.0	9.82	53.97	1.14	0.0	0.17	0.0	2.11	3.77	0.24	0.0	112.18	12.61	19.82	21.79	13.88	13.81	17.69	26.17	10.6	5.07	26.83	15.21	18.79	29.97	27.14	29.56
Foxb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.03
Fut2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.49	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.44	0.77	0.55
Gas2	0.0	0.0	0.0	43.59	0.0	0.0	44.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	225.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.29	0.0	0.0	0.0	7.05	0.0	69.03	0.0	0.0	109.23	0.0	0.0	0.0	0.0	9.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	8.86	2.87	15.6	2.57	4.14	0.0	22.15	0.0	26.99	8.71	10.37	11.77	8.95	9.52	9.47
Gm13306	6.84	0.0	7.56	0.0	38.89	10.98	5.41	0.0	0.0	16.36	0.0	0.0	0.0	0.0	0.0	0.0	17.73	0.0	6.68	0.0	0.0	0.0	0.0	0.0	0.27	0.0	5.27	0.0	4.03	9.38	0.0	2.47	0.0	0.1	0.0	0.1	5.02	0.0	0.0	29.61	40.26	93.01	7.77	7.33	2.75	0.0	0.0	0.0	0.0	13.03	0.0	0.0	0.0	0.0	0.0	16.03	21.43	0.0	0.0	0.18	0.42	0.52	0.0	16.45	0.0	0.0	0.0	7.57	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	62.2	75.81	61.27	76.52	71.98	30.63	28.29	22.96
Gm13476	0.0	0.4	0.0	0.0	0.0	4.3	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	2.83	0.0	0.29	0.0	66.43	0.0	17.01	0.0	0.04	0.0	0.0	0.0	6.96	3.9	0.43	15.63	0.0	0.0	2.18	0.0	0.0	0.0	0.0	13.6	0.21	0.15	8.34	0.0	2.23	0.0	0.0	0.0	0.0	3.3	0.0	0.0	0.0	0.0	0.4	2.72	0.0	0.0	3.47	1.69	39.26	0.41	0.0	0.0	0.0	0.56	0.0	0.34	0.64	0.0	1.72	0.32	0.0	0.0	0.0	0.0	0.0	1.2	2.15	0.63	0.29	4.17	4.28	4.75
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.13	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	1.5	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.19	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.41	0.96	1.27	4.28	1.89	1.73	1.86	1.4
Gm2506	6.84	0.0	7.56	0.0	38.89	10.98	5.41	0.0	0.0	16.36	0.0	0.0	0.0	0.0	0.0	0.0	17.73	0.0	6.68	0.0	0.0	0.0	0.0	0.0	0.27	0.0	5.27	0.0	4.03	9.38	0.0	2.47	0.0	0.1	0.0	0.1	5.02	0.0	0.0	29.61	40.26	93.01	7.77	7.33	2.75	0.0	0.0	0.0	0.0	13.03	0.0	0.0	0.0	0.0	0.0	16.03	21.43	0.0	0.0	0.18	0.42	0.52	0.0	16.45	0.0	0.0	0.0	7.57	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	62.2	75.81	61.27	76.52	71.98	30.63	28.29	22.96
Gm3219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93	0.0	3.61	0.9	3.23	1.55	0.0	0.0	0.0	3.02	0.93	6.42	4.27	5.67
Gm5176	0.0	9.12	0.0	0.0	0.99	0.81	0.0	0.0	0.0	1.96	0.7	0.0	0.0	0.0	4.93	0.0	0.0	0.0	0.0	0.0	172.59	0.0	0.0	0.79	0.72	0.0	0.0	0.0	0.0	0.19	0.0	0.0	1.08	2.62	0.0	1.0	2.54	0.0	0.0	0.87	0.0	1.85	0.0	6.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84	0.0	12.65	0.0	0.0	0.0	0.0	1.01	0.0	0.0	2.18	0.0	0.0	1.48	0.0	0.0	2.81	0.0	0.0	0.71	1.33	10.13	0.57	0.0	12.39	1.18	2.04	1.37	2.61	1.59	2.62
Gorasp2	18.04	0.0	0.0	10.53	0.0	28.48	9.75	0.0	0.0	81.35	4.17	16.14	0.0	0.0	0.0	0.0	0.0	155.23	38.33	0.0	159.49	5.68	2.79	88.54	0.0	0.0	0.0	0.0	0.0	0.0	72.12	0.0	31.85	0.0	78.74	0.0	0.0	0.0	0.0	34.23	32.51	5.06	0.0	0.0	0.0	0.0	0.24	0.88	183.93	0.0	0.0	0.0	230.96	6.89	0.21	52.98	28.64	0.0	0.18	5.53	5.27	0.2	0.0	0.0	1.07	19.34	0.0	6.22	24.34	50.41	30.05	37.51	58.81	38.19	43.49	35.44	36.64	47.31	35.64	34.18	51.39	87.7	92.01	90.81
Gpr149	0.33	0.0	0.0	0.0	3.87	0.0	0.23	0.11	0.0	0.0	0.0	0.21	0.36	0.2	0.0	0.0	0.16	0.0	0.25	0.15	128.94	0.0	0.0	0.24	0.2	0.0	0.0	0.0	0.0	0.0	0.1	0.77	0.2	0.06	0.0	0.64	0.11	0.0	0.23	0.13	0.08	0.09	0.0	0.17	0.0	0.32	7.2	0.46	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.14	0.11	0.0	0.14	0.0	0.0	0.23	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.09	0.0	0.0	0.2	2.93	2.48	2.37
H2-M5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	8.59	0.22	0.15	0.26	0.61	0.61	1.45	1.3	0.98
Hsph1	0.12	153.82	375.44	76.62	122.82	81.02	0.12	116.85	0.19	83.93	247.34	0.0	0.0	551.2	140.11	319.42	0.15	224.54	0.2	31.56	637.27	0.0	295.77	294.83	301.52	143.15	38.06	271.37	106.58	96.68	376.75	62.29	123.77	289.0	0.0	65.34	232.4	0.0	122.83	187.18	100.55	189.57	554.35	0.0	45.44	200.79	219.12	77.7	27.22	131.55	221.81	3.96	230.57	288.0	296.9	0.0	166.24	0.14	1.59	0.14	124.6	174.42	39.4	0.92	0.7	175.67	352.69	3.14	11.51	209.38	282.01	326.44	222.16	210.34	235.88	315.47	201.63	127.87	213.44	193.74	203.15	238.03	226.06	225.17
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.13	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	1.5	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.19	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.41	0.96	1.27	4.28	1.89	1.73	1.86	1.4
Kifc5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.13	2.05	2.29	2.15
Klhl20	0.1	1.03	0.0	0.0	0.0	74.26	0.0	73.09	0.0	0.0	0.0	0.29	0.0	0.15	0.08	0.0	0.0	0.0	0.0	0.23	313.1	0.59	0.0	0.11	0.04	0.12	0.11	0.0	0.05	0.0	0.44	0.22	0.48	0.23	0.0	0.0	0.15	0.0	0.0	22.21	3.82	4.26	0.43	0.14	0.39	0.23	0.0	0.0	0.3	0.1	0.08	0.3	0.0	0.0	0.0	0.0	0.31	0.17	0.19	0.0	0.12	1.58	0.41	0.0	0.83	0.13	0.0	0.07	0.24	8.82	7.22	8.85	7.66	1.95	23.67	12.66	12.55	4.47	11.46	6.93	8.54	16.69	14.67	15.55
Loxl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	1.19	0.0	0.0	0.0	0.54	0.0	0.0	0.0	3.13	2.57	2.91
Lrp6	17.28	0.0	36.1	0.0	12.41	0.0	32.34	0.0	0.0	13.09	32.04	0.0	0.0	4.42	0.0	0.0	0.0	0.87	0.0	0.0	65.0	213.09	0.0	41.93	0.0	0.0	0.0	3.89	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	6.15	0.0	0.0	7.36	1.47	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	3.62	0.0	0.81	0.11	0.0	42.48	0.0	0.0	52.85	0.93	4.25	7.74	10.43	3.05	3.39	9.2	1.35	2.91	3.07	2.06	4.38	19.06	18.22	19.41
Lrpprc	0.7	0.39	0.21	62.09	11.1	0.0	0.0	35.61	0.28	0.0	43.67	0.15	0.0	12.04	63.62	1.12	2.95	91.33	7.42	0.0	164.4	0.87	0.37	0.58	0.21	0.12	0.2	1.18	0.06	74.95	0.53	23.15	46.82	0.2	67.32	0.09	0.14	0.41	54.57	21.4	46.51	80.31	0.21	0.33	0.24	0.27	0.72	0.41	0.0	28.07	0.08	0.62	0.14	102.51	19.78	0.23	0.0	42.35	12.58	0.11	4.76	145.25	0.07	0.0	92.92	0.19	0.0	0.0	0.0	51.6	52.83	38.04	27.41	33.06	34.69	34.79	30.18	28.06	54.81	33.15	30.76	42.42	41.23	42.29
Map3k9	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	12.36	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.35	3.5	1.06	0.0	0.0	0.0	0.0	0.15	0.05	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.45	0.0	0.21	0.0	0.0	1.94	2.09	6.77	2.5	5.94	4.28	0.95	2.77	0.02	4.22	2.36	2.03	31.85	31.22	33.42
Masp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.28	6.27	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02	6.69	10.68	1.14	0.0	0.0	0.0	8.19	1.7	1.47	4.46	1.38	1.57	1.47
Med19	0.0	0.0	0.0	35.43	0.0	31.09	0.0	0.0	0.0	0.0	150.25	0.0	7.48	0.0	0.0	0.0	3.56	9.29	0.0	0.0	170.56	0.0	0.0	0.0	29.85	0.0	61.32	0.0	0.0	0.0	0.0	0.0	26.94	0.0	122.89	0.0	31.58	0.0	66.86	18.73	25.07	4.61	0.0	128.93	0.0	0.0	0.0	0.0	151.37	0.0	24.39	66.35	126.83	32.47	0.0	81.62	0.0	0.0	48.52	18.67	0.0	6.08	13.25	0.0	16.17	0.0	43.83	0.0	29.03	11.2	45.64	10.13	24.14	16.73	24.22	43.54	21.1	40.74	20.4	21.46	24.27	36.0	35.03	32.76
Meis2	0.25	0.19	0.5	0.07	0.17	0.0	0.16	0.28	0.44	0.21	0.13	0.0	0.0	0.24	0.35	0.07	0.19	0.34	0.0	0.48	0.34	0.2	0.44	0.32	0.14	0.57	0.1	0.12	0.07	0.31	0.17	0.0	0.0	0.04	0.15	0.14	0.14	0.07	0.29	10.07	22.78	0.85	0.18	0.23	0.58	0.35	0.12	0.74	0.0	0.21	0.09	0.14	0.17	0.05	0.29	0.0	0.0	0.68	0.5	0.1	0.54	0.37	0.11	0.12	0.39	0.52	0.42	0.4	0.47	35.35	26.76	50.41	37.87	9.26	13.19	26.93	20.23	33.87	14.62	26.91	16.99	66.68	69.5	64.81
Mia1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181.4	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	135.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.98	77.22	9.03	0.0	0.0	52.58	0.0	44.2	0.0	26.44	9.92	37.38	1.84	2.77	2.09
Nckipsd	0.05	0.0	1.88	0.0	0.0	3.55	0.14	17.62	0.0	0.19	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.92	152.34	0.0	0.0	0.0	0.0	0.0	0.0	23.96	0.12	0.0	0.0	0.0	0.0	0.0	2.37	0.0	21.89	0.0	0.1	29.28	14.88	8.82	0.0	0.0	2.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	72.0	0.57	0.0	0.0	0.17	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.55	6.35	16.07	8.51	16.7	24.64	18.77	14.0	16.92	16.24	5.63	12.45	60.26	64.42	62.51
Neurod2	0.31	0.0	0.0	0.13	0.16	0.0	0.0	0.13	0.21	0.18	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.26	0.0	0.22	0.27	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.15	0.0	0.16	0.0	0.42	3.09	7.74	7.51	0.0	0.0	0.0	0.49	0.0	0.32	0.21	0.0	0.0	0.0	0.38	0.0	0.15	0.0	0.0	0.0	0.13	0.15	0.0	0.15	0.0	0.0	0.0	0.12	0.0	0.0	0.31	12.75	9.44	10.31	2.29	5.48	7.72	6.66	8.95	10.49	10.98	8.64	13.14	61.43	70.53	58.22
Ngfr	0.52	0.43	0.1	0.13	0.64	0.0	1.43	0.28	0.2	0.4	0.0	0.0	0.0	0.79	0.33	0.55	0.0	0.47	0.0	1.05	1.49	0.72	0.28	0.32	0.21	1.34	0.24	0.0	0.0	0.64	0.12	1.64	0.65	1.76	0.86	0.13	0.79	0.17	0.3	0.0	0.24	0.52	0.13	0.0	0.0	0.99	0.15	0.0	0.37	0.34	0.52	0.0	0.6	0.73	0.77	0.64	0.51	0.0	0.12	0.0	0.13	0.0	0.49	1.45	0.0	1.48	0.22	0.11	0.14	0.4	0.24	0.37	0.0	0.0	0.4	0.17	0.37	0.04	0.0	0.0	0.13	2.13	2.73	1.77
Nomo1	0.0	0.0	0.0	11.04	0.0	9.6	0.0	35.31	0.0	44.7	0.0	87.4	0.0	0.0	0.0	0.0	0.0	4.8	0.0	0.0	111.73	19.02	0.0	12.54	0.0	0.0	0.0	6.23	84.84	0.0	0.0	0.0	0.0	23.51	24.23	0.0	0.0	0.0	53.41	7.08	10.62	2.44	108.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	44.9	0.0	0.25	0.0	0.0	0.0	0.0	2.73	32.92	0.13	0.12	0.0	0.12	0.0	0.0	0.69	3.31	4.92	0.78	21.1	6.22	0.07	12.76	3.57	1.29	9.17	8.42	10.36	81.15	79.36	78.97
Nrn1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.08	62.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.0	0.0	0.0	0.0	24.14	5.76	16.16	8.23	21.15	24.14	8.72	43.7	59.74	20.28	40.54	34.72	2.91	4.03	4.24
