	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_15	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_18	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Pcdha8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	16.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.38	61.43	0.66	0.0	0.0	0.0	0.0	0.0	4.43	0.65	0.35	1.17
Pcdhga5	0.0	0.83	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.7	0.0	0.0	0.0	0.0	182.57	8.21	0.0	0.0	4.3	0.0	72.32	0.0	0.0	0.0	18.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.12	0.0	0.0	0.0	0.0	0.0	28.39	0.0	0.0	0.0	0.13	0.0	3.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1	11.11	12.56	10.75
Pdpr	0.0	3.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.6	0.0	0.0	0.0	0.0	11.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	3.13	1.07	0.0	0.0	0.0	3.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	19.06	0.0	0.0	1.05	0.73	0.16	0.0	12.64	1.89	18.98	16.36	19.21
Pik3ip1	2.01	2.15	36.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.77	0.0	0.0	0.0	8.97	0.0	0.45	0.0	0.0	0.0	0.0	13.5	0.0	0.0	0.0	0.07	0.24	46.96	0.0	1.08	0.0	6.05	0.0	19.59	1.83	0.0	0.25	0.0	2.78	0.0	0.0	0.0	3.32	0.0	3.73	0.0	0.42	0.0	0.09	0.0	1.31	0.0	0.21	10.5	0.0	0.0	0.0	0.0	7.9	114.03	0.0	0.0	5.17	1.41	29.09	0.3	0.0	0.0	0.0	1.85	0.0	0.0	0.0	54.93	0.0	0.1	0.0	0.0	0.0	0.0	0.0	2.0	29.87	39.69	32.65
Ppp3cb	64.93	153.94	9.39	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	84.62	0.0	0.0	96.73	3.04	53.51	72.82	0.0	0.0	0.0	0.09	20.76	8.93	29.88	10.61	57.08	3.81	25.92	45.0	71.03	37.94	36.58	67.83	13.79	6.57	21.49	1.76	7.85	23.27	210.16	72.19	34.07	34.77	28.79	37.76	39.42	0.3	17.62	29.64	1.71	10.62	14.85	2.82	0.48	16.17	22.24	0.0	0.0	0.32	0.0	0.0	0.0	0.0	1.88	0.19	0.0	30.71	0.0	0.0	41.51	1.99	86.3	42.68	191.68	66.13	131.69	64.37	30.79	51.93	75.8	56.63	79.57	247.23	241.42	227.54
Prss53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.29	0.0	20.07	0.0	0.0	0.0	0.0	0.0	29.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.49	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.27	1.48	0.0	0.0	0.0	0.0	0.0	0.0	1.39	3.07	3.26	3.04
Pxk	4.28	0.97	0.66	0.0	0.0	0.0	0.0	0.0	0.0	110.51	0.0	46.67	0.0	0.0	66.46	0.0	0.0	0.36	0.0	0.0	0.0	0.0	81.34	70.68	16.0	0.04	41.58	5.26	20.53	9.92	4.55	1.64	24.92	65.81	50.87	1.4	41.67	4.29	2.5	0.88	0.0	8.02	32.08	35.96	8.69	0.0	0.0	125.67	2.45	53.25	11.87	4.47	74.69	23.96	80.69	15.81	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.26	0.0	0.0	0.0	17.11	6.49	23.4	80.24	84.93	72.2	0.0	3.14	0.0	60.49	31.7	7.84	29.67	27.75	29.94
Qrich1	5.52	2.11	97.26	259.7	0.0	469.84	0.0	0.0	1.04	2.84	0.0	108.39	7.96	0.0	78.66	2.5	182.41	15.65	0.0	0.0	0.0	5.82	36.75	0.79	2.63	5.07	57.13	3.2	10.97	27.63	2.45	2.58	15.4	90.74	0.12	3.44	93.42	3.51	3.12	8.65	35.04	3.15	4.24	5.27	52.84	64.72	5.15	10.21	18.36	17.54	3.59	51.53	3.37	13.77	2.72	0.0	40.11	0.59	0.0	0.0	0.3	0.0	398.98	32.54	10.03	0.34	34.24	100.85	0.0	0.0	37.65	4.16	5.3	2.08	236.02	4.47	17.88	4.31	23.56	4.74	11.76	1.74	40.99	61.15	64.37	61.81
Rab6b	111.52	101.32	95.34	0.0	0.0	0.0	0.0	0.0	0.0	177.46	0.0	342.27	0.19	0.0	183.71	226.31	109.38	346.49	0.0	0.0	0.0	0.0	86.92	212.73	85.79	31.49	29.74	4.15	79.64	111.39	22.26	108.83	86.37	72.36	26.22	84.62	155.28	129.46	38.52	125.65	62.47	125.71	196.13	87.6	35.88	45.2	69.21	54.23	49.13	105.18	145.52	63.61	189.91	100.0	160.22	75.64	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.0	0.88	0.46	0.56	0.0	0.14	0.0	37.3	92.13	76.76	21.37	114.44	322.72	63.07	109.15	174.04	58.96	57.92	30.77	99.92	557.19	534.18	552.91
Rars2	11.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147.19	2.66	135.33	0.0	0.0	44.17	0.0	0.0	80.35	0.0	0.0	59.42	0.0	43.21	42.08	0.81	0.0	30.23	67.91	142.79	2.95	37.84	54.5	0.3	47.83	4.6	0.49	139.66	0.0	0.0	6.71	54.35	0.0	99.29	133.58	0.0	57.06	110.63	25.84	150.28	11.41	0.15	130.11	0.15	0.0	47.85	31.65	0.0	0.69	15.68	0.0	0.0	0.0	0.0	0.48	0.0	0.0	140.77	0.0	0.0	0.0	121.99	0.0	92.78	0.0	178.06	21.8	65.06	0.0	51.78	80.49	1.95	71.46	62.37	21.22	21.44	22.55
Rgs6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.77	0.0	0.0	0.0	0.0	0.0	16.31	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.03	33.36	28.93	32.52
Rph3a	51.39	76.82	0.19	0.14	0.0	0.0	0.0	0.0	0.0	33.76	0.33	282.63	5.94	0.0	269.57	180.93	62.75	254.99	0.0	0.0	0.0	0.0	34.97	27.77	65.1	41.32	73.52	31.15	47.66	37.81	74.55	12.36	55.13	20.7	46.62	26.4	118.7	0.32	8.71	51.57	4.68	14.26	60.03	37.75	68.53	41.54	145.65	0.77	29.39	18.09	29.04	41.97	61.85	26.99	29.81	14.53	37.31	0.0	0.0	0.61	0.0	0.43	0.0	0.42	2.3	1.57	0.69	0.18	0.13	0.0	76.8	11.54	46.94	41.22	144.49	234.12	75.04	47.14	43.48	94.26	32.02	81.93	114.4	260.55	249.44	277.37
Selk	973.54	1113.9	812.66	447.34	0.0	409.62	0.0	0.0	6.91	903.66	620.93	439.1	861.69	980.93	1006.72	593.75	778.49	732.8	0.0	0.0	1086.5	0.0	796.54	1108.87	845.3	1610.45	1407.45	1279.23	1326.97	1463.53	765.77	1164.6	1300.13	1077.39	884.22	656.46	640.84	594.77	644.97	966.59	742.94	877.43	737.94	574.62	857.99	933.88	541.52	1591.43	833.41	819.47	1011.44	812.35	1147.23	989.43	1197.19	923.12	0.0	0.0	426.37	10.27	627.76	1856.57	1177.5	0.0	23.57	716.92	493.91	519.15	0.0	617.5	703.17	649.38	1092.4	705.72	2020.72	1375.68	823.85	540.71	722.21	1366.97	852.79	796.75	1288.91	174.04	186.78	173.79
Sncb	91.79	153.5	114.6	0.0	0.0	0.0	0.0	0.0	0.0	181.79	0.0	274.62	0.0	0.0	337.89	28.54	74.88	152.92	0.0	0.0	0.0	0.0	67.27	27.76	33.72	45.64	95.5	180.51	75.12	84.41	34.63	84.76	102.58	116.83	96.45	164.86	133.76	97.77	41.38	71.22	77.68	56.1	128.44	41.09	82.07	62.85	147.09	37.03	41.86	97.76	65.48	89.21	23.57	68.54	41.13	61.78	0.0	0.0	0.71	2.17	0.0	0.0	0.0	0.0	5.42	0.63	0.0	1.24	0.0	0.0	176.44	114.28	96.94	151.74	70.72	98.25	115.76	173.6	97.47	117.15	160.29	78.31	88.78	500.1	550.38	513.95
Snrpa	0.0	0.0	41.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.86	105.33	0.0	0.0	147.45	182.19	189.66	0.0	0.0	0.0	0.0	0.0	63.47	55.72	21.18	0.0	0.13	54.75	45.79	30.9	1.62	1.39	75.91	101.55	98.02	0.0	0.0	2.4	0.0	52.98	31.6	50.46	0.0	13.29	4.67	39.05	102.6	102.28	0.0	30.43	27.17	21.12	63.51	29.62	5.91	69.81	0.0	0.0	0.0	0.0	1.53	0.0	0.0	0.0	0.84	0.29	0.0	0.57	0.0	0.0	1.37	0.0	62.63	101.84	230.88	55.69	58.75	0.0	36.83	112.04	27.89	0.0	54.77	67.5	75.46	65.94
Stim2	0.0	4.28	0.0	40.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.13	13.33	23.4	0.0	0.03	0.24	0.02	0.04	6.62	23.26	8.12	0.08	33.83	0.0	0.0	0.04	0.0	0.0	0.0	14.81	0.0	0.13	0.0	0.0	0.0	0.0	18.71	0.72	0.0	13.09	0.0	0.0	20.7	0.0	0.0	26.72	0.0	0.25	0.0	0.0	120.81	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	56.54	0.0	65.67	46.53	0.27	0.08	0.06	0.0	0.02	0.0	38.05	35.91	34.42	33.73
Syngr1	62.34	96.01	111.51	0.0	0.0	0.0	0.0	0.0	0.0	125.55	0.12	156.53	0.11	0.23	267.73	15.34	109.92	51.51	0.0	0.0	0.0	0.09	67.07	28.25	118.08	101.26	79.78	91.47	51.17	87.63	146.8	102.51	108.64	139.34	183.55	114.32	65.28	110.52	78.84	34.62	82.47	25.7	107.09	28.66	43.28	45.67	58.81	104.98	50.86	100.4	72.75	155.78	83.29	87.94	76.49	67.72	0.43	0.0	0.2	0.3	0.0	0.0	0.0	0.0	1.35	0.52	0.0	0.0	123.44	0.0	82.67	104.44	16.94	66.61	199.17	44.64	109.49	53.99	153.73	149.99	68.69	94.43	77.2	373.26	376.32	379.56
Synj1	98.31	101.93	74.13	0.0	0.0	0.0	0.0	26.04	0.0	108.55	0.07	107.82	0.0	0.0	151.44	199.36	124.43	130.01	0.0	0.0	37.24	0.0	63.88	127.86	80.38	38.74	117.46	66.98	123.35	31.49	41.87	119.59	83.39	168.13	122.52	69.32	54.24	65.1	57.08	59.58	118.27	90.67	92.38	38.68	26.49	50.45	10.86	118.25	94.18	97.29	53.58	74.17	42.85	82.95	67.73	48.78	9.93	0.0	0.35	0.18	0.0	0.0	0.0	0.13	1.48	0.36	0.09	0.4	18.63	0.0	56.12	20.67	57.4	46.29	115.21	220.73	76.03	128.65	71.17	84.66	80.65	178.07	63.65	186.57	176.61	182.9
Syp	394.35	504.38	268.08	0.0	0.0	0.0	0.0	0.0	0.0	574.21	0.2	716.93	0.37	0.0	883.97	573.36	154.37	203.67	0.0	0.0	0.0	0.15	279.48	482.78	423.29	233.55	357.64	211.39	259.95	366.53	273.06	353.18	358.08	361.65	299.35	283.21	364.19	241.18	346.52	433.22	405.97	253.8	394.08	220.61	359.99	235.57	591.06	84.63	228.54	303.58	221.95	112.69	235.16	370.15	333.51	169.14	0.0	0.0	0.67	3.05	0.0	3.12	0.0	140.63	4.67	1.34	1.07	0.29	0.0	0.0	237.3	348.86	415.53	274.52	398.49	448.97	209.77	281.12	259.66	421.2	368.79	672.52	258.19	1149.48	1186.08	1128.2
Syt1	875.24	654.41	399.55	0.0	0.0	0.0	0.0	0.0	0.0	452.05	0.0	1020.63	0.68	0.0	871.19	1764.47	979.99	630.22	0.0	0.0	0.11	0.0	759.38	590.98	647.51	651.97	532.79	496.46	463.82	652.79	621.04	607.09	563.51	636.11	417.57	551.28	527.41	349.07	327.05	423.53	539.7	544.46	564.61	488.54	601.27	328.78	633.07	272.39	403.12	486.59	542.74	685.36	221.98	487.06	404.66	206.98	429.85	0.0	0.68	1.58	0.0	0.0	0.0	0.56	6.32	3.55	0.83	0.6	0.0	0.0	284.6	434.79	91.71	699.53	784.36	656.95	689.79	743.33	574.5	622.07	743.79	1014.33	323.23	931.59	920.94	916.63
Tab1	0.0	0.0	54.51	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.06	32.12	0.05	0.04	38.01	0.0	14.96	0.0	34.9	0.0	0.0	0.0	0.0	0.0	0.0	0.29	17.15	32.17	0.0	0.1	24.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.77	7.12	0.0	0.0	149.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.24	0.0	0.0	0.39	0.0	0.0	9.0	88.67	0.0	0.0	0.0	0.0	47.17	0.0	0.0	8.32	17.18	19.13	19.78
Tcf25	325.09	303.37	201.9	52.25	0.0	0.0	0.0	23.14	0.26	289.7	0.19	188.07	0.22	0.0	481.05	107.31	100.38	142.23	0.0	21.93	8.89	5.3	172.31	127.69	244.56	186.4	99.43	162.86	187.86	148.99	234.47	268.92	127.75	140.67	534.48	351.22	302.16	249.19	251.05	297.42	74.39	195.29	197.49	206.42	173.29	105.44	459.43	131.18	64.12	337.64	127.38	312.05	94.59	320.87	316.79	196.55	25.24	112.12	3.75	4.1	0.0	0.0	0.0	48.55	45.29	140.16	0.76	0.83	0.0	0.0	134.43	35.0	104.94	283.95	244.18	366.04	172.94	271.45	230.78	331.32	247.0	19.44	185.65	547.75	558.94	547.36
Tmem186	0.0	0.0	35.33	1.73	0.0	0.0	0.0	0.0	0.0	0.0	0.17	32.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.13	52.66	0.0	0.46	0.05	50.18	0.0	4.94	17.97	0.0	45.77	0.0	0.0	41.77	36.25	25.97	0.0	0.0	22.73	1.34	0.0	0.0	0.0	25.6	0.0	0.0	0.0	0.0	4.67	0.0	0.0	29.57	0.0	0.0	375.49	0.0	0.0	0.0	133.36	0.0	0.0	0.0	0.0	0.23	0.25	0.0	0.0	8.25	8.33	57.3	0.0	121.18	0.16	0.0	3.26	2.0	5.02	0.09	0.0	15.05	16.79	17.43	18.11
Tmem199	156.48	140.66	70.65	0.0	0.0	0.0	0.0	0.0	180.57	149.83	0.0	0.16	0.7	0.0	0.55	0.0	298.45	338.93	0.0	0.0	306.64	809.57	25.17	103.93	56.22	121.48	304.78	81.96	170.31	102.74	186.79	101.0	187.59	229.19	76.48	360.95	232.57	254.64	197.98	310.97	281.58	178.45	253.1	124.9	157.88	327.97	0.65	156.97	163.43	101.04	255.68	291.56	4.38	304.7	168.5	229.36	0.0	1.46	0.0	0.96	2.94	0.0	0.0	0.0	0.79	909.35	0.0	0.55	0.0	0.0	202.96	118.33	93.82	74.81	661.13	381.62	204.7	283.9	35.87	252.17	494.94	0.0	214.9	43.3	44.65	44.24
Trmt1	0.0	60.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.54	0.24	16.65	0.0	0.0	73.69	13.61	139.51	2.19	0.0	0.0	0.0	0.0	0.0	26.07	0.26	0.0	0.0	57.56	4.4	0.0	0.0	0.0	27.97	74.24	0.0	2.48	1.07	57.55	1.5	0.0	0.15	0.0	3.06	0.0	0.0	0.52	10.97	0.0	0.12	1.21	0.94	2.54	2.25	0.0	2.13	1.43	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	2.49	38.6	0.0	0.0	154.41	1.13	13.89	34.07	2.2	25.33	0.04	0.0	11.06	60.21	66.19	61.39
Trmt2b	0.0	1.74	0.0	0.0	0.0	0.0	0.0	0.0	0.21	41.19	0.0	4.5	0.0	0.28	0.0	0.19	144.28	0.18	0.0	0.0	0.16	0.0	0.28	0.0	0.43	0.09	0.0	0.0	39.16	0.2	40.93	22.82	0.0	0.23	0.21	0.77	62.22	0.06	0.0	0.0	0.0	0.35	3.37	0.0	0.0	0.06	0.0	0.0	0.08	10.11	0.04	0.0	0.38	3.22	0.11	45.68	0.54	0.0	0.0	0.38	0.3	0.0	0.0	0.0	0.0	0.62	0.58	0.0	0.0	0.0	30.07	45.94	0.05	0.1	162.82	0.13	39.01	44.85	9.68	0.42	0.13	0.54	5.57	8.54	11.71	9.89
Tspyl2	8.59	51.86	0.39	450.93	0.0	0.0	0.0	0.0	0.0	11.39	0.0	0.0	0.0	0.0	26.21	0.0	0.0	0.18	0.0	0.0	0.0	0.0	187.26	1.33	42.47	3.11	8.74	138.53	82.97	95.79	22.9	0.22	14.09	43.45	48.89	34.68	31.46	24.27	91.89	34.6	0.0	13.89	1.57	85.97	88.15	43.02	68.98	0.0	0.0	41.13	33.45	1.06	33.89	155.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	2.86	0.0	0.0	59.72	68.76	0.0	37.76	236.16	89.36	76.84	45.97	40.01	51.73	0.43	0.26	13.35	94.19	96.0	86.1
Vgf	9.54	19.33	7.09	0.0	0.0	0.0	0.0	0.0	0.0	3.26	0.0	12.85	0.18	0.0	1.68	0.0	0.0	7.7	0.0	0.0	0.0	0.0	15.22	27.06	22.72	20.91	5.55	18.33	32.82	23.55	11.35	24.79	39.99	29.21	45.81	5.21	12.05	7.83	3.86	41.0	6.26	12.61	2.14	10.38	20.41	8.62	0.0	1.66	4.0	8.84	22.89	6.08	46.78	6.75	8.74	10.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	15.85	10.59	23.21	19.91	40.29	80.33	16.22	2.03	8.72	38.44	19.25	57.37	5.13	199.85	211.88	211.88
Ypel4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.21	0.0	0.0	0.0	0.0	105.4	34.07	0.0	0.0	0.0	0.0	49.72	0.52	6.48	25.03	0.47	0.94	14.28	0.16	0.0	0.0	31.96	15.85	24.54	32.76	36.19	0.0	8.73	60.0	65.43	0.0	41.19	0.0	0.0	0.0	0.0	1.33	0.0	29.71	1.18	0.0	0.0	29.03	68.41	22.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147.64	0.0	14.65	1.62	31.72	44.09	0.38	0.0	6.79	89.3	92.72	85.71
Zc3h6	2.06	2.34	0.96	0.0	0.0	0.0	1.74	0.0	0.0	39.58	0.0	0.04	0.0	0.0	7.54	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	1.04	0.0	0.34	0.03	0.74	26.71	0.0	0.06	7.44	19.62	0.0	0.0	0.19	9.46	26.18	0.0	9.46	38.18	0.06	3.64	0.0	0.82	10.74	0.0	0.0	10.17	0.0	0.0	25.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.76	0.0	0.0	0.0	0.0	0.0	0.0	1.1	17.7	0.0	0.0	85.65	92.0	0.0	12.24	0.12	23.96	23.91	0.0	6.93	9.7	10.17	10.3
