	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_39	Chrna2_tdTpositive_cell_24	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_111	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_65	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_34	Nr5a1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_3	Ntsr1_tdTpositive_cell_17	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_34	Ntsr1_tdTpositive_cell_36	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_21	Rbp4_tdTpositive_cell_36	Rbp4_tdTpositive_cell_39	Rbp4_tdTpositive_cell_42	Rbp4_tdTpositive_cell_45	Rbp4_tdTpositive_cell_52	Rbp4_tdTpositive_cell_55	Rbp4_tdTpositive_cell_57	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_77	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_101	Rbp4_tdTpositive_cell_109	Rbp4_tdTpositive_cell_110	Rbp4_tdTpositive_cell_119	Rbp4_tdTpositive_cell_128	Rbp4_tdTpositive_cell_129	Rbp4_tdTpositive_cell_131	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_179	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_184	Rbp4_tdTpositive_cell_187	Rbp4_tdTpositive_cell_188	Rorb_tdTpositive_cell_51	Scnn1a.Tg2_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_70	Scnn1a.Tg3_tdTpositive_cell_103	Scnn1a.Tg3_tdTpositive_cell_105	Scnn1a.Tg3_tdTpositive_cell_110	Slc17a6_tdTpositive_cell_31	Sst_tdTpositive_cell_107	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_2	CAV_LP_Ipsi_tdTpos_cell_3	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_13	CAV_LP_Ipsi_tdTpos_cell_14	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_29	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Plekha1	37.39	0.0	15.69	0.89	0.0	0.0	0.0	31.15	0.0	0.0	195.32	15.39	46.55	172.66	0.58	0.0	47.77	53.24	22.22	0.0	69.47	0.05	7.31	17.62	48.12	56.93	56.91	163.75	60.07	1.23	0.0	7.87	88.9	0.08	38.96	1.36	9.44	44.91	67.11	17.08	29.5	47.23	0.0	58.76	44.81	5.48	84.06	13.85	45.57	0.29	0.21	35.34	19.67	34.26	10.62	7.51	0.13	65.5	65.43	3.89	32.32	47.25	71.86	0.4	3.36	0.0	0.37	120.14	6.08	0.0	1.58	29.49	39.41	20.87	47.87	47.38	52.81	8.87	0.0	20.85	4.55	77.41	0.41	8.78	63.66	24.84	98.14	19.0	13.85	20.97	13.47	0.27	39.11	37.71	0.12	55.43	75.15	80.27	81.24
Rmnd5b	118.72	0.0	21.0	0.0	0.0	16.44	87.98	87.89	0.0	0.0	91.63	0.0	88.81	103.72	114.67	0.0	98.84	0.17	0.0	195.48	0.0	0.16	84.34	0.0	95.56	0.0	40.11	51.98	109.59	32.96	7.29	0.0	3.64	2.03	18.8	98.44	46.08	0.0	9.77	17.8	0.0	48.0	0.0	22.64	251.44	0.0	28.08	56.26	130.93	13.99	21.04	0.64	0.0	28.32	40.58	28.97	168.78	33.9	66.97	0.11	3.23	67.76	34.63	88.39	0.0	3.66	0.04	33.49	0.0	6.32	67.32	71.41	34.84	39.45	42.7	58.34	45.72	0.0	17.02	75.63	0.0	224.97	134.62	3.37	13.22	46.97	29.19	29.77	14.47	61.12	0.0	0.0	0.5	138.68	113.69	0.0	61.33	59.51	60.53
Rnf208	73.68	0.41	0.0	81.04	304.26	0.58	0.0	25.48	136.04	0.0	0.0	22.19	167.68	94.45	38.54	0.0	0.0	0.51	0.0	0.0	0.0	57.73	0.0	0.0	0.0	0.0	0.0	0.79	123.95	113.46	56.82	0.3	2.56	0.25	99.47	28.94	5.26	29.75	0.0	16.6	0.0	32.77	0.0	0.0	106.36	52.32	122.41	88.08	32.56	0.0	0.0	77.16	59.44	23.84	0.0	10.01	7.3	5.17	22.05	59.1	40.35	85.94	0.8	0.0	0.0	19.12	0.06	563.14	2.43	137.26	8.92	8.17	11.52	25.04	19.93	24.83	31.19	0.0	20.36	0.5	15.22	80.78	88.31	48.24	10.37	46.51	0.22	0.22	0.0	0.0	0.0	0.0	143.62	39.46	1.84	24.7	124.6	138.39	125.1
Rpap1	37.03	0.0	0.0	0.0	0.0	3.31	0.0	0.0	0.0	0.0	0.0	0.0	22.57	0.0	0.0	0.0	25.2	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.34	0.0	0.07	96.47	0.12	0.0	26.45	0.0	0.0	0.0	27.59	0.0	3.22	0.0	0.0	0.0	0.0	0.0	0.07	6.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.76	9.43	0.24	0.0	0.16	21.15	0.09	0.02	0.0	0.03	12.31	0.16	0.0	0.02	125.49	0.0	0.0	0.0	1.02	4.13	0.37	3.3	1.65	5.8	0.2	0.0	0.0	19.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.86	13.97	14.75
Snph	7.04	38.64	0.0	39.87	35.15	0.0	4.28	40.23	0.0	0.52	30.25	1.45	89.72	56.92	30.25	0.0	0.01	6.81	0.0	4.76	37.65	16.78	0.16	6.04	48.12	29.54	7.48	58.3	46.28	74.55	23.67	1.41	28.54	8.39	12.99	2.26	50.54	17.46	82.34	38.32	2.22	23.07	0.0	16.56	0.26	50.01	1.6	7.16	25.76	1.03	0.96	47.66	1.97	21.35	0.0	4.08	0.83	7.56	27.49	44.65	0.86	34.12	0.03	0.0	0.0	0.0	0.0	103.82	0.0	0.09	4.02	28.44	19.21	11.07	14.56	16.95	24.36	67.05	14.79	16.98	22.94	3.55	0.73	26.95	27.07	0.55	0.66	0.0	5.13	0.0	6.07	77.42	55.42	31.29	4.15	2.48	167.43	174.0	180.8
Stk4	22.6	20.36	4.31	0.0	0.0	1.92	1.19	0.0	0.0	0.0	8.52	10.38	23.58	11.26	0.74	0.0	12.26	18.76	0.0	52.31	64.25	0.0	44.83	24.36	53.2	0.0	21.18	2.22	33.95	3.86	0.0	0.75	31.55	2.99	19.61	25.4	0.0	0.64	53.29	11.32	0.0	3.74	0.0	11.05	0.0	20.48	0.0	0.0	0.0	0.93	32.97	18.09	0.89	6.72	3.08	10.61	2.11	32.35	0.0	0.0	0.43	30.31	33.13	0.0	0.0	0.0	0.03	106.25	5.56	0.0	9.36	19.69	14.42	15.91	16.5	13.46	15.3	25.55	1.65	10.38	0.78	0.33	35.27	0.0	11.02	0.0	0.0	58.62	10.83	0.0	29.3	0.0	0.0	16.4	0.0	18.17	23.92	21.34	22.1
Tmem159	0.0	0.0	52.88	79.42	0.0	0.0	0.0	0.0	0.0	0.0	186.48	0.0	43.54	88.9	124.18	0.0	86.61	0.0	0.24	109.82	100.51	202.98	128.5	0.0	413.11	210.05	370.0	117.07	585.95	1.0	0.23	5.11	71.45	0.0	0.0	0.0	17.96	0.0	76.89	0.0	70.76	0.0	0.0	0.25	111.17	0.0	53.57	70.89	0.0	63.7	0.0	0.0	59.38	25.65	0.0	1.64	0.41	0.87	80.83	64.4	83.65	86.36	0.0	0.0	0.54	0.0	0.0	707.29	0.0	125.24	0.0	233.88	49.06	133.72	102.77	102.8	116.05	0.0	0.0	0.0	52.53	274.9	418.63	151.27	80.19	0.21	185.19	248.17	207.63	255.69	251.72	134.86	167.48	99.39	0.0	142.37	17.71	18.62	19.83
Wdr47	26.47	67.67	6.24	19.96	465.8	50.77	35.74	29.12	7.24	0.1	76.18	6.76	32.7	48.18	0.08	0.17	94.28	0.0	0.08	60.86	8.0	47.1	81.69	3.72	4.07	21.01	8.83	51.48	30.09	197.91	137.22	11.52	139.29	0.23	51.87	0.0	48.5	50.68	28.04	0.44	5.11	107.43	0.09	51.25	77.21	13.54	180.71	67.16	25.73	73.5	38.33	64.62	48.44	80.95	24.2	74.43	3.04	92.86	59.05	0.98	77.15	89.52	1.17	0.11	51.82	88.93	1.06	420.53	16.23	8.51	49.49	60.7	92.53	61.25	87.98	90.58	90.99	49.15	35.7	29.28	103.8	14.3	163.16	139.72	41.44	49.37	61.2	0.0	50.07	35.84	0.72	0.21	31.36	35.8	0.0	5.57	99.53	98.5	93.79
Zcchc6	0.31	0.0	0.0	0.15	0.0	0.0	93.59	21.98	0.0	0.0	72.85	0.0	5.93	0.24	0.0	0.0	0.0	20.94	0.0	6.74	0.14	0.0	26.74	0.77	0.62	0.0	0.39	0.0	22.47	37.95	0.0	6.64	14.86	13.76	1.31	2.81	4.55	2.01	41.21	0.57	8.3	1.87	0.0	18.41	8.82	0.06	6.29	6.43	23.94	12.07	0.0	6.95	0.0	11.39	0.0	13.37	0.02	0.04	20.12	0.06	0.0	0.12	10.91	0.0	0.0	0.0	0.04	13.29	0.0	0.0	2.57	10.19	14.79	4.88	9.26	9.98	10.51	0.0	9.6	2.8	0.0	5.23	42.8	2.12	0.25	4.06	0.0	0.0	104.64	6.07	0.0	0.0	0.0	21.21	0.16	0.3	30.73	27.71	31.01
Zfand3	0.0	74.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.64	0.13	0.24	17.56	67.73	0.0	0.0	24.23	0.0	0.0	5.55	0.0	5.82	0.0	0.0	0.0	0.0	31.29	0.13	58.13	0.23	0.0	0.15	15.71	0.0	7.92	0.31	31.26	0.0	0.0	5.4	50.34	0.27	0.0	0.0	21.87	0.0	20.38	0.0	0.0	0.87	0.0	3.3	0.0	6.73	45.6	23.66	0.0	0.23	31.57	0.0	8.2	2.35	20.33	0.0	12.59	0.0	0.0	55.65	0.0	0.0	0.0	5.17	1.95	0.15	2.4	4.48	3.05	3.34	0.0	9.53	0.11	0.0	6.74	15.89	0.0	0.0	8.05	0.0	0.0	4.31	49.0	0.0	0.0	0.0	0.0	0.0	55.03	62.08	56.61
