	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_83	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTpositive_cell_106	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Rpl12	174.26	514.46	268.23	245.36	325.91	110.77	0.0	0.0	0.0	457.07	0.0	172.08	507.46	551.53	225.72	59.5	442.67	87.77	118.18	521.16	239.47	291.87	78.96	1.08	96.18	0.0	231.6	239.3	278.19	157.09	75.93	151.02	72.86	167.08	161.09	208.32	96.54	160.73	194.17	230.09	90.21	205.32	352.76	181.93	243.55	192.72	56.68	140.76	133.06	58.39	182.54	220.09	211.12	50.29	262.47	141.56	68.54	111.19	125.95	137.06	118.34	11.53	267.12	277.1	6.23	0.59	0.0	224.01	626.94	0.0	102.03	364.06	258.29	282.77	184.92	169.55	323.94	346.12	63.38	455.54	548.45	183.43	175.37	552.45	211.99	410.23	455.55	428.14
Slc25a23	7.59	67.54	48.2	49.69	1.25	0.47	0.0	64.13	0.0	41.87	77.38	83.45	138.81	170.72	31.06	54.11	32.04	87.49	0.0	2.49	86.25	62.11	6.43	0.0	0.0	0.0	54.68	9.28	60.34	21.37	14.43	0.1	9.31	6.46	1.97	3.64	12.16	7.27	0.0	0.12	30.14	0.47	3.76	1.0	0.0	24.25	44.68	11.09	9.94	18.61	0.0	10.25	21.67	63.79	9.02	10.29	6.15	10.29	13.37	16.71	1.83	0.0	44.86	11.78	0.0	0.0	0.0	152.57	0.0	0.0	9.0	26.96	6.24	66.41	60.48	4.43	28.44	58.2	6.74	23.78	39.39	1.76	0.36	3.37	40.24	290.22	282.16	298.37
Slc25a3	96.08	187.87	277.08	145.97	0.0	274.6	1.38	60.79	43.13	148.58	290.37	111.53	384.73	339.17	192.47	37.62	285.38	177.82	1.33	0.55	66.76	306.1	11.85	0.0	0.0	0.0	398.38	63.3	26.92	16.95	106.28	113.94	103.52	94.86	135.36	64.76	66.75	259.9	377.51	294.09	56.68	12.58	9.0	185.4	226.36	64.0	70.93	45.48	112.68	150.33	44.45	13.94	22.96	74.27	76.36	78.0	84.18	1.84	38.0	19.38	20.22	19.93	311.03	213.57	0.0	0.0	0.0	1487.36	0.33	0.0	86.98	204.42	23.26	123.6	215.51	524.62	177.3	80.38	93.58	161.02	365.13	76.08	165.04	92.87	38.1	494.12	522.08	471.49
Slc6a17	10.59	24.92	59.77	17.39	26.34	23.48	0.25	0.0	0.0	23.93	30.26	5.82	95.56	116.64	75.74	13.64	20.88	18.2	0.32	16.08	22.1	6.2	54.4	0.0	0.0	0.05	22.71	19.62	7.3	44.15	15.59	7.82	8.34	50.21	15.91	2.55	1.7	18.73	3.44	25.96	0.33	2.84	20.14	24.62	0.9	26.45	33.34	43.22	51.37	22.99	17.43	18.48	11.31	5.91	24.92	0.26	14.12	7.5	1.43	21.97	6.16	0.0	75.75	101.94	0.0	0.11	0.0	236.08	0.25	0.0	0.45	37.37	0.73	25.95	14.71	9.48	0.77	48.53	7.59	21.47	28.37	18.57	15.17	36.27	11.01	242.23	238.44	246.45
Snap91	146.95	60.99	49.12	28.07	61.86	80.63	0.0	0.0	0.0	118.67	222.5	41.78	166.59	212.31	281.37	92.98	158.18	127.41	0.0	6.79	96.3	10.89	4.58	0.0	0.0	0.0	77.13	77.73	42.67	55.39	53.88	59.0	67.02	4.04	78.32	64.19	71.94	66.46	123.37	86.82	64.74	57.11	91.5	98.59	84.7	21.3	82.12	71.33	33.6	31.28	89.85	36.96	48.38	72.5	92.62	78.8	20.49	43.67	17.51	54.21	34.81	0.0	104.57	230.0	0.29	0.0	0.0	271.44	0.0	0.0	51.8	115.06	114.46	69.79	87.04	94.6	13.08	169.98	143.33	137.81	82.28	79.63	89.88	94.25	8.46	254.03	253.8	241.24
Sncb	91.79	248.84	99.05	153.5	80.26	114.6	0.0	0.0	0.0	197.03	98.48	181.79	274.62	337.89	137.06	20.69	59.3	28.54	0.0	54.17	152.92	197.23	93.09	0.0	0.0	0.0	85.34	67.27	27.76	33.72	45.64	95.5	180.51	75.12	84.41	34.63	84.76	102.58	116.83	96.45	164.86	133.76	97.77	41.38	71.22	77.68	75.75	56.1	41.09	82.07	62.85	147.09	37.03	41.86	97.76	65.48	89.21	23.57	68.54	41.13	61.78	0.0	190.53	286.53	0.0	0.0	0.0	506.65	0.0	0.0	176.44	212.46	114.28	96.94	171.03	151.74	75.33	98.25	115.76	273.28	202.96	173.6	97.47	86.27	160.29	500.1	550.38	513.95
Tmem132a	3.29	1.3	0.14	0.0	0.0	4.4	0.0	0.0	0.0	0.0	2.03	0.0	7.85	9.39	0.0	0.0	0.12	2.14	0.0	3.86	2.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	1.17	0.0	0.0	0.47	0.0	1.04	0.09	0.0	3.81	0.15	10.52	0.0	0.52	18.35	0.0	0.0	0.06	0.0	0.26	0.0	0.06	0.4	1.42	0.08	0.04	0.13	0.14	0.0	13.62	25.73	0.0	0.0	0.0	156.34	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.17	1.07	0.0	0.32	0.0	15.17	0.15	0.0	0.0	0.0	173.98	189.33	182.59
Tmem189	0.0	7.24	30.1	0.0	1.26	0.0	0.0	0.0	0.0	0.0	8.56	0.0	72.48	174.43	129.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	21.04	0.0	0.08	0.0	0.0	0.29	0.0	0.0	0.0	2.59	0.0	0.0	0.0	0.0	9.19	0.0	0.0	0.0	0.0	0.0	0.0	44.62	0.0	0.0	0.0	17.24	0.0	0.0	0.0	0.0	0.0	0.0	58.21	75.31	0.0	0.0	52.8	135.05	0.0	0.0	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.08	0.0	0.0	0.0	0.0	0.0	59.64	61.57	62.78
Vamp2	150.42	255.92	164.51	128.67	272.19	218.76	0.0	0.0	0.0	42.24	375.11	93.1	444.7	526.41	264.66	120.85	164.41	338.2	0.0	190.48	193.94	222.94	188.29	0.0	0.0	0.0	39.25	70.74	114.42	162.22	124.47	8.43	122.86	121.5	118.95	119.52	191.3	258.31	159.89	130.07	58.21	97.15	94.56	266.88	188.18	127.98	129.86	105.07	152.42	114.84	168.82	39.99	93.11	78.64	125.55	138.45	87.45	90.41	78.51	167.43	91.21	0.0	335.13	688.94	0.0	0.33	0.0	1108.89	0.0	0.0	139.25	270.61	96.52	46.73	431.96	128.15	30.5	239.65	106.73	207.53	163.33	99.24	154.62	197.81	93.42	1049.62	1054.48	1042.78
Zfml	20.41	6.22	14.92	37.18	10.91	38.41	0.0	0.42	15.51	14.37	26.3	37.62	8.93	87.29	25.99	42.44	5.38	88.29	65.21	12.81	5.93	97.59	0.97	0.05	0.0	0.08	60.13	48.77	77.49	11.9	5.55	0.53	3.52	0.12	32.91	24.11	30.33	7.01	54.52	25.95	19.47	120.37	70.9	36.31	30.88	97.99	19.56	34.61	8.51	32.22	61.76	0.75	70.3	61.47	1.95	69.39	10.11	43.35	34.04	22.23	41.36	0.09	72.49	18.77	0.0	0.0	0.0	57.03	0.0	0.0	18.69	6.58	19.37	16.81	39.66	40.29	9.75	46.24	15.7	38.26	5.04	79.74	44.23	5.54	21.3	40.22	32.48	41.11
