	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_11	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTpositive_cell_106	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Kcnc1	8.09	50.94	19.0	3.37	0.0	0.0	0.0	10.24	60.35	9.71	26.23	58.08	66.83	61.53	2.99	83.07	119.53	8.46	19.34	22.18	46.09	4.93	0.0	0.0	22.61	0.0	0.0	0.09	7.4	2.8	0.04	0.02	0.33	0.02	4.87	4.49	7.53	0.06	0.0	3.81	3.79	0.94	3.81	4.61	0.05	26.71	16.46	0.04	70.68	14.39	1.16	0.83	9.61	7.48	0.03	0.18	3.62	0.1	1.56	0.2	2.6	1.7	0.0	0.14	0.0	23.92	50.71	0.0	0.22	0.9	3.42	19.84	0.33	0.31	11.94	10.25	32.29	2.35	39.66	96.03	98.54	104.01
Khdrbs3	0.68	39.05	9.16	0.0	0.0	0.0	0.0	16.37	304.01	2.51	86.38	50.53	157.68	147.59	237.52	143.61	92.81	281.63	0.15	39.2	193.77	115.4	0.0	0.0	69.8	0.0	0.0	0.44	0.78	0.13	0.38	49.23	1.99	0.37	3.37	0.26	0.5	0.73	0.21	0.0	1.45	5.07	89.58	1.05	41.75	3.53	5.92	0.78	89.86	4.7	21.86	1.54	0.0	5.75	3.01	4.21	0.0	2.21	35.69	0.0	3.1	0.62	31.72	0.0	0.0	219.14	72.63	0.0	0.0	9.76	26.47	4.35	80.38	7.55	249.18	19.31	34.84	0.95	134.48	170.44	167.93	173.76
LOC639910	0.0	1.65	0.0	0.0	0.27	0.0	0.72	1.53	9.37	0.0	2.03	2.45	1.16	10.0	0.0	0.0	2.26	0.81	1.96	1.69	0.0	0.52	0.0	0.0	3.51	0.0	0.0	2.42	0.85	0.0	0.0	1.14	0.95	0.0	1.36	0.5	1.67	1.39	0.0	0.86	0.6	0.34	1.2	1.31	0.79	1.66	2.21	0.0	0.28	1.44	1.54	1.19	1.02	1.14	2.93	1.38	1.84	3.66	3.68	0.82	0.15	0.36	0.99	0.68	0.0	1.33	6.45	0.0	0.0	1.76	3.89	0.0	3.62	0.37	3.14	0.57	2.58	0.74	8.08	0.29	0.28	0.35
Lemd3	0.0	1.29	0.0	0.0	0.0	0.0	0.0	0.0	58.19	0.0	65.41	0.0	0.6	2.2	0.0	7.26	22.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	0.0	0.0	2.96	0.31	15.93	0.0	0.62	3.1	22.06	0.0	2.32	0.0	0.12	0.65	0.17	3.4	2.71	0.0	0.0	12.1	34.57	31.94	0.06	0.0	2.82	12.94	0.0	0.0	0.0	0.05	0.0	0.0	0.0	15.47	0.0	4.5	0.0	0.0	0.0	0.0	0.09	63.13	0.0	0.0	6.41	0.35	0.06	0.0	12.52	33.52	0.0	19.93	0.0	6.35	28.92	27.61	26.65
Lrrtm3	0.07	28.44	8.15	61.85	0.08	0.0	0.0	0.15	369.67	47.36	213.26	37.3	58.55	6.87	432.3	157.31	34.54	141.77	0.0	47.66	185.95	0.0	0.0	0.05	115.02	0.0	0.0	0.0	5.12	0.11	0.09	0.04	0.48	5.99	0.39	0.0	0.88	21.72	0.23	76.2	26.08	66.09	0.0	0.07	0.0	154.15	60.36	0.0	229.2	0.07	4.83	3.4	23.9	42.71	30.35	0.0	28.2	51.62	0.08	68.26	0.08	60.98	0.0	0.0	0.0	24.87	17.7	0.0	5.69	0.0	0.26	59.54	71.18	6.9	0.16	28.46	0.08	13.99	0.36	34.09	32.4	31.41
Magi1	26.99	7.76	34.94	13.6	0.0	0.0	0.0	32.79	102.52	52.31	128.07	103.99	130.67	33.59	33.45	92.31	64.65	83.59	46.17	90.48	27.61	13.64	0.0	0.0	91.65	0.0	0.0	15.97	1.31	11.84	20.44	19.48	1.67	7.82	9.76	0.93	9.43	14.49	6.59	13.7	7.54	29.11	14.77	0.97	17.69	105.34	53.58	3.46	87.36	55.49	15.0	6.11	28.04	99.17	75.16	21.21	0.07	14.16	3.74	5.6	4.74	18.78	11.08	0.0	0.0	25.77	37.51	0.0	13.92	2.42	43.12	0.0	29.8	10.49	130.58	10.45	26.87	0.1	82.57	52.61	50.18	51.81
Mzt1	179.1	33.03	2.22	1.91	0.86	0.24	4.41	67.33	426.73	149.21	287.16	130.64	101.2	405.97	218.01	101.11	302.19	144.52	3.99	152.08	1.73	6.5	0.49	0.56	253.09	0.0	3.0	154.76	119.75	44.05	152.23	119.72	2.01	118.42	19.72	85.23	206.66	115.17	66.88	93.02	34.1	96.63	100.26	112.3	61.41	7.04	132.23	113.75	1.39	100.32	83.38	94.78	42.11	1.66	8.46	114.84	90.98	166.15	1.67	24.9	61.85	75.07	112.09	2.46	1.85	109.17	5.53	0.37	191.99	33.07	72.63	75.89	21.76	61.25	108.32	131.1	48.89	308.52	0.0	93.77	91.95	90.66
Ngly1	29.32	0.0	12.38	0.0	0.11	0.0	0.0	135.12	161.24	16.27	53.67	53.19	0.0	82.39	92.87	0.0	0.0	0.0	0.0	11.44	0.0	11.42	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.05	30.67	0.0	0.0	0.0	0.38	0.0	36.53	0.0	0.0	1.41	11.53	5.13	0.1	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.84	0.0	41.45	0.0	91.76	42.22	0.0	0.0	14.07	0.0	0.0	0.0	0.0	0.0	45.56	0.0	38.96	19.86	37.73	4.39	0.0	0.0	23.18	21.8	20.76
Npdc1	135.03	91.78	39.49	115.28	0.0	0.0	0.0	0.0	315.1	74.22	153.4	195.06	150.49	8.15	46.77	82.26	89.2	0.85	26.06	20.89	16.68	68.94	0.0	0.0	5.11	0.0	0.0	13.39	91.33	53.23	0.17	105.0	53.46	110.16	52.18	59.96	60.82	69.17	16.36	113.43	88.54	22.78	10.43	1.36	81.86	55.39	21.85	100.95	0.0	6.48	32.82	23.77	38.55	27.27	2.93	9.52	14.28	88.99	2.43	16.65	59.04	66.96	57.87	0.0	0.0	56.84	59.36	0.0	1.39	62.86	77.32	87.81	2.59	54.27	0.0	64.97	2.73	2.23	42.49	252.93	280.5	267.22
Npy	138375.8	173305.25	1.6	115124.65	0.0	0.0	0.0	16044.9	43922.94	108594.8	20681.08	96206.73	82245.2	42632.64	68542.73	67463.47	65548.38	57444.26	45335.24	125016.83	59230.28	34339.27	0.0	0.0	63494.68	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	73168.9	126989.03	45711.04	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	24726.66	0.0	0.0	145032.54	180453.32	92572.95	128781.07	23340.13	137945.15	32250.58	95298.15	137580.94	120620.2	68416.93	214.21	196.57	200.76
Nsg2	133.93	37.4	0.0	99.2	0.0	0.0	0.0	207.13	140.21	53.41	386.45	357.05	621.99	466.41	72.51	188.18	442.09	154.51	337.94	99.77	164.28	134.99	0.0	0.0	129.69	0.0	0.0	59.89	59.05	55.02	29.19	57.32	99.2	21.33	152.74	106.94	70.39	48.88	119.08	100.14	130.04	107.07	22.86	40.46	119.59	189.07	180.31	82.49	61.44	65.91	105.09	24.17	59.0	167.7	44.37	74.77	18.78	58.63	39.14	105.28	54.2	84.78	70.31	0.0	0.0	255.21	536.2	0.0	160.8	99.83	203.35	110.13	421.91	72.68	91.56	67.1	137.5	61.69	233.46	642.61	673.47	621.36
Ogfrl1	0.0	8.08	0.0	0.05	0.0	0.0	0.0	0.54	162.8	40.27	108.34	151.05	269.4	180.51	71.52	397.24	287.65	181.24	19.24	68.67	35.06	13.25	0.0	0.0	120.66	0.0	0.0	7.67	6.15	26.73	84.65	0.03	0.05	0.02	18.55	0.0	25.74	0.11	0.0	0.91	0.86	0.0	0.79	28.08	30.74	93.11	105.53	0.66	23.81	41.69	24.67	0.34	6.19	76.73	1.49	0.21	0.04	24.61	4.0	58.81	0.06	0.0	0.0	0.0	0.0	43.61	8.49	0.0	0.53	0.0	58.17	1.26	0.0	5.33	56.74	9.84	0.06	0.09	10.84	78.83	72.63	76.41
Pgbd5	0.68	19.62	53.17	18.62	0.0	0.0	0.0	27.57	60.57	55.78	145.96	328.19	135.52	222.36	60.73	131.38	166.52	87.37	69.22	206.47	130.12	29.29	0.0	0.0	53.27	0.0	0.0	29.46	12.08	37.34	82.43	0.06	1.74	18.44	0.08	22.36	96.19	0.0	20.99	0.0	13.24	4.26	17.98	29.2	0.26	326.15	158.08	20.28	493.08	82.68	10.39	0.0	11.48	118.92	6.49	33.73	19.51	0.0	23.88	0.1	9.9	0.0	13.88	0.0	0.0	37.3	227.79	0.0	0.0	19.76	0.36	61.99	48.5	0.0	116.76	38.17	18.38	1.25	26.0	134.18	138.74	137.8
Ppp1r12a	32.6	9.61	0.0	0.86	0.1	0.0	0.0	6.82	354.0	39.28	263.69	15.92	9.01	70.91	187.35	51.69	66.28	0.06	40.78	96.49	0.92	33.47	0.0	0.0	138.04	0.0	0.0	16.17	8.6	2.1	22.15	20.45	5.18	1.44	23.61	8.96	0.0	16.21	28.6	29.3	13.07	27.52	0.0	20.66	9.24	20.6	43.66	10.78	118.58	63.63	16.8	8.42	41.9	73.38	36.98	98.88	0.06	74.0	76.78	28.9	28.66	0.41	0.58	0.18	0.0	13.22	7.48	0.0	9.81	16.0	0.2	26.36	0.16	26.39	39.03	0.0	51.55	50.1	24.61	56.86	50.73	59.08
Ppp2r5e	17.0	16.92	0.0	0.55	0.0	0.0	0.0	28.15	118.36	10.16	93.9	67.64	6.93	0.11	152.49	23.66	13.35	1.01	19.43	0.0	42.38	0.05	0.0	0.0	0.0	0.0	0.0	0.62	0.08	1.21	50.42	5.65	45.65	48.48	3.61	17.93	10.34	33.82	0.0	21.94	0.0	0.07	30.56	11.47	29.33	0.0	54.84	20.54	0.14	49.94	3.06	22.82	29.8	0.12	0.05	6.35	0.0	0.0	31.72	0.39	1.39	17.74	0.05	0.0	0.0	0.0	21.48	0.0	0.24	0.0	28.86	51.94	1.76	23.54	37.8	33.86	6.32	3.42	0.0	59.6	57.64	55.17
Prpf38b	0.0	15.92	44.59	22.53	0.0	0.0	0.0	42.76	186.96	16.96	13.5	25.62	25.93	0.0	123.57	6.71	16.85	51.97	108.03	0.17	19.08	58.72	0.0	0.0	15.13	0.0	0.0	21.2	18.05	0.03	1.24	0.0	7.73	21.59	0.07	36.22	7.01	0.92	0.0	5.38	13.64	11.26	26.69	0.09	35.19	22.2	50.89	0.49	0.0	35.71	3.97	0.0	5.67	31.95	0.0	0.0	0.27	5.82	4.08	34.1	29.51	1.77	3.53	23.63	16.73	24.78	26.17	0.0	0.0	5.85	9.76	0.1	12.62	8.89	13.34	11.27	1.01	0.03	23.01	42.54	39.44	42.14
Rab3c	77.38	55.7	102.77	37.01	0.0	0.0	0.36	233.06	670.55	355.7	652.58	525.52	527.23	697.53	569.8	780.64	1007.13	454.56	777.51	595.22	378.23	498.6	0.98	0.32	487.05	0.0	0.08	42.83	83.49	101.54	80.99	84.53	31.27	64.12	81.23	112.28	52.03	116.7	66.76	189.67	94.52	98.6	51.22	67.84	9.66	380.52	442.85	44.15	175.16	412.28	74.34	31.74	81.08	637.91	11.18	40.13	96.47	86.32	60.33	51.83	65.5	66.49	25.05	0.0	0.0	325.0	117.05	0.0	108.57	13.59	202.55	63.86	116.66	51.49	308.91	124.77	62.1	47.48	75.75	153.99	129.19	150.79
Ralgapa1	26.45	37.31	3.24	21.57	0.29	0.0	0.0	31.13	72.18	16.71	109.84	17.97	63.11	68.98	0.33	63.17	48.48	1.52	4.01	73.02	5.83	14.66	1.41	0.0	17.81	0.0	0.06	35.02	3.4	3.15	28.26	0.46	3.51	15.8	2.48	25.78	24.6	0.69	8.51	22.44	3.07	9.4	0.0	12.43	20.77	20.46	14.21	42.99	86.34	8.55	17.14	11.06	2.51	39.99	4.39	1.21	18.06	0.21	0.99	22.79	11.64	1.08	1.55	0.0	0.0	15.84	32.29	0.0	6.98	6.59	71.12	19.82	83.0	16.5	91.08	10.51	12.17	0.28	4.85	67.52	58.81	68.62
Rbm25	40.43	15.21	65.39	26.16	16.35	0.16	14.09	113.45	395.21	86.32	129.32	63.27	33.95	178.98	111.71	163.0	51.79	70.91	80.47	104.53	106.82	114.96	0.22	1.35	65.64	7.02	379.9	79.31	65.76	56.26	80.87	40.98	43.99	41.13	151.21	45.78	30.37	31.65	64.67	50.86	38.13	51.17	44.17	59.75	31.96	79.15	143.45	41.57	240.51	70.44	97.99	104.5	57.91	130.76	168.88	98.42	74.85	26.28	33.0	45.74	33.95	34.28	51.58	0.42	0.0	145.67	141.82	56.76	59.36	27.5	81.95	61.77	65.38	36.56	58.39	103.15	50.0	55.41	261.42	78.23	69.84	73.85
Rgs7bp	0.58	1.06	0.0	0.43	0.84	0.0	0.82	8.06	28.85	25.0	86.94	100.71	123.92	194.24	165.5	52.63	54.32	117.28	66.05	84.9	47.53	19.52	2.73	0.82	33.32	0.0	0.0	1.03	0.13	4.23	0.49	0.49	9.15	13.63	4.73	11.46	29.27	23.83	11.42	14.41	4.55	1.26	9.69	4.34	3.97	42.79	66.15	0.69	23.85	92.27	7.66	14.1	0.49	21.89	1.67	10.32	0.71	0.46	0.93	7.49	0.6	0.58	3.13	1.1	0.45	18.57	99.97	0.06	25.93	0.15	0.42	0.4	59.33	6.09	11.07	0.72	11.89	3.78	26.1	124.57	101.66	124.47
Rock2	16.08	4.97	15.25	0.0	0.0	0.0	0.0	70.95	128.01	77.59	129.43	64.05	107.75	187.61	86.48	98.27	69.02	128.66	7.21	123.19	39.75	65.92	0.0	0.0	42.25	0.0	0.0	15.72	27.46	1.66	2.85	23.84	1.21	0.15	37.23	10.65	29.49	26.69	2.68	21.22	8.46	1.91	2.22	4.92	5.75	125.34	57.93	17.69	46.63	46.88	14.73	10.8	19.86	51.68	3.37	1.07	3.98	13.99	0.47	22.46	20.43	14.39	3.64	0.07	0.0	17.58	72.86	0.0	26.42	35.73	1.38	21.93	98.59	13.55	115.45	9.85	21.76	9.64	15.83	81.62	63.9	79.25
Sfrs18	48.62	63.32	2.7	36.18	0.0	0.0	107.14	108.47	176.04	104.66	166.4	41.33	194.27	177.36	165.63	114.14	300.72	52.82	265.39	106.64	31.03	96.95	0.0	0.0	267.36	0.0	9.62	61.48	38.11	78.91	78.81	45.08	46.8	56.81	109.49	73.48	62.33	78.37	39.35	148.51	59.3	21.0	20.83	51.01	65.0	60.84	130.6	40.12	179.66	61.2	59.04	82.13	40.22	90.56	97.62	63.02	110.4	26.25	62.47	51.42	85.22	30.63	44.94	0.0	6.63	52.84	175.6	0.0	47.62	82.49	37.79	54.78	139.73	47.06	221.63	105.49	65.61	27.92	116.25	122.51	104.22	125.62
Sgip1	18.85	98.19	4.18	48.9	0.0	0.0	0.0	52.17	151.9	62.12	109.45	144.03	131.26	210.07	15.47	137.53	105.45	50.92	100.69	101.95	45.87	3.1	0.0	0.0	24.88	0.0	0.0	7.5	99.1	19.81	54.62	1.47	41.47	2.65	21.56	61.08	96.84	28.98	44.53	41.99	47.45	45.73	4.21	35.01	3.86	11.28	3.6	18.8	14.13	97.34	30.77	6.29	15.45	90.64	23.68	77.91	19.39	38.77	52.68	41.96	21.79	73.82	1.06	0.0	0.1	31.92	33.07	0.1	13.47	8.81	11.88	2.83	125.31	12.23	62.91	12.27	82.34	1.79	0.0	103.31	98.05	102.23
Sidt1	0.0	0.0	0.0	19.19	0.0	0.0	0.0	48.91	120.91	66.83	80.76	0.05	4.35	84.39	82.39	3.8	150.5	50.22	0.0	0.0	58.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.51	0.0	0.0	0.0	2.9	12.56	0.0	0.0	0.0	12.01	0.0	0.0	0.0	0.07	0.0	34.36	0.0	0.0	64.74	0.0	0.08	1.34	34.52	38.26	0.0	0.0	0.0	0.0	3.74	0.06	1.94	5.63	0.0	0.0	0.0	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.25	0.0	52.47	0.04	0.07	0.0	0.0	39.64	41.17	36.54
Taok1	26.9	13.87	26.84	27.19	0.0	62.14	0.0	82.25	138.44	78.08	15.44	61.16	77.85	82.46	68.3	85.28	49.03	105.68	43.58	20.71	2.35	25.49	0.0	0.0	30.5	0.0	0.04	44.96	37.13	38.34	33.21	14.41	38.05	47.94	73.02	34.36	63.45	53.36	31.91	43.37	20.18	40.32	35.06	21.89	40.9	77.13	55.33	19.49	19.81	26.02	23.67	5.62	35.33	46.63	31.2	33.63	21.09	49.45	17.18	10.45	40.33	55.51	28.74	56.93	270.96	73.23	153.68	0.03	27.24	14.43	39.53	40.68	60.28	18.94	68.32	8.04	9.38	15.64	30.53	34.33	29.07	35.58
Tmem181b-ps	50.64	44.65	0.0	17.52	0.07	0.0	0.77	16.24	116.92	114.87	61.99	59.96	139.9	67.54	26.13	84.85	187.16	7.93	14.04	4.57	27.96	13.65	0.1	0.07	85.9	0.0	0.0	30.96	36.07	64.45	8.48	20.35	22.23	33.28	18.06	51.44	55.6	56.28	7.85	44.62	12.73	18.69	25.9	26.21	20.39	98.17	43.78	45.02	69.24	52.92	7.33	57.69	1.98	83.49	0.1	37.55	7.99	35.56	37.31	18.23	9.18	15.2	65.89	0.13	0.0	30.97	92.82	0.0	24.55	29.06	20.22	15.34	139.45	40.59	20.56	62.76	23.89	8.44	33.91	112.88	105.35	113.69
Tmem48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.12	0.0	27.32	2.37	0.0	0.0	0.0	0.0	9.97	0.0	0.0	9.2	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	6.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.54	0.0	1.68	0.0	0.0	0.0	0.0	0.0	0.0	5.71	0.0	6.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	8.62	0.0	0.0	8.66	10.22	10.49
Trp53inp2	0.65	28.7	11.81	39.46	0.0	0.0	0.0	0.0	82.07	0.0	106.92	70.51	91.48	7.12	17.23	0.57	17.7	0.89	0.0	35.47	0.73	2.08	0.0	0.0	0.83	0.0	0.0	4.12	12.51	0.08	0.03	0.04	3.83	0.03	0.03	0.12	0.0	15.59	0.0	23.63	1.52	1.04	16.47	14.63	8.35	0.0	0.07	0.0	0.0	0.0	4.97	0.06	0.0	50.66	0.0	0.0	24.44	0.07	0.81	0.0	57.56	0.0	0.0	0.0	0.0	60.73	104.53	46.02	0.0	0.0	0.09	0.0	89.93	0.0	0.47	0.0	0.0	0.05	119.74	141.93	139.5	142.37
Tug1	85.18	105.69	18.21	117.51	0.0	163.07	236.54	376.85	948.27	509.48	40.51	306.53	236.77	92.56	812.23	144.76	151.15	133.32	439.09	305.86	293.47	152.31	802.24	0.2	267.23	0.0	0.14	193.52	201.33	95.11	243.76	214.41	263.99	211.77	204.05	117.23	184.03	205.31	171.95	319.49	44.55	258.02	116.22	199.22	127.6	429.28	345.47	226.57	0.51	298.83	80.86	299.02	41.18	193.06	10.31	86.93	99.61	60.88	101.23	411.36	182.71	84.63	137.17	107.44	0.08	218.96	232.46	192.83	93.29	174.49	100.83	316.04	492.77	49.59	128.2	38.75	88.21	65.56	153.92	65.8	59.35	60.05
Vmn2r55	2.72	2.46	0.17	0.23	0.0	0.0	0.56	0.76	2.78	1.36	1.96	2.14	1.31	1.1	1.67	0.4	1.5	0.53	2.44	1.64	0.91	1.94	0.2	1.11	2.79	0.0	0.58	0.64	1.45	1.42	0.98	1.05	1.58	0.29	1.44	1.04	1.84	0.97	1.0	0.72	1.11	1.21	0.92	0.96	0.32	0.26	0.55	0.63	1.13	0.77	0.82	1.0	0.76	0.83	1.11	0.76	0.27	0.28	1.16	1.08	0.73	1.4	0.84	0.52	2.28	0.81	12.03	0.3	0.38	0.17	1.8	0.65	2.04	0.28	0.89	0.86	0.52	0.17	3.45	3.27	1.36	3.31
Wapal	4.15	24.13	0.09	0.0	0.07	0.0	0.0	14.36	92.67	0.0	0.79	0.0	19.05	27.47	0.0	44.62	1.49	0.4	0.0	31.55	0.0	2.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.79	0.0	7.99	0.0	3.97	0.0	2.76	14.79	0.0	0.0	0.0	1.89	10.68	0.0	0.61	12.79	0.0	0.0	0.0	38.64	0.12	1.67	9.95	1.29	0.0	0.0	2.04	0.0	0.0	0.25	2.13	0.0	1.51	0.05	0.0	0.0	0.0	6.44	4.71	0.0	0.0	0.0	0.25	14.8	5.88	2.89	6.67	0.0	0.88	0.0	21.96	19.7	22.73
Wrnip1	2.43	17.63	0.0	46.71	0.0	0.0	0.0	66.84	125.72	0.07	137.03	146.09	0.0	26.01	0.0	12.96	145.54	2.33	0.0	35.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.72	0.0	0.06	0.0	79.55	31.65	0.04	0.0	23.75	28.41	32.99	2.06	18.1	0.0	0.0	8.32	0.0	50.84	3.65	0.2	0.0	0.0	0.31	0.0	28.43	1.78	0.4	13.55	0.77	0.0	19.06	5.42	21.76	0.0	0.0	21.78	0.0	0.0	0.0	58.84	0.0	0.11	0.0	0.0	9.58	147.61	0.0	1.05	26.85	0.12	7.66	2.41	60.42	67.09	61.56
Zfp780b	23.71	4.02	0.59	40.17	0.65	0.0	117.2	37.21	142.56	44.78	0.59	64.84	4.44	11.46	20.51	155.95	102.5	51.51	5.97	57.47	31.2	23.39	2.44	1.78	95.92	0.0	2.13	15.86	38.24	14.97	3.31	15.5	37.18	2.47	28.94	9.32	62.16	17.25	14.21	30.48	28.11	11.68	16.37	8.98	0.6	1.8	23.77	40.15	87.06	19.94	12.06	13.49	0.41	6.92	3.47	0.82	14.58	14.08	11.64	1.63	39.7	2.14	1.73	0.34	0.39	53.57	3.29	0.12	0.25	4.45	0.79	24.64	48.18	31.18	1.92	28.47	4.53	10.61	41.84	8.56	6.93	7.89
