	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_19	Cux2_tdTpositive_cell_31	Cux2_tdTpositive_cell_46	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_78	Cux2_tdTpositive_cell_106	Cux2_tdTpositive_cell_111	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_120	Gad2_tdTpositive_cell_20	Htr3a_tdTpositive_cell_32	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rorb_tdTpositive_cell_26	Scnn1a.Tg3_tdTpositive_cell_13	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_46	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Neurod1	0.0	0.0	0.0	124.65	3.89	155.96	8.16	29.78	0.0	135.76	94.06	155.09	124.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.76	65.57	137.32	60.73	0.0	0.0	0.0	0.0	0.0	0.0
Nlgn1	4.55	0.0	0.0	0.0	0.0	58.93	52.69	2.03	113.05	55.51	74.4	104.07	7.69	0.04	51.3	0.0	0.0	0.03	0.0	0.04	0.0	0.02	0.05	0.0	0.0	0.0	0.0	0.0	37.85	0.0	12.75	4.91	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.08	11.87	39.79	38.42	0.0	0.0	0.0	0.0	0.0	0.0
Nlk	10.45	7.55	1.41	148.28	184.07	237.14	93.81	154.24	462.46	129.85	186.72	104.69	139.74	9.01	62.96	0.0	89.77	1.15	0.0	6.42	53.16	8.47	5.46	11.81	4.58	3.71	11.21	0.0	91.01	9.98	32.39	8.31	17.13	2.19	0.07	2.59	0.0	41.03	0.0	7.31	0.0	0.0	22.68	19.85	0.0	36.71	30.58	142.38	90.7	200.97	259.18	10.68	14.43	0.0	0.73	6.1	0.0
Npy	138375.8	173305.25	115124.65	0.0	0.0	0.0	1.74	0.0	0.0	0.0	0.0	0.0	0.0	108594.8	125016.83	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	36041.21	117863.77	102118.34	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	0.0	145032.54	180453.32	128781.07	137945.15	137580.94	120620.2
Nr4a1	0.0	30.75	15.18	86.47	0.0	8.91	106.94	94.97	229.45	244.79	383.92	224.49	80.36	0.0	0.0	26.89	2.38	1.31	0.0	0.07	3.18	4.6	2.15	1.27	34.0	0.0	0.0	0.66	261.53	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	2.9	338.25	714.24	76.99	7.38	0.0	32.16	0.0	1.25	0.0	0.0
Olfm1	32.7	49.55	129.52	295.57	525.0	594.52	923.39	430.07	361.08	301.83	579.93	543.27	596.47	174.78	68.34	118.24	15.98	55.71	21.92	2.17	43.41	77.37	59.29	85.63	101.7	133.15	38.48	47.62	144.89	13.34	76.08	117.48	80.67	63.53	20.57	67.17	69.79	257.05	41.79	52.81	122.99	7.74	31.53	65.41	93.75	109.81	36.04	425.53	609.71	614.19	409.74	127.94	75.52	50.01	39.17	133.7	0.54
Osbpl1a	0.0	0.0	0.0	1238.95	1123.55	793.3	766.39	502.6	954.31	788.26	1395.28	1597.88	770.13	33.27	70.64	0.07	1.73	0.22	0.23	0.13	0.05	52.55	0.13	0.0	26.84	1.3	39.64	26.9	150.07	0.0	0.0	49.54	15.1	54.14	0.37	1.75	0.08	209.46	0.0	0.1	40.42	0.22	0.0	0.0	26.1	0.09	0.87	407.75	923.71	1277.26	1020.44	21.21	25.99	0.12	0.0	0.36	0.18
Pde7b	0.0	0.0	0.0	112.22	8.46	56.21	55.32	1.92	10.07	20.09	37.71	7.17	52.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.56	9.48	62.9	13.02	0.0	0.0	0.0	0.0	0.0	0.0
Pgbd5	0.68	19.62	18.62	184.02	349.28	119.51	399.68	475.7	52.86	330.01	74.27	259.4	168.63	55.78	206.47	29.46	12.08	37.34	82.43	0.06	1.74	18.44	0.08	22.36	96.19	0.0	20.99	0.0	34.83	13.24	17.98	29.2	0.26	20.28	10.39	0.0	11.48	118.92	6.49	33.73	19.51	0.0	23.88	0.1	9.9	0.0	13.88	385.67	525.94	229.27	229.35	0.0	19.76	61.99	0.0	18.38	1.25
Pin1	27.4	18.54	38.45	39.63	81.96	129.04	99.42	182.44	50.83	95.62	157.05	117.97	80.2	33.67	0.6	25.66	25.66	50.62	14.54	0.06	0.4	0.81	5.99	25.12	32.78	14.27	28.55	25.66	49.86	29.11	38.57	2.07	14.39	14.47	33.43	22.23	14.92	12.4	27.17	9.27	20.16	11.43	14.04	1.91	0.12	19.05	34.35	73.29	47.52	154.15	109.82	13.27	36.56	23.64	33.12	39.04	50.8
Plk2	15.76	0.24	0.66	382.9	370.4	330.78	917.72	742.06	433.73	617.53	563.71	932.28	541.2	159.23	304.47	8.56	1.96	20.66	0.13	0.12	62.92	1.61	0.0	122.01	0.11	45.23	0.0	83.09	378.75	0.32	55.93	0.5	0.0	0.0	0.0	0.09	0.0	201.64	33.93	0.71	6.1	24.97	0.0	19.56	68.33	48.05	0.53	156.64	229.14	584.13	662.88	0.2	0.08	0.52	60.26	22.56	0.03
Ppm1h	104.28	88.42	37.73	243.19	253.99	339.81	367.56	448.69	586.25	516.13	401.78	301.86	326.4	257.5	351.47	58.55	127.63	69.12	104.34	124.24	160.83	182.04	98.52	102.29	93.01	106.22	160.81	208.6	284.64	89.12	146.3	162.06	66.86	77.28	134.59	84.42	96.6	261.12	59.35	141.45	145.28	127.83	186.26	120.74	52.69	104.06	85.47	226.92	87.01	478.71	487.01	85.24	123.33	63.84	133.52	111.99	58.79
Ppp3ca	51.34	65.85	74.17	751.12	870.65	1123.14	1324.05	772.17	691.18	876.24	1241.58	827.79	827.96	59.79	231.13	33.65	105.87	64.36	26.74	27.75	41.9	38.81	33.76	36.24	110.39	71.52	65.79	36.16	302.43	18.11	47.79	69.49	18.45	125.3	22.48	26.48	46.96	60.29	75.35	34.68	47.88	75.38	43.12	29.55	29.46	26.38	24.76	719.75	1094.06	810.38	832.03	91.5	130.55	31.45	108.37	13.2	12.32
Psmc3	126.73	398.28	55.92	320.44	491.38	346.71	368.66	260.65	324.95	263.05	357.94	279.56	476.15	215.68	317.08	263.35	304.17	393.23	185.92	21.88	528.02	146.65	155.27	201.74	103.47	121.24	195.67	258.85	305.33	257.37	67.08	74.05	61.1	392.44	217.65	213.04	42.91	94.52	124.83	77.04	182.39	163.71	177.91	66.39	145.95	80.35	97.88	321.16	666.04	624.67	690.22	397.07	45.3	297.57	208.51	281.14	236.33
Ptk2b	0.0	0.0	9.23	162.46	247.31	109.89	108.61	299.24	182.47	154.69	157.76	87.47	72.49	0.0	15.54	40.56	0.09	0.08	0.03	2.65	0.03	0.03	34.26	13.95	0.08	39.44	0.0	16.67	154.4	1.4	0.0	0.0	0.0	0.0	5.31	0.0	0.0	0.0	0.0	0.0	8.1	0.0	36.2	0.14	0.0	0.24	5.2	163.37	232.85	70.5	68.97	2.14	11.71	0.0	4.95	27.03	0.0
Rgs4	0.0	0.0	0.0	1934.22	2079.92	1748.1	2234.69	537.01	991.83	1943.62	2128.91	1770.17	1902.02	106.62	0.0	0.17	0.75	0.46	0.28	0.73	0.63	0.24	0.26	0.0	0.32	0.09	0.13	4.4	558.95	0.0	0.0	36.96	0.0	0.0	0.0	0.0	0.0	53.72	0.0	0.0	0.0	0.0	0.0	1.49	0.0	0.16	0.08	3467.12	3593.95	1771.83	1454.24	0.1	0.0	0.1	0.0	33.41	0.09
Satb2	0.0	0.0	0.0	14.74	6.01	3.23	4.37	39.59	55.92	28.75	131.98	25.89	140.61	0.0	0.19	0.0	0.0	0.03	0.05	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.08	63.27	0.06	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.05	0.0	0.0	0.0	0.0	0.0	107.84	105.48	32.9	40.21	0.0	0.04	0.0	0.0	0.06	0.0
Slc39a10	25.95	27.75	44.36	198.24	377.77	698.69	464.32	166.81	185.19	219.38	167.36	216.01	301.0	21.2	0.1	19.19	0.15	6.24	13.11	49.09	38.72	17.85	28.95	8.62	38.74	19.97	28.03	7.28	123.67	32.28	94.56	18.81	32.15	75.53	45.27	21.63	21.05	102.75	34.23	7.02	44.84	10.87	22.57	98.11	58.93	28.13	63.0	411.93	507.3	332.0	123.52	0.0	22.93	0.53	0.0	20.31	0.02
Sorbs2	0.0	24.76	0.0	188.09	114.57	268.18	98.67	59.8	270.27	93.43	246.05	221.48	149.03	8.47	1.89	0.03	0.24	0.03	0.0	0.05	3.11	0.0	0.02	0.0	0.0	0.27	0.0	1.92	57.88	0.05	25.87	3.31	4.64	0.05	0.37	30.48	0.0	1.53	0.0	0.0	0.03	0.0	0.53	0.04	0.0	0.3	0.0	59.81	57.55	120.84	83.7	20.49	0.19	0.0	0.0	5.62	0.0
Spcs3	52.86	135.07	84.82	502.13	427.07	1128.9	1126.85	310.3	1387.96	749.69	836.91	486.94	542.58	438.28	147.91	92.47	199.2	36.38	2.19	160.8	136.98	170.86	57.03	125.08	79.86	84.85	0.11	35.01	393.92	72.59	255.82	83.62	0.0	113.04	34.1	80.98	62.4	263.88	4.19	64.77	70.86	12.53	171.87	207.46	36.98	0.33	52.09	569.12	325.68	780.97	467.57	204.38	26.42	213.17	52.57	199.42	0.47
Stx1a	80.62	88.5	79.48	488.13	708.86	504.52	499.28	631.45	818.05	360.78	360.63	649.0	393.14	0.0	54.83	2.27	41.39	0.65	114.19	1.54	69.18	49.38	37.25	33.41	92.53	90.44	0.0	91.56	430.4	99.63	0.0	23.53	194.11	59.15	82.53	114.05	81.27	102.87	1.37	286.6	51.32	5.54	86.1	51.08	175.88	78.79	110.75	988.34	674.24	725.44	717.18	0.0	122.38	118.53	0.11	71.64	0.0
Sumo2	456.18	667.36	506.86	1371.69	1189.35	1436.7	1234.14	1350.99	1277.33	1115.95	1907.72	1394.24	1279.42	483.93	682.72	468.55	376.04	322.35	209.27	396.42	554.67	573.21	423.28	827.41	586.78	367.91	389.91	357.84	839.55	419.34	655.93	547.02	464.01	738.25	432.06	447.26	415.49	559.09	453.32	536.99	439.72	689.97	367.52	208.94	223.59	399.94	562.11	1248.73	1105.09	1508.89	1491.0	564.47	883.47	619.65	346.67	793.29	272.79
Tacc1	44.17	23.72	55.45	353.53	198.52	552.38	514.29	383.37	601.26	570.33	312.57	545.93	437.89	206.72	76.78	24.11	15.29	0.18	71.05	30.98	12.96	58.4	24.28	21.94	51.43	21.54	17.76	83.43	402.72	76.43	101.45	60.07	39.48	47.93	72.78	83.36	48.63	62.71	30.57	91.92	10.22	40.76	46.57	97.94	31.67	24.27	34.65	233.48	227.72	236.88	340.49	25.71	50.64	72.16	22.47	55.17	24.08
Ywhah	1075.41	763.61	463.18	1340.53	1997.02	1920.48	1936.16	2272.6	1784.86	1804.6	1526.67	1412.62	1125.44	216.93	294.58	422.06	650.82	540.88	630.95	389.46	685.93	477.7	610.99	499.28	233.32	444.15	711.33	439.33	1304.02	594.6	549.7	700.51	564.08	741.73	711.24	437.46	447.31	531.25	61.55	425.38	902.92	581.89	629.08	819.8	757.24	322.66	326.16	1629.44	2723.16	2224.93	1887.05	386.29	561.2	764.58	890.02	852.6	548.54
