	Calb2_tdTpositive_cell_6	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Cux2_tdTpositive_cell_5	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_112	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_36	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_1	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_16	Slc17a6_tdTpositive_cell_19	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_33	Slc17a6_tdTpositive_cell_37	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_46	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42	CAV_LP_Ipsi_tdTpos_cell_43
Nlk	192.06	70.78	79.95	100.06	196.55	111.85	269.0	93.81	144.03	135.27	154.87	87.06	205.59	112.9	275.0	154.61	276.61	129.69	45.84	105.15	90.16	67.89	33.14	72.43	61.51	27.0	66.44	72.03	0.08	0.09	0.0	32.82	2.4	14.91	0.79	85.71	21.74	55.84	55.75	118.73	101.78	134.33	170.62	96.9	17.5	62.46	89.87	45.61	198.51	117.86	58.08	159.87	117.95	101.8	200.97	41.8	451.75	212.75	167.1	134.71	175.37	115.79	259.18	28.28	20.48	46.31	81.21	25.78	0.82	51.78	0.11	21.29	7.57	0.27	0.0	39.1	70.79	0.09	0.0	50.04	57.56	119.76	3.79	27.41	8.8
Npcd	28.47	19.89	62.12	202.85	127.54	80.87	32.57	39.12	132.74	49.52	36.04	28.61	80.39	68.04	78.65	120.21	48.99	68.23	53.64	50.12	60.69	0.0	0.0	1.38	0.59	5.38	0.08	0.0	23.4	39.57	0.06	35.29	0.0	14.33	0.13	80.74	0.16	17.63	2.6	17.88	18.85	13.67	8.87	40.83	8.75	14.02	106.82	0.0	68.37	0.81	0.13	97.11	148.01	54.61	60.75	0.0	35.09	50.5	48.09	113.44	87.79	28.83	5.21	6.88	4.59	2.61	110.22	0.22	0.0	0.0	8.64	38.19	2.86	0.0	0.57	39.01	20.09	4.04	0.0	13.29	0.0	3.98	0.79	3.49	2.86
Pde7b	17.55	2.79	8.49	30.85	127.67	0.0	76.57	55.32	20.86	95.03	83.32	2.74	0.5	2.57	35.89	9.29	0.08	9.26	0.19	47.09	19.46	0.0	0.0	0.1	1.74	0.04	0.0	0.0	0.0	0.0	19.81	0.0	4.82	1.83	0.0	0.0	0.0	0.0	7.86	4.79	4.36	11.51	0.14	9.4	0.11	2.7	7.51	0.0	37.84	0.0	0.0	0.0	0.0	47.31	62.9	3.44	5.79	45.13	6.11	38.96	69.42	10.41	13.02	0.14	4.52	1.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32	0.0	0.0	0.0	0.0	0.0
Pdp1	401.84	485.25	466.08	487.78	282.3	52.62	410.1	650.76	579.67	581.9	340.64	319.34	240.32	277.45	391.37	694.6	296.5	314.28	215.13	107.58	301.57	43.24	137.13	60.38	83.85	70.84	128.56	96.38	101.98	167.25	12.58	1.06	107.72	78.33	220.96	15.0	0.0	117.98	610.16	266.08	241.93	744.03	368.27	400.42	262.85	183.12	366.86	130.67	254.5	168.19	272.49	349.19	360.4	223.94	643.53	82.63	226.92	781.26	433.53	320.12	491.09	654.5	38.42	128.62	65.76	116.33	32.55	39.37	189.28	0.2	10.99	0.07	0.0	8.87	14.82	80.41	104.83	228.1	0.0	16.73	0.39	10.63	0.08	73.25	48.49
Pou3f2	32.87	80.48	16.95	12.73	25.68	229.43	69.52	88.43	61.95	0.24	2.34	49.24	1.02	49.27	41.85	13.82	99.75	28.69	117.9	29.95	102.7	0.07	0.21	0.0	0.0	0.14	0.0	0.38	0.0	16.03	0.01	0.07	0.38	0.51	2.25	34.98	3.71	17.09	6.17	4.81	37.44	12.87	5.26	8.5	1.29	1.24	0.17	0.94	8.84	0.0	0.34	46.5	21.2	98.27	133.47	0.95	44.72	57.97	50.49	19.66	15.1	106.78	50.53	5.79	6.68	10.23	36.57	0.86	0.0	0.3	0.27	0.31	0.0	0.1	1.62	0.44	0.84	0.21	0.09	17.29	0.39	0.1	1.54	0.09	2.35
Ppm1h	532.43	224.37	190.88	257.95	407.04	212.04	357.65	367.56	217.63	815.81	340.45	267.47	410.29	386.04	294.51	297.05	518.09	232.72	359.62	112.33	25.74	23.16	80.37	169.7	132.61	54.33	105.77	260.45	152.11	27.77	0.0	8.53	3.05	82.67	0.4	54.97	143.5	76.37	205.47	301.85	203.96	147.52	103.22	156.45	191.46	92.06	435.11	18.82	664.77	37.12	88.54	492.46	431.99	533.48	478.71	116.4	160.73	518.92	550.27	652.43	570.11	599.93	487.01	108.81	95.59	285.27	3.14	67.35	37.94	1.84	4.76	81.29	3.81	5.84	89.11	1.43	108.71	135.68	99.65	26.52	41.42	26.52	73.9	37.56	208.59
Prkca	6.84	21.44	15.05	24.35	58.21	21.32	38.8	7.18	0.0	1.6	16.43	1.97	27.27	37.99	16.4	67.16	51.84	28.76	1.31	26.32	26.21	9.58	0.0	0.0	0.0	0.0	0.0	0.0	6.35	0.0	0.0	0.0	0.0	0.0	0.14	0.63	0.0	5.29	11.97	0.3	1.86	0.0	3.08	0.19	11.42	2.77	4.2	0.19	4.38	0.0	0.0	3.84	13.57	1.63	9.32	0.1	6.64	6.96	31.55	21.73	41.58	31.86	16.0	12.94	2.33	3.27	0.0	0.0	0.0	0.0	0.0	0.0	34.32	4.62	0.0	0.0	7.36	0.2	0.0	0.0	0.0	2.03	0.0	0.0	32.54
Ptprs	139.8	146.61	213.09	211.29	83.54	208.25	370.53	316.49	210.27	136.8	181.16	236.67	321.74	379.75	175.53	264.42	227.21	274.65	235.31	226.48	158.04	102.64	82.53	191.89	118.52	93.4	92.27	65.35	111.65	47.67	271.67	37.47	80.85	115.8	86.93	170.14	122.45	215.86	313.14	260.13	332.95	351.72	322.01	298.32	345.64	294.13	185.35	116.48	155.48	50.64	120.33	178.8	216.08	126.75	272.78	108.12	230.03	239.68	242.51	312.99	275.59	234.62	304.23	111.43	61.18	83.44	218.03	137.2	97.6	110.2	54.95	123.88	172.16	85.14	144.77	152.99	221.2	101.34	118.71	199.3	175.32	91.68	95.34	73.47	136.92
Pvrl1	6.11	15.05	13.96	26.59	33.26	28.36	16.99	13.62	20.83	30.11	10.62	35.35	7.16	12.31	16.14	4.09	9.86	33.6	0.16	9.42	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	9.91	4.55	13.17	6.53	14.91	1.89	13.86	3.6	1.81	56.52	0.0	42.91	3.78	0.0	28.6	24.89	12.34	22.68	0.0	70.53	24.12	33.06	13.35	19.81	17.23	7.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.1	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0
Pvrl3	12.0	0.0	84.24	7.61	0.45	28.51	70.16	47.19	0.0	3.19	133.8	52.55	45.72	60.79	7.11	25.69	0.0	0.0	0.0	7.54	5.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.01	0.0	25.63	68.0	0.18	25.04	3.9	35.38	166.08	0.0	53.41	0.0	0.0	7.47	23.43	2.64	20.01	0.0	5.35	32.88	11.91	32.97	7.04	0.31	0.19	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0
Rasgrf2	49.69	41.27	19.38	0.0	90.0	39.5	48.59	216.42	81.58	26.46	62.52	21.07	8.17	49.44	132.34	6.38	0.0	12.69	0.13	31.88	101.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.07	0.0	0.06	0.0	0.0	0.47	3.15	18.32	7.69	1.15	45.01	4.43	0.0	122.76	0.0	72.57	0.0	0.0	0.5	0.2	89.82	37.09	0.0	60.57	8.25	72.11	13.25	61.81	108.04	80.76	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0
Rgs7	162.2	139.55	54.65	91.53	61.66	131.64	124.89	128.52	607.97	182.02	130.81	129.42	250.13	180.13	268.43	79.26	0.14	0.0	0.0	19.16	114.64	0.17	0.0	0.0	20.68	27.79	0.0	0.0	0.14	6.04	0.11	33.11	0.15	0.0	15.04	1.25	0.0	0.8	43.47	36.49	29.04	12.15	56.37	76.48	0.87	91.83	14.91	0.0	40.64	0.26	0.0	112.44	358.46	88.56	190.27	79.76	75.99	166.32	176.56	47.33	86.67	179.06	153.33	3.01	3.87	13.71	111.58	33.33	0.0	99.52	7.11	0.0	0.0	0.13	5.11	0.16	4.32	0.0	0.0	58.62	0.0	0.0	0.0	0.09	0.0
Rilpl1	88.97	132.55	73.99	86.94	277.78	0.0	185.52	75.49	17.21	74.9	62.05	104.46	79.07	242.22	96.59	22.13	0.0	60.37	353.0	3.77	7.53	0.56	53.16	0.0	0.0	0.0	0.0	78.81	0.08	60.78	0.0	0.11	0.0	2.45	19.43	0.74	0.0	0.0	31.64	56.34	12.72	10.14	17.74	33.86	9.71	43.66	67.07	0.36	74.36	32.26	0.0	0.0	344.62	67.77	115.99	0.0	149.71	139.58	27.98	34.45	0.26	0.56	0.0	10.28	0.62	8.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.1	0.0	17.71	0.0	0.0	0.0	0.0	0.11	49.72	0.0	0.0
Slc30a3	32.26	101.56	46.38	0.12	53.21	0.19	146.39	104.06	329.71	45.44	166.96	43.99	94.92	133.47	82.7	71.88	226.65	136.58	215.48	19.43	0.39	0.21	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	25.02	0.0	0.13	122.72	143.54	15.52	12.66	36.86	98.65	64.89	0.62	1.4	0.0	2.49	0.0	0.0	68.75	137.59	26.1	84.97	0.0	54.57	51.34	288.13	152.1	39.11	75.46	119.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	45.04	0.0	0.0	0.0	0.0	0.0
Slitrk2	165.74	3.89	49.21	97.45	124.53	89.74	98.95	100.17	55.85	95.72	78.05	76.09	62.59	46.59	45.92	117.17	1.92	13.33	7.9	14.68	2.78	8.62	0.22	31.64	20.0	0.1	0.0	0.0	0.44	0.3	0.44	0.0	4.38	3.28	41.75	15.4	0.0	26.33	15.43	39.89	39.76	14.55	115.01	8.75	11.0	13.14	24.63	8.81	33.73	0.0	1.17	93.22	38.93	56.95	32.64	3.75	73.09	114.92	44.13	28.15	64.55	30.21	18.1	5.3	6.38	45.97	0.04	6.72	0.0	0.0	0.0	0.0	0.0	23.51	0.0	0.0	27.37	0.0	0.0	0.7	0.0	52.82	2.18	0.99	84.09
Sorbs2	68.56	119.92	35.71	303.5	5.8	90.08	71.27	98.67	34.76	162.22	135.27	110.62	183.94	130.66	131.04	126.87	2.42	26.33	39.35	15.26	47.7	0.07	54.89	33.21	48.49	25.17	5.33	2.01	0.06	14.43	3.6	0.08	67.25	54.69	4.26	0.0	4.57	3.82	71.52	125.45	89.77	64.24	105.99	152.75	62.98	116.68	10.54	36.71	137.85	21.29	34.49	150.54	182.61	91.7	120.84	1.24	126.37	214.84	139.66	105.62	138.32	59.88	83.7	11.53	9.2	30.75	15.22	0.0	31.56	39.01	0.9	0.24	40.26	0.2	0.0	78.19	0.86	0.0	12.63	36.72	87.28	5.48	41.53	62.79	24.15
Sorcs3	10.78	77.89	0.05	89.87	60.43	0.13	71.28	9.79	24.83	31.53	24.27	7.73	59.49	74.19	7.48	72.25	2.18	55.8	0.0	33.49	0.0	0.02	0.0	0.0	0.0	0.09	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.55	20.43	23.23	55.97	8.98	2.34	0.45	0.05	16.05	0.0	73.43	0.0	0.0	63.81	52.78	0.0	154.88	0.0	1.22	42.4	73.04	134.8	87.86	27.15	10.94	0.71	0.07	7.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spcs3	1000.8	277.83	191.74	855.41	594.6	1095.34	425.11	1126.85	294.44	832.99	1043.21	401.66	830.46	257.57	757.0	1170.77	414.02	926.37	601.86	395.59	598.86	228.57	248.87	134.21	134.52	412.93	241.23	505.69	110.06	555.93	28.43	53.18	178.51	366.45	1.25	268.39	251.73	423.43	200.7	301.91	284.05	271.13	109.04	146.03	77.35	147.22	659.38	630.39	1220.97	266.09	294.1	954.42	524.75	888.36	780.97	771.69	1306.35	795.67	597.12	545.28	806.4	611.62	467.57	208.75	132.24	406.88	81.35	412.33	118.33	38.98	39.92	115.43	120.22	74.74	44.82	150.31	169.03	189.72	129.28	340.89	883.4	132.24	383.94	2.69	486.17
Srgap3	69.15	4.71	19.67	14.53	0.6	24.6	35.32	80.11	33.79	48.44	51.74	28.04	44.24	0.38	18.98	0.86	34.37	21.11	36.38	6.24	14.48	0.64	0.22	0.43	0.07	0.07	1.29	0.3	0.06	0.29	0.0	0.14	0.1	0.19	1.7	33.64	92.51	7.68	26.49	10.71	21.17	26.96	25.35	36.09	24.25	21.34	41.11	0.37	16.05	0.07	0.14	72.36	33.52	39.11	38.37	0.44	30.5	67.88	47.55	0.08	18.4	43.62	20.55	2.74	2.23	0.96	0.22	0.11	0.03	0.09	0.11	1.38	0.05	0.0	0.03	0.22	51.11	0.09	0.3	19.48	0.04	0.26	0.09	0.17	0.03
Thrb	308.56	54.62	148.41	346.06	152.02	138.04	146.39	104.75	233.81	267.3	606.11	270.82	198.26	243.92	273.92	138.07	150.98	278.62	257.25	39.15	92.1	0.23	38.04	0.0	0.05	60.85	57.93	0.0	19.35	0.0	0.1	0.0	0.06	0.21	0.48	96.41	0.06	75.6	100.25	105.9	57.97	0.7	95.29	33.58	38.34	56.38	456.44	0.27	166.95	0.1	0.0	114.66	225.23	301.57	254.22	0.28	257.18	331.36	415.78	313.94	342.22	237.75	171.17	32.52	38.56	147.15	41.36	0.36	0.05	0.23	15.18	54.67	59.19	4.39	23.74	74.64	57.11	4.73	80.69	156.77	0.06	73.61	134.15	0.07	81.54
Ube2e3	299.11	239.55	392.51	430.19	210.38	177.29	347.18	224.47	178.02	508.04	317.27	255.93	219.23	187.78	508.39	207.56	199.01	230.22	402.63	199.08	221.71	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.11	0.0	0.0	7.51	0.0	116.07	90.05	182.34	75.96	140.5	144.58	81.09	267.5	402.33	234.4	123.66	77.45	125.48	0.43	113.71	451.62	0.0	0.0	425.66	501.5	378.23	444.9	134.63	376.79	334.29	592.72	146.99	323.39	46.38	451.23	49.8	69.37	53.06	0.0	0.0	0.0	0.19	64.39	103.38	0.0	67.33	15.1	0.0	337.76	0.0	336.09	292.66	192.74	0.16	0.0	0.0	0.26
Unc5d	2.92	45.34	16.95	60.15	30.96	92.25	83.2	73.54	21.5	48.43	45.43	48.35	24.69	62.44	37.07	14.59	75.22	8.38	66.96	52.67	152.69	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	24.78	0.0	7.34	0.04	0.0	8.6	31.74	16.93	56.95	65.89	19.91	0.35	0.0	55.39	5.07	0.0	46.1	50.91	10.81	41.34	0.09	34.45	16.81	6.76	30.37	130.35	48.75	26.08	0.0	0.0	0.0	8.74	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	5.06	0.04	0.0	0.0	38.76	0.0	0.0	0.0	0.0
