	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_58	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_25	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_43	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_87	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_13	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_8
Ldhb	7486.96	8970.97	4317.46	2593.67	5274.92	4046.54	9309.63	7692.96	6067.88	2376.05	5876.73	5600.23	8752.31	4622.23	4338.23	4948.76	6399.01	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	7735.26	7234.97	8217.62	8583.06	8517.89	9220.91	9343.6	4937.61	8808.99	6807.49	7074.56	8223.21	8574.79	10165.1	6613.08	9166.61	7814.88	9602.81	7785.08	7061.15	7167.6	11261.44	7829.53	8285.69	6969.49	10004.69	7259.91	6682.6	6616.59	7112.99	9074.03	13571.31	7287.29	7093.74	12546.17	9106.97	6125.9	8513.41	9755.78	8904.1	8390.99	7659.83	11010.48	8275.76	6703.36	7724.63	10182.84	6251.75	7124.4	7739.08	7194.73	9082.37	6498.69	8111.86	11746.38	2798.49	5217.81	5577.5	7324.1
Lpl	0.56	1.17	7.18	0.0	1.68	5.84	1.55	1.6	167.32	3.64	2.89	0.53	12.84	7.78	4.21	0.6	2.8	65.75	25.45	15.81	1.27	24.47	59.49	32.66	25.96	49.96	0.63	2.81	19.97	25.86	0.81	1.36	0.54	95.46	56.7	9.57	9.88	168.27	0.86	104.17	1.51	81.22	194.67	1.94	41.01	42.37	27.5	1.69	27.93	62.32	77.19	123.36	39.45	45.01	5.11	19.61	136.67	70.41	85.32	81.01	10.0	0.98	58.88	1.77	5.32	30.09	25.22	4.76	82.37	1.24	1.09	63.78	198.48	45.66	28.54	105.32	38.84	0.42	1.09	3.33	1.43	0.89
Lynx1	0.0	0.0	65.27	0.0	0.0	0.0	107.58	64.23	22.13	0.0	0.0	0.0	31.97	0.0	0.0	0.0	2.1	100.39	70.47	35.04	62.83	75.41	68.36	124.59	77.09	37.39	38.25	42.12	44.28	145.97	34.93	44.34	47.15	95.75	60.56	55.88	78.67	41.06	14.93	20.27	26.67	146.48	78.74	21.27	7.87	49.4	60.67	12.71	52.23	50.62	61.52	42.32	70.58	127.61	63.06	56.27	149.36	75.27	91.7	92.24	72.52	12.11	75.15	50.35	69.5	26.03	131.26	124.26	55.22	111.63	69.11	105.23	53.19	0.93	71.33	175.87	66.57	70.91	0.09	0.42	0.0	5.47
Madd	0.0	0.46	0.16	0.0	0.11	0.0	33.4	54.31	6.65	0.4	0.0	0.0	20.39	1.03	0.0	0.38	0.83	10.72	21.71	26.0	22.28	38.2	54.68	2.4	22.74	11.41	42.33	15.75	14.02	26.73	11.83	47.77	1.17	47.68	24.88	39.17	50.44	9.67	2.59	8.49	48.34	3.3	1.79	23.39	94.3	42.42	27.46	24.81	27.37	18.64	47.88	15.92	56.25	46.96	24.73	61.21	65.82	5.81	36.25	8.97	60.48	22.22	25.79	17.91	17.26	39.47	42.76	9.21	10.32	41.29	24.89	27.82	62.26	22.44	54.96	76.08	28.57	67.4	0.1	1.46	0.0	2.87
Man1c1	0.23	0.0	0.0	0.0	0.0	0.11	3.42	33.14	1.18	0.0	0.0	0.0	9.19	0.0	0.0	0.11	0.28	51.59	17.09	16.49	39.31	19.69	21.57	24.77	14.74	0.92	68.01	13.09	14.07	0.0	1.31	19.14	51.65	26.38	20.21	45.49	68.22	40.66	8.76	3.07	15.66	6.43	91.75	0.39	1.89	1.27	2.0	54.61	1.91	27.01	6.91	52.31	49.59	21.19	23.02	64.32	111.19	63.7	52.74	50.09	15.41	42.48	35.31	38.74	41.68	3.54	38.66	79.07	57.79	20.53	0.3	28.9	66.03	0.42	16.01	43.38	87.67	0.08	0.09	0.23	0.0	102.48
Mapre2	0.12	28.23	0.0	0.0	0.0	0.0	82.21	220.81	252.69	0.0	153.96	460.25	39.24	2.23	0.0	0.0	1.19	122.17	69.22	46.5	32.93	97.8	116.35	96.44	215.27	43.48	105.04	125.63	208.93	77.26	99.3	79.54	140.52	104.24	137.73	189.45	198.51	75.23	206.29	337.03	96.4	106.96	288.86	66.63	244.6	174.27	17.56	102.43	168.81	164.54	42.75	206.56	134.81	76.2	216.27	49.65	65.13	101.94	306.27	133.72	63.21	129.45	108.82	148.78	66.61	95.13	73.97	75.47	147.32	96.7	0.0	110.48	251.29	214.27	174.14	233.67	245.78	147.25	768.97	0.73	441.63	76.83
Mtap1a	0.12	0.04	0.0	0.15	0.24	0.0	39.5	46.44	0.3	0.11	0.07	0.12	18.47	0.54	0.03	0.0	0.46	35.91	35.57	27.87	80.19	32.83	27.1	49.88	51.95	13.87	25.01	59.45	47.91	51.61	28.86	51.52	54.65	29.59	21.79	38.02	39.82	51.6	3.77	41.49	25.02	39.15	17.53	27.62	48.68	72.33	43.89	37.87	62.03	21.9	34.55	56.57	52.18	62.74	58.63	52.97	20.98	26.33	29.3	47.38	25.66	41.34	32.65	36.44	21.3	42.28	40.04	15.69	51.77	53.55	36.54	34.3	78.79	28.92	34.51	33.23	39.43	59.79	0.27	0.0	0.0	3.88
Myo5a	0.0	4.61	0.0	0.0	0.0	0.0	42.77	42.06	53.31	0.06	0.05	0.0	53.44	0.81	0.13	0.03	0.44	45.27	92.3	11.11	69.14	40.3	61.52	25.89	39.25	44.13	71.73	111.23	46.76	73.9	42.45	75.09	39.28	32.14	47.35	33.66	65.61	64.94	24.09	5.31	68.38	45.14	68.54	47.14	41.79	47.17	23.02	62.9	55.97	53.54	70.21	130.28	56.34	69.17	55.96	60.56	49.89	9.71	57.57	80.02	42.95	28.13	69.49	47.53	28.57	36.2	38.36	75.14	71.79	73.22	67.15	102.2	65.75	42.57	48.43	108.11	63.74	42.52	0.06	0.11	0.0	66.05
Nat8l	0.0	0.0	0.0	0.0	0.0	0.0	21.49	43.33	17.15	0.0	0.0	0.0	67.2	0.19	0.0	0.0	0.18	39.2	18.13	41.62	51.18	25.97	32.88	18.91	45.1	48.27	55.9	103.94	108.26	52.29	23.19	83.2	60.66	39.77	12.11	53.91	50.39	28.22	43.52	114.13	36.63	9.59	45.77	1.8	9.99	0.49	35.16	29.34	50.04	10.25	19.26	38.48	66.63	62.19	51.88	64.79	54.63	39.07	34.49	90.66	31.07	41.38	55.65	57.41	73.79	24.73	73.02	86.25	75.75	119.04	27.18	89.46	50.41	70.94	64.41	50.4	68.83	101.06	0.0	0.06	0.0	24.23
Nefh	0.0	14.03	0.0	0.0	0.0	0.0	23.98	5.14	0.0	0.0	0.0	0.0	33.18	0.0	0.0	0.0	0.0	78.02	65.6	8.49	90.01	65.07	48.3	68.88	21.24	82.42	68.27	96.45	89.63	70.19	27.96	75.69	67.46	23.25	39.74	92.34	90.31	44.6	0.39	0.0	32.52	80.6	122.83	28.33	16.51	36.46	34.28	1.2	44.52	9.76	0.0	22.39	54.81	145.17	233.76	180.83	12.7	107.74	99.21	105.9	88.26	28.61	21.77	9.81	107.74	61.11	104.22	77.46	70.43	133.09	67.23	73.02	114.82	44.79	51.63	59.18	103.28	116.26	0.0	0.0	0.0	16.25
Npcd	0.0	61.24	0.0	0.0	0.0	0.0	0.0	1.76	0.0	0.0	0.0	0.0	1.09	0.0	0.1	0.09	0.39	25.56	0.0	0.27	0.44	0.0	0.0	2.22	1.16	0.0	0.18	0.0	0.0	0.0	0.0	0.0	3.17	0.0	0.0	18.62	14.04	3.76	1.68	0.0	0.0	0.06	63.67	0.08	0.0	2.95	0.0	0.78	5.78	2.34	0.25	0.47	6.6	0.0	0.0	0.0	27.2	0.0	6.32	4.24	9.2	0.0	0.09	0.0	0.0	1.83	1.04	4.05	9.09	0.1	1.6	0.65	0.48	0.0	0.0	3.02	19.09	0.0	0.0	0.11	0.0	4.91
Pak3	0.0	14.42	0.0	0.0	0.0	0.0	11.9	48.55	0.34	0.0	0.03	0.06	45.77	0.0	0.0	0.0	0.36	28.4	27.41	52.32	3.33	22.48	43.39	14.14	41.43	30.17	8.8	36.0	35.07	35.3	0.0	2.74	47.56	39.73	2.19	3.34	33.8	38.21	1.21	15.68	14.92	64.96	12.68	11.77	25.96	17.72	25.52	31.15	18.44	57.84	38.67	41.6	38.64	9.65	57.47	27.47	56.88	25.15	8.82	47.78	20.87	21.18	10.42	56.74	40.23	3.69	31.15	0.49	54.84	34.26	7.49	18.68	32.96	42.74	55.06	36.81	16.67	50.07	0.0	0.2	0.0	10.35
Pgd	0.0	0.0	0.0	0.0	2.28	0.0	1.43	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	0.0	0.0	2.85	0.0	0.0	0.95	68.99	64.22	29.48	0.49	2.11	47.39	36.78	0.74	29.06	29.55	15.65	8.95	49.68	4.32	0.0	1.12	0.35	1.1	0.0	0.94	101.82	86.62	0.34	92.1	0.95	1.36	40.64	41.24	1.03	46.9	43.76	0.32	29.03	27.59	68.83	40.6	0.68	3.37	22.59	85.54	42.52	14.93	0.0	30.22	0.0	0.0	94.63	0.2	0.0	0.34	0.51	0.3	4.75	0.17	19.28	0.7	0.0	0.19	22.48	55.35
Phf8	0.0	0.19	0.0	0.0	0.0	0.0	0.0	76.95	0.22	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	8.06	0.0	1.41	11.71	12.81	0.53	0.0	11.26	1.29	9.28	0.0	1.1	0.0	21.07	0.0	0.0	36.25	18.63	21.8	0.0	23.01	39.95	0.0	0.0	57.26	0.12	44.89	0.69	36.99	5.77	0.0	3.76	10.41	5.58	0.15	9.06	4.23	0.0	14.66	0.0	22.85	24.22	4.04	42.13	0.0	11.63	0.0	0.0	10.38	0.0	0.42	1.26	15.75	0.0	0.0	0.05	0.0	47.02	2.37	0.12	0.09	13.36	0.0	0.61
Pvalb	0.0	0.0	0.0	0.0	0.0	0.0	2506.7	1946.93	1296.6	0.0	0.0	0.0	3332.67	0.0	0.0	0.0	0.0	1987.37	1559.12	1319.97	2144.98	1365.09	1711.38	1726.65	1148.76	1185.42	1292.73	1298.9	1590.34	1199.86	744.72	1414.35	1417.67	1488.24	1662.23	1383.0	1316.24	1561.12	1251.83	538.76	1724.33	1917.82	1000.74	930.94	1740.57	1346.22	1202.67	1275.46	1769.21	841.9	817.77	825.05	1535.36	1815.89	1408.27	1665.81	700.9	1731.8	1698.2	1394.22	1628.71	1974.07	1237.21	1344.6	1735.34	1295.74	1797.97	1199.14	1472.89	1914.29	959.22	1457.87	1909.51	1763.04	1681.17	1522.72	1749.01	3516.69	0.0	0.0	0.0	1584.75
Qars	0.0	0.34	464.56	0.0	0.0	0.0	0.0	88.59	125.31	9.43	0.0	0.0	2.74	0.0	0.0	265.97	381.9	20.9	62.9	150.02	38.38	17.78	57.09	0.0	85.5	97.9	83.6	136.18	43.52	130.93	0.38	66.61	0.0	54.57	17.79	39.98	17.58	53.11	95.79	138.73	149.93	0.0	399.15	118.6	0.15	56.77	154.9	85.85	7.02	139.85	164.07	127.26	91.07	61.74	42.07	149.26	87.05	33.38	217.79	28.09	37.26	197.84	126.57	0.0	150.25	0.0	46.03	78.57	56.38	57.02	160.45	75.81	67.5	96.29	61.19	141.71	20.91	0.0	0.0	0.39	0.0	0.0
Rnf187	0.0	44.21	0.0	0.0	0.0	0.26	85.11	50.22	14.66	0.0	0.0	0.0	125.8	0.0	0.0	0.0	0.0	23.74	63.09	84.16	34.56	8.52	120.21	63.25	11.74	77.67	74.4	24.48	27.14	29.36	35.0	44.57	68.64	56.03	64.06	25.19	22.97	94.01	19.66	6.63	24.58	40.3	38.82	140.41	10.86	104.56	7.11	21.61	34.34	72.09	26.75	105.55	121.18	69.2	84.56	109.11	47.88	9.56	89.64	67.05	32.0	43.06	17.49	19.47	89.95	2.81	154.84	13.68	53.07	24.92	40.9	137.03	14.55	56.71	74.13	133.15	43.45	8.39	0.0	21.82	0.0	209.78
Rnf4	607.15	14.42	0.0	0.0	0.0	0.0	215.85	181.44	0.72	0.0	0.0	0.0	171.45	1.29	625.58	0.0	0.2	111.68	199.27	8.3	54.61	133.61	199.37	158.4	113.22	102.84	210.37	90.78	117.96	102.04	8.8	97.57	68.65	219.22	56.94	189.0	87.44	109.58	242.94	282.15	125.38	2.4	317.51	122.72	135.02	78.7	143.96	217.81	144.77	119.55	91.99	131.8	105.09	169.98	85.13	155.44	163.05	167.12	178.84	100.49	80.48	78.94	0.0	121.2	4.5	129.87	86.98	0.0	41.74	59.31	79.14	157.83	81.01	84.36	154.3	237.39	212.58	55.43	0.0	0.57	0.0	275.76
Scn1b	0.0	0.0	0.0	0.0	0.0	0.0	8.51	0.39	0.0	0.0	0.0	0.0	4.23	0.0	0.0	0.0	0.4	3.58	7.53	6.42	1.6	3.67	6.72	38.67	5.33	15.0	1.68	16.23	1.06	28.65	2.98	31.59	4.03	2.13	4.82	5.62	17.88	1.33	0.0	1.63	3.39	0.35	7.8	0.51	1.75	0.82	1.06	3.64	30.1	0.0	3.84	1.9	7.81	9.61	32.47	3.92	3.64	2.47	6.85	23.2	1.01	8.78	1.39	10.43	5.82	1.45	4.86	4.07	3.66	9.71	2.7	1.5	17.01	0.9	16.42	0.99	13.03	33.42	0.0	0.0	0.0	2.84
Scn8a	3.32	32.03	0.0	0.0	0.0	0.04	85.11	20.57	24.37	0.06	0.02	0.0	27.19	0.44	0.0	1.13	0.11	60.36	56.0	37.8	24.16	49.68	76.27	32.22	47.58	45.92	79.76	96.35	99.5	115.41	21.82	60.77	76.4	46.92	73.98	66.85	103.08	45.71	13.92	39.53	28.69	97.65	47.76	56.44	68.89	108.22	70.42	56.0	48.67	64.95	115.71	56.71	92.64	69.2	65.33	42.13	68.22	74.65	88.97	87.52	52.44	40.27	34.15	65.37	70.51	11.47	52.31	38.04	81.6	57.61	27.13	50.89	48.69	106.88	88.43	52.77	121.49	81.71	0.06	0.15	0.0	30.13
Slc25a15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.11	0.0	0.0	0.0	0.0	39.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	25.82	4.4	0.0	0.0	0.0	1.41	0.0	0.0	0.0	0.0	0.0	29.44	0.0	0.0	0.0	0.0	0.13	0.0	71.5	0.11	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.87	8.24	0.0	0.0	47.46	0.0	0.0	0.0	0.14	0.0	6.69	25.93	0.0	0.0	9.41	22.43	35.83	0.0	0.15	0.0	0.0	56.6	0.0	0.21	0.2	0.0	0.0	0.0	0.0	0.0
Snrnp25	0.0	237.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.41	0.0	0.0	0.0	0.0	0.0	0.0	109.36	0.0	194.94	51.57	56.25	0.0	91.6	0.0	119.84	32.99	77.57	0.0	145.43	18.24	85.06	33.5	40.79	3.28	191.97	0.0	0.0	0.0	8.25	318.51	0.0	88.1	60.06	0.0	141.52	0.0	0.0	65.05	88.41	102.2	94.03	58.65	70.76	78.18	0.0	93.26	445.25	204.15	71.54	146.25	58.86	251.29	59.27	0.0	120.11	200.57	54.83	0.0	104.13	39.12	0.0	82.14	63.21	93.15	58.64	0.0	1.05	0.0	0.0
Tbc1d7	0.0	0.0	0.0	0.0	0.0	0.44	79.18	320.25	185.42	0.0	0.0	0.0	146.73	2.26	0.0	0.0	0.54	230.21	57.98	90.53	229.82	103.54	221.18	261.09	142.58	182.54	184.12	0.0	238.56	90.32	11.62	168.81	94.78	88.99	158.55	68.71	102.97	172.84	10.21	191.38	84.67	189.24	539.23	4.09	80.96	190.45	135.2	81.16	8.63	55.61	75.01	123.27	115.46	245.67	246.19	92.03	161.64	64.28	131.0	125.84	133.68	73.67	0.0	234.13	104.63	0.0	64.25	143.41	70.37	163.53	0.0	255.82	80.18	302.57	4.14	81.51	157.76	109.31	0.31	0.0	0.0	138.18
Tlk1	0.0	0.0	0.0	0.0	1.96	0.12	10.47	1.56	0.0	6.52	0.07	0.0	15.43	0.31	3.37	0.0	0.15	10.51	0.52	7.36	13.65	19.06	13.48	49.5	8.41	21.21	16.39	12.84	8.96	0.0	32.96	40.34	0.0	0.0	1.77	2.21	23.04	0.0	0.0	0.9	1.24	2.51	160.39	0.0	1.38	6.8	43.79	0.3	61.09	53.36	2.44	45.42	12.4	4.76	35.52	13.61	120.97	0.3	12.35	9.55	1.72	38.52	46.52	30.31	0.0	0.13	19.9	3.49	144.98	0.11	1.62	20.1	16.07	62.88	7.65	0.27	1.13	1.68	0.0	0.0	0.0	62.42
Tmx1	0.0	90.2	526.36	315.96	0.0	29.5	154.45	277.67	185.64	0.29	8.88	0.0	128.85	0.0	0.0	0.0	0.26	229.27	227.75	137.24	23.99	57.15	48.33	0.0	163.04	49.03	97.85	0.55	89.92	158.71	45.74	206.81	4.61	315.91	123.59	129.28	95.79	180.02	159.89	145.89	136.12	49.46	384.23	90.48	31.29	219.06	101.71	128.92	245.81	144.57	85.38	73.0	179.44	70.85	29.09	106.29	156.58	101.8	102.75	80.99	84.16	48.61	116.98	115.26	175.69	55.07	9.15	102.45	106.9	116.32	8.9	110.4	201.46	267.74	89.89	80.55	47.3	176.52	0.3	1.08	0.0	153.67
Ugcg	0.27	20.66	0.0	0.0	0.0	0.0	64.3	71.95	18.05	0.0	0.15	0.0	34.04	0.34	0.0	0.0	0.32	85.58	44.78	2.86	8.14	70.13	23.86	106.45	3.29	53.22	4.92	18.29	59.28	36.67	3.1	13.74	50.98	43.81	15.48	89.19	59.25	28.67	3.31	0.49	6.4	23.01	52.52	40.39	51.59	87.36	38.84	33.56	41.87	99.39	39.0	7.47	163.7	93.09	61.68	60.41	68.97	73.51	69.1	86.45	27.73	15.02	69.71	20.23	140.53	40.02	37.96	38.47	0.16	2.51	7.58	2.76	117.66	59.94	87.65	62.2	85.69	85.21	0.0	0.24	0.17	26.83
Unc80	0.0	4.11	0.0	0.0	0.0	0.0	2.9	24.39	12.12	0.0	0.0	0.0	26.48	0.09	0.0	0.0	0.17	26.47	28.41	12.71	31.63	19.46	34.53	5.72	16.7	27.03	43.25	23.4	13.54	32.57	12.9	17.23	25.75	31.64	31.18	39.46	56.57	16.01	52.22	1.37	14.79	10.21	34.45	2.87	17.14	21.35	28.22	11.43	20.37	9.46	1.11	32.38	26.44	38.38	36.45	39.94	14.44	22.86	17.44	17.33	9.59	23.19	44.28	7.29	26.53	15.24	6.71	37.75	24.65	11.05	8.78	25.79	17.11	38.18	29.44	15.12	65.2	39.04	0.05	0.09	0.0	10.38
Usp10	0.0	0.0	0.0	0.0	57.47	0.0	0.2	0.0	17.36	0.0	0.0	0.0	57.09	1.16	0.12	0.0	64.46	7.67	64.11	16.68	13.54	40.88	0.0	0.18	57.65	26.51	13.06	25.06	29.93	17.88	0.0	32.32	39.8	46.34	39.14	57.24	3.0	76.3	0.95	0.0	10.17	3.86	220.32	21.62	90.47	22.26	0.0	17.8	38.66	0.0	0.35	31.38	4.92	14.09	38.44	61.78	0.0	28.06	30.11	48.02	7.08	37.96	13.67	7.36	8.42	21.1	12.73	0.0	35.4	111.6	72.97	0.57	81.97	0.0	23.71	23.55	40.73	14.56	0.11	0.38	0.0	0.1
