	Calb2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_18	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_20	Htr3a_tdTpositive_cell_72	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_113	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_44	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_132	Rbp4_tdTpositive_cell_139	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_180	Rbp4_tdTnegative_cell_18	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_34	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Scamp5	0.0	39.01	87.87	33.6	38.99	2.22	90.58	23.97	143.6	64.86	94.08	31.73	47.8	0.0	2.69	1.7	30.99	33.49	1.18	2.23	9.33	10.91	4.98	2.54	0.56	24.3	36.91	7.96	0.47	9.08	0.36	79.55	23.18	2.68	1.72	54.5	45.27	0.0	0.24	185.51	42.43	2.43	69.38	82.96	73.15	108.82	3.54	0.0	7.39	0.0	45.34	2.86	0.0	0.0	16.77	39.58	19.83	19.67	64.25	38.38	39.81	76.42	39.64	98.03	6.07	0.0	54.24	2.41	0.69	93.27	30.38	44.95	323.92	334.22	327.86
Sel1l	0.0	7.58	2.38	30.07	18.44	22.84	1.55	16.64	10.95	39.74	40.27	35.24	5.45	0.0	30.03	8.26	43.93	8.8	4.83	21.32	26.2	9.42	0.39	52.32	81.15	0.32	33.62	0.13	5.09	0.0	4.28	6.22	5.6	10.61	11.53	39.1	10.22	0.0	0.0	10.32	166.48	45.13	55.58	52.4	49.46	34.32	17.69	0.4	45.1	63.26	15.14	19.37	52.41	0.07	14.95	12.23	19.16	16.7	14.0	21.46	27.4	17.45	22.51	13.16	39.42	9.54	2.55	35.51	0.14	20.5	1.89	0.28	95.51	89.46	94.55
Sept5	0.0	35.73	51.45	79.92	66.16	67.06	67.97	137.81	28.37	43.11	61.85	39.23	130.05	0.0	0.19	0.0	0.0	86.82	29.73	0.0	17.86	68.7	0.0	61.64	103.33	10.43	4.12	5.2	75.59	16.42	80.58	77.85	75.43	39.55	58.35	54.32	74.75	0.0	0.0	0.0	101.45	13.81	132.69	112.99	136.41	93.43	66.29	0.0	74.53	87.03	0.0	14.05	51.24	110.2	53.86	69.69	82.12	90.45	66.47	68.22	69.27	60.6	59.58	129.14	58.54	19.76	20.72	2.07	1.54	0.0	16.79	113.1	835.64	844.16	829.9
Slc20a2	0.0	0.0	0.4	31.23	0.0	0.0	1.97	0.0	0.0	0.0	8.11	0.0	0.0	0.0	0.02	0.95	0.17	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.09	0.0	0.95	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.67	0.74	0.0	0.0	0.08	59.97	0.15	0.0	0.17	0.0	0.0	0.06	8.77	0.0	4.48	6.98	5.54	2.6	0.38	1.13	3.02	0.0	0.24	0.0	0.0	0.0	0.0	0.08	1.08	58.11	0.0	73.08	35.29	39.15	40.21
Slc25a40	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.17	0.0	0.03	0.04	39.79	176.67	0.0	0.0	91.3	0.0	0.0	32.91	0.13	0.0	0.0	70.13	48.9	0.0	0.14	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.13	150.02	0.0	29.29	11.28	0.21	56.63	0.0	0.0	42.09	0.21	0.0	0.0	0.0	0.0	11.84	3.64	14.24	17.26	3.84	9.28	7.37	0.0	0.0	0.0	0.0	1.73	0.0	0.0	2.87	0.0	0.0	0.18	11.21	11.3	10.48
Slc39a9	0.0	29.12	0.75	0.12	0.0	44.41	0.3	2.25	53.84	47.07	4.46	23.43	0.31	0.0	0.09	18.81	4.94	0.06	0.16	0.09	0.09	0.0	2.35	11.55	0.27	0.13	0.03	0.05	0.0	0.06	0.0	0.99	46.2	0.0	0.39	0.48	0.22	0.0	0.0	0.12	90.02	0.0	0.31	26.03	22.08	20.24	3.89	0.0	0.0	0.24	0.14	0.0	0.0	0.16	8.87	9.47	14.3	16.61	7.16	13.33	12.6	0.09	21.92	23.56	0.59	0.0	44.76	0.34	0.0	0.0	0.0	0.06	27.97	27.09	27.81
Slc4a1ap	0.0	9.8	8.18	3.02	37.79	0.0	17.8	0.0	0.0	1.38	0.0	45.32	26.17	0.0	0.23	0.0	21.92	31.97	18.05	0.0	1.43	0.0	13.9	2.29	0.0	0.0	0.74	0.0	0.0	0.0	0.16	0.0	8.51	0.0	77.51	0.0	0.22	0.0	0.0	0.0	132.71	0.0	0.0	0.16	4.2	35.46	0.0	0.0	6.44	0.0	0.0	0.0	4.66	31.08	7.11	7.54	4.86	12.48	8.17	10.25	4.74	17.35	0.96	0.0	0.0	0.0	79.17	0.0	0.0	13.2	0.0	14.75	31.26	30.63	30.38
Smurf2	0.0	0.12	0.0	17.94	1.14	2.16	0.0	35.55	0.0	10.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.63	0.0	1.6	0.0	0.0	0.0	0.0	0.0	39.73	0.0	0.0	0.0	2.07	0.13	0.91	39.32	0.0	0.0	0.0	0.0	0.0	0.0	78.09	0.08	27.11	0.0	0.0	0.0	0.0	0.0	0.81	0.98	1.75	0.04	0.04	0.0	2.66	2.63	8.31	0.05	5.46	3.96	4.51	0.0	8.99	0.0	0.13	0.94	0.04	0.0	0.0	0.11	1.2	29.12	20.16	18.36	19.15
Snhg12	0.0	93.65	0.0	77.03	0.0	52.11	0.0	51.22	95.36	110.97	4.68	48.78	104.86	0.0	17.35	46.71	0.0	0.0	109.2	0.0	34.84	0.0	0.0	0.0	54.81	0.0	55.49	0.0	70.99	0.0	0.0	0.0	0.0	94.69	166.4	66.2	0.62	0.0	0.0	0.0	171.19	0.0	101.1	2.1	101.87	55.34	111.19	5.56	0.0	130.16	67.25	44.95	10.65	0.0	37.78	9.67	40.03	35.06	41.03	31.4	21.08	128.97	32.79	97.42	146.68	3.03	0.86	0.0	0.0	0.0	0.0	0.0	29.25	28.68	28.25
Sox7	0.0	0.39	0.0	0.9	0.56	0.0	0.32	0.19	1.17	0.23	0.3	0.1	0.57	0.0	0.09	0.3	0.2	1.05	0.08	0.08	0.08	0.0	0.1	0.43	0.0	0.1	0.19	0.0	0.32	0.44	0.83	0.43	0.21	0.13	0.5	0.67	0.05	0.0	0.0	0.43	0.57	0.55	0.45	0.37	0.68	0.81	0.87	0.0	0.77	0.81	0.19	0.49	0.2	3.77	0.34	0.62	0.36	0.31	0.31	0.42	0.31	0.39	0.09	0.26	0.21	0.09	0.15	0.25	0.0	0.45	0.07	0.16	1.89	1.94	1.97
Srrm2	0.5	16.88	2.88	58.01	46.82	17.19	24.66	28.46	20.87	27.07	17.57	33.61	3.4	0.0	17.96	8.83	13.91	8.31	21.92	5.78	6.47	2.03	107.71	22.92	21.01	24.7	44.13	9.93	7.36	4.88	7.7	59.86	4.81	13.18	1.74	14.63	30.35	16.08	0.13	2.45	121.54	38.61	22.36	44.37	65.09	68.64	22.78	26.23	2.07	38.22	31.32	23.57	6.22	26.48	19.56	17.07	27.17	20.21	14.47	13.05	15.08	20.92	26.07	4.36	14.6	6.32	5.4	61.86	8.93	8.6	2.5	13.89	235.66	204.43	252.64
Stub1	0.0	8.93	0.0	12.15	1.4	0.0	1.34	46.88	94.83	0.0	31.72	0.0	90.3	18.18	0.06	0.13	8.32	201.74	91.05	32.47	19.27	0.0	0.0	0.25	9.0	121.69	0.13	81.76	0.0	0.0	85.83	0.0	37.74	0.0	80.91	0.0	229.26	0.0	0.0	0.43	84.68	9.13	0.0	75.6	107.46	137.78	49.87	0.0	1.68	1.74	23.63	6.97	58.07	0.0	25.35	33.57	11.06	51.5	33.29	30.84	28.82	96.58	44.15	10.34	70.65	32.83	0.0	0.0	0.53	64.69	87.22	0.0	147.15	161.63	152.75
Tcf20	9.03	8.65	2.3	20.25	15.67	25.28	11.05	27.97	30.15	11.07	23.53	23.87	28.07	0.0	4.14	5.64	9.1	15.72	11.21	0.98	7.61	4.97	0.05	15.34	47.71	11.76	9.39	14.07	3.09	3.53	2.0	7.44	23.62	3.34	8.31	18.75	29.4	0.0	0.0	14.22	16.34	10.35	15.62	26.89	42.42	34.0	6.59	0.0	10.03	11.96	14.76	10.9	8.27	0.06	12.95	14.25	20.83	16.55	11.65	17.95	19.49	13.53	8.6	13.69	12.3	6.6	4.5	20.98	0.06	3.71	0.0	2.93	41.58	41.79	43.86
Tlcd2	0.68	0.59	0.19	2.64	11.4	0.0	0.44	0.57	1.95	2.37	0.26	0.29	2.74	0.0	0.88	0.34	0.54	0.63	0.0	0.15	1.12	0.19	0.24	0.53	0.57	1.2	0.89	0.2	1.14	0.49	0.3	0.0	0.55	0.0	1.16	0.0	1.58	0.0	0.7	0.16	1.85	0.0	1.6	0.71	2.24	1.21	0.9	0.0	0.99	2.67	0.57	0.39	0.0	8.3	0.97	0.0	0.47	0.0	14.01	1.68	1.22	0.91	1.57	1.24	0.45	0.38	0.17	0.98	0.0	0.56	0.0	0.19	9.03	7.47	11.19
Trrap	0.0	5.35	6.01	17.1	11.55	22.41	9.49	15.05	7.44	16.17	0.85	15.68	22.4	0.0	3.74	4.93	0.0	1.94	0.0	19.5	19.08	0.86	0.0	8.11	17.55	22.11	9.48	4.63	6.58	8.9	7.06	11.53	3.0	0.34	11.23	20.12	13.78	0.0	0.0	3.77	35.61	0.5	9.94	25.76	27.07	23.6	15.71	0.0	0.0	0.0	5.15	21.17	0.35	0.04	9.65	6.28	10.24	6.16	5.25	5.32	7.58	4.5	9.57	25.28	23.87	0.0	0.72	6.68	0.0	0.1	0.0	14.33	48.39	44.3	50.87
Ttc7b	0.0	46.27	0.0	28.1	47.72	0.0	56.25	33.56	0.0	4.14	5.69	40.99	2.23	0.0	19.56	0.03	31.56	2.26	98.07	0.0	0.29	0.35	0.35	4.13	0.0	0.0	0.09	0.0	0.06	29.12	19.28	48.62	0.0	0.12	0.0	0.71	2.6	0.0	0.0	0.1	95.77	20.35	39.96	40.37	15.26	50.54	6.49	0.0	8.23	0.0	2.85	10.84	15.66	0.0	13.46	7.52	14.3	16.27	27.87	17.64	21.89	3.72	16.15	60.87	43.05	3.12	17.94	5.57	0.0	0.0	0.0	11.1	140.14	145.7	148.07
Ttpal	0.0	9.13	0.0	43.32	20.54	0.0	2.5	29.97	22.61	0.0	0.0	9.17	18.68	0.0	0.42	13.03	0.0	1.9	0.0	0.0	6.22	0.0	0.0	0.14	0.95	97.55	2.9	0.0	4.92	6.26	0.0	0.0	8.28	0.0	74.04	0.0	0.27	0.0	0.0	0.0	36.05	1.4	27.59	36.57	8.17	172.31	155.14	0.0	0.14	38.06	0.28	0.0	0.0	429.08	31.56	6.82	18.25	9.39	21.59	12.99	7.47	79.79	1.6	2.73	0.07	0.0	0.0	0.91	0.0	63.02	0.72	22.21	48.18	48.03	44.14
Usp32	0.13	0.09	3.28	58.48	19.78	4.34	23.58	5.26	27.6	4.33	13.78	4.26	22.46	0.0	22.12	16.12	40.53	35.09	0.1	37.95	17.24	4.17	0.15	25.12	2.32	41.4	81.18	0.88	1.51	4.29	0.17	5.47	0.7	33.9	0.24	44.08	100.28	0.0	0.0	0.0	126.33	20.25	17.47	38.19	6.53	37.05	41.89	0.0	4.79	1.42	0.72	28.28	2.58	12.02	14.69	14.2	15.7	16.44	16.36	18.79	16.78	19.69	5.99	4.78	0.05	0.04	0.21	2.7	46.24	0.22	31.66	30.61	69.08	61.44	68.37
Wbscr17	0.0	0.0	0.05	18.54	29.52	0.61	1.84	6.41	0.0	2.19	4.65	21.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2	0.0	9.56	0.0	0.04	0.0	0.0	0.68	3.41	0.0	0.0	3.75	0.0	0.0	0.04	0.0	0.0	0.0	64.97	14.8	15.99	12.47	87.67	1.03	6.45	0.0	0.0	8.29	0.0	0.0	0.0	0.0	4.66	5.51	3.32	0.73	0.65	0.49	1.48	0.0	12.77	9.16	0.65	0.0	0.0	0.35	0.0	31.15	0.0	0.0	37.98	45.03	41.83
Wdfy3	0.0	12.56	1.9	0.25	0.15	0.04	0.0	2.1	13.3	9.33	8.93	0.0	10.44	0.0	9.85	8.43	4.78	7.33	0.89	0.0	6.47	0.41	6.87	15.07	4.55	15.67	16.56	0.31	10.6	0.97	7.16	10.97	0.47	3.84	2.68	0.67	7.59	0.0	0.03	1.52	12.44	1.95	13.09	10.07	35.9	47.79	28.1	0.0	0.09	9.09	0.69	6.77	4.47	0.03	10.57	9.51	12.28	4.74	8.85	14.33	16.92	11.59	15.85	2.57	25.06	0.02	6.42	11.94	0.0	4.56	14.21	0.34	54.22	48.43	55.17
Zfhx2	0.0	0.0	0.0	0.55	0.24	2.31	0.59	0.0	6.17	1.3	0.11	0.07	3.91	0.0	0.01	0.17	0.11	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.04	0.0	7.79	0.39	0.0	0.0	2.08	0.0	0.0	0.0	0.1	0.0	1.54	0.0	11.98	4.79	2.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.37	0.84	0.52	0.84	1.06	1.28	1.33	3.39	0.4	0.82	5.8	0.0	0.0	0.0	0.0	0.0	0.0	0.65	24.18	22.92	24.02
Zfp383	0.0	0.0	0.0	0.0	0.21	28.19	0.0	17.16	0.0	13.43	0.0	4.3	0.0	0.0	0.06	0.27	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.43	0.0	39.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	5.33	3.48	10.85	6.9	1.89	3.16	5.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.72	0.0	53.36	11.61	11.75	9.84
