	Calb2_tdTpositive_cell_10	Calb2_tdTpositive_cell_12	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_25	Cux2_tdTpositive_cell_28	Cux2_tdTpositive_cell_46	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_71	Cux2_tdTpositive_cell_78	Cux2_tdTpositive_cell_81	Cux2_tdTpositive_cell_90	Cux2_tdTpositive_cell_95	Cux2_tdTpositive_cell_99	Cux2_tdTpositive_cell_104	Cux2_tdTpositive_cell_105	Cux2_tdTpositive_cell_108	Cux2_tdTpositive_cell_109	Cux2_tdTpositive_cell_111	Cux2_tdTpositive_cell_112	Cux2_tdTpositive_cell_113	Cux2_tdTpositive_cell_115	Cux2_tdTpositive_cell_116	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_119	Cux2_tdTpositive_cell_120	Cux2_tdTpositive_cell_121	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_52	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_43	Ntsr1_tdTnegative_cell_9	Rbp4_tdTpositive_cell_40	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg2_tdTnegative_cell_11	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_4	Slc17a6_tdTpositive_cell_9	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_12	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_25	Slc17a6_tdTpositive_cell_27	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_33	Slc17a6_tdTpositive_cell_37	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Slc17a6_tdTpositive_cell_42	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_47	Vip_tdTpositive_cell_28	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_46	Vip_tdTpositive_cell_48
Ngef	9.25	77.95	0.0	0.0	33.64	40.52	105.99	10.79	35.92	24.6	145.51	89.45	84.78	6.15	0.0	49.26	122.94	2.38	79.47	52.37	76.93	37.46	22.72	53.51	107.71	0.13	59.9	28.31	34.87	9.67	267.87	51.03	0.0	0.0	0.0	0.0	0.0	0.0	93.96	17.84	0.15	9.02	0.29	40.41	82.47	0.0	0.0	22.35	81.81	0.0	32.49	56.5	8.56	8.52	10.47	55.41	56.92	6.61	46.13	0.29	28.25	0.0	0.0	0.0	65.04
Npcd	62.12	84.68	0.0	0.0	86.42	65.73	45.1	217.07	32.57	211.04	63.9	278.29	107.9	51.82	119.51	4.24	55.47	58.6	51.88	62.86	68.04	52.91	148.25	147.6	77.15	268.64	198.87	208.6	57.7	34.05	126.24	78.65	0.0	0.0	0.0	0.0	0.0	0.0	182.62	75.25	40.97	51.51	0.17	68.37	125.3	180.78	31.36	108.11	148.01	85.22	66.52	54.61	60.75	35.09	50.5	48.09	113.44	87.79	32.7	28.83	61.81	37.99	0.0	64.31	14.9
Nrcam	70.21	27.98	0.0	0.0	34.55	53.43	89.6	131.9	69.87	163.74	167.11	260.56	67.3	70.14	32.95	26.76	30.48	101.02	58.0	53.75	97.03	44.87	85.93	47.21	116.05	86.24	95.54	125.37	65.25	42.04	58.87	32.93	14.32	0.31	3.78	2.07	0.0	0.0	38.14	140.02	5.47	120.15	2.93	50.91	75.56	109.7	30.88	184.87	58.18	113.57	56.55	52.42	115.48	81.9	30.3	97.66	39.71	47.35	108.19	7.38	151.93	0.31	0.0	0.47	201.55
Osbp2	17.62	0.0	0.0	0.0	0.42	10.83	11.19	1.54	0.11	0.0	6.16	7.09	0.0	0.0	0.0	0.0	19.3	0.0	0.0	0.0	0.9	2.23	2.93	0.33	8.14	29.91	4.21	1.11	0.01	1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	6.22	0.0	0.17	0.0	0.0	0.0	0.0	7.13	0.0	0.0	13.77	0.0	0.0	0.18	0.29	0.0	1.84	7.93	0.27	0.0	0.11	0.0	0.0	0.0
Palm2	7.82	0.0	0.0	0.0	2.88	0.42	33.71	21.86	0.06	12.92	10.4	5.59	0.03	2.49	0.08	0.08	1.95	46.23	0.0	0.0	1.57	0.0	19.31	20.66	0.78	0.03	0.01	0.0	0.47	19.53	2.1	2.34	0.0	0.12	0.04	0.14	0.0	0.0	53.75	20.89	0.05	41.3	0.1	0.0	61.5	48.09	27.62	17.38	0.0	0.0	0.1	70.72	0.07	39.11	0.0	22.63	2.31	16.09	0.0	50.99	38.03	0.0	0.0	0.14	0.11
Pcdhgc5	82.76	50.74	0.0	0.0	116.29	121.38	35.05	89.92	20.15	28.79	146.86	184.95	28.96	14.76	156.5	24.81	8.82	72.15	55.46	148.05	165.71	53.59	157.99	116.15	106.08	147.5	97.9	113.76	83.21	25.3	0.0	71.75	0.0	0.0	0.0	0.0	0.0	0.0	8.78	118.11	7.52	96.43	0.0	129.62	93.52	7.5	48.13	54.99	0.14	58.32	27.9	34.04	14.41	137.81	79.03	15.68	29.2	126.1	1.2	87.19	54.15	0.0	0.0	0.0	0.0
Pde4d	27.82	5.83	0.0	0.0	28.93	55.25	89.63	82.6	56.65	82.99	87.39	77.06	73.31	62.48	4.2	71.45	39.89	40.13	5.02	62.7	135.48	36.2	6.01	61.7	107.17	29.19	72.89	12.04	21.04	83.48	34.64	46.63	0.0	0.0	0.0	0.0	0.0	0.0	50.44	21.73	70.52	8.94	0.0	30.62	83.15	4.99	24.04	36.07	1.34	0.1	37.55	65.92	32.47	69.55	0.21	21.5	29.96	14.18	69.53	27.47	18.09	0.07	0.0	0.08	0.22
Pitpnm2	6.89	0.98	0.0	0.0	3.95	6.78	17.12	11.19	0.13	0.19	4.23	6.98	13.1	0.37	0.0	46.62	1.57	9.23	2.73	16.36	5.89	1.37	3.97	7.72	20.63	10.03	13.67	2.69	7.77	23.23	13.62	9.26	0.0	0.0	0.0	0.0	0.0	0.0	3.57	0.0	0.0	0.35	0.0	0.11	1.5	9.41	0.0	0.35	16.56	18.24	0.11	11.55	0.9	6.43	12.34	0.18	0.09	0.35	55.14	32.32	23.43	0.0	0.0	0.0	0.0
Ppp3cb	34.83	63.4	0.0	0.0	63.23	154.49	239.81	140.84	67.02	190.32	184.54	53.62	338.45	32.09	2.68	2.34	72.11	81.15	28.8	100.2	119.79	27.86	137.82	80.51	95.74	70.52	36.52	119.75	110.05	5.53	135.6	94.4	0.0	0.0	0.0	0.0	0.0	0.0	9.65	34.38	2.59	78.63	0.0	91.05	122.15	51.98	8.12	166.61	119.7	170.1	117.41	32.13	70.81	61.31	3.59	56.59	66.53	45.93	11.56	147.52	2.2	100.75	12.08	39.13	0.71
Prosapip1	4.8	16.07	1.12	0.1	28.33	25.73	152.84	81.99	106.48	36.72	68.3	66.55	99.67	1.54	59.84	3.93	7.68	1.25	2.29	66.27	11.68	46.06	28.94	12.52	28.43	8.27	31.33	55.89	10.46	63.75	113.59	6.15	1.85	1.34	5.19	0.0	0.1	9.48	59.65	12.73	15.43	70.32	1.98	5.5	14.02	15.78	44.82	42.48	57.11	14.19	61.3	39.42	78.93	10.93	8.68	22.57	24.59	14.13	72.67	37.06	36.82	13.53	5.62	1.22	1.05
Psd3	58.11	115.77	0.0	0.0	65.72	90.6	25.6	28.19	151.81	141.6	99.56	81.15	92.87	88.69	21.17	72.05	78.09	115.49	81.77	24.01	199.37	12.42	129.8	92.03	31.35	29.63	54.71	59.11	42.66	29.97	62.29	21.36	6.53	0.0	0.0	0.0	0.04	0.0	72.37	71.38	27.47	52.32	0.09	17.26	22.01	19.58	62.79	108.09	29.28	31.73	30.7	9.86	35.23	40.47	13.3	23.94	58.03	20.65	24.59	48.78	41.14	0.13	0.44	3.78	0.34
Ptk2	16.63	127.74	0.0	0.0	25.99	57.17	122.95	21.29	96.48	105.08	16.82	27.2	65.52	59.85	26.64	112.75	174.06	86.11	88.72	180.79	137.78	59.29	87.3	130.61	78.12	22.26	76.3	3.99	27.02	69.66	85.95	34.69	67.65	0.0	0.0	0.0	0.43	0.0	50.09	113.56	19.09	100.87	0.18	0.0	223.46	73.13	62.47	219.96	17.53	160.74	1.02	130.68	136.65	63.86	119.07	42.49	0.0	118.65	170.67	56.03	117.71	0.0	0.0	0.0	19.31
R3hdm2	0.46	33.88	0.0	0.0	6.33	83.32	1.21	94.91	120.21	50.07	37.38	0.39	98.73	0.0	35.58	45.28	24.19	63.73	7.57	53.39	47.03	74.06	49.27	59.49	116.44	54.49	59.53	26.36	42.09	24.3	6.48	59.93	1.02	0.0	0.0	0.0	0.0	0.0	1.1	108.87	38.59	92.79	0.2	128.06	2.71	30.83	35.67	91.12	2.96	1.55	3.82	62.21	24.28	28.83	51.18	39.34	43.08	0.72	11.9	42.75	42.59	24.5	21.78	1.4	0.0
Ranbp2	15.61	5.41	0.0	0.0	37.97	0.64	6.36	8.97	0.05	2.98	1.28	14.67	26.91	3.45	8.85	12.12	29.47	5.44	5.85	9.0	10.2	11.43	41.68	0.18	54.99	84.45	47.89	20.95	0.65	7.08	14.88	0.16	0.0	0.05	0.0	0.0	0.0	0.0	7.83	30.24	2.61	42.14	0.0	0.22	11.27	7.99	0.06	22.9	1.0	3.27	0.0	54.74	17.32	26.8	37.77	17.57	27.32	18.98	24.35	12.9	0.0	0.0	0.04	0.06	0.25
Raph1	31.98	39.75	0.0	0.0	0.23	14.32	29.52	2.08	8.52	21.88	38.23	48.64	0.14	26.99	4.45	6.4	0.21	13.03	0.0	5.96	5.19	7.16	14.02	5.54	0.65	2.13	36.01	20.63	2.82	59.87	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.67	22.03	0.0	15.87	0.0	35.23	22.75	17.28	6.22	3.96	5.21	2.42	1.15	53.13	0.75	10.22	9.9	0.0	13.98	0.0	32.69	25.25	0.0	1.31	0.0	0.0
Rbfox3	9.93	52.47	0.0	0.0	67.93	29.48	93.48	98.86	60.78	88.47	26.04	107.64	67.63	3.12	0.7	29.31	25.77	96.9	55.16	30.23	32.56	39.75	37.91	75.34	27.79	57.4	37.9	61.66	11.36	56.83	11.66	45.95	0.0	0.0	0.0	0.0	0.0	0.0	15.08	2.16	73.46	34.23	0.0	89.43	116.57	34.62	18.83	33.06	25.1	12.52	20.21	4.35	83.97	65.27	8.45	71.07	56.12	18.68	12.81	45.34	14.59	17.35	0.0	0.19	16.37
Rhobtb2	33.49	13.65	0.0	0.0	1.0	0.0	1.0	0.03	56.86	0.24	0.0	0.0	3.09	23.84	1.59	1.62	0.0	1.01	0.0	0.0	20.08	27.57	33.55	1.02	0.1	5.26	5.07	36.6	0.06	29.88	0.0	1.67	0.0	0.0	0.0	0.0	0.0	0.0	14.65	0.14	0.0	0.95	0.0	0.0	18.61	0.0	0.0	20.01	0.0	10.31	0.0	29.33	0.11	19.9	1.96	0.11	0.11	0.0	0.0	60.16	0.0	0.0	0.0	0.0	0.0
Rprml	63.55	2.23	0.0	0.0	0.0	24.56	0.0	6.14	0.0	0.0	0.0	4.3	42.36	0.0	2.7	1.18	0.0	0.57	8.14	30.32	2.06	21.67	17.46	0.39	7.81	4.29	44.93	5.04	2.59	0.53	0.0	4.41	0.0	0.0	0.0	0.0	0.0	0.0	25.44	0.0	0.0	0.0	0.0	2.72	52.31	24.71	0.0	4.51	2.32	30.32	2.23	0.0	34.38	6.73	3.56	50.53	0.0	0.56	0.0	6.68	0.0	0.0	0.0	0.0	0.0
Ryr2	26.76	33.26	0.0	0.0	22.29	21.27	23.46	30.41	11.02	1.53	14.37	18.14	15.98	33.57	119.72	40.91	24.11	14.7	20.1	15.53	55.9	5.7	40.96	15.09	14.94	25.94	12.51	32.02	7.06	13.9	14.71	6.34	0.03	0.0	0.02	0.02	0.0	0.24	9.42	36.55	19.84	12.48	0.09	44.78	34.01	11.21	17.26	19.78	8.6	31.77	15.71	9.02	24.91	16.39	2.85	12.54	24.26	7.99	21.24	11.47	21.14	0.0	0.0	0.0	0.0
Satb2	2.46	93.04	0.0	0.0	72.15	119.22	20.66	3.23	123.37	51.9	39.59	83.65	2.4	64.37	157.49	1.49	6.16	30.96	7.03	28.75	2.77	30.51	20.38	5.33	131.98	25.89	38.14	140.61	28.62	36.26	82.01	105.24	0.0	0.25	0.06	0.0	0.06	0.0	1.82	21.51	4.84	64.57	0.15	19.4	4.4	21.33	3.43	7.73	32.04	1.57	95.54	5.61	32.9	32.86	28.35	70.94	5.78	3.29	2.45	58.87	3.81	0.0	0.0	0.0	0.07
Scube1	0.55	0.78	0.0	0.0	0.48	8.78	0.33	10.57	11.37	0.73	0.94	22.01	48.53	0.24	0.35	3.14	1.82	23.47	10.75	11.13	1.21	0.56	3.89	22.79	9.9	13.32	21.82	0.64	0.88	25.91	2.38	0.95	0.36	8.84	0.0	0.67	0.57	0.04	22.98	0.46	0.97	0.67	0.1	24.89	4.59	4.41	0.56	0.88	19.07	0.46	0.78	17.02	0.76	0.16	2.42	21.5	4.04	12.41	0.5	12.95	0.61	0.93	0.0	0.74	2.25
Sept5	88.22	122.97	0.0	0.0	176.37	93.21	68.93	178.27	11.79	81.74	205.89	167.02	156.92	138.13	41.95	135.74	91.37	148.23	58.54	61.14	85.48	83.89	121.96	182.72	130.41	106.49	42.67	44.69	53.52	36.15	35.34	44.09	102.06	0.0	0.0	0.0	0.0	0.0	145.43	20.49	62.77	30.75	0.76	0.0	32.6	83.32	17.95	52.65	74.4	45.93	43.74	62.01	121.4	74.33	98.87	82.68	57.81	77.54	24.91	66.47	33.47	37.97	0.0	0.0	13.91
Slc17a7	14.04	34.85	0.0	0.0	72.25	53.58	25.14	38.02	34.77	3.5	73.29	86.26	41.11	89.18	2.13	9.95	1.56	10.7	9.47	15.9	11.77	1.76	31.95	25.71	67.4	37.04	61.88	16.93	16.28	16.94	0.0	1.76	0.0	0.0	0.0	0.0	0.0	0.0	10.74	10.29	29.97	14.45	0.0	20.74	9.99	48.37	23.66	79.03	2.04	19.69	14.32	1.27	8.41	0.86	34.61	12.84	4.03	32.8	11.55	11.05	24.58	0.0	0.0	0.0	0.0
Spnb3	0.24	12.33	0.0	0.0	5.75	28.48	61.0	1.68	44.1	87.58	34.44	106.23	9.76	2.1	0.0	23.16	6.62	31.54	12.04	24.56	11.3	0.83	51.43	23.01	48.03	24.38	37.56	1.67	25.2	2.39	12.55	22.23	0.0	0.0	0.0	0.0	0.0	0.0	1.89	0.0	8.23	21.97	0.0	0.84	9.36	22.36	50.11	24.78	6.9	8.8	3.51	6.2	20.71	16.76	42.89	21.01	48.66	27.19	16.76	5.01	1.28	0.0	0.0	0.0	0.0
St3gal5	1.72	7.47	0.0	0.0	114.88	196.92	118.22	100.61	262.12	2.05	45.04	272.87	447.82	18.32	39.22	118.39	243.21	109.02	165.8	85.81	143.77	1.31	82.94	133.88	58.53	8.95	106.81	85.01	196.0	150.81	4.64	87.2	0.0	0.0	200.72	0.21	0.0	0.24	0.45	103.3	236.16	325.78	0.36	301.52	54.02	215.79	148.69	92.13	102.51	147.7	92.88	161.48	48.57	66.36	85.86	3.69	343.0	120.22	73.49	76.72	0.0	0.64	0.17	0.76	0.0
Stk19	24.52	44.76	0.0	0.0	64.49	6.6	85.68	24.85	1.71	97.14	0.0	148.18	58.96	125.6	145.39	0.0	169.24	104.38	227.91	0.0	62.91	0.0	35.18	98.37	119.27	96.44	171.89	106.86	50.16	60.06	0.0	61.71	0.0	0.0	0.0	0.0	0.0	0.0	80.54	153.06	1.94	0.0	0.0	14.88	0.0	0.0	0.0	0.0	84.12	93.12	11.82	13.94	66.62	0.0	99.89	44.21	1.14	91.54	0.0	0.3	0.0	0.0	0.0	0.0	0.0
Stxbp5l	5.54	34.86	0.04	0.16	23.52	23.01	0.27	31.09	20.69	1.64	52.18	39.6	75.47	66.22	21.14	53.94	22.7	11.02	28.74	22.27	33.8	25.99	36.19	38.92	59.95	19.03	8.23	24.41	10.31	11.25	5.74	0.14	0.65	0.23	0.19	0.1	0.06	0.05	1.18	5.44	0.18	20.38	0.7	1.22	11.77	29.79	9.5	44.29	0.25	0.91	20.3	52.89	14.86	12.31	26.12	41.23	3.62	31.62	15.05	47.12	0.08	4.14	0.06	0.05	41.42
Syn1	30.03	18.31	0.0	0.0	23.65	172.36	10.9	62.34	117.95	1.82	25.1	135.45	0.79	24.4	138.67	0.0	43.69	73.98	52.55	61.81	78.02	5.61	51.61	77.8	61.19	34.32	42.15	40.08	6.7	31.67	111.3	0.1	0.0	0.0	0.0	0.0	0.0	0.0	23.67	9.07	74.95	0.28	0.0	9.08	88.42	36.41	24.41	29.57	66.29	50.89	12.58	125.08	27.68	30.84	0.46	135.67	0.93	40.17	66.17	13.34	5.22	6.16	0.0	0.0	0.0
Synpo	29.35	0.43	0.0	0.0	57.71	26.08	74.91	39.06	49.62	21.84	0.64	95.7	107.91	43.65	2.01	0.0	93.24	40.95	36.1	82.44	26.92	30.98	52.87	13.08	7.63	124.58	119.39	47.05	12.31	6.75	33.61	15.23	0.0	0.0	0.0	0.0	0.0	0.0	1.26	23.02	20.58	20.32	0.0	80.65	2.23	110.5	0.69	52.73	7.71	27.99	36.52	27.93	18.58	44.75	11.61	40.43	22.46	10.76	0.0	1.43	13.88	0.0	0.0	1.75	0.0
Tbr1	47.64	0.1	0.0	0.0	29.55	66.31	23.42	22.96	0.0	0.0	63.35	0.37	0.0	51.51	0.0	0.0	2.79	0.0	0.0	0.0	0.0	0.43	0.02	4.36	50.36	0.01	26.48	18.62	1.05	12.46	0.0	19.17	0.0	0.0	0.0	0.0	0.0	0.0	0.1	48.7	0.1	0.0	0.0	0.0	0.0	26.06	0.0	0.0	0.0	0.0	1.35	0.0	0.0	12.19	0.0	14.62	0.0	0.0	0.0	2.04	15.8	0.0	0.0	0.0	0.0
Tmem132a	35.1	24.2	0.0	0.0	2.18	0.0	27.0	0.0	0.25	40.65	8.71	5.06	21.03	0.0	0.8	4.18	0.38	4.75	0.39	5.41	10.17	1.49	13.51	2.41	32.0	1.01	0.53	4.81	0.08	1.26	9.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.96	9.89	2.19	0.0	0.0	2.21	0.0	26.0	0.53	36.86	6.85	7.37	1.1	0.0	3.27	0.0	10.96	0.0	0.85	0.0	14.74	11.89	0.0	0.0	0.0	0.0	0.0
Trim9	46.23	81.14	0.0	0.0	16.74	119.28	108.71	79.96	52.0	12.51	92.8	234.34	73.5	38.3	68.34	35.6	46.25	114.01	23.32	63.7	39.38	108.54	46.38	72.05	115.79	70.02	65.38	48.08	38.24	75.43	125.63	15.28	123.05	0.0	0.0	0.0	0.0	0.0	0.08	208.17	69.69	75.75	246.35	44.36	12.88	49.06	0.51	31.57	7.37	29.34	39.95	96.54	45.75	38.23	16.63	22.41	11.44	32.2	97.21	67.33	27.63	9.84	0.0	80.97	0.0
Tsnax	307.79	472.82	0.0	0.0	79.81	300.03	882.5	493.67	158.36	286.25	589.83	2457.64	1856.9	124.61	121.84	547.12	874.1	431.56	175.74	1431.49	812.14	663.74	778.62	1228.81	448.28	1133.58	188.79	738.37	43.05	742.24	992.8	543.55	0.0	0.0	0.0	0.0	0.0	0.0	292.84	0.3	4.92	1245.63	0.67	115.7	32.16	103.77	4.96	653.65	1754.04	806.01	901.69	1991.56	1070.38	218.48	1379.16	993.06	1443.78	1175.85	1408.96	1610.22	798.07	0.0	3.96	0.0	0.0
Unc80	17.41	14.41	0.0	0.0	17.43	58.94	26.3	80.16	39.51	11.0	48.72	60.7	77.85	41.8	30.98	26.65	24.43	42.72	57.42	12.66	22.89	27.86	36.23	30.95	35.71	31.26	17.93	6.51	18.37	48.9	51.75	23.68	0.65	0.0	0.0	0.0	0.0	0.0	34.18	41.48	60.55	44.2	0.06	10.3	52.26	17.56	41.07	34.22	67.4	21.62	5.66	13.2	15.35	25.5	14.33	52.18	2.16	13.18	25.79	16.11	2.18	30.93	0.0	34.22	1.36
Zfp365	84.99	80.14	0.0	0.0	4.76	90.41	71.32	58.46	68.26	0.15	67.16	385.2	45.75	95.99	18.25	109.14	79.29	101.05	85.56	63.99	177.62	128.19	21.19	104.54	229.73	0.02	85.54	5.46	100.03	69.42	151.44	212.78	0.0	0.0	0.0	0.11	0.0	0.0	12.57	105.52	56.21	94.29	0.0	30.59	99.3	25.19	108.3	100.33	96.12	111.54	0.0	21.7	45.04	7.83	124.67	54.69	74.14	4.72	51.55	103.45	44.6	0.0	0.09	3.96	0.0
