	"NCI.H2126"	"NCI.H1355"	"LB2241.RCC"	"LB996.RCC"	"EKVX"	"X697"	"ECC12"	"KE.37"	"NCI.SNU.5"	"P30.OHK"	"SCH"	"SIG.M5"	"SW684"	"BL.41"	"BL.70"	"A3.KAW"	"NCI.H2107"	"D.263MG"	"EW.12"	"CL.11"	"KARPAS.231"	"NU.DUL.1"	"SU.DHL.6"	"WIL2.NS"	"A498"	"KARPAS.45"	"KP.N.RT.BM.1"	"Kasumi.3"	"P116"	"CP67.MEL"	"NCI.H378"	"NCI.H250"	"SW780"	"NCI.H2170"	"SW756"	"MIA.PaCa.2"	"NCI.H2291"	"SW1573"	"KYSE.70"	"OVCAR.3"	"MCF7"	"Hs.578.T"	"HOP.92"	"CAL.72"	"Detroit562"	"FADU"	"HEC.1"	"HT.1376"	"HT55"	"DMS.53"	"Mewo"	"MG.63"	"NCI.H441"	"NCI.H2452"	"NCI.H1793"	"NCI.H28"	"Saos.2"	"SW13"	"OE19"	"COLO.678"	"NY"	"C3A"	"NCI.H1651"	"SW1990"	"MDA.MB.415"	"SiHa"	"SKG.IIIa"	"TT"	"NCI.H2023"	"H2369"	"H2461"	"Hs.766T"	"huH.1"	"KON"	"KYSE.30"	"MCC26"	"OCUM.1"	"PANC.04.03"	"PCI.30"	"SU.DHL.5"	"SU.DHL.10"	"SW1116"	"NCI.H929"	"MHH.CALL.2"	"MOLT.16"	"TI.73"	"BALL.1"	"CML.T1"	"Jurkat"	"CRO.AP3"	"KARPAS.1106P"	"MOLM.16"	"OVCA432"	"MM1S"	"OCI.LY7"	"Set2"
"STF-62247"	1.325486	1.359555	0.685615	0.876222	2.862462	0.0	0.0	0.0	0.767243	0.0	1.023438	0.0	1.89499	0.0	0.0	0.0	0.0	0.280665	0.0	1.113176	0.0	0.0	0.0	0.0	1.273895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.822131	0.552009	1.138645	0.086406	1.429411	0.893471	0.928913	0.979952	0.682287	0.868878	0.71547	0.879155	0.369169	0.151661	0.29939	1.166372	0.828428	0.733955	0.370604	0.816372	1.486802	0.777225	1.21007	1.135475	1.653588	0.654556	0.88417	1.367186	0.590168	0.76977	0.869109	0.741887	1.461153	1.135503	1.494221	1.586861	1.198409	0.606189	1.255994	1.531665	1.228821	0.420253	0.0	1.036421	0.93882	1.60995	1.151504	0.0	0.0	1.74976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"NG-25"	1.688036	1.790341	0.875053	1.022446	2.321663	0.0	0.0	0.0	1.447645	0.0	0.137787	0.0	2.11472	0.0	0.0	0.0	0.0	1.54859	0.0	0.843878	0.0	0.0	0.0	0.0	1.728417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.013414	0.979927	1.084397	1.108036	1.919899	1.718784	1.041003	1.529055	1.116186	1.35591	1.591959	1.598923	0.752709	0.98589	1.215825	1.678319	1.418162	1.586095	1.372062	1.395564	1.921005	1.183011	1.429213	0.227431	1.959596	1.383502	1.458614	1.030358	1.362951	0.223782	1.531814	1.298399	1.767086	1.690791	1.891026	1.551848	1.497699	0.909509	1.603955	1.872516	1.755545	1.267195	0.0	1.815938	1.287762	1.249951	1.701233	0.0	0.0	2.042266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"TL-1-85"	1.474457	1.515863	0.79788	1.133423	2.286736	0.0	0.0	0.0	1.179683	0.0	0.832854	0.0	1.817771	0.0	0.0	0.0	0.0	1.19973	0.0	0.896286	0.0	0.0	0.0	0.0	1.509596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.823661	1.138132	1.263517	0.992706	1.635019	1.510236	0.784601	1.133622	1.128576	1.252156	1.23168	1.298997	0.988743	1.003298	1.048572	1.384075	1.064645	1.323203	1.155445	0.985481	1.637804	1.131196	1.554731	0.751859	1.513694	1.112592	1.181501	1.127097	1.093914	1.229792	1.259608	1.005971	1.479322	1.33809	1.545152	1.703434	1.122981	0.534787	1.290375	1.647405	1.500087	0.987389	0.0	1.27848	1.046091	1.180007	1.252635	0.0	0.0	1.776845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"VX-11e"	1.37307	1.205489	0.794654	1.066142	1.337269	0.0	0.0	0.0	1.120527	0.0	1.294273	0.0	1.902835	0.0	0.0	0.0	0.0	1.308098	0.0	0.189707	0.0	0.0	0.0	0.0	1.582389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.171366	1.075645	1.067698	0.986147	1.793605	1.525042	0.994059	1.198508	1.062988	1.1936	1.044558	1.330184	0.714845	0.731965	0.973292	1.390702	0.807135	1.280899	1.376137	1.17658	1.069903	1.360421	1.713081	1.005344	1.720536	1.044992	1.309123	0.943369	1.009765	1.182787	1.207061	0.87261	1.654571	1.35737	1.590047	1.291113	0.994835	0.67964	1.336351	1.588046	1.481259	0.738323	0.0	1.554721	0.422177	0.25395	1.279265	0.0	0.0	1.789491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"FR-180204"	1.459185	1.714862	0.582135	0.78011	2.062955	0.0	0.0	0.0	0.997407	0.0	1.245337	0.0	2.291911	0.0	0.0	0.0	0.0	0.969798	0.0	1.372478	0.0	0.0	0.0	0.0	1.584666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.099096	0.743131	1.30962	0.799566	1.72054	1.079166	0.822248	1.090417	0.902195	1.122786	0.473778	1.096565	0.442757	0.456579	0.727327	1.40443	0.73163	1.062927	1.288739	1.072729	1.730966	1.272691	1.948764	0.894005	1.567769	0.867208	1.149139	1.503071	0.838746	1.096574	0.714345	0.719334	1.839556	1.474642	1.654039	2.042073	0.858299	0.787787	1.112437	1.86243	1.485865	0.647088	0.0	1.483456	0.532357	1.133748	0.785891	0.0	0.0	2.110069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Tubastatin A"	1.262323	1.517583	1.085017	1.090352	2.472267	0.0	0.0	0.0	1.048492	0.0	1.23645	0.0	1.833047	0.0	0.0	0.0	0.0	0.831724	0.0	1.278815	0.0	0.0	0.0	0.0	1.593287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11995	0.679122	1.28688	0.992029	1.76325	1.443241	1.025467	1.204987	0.984571	1.120088	1.106816	1.229513	0.752712	0.759178	0.888176	1.342166	1.040277	0.823132	1.045543	1.120754	1.29822	1.314419	1.631044	1.158146	1.700689	0.96589	1.189796	1.461322	0.941907	1.101417	0.993247	1.117217	1.548436	1.248937	1.500394	1.694527	1.26696	0.854681	1.313628	1.458161	1.35214	0.809767	0.0	1.452116	1.126628	1.831904	1.307884	0.0	0.0	1.470002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Zibotentan"	1.549198	1.791776	0.605153	0.794745	4.086608	0.0	0.0	0.0	0.540453	0.0	0.977281	0.0	2.521398	0.0	0.0	0.0	0.0	0.6457	0.0	0.933911	0.0	0.0	0.0	0.0	1.918434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.400688	0.426949	1.129333	0.111081	2.077645	1.588542	0.735081	0.543448	0.362066	0.743128	0.826817	0.693521	0.0	0.0	0.0	1.146416	0.637834	0.757041	1.182012	0.867134	1.715676	1.157156	2.080321	1.219043	2.059785	0.346927	0.917418	1.434945	0.296745	0.643271	0.79582	1.167844	1.850639	1.270753	1.815009	2.126683	1.070558	0.0	0.803089	1.408867	1.453892	0.0	0.0	1.63991	0.827607	1.891126	0.728547	0.0	0.0	2.174489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"NSC-207895"	1.612014	1.567943	0.666599	1.245797	2.641783	0.0	0.0	0.0	1.188512	0.0	0.0	0.0	1.897492	0.0	0.0	0.0	0.0	1.412876	0.0	1.121634	0.0	0.0	0.0	0.0	1.725023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3033	1.068576	0.0	1.158839	1.813577	1.630694	1.327379	1.385637	1.186859	1.316928	0.456017	1.439388	0.874517	0.745075	0.545507	1.452851	1.280481	1.398103	0.713581	1.237861	1.729842	0.945257	1.283307	0.024035	1.835485	0.899026	1.336538	1.713691	1.148677	1.295232	0.840625	1.297714	1.684111	1.439299	1.660441	1.681855	1.470894	0.939962	0.998703	1.737452	1.593739	0.958434	0.0	1.629421	1.098308	2.020135	1.490131	0.0	0.0	0.38636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"CUDC-101"	1.292768	1.873657	0.669159	0.636549	1.162385	0.0	0.0	0.0	1.001712	0.0	1.854674	0.0	2.652822	0.0	0.0	0.0	0.0	0.950931	0.0	1.445293	0.0	0.0	0.0	0.0	2.477847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.628163	0.629357	0.6629	0.234761	3.097168	0.531255	0.481508	2.465164	1.37868	0.393465	0.881864	1.443564	0.404676	0.102695	0.143498	1.616597	0.24797	1.57356	0.12017	2.761669	0.968759	1.810386	1.118265	2.40974	2.899267	1.54677	0.808813	1.078835	2.374279	0.601287	0.874776	2.079878	1.530289	2.390154	1.341055	2.011986	1.130444	0.284616	0.494479	1.22384	2.71478	1.21062	0.0	1.558624	2.180969	1.561853	1.532842	0.0	0.0	0.646611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Belinostat"	1.683005	2.214214	0.438517	0.750029	1.497809	0.0	0.0	0.0	0.853383	0.0	2.463495	0.0	2.868327	0.0	0.0	0.0	0.0	0.371243	0.0	0.567003	0.0	0.0	0.0	0.0	2.693759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.070765	0.564779	0.726976	0.337748	3.046548	0.490015	0.167881	3.004645	1.611144	0.799609	0.680858	1.30763	0.965907	0.391111	0.0	1.287846	0.111759	1.154877	0.392376	3.000095	1.062652	2.207219	1.158865	1.600887	3.340326	1.676744	1.368706	0.778573	1.972607	0.745206	0.0	3.038377	1.637791	2.146012	1.794006	2.667383	0.721044	0.32981	0.49164	0.709009	2.809358	1.145324	0.0	1.983473	2.60235	1.773366	1.191176	0.0	0.0	0.166972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"I-BET-762"	1.32766	1.663647	0.848897	1.111852	1.992229	0.0	0.0	0.0	1.230845	0.0	1.38411	0.0	1.897311	0.0	0.0	0.0	0.0	1.101731	0.0	0.730314	0.0	0.0	0.0	0.0	1.668577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.249776	0.531559	1.373428	0.86511	1.717062	1.597179	0.446614	1.358887	1.187541	1.216775	1.058562	1.419312	1.009499	0.763066	1.084683	1.465799	1.073092	1.115771	1.016415	1.178081	1.321023	1.266055	1.72954	1.382742	1.745216	1.172932	0.93496	0.84118	1.155051	1.289438	0.592371	1.455811	1.685673	1.480866	1.678051	1.645794	1.16332	0.650832	1.088912	1.180921	1.542413	1.057574	0.0	1.132437	1.285093	1.469083	1.354026	0.0	0.0	1.608668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"CAY10603"	1.688953	1.947805	0.477429	2.816602	1.403516	0.0	0.0	0.0	0.796957	0.0	2.501412	0.0	2.830772	0.0	0.0	0.0	0.0	0.171061	0.0	1.273768	0.0	0.0	0.0	0.0	1.426665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.611967	0.035957	0.712346	0.493078	3.000288	0.543442	0.322062	2.876839	0.825505	0.607787	0.6817	2.072687	1.009059	0.697384	0.114316	1.694458	0.630938	1.601332	0.233341	2.784696	1.583518	1.730302	1.251604	1.214736	3.254035	2.548435	1.681682	1.419624	2.640904	0.856445	0.066766	2.582932	1.255388	2.995346	3.175121	2.400167	0.960011	0.289527	0.695827	1.012786	2.151516	1.823392	0.0	2.589118	2.676605	2.161095	3.038732	0.0	0.0	0.698336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Linifanib"	0.794366	1.026996	0.6071	0.281814	2.189541	0.0	0.0	0.0	0.440941	0.0	0.512906	0.0	1.708294	0.0	0.0	0.0	0.0	0.838152	0.0	0.931099	0.0	0.0	0.0	0.0	0.946232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.632223	0.20031	0.621914	0.286161	1.26369	1.199467	0.360469	0.723329	0.10587	0.676472	0.460806	0.713343	0.0	0.166702	0.070907	0.771607	0.611959	0.286023	0.636436	0.79085	1.3192	0.651118	1.468395	0.696645	1.446194	0.110272	0.690973	0.956062	0.408317	0.0	0.453634	0.431703	1.374846	0.814981	0.919705	1.414587	0.846011	0.166804	1.000626	1.088777	0.741898	0.0	0.0	0.833182	0.569118	1.614893	0.354687	0.0	0.0	1.664887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"BIX02189"	1.585414	1.871756	0.943453	1.075012	2.967728	0.0	0.0	0.0	1.263364	0.0	1.473734	0.0	2.207757	0.0	0.0	0.0	0.0	1.086731	0.0	1.38845	0.0	0.0	0.0	0.0	1.646141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.341576	0.938463	1.565657	1.290028	1.648558	1.38661	0.544752	1.349079	1.194819	0.911646	1.219216	1.487024	1.010138	0.584279	1.086618	1.576811	1.255814	1.457485	1.548047	1.2339	1.152371	1.49736	1.365737	0.941905	1.987887	1.173115	1.486468	1.101178	1.148334	1.3376	1.116803	1.534584	1.894168	1.604079	1.692175	1.742112	1.075786	0.504034	1.347633	1.879668	1.699295	1.00243	0.0	1.787897	1.375915	0.991704	0.923142	0.0	0.0	1.634069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Alectinib"	0.834671	1.307432	0.748927	0.730728	1.95577	0.0	0.0	0.0	0.705393	0.0	0.818098	0.0	1.629018	0.0	0.0	0.0	0.0	0.988971	0.0	1.014934	0.0	0.0	0.0	0.0	0.148566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.793796	0.104605	0.882332	0.721989	1.485901	0.903115	0.576105	0.893189	0.503734	0.0	0.90709	0.964457	0.339574	0.039942	0.468557	1.052257	0.785866	0.879661	0.595334	0.90547	1.382359	1.028065	1.514545	1.014756	1.488035	0.606866	0.690347	0.920367	0.580324	0.78373	0.792262	1.026317	0.632135	1.043293	1.204456	1.31575	0.855426	0.350921	1.060109	1.405358	1.142926	0.376886	0.0	1.17879	0.813326	0.290852	0.562577	0.0	0.0	1.655534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Pelitinib"	1.368662	1.342589	1.343066	0.615997	0.415257	0.0	0.0	0.0	1.436202	0.0	1.35251	0.0	1.989927	0.0	0.0	0.0	0.0	1.538693	0.0	1.672228	0.0	0.0	0.0	0.0	1.415252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.358444	0.0	0.790103	1.343333	1.666752	0.74687	0.23151	1.471695	1.302215	1.486316	1.352877	1.553221	0.299066	0.0	0.829795	1.435414	1.573589	1.524487	0.944318	1.486564	1.138754	1.591303	1.309807	0.918831	1.535155	0.421374	0.0	0.84637	0.847714	1.484296	1.36839	0.448381	1.748934	1.543805	1.505256	1.916307	1.469512	0.653689	1.631759	1.747614	1.338234	0.944103	0.0	1.444813	1.244832	1.919724	0.690239	0.0	0.0	2.13101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Omipalisib"	1.285141	1.643143	2.11821	1.085818	0.901058	0.0	0.0	0.0	1.650225	0.0	1.604713	0.0	1.357754	0.0	0.0	0.0	0.0	2.138196	0.0	1.595288	0.0	0.0	0.0	0.0	1.388186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.321158	0.985381	1.140902	1.720936	2.50078	0.884069	0.593852	2.387084	2.164251	2.286222	2.370925	2.421135	0.374068	0.577377	0.806749	2.297756	2.361891	1.752922	0.728906	2.310532	2.541209	2.451144	0.0	1.496504	1.58316	1.501865	1.93728	1.500607	1.504007	2.352195	1.399971	0.726408	0.883937	1.724045	2.20057	2.284061	0.781911	1.244479	1.496656	0.85111	2.506979	1.384799	0.0	2.495906	0.771234	1.344615	1.305785	0.0	0.0	2.941993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"KIN001-236"	1.39384	1.591433	0.767294	0.918289	2.912824	0.0	0.0	0.0	0.830832	0.0	1.111434	0.0	1.995031	0.0	0.0	0.0	0.0	1.150265	0.0	1.22311	0.0	0.0	0.0	0.0	1.157219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.953953	0.469176	1.227438	0.895363	1.684962	1.416813	0.617809	0.870587	0.774995	0.975469	0.927821	0.955136	0.49291	0.567467	0.644519	1.171538	0.851326	1.088077	1.204901	0.902679	1.533363	1.013783	1.383141	1.024134	1.731495	0.748818	0.82597	1.478483	0.718831	0.928672	0.98639	0.795351	1.440262	1.102094	1.377991	1.735896	0.368947	0.633884	0.815542	1.623763	1.383432	0.535512	0.0	1.454516	0.882854	1.266313	1.134932	0.0	0.0	1.669802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"KIN001-244"	1.814672	2.204014	1.53584	0.517673	2.308983	0.0	0.0	0.0	0.469011	0.0	1.615839	0.0	2.881754	0.0	0.0	0.0	0.0	1.226012	0.0	0.991514	0.0	0.0	0.0	0.0	2.344099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.802396	1.415079	1.258798	1.653088	2.419249	2.117926	0.375842	2.133068	1.271215	1.378504	1.859399	2.227824	0.558077	0.239169	1.253029	2.290982	1.02531	2.164884	1.470084	1.933185	1.066578	2.052933	1.499151	1.031662	2.670731	1.074362	1.095527	1.693978	1.863165	1.998158	1.576076	1.087711	0.491648	2.295661	2.422941	1.861802	0.989941	0.176593	1.214726	1.616235	2.395444	1.375718	0.0	2.306625	0.0	1.604075	0.876203	0.0	0.0	2.783935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"WHI-P97"	0.586563	1.275976	0.0	0.783326	0.0	0.0	0.0	0.0	1.067204	0.0	1.310518	0.0	2.162558	0.0	0.0	0.0	0.0	1.3868	0.0	1.423102	0.0	0.0	0.0	0.0	1.524934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.081407	0.0	1.394489	1.074652	1.812671	1.238819	0.46403	1.216327	0.981129	1.184269	1.29175	1.344277	0.368043	0.0	0.0	1.343674	1.110794	1.294549	1.426053	1.240637	0.998966	1.357032	0.934735	0.952583	1.905611	0.962751	1.129988	1.788834	0.327589	1.150873	1.138753	0.740605	1.598646	1.250499	1.378843	1.212307	1.013485	0.596709	1.398977	1.814066	1.57398	0.611367	0.0	1.676546	1.219772	0.0	1.118988	0.0	0.0	1.792649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"KIN001-260"	1.037863	1.426987	0.554766	0.850784	2.296757	0.0	0.0	0.0	0.986944	0.0	1.203595	0.0	1.93327	0.0	0.0	0.0	0.0	1.069781	0.0	1.267631	0.0	0.0	0.0	0.0	1.645916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.051208	0.765383	1.209438	1.001493	1.155581	1.361006	0.60023	1.162033	0.92424	1.091638	1.1473	1.259977	0.737847	0.733374	0.816097	1.319518	1.053808	1.19035	1.274545	0.997362	1.238497	1.277722	1.502082	1.172092	1.720362	0.89974	1.21064	1.291449	0.876725	1.069614	0.951912	1.303403	0.950395	1.118088	1.309003	1.617499	0.903634	0.603682	1.380299	1.644055	1.414585	0.728802	0.0	1.499427	1.192057	1.607199	1.357621	0.0	0.0	1.751039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"KIN001-266"	1.551956	1.921447	1.269594	2.01993	1.77918	0.0	0.0	0.0	2.057233	0.0	0.765725	0.0	2.695085	0.0	0.0	0.0	0.0	1.868298	0.0	0.154919	0.0	0.0	0.0	0.0	2.163878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13754	1.361608	2.333812	1.338839	2.140864	2.143566	0.52572	1.872962	1.66108	2.043543	1.939751	2.212524	0.380446	0.0	0.068686	2.17735	1.717574	2.221671	0.99646	2.130604	1.983937	1.912235	1.857143	0.804993	2.342516	0.748179	0.489712	0.374377	0.578606	2.124449	1.577921	1.403242	2.245628	2.114142	2.065223	1.955587	0.676349	0.580752	2.350703	1.474417	2.427955	0.963278	0.0	1.980607	1.61352	1.520495	2.44941	0.0	0.0	1.929623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Masitinib"	1.132775	1.801202	1.461281	1.62829	3.116907	0.0	0.0	0.0	1.306306	0.0	1.069169	0.0	1.583676	0.0	0.0	0.0	0.0	1.93206	0.0	1.704113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.40698	0.779586	1.210268	0.436269	1.449108	0.68856	0.488058	1.833033	1.012622	1.769907	1.615072	1.918266	0.125069	0.441943	1.059193	1.913901	1.747255	0.745166	0.700096	1.850075	1.749155	1.955123	1.847277	1.263698	2.350887	1.158095	0.508152	2.225805	1.570557	1.426652	1.363882	1.542311	2.276972	1.736232	1.861358	1.999425	0.764402	0.933907	2.045706	2.104778	0.804155	0.987702	0.0	1.629152	1.176539	2.564329	1.579118	0.0	0.0	2.49488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"MPS-1-IN-1"	1.137523	1.555131	0.952035	1.484134	1.320544	0.0	0.0	0.0	1.449841	0.0	1.630891	0.0	2.269601	0.0	0.0	0.0	0.0	1.664232	0.0	0.155936	0.0	0.0	0.0	0.0	1.994214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.521314	1.30407	1.699576	1.474453	2.161765	1.789385	1.478213	1.601445	1.388537	1.531309	1.619744	1.660794	0.675378	0.593308	1.247453	1.73147	0.744961	1.620457	1.72499	1.60246	1.890101	1.707933	2.032575	0.260951	2.054875	1.37022	1.651633	1.711305	1.346422	1.515411	1.526185	1.723299	1.952178	1.721446	1.997194	0.538951	1.554763	0.724273	1.784419	1.951686	1.802019	1.03994	0.0	1.907012	0.439795	1.788334	0.885259	0.0	0.0	1.941789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"NVP-BHG712"	1.468257	1.720134	0.11695	0.534266	2.11694	0.0	0.0	0.0	1.27623	0.0	1.429366	0.0	1.965617	0.0	0.0	0.0	0.0	1.477102	0.0	0.353488	0.0	0.0	0.0	0.0	1.808922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.921055	1.169808	1.313872	0.987569	1.866955	1.633454	1.384795	1.393442	0.955161	1.348111	1.425118	1.463861	0.661337	0.920462	0.629859	1.514337	0.395994	1.419042	1.489859	1.410949	1.675118	1.231981	1.199976	0.470316	1.801813	1.209705	1.444519	1.390022	1.188117	1.331126	1.365872	1.505113	1.550469	1.530237	1.735116	1.467728	0.91465	1.108171	1.325681	1.738171	1.584958	1.089712	0.0	1.658867	1.421803	0.778292	1.584277	0.0	0.0	1.917627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"OSI-027"	1.38696	1.456989	1.987105	1.790575	1.013872	0.0	0.0	0.0	1.23599	0.0	1.172254	0.0	1.510951	0.0	0.0	0.0	0.0	1.918472	0.0	1.093944	0.0	0.0	0.0	0.0	0.744449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.508514	1.168545	1.15088	1.794942	2.383657	0.907037	0.831887	2.101775	1.951548	2.078526	2.032148	2.165828	1.125647	1.054317	1.191664	2.018456	2.064599	1.411777	0.800321	2.088763	2.361596	2.161952	0.0	1.4862	1.713366	1.084443	2.060643	1.503512	1.885029	1.976883	1.37474	0.813899	1.603304	1.321401	2.222215	1.832593	1.188535	1.054618	1.084516	0.877743	1.591937	1.39179	0.0	2.251537	0.718856	1.003787	1.345092	0.0	0.0	1.038311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"CX-5461"	1.354759	1.431729	1.088259	1.015222	2.100211	0.0	0.0	0.0	1.06346	0.0	1.190648	0.0	1.635264	0.0	0.0	0.0	0.0	1.056108	0.0	1.129492	0.0	0.0	0.0	0.0	1.483987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.113293	0.310213	1.24974	1.081301	1.547608	1.374406	0.844828	1.168896	1.021671	1.123542	1.187186	1.224125	0.913331	0.612105	0.956139	1.261099	1.108784	1.182089	1.254719	0.0	1.467831	1.077258	1.517662	0.449871	1.502076	1.00842	1.203722	1.424138	0.873075	1.109196	1.0687	1.114711	1.453917	1.27442	1.444151	1.525862	0.462562	1.030338	1.305427	1.451368	1.327046	0.909035	0.0	1.380465	1.18282	1.642988	1.313732	0.0	0.0	1.595894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PHA-793887"	0.99888	1.626621	1.338832	1.401704	1.487202	0.0	0.0	0.0	0.626911	0.0	0.035189	0.0	1.559539	0.0	0.0	0.0	0.0	1.476685	0.0	1.495006	0.0	0.0	0.0	0.0	1.145029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.885115	0.572009	1.267247	1.22474	1.783387	0.672935	0.889674	1.416779	1.274173	1.373092	1.330269	1.47076	0.680288	0.296585	1.209745	1.505468	1.338724	1.429942	1.351175	1.343143	1.567096	1.490119	1.75579	1.215391	1.487232	1.260844	1.440834	0.790622	0.923655	1.359162	1.374782	0.739824	1.686586	1.413938	1.68441	0.943563	0.773372	0.440673	0.692713	1.53817	1.570906	1.038251	0.0	1.542749	0.441038	1.700236	0.968533	0.0	0.0	1.765923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PI-103"	1.190597	1.088772	1.626417	1.7919	0.504483	0.0	0.0	0.0	1.325258	0.0	0.918575	0.0	1.171432	0.0	0.0	0.0	0.0	1.850839	0.0	1.310341	0.0	0.0	0.0	0.0	2.050226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.757629	0.772267	1.165562	1.660126	1.936109	0.796592	0.0	1.804498	1.680398	1.764744	1.807877	1.851052	0.567596	0.630807	0.989997	1.882219	1.7528	1.615039	0.511375	1.810297	2.059188	1.868178	0.0	1.03754	1.808162	1.121783	1.765284	1.435281	1.653097	1.753982	1.441808	1.144992	1.289578	1.893261	2.036518	1.145069	1.527948	1.471215	1.803171	2.049387	1.937988	1.001557	0.0	1.915881	1.817462	0.086079	0.858414	0.0	0.0	1.634196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
