	"ACH.000045"	"ACH.000070"	"ACH.000113"	"ACH.000178"	"ACH.000198"	"ACH.000317"	"ACH.000324"	"ACH.000339"	"ACH.000362"	"ACH.000406"	"ACH.000416"	"ACH.000549"	"ACH.000648"	"ACH.000693"	"ACH.000770"	"ACH.001735"
"79991"	-0.652531628029103	-0.381906287974853	-0.62881609554345	-0.536115039297562	-0.509999840110721	-0.653395382015752	-0.642120394248841	-0.532029534300323	-0.612529158731906	-0.280953142062985	-0.67724470729073	-0.685395075227721	-0.628532502773571	-0.563294222903858	-0.826580683284465	-0.600977213426576
"3175"	0.188925589079143	0.0481254268444056	0.253429956177731	0.161252277280356	0.153405791119743	0.213537824923492	0.193042687076277	0.0929794190517878	0.150467249231933	0.161133680162644	0.110688213319185	0.147475953363303	0.247632018814169	0.103915331124234	0.190697528988024	0.188051640374125
"5048"	-1.32854176891664	-1.42983065657963	-1.39338854667817	-1.39138870339134	-1.36072735890516	-1.3450471408466	-1.42678156789036	-1.41524603113517	-1.45252227804863	-1.66206696737148	-1.25134590536126	-1.25353508140985	-1.47868349492972	-1.3839542167534	-1.55406525911605	-1.49010626942832
"7262"	-0.139635215991628	-0.176735978254444	-0.144487412015434	-0.11725385924589	0.007518035160104	-0.135782503310683	-0.0803303186677285	-0.104122902182196	-0.183655155490977	-0.0267200966625214	-0.101059622138481	0.0464677417062539	-0.299635683099595	0.015842461390197	-0.106269876661344	-0.159036891897843
"5441"	-1.79417072841113	-1.53024983356544	-1.57792400004598	-1.5789150598036	-1.61008845326322	-1.76660491543369	-1.67328416041856	-1.61749205941687	-1.66012111323745	-1.90785879049786	-1.60099963993684	-1.39742335572598	-1.73852456163377	-1.57451121624614	-1.68619197443832	-1.81947042014177
"25837"	-0.303746434063334	-0.0781470634296278	-0.206977372735747	-0.238883106749787	-0.0846419852011304	-0.19976997318052	-0.308240940016526	-0.246561144676334	-0.327627926706568	-0.0974464091895186	-0.29852185336184	-0.241308157125407	-0.407378392491355	-0.148205034600588	-0.20255194920433	-0.317468707708503
"5901"	-1.90445197544471	-1.72514294707428	-1.87169294337664	-1.72530549604091	-2.04127338251535	-1.916379415032	-1.74381863835888	-1.80266614524697	-2.04134800681455	-2.176775881513	-1.65871201532209	-1.79483705314101	-1.92971157499135	-1.72322689188201	-2.11786780290696	-2.03961824280118
"51507"	-0.654938013059645	-0.616160839853552	-0.606180452070812	-0.357634950972222	-0.642003053598993	-0.749875738223721	-0.639248596965885	-0.59843378020063	-0.629089288125422	-0.681407614837328	-0.638938425380693	-0.669608140573921	-0.851881332213716	-0.629024573456229	-0.746804668881459	-0.630475707977712
"23020"	-1.66188791743125	-1.55736913009798	-1.65404282140862	-1.6060428845097	-1.51950908825766	-1.71018550472892	-1.53532822025555	-1.52957960299651	-1.55443821578319	-1.89017377250967	-1.4706908440726	-1.43047364342948	-1.5999355671232	-1.56164374346405	-1.6682812367061	-1.77596697619741
"7982"	0.0926272819677185	-0.0961386481190888	-0.130288523976845	-0.0572977666123503	-0.0636903935723676	-0.11672204643313	-0.140199779355197	-0.158883897872666	-0.127306571354224	-0.0391496115683847	-0.0890922191000409	-0.24353933465127	-0.194168769445201	-0.0229440453715774	-0.0935481475256932	-0.103345629821441
"9013"	-1.15919890829713	-1.09225734551727	-1.13380005979452	-0.983002158183336	-1.03563873408577	-1.29184312504379	-1.18050666439826	-1.02865936699541	-0.978054010305493	-1.2191790806999	-1.18288897904009	-1.24253253313164	-1.35693451536404	-1.07695245637018	-1.18727502535931	-1.13507768870478
"729873"	1.99758285471073	2.10580081321654	1.9973037361376	2.08500504265254	2.15217072202921	2.00891435826907	2.01220266736443	2.02455816638371	1.91694688088116	1.75295445420933	1.9730493770553	1.9042193425298	2.12801237140822	1.9749543146288	2.03339887021624	1.89129174259254
"55714"	0.173516463565166	0.0718652546863168	0.0548062888776431	0.0857682028726754	0.0235113809341167	0.109612230790472	-0.0286975327107693	-0.0215385292308466	0.116720211562205	0.0440933177395484	-0.0570352227738159	-0.00534699912202632	0.237499463338727	0.0437513412879596	0.0830797864185429	0.11000847021361
"54974"	-0.719825696792121	-0.663000050794451	-0.713531071341612	-0.558076409824215	-0.562755388334686	-0.834067658721853	-0.610207576857059	-0.664801258352533	-0.600434068408874	-0.754152089096095	-0.59446305515572	-0.857055393289898	-0.754029246096813	-0.604094771116661	-0.68716724146946	-0.749210012671047
"84101"	-0.140717259781082	0.0409221620105367	-0.0243227974400906	-0.0226474079110206	-0.0523974933966756	0.024137364012435	-0.0525800068670293	-0.129863430879829	-0.0823773154938257	-0.0191386536768872	-0.188744142191086	-0.0463767339459281	-0.210126201536348	-0.190209895988205	0.0210856790114026	0.00231188948284468
