	"58.Elutriation2:Sample2:Time5.0hrs"	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"514.2.5mM DTT 030 min"	"516.2.5mM DTT 060 min"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"815.1M sorbitol - 15 min"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"877.FY3 pRZ-MSN2 - Msn2 overexpression"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12744.heat shock 17 to 37, 20 minutes"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15183.Ca+FK 5min (3)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"15636.Ca+FK 30min (2)"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27098.P1Comp 13 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27099.P1Comp 15 hr 0 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YDR070C"	-0.891	1.478	2.467	2.806	2.949	2.502	1.3845	2.3175	2.8115	-1.9665	-0.4505	-0.101	-1.556	-1.0255	1.0335	2.2945	2.9725	4.4565	3.8165	4.302	3.751	4.213	4.455	3.835	3.555	0.1465	1.056	3.694	4.458	3.732	3.513	4.23	3.928	4.0405	4.3945	5.1055	4.5315	-1.0085	2.494	2.108	3.749	1.7765	3.5745	3.433	3.618	2.4825	2.551	2.9395	5.213	3.6475	4.1095	3.7155	4.168	3.4185	3.1395	-0.396	-0.2495	1.994	2.091	2.4465	2.6915	2.528	3.3065	2.644	3.4165	3.2275	3.559	5.069	4.0875	4.421	4.1925	4.9185	3.487	-0.177	2.9005	1.771	2.1115	2.4095	3.033	3.0005	2.7045	3.537	3.616	3.4685	3.624	4.413	4.483	4.033	3.983	3.987	3.443	4.008	3.452	3.749	4.248	3.42	3.979	3.524	4.406
"YDR096W"	0.241	2.114	2.159	2.715	2.302	2.372	2.281	2.565	2.549	-1.83	-0.496	0.061	-1.51	-1.165	1.175	1.492	0.148	3.784	2.911	3.051	3.058	2.906	3.751	3.511	2.071	0.45	0.355	2.127	2.135	1.735	1.58	1.85	2.169	2.377	2.916	3.613	3.341	3.088	1.318	2.056	1.406	0.614	2.609	0.387	1.431	1.114	1.219	1.246	2.342	0.636	0.761	0.492	0.016	-0.102	2.518	-0.967	-1.096	-0.084	0.158	-0.22	-0.031	1.557	0.924	1.658	0.626	0.955	2.266	1.51	0.42	1.837	0.647	1.976	1.881	-0.265	0.544	-1.731	0.054	0.109	0.665	0.343	0.724	0.465	-0.232	0.44	0.209	0.8665	1.2715	1.174	1.286	0.9155	0.933	1.2575	0.4255	0.731	0.394	-0.0385	-0.023	0.23	-0.0225
"YDR247W"	NaN	1.336	1.873	1.844	1.338	1.039	1.0	1.603	1.613	-0.978	-0.271	-0.3	-1.023	-0.597	0.374	1.558	0.442	3.168	1.777	1.822	2.145	2.279	2.371	3.628	2.57	-0.155	0.742	2.299	1.769	1.79	1.43	3.216	2.372	3.677	4.438	3.995	3.982	3.693	NaN	NaN	2.122	0.057	1.931	1.795	1.535	1.401	1.874	1.699	1.504	-0.09	0.613	0.692	0.17	0.199	1.147	-0.5435	-0.7505	0.219	0.4755	-0.0655	0.106	0.591	0.014	0.992	0.0695	-0.6115	1.024	0.8165	-0.5375	0.4645	0.1045	0.133	0.063	-0.632	0.4335	0.138	-0.218	0.045	0.7545	0.3835	0.638	0.925	0.3805	0.265	-0.003	2.275	1.65	1.608	2.76	2.332	0.94	1.715	0.261	0.68	1.115	0.22	0.473	0.64	-0.312
"YDR254W"	0.066	0.571	0.643	1.019	-0.66	1.058	1.219	1.464	1.118	-0.186	-0.662	0.234	-0.29	-0.522	0.714	1.126	0.507	2.266	1.847	1.807	1.817	2.037	2.377	2.524	1.508	0.599	1.135	1.444	1.341	1.056	0.785	2.386	1.788	1.633	1.833	1.644	1.999	1.489	0.994	0.991	0.762	0.889	0.712	0.818	0.741	0.505	1.109	0.782	1.488	1.398	0.986	1.29	0.839	1.641	1.418	-0.166	-0.138	-0.031	0.11	-0.655	-0.011	0.67	0.722	0.675	0.686	0.789	0.842	1.105	0.191	1.045	0.57	0.907	0.406	-0.004	0.445	0.088	-0.037	0.135	0.474	0.307	0.468	0.145	0.654	0.778	-0.6	0.908	1.157	0.009	1.057	1.021	0.639	1.397	1.349	1.793	1.657	0.453	0.658	1.08	0.414
"YDR255C"	-0.376	0.957	1.217	1.759	NaN	1.291	0.948	1.385	1.144	-0.652	-0.576	-0.204	-0.975	-0.773	0.956	0.755	0.533	1.797	1.79	1.751	1.462	1.727	1.793	2.477	2.235	0.046	0.478	1.628	1.615	1.597	0.924	2.571	1.407	1.513	1.786	2.131	2.008	1.315	1.255	1.584	0.407	0.882	0.073	0.321	0.229	0.038	0.611	0.623	0.736	0.834	0.879	1.255	0.989	1.395	1.907	-0.164	0.01	0.305	-0.014	0.142	-0.141	0.492	0.43	0.403	0.105	0.788	0.395	-0.351	-0.104	1.133	0.424	0.397	-0.429	-0.025	0.036	-0.417	-0.332	0.32	0.265	0.129	-0.002	0.187	0.245	-0.602	-0.319	1.127	0.828	0.363	1.244	0.661	0.858	0.977	-0.112	-0.075	0.665	-0.683	0.177	0.323	0.172
"YDR262W"	-0.321	-0.0535	0.516	0.645	-0.895	0.314	0.668	0.844	0.6295	0.08	-0.2675	-0.2775	-0.067	-0.017	0.509	0.6435	0.8695	1.7335	1.8585	1.8825	2.06	2.6665	3.1335	3.3725	0.744	-0.0235	0.559	1.014	1.473	1.6855	1.6875	2.2555	2.2405	3.0895	3.2615	4.491	4.8085	4.03	1.191	1.36	1.4115	0.219	1.0275	1.353	1.3465	0.543	1.12	1.167	2.2315	1.5505	2.226	2.8725	2.6455	3.067	0.793	-0.145	-0.246	0.5015	0.244	-0.106	0.1645	0.406	0.2515	0.577	0.078	0.5375	0.347	0.202	0.096	1.111	0.2775	0.847	1.226	-0.154	1.463	1.093	1.4085	1.7415	1.8835	1.7885	1.8825	1.75	1.388	1.494	1.484	2.14	2.6925	2.8525	1.7955	2.334	2.1775	2.708	1.5025	2.064	2.2825	1.0145	1.2705	0.9105	1.545
"YDR275W"	0.0275	-0.344	0.311	0.615	-0.0235	-0.127	-0.498	-0.557	-0.0675	-0.00149999999999999	-0.837	-0.9975	0.088	0.248	0.1585	0.2735	0.8245	1.553	2.2955	2.594	2.161	3.009	3.1575	3.166	-0.0785	-0.127	0.0605	-0.131	0.947	1.6115	1.519	1.749	2.036	2.324	3.0055	1.5585	2.794	2.3525	1.6355	1.3175	0.207	-0.364	-0.0595	-0.008	-0.2335	0.186	0.004	-0.0665	1.9415	1.1725	1.796	2.3905	2.416	2.4885	-0.7275	0.038	-0.015	0.799	0.7345	0.5525	0.7335	-0.6005	-0.66	-0.9995	-0.797	-0.0395	-0.3315	0.0	-0.055	0.1485	0.21	-0.5485	-0.371	-0.537	1.175	0.5205	0.552	1.004	1.235	0.9505	1.233	1.542	0.9135	1.264	1.2475	1.086	2.1325	2.2755	1.091	1.3175	1.8335	2.0735	-0.047	2.0975	1.977	1.205	1.532	1.402	1.886
"YDR306C"	-0.368	0.669	0.873	0.882	0.99	1.044	0.637	1.116	0.874	-0.547	0.429	0.762	-0.43	-0.782	0.492	1.269	0.55	1.761	1.727	2.012	1.925	2.196	1.846	2.437	1.744	1.014	0.501	1.427	1.626	1.092	1.219	1.745	1.558	1.55	1.603	1.93	1.569	1.144	1.884	1.339	1.409	0.694	1.061	0.896	0.793	1.02	0.946	0.755	0.514	0.896	0.704	1.247	0.761	0.874	1.331	-0.16	-0.05	-0.144	-0.027	-0.803	-0.429	0.863	0.919	0.355	0.973	0.849	1.118	1.361	-0.061	0.238	-0.289	0.656	0.103	-0.125	0.654	0.633	0.619	0.087	0.758	0.772	0.939	0.381	0.29	1.494	-0.403	0.8425	1.069	1.0065	1.0185	0.949	0.7445	1.124	0.328	0.813	0.6315	0.207	0.1195	0.24	0.752
"YDR338C"	-0.077	0.636	-0.631	-0.292	-0.185	-0.02	0.218	0.787	0.697	0.0	1.371	-0.536	-0.047	-0.142	0.281	0.824	0.063	1.812	1.732	1.523	1.871	2.061	1.966	1.741	0.258	-0.976	-0.085	0.702	0.214	0.987	0.894	1.677	1.327	1.497	0.99	1.689	1.618	0.809	1.19	0.968	0.402	-0.188	0.688	0.536	0.187	0.533	0.614	0.602	0.481	1.224	1.05	1.434	1.082	1.45	0.66	-0.213	-0.165	-0.561	-0.23	-0.905	-0.333	-0.21	0.183	-0.284	-0.401	-0.046	-0.606	-0.87	-1.735	1.795	-0.395	NaN	NaN	-0.238	-0.236	0.462	-0.255	-0.062	-0.096	0.039	0.156	0.339	0.451	-0.881	0.659	0.936	0.365	0.912	1.457	1.188	0.951	1.23	-0.098	0.677	1.423	-0.474	0.123	-0.684	0.178
"YDR505C"	0.185	0.536	0.878	1.458	1.273	1.278	1.571	1.548	1.441	-0.719	-0.115	0.675	-0.734	-0.459	0.72	1.0	0.829	2.043	1.733	1.823	1.411	1.418	1.076	3.127	0.778	0.988	0.666	0.909	0.79	0.607	0.426	1.999	1.471	2.053	2.304	3.358	3.221	3.034	0.409	1.694	0.639	0.541	0.636	0.77	0.466	0.449	0.954	1.153	1.197	0.752	0.992	1.09	0.947	0.667	1.164	-0.338	-0.836	-0.186	-0.12	-0.167	-0.329	0.508	0.95	0.483	0.827	-0.065	0.613	0.478	0.327	1.434	0.933	0.587	1.408	-0.48	0.388	0.148	0.106	-0.468	0.544	0.485	0.726	0.475	0.024	-0.435	-0.299	0.517	1.068	1.382	1.322	0.9	1.066	1.686	0.75	1.334	1.895	-0.033	-0.123	0.309	-0.338
"YEL011W"	-0.067	3.051	4.119	5.079	3.833	3.123	2.585	3.093	2.441	-1.585	-0.401	-1.392	-2.279	-3.165	2.057	1.389	0.766	4.662	3.869	4.663	4.646	4.72	4.761	5.15	4.014	-0.548	0.749	2.876	3.74	3.022	2.308	4.997	3.795	3.906	3.266	3.642	5.213	4.068	2.87	3.311	3.455	2.63	2.28	2.248	1.944	1.646	1.416	1.67	2.6905	3.079	2.224	1.999	1.253	1.514	2.474	-0.156	-0.7075	0.64	0.7835	0.2765	-0.1945	1.263	0.3245	1.1	0.224	1.044	2.2915	1.7445	0.9485	1.5715	0.5345	1.7145	2.2205	-0.1235	1.093	0.5695	0.7995	0.6565	1.43	1.433	1.4695	1.339	0.8245	0.574	0.224	1.332	1.65	1.956	3.83	2.462	1.915	2.422	1.816	1.963	1.861	0.887	0.971	-0.034	0.079
"YEL012W"	0.371	1.553	1.989	1.629	1.697	1.417	1.138	1.765	0.893	-0.322	-0.091	0.706	-1.202	0.463	1.003	1.325	1.008	3.329	3.222	3.376	2.713	2.665	3.0	3.657	2.017	-0.02	0.068	1.923	2.342	2.194	1.934	3.408	2.354	2.721	2.891	2.976	2.45	2.286	1.687	2.842	1.596	1.415	1.195	2.012	2.003	0.733	0.984	1.434	1.722	2.417	2.379	2.226	2.411	3.161	1.368	-0.371	-0.1485	0.5895	0.1055	-0.249	-0.0905	1.447	1.8275	1.5575	1.9205	1.4895	1.4555	1.76	1.2585	1.1095	0.501	0.738	0.75	-0.151	0.0585	0.198	0.1025	0.547	0.757	-0.239	0.253	0.6415	0.531	1.668	0.9145	3.207	3.655	3.532	3.596	3.65	3.773	3.083	1.905	2.831	NaN	1.649	1.827	0.818	1.752
"YEL074W"	0.357	-0.601	-1.198	-0.563	-0.154	-0.397	-0.061	0.089	-0.313	-0.17	-0.654	-0.102	0.243	-0.194	-0.067	0.379	0.147	1.469	1.494	1.139	1.633	1.987	1.791	0.971	0.165	-0.032	0.357	0.559	0.521	0.278	0.32	0.971	1.024	1.033	1.276	1.922	1.674	1.816	-0.811	0.387	0.323	-0.163	0.492	0.196	0.194	0.107	0.017	0.03	0.729	0.783	0.441	0.518	0.451	0.437	-0.539	-0.063	0.135	-0.4975	-0.1845	0.302	-0.3685	-0.585	-0.3755	-0.834	-0.607	-0.1795	-0.6155	-0.284	-0.206	-0.71	-1.098	-0.0735	-1.207	-0.039	0.433	0.189	0.016	0.553	0.7155	0.2675	0.6955	0.985	0.834	0.314	-0.0255	0.036	-0.238	0.453	-0.217	-0.007	-0.122	-0.293	0.148	0.535	0.349	0.39	0.847	0.4	1.13
"YER015W"	-0.387	0.788	0.476	0.415	0.244	0.1	-0.585	0.923	0.766	-0.585	NaN	-1.152	-2.585	-0.718	0.629	0.447	0.077	2.172	2.385	3.584	3.301	3.005	2.769	3.101	1.224	0.054	-0.092	1.095	1.623	1.816	0.843	3.359	2.401	1.979	2.609	2.833	1.972	1.943	1.227	1.81	0.951	-1.4	0.664	0.589	0.362	0.199	0.929	1.068	0.745	0.87	1.58	0.953	-0.251	0.077	1.085	-0.2315	-0.2875	-0.124	-0.346	-0.4275	-0.288	-0.9055	-0.5695	-0.2335	-0.6215	-0.8745	-0.144	-0.6995	-0.6675	0.1995	-0.1665	0.159	-1.0145	0.018	0.5765	0.3025	0.379	0.3565	0.4505	0.8975	0.6985	0.516	0.5045	0.0245	-0.2685	0.8055	1.098	0.789	0.968	0.847	0.718	0.6375	-0.3755	-0.781	-1.48	0.1885	0.416	0.6945	0.7725
"YER033C"	-0.246	1.574	2.073	3.264	2.109	1.383	1.766	2.047	1.841	-1.585	0.019	-0.295	-1.485	0.23	0.887	0.154	0.722	1.501	1.807	1.861	1.736	1.686	1.767	NaN	1.682	-0.493	0.154	1.051	0.501	0.917	-0.155	1.733	1.247	1.549	1.66	1.743	1.395	1.215	1.135	1.327	0.466	0.643	0.185	0.52	0.274	0.248	-0.136	0.522	0.141	0.902	1.06	0.229	0.798	-0.468	1.585	0.033	0.27	-0.098	-0.323	-0.134	-0.578	0.104	0.679	0.792	0.771	-0.346	0.397	0.662	0.841	0.561	-0.033	NaN	-3.64	0.644	0.485	0.041	0.501	0.71	0.666	0.892	0.527	0.246	0.746	0.478	0.762	1.683	1.656	1.667	2.421	1.772	1.164	0.714	0.297	0.347	-0.006	0.575	0.226	-0.025	0.232
"YER079W"	-0.069	1.902	3.045	2.635	2.953	2.488	2.434	2.913	2.437	-1.68	0.442	0.956	-1.817	-1.387	0.771	2.713	2.247	4.036	3.925	3.354	3.195	3.349	2.322	2.836	3.24	0.876	1.001	3.069	2.862	2.649	2.407	3.75	2.737	2.759	2.969	3.182	2.788	2.172	1.939	2.328	3.236	1.299	2.807	3.163	2.888	2.669	2.758	2.968	0.563	1.924	1.84	2.429	2.2	2.584	2.762	-0.767	0.097	-0.012	-2.573	0.478	-0.12	-0.825	-0.589	-0.586	0.185	-1.009	-0.421	0.019	-0.214	0.711	0.51	0.057	0.115	-0.498	0.169	0.101	-0.316	0.793	0.436	0.652	0.437	0.861	0.734	1.765	-1.189	4.179	4.035	3.482	4.583	3.964	3.215	3.941	1.685	2.573	2.534	2.033	1.57	2.043	2.032
"YER088C"	0.126	0.644	1.267	1.409	NaN	0.804	0.208	1.44	1.763	-0.291	-0.387	-0.2	-0.456	-0.653	0.694	-0.194	0.141	1.977	1.597	1.632	1.191	1.165	1.624	1.943	0.89	0.557	0.293	0.139	0.155	-0.078	-0.099	2.292	1.748	1.933	2.064	2.597	2.485	2.009	0.627	1.48	0.372	-0.379	0.65	0.39	0.345	0.19	0.345	0.67	0.836	-0.71	-0.193	0.127	-0.013	0.019	1.809	-0.327	-0.237	-0.292	-0.154	-0.444	-0.348	-0.024	-0.544	0.559	-0.121	0.019	-0.539	-0.291	0.102	-2.217	-0.566	NaN	-0.501	-0.355	0.166	-0.184	-0.365	-0.632	-0.534	-0.336	-0.706	0.351	-0.021	0.192	-0.119	1.777	1.027	1.133	2.072	1.747	1.301	1.185	1.091	1.11	0.52	-0.581	-0.317	0.606	-0.058
"YER150W"	-1.751	4.472	2.798	5.585	4.539	4.101	4.447	4.749	4.983	-4.322	-0.649	0.222	-4.435	-2.564	1.714	2.944	2.672	6.012	5.312	5.241	4.681	5.023	4.88	5.748	4.953	1.829	2.034	4.743	4.495	4.382	4.289	5.006	4.196	4.129	5.159	5.697	4.768	3.976	3.847	3.832	4.737	3.21	4.325	4.609	4.764	3.727	4.306	4.749	4.503	1.06	1.411	1.186	0.59	0.626	6.349	-0.318	-0.459	0.683	0.9205	0.331	0.6735	4.821	4.693	4.9625	5.0445	4.7005	5.0675	4.5475	4.079	5.6945	4.134	5.531	4.982	0.0575	2.352	1.763	2.0645	2.5225	2.851	2.89	2.9855	3.246	3.7	1.7855	2.6455	7.981	7.796	6.325	6.994	6.618	5.594	4.621	5.499	5.656	5.392	3.229	3.384	3.213	2.737
"YFR040W"	-0.6255	0.132	0.224	0.5065	0.651	0.2255	0.4795	0.6645	0.5985	-0.318	-0.537	-0.455	-0.047	0.1785	0.3235	0.121	0.2885	1.2555	1.193	1.4895	0.85	1.0535	1.173	1.3585	0.7905	0.228	0.146	0.8705	1.007	0.805	-1.1165	1.079	0.93	0.9415	1.039	1.3055	0.619	0.353	0.4	0.918	0.486	0.478	0.3665	0.5385	0.5125	0.0395	0.182	0.4865	0.58	0.8335	0.809	0.9595	0.897	0.8045	0.817	-0.365666666666667	-0.627	-0.266666666666667	0.290666666666667	-0.219666666666667	0.219333333333333	-0.108333333333333	0.0356666666666667	0.0436666666666667	-0.235333333333333	-0.053	-0.557666666666667	-0.337666666666667	-0.257	0.239	-0.126666666666667	0.335	0.312333333333333	0.004	-0.01275	0.1675	0.034	-0.152	0.143	-0.10225	-5.00000000000007E-4	0.028	0.1	0.148	-0.07625	1.905	1.379	1.272	1.5	1.733	1.175	1.35	-0.742	-0.363	-0.39	-0.317	-0.872	0.683	-0.721
"YGL096W"	0.075	1.611	1.263	1.343	1.355	1.193	0.914	0.99	0.786	-0.709	0.293	0.105	-0.719	-0.619	0.223	0.919	1.677	2.584	1.584	2.437	2.098	2.524	2.862	3.258	1.847	-0.144	0.523	1.968	2.442	2.098	-0.021	2.684	2.08	2.1	2.819	2.093	2.348	1.478	1.337	1.273	1.25	1.022	0.783	1.048	0.825	0.629	0.733	0.922	0.931	3.1	3.254	2.828	2.751	2.819	0.961	-0.2	0.083	0.163	0.295	-0.292	0.063	0.63	0.864	0.831	0.674	0.694	0.461	0.653	0.005	1.15	0.554	0.606	0.357	-0.1855	0.8425	0.782	0.4705	0.441	0.7385	0.4555	0.8405	0.9605	1.033	0.974	0.836	1.964	2.372	0.86	3.654	2.706	1.898	1.257	1.245	2.082	1.916	0.48	1.116	0.736	0.504
"YGL156W"	-0.086	0.399	1.026	3.625	0.544	3.375	3.179	3.485	2.874	-1.985	-0.898	0.966	-1.666	-2.483	0.949	0.854	0.695	4.377	4.521	4.625	4.645	5.069	5.027	5.027	2.749	0.476	1.111	3.372	3.335	3.32	3.359	2.737	4.166	4.322	3.981	4.487	4.716	3.456	0.855	0.946	1.045	0.891	0.438	1.196	1.081	0.5	0.685	1.189	3.83	3.063	3.122	2.52	2.321	2.341	3.58	-0.846	-0.907	-1.225	-1.608	-2.785	-1.619	0.784	2.521	0.816	2.455	-0.38	0.271	1.405	1.692	1.102	0.897	1.385	1.369	0.012	1.565	1.2625	1.7435	1.091	1.173	1.7085	1.6145	1.2625	0.4685	1.5185	1.3155	2.0345	2.183	1.7595	2.233	1.841	1.3495	1.995	0.8565	1.2345	1.2265	0.8995	1.0855	0.4305	0.915
"YGL192W"	0.031	0.408	0.168	0.317	-0.078	0.04	0.392	0.798	0.545	-0.161	-0.082	-0.383	-0.087	-0.006	0.512	1.172	-0.061	2.077	1.847	2.102	1.774	1.845	2.403	3.302	0.969	0.085	0.192	0.298	0.543	1.135	-0.882	2.506	1.691	1.824	2.073	3.832	4.675	3.934	1.187	1.683	1.206	-0.092	1.502	1.129	0.762	1.035	0.861	0.799	1.291	0.001	0.543	1.005	0.783	1.008	0.074	0.025	-0.164	0.24	0.133	0.097	0.002	0.207	-0.6	0.076	-0.491	-0.324	0.326	0.078	-0.042	0.461	-0.662	1.43	1.358	-0.374	0.958	0.3915	0.1885	0.3585	0.8025	0.906	0.8795	0.753	0.0205	0.391	0.4	1.888	1.801	1.754	1.486	1.636	1.521	1.38	1.092	1.524	1.739	0.402	-0.157	0.678	-0.077
"YGR043C"	-1.205	1.482	3.734	5.04	4.645	5.049	2.61	5.232	4.833	-3.963	-0.016	0.193	-3.697	-2.827	1.146	3.939	4.576	5.679	4.9	5.707	5.692	6.003	5.571	5.458	4.673	1.282	1.454	4.765	4.955	3.827	4.843	5.014	5.207	5.063	5.593	5.207	6.53	5.288	3.962	3.122	4.853	2.076	4.445	5.025	5.539	3.618	4.531	4.874	4.615	1.446	3.238	3.293	2.744	3.369	5.961	-1.069	-1.179	0.169	0.467	0.114	0.044	3.806	4.694	4.377	4.705	2.476	3.152	4.843	4.579	4.573	4.017	3.904	3.572	0.2725	2.2535	1.3635	1.7145	2.283	1.9815	2.332	2.2925	2.669	1.9875	2.4195	1.967	5.792	5.627	4.968	6.098	5.083	4.91	5.837	3.37	3.555	3.447	2.639	3.577	3.205	2.841
"YGR052W"	-1.403	5.106	3.652	4.091	3.925	2.885	2.401	2.785	1.368	-4.912	-0.708	-0.671	-3.948	-0.535	-0.33	4.796	2.629	4.665	2.352	2.589	2.514	4.334	2.977	5.562	3.012	-0.629	-0.626	1.987	1.781	1.57	1.23	3.732	3.544	3.966	5.377	5.182	5.982	5.515	1.857	1.858	5.176	3.027	4.565	4.71	4.525	4.047	4.594	4.921	3.136	-1.007	0.092	-0.715	-1.734	-2.144	4.102	-0.845	-0.97	1.043	1.055	0.491	0.367	5.108	3.521	4.884	3.918	4.264	5.68	4.789	1.618	4.837	2.14	5.029	4.051	-0.022	1.776	1.037	1.218	2.7065	0.5245	1.9155	2.312	1.866	1.41	1.9445	2.4	3.566	2.384	3.017	4.507	3.246	2.255	3.166	2.125	2.377	1.61	1.653	1.848	1.824	2.0
"YGR088W"	-1.743	4.155	5.667	6.373	2.723	5.936	4.829	5.213	6.038	-3.879	-0.595	-1.509	-4.479	-3.309	1.857	4.484	4.317	6.03	3.589	5.131	5.593	6.165	5.734	4.754	3.901	2.144	2.408	3.493	3.678	3.823	4.067	4.878	5.242	6.064	6.265	5.206	6.919	6.036	3.937	3.389	5.535	3.303	4.761	5.015	4.802	4.026	4.788	5.016	4.381	4.123	4.536	4.467	3.584	3.827	6.94	-0.659	-1.121	1.561	1.2	2.455	1.777	4.807	4.652	4.961	4.689	3.721	5.339	5.379	4.207	4.971	3.96	4.358	4.853	0.368	2.851	1.396	2.293	2.387	2.682	2.343	2.442	2.339	1.424	1.398	2.349	4.087	3.753	4.258	6.174	5.244	3.587	5.949	3.814	3.89	3.224	1.888	2.789	2.023	1.757
"YGR146C"	-0.551	1.721	2.1845	1.718	1.5015	1.261	1.028	1.6335	1.625	-1.134	-0.369	0.084	-1.154	-0.651	0.833	0.36	0.391	2.732	3.071	2.87	3.77	4.615	4.645	3.072	1.227	1.381	1.535	0.716	1.975	2.587	2.702	2.975	2.774	3.395	3.401	1.653	0.307	0.177	1.729	2.15	0.327	-0.086	-0.109	-0.092	-0.601	-0.367	-0.549	-0.798	4.575	-1.081	0.128	0.845	0.052	0.381	1.646	0.131	0.382	0.166	0.1575	0.2135	0.0165	-0.1335	-0.0165	-0.077	-0.132	0.3325	-0.223	0.2245	-0.2805	0.738	0.251	-0.466	-0.9235	-0.6115	2.563	1.698	1.631	1.7945	2.5245	2.303	2.1705	2.7365	2.5155	2.4695	2.022	1.838	1.591	2.512	2.708	2.398	1.568	3.315	0.1	2.313	2.521	1.218	1.961	1.744	2.056
"YGR201C"	-0.117	0.443	1.2505	1.9395	1.9655	1.623	0.887	1.6385	1.929	-0.554	0.835	0.405	-0.375	-0.93	0.631	0.657	0.749	5.046	4.249	4.063	4.377	5.158	4.49	4.974	2.246	0.469	2.039	3.062	2.97	2.896	3.228	2.855	2.842	3.597	2.109	2.914	5.103	3.769	2.296	2.061	1.509	0.165	1.331	2.126	2.283	1.132	1.407	1.546	3.357	0.946	2.825	2.23	1.778	2.563	2.318	-0.588	-0.514	-0.431	-0.476	-0.72	-0.545	1.046	2.019	0.551	2.332	-0.011	0.779	1.614	2.156	0.492	1.542	1.777	2.029	-0.471	1.617	0.215	1.264	1.637	1.413	1.837	1.619	1.767	1.484	1.665	0.82	1.755	2.239	1.327	2.238	1.833	1.267	2.151	1.489	1.333	1.102	0.793	0.834	0.838	1.088
