	"514.2.5mM DTT 030 min"	"584.17 deg growth"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"6344.DES460 + 0.02% MMS - 5 min"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"8210.steady state 33 dec C"	"8235.dtt 480 min"	"11466.yO1 test hyb"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"30773.Pomona/Brown Sir3x red"	"37279.CC SP 1A  Sulfate-Phosphate Chemostat Comparison"
"YOR212W"	-0.313	-0.195	-1.1865	-0.9455	-0.111	-1.1545	-2.309	-0.7435	-1.678	-1.56	-0.914	-0.724	-1.114	-1.281	-2.231	-0.247	-0.062	-0.035	0.462	-0.388	-0.0805	-0.636	-0.308	-0.095	-0.198
"YOR239W"	0.713	-0.525	-1.1765	-1.31	-2.145	-3.232	-5.0985	-1.0745	-1.633	-1.8425	-2.053	-2.15	-3.149	-3.934	-3.704	-0.205	-0.449	0.021	0.371	-0.357	-0.43	-1.366	-0.1275	0.155	0.17
"YOR253W"	0.097	-0.697	-1.46	-1.575	-1.759	-2.7935	-5.157	-1.475	-1.538	-2.16	-1.139	-1.299	-1.872	-2.672	-2.633	-0.146	0.014	0.181	0.382	-0.225	-0.4125	-0.978	-0.398	0.166	-0.149
"YOR323C"	-0.609	-1.34	-1.757	-1.941	-2.0305	-4.2845	-6.434	-2.061	-2.106	-2.053	-1.557	-1.382	-2.742	-3.497	-3.428	0.153	-0.002	0.227	0.341	0.2495	-0.424	-1.603	0.324	0.15	0.048
"YOR326W"	-0.358	-1.6	-1.475	-1.329	-1.6295	-3.4635	-4.9875	-1.3315	-2.6115	-1.9335	-1.82	-2.099	-3.585	-3.591	-2.795	0.117	-0.539	0.205	0.517	0.6355	-0.2315	-1.467	-0.009	0.263	-0.216
"YOR360C"	-0.134	-0.397	-1.29266666666667	-1.65666666666667	-0.393666666666667	-1.71566666666667	-3.43133333333333	-0.991333333333333	-1.27766666666667	-1.13033333333333	-0.9695	-0.7785	-0.9355	-1.622	-1.719	0.065	-0.403	-0.4205	0.0875	-0.0666666666666667	0.491333333333333	-0.577	-0.976	0.219	-0.11
"YPL037C"	-0.255	-0.16	-1.9235	-1.975	-2.12	-3.9955	-5.417	-1.4435	-2.148	-1.96	-1.561	-1.872	-2.115	-3.222	-3.654	-0.106	0.42	0.237	0.387	-0.4	0.2175	-1.648	-0.571	0.134	-0.011
"YPL079W"	-0.104	-0.886	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-3.172	-3.0255	-3.112	-2.741	-3.087	-3.015	-3.498	-4.547	0.031	0.4	0.143	0.431	-0.043	0.227	-1.673	-0.808	-0.574	0.08
"YPL145C"	-0.378	-0.285	-1.104	-0.775	-0.5885	-1.659	-4.3865	-0.739	-1.177	-0.903	-0.903	-0.913	-2.014	-2.71	-3.192	0.122	-0.254	0.167	0.024	-0.1245	0.0455	-0.878	-0.112	0.215	-0.449
"YPL160W"	-0.075	-0.792	-1.608	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-2.35066666666667	-2.11133333333333	-1.59566666666667	-2.449	-2.824	-3.1695	-3.499	-2.977	0.0515	0.0143333333333333	0.0565	0.347	0.93	-0.192666666666667	-1.8045	-0.6225	0.309	0.078
"YPL178W"	-0.0715	-0.1945	-0.3995	-0.866	-0.909	-2.0395	-3.2495	-0.131	-0.3965	-0.2915	-1.104	-1.052	-1.535	-1.511	-1.922	0.044	0.191	0.165	0.386	-0.1705	-0.304	-0.741	-0.082	0.064	-0.285
"YPL226W"	-0.684333333333333	-0.432666666666667	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-2.503	-2.786	-2.922	-2.3985	-2.8955	-3.407	-2.9025	-3.983	-0.0735	-0.372666666666667	0.0465	0.249	0.427333333333333	0.138666666666667	-1.7375	-0.475	0.2765	0.266
"YPL237W"	0.421	-0.185	-2.3465	-2.029	-2.27	-2.875	-5.7585	-1.39	-1.8945	-2.2035	-1.817	-1.927	-2.006	-2.44	-3.024	0.071	-0.087	0.179	0.693	-0.1045	0.2095	-1.537	-0.241	-0.081	-0.213
"YPR033C"	-0.186	-0.7525	-1.908	-2.534	-2.142	-4.8805	-7.94	-2.0735	-2.759	-2.6225	-2.096	-2.55	-3.951	-4.382	-4.54	0.015	0.0695	0.242	0.645	0.16	0.196	-2.107	-0.952	0.327	0.328
"YPR036W"	-0.48	-1.148	-0.846	-0.7775	-0.8585	-2.899	-5.024	-1.45	-1.5855	-1.4335	-0.31	-0.63	-1.322	-1.843	-1.274	-0.333	0.159	0.247	0.541	0.295	-0.4675	-0.765	0.117	0.23	-0.143
"YPR063C"	-0.001	-0.9325	-0.838	-0.4305	-0.718	-1.6485	-2.9805	-0.775	-1.119	1.289	-0.584	-0.25	-0.701	-1.042	-1.306	-0.207	0.377	-0.019	-0.106	-0.0625	0.3355	-0.59	-0.181	0.064	0.0885
"YPR129W"	-0.2955	-0.6345	-0.8795	-1.3305	-1.0935	-1.8015	-6.025	-0.4075	-1.057	-0.8035	-1.085	-1.288	-1.298	-2.61	-2.139	-0.391	0.178	0.135	0.573	-0.1015	-0.3215	-0.88	0.127	0.088	-0.065
"YPR163C"	0.7075	-0.4335	-1.717	-1.8375	-0.93	-2.9485	-5.4905	-2.469	-2.6395	-2.0525	-2.05	-2.325	-2.642	-2.895	-2.82	-0.06	-0.204	-0.192	0.628	-0.091	-0.317	-2.145	-0.827	0.195	-0.321
"YPR187W"	0.3645	-0.606	-1.8265	-1.511	-1.4365	-3.609	-5.408	-2.232	-2.16	-1.962	-1.816	-2.016	-2.28	-2.584	-3.22	-0.039	0.111	-0.181	0.586	-0.1895	-0.126	-1.604	-0.931	0.088	-0.141
