	"812.1M sorbitol - 45 min (* centrifugation problem)"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"
"YJL171C"	0.3375	-2.4145	-3.3795	-0.1365	-0.142	-1.299	-1.258	-1.8955	-0.775	-0.9285	-1.8325	-2.014	-1.1115	0.0985	0.200333333333333	0.0355	0.0635	-0.057	0.3275	-0.9865	-1.3015	-0.9875	-0.9785	-0.447	-0.3655
"YJL183W"	-0.109	-2.097	-4.986	-0.912	-2.067	-1.218	-1.21	-1.424	-1.436	-1.333	-1.66	-2.208	-2.121	0.247	0.0265	0.111	0.093	0.018	0.037	-0.968	-0.825	-0.931	-0.987	-0.605	-0.501
"YJL192C"	0.238	-3.649	-4.214	-0.323	-0.886	-0.861	-1.29	-1.458	-1.289	-0.942	-1.68	-2.446	-1.599	0.043	0.018	0.506	-0.102	0.381	0.502	-0.989	-1.18	-1.417	-1.382	-0.283	-0.193
"YJR007W"	0.047	-3.21	-8.057	-1.049	-1.588	-1.339	-1.824	-1.91	-1.848	-2.051	-2.909	-3.009	-3.616	-0.054	0.099	0.37	0.107	0.218	-0.059	-1.412	-1.481	-1.506	-1.159	-0.563	-0.572
"YJR064W"	-0.293	-1.931	-4.297	-1.081	-2.003	-2.214	-1.978	-1.919	-1.592	-1.762	-1.961	-2.702	-2.57	0.016	0.09	0.863	0.775	0.611	0.549	-1.091	-1.12	-0.872	-1.372	-0.065	0.287
"YJR155W"	-0.024	4.25	1.909	0.639	0.962	1.689	1.485	0.592	3.029	3.8	3.105	4.435	2.971	0.142	0.229	1.414	1.532	1.609	1.807	1.314	2.375	2.196	3.209	0.324	0.688
"YKL018W"	-0.177	-2.638	-1.649	-0.273	-0.647	-0.607	-0.467	-0.978	-0.865	-0.984	-1.816	-2.077	-1.841	-0.08	0.0345	0.082	0.009	0.079	0.104	-0.718	-0.592	-0.673	-0.471	-0.05	-0.183
"YKL026C"	1.487	5.561	6.641	1.697	3.848	3.239	3.305	3.067	3.137	3.607	4.354	3.97	3.468	0.101	-0.1325	0.434	0.24	0.264	0.271	2.371	2.834	2.644	2.609	0.59	0.631
"YKL073W"	0.221	-2.672	-3.282	-0.306	-1.348	-1.282	-1.264	-1.963	-0.985	-1.089	-2.148	-2.623	-3.195	-0.069	0.183	0.679	0.777	0.5	0.396	-1.623	-1.319	-1.269	-1.297	-0.154	-0.115
"YKL080W"	0.453	-4.229	-5.94	-0.208	-0.874	-0.756	-1.461	-1.699	-1.299	-1.962	-2.874	-2.944	-2.866	0.172	0.3535	0.139	0.046	-0.025	0.285	-1.168	-1.409	-1.635	-1.479	-0.341	-0.101
"YKL127W"	-0.019	-3.89	-5.619	-0.579	-1.273	-1.132	-1.708	-1.963	-0.069	-1.171	-1.956	-2.206	-1.858	-0.364	0.098	-0.071	-0.121	-0.277	-0.2	-0.972	-1.023	-1.654	-1.66	0.579	-0.048
"YKL209C"	-0.254	-2.141	-3.7	0.742	-0.921	-0.661	-1.569	-2.655	-1.464	-2.155	-2.666	-3.668	-3.575	-0.469	0.758	0.044	0.128	-0.069	0.018	-1.569	-2.327	-2.637	-3.589	0.252	0.254
"YKL212W"	-0.189	-3.014	-4.806	-0.353	-1.409	-1.065	-1.651	-1.64	-1.656	-1.598	-2.516	-2.929	-3.374	-0.068	-0.31	0.293	0.323	0.166	0.112	-1.816	-1.943	-2.101	-2.073	-0.259	-0.312
"YLL041C"	0.27	5.281	2.506	1.219	2.342	2.74	2.712	2.855	3.693	3.746	4.25	4.703	3.334	-0.018	0.179	-0.717	-0.814	-0.4	-0.343	1.415	1.799	1.493	2.09	-0.235	-0.029
