	"681.YP galactose vs reference pool"	"801.Heat Shock 030inutes"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2555.Hypo-osmotic shock -30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"2560.29C to 33C - 15 min"	"4872.1M sorbitol - 60 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"13067.Na/Na+FK 45min (1)"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"
"YKL056C"	0.117	-1.022	-1.541	-1.771	-3.426	-5.119	-2.371	-2.389	-1.669	-1.741	-2.281	-2.754	-3.265	-3.483	0.363	0.54	0.555	-0.291	0.072	0.799	0.599	-1.777	-1.76	-1.251	-1.522	-1.362	0.145	-0.769	-0.94	0.777
"YKL073W"	-0.457	-0.193	-0.732	-0.623	-2.672	-3.282	-1.264	-1.963	-0.99	-0.985	-1.089	-2.148	-2.623	-3.195	0.208	0.365	0.339	-0.081	-0.069	-0.151	0.15	-0.838	-1.623	-1.319	-1.269	-1.297	-0.752	-0.497	-0.739	-0.22
"YKL212W"	0.018	0.361	-1.247	-1.079	-3.014	-4.806	-1.651	-1.64	-0.736	-1.656	-1.598	-2.516	-2.929	-3.374	0.291	0.429	0.461	0.345	-0.068	0.135	0.22	-1.089	-1.816	-1.943	-2.101	-2.073	-1.359	-0.26	0.035	-0.022
"YKR059W"	0.294	-0.823	-1.543	-1.54	-2.817	-4.998	-2.531	-2.238	-1.043	-1.844	-2.106	-2.623	-2.96	-3.568	0.544	0.673	0.499	-0.301	0.062	1.013	0.549	-1.996	-1.627	-1.854	-2.344	-1.696	0.279	-0.098	0.313	-0.004
"YKR082W"	0.0	-0.231	-0.67	-1.122	-2.473	-2.648	-0.832	-1.633	-1.054	-0.885	-1.249	-1.45	-1.895	-2.598	0.102	0.02	0.137	-0.038	-0.053	0.069	0.251	-0.573	-1.238	-0.834	-0.891	-0.843	-0.672	-0.574	-0.351	-0.104
"YLL044W"	-0.995	-1.909	-2.211	-2.963	-3.79	-6.48	-3.269	-2.156	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	0.197	0.256	0.342	-0.452	-0.086	0.996	0.87	-2.227	-1.93	-1.508	-1.37	-1.373	0.408	-0.204	0.232	0.148
"YLL045C"	0.164	-1.667	-1.64	-2.221	-3.857	-6.618	-3.185	-2.744	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	0.366	0.593	0.455	-0.311	0.223	1.273	0.9	-2.165	-1.749	-0.995	-1.237	-1.078	0.077	-0.288	-0.105	0.187
"YLR060W"	-0.551	-0.286	-2.499	-2.849	-4.941	-5.967	-2.672	-2.566	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	0.276	0.199	0.224	-0.11	-0.212	0.851	0.049	-2.464	-1.72	-1.77	-1.452	-2.018	-0.424	-0.247	-0.34	0.017
"YLR061W"	0.124	-1.104	-2.908	-3.127	-4.939	-6.591	-3.021	-3.058	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	0.048	0.317	0.377	-0.238	0.078	0.841	0.671	-2.482	-1.368	-1.342	-1.363	-0.747	-0.703	-0.938	-0.516	0.367
"YLR062C"	-0.693	-1.264	-3.127	-4.077	-5.705	-6.896	-3.965	-3.18	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	0.224	0.518	0.507	-0.293	0.023	0.842	0.812	-2.675	-2.666	-1.934	-2.16	-1.658	-0.132	-2.077	-1.822	0.153
"YLR083C"	-0.472	-0.518	-2.021	-2.216	-3.767	-5.137	-0.41	-0.858	-1.494	-2.031	-2.545	-2.29	-3.88	-3.36	0.22	0.222	0.203	-0.756	0.145	0.538	0.819	-2.297	-2.339	-2.644	-3.016	-2.773	-0.158	-1.126	-0.485	-0.042
"YLR153C"	0.383	-0.105	-0.867	-1.497	-4.481	-5.598	-0.269	-0.671	0.537	-1.29	-2.312	-3.578	-3.672	-3.394	-0.05	0.152	-0.091	0.039	-0.102	-0.34	-0.526	-0.699	0.089	-0.833	-1.307	-2.153	-0.59	0.161	-0.026	0.401
"YLR192C"	0.159	0.044	-1.651	-1.665	-2.456	-4.349	-1.867	-1.0	-1.655	-2.008	-1.414	-1.566	-2.165	-2.147	0.259	0.376	0.29	0.019	-0.082	0.728	0.58	-1.922	-0.781	-1.173	-0.953	-2.335	-0.278	-0.995	-1.457	0.348
"YLR197W"	-0.622	-2.02	-2.789	-3.255	-4.736	-5.242	-3.258	-3.282	-2.611	-3.067	-3.716	-4.423	-4.976	-5.033	0.464	0.357	0.193	-1.497	0.131	1.334	1.415	-2.488	-3.052	-3.145	-3.099	-2.81	-0.829	-1.851	-0.691	0.248
"YLR208W"	-0.422	0.03	-1.266	NaN	-1.968	-4.432	-1.568	-2.018	-1.003	-1.454	-1.248	-1.898	-2.183	-2.499	0.111	-0.029	-0.033	0.099	-0.252	0.527	0.234	-1.044	-1.398	-1.331	-1.525	-1.497	0.29	-0.194	-0.153	0.095
"YLR243W"	0.337	-0.446	-1.307	-2.063	-1.955	-3.657	-1.501	-1.433	-1.292	-1.413	-1.404	-1.542	-2.373	-1.983	0.304	0.101	0.011	-0.476	0.041	0.596	0.325	-0.503	-0.59	-0.349	NaN	0.037	-0.273	-0.574	-0.084	0.134
"YLR264W"	0.263	-0.695	-1.529	-1.693	-2.597	-5.152	-2.616	-2.15	-2.236	-2.241	-2.158	-1.649	-2.334	-2.391	0.385	0.441	0.631	0.049	-0.175	0.471	0.682	-1.833	-1.844	-1.555	-1.912	-1.491	0.529	-0.85	-0.651	0.41
"YLR285W"	-0.615	-0.378	-2.207	-2.41	-2.874	-2.515	-1.263	-1.846	-1.842	-2.107	-2.586	-2.037	-2.315	-2.333	-0.111	-0.099	-0.173	-0.274	0.015	0.265	0.324	-1.738	-1.208	-1.456	-1.629	-1.425	-0.023	-0.464	-0.325	0.12
"YLR293C"	-0.177	-0.526	-2.207	-2.675	-3.488	-6.281	-2.233	-2.661	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	0.176	0.315	0.32	-0.2	0.078	0.971	1.019	-2.235	-1.553	-1.559	-1.887	-1.39	0.018	-1.365	-1.025	0.211
"YLR314C"	-0.189	0.074	-1.783	-1.658	-2.218	-5.585	-1.368	-1.023	-1.702	-2.505	-2.761	-2.906	-3.447	-3.937	-0.254	-0.076	0.056	0.252	-0.075	-0.058	-0.159	-1.17	-2.48	-2.682	-2.101	-3.019	0.092	-0.278	-0.239	0.363
"YLR359W"	0.156	-0.567	-0.942	-1.705	-2.567	-5.36	-0.567	-0.623	0.448	-0.538	-1.047	-1.039	-1.681	-1.828	-0.116	-0.122	-0.177	-0.478	0.14	0.539	0.722	-1.225	-1.025	-1.434	-1.434	-1.408	0.159	-0.512	0.46	0.287
"YML008C"	-0.64	-0.185	-0.575	-2.236	-4.23	-4.829	-1.94	-1.09	-0.601	-2.014	-3.366	-3.358	-5.162	-3.504	0.61	0.677	0.657	0.254	0.03	0.074	-0.272	-1.469	0.345	-1.144	-1.811	-1.669	-0.706	-0.822	-0.589	0.005
"YML021W"	-0.114	0.658	-0.815	-0.465	-1.877	-3.917	-0.834	-0.874	-1.119	-1.375	-0.867	-1.095	-1.919	-1.511	0.157	0.354	0.162	0.07	0.017	-0.311	0.036	-1.1	-1.356	-1.049	-1.103	-0.972	-0.261	-0.541	NaN	NaN
"YML022W"	-0.455	-0.912	-1.985	-2.389	-3.146	-3.98	-2.096	-2.796	-1.809	-2.266	-2.26	-2.846	-3.092	-3.144	0.509	0.356	0.301	-0.49	-0.154	1.072	0.901	-1.833	-2.249	-1.856	-1.993	-1.54	-0.176	-0.842	-0.354	0.069
"YML074C"	0.062	-0.853	-0.951	-2.161	-2.837	-5.319	-1.664	-0.962	-0.727	-1.207	-1.673	-2.826	-3.214	-3.466	0.267	0.335	0.143	-0.275	-0.02	1.252	1.274	-1.767	-1.569	-1.058	-1.082	-1.062	0.079	-0.135	-0.438	0.362
"YML085C"	0.268	-0.412	-2.478	-1.372	-3.379	-4.526	-2.04	-2.802	-0.504	-1.408	-1.564	-1.907	-2.298	-2.55	-0.441	-0.189	0.173	0.182	0.135	0.227	-0.358	-1.886	-1.682	-1.451	-1.872	-1.768	-0.134	-0.605	-0.512	-0.443
"YMR114C"	-0.627	0.181	2.847	2.327	4.1	4.572	2.58	2.319	1.024	2.032	2.343	3.614	3.555	3.502	-0.505	-0.413	-0.057	0.693	0.124	-0.746	-0.315	1.879	1.207	1.404	1.851	1.502	0.115	0.053	-1.097	0.365
"YMR183C"	0.0	0.189	0.095	-0.575	-2.084	-4.412	-1.237	-0.982	-0.954	-0.806	-0.781	-0.924	-1.875	-1.014	0.088	0.31	0.448	-0.036	-0.264	-0.064	0.256	-0.855	0.091	-0.085	-0.677	-1.193	0.179	-0.664	-0.485	0.087
"YMR235C"	0.076	-0.286	-1.783	-1.785	-3.534	-5.187	-1.879	-2.052	-1.439	-2.046	-2.046	-2.838	-3.21	-3.756	0.213	0.165	0.111	-0.132	0.196	0.893	0.527	-1.782	-1.955	-1.504	-1.586	-1.878	0.122	0.072	0.213	0.157
"YMR308C"	-0.036	-0.132	-1.165	-1.375	-3.091	-4.033	-0.193	-1.36	-1.539	-2.014	-1.774	-2.239	-2.796	-2.451	0.442	0.4	0.235	-0.102	0.006	0.706	0.65	-1.504	-2.395	-1.855	-2.005	-2.254	-0.418	-0.615	-0.073	-0.083
"YMR309C"	-1.015	-0.526	-1.855	-1.52	-3.731	-3.516	-1.881	-2.64	-1.914	-1.926	-2.303	-3.144	-3.173	-3.384	0.173	0.089	-0.004	-0.506	-0.046	1.289	1.269	-1.607	-2.067	-1.828	-1.969	-1.831	-0.416	-0.858	-0.073	-0.285
"YMR321C"	-0.018	-1.109	-2.55	-2.298	-3.288	-3.811	-2.22	-2.53	-1.952	-1.913	-2.8	-2.409	-2.567	-2.424	0.25	0.214	0.162	-0.611	-0.034	0.946	1.034	-2.3015	-1.245	-1.722	-2.353	-1.963	0.429	-0.238	-0.687	0.937
"YNL001W"	-0.256	-0.264	-1.065	-0.887	-1.318	-3.241	-0.717	-1.239	-0.964	-1.24	-1.077	-1.116	-1.395	-1.761	0.213	0.095	0.027	-0.421	-0.103	0.545	0.511	-0.914	-0.508	-0.539	-0.896	-0.864	-0.166	0.139	0.214	-0.053
"YNL089C"	-0.229	-0.005	-1.439	-1.631	-2.333	-2.142	-1.259	-1.803	-1.017	-1.872	-1.565	-1.866	-1.819	-2.26	-0.082	0.004	0.094	0.054	0.023	0.005	-0.407	-0.868	-0.552	-0.354	-0.772	-0.516	0.417	-0.243	-0.436	0.057
"YNL090W"	0.415	-0.477	-1.485	-1.166	-2.438	-2.292	-1.032	-1.162	-1.181	-1.304	-1.549	-1.844	-1.862	-2.234	-0.141	0.022	0.06	0.05	0.056	0.07	-0.456	-1.4075	-0.558	-0.739	-0.784	-0.416	0.596	-0.191	-0.059	-0.026
"YNL096C"	0.287	-1.018	-2.81	-3.616	-4.038	-6.106	-2.761	-3.165	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	0.119	0.381	0.323	-0.456	-0.057	1.315	1.004	-2.8625	-2.296	-1.647	-1.704	-1.302	0.166	-2.207	-0.804	0.165
"YNL154C"	-0.238	-0.024	-1.0	-1.128	-1.871	-3.909	-1.037	-0.547	-1.071	-0.946	-1.374	-1.346	-2.5	-2.113	0.021	0.102	0.07	0.075	-0.208	0.635	0.849	-1.3335	-0.908	-1.218	-1.093	-1.784	0.285	-0.298	-0.161	0.125
"YNL220W"	-0.041	-0.038	-1.92	-1.445	-3.758	-6.09	-0.66	-1.475	0.6	-0.618	-1.771	-1.724	-2.555	-3.197	-0.632	-0.459	-0.325	-0.077	0.111	0.922	0.742	-1.597	-1.49	-1.266	-1.287	-1.242	0.078	-0.021	0.64	0.501
"YNL247W"	-0.047	-0.766	-1.822	-1.928	-3.191	-4.64	-2.13	-2.019	-1.062	-1.899	-2.277	-2.658	-3.388	-2.515	0.563	0.518	0.363	-0.214	-0.061	0.979	0.866	-1.655	-1.822	-2.534	-2.379	-3.057	-0.142	-1.633	-1.472	0.33
"YNR043W"	-0.072	-1.0705	-1.86	-2.628	-2.934	-5.1565	-1.949	-1.8335	-1.59	-2.078	-2.382	-2.655	-3.803	-3.856	0.51	0.55	0.51	-0.195	-0.264	0.454	-0.155	-1.878	-1.559	-1.841	-1.612	-1.996	-0.374	-0.247	-0.201	0.141
"YOL090W"	-0.633	0.142	-0.521	-0.362	-1.354	-4.777	-1.689	-0.7625	-0.927	-0.933	-1.373	-3.071	-3.492	0.263	0.123	0.179	0.174	0.8	0.08	-0.901	0.255	-0.615	-2.078	-1.041	-1.475	-1.23	0.244	-0.541	-0.254	-0.552
"YOR168W"	0.019	-0.2605	-1.261	-1.7945	-1.984	-4.808	-1.8785	-1.355	-1.423	-1.54	-1.525	-2.348	-2.353	-2.604	0.625	0.476	0.463	-0.021	-0.074	0.679	0.751	-1.844	-1.925	-1.594	-2.172	-1.957	0.06	-0.829	-0.049	0.257
"YOR198C"	0.207	-0.0935	-1.6725	-1.933	-4.452	-5.562	-1.262	-0.9675	-1.543	-2.3	-2.828	-4.384	-4.657	-4.415	0.194	0.329	0.312	0.033	0.253	0.46	0.518	-2.297	-2.749	-2.555	-2.772	-2.855	0.169	-0.037	-0.012	0.025
"YOR239W"	-0.204	-0.4555	-1.31	-2.145	-3.232	-5.0985	-1.633	-1.8425	-1.273	-2.053	-2.15	-3.149	-3.934	-3.704	0.243	0.23	0.309	-0.188	-0.205	0.754	0.647	-1.366	-1.963	-1.992	-1.951	-1.867	-0.1715	-0.572	-0.2755	0.427
"YPL010W"	-0.263	0.0785	-1.5815	-1.6325	-3.3685	-3.598	-1.946	-1.8565	-1.005	-1.349	-1.499	-2.935	-2.898	1.643	0.234	0.118	0.241	0.335	-0.009	0.059	-0.001	-1.143	-1.665	-1.502	-1.44	-0.973	0.573	0.013	0.47	-0.18
"YPL079W"	0.067	-1.101	-2.3565	-2.6495	-3.892	-6.4765	-3.0255	-3.112	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	0.199	0.527	0.467	-0.182	0.031	1.127	0.718	-1.673	-2.001	-1.716	-1.575	-1.04	-0.191	-1.111	-0.789	0.111
"YPL081W"	0.018	-0.427	-2.508	-3.086	-3.4025	-6.801	-2.428	-2.3315	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	0.337	0.584	0.656	0.191	0.099	0.725	0.105	-1.844	-1.895	-1.906	-1.527	-1.466	-0.29	-0.856	-0.371	0.148
"YPL090C"	-0.318	-1.1425	-2.57	-2.203	-4.364	-6.197	-3.3795	-3.2385	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	0.254	0.389	0.525	-0.186	-0.045	0.958	0.445	-2.061	-2.127	-1.378	-1.342	-1.256	0.484	-0.443	-1.019	0.215
"YPL094C"	-0.735	-0.061	-1.14	-1.143	-3.0415	-5.3055	-1.6665	-1.6385	-0.976	-1.142	-1.061	-2.024	-2.284	-2.741	0.017	0.001	0.07	-0.166	-0.303	0.448	0.338	-0.981	-1.181	-1.112	-1.284	-1.07	0.415	0.316	-0.412	0.015
"YPL142C"	0.053	-0.6385	-1.78	-1.891	-3.5865	-5.604	-2.8235	-2.16	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	0.571	0.689	0.686	0.046	0.2	1.079	0.812	-2.011	-1.836	-1.152	-1.22	-1.19	0.807	-1.032	-0.69	0.294
"YPL147W"	0.363	0.316	3.802	3.194	5.74466666666667	5.18233333333333	2.694	2.44766666666667	2.8035	2.074	2.4785	4.8195	4.6645	4.599	0.0095	-0.229	-0.1365	0.055	-0.0485	-0.223	-0.2795	2.8235	1.0485	1.008	1.227	1.512	-0.45	-0.141	-0.3035	-0.512
"YPL160W"	0.068	-0.383666666666667	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-2.11133333333333	-1.59566666666667	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	0.547	0.7685	0.5555	-0.0095	0.0515	0.543	1.2255	-1.8045	-2.4615	-2.584	-2.827	-2.7275	-0.3115	-1.3465	-0.944	0.7735
"YPR033C"	-0.744	-0.562	-2.534	-2.142	-4.8805	-7.94	-2.759	-2.6225	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	0.519	0.458	0.431	-0.185	0.015	0.925	0.736	-2.107	-2.213	-2.318	-2.374	-2.285	0.28	-0.809	-0.749	0.506666666666667
"YPR102C"	0.241	-1.2305	-2.7315	-2.6455	-4.045	-6.451	-3.673	-3.277	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.152	0.43	0.413	-0.304	0.219	0.923	0.68	-2.384	-2.243	-1.685	-1.678	-1.328	0.418	-0.62	-0.231	0.274
"YPR118W"	0.229	-0.9355	-2.706	-3.095	-3.9965	-5.524	-2.305	-2.577	-1.488	-2.594	-2.077	-2.882	-3.334	-3.538	0.35	0.439	0.25	-0.774	0.036	0.874	0.585	-1.794	-1.462	-0.745	-1.217	-1.063	0.304	-0.176	-0.144	0.114
"YPR129W"	-0.466	-0.013	-1.3305	-1.0935	-1.8015	-6.025	-1.057	-0.8035	-0.966	-1.085	-1.288	-1.298	-2.61	-2.139	0.383	0.601	0.655	0.425	-0.391	0.218	0.693	-0.88	-0.59	-1.173	-0.655	-1.829	-0.007	-1.056	-0.8	-0.159
"YPR150W"	-0.456	0.5045	3.983	3.526	6.801	7.0395	3.446	4.025	2.319	2.101	2.954	4.069	3.943	3.963	-0.622	-1.094	-0.345	0.771	0.058	-0.609	-0.704	2.612	2.111	2.072	1.781	2.413	0.315	0.37	0.581	0.349
"YPR163C"	-0.818	-1.3005	-1.8375	-0.93	-2.9485	-5.4905	-2.6395	-2.0525	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	0.642	0.629	0.538	-0.969	-0.06	0.634	1.056	-2.145	-1.345	-1.666	-1.832	-2.618	-0.258	-0.375	-0.232	0.275
