	"59.alpha factor release sample013"	"409.heat shock 25 to 37, 20 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1109.alpha factor release sample014"	"8210.steady state 33 dec C"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12741.Nitrogen Depletion 1 h"	"12742.Nitrogen Depletion 2 h"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"42045.L1CompR 05 hr 15 min Leucine Batch vs Chemostat Comparison"	"42046.L1CompR 07 hr 05 min Leucine Batch vs Chemostat Comparison"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"	"42390.CC LS 1B Leucine-Sulfate Chemostat Comparison"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42393.L2 CompR 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YOR310C"	-0.085	-4.639	-6.006	-3.92	-3.4655	-3.0705	-3.303	-3.319	-4.7765	-7.1385	-1.0005	-2.5655	-3.766	-3.585	-3.5415	-2.603	-5.777	-2.773	-3.838	-4.105	-4.745	-5.099	-4.866	-0.424	-0.1775	-2.849	-2.67	-2.411	-0.33	-4.564	-4.629	-3.407	-5.14	-4.292	-3.502	-2.073	0.655	-1.468	-1.353	-0.012	0.46	0.014	0.397	-1.189	-1.036	-0.909	-1.184	-1.042
"YOR323C"	-0.118	-0.217	-2.5575	-1.7105	-1.401	-1.757	-1.941	-2.0305	-4.2845	-6.434	-0.408	-1.2325	-1.9425	-2.061	-2.106	-2.053	-1.211	-0.904	-1.557	-1.382	-2.742	-3.497	-3.428	-0.571	0.2495	-1.603	-1.289	0.468	0.264	-2.366	-2.03	-1.94	-1.927	-1.64	-1.589	-1.584	0.429	-3.125	-1.397	0.473	0.476	0.149	-0.216	-0.6	-0.575	-0.532	-0.56	-0.313
"YOR345C"	-0.454	-1.721	-1.699	-0.9875	-0.919	-0.807	-0.5	-0.542	-0.9555	-2.4785	0.0315	-1.0775	-1.4945	-1.121	-0.2035	-1.0685	-1.665	-1.253	-0.694	-0.539	-1.084	-1.785	-1.66	-0.322	0.257	-0.02	-0.322	-0.308	0.296	0.141	-0.052	0.138	-0.336	-0.14	0.069	-0.777	-0.146	-1.278	-0.758	0.321	0.192	0.203	NaN	0.162	NaN	-0.633	-0.117	-0.209
"YOR361C"	0.047	-1.489	-1.94833333333333	-1.73166666666667	-1.46466666666667	-1.54333333333333	-1.84133333333333	-2.513	-2.869	-2.21	-0.569666666666667	-0.806	-1.595	-0.816666666666667	-0.941666666666667	-2.198	-2.3735	-1.763	-2.3155	-1.899	-2.266	-1.977	-2.109	-0.418	0.254333333333333	-2.009	-1.9175	-1.1565	-0.61	-3.164	-2.531	-2.216	-2.444	-2.215	-2.035	-2.389	0.341	-1.431	-0.992	0.133	0.199	0.393	-0.267	-0.18	-0.257	-0.118	-0.35	-0.28
"YPL079W"	0.125	-3.115	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-1.563	-1.7255	-3.085	-3.172	-3.0255	-3.112	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	-0.598	-0.043	-1.673	-2.001	-2.132	-1.191	-2.865	-2.753	-2.74	-3.573	-3.431	-2.725	-2.785	0.186	-0.235	-2.035	-0.041	0.079	-0.077	-1.112	-0.721	-0.395	-0.302	-0.573	-1.115
"YPL081W"	-0.061	-2.931	-4.5065	-3.3595	-3.199	-3.083	-2.508	-3.086	-3.4025	-6.801	-0.895	-1.7785	-2.5355	-2.916	-2.428	-2.3315	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	-0.841	-0.048	-1.844	-1.895	-1.819	-0.763	-3.083	-2.359	-1.427	-3.939	-2.717	-2.656	-3.157	-0.191	-0.312	-0.873	-0.027	0.294	0.037	-0.191	-0.736	-0.577	-0.312	-0.685	-0.632
"YPL142C"	0.129	-2.913	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-5.604	-1.525	-2.088	-2.825	-3.3035	-2.8235	-2.16	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	0.229	0.042	-2.011	-1.836	-2.226	-0.793	-3.763	-3.021	-2.696	-3.677	-3.278	-2.971	-3.35	0.23	-1.692	-2.092	0.191	0.542	-0.222	-0.809	0.125	0.134	0.254	-0.058	-0.123
"YPL198W"	0.102	-3.084	-4.269	-3.194	-2.836	-2.46	-2.218	-2.395	-4.3605	-6.879	-1.2855	-1.632	-3.4825	-3.3185	-3.022	-2.766	-3.875	-2.024	-2.227	-2.449	-2.487	NaN	-3.133	-0.18	-0.0955	-1.633	-2.16	-1.73	-0.753	-4.2325	-3.528	-3.0615	-3.4955	-4.5575	-2.68	-3.5	0.33	-2.138	-1.4855	0.5225	0.4525	0.369	-0.5225	-1.0425	-0.8185	-0.7515	-1.036	-1.1025
"YPR074C"	0.274	-1.267	-3.2435	-2.5595	-2.0485	-2.134	-3.2975	-2.2945	-5.337	-5.42	-0.3545	-1.4365	-3.374	-2.2005	-3.7185	-4.2955	-3.649	-1.5	-2.351	-3.162	-3.369	-3.61	-3.663	-0.112	0.455	-3.132	-3.257	-1.071	-0.447	-4.473	-3.729	-1.348	-2.351	-3.123	-1.997	-3.18	1.15	-2.339	-0.911	0.294	-0.387	0.476	-0.03	0.103	-0.346	-0.071	-0.332	-0.274
"YPR102C"	0.271	-3.37	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-2.6455	-4.045	-6.451	-1.274	-1.4375	-3.5055	-4.118	-3.673	-3.277	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.002	-0.1255	-2.384	-2.243	-1.523	-0.665	-3.927	-2.614	-2.344	-4.015	-3.517	-2.547	-3.247	0.388	-0.77	-1.317	-0.003	0.455	0.005	-0.805	-0.354	-0.05	-0.07	-0.369	-0.381
"YPR132W"	0.123	-1.788	-2.849	-3.586	-3.351	-1.806	-2.6445	-2.672	-3.1925	-5.805	-1.409	-1.4195	-2.5895	-3.048	-2.967	-2.8485	-3.788	-1.948	-2.214	-2.292	-1.968	-2.388	-3.151	-0.486	0.115	-2.217	-1.375	-1.612	-0.841	-2.884	-2.466	-2.174	-2.903	-2.829	-2.063	-2.893	0.066	-1.253	-0.366	0.041	0.146	-0.004	-0.595	-0.345	-0.101	0.068	-0.23	-0.286
