	"59.alpha factor release sample013"	"104.alpha factor release sample024"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"651.alpha factor release sample019"	"781.Heat Shock 000 minutes (series 2)"	"802.Heat Shock 060 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1105.alpha factor release sample023"	"1109.alpha factor release sample014"	"1250.mec1_plus_gamma_10_min"	"1252.mec1_plus_gamma_30_min"	"1253.mec1_plus_gamma_45_min"	"2141.Elutriation2:Sample2:Time1.0hrs"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"4872.1M sorbitol - 60 min"	"7549.33C no sorbitol 5 min"	"7760.Na 45min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8234.dtt 240 min"	"8235.dtt 480 min"	"11466.yO1 test hyb"	"14761.Ca 30min (1)"	"17473.Ca+FK 30min (5)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YKL009W"	0.186	-0.442	-4.13	1.489	0.148	1.639	-0.16	-5.997	-3.719	-3.38	-2.839	-2.973	-2.449	-3.082	-6.168	-3.144	-2.368	-2.098	-4.341	-2.546	-2.432	-2.856	-2.349	-3.318	-2.938	-0.271	-1.412	-0.912	0.371	0.319	-0.863	0.232	0.222	0.251	-0.668	-2.841	-2.592	-2.565	-1.783	0.004	-2.269	-1.961	-1.546	-2.602	-2.728	-4.823	-3.636	-3.036
"YKL026C"	0.137	-0.046	1.793	-1.322	0.216	-1.167	-0.256	4.553	3.42	4.251	4.429	4.068	3.618	5.561	6.641	3.848	3.239	3.305	3.106	2.687	3.137	3.607	4.354	3.97	3.468	-0.017	0.155	0.436	-0.329	-0.292	0.239	0.677	0.059	0.101	0.919	1.439	1.227	1.317	1.407	0.216	1.288	1.545	0.876	3.937	5.449	3.949	4.063	3.2
"YKL081W"	0.491	0.397	-2.054	1.515	0.446	1.025	-0.276	-3.858	-3.184	-2.035	-2.096	-2.542	-3.137	-4.49	-5.155	-3.28	-3.157	-3.837	-3.635	-2.171	-3.222	-3.654	-2.997	-2.811	-3.497	0.279	0.261	-1.008	-0.663	-0.386	-0.004	-0.885	-0.722	-0.042	-0.521	-0.804	-1.351	-1.659	-1.603	0.393	-2.502	-1.706	-1.462	-3.076	-3.449	-3.386	-3.054	-2.989
"YKL099C"	-0.096	-0.488	-3.037	1.062	0.001	0.949	0.276	-4.145	-2.015	-2.146	-1.585	-1.353	-1.537	-1.671	-3.312	-2.585	-1.842	-1.608	-3.26	-1.746	-1.419	-1.618	-0.653	-3.165	-2.644	-0.406	-1.266	-0.565	0.63	0.2	-0.521	0.343	-0.006	0.19	-0.862	-2.597	-2.54	-2.778	-1.348	-0.15	NaN	-1.307	-0.905	-1.88	-1.394	-3.486	-1.59	-1.288
"YKL122C"	-0.173	-0.27	-1.106	0.567	0.069	0.549	0.07	-1.219	-1.334	-0.712	-1.091	-1.321	-1.025	-2.027	-4.576	-1.162	-0.85	-1.249	-1.955	-1.057	-1.296	-1.282	-2.178	-2.544	-2.706	-0.268	0.046	0.032	0.135	0.278	0.029	0.322	0.124	-0.006	0.025	-0.065	-0.188	-0.649	-0.84	-0.14	-0.857	-0.233	-0.571	-0.888	-0.911	-0.749	-1.142	-0.993
"YKL143W"	0.323	0.08	-3.248	0.94	0.182	0.262	-0.041	-4.748	-1.715	-2.281	-1.954	-1.458	-1.805	-2.312	-3.827	-2.756	-2.421	-1.691	-2.734	-1.821	-1.815	-1.965	-2.215	-3.005	-2.585	0.053	-1.207	-0.826	0.691	0.077	-0.273	0.532	0.174	0.06	-0.939	-2.976	-2.458	-3.373	-1.512	-0.173	-1.367	-2.906	-1.521	-2.618	-1.955	-3.914	-2.07	-1.525
"YKR060W"	0.144	-0.501	-2.337	1.066	0.081	1.076	0.428	-3.243	-2.165	-2.05	-2.019	-1.793	-2.106	-3.218	-3.796	-2.014	-1.723	-0.962	-2.182	-1.468	-1.536	-1.719	-1.64	-3.104	-1.59	-0.191	-0.393	-0.407	0.52	0.103	-0.302	0.693	0.316	-0.05	-0.497	-1.044	-1.186	-1.483	-1.309	-0.058	-1.493	-0.875	-0.849	-1.105	-1.234	-2.055	-1.281	-0.897
"YLL008W"	0.13	-0.016	-4.019	0.828	0.427	0.601	-0.136	-5.659	-3.509	-3.627	-2.64	-2.165	-3.282	-2.899	-6.113	-2.364	-2.55	-1.847	-3.473	-2.41	-2.154	-2.612	-2.386	-2.487	-2.92	0.064	-1.015	-0.611	0.236	-0.016	-0.22	0.335	-0.113	-0.01	-0.905	-2.724	-2.071	-2.458	-1.714	-0.054	-1.906	-2.012	-1.194	-1.915	-1.563	-3.042	-2.072	-1.554
"YLR003C"	-0.035	-0.573	-3.212	0.971	0.012	0.952	-0.196	-3.378	-2.664	-2.083	-1.89	-1.349	-1.803	-3.993	-3.267	-2.206	-1.397	-1.028	-3.393	-1.951	-1.333	-1.316	-2.966	-3.316	-3.421	-0.12	-0.555	-0.856	0.28	-0.005	0.11	0.234	0.219	0.049	-0.729	-1.985	-1.946	-1.909	-1.447	-0.099	-0.83	-1.551	-1.01	-2.516	-1.754	-3.839	-2.794	-1.764
"YLR009W"	0.433	0.072	-3.864	1.074	0.311	1.035	0.458	-4.675	-2.624	-2.259	-2.408	-1.898	-2.126	-2.518	-5.388	-2.737	-2.637	-1.705	-3.455	-2.226	-1.984	-2.757	-2.555	-3.216	-2.799	0.227	-0.85	-0.956	0.202	-0.217	-0.152	0.274	0.359	-0.064	-0.525	-2.802	-2.902	-2.825	-1.555	0.258	-1.779	-1.157	-1.085	-2.229	-1.452	-3.361	-1.953	-1.228
"YLR044C"	0.044	0.357	0.567	0.643	0.381	0.712	0.238	-2.007	-2.635	-1.83	-0.594	-0.448	-1.066	-4.948	-6.198	-1.634	-2.043	-2.307	-2.978	-0.64	-0.643	-1.066	-1.373	-0.923	-2.628	0.547	0.144	-1.249	-0.801	-0.725	0.58	-0.701	0.056	0.238	-0.067	-0.935	-0.936	-1.539	0.404	0.262	-1.154	-1.056	-1.272	-3.282	-3.407	-2.618	-3.903	-3.397
"YLR061W"	-0.03	-0.46	-3.851	1.1	-0.041	1.127	-0.216	-4.925	-4.297	-4.115	-3.603	-2.908	-3.127	-4.939	-6.591	-3.239	-3.818	-3.021	-4.326	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	-0.205	-0.182	-0.571	-0.386	-0.219	0.216	-0.17	-0.033	0.078	-0.192	-1.456	-1.889	-1.422	-1.984	0.32	-2.482	-0.26	-0.516	-2.468	-2.246	-4.004	-2.793	-2.94
"YLR134W"	0.4325	0.089	0.1285	0.232	0.557	0.3095	0.178	-2.4245	-3.4315	-2.2835	-1.553	-1.375	-2.7835	-5.018	-5.8935	-1.989	-1.875	-2.161	-2.7405	-0.767	-0.706	-1.1115	-1.3995	-1.2085	-2.6145	0.4435	0.0985	-1.3505	-0.7055	-0.713	0.511	-0.711	-0.1605	0.095	-0.2005	-1.0125	-1.026	-1.183	0.0565	-0.039	-0.655	-1.1645	-0.5845	-3.416	-3.64	-2.736	-3.769	-3.584
"YLR150W"	0.297	0.37	-2.209	1.346	0.319	1.264	-0.128	-2.804	-2.168	-1.847	-1.165	-1.319	-1.005	-2.579	-6.397	-2.284	-2.442	-2.752	-3.403	-1.162	-1.388	-1.386	-1.785	-1.84	-2.771	0.422	0.248	-0.377	-0.426	-0.145	0.915	0.072	0.467	-0.121	0.506	-1.498	-1.483	-1.184	-1.56	-0.017	-1.646	-0.599	-0.589	-3.064	-2.211	-2.235	-2.285	-1.844
"YLR175W"	0.166	-0.235	-4.902	1.215	0.105	1.304	0.137	-5.607	-3.276	-2.921	-2.657	-2.484	-3.068	-3.401	-5.468	-3.996	-3.068	-3.13	-4.678	-2.413	-2.762	-3.408	-3.701	-4.364	-4.96	0.11	-0.491	-0.922	0.148	-0.081	-0.266	-0.137	-0.421	0.21	-0.536	-2.188	-1.892	-1.798	-1.58	0.079	-2.422	-1.317	-0.22	-3.995	-3.16	-4.338	-2.959	-2.455
"YLR196W"	-0.542	-0.017	-4.532	1.483	-0.244	1.407	-0.022	-5.083	-3.01	-3.156	-2.049	-1.898	-2.276	-4.437	-5.836	-2.858	-2.859	-1.799	-4.378	-2.182	-2.66	-2.604	-3.933	-4.664	-4.392	-0.154	-1.037	-0.586	0.519	0.154	-0.54	0.437	0.046	0.24	-0.733	-2.793	-2.637	-2.454	-1.12	-0.11	-1.216	-1.483	-1.752	-2.901	-2.83	-3.658	-2.412	-1.969
"YLR197W"	0.196	-0.192	-5.179	1.23	0.018	1.252	-0.227	-5.817	-3.612	-3.173	-2.795	-2.789	-3.255	-4.736	-5.242	-3.899	-3.238	-3.258	-5.671	-2.611	-3.067	-3.716	-4.423	-4.976	-5.033	0.297	-0.493	-0.814	0.323	-0.035	-0.25	-0.335	-0.496	0.131	-0.682	-2.28	-1.768	-2.254	-1.869	0.175	-2.488	-1.484	-0.691	-4.983	-3.17	-4.545	-3.045	-2.593
"YLR221C"	0.067	-0.12	-2.528	1.119	-0.125	0.997	-0.377	-2.998	-2.097	-1.521	-1.444	-1.161	-1.853	-1.317	-1.577	-1.591	-0.902	-1.508	-2.27	-1.754	-1.704	-1.694	-1.533	-1.674	-1.643	-0.077	-0.184	-1.205	0.474	0.073	-0.189	0.148	0.041	0.144	-0.604	-2.46	-2.325	-2.724	-1.559	-0.407	-0.881	-1.152	-0.875	-1.916	-1.568	-3.361	-1.731	-1.498
"YLR244C"	-0.029	-0.082	-1.155	0.834	-0.039	0.71	0.545	-1.83	-1.39	-1.194	-1.003	-1.192	-0.596	-1.075	-3.008	-1.271	-1.518	-1.765	-1.654	-1.121	-1.021	-1.124	-1.587	-1.879	-2.452	-0.115	-0.327	0.146	0.473	0.025	-0.187	0.293	0.023	0.075	0.029	-0.539	-0.787	-0.739	-0.489	0.309	-1.338	-0.807	-0.49	-1.734	-2.019	-1.26	-1.303	-1.444
"YLR293C"	0.628	0.175	-1.135	0.886	0.215	0.877	0.327	-3.594	-2.185	-2.087	-2.565	-2.207	-2.675	-3.488	-6.281	-2.107	-1.751	-2.233	-2.473	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	0.633	0.459	-1.05	-0.048	-0.31	0.392	-0.172	0.068	0.078	-0.018	-0.606	-0.62	-0.593	-1.215	0.271	-2.235	-0.697	-1.025	-3.113	-2.525	-2.822	-2.422	-1.899
"YLR409C"	-0.042	-0.016	-3.852	0.947	-0.043	0.965	0.456	-4.402	-2.709	-2.6	-1.8	-1.629	-2.222	-3.204	-4.211	-2.308	-2.578	-1.928	-2.708	-1.92	-2.024	-2.286	-2.713	-3.315	-3.47	0.127	-0.419	-0.857	0.304	-0.171	-0.226	0.204	0.191	0.013	-0.827	-1.911	-1.565	-1.295	-1.55	0.062	-1.502	-1.373	-0.474	-2.143	-1.648	-3.231	-1.992	-1.204
"YLR435W"	0.368	-0.053	-2.415	1.251	-0.144	1.0	0.052	-4.216	-2.534	-2.556	-2.839	-2.421	-2.684	-2.8	-3.819	-1.506	-2.134	-1.317	-2.605	-2.004	-1.983	-2.216	-2.038	-2.387	-2.149	0.057	-0.283	-0.718	0.266	0.075	0.212	0.337	0.207	0.176	-0.705	-2.747	-2.528	-2.588	-1.591	0.155	-1.234	-0.822	-0.536	-2.298	-2.662	-4.563	-2.595	-2.03
"YLR448W"	-0.043	-0.242	-3.482	1.062	-0.001	0.837	0.246	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-3.552	-5.971	-3.425	-3.454	-3.179	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	-0.129	-0.231	-0.884	-0.172	0.096	0.183	-0.19	-0.189	0.011	-0.141	-1.987	-1.972	-1.41	-2.034	0.363	-2.337	-0.605	-1.671	-4.85	-3.788	-4.791	-4.505	-3.161
"YMR110C"	0.423	-0.285	2.824	-0.955	0.14	-1.172	-0.606	3.925	3.346	3.746	3.565	3.434	2.517	3.724	0.355	2.473	2.516	2.338	4.042	3.217	2.995	3.422	3.777	2.927	1.682	-0.375	0.703	0.795	0.27	-0.017	-0.392	0.017	0.255	-0.312	0.458	1.966	1.879	2.022	0.952	-0.079	2.645	1.778	1.02	3.97	4.096	3.64	3.462	2.896
"YMR130W"	-0.141	-0.034	-0.613	0.623	-0.034	0.607	0.092	-2.063	-1.784	-1.864	-1.924	-1.614	-1.215	-1.972	-3.845	-1.058	-1.571	-0.671	-1.858	-1.422	-1.36	-1.47	-2.339	-2.247	-2.295	-0.121	-0.387	-0.15	-0.242	-0.164	-0.204	-0.094	-0.179	-0.001	-0.831	-1.08	-1.205	-1.195	-0.356	-0.127	-1.328	0.387	0.165	-2.163	-2.01	-1.106	-1.807	-1.402
"YMR131C"	-0.139	0.094	-4.347	1.141	-0.057	0.906	0.181	-5.631	-3.641	-3.811	-2.698	-2.414	-2.914	-5.052	-6.665	-3.547	-2.98	1.316	-4.277	-2.776	-2.829	-3.214	-4.236	-5.241	-4.266	0.023	-0.494	-0.362	0.685	0.241	0.147	0.899	0.22	-0.015	-0.193	-3.012	-2.522	-2.8	-1.718	-0.13	-1.789	-1.638	-0.489	-1.412	-2.944	-4.181	-2.68	-1.908
"YMR235C"	0.149	0.232	-1.233	0.788	-0.102	0.731	-0.012	-1.54	-1.45	-1.143	-1.493	-1.783	-1.785	-3.534	-5.187	-1.622	-1.883	-1.879	-1.679	-1.439	-2.046	-2.046	-2.838	-3.21	-3.756	-0.006	0.281	0.04	0.419	0.274	0.221	-0.095	-0.04	0.196	-0.149	-0.515	-0.422	-0.439	-0.502	-0.087	-1.782	-0.214	0.213	-1.798	-1.514	-1.982	-1.573	-1.264
"YMR260C"	0.322	-0.253	-2.24	0.973	-0.176	0.597	-0.239	-3.404	-2.168	-2.559	-2.501	-2.112	-2.098	-2.549	-5.138	-2.251	-2.22	-2.366	-3.636	-1.666	-1.968	-2.005	-1.338	-1.729	-2.229	0.319	0.052	-0.507	0.011	0.083	0.255	-0.144	0.041	0.124	0.012	-1.655	-1.754	-2.191	-1.604	-0.336	-1.548	-0.723	-0.145	-2.426	-1.742	-2.447	-2.023	-1.573
"YMR307W"	-0.815	0.587	-1.803	0.693	0.6	0.655	0.738	-2.669	-1.341	-0.597	-1.909	-3.74	-1.803	-5.132	-5.877	-2.484	-2.482	-3.284	-3.55	-1.413	-2.493	-3.39	-4.432	-5.016	-4.56	0.337	-1.278	-1.251	-0.753	-0.436	-1.078	-0.658	-0.707	0.827	-0.754	-1.82	-2.047	-1.686	-0.004	0.926	-3.1665	-1.207	-0.235	-4.574	-3.18	-2.866	-2.995	-1.549
"YMR321C"	0.321	-0.03	-2.078	0.725	0.106	0.594	-0.252	-2.201	-2.459	-2.58	-2.138	-2.55	-2.298	-3.288	-3.811	-2.632	-2.309	-2.22	-2.252	-1.952	-1.913	-2.8	-2.409	-2.567	-2.424	0.441	-0.308	-0.234	0.233	-0.013	-0.389	-0.213	-0.403	-0.034	-0.231	-1.833	-1.457	-1.665	-2.051	-0.604	-2.3015	-1.131	-0.687	-1.627	-1.521	-2.994	-2.044	-1.506
"YNL002C"	0.906	-0.257	-4.222	1.243	-0.031	1.183	-0.305	-5.196	-2.914	-2.785	-2.336	-1.951	-2.475	-2.73	-3.468	-3.072	-2.59	-2.178	-3.426	-2.209	-1.856	-2.186	-2.277	-2.592	-2.588	0.235	-1.309	-1.005	0.458	0.12	-0.393	0.287	0.174	-0.059	-0.524	-2.774	-2.843	-2.776	-1.453	0.103	-1.942	-1.705	-1.098	-2.92	-2.649	-4.466	-2.41	-2.181
"YNL061W"	0.009	0.278	-3.948	1.161	0.083	1.249	0.001	-4.329	-2.031	-1.794	-1.22	-1.061	-1.547	-2.147	-4.27	-2.519	-2.417	-1.876	-3.268	-1.421	-1.555	-1.548	-1.276	-1.357	-1.899	-0.064	-0.67	-0.764	0.546	0.727	0.058	0.303	0.138	-0.042	-0.494	-2.599	-2.111	-2.07	-1.224	-0.024	-1.513	-1.925	-1.78	-2.055	-1.808	-2.571	-1.387	-1.085
"YNL062C"	0.029	-0.083	-2.844	1.074	0.14	0.899	0.356	-4.157	-2.785	-2.295	-2.256	-1.556	-2.835	-3.07	-6.263	-2.304	-2.254	-1.829	-2.028	-1.559	-1.91	-1.803	-1.717	-2.639	-2.206	-0.064	-0.707	-0.623	0.657	0.21	-0.063	0.456	0.157	-0.003	-0.372	-1.772	-1.751	-1.657	-1.0	-0.057	-1.7035	-1.389	-0.76	-2.698	-2.338	-2.838	-2.509	-1.871
"YNL096C"	0.113	-0.515	-3.202	1.017	0.106	0.749	-0.37	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-6.106	-3.331	-3.045	-2.761	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	0.19	-0.522	-1.354	-0.463	-0.328	-0.029	-0.09	-0.167	-0.057	-0.273	-2.046	-1.701	-1.39	-2.448	-0.115	-2.8625	-0.486	-0.804	-3.52	-2.764	-3.087	-3.372	-2.098
"YNL119W"	0.09	-0.229	-3.435	1.189	0.012	1.033	0.068	-6.697	-3.692	-2.694	-2.909	-2.2	-3.337	-5.354	-6.231	-3.359	-3.366	-2.99	-3.55	-1.753	-1.955	-2.206	-2.822	-2.843	-3.318	-0.311	-0.165	-0.396	-0.143	-0.233	0.198	-0.351	-0.147	-0.324	-0.242	-1.868	-2.044	-2.032	-1.613	0.343	-1.92	-0.934	-1.136	-3.587	-2.801	-4.042	-2.748	-2.546
"YNL132W"	0.063	-0.013	-4.954	1.008	-0.092	0.683	0.113	-5.826	-3.389	-2.815	-3.25	-2.572	-3.653	-4.956	-6.392	-3.285	-3.141	-2.521	-4.353	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	0.654	-0.685	-1.284	0.448	0.121	-0.394	-0.184	-0.625	-0.079	-0.866	-2.468	-1.53	-2.164	-1.974	0.081	-1.281	-1.999	-1.39	-2.994	-2.948	-3.989	-2.673	-2.3
"YNL174W"	0.115	-0.115	-4.714	0.965	-0.254	0.755	-0.272	-5.141	-3.51	-3.428	0.252	-2.478	-2.797	-4.079	-4.409	-2.319	-2.439	-1.875	-4.372	-2.731	-2.682	-2.061	-3.046	-3.229	-3.118	-0.424	-0.626	-1.025	0.772	0.296	-0.104	-0.047	-0.34	0.29	-0.717	-2.4	-2.392	-2.87	-2.295	0.101	-2.2935	-1.716	-0.9	-1.035	-2.624	-3.816	-2.839	-1.053
"YNL175C"	0.031	-0.046	-3.931	1.14	-0.038	1.152	-0.153	-4.877	-2.65	-2.975	-2.4	-2.146	-2.117	-2.872	-6.011	-2.575	-2.601	-2.327	-4.587	-2.405	-2.804	-2.484	-2.404	-3.809	-2.849	-0.2	-0.786	-0.564	0.884	0.628	-0.216	0.033	-0.119	0.344	-0.514	-0.83	-2.034	-2.654	-2.163	-0.232	-2.238	-2.131	-0.698	-0.8535	-1.5355	-2.5475	-1.882	-1.502
"YOL077C"	0.164	-0.135	-4.28	1.476	-0.187	1.273	0.844	-5.186	-0.2885	-3.087	-2.568	-2.817	-2.79	-3.02	-6.552	-4.174	-0.219	-2.917	-3.705	-2.565	-2.549	-3.046	-3.299	-3.894	-4.326	0.349	-0.853	-1.111	0.373	-0.12	-0.235	0.039	-0.245	-0.102	-0.946	-3.287	-3.032	-2.96	-2.119	-0.4865	-2.39	-2.152	-1.182	-2.855	-2.586	-5.145	-2.894	-2.392
"YOR091W"	-0.175	-0.058	-2.309	0.681	0.099	0.834	0.846	-3.211	-2.424	-2.536	-1.957	0.162	-2.1815	-1.3995	-1.504	-1.597	0.6055	0.102	-2.354	-1.778	-1.125	-1.688	-2.009	-2.005	-1.815	0.016	-0.906	0.687	0.689	-0.015	-0.009	0.409	-0.109	0.123	-0.606	-1.265	-1.459	-1.295	-0.4405	0.766	-1.424	-1.199	-0.6	-2.587	-1.87	-3.639	-2.474	-2.19
"YOR224C"	0.014	-0.464	-2.102	0.887	0.002	0.9	0.4155	-2.895	-1.9785	-1.9375	-1.8585	-2.2005	-2.081	-3.348	-4.849	-2.254	-2.252	-2.4505	-2.185	-1.678	-2.173	-2.296	-2.099	-2.615	-2.202	-0.248	-0.232	0.195	0.252	0.391	-0.021	-0.016	-0.056	0.002	-0.325	-0.997	-1.367	-1.309	-1.127	0.3945	-2.041	-1.033	NaN	-1.343	-1.751	-2.113	-1.739	-1.681
"YOR243C"	0.171	0.055	-3.982	1.203	-0.154	1.139	0.268	-3.8055	-2.475	-2.128	-2.1915	-1.6015	-2.2855	-3.3625	-4.3935	-2.588	-2.1815	-1.6325	-3.635	-2.371	-2.179	-2.726	-2.865	-4.484	-3.863	0.417	1.102	-0.862	0.313	-0.06	-0.043	0.012	-0.316	-0.005	-0.631	-1.872	-1.652	-1.335	-1.1555	-0.016	-1.712	-1.367	-0.203	-1.759	-1.808	-2.825	-2.065	-1.562
"YOR309C"	-0.047	-0.425	-5.514	0.423	0.015	0.3	-0.079	-6.798	-4.4185	-4.0545	-4.227	-3.75	-3.942	-4.234	-6.859	-3.709	-3.9105	-3.8235	-5.839	-3.084	-3.704	-4.353	-4.746	-5.449	-5.009	-0.023	-0.775	-0.98	0.124	-0.135	-0.399	-0.254	-0.411	0.043	-0.722	-2.396	-1.875	-2.034	-1.968	0.1005	-3.451	-1.903	-1.409	-2.543	-3.28	-4.097	-3.518	-2.477
"YOR310C"	-0.085	0.058	-3.004	1.211	-0.066	1.223	0.1095	-6.006	-3.92	-3.4655	-3.0705	-3.303	-3.319	-4.7765	-7.1385	-3.766	-3.585	-3.5415	-5.777	-2.773	-3.838	-4.105	-4.745	-5.099	-4.866	0.022	-0.424	-0.299	0.311	0.326	-0.286	0.094	-0.116	0.202	-0.215	-2.449	-2.08	-2.17	-1.8115	0.287	-2.849	-1.755	-1.023	-4.564	-4.629	-5.14	-4.292	-3.502
"YPL037C"	0.397	-0.075	-1.081	0.835	0.008	0.69	0.278	-2.6595	-2.081	-2.0885	-1.9235	-1.975	-2.12	-3.9955	-5.417	-1.813	-1.4435	-2.148	-2.203	-1.255	-1.561	-1.872	-2.115	-3.222	-3.654	0.421	0.108	-0.1	0.123	-0.045	0.585	0.084	0.204	-0.106	0.213	-1.391	-1.135	-1.78	-0.8305	0.2175	-1.648	0.135	-0.113	-2.236	-1.607	-1.437	-1.831	-1.289
"YPL079W"	0.125	-0.307	-3.828	0.688	-0.085	1.126	-0.0855	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-3.085	-3.172	-3.0255	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	0.687	-0.598	-0.548	-0.359	-0.327	-0.252	0.022	-0.248	0.031	0.019	-2.574	-2.209	-2.429	-2.1725	0.227	-1.673	-0.341	-0.789	-2.865	-2.753	-3.573	-3.431	-2.725
"YPL081W"	-0.061	-0.167	-3.841	0.427	-0.001	0.779	0.297	-4.5065	-3.3595	-3.199	-3.083	-2.508	-3.086	-3.4025	-6.801	-2.5355	-2.916	-2.428	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	0.763	-0.841	-0.462	-0.091	-0.034	0.033	0.033	-0.049	0.099	-0.155	-2.576	-2.383	-2.29	-1.5395	0.195	-1.844	-0.084	-0.371	-3.083	-2.359	-3.939	-2.717	-2.656
"YPL090C"	-0.03	0.1	-3.965	0.955	-0.097	0.871	-0.2155	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-2.203	-4.364	-6.197	-3.398	-3.223	-3.3795	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	0.142	-0.326	-0.316	-0.193	0.121	0.175	-0.095	0.154	-0.045	0.276	-2.805	-1.985	-1.805	-2.16	-0.0745	-2.061	-0.43	-1.019	-4.244	-3.265	-4.101	-3.571	-2.951
"YPL160W"	0.055	0.233	-2.429	0.5835	-0.0555	0.598	0.238333333333333	-3.26033333333333	-2.28466666666667	-1.777	-1.608	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	-2.11133333333333	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	0.1235	-0.2405	0.02	0.4205	0.3825	-0.086	0.0735	-0.045	0.0515	0.2015	-1.523	-0.682	-0.496	-1.13233333333333	-0.192666666666667	-1.8045	-1.1215	-0.944	-3.477	-2.958	-3.512	-2.719	-2.2345
"YPL211W"	0.223	-0.222	-2.713	1.059	0.034	0.954	5.0E-4	-5.5605	-3.5535	-3.356	-3.4755	-2.914	-3.869	-4.4555	-5.029	-3.216	-3.3805	-3.046	-4.129	-2.485	-2.918	NaN	-3.267	-2.652	-2.337	0.349	-0.872	-1.228	0.372	0.488	-0.296	0.064	-0.267	-0.02	-0.77	-3.124	-1.914	-2.688	-1.921	0.3355	-2.25	-1.887	-1.513	-2.333	-2.347	-3.981	-2.743	-1.72
"YPL226W"	0.451	0.4525	-4.183	0.7565	0.2445	0.906666666666667	0.375666666666667	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-3.37333333333333	-2.503	-2.786	-4.0095	-2.363	-2.3985	-2.8955	-3.407	-2.9025	-3.983	0.332	-0.4555	-0.4755	0.026	-0.275	-0.395	-0.4785	-0.3465	-0.0735	-0.433	-1.907	-1.3845	-1.3565	-1.60566666666667	0.138666666666667	-1.7375	-1.5835	-1.004	-2.657	-3.519	-3.811	-3.004	-2.748
"YPL273W"	0.317	-0.022	-2.375	0.8235	0.076	0.772	-0.00466666666666667	-3.42133333333333	-2.60833333333333	-2.705	-2.59566666666667	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-2.94366666666667	-2.86466666666667	-2.69266666666667	-2.8035	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	0.278	-0.196	-0.098	0.4205	0.0375	-0.708	-0.25	-0.2485	0.0235	-0.487	-2.1035	-1.784	-1.728	-1.961	-0.238	-2.628	-0.639	-0.706	-1.883	-1.961	-3.012	-2.524	-2.277
"YPR074C"	0.274	-0.032	-1.438	0.666	0.137	0.5385	0.3585	-3.2435	-2.5595	-2.0485	-2.134	-3.2975	-2.2945	-5.337	-5.42	-3.374	-2.2005	-3.7185	-3.649	-1.5	-2.351	-3.162	-3.369	-3.61	-3.663	0.309	-0.112	-1.353	-0.988	-0.959	-0.085	-0.73	-0.32	-0.227	-0.476	-0.87	-1.303	-1.055	-0.518	0.343	-3.132	-1.257	-0.615	-4.473	-3.729	-2.351	-3.123	-1.997
"YPR080W"	0.276	-0.118	-0.447	0.842	0.319	0.8085	0.264	-2.0535	-1.906	-1.6575	-1.6075	-1.771	-2.584	-2.848	-5.6305	-2.094	-2.144	-2.5835	-2.241	-0.95	-1.197	-1.321	-1.689	-2.389	-3.139	0.23	-0.183	-0.865	-0.672	-0.689	0.351	-0.383	0.218	-0.11	-0.088	-1.067	-0.995	-0.778	-0.4715	0.172	-1.681	-0.364	-0.014	-1.584	-1.319	-2.31	-1.719	-1.872
