	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"815.1M sorbitol - 15 min"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"	"2560.29C to 33C - 15 min"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7530.DBY msn2msn4 37C - 20 min"	"7761.Na 60min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12744.heat shock 17 to 37, 20 minutes"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33782.delYPL230w_stationary_phase_1day"	"34347.wt_hypo_osmotic_shock_0min"	"34349.wt_hypo_osmotic_shock_16min"	"34350.wt_hypo_osmotic_shock_30min"	"34351.wt_hypo_osmotic_shock_60min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"	"42061.U3Comp 09 hr 10 min Uracil Batch vs Chemostat Comparison (rescan)"
"YGR245C"	-2.6095	-5.097	-5.457	-5.1995	-3.444	-3.9345	-4.2355	-3.9115	-2.202	-1.935	-1.499	-2.429	-1.585	-1.484	-2.188	-2.579	-4.207	-2.765	-2.396	-1.545	-1.475	-2.045	-2.482	-3.799	-3.273	-2.711	-0.475	-1.833	-3.164	-2.228	-2.367	-2.154	-2.194	-2.446	-3.203	0.244	-2.04	-0.23	-1.108	-1.211	-1.91	-1.791	-2.539	-1.263	-1.672	-4.6765	-2.295	-4.281	-2.645	-2.373	0.162	-0.123	-2.575	0.658	-0.141	-3.415	-0.854	-0.285	-0.258	-0.015	-0.429	0.092	0.164	-0.386	-1.034	-1.347	-2.036
"YHR063C"	0.247	-0.017	-0.2455	-0.7265	0.148	-0.1095	-0.6135	-0.7685	-0.083	-0.175	-0.1885	-0.456	-0.665	0.261	-0.66	0.271	-1.836	-1.956	-1.527	-1.345	-1.469	-2.215	-3.309	-4.42	-0.605	-0.601	-0.927	-0.253	-2.142	-1.217	-1.385	-1.916	-2.162	-3.419	-3.036	-0.025	0.202	0.007	0.274	-0.077	-0.373	0.47	-0.436	-1.701	1.263	-0.366	-0.728	-1.008	-0.173	-0.241	0.455	0.566	-1.304	0.871	0.431	-1.645	-0.857	0.551	0.241	0.329	0.037	0.071	0.604	-0.062	0.654	0.72	1.066
"YHR084W"	-1.123	-1.289	-1.0725	-1.421	-0.0605	-0.6165	-1.2535	-1.444	-1.149	0.221	-0.3525	-0.61	-0.498	-0.689	-0.432	-0.246	-2.282	-0.836	-1.583	-1.59	-1.307	-1.057	-2.317	-2.543	-0.885	-1.501	-0.678	-1.565	-1.079	-1.405	-1.212	-1.569	-1.966	-2.19	-2.461	0.127	0.064	0.052	0.287	0.026	-0.322	0.116	-0.452	-0.283	-0.754	-1.3715	-0.62	-0.88	0.343	-0.872	0.331	0.089	-1.378	0.629	0.595	-0.757	-0.731	0.039	0.249	0.309	-0.244	0.466	0.17	0.363	0.202	0.46	0.376
"YHR169W"	-2.238	-3.982	-3.7575	-3.384	-1.629	-2.497	-3.146	-2.919	-2.289	-1.088	-0.608	-1.849	-0.721	-0.63	-0.969	-1.658	-4.241	-3.115	-2.216	-2.175	-1.929	-1.952	-3.506	-3.088	-3.141	-2.365	0.177	-2.058	-1.554	-1.325	-1.172	-1.188	-0.992	-1.459	-2.009	0.029	-1.099	-0.254	-0.761	-0.752	-0.6565	-0.808	-1.624	-1.859	-0.864	-3.6155	-1.932	-2.583	-1.533	-1.636	-0.041	0.143	-1.207	-0.06	-0.142	-2.087	-0.732	-1.072	-0.519	-0.586	-0.548	-0.464	-0.783	-0.928	-0.769	-1.357	-1.142
"YHR170W"	-3.765	-5.3995	-6.3835	-4.622	-2.4275	-4.14	-4.723	-3.947	-3.256	-1.627	-1.343	-2.797	-1.852	-1.421	-1.418	-1.78	-4.51	-1.901	-2.071	-1.573	-1.404	-2.063	-2.573	-4.858	-2.759	-2.694	-1.887	-1.429	-2.314	-1.433	-2.149	-1.819	-2.036	-2.758	-2.443	0.299	-1.321	-0.317	-1.164	-0.853	-1.9105	-0.95	-2.093	-1.761	-1.546	-5.252	-2.606	-3.576	-2.405	-2.772	-0.888	-0.4	-2.544	-0.37	-0.439	-3.601	-1.01	-0.459	-0.175	-0.506	-0.782	-0.134	-0.411	-0.501	-0.654	-1.485	-1.482
"YHR173C"	0.507	-0.7775	-1.196	-1.142	-0.8195	-0.611	-1.099	-0.968	-0.282	-0.615	-0.9325	-1.583	-0.395	-0.353	-0.43	-0.661	-1.834	-1.3	0.05	-0.941	-1.344	-1.09	-2.711	-3.08	-1.044	-0.511	0.225	-1.65	-1.0	-0.525	-0.628	-0.386	-0.928	-0.605	-0.292	0.501	-0.519	0.035	-0.726	-0.079	-0.6775	-0.576	-0.7	-3.086	-0.046	-0.8415	-0.255	-0.692	-0.983	-0.112	0.464	-0.261	-0.578	-0.522	-0.364	-1.461	-0.691	-0.066	-0.183	-0.295	0.039	-0.375	-0.163	-0.074	-0.211	-0.099	-0.258
"YHR208W"	-1.2825	-1.666	-1.2435	-1.55	-0.64	-1.555	-1.895	-1.8505	-1.06	-0.293	-1.117	-2.459	-2.287	-1.448	-1.01	-0.424	-3.191	-1.767	-1.529	-1.413	-1.397	-1.898	-3.12	-4.064	-2.446	-2.137	-1.934	-1.898	-2.228	-1.185	-1.232	-1.339	-2.263	-2.683	-2.939	-0.246	-0.811	-0.214	-0.926	-0.675	-1.1345	-0.832	-0.237	-1.267	-1.932	-1.8325	-1.466	-2.6	-1.991	-2.577	0.738	0.133	-3.355	0.74	0.521	-3.596	-3.189	-0.57	-0.58	-0.487	-0.343	-0.481	-0.202	-0.33	-0.33	-0.769	-0.103
"YIL019W"	-2.3275	-4.4845	-3.9755	-3.631	-1.9705	-3.3725	-2.9215	-2.461	-1.542	-0.281	-1.0535	-2.144	-1.078	-0.396	-0.706	-2.549	-2.459	-1.454	-1.151	-0.883	-0.499	-0.934	-0.601	-3.212	-1.613	-1.932	-0.687	-0.638	-0.782	-0.557	-0.885	-0.654	-0.538	-0.95	-0.415	0.519	-1.219	-0.108	-0.88	-1.143	-1.149	-0.456	-1.513	-1.026	0.08	-3.595	-2.769	-4.534	-3.09	-3.039	-0.467	-0.163	-1.805	-0.223	-0.387	-4.006	-0.893	-0.492	-0.235	-0.499	-0.618	-0.208	-0.189	-0.344	-0.767	-1.902	-1.389
"YIL064W"	-0.772	-2.354	-2.36	-2.7345	-1.6085	-2.1515	-2.514	-2.1275	-1.887	-1.215	-0.7465	-1.645	-0.737	-0.46	-0.241	-1.362	-2.326	-0.657	-0.964	-1.031	-0.837	-1.415	-1.157	-2.687	-2.125	-1.191	-0.356	-1.0	-0.443	-0.415	-0.205	-0.266	-0.013	-0.402	-0.479	-0.098	-1.111	-0.002	-1.1	-0.076	-1.004	-0.657	-1.65	-0.69	-0.427	-2.1995	-1.561	-2.286	-1.123	-2.318	0.028	-0.059	0.708	0.56	0.646	-2.035	-0.749	-0.567	-0.116	-0.059	-0.503	-0.269	0.007	0.093	-0.663	-0.932	-1.247
"YJL122W"	-2.271	-3.1605	-2.3075	-2.6115	-1.7245	-2.3555	-3.015	-2.6085	-2.0	-1.164	-0.987	-2.116	-1.375	-0.806	-1.78	-1.395	-4.13	-2.475	-2.636	-2.364	-2.423	-1.794	-3.846	NaN	-2.718	-2.694	-2.711	-2.9	-1.834	-1.836	-1.889	-1.753	-1.189	-1.743	-2.04	0.055	-0.885	0.063	-0.55	-1.355	-0.9745	-0.752	-1.354	-1.219	-0.625	-2.9625	-2.578	-3.081	-2.605	-2.196	-0.956	-0.819	-2.241	-0.624	-0.486	-3.406	-1.919	-0.883	-0.439	-0.56	-0.76	-0.4	-0.413	-0.214	-0.845	-1.368	-0.541
"YJL200C"	-2.412	-3.818	-2.8885	-2.434	-0.959	-2.957	-4.048	-3.5515	-2.543	-0.892	0.267	-2.129	-1.102	0.203	-1.173	-1.687	-3.392	-2.349	-1.692	-1.529	-1.098	-1.286	-2.839	-4.345	-2.728	-2.482	-1.533	-0.941	-0.918	-0.61	-0.855	-1.19	-0.342	-0.794	-0.718	0.282	-0.951	-0.218	-0.904	-0.21	-0.466	-0.388	-1.272	-2.021	-0.709	-3.9785	-2.276	-2.786	-1.213	-3.433	-1.052	-0.988	-2.875	-0.262	-0.581	-3.653	-1.18	-0.357	-0.022	-0.136	-0.212	-0.469	-0.094	-0.107	-0.158	-0.828	-1.137
"YJR016C"	-1.162	-1.302	-2.361	-2.475	-1.603	-2.3685	-2.9935	-2.914	-1.413	-1.095	-1.0595	-1.696	-0.955	-1.366	-0.588	-1.488	-4.202	-1.993	-1.491	-1.274	-1.146	-1.028	-2.006	-5.079	-3.415	-2.439	-2.16	-1.999	-0.856	-0.305	-0.554	-0.998	-0.939	-1.747	-2.976	0.364	-0.97	-0.02	-1.183	-0.324	-1.795	-0.67	-1.506	-1.54	-1.501	-2.552	-1.649	-2.613	-1.517	-3.263	1.445	-0.14	-1.964	1.144	0.249	-2.779	-2.047	0.507	0.71	0.442	0.588	0.483	0.375	0.422	0.402	-1.114	-0.093
"YJR070C"	-3.0685	-4.6905	-4.6305	-4.824	-1.8185	-3.895	-4.828	-4.332	-3.794	-1.881	-1.134	-2.253	-1.098	-0.767	-1.418	-1.538	-5.317	-3.975	-3.514	-3.056	-2.526	-3.68	-3.511	-7.226	-3.471	-2.777	-2.792	0.534	-2.102	-1.698	-1.543	-1.829	-1.463	-2.254	-2.322	0.108	-1.418	0.312	-1.509	-0.423	-1.6565	-1.383	-2.277	-2.575	-1.125	-4.7655	-2.778	-3.81	-2.429	-4.096	-0.29	0.165	-2.355	0.998	0.38	-3.754	-3.23	-0.118	-0.085	-0.027	-0.395	-0.316	0.084	-0.137	-0.415	-1.624	-0.595
"YJR147W"	-1.133	-1.006	0.902	-1.6275	-0.2545	-0.677	-0.9595	-0.807	-0.726	0.03	-0.936	-1.805	-0.7	-0.828	0.467	-1.109	-1.529	0.213	-1.754	-0.347	-2.212	-1.009	-2.408	-1.534	-0.361	-0.682	-0.75	-1.093	-0.878	-0.985	-0.915	-1.514	-0.198	-0.553	-0.503	0.206	-0.878	0.18	-1.062	0.028	-0.794	-0.758	-0.812	-0.747	-0.815	-1.126	-1.821	-1.013	-1.313	-1.753	0.225	-0.325	-0.573	0.195	-0.172	-1.762	-1.8	-0.139	-0.066	-0.193	0.033	-0.027	-0.229	0.145	-0.094	0.255	0.052
"YKL143W"	-3.105	-4.877	-5.727	-4.765	-2.227	-3.755	-3.979	-3.248	-3.695	-3.108	-1.575	-2.74	-1.471	-1.445	-2.304	-3.11	-4.748	-1.715	-2.281	-1.954	-1.458	-1.805	-2.312	-3.827	-2.756	-2.421	-1.691	-1.745	-2.734	-1.821	-1.815	-1.965	-2.215	-3.005	-2.585	-0.085	-1.994	-0.426	-1.813	-1.904	-1.479	-1.011	-2.881	-1.367	-1.951	-4.275	-3.454	-4.409	-3.625	-2.624	-0.973	-0.481	-1.955	-0.3	-0.272	-3.914	-1.384	-1.081	-0.545	-0.475	-0.802	-0.096	0.18	-0.382	-0.989	-1.945	-1.907
"YKL191W"	-2.053	-2.458	-2.453	-2.92	-0.729	-2.358	-2.347	-1.981	-2.122	-1.102	-0.609	-1.022	-0.33	-0.327	-0.698	-1.357	-2.611	-0.914	-0.359	-1.122	-0.142	-0.983	0.38	-4.342	-2.195	-1.224	-1.071	-0.762	-0.325	-0.152	0.04	-0.121	0.305	-0.479	0.007	-0.049	-1.315	-0.065	-1.401	0.016	-0.787	-0.569	-1.085	-0.832	-0.35	-2.641	-2.763	-2.759	-2.339	-1.793	-0.259	-0.34	-0.704	0.235	0.3	-2.326	-0.747	-0.485	-0.159	-0.154	-0.288	0.068	0.249	0.126	-0.283	-2.69	-0.777
"YKR056W"	-3.646	-4.01	-3.863	-3.872	-1.682	-2.945	-3.217	-3.127	-2.566	-1.123	-1.013	-1.683	-1.237	-0.68	-2.941	-1.554	-4.495	-2.575	-2.343	-2.336	-1.492	-2.639	-3.298	-4.34	-2.379	-1.808	-1.061	-1.63	-1.986	-1.639	-1.597	-1.637	-2.627	-3.787	-3.544	0.524	-1.048	-0.166	-0.646	-1.019	-0.816	-0.85	-1.713	-1.751	-0.39	-3.682	-1.97	-2.586	-2.146	-2.061	-0.724	-0.656	-1.647	-0.266	-0.286	-3.056	-1.306	-0.751	-0.339	-0.697	-0.631	0.089	-0.44	-0.432	-0.598	-1.206	-1.038
"YLL008W"	-2.364	-4.973	-6.033	-4.981	-1.744	-3.751	-4.808	-4.019	-3.12	-2.763	-1.147	-2.387	-1.409	-1.147	-1.87	-2.293	-5.659	-3.509	-3.627	-2.64	-2.165	-3.282	-2.899	-6.113	-2.364	-2.55	-1.847	-2.162	-3.473	-2.41	-2.154	-2.612	-2.386	-2.487	-2.92	0.477	-1.45	-0.544	-0.941	-0.963	-1.31	-1.106	-1.847	-1.906	-2.656	-4.642	-2.884	-4.08	-2.614	-2.378	-0.35	0.135	-1.563	0.814	0.111	-3.042	-2.201	-0.544	-0.524	-0.221	-0.754	-0.354	-0.145	-0.358	-0.95	-1.992	-0.954
"YLR196W"	-4.71	-5.425	-5.709	-5.04	-1.973	-3.221	-4.896	-4.532	-3.946	-1.297	-1.52	-2.273	-1.576	-1.289	-2.578	-1.459	-5.083	-3.01	-3.156	-2.049	-1.898	-2.276	-4.437	-5.836	-2.858	-2.859	-1.799	-1.477	-4.378	-2.182	-2.66	-2.604	-3.933	-4.664	-4.392	0.423	-1.306	-0.219	-1.087	-1.102	-1.454	-0.815	-1.956	-1.216	-2.149	-5.097	-2.941	-3.697	-2.702	-2.671	-0.46	-0.452	-2.83	-0.539	-0.287	-3.658	-2.265	-0.311	-0.202	-0.495	-0.74	-0.392	0.066	-0.536	-0.521	-1.845	-1.459
"YLR197W"	-3.755	-4.98	-4.31	-4.044	-2.606	-3.638	-4.76	-5.179	-3.466	-2.02	-1.737	-2.844	-2.358	-1.659	-1.615	-1.881	-5.817	-3.612	-3.173	-2.795	-2.789	-3.255	-4.736	-5.242	-3.899	-3.238	-3.258	-3.282	-5.671	-2.611	-3.067	-3.716	-4.423	-4.976	-5.033	0.484	-1.497	-0.412	-1.383	-1.26	-1.878	-0.809	-1.776	-2.488	-3.686	-5.072	-2.322	-4.496	-2.603	-4.151	0.151	-0.449	-3.17	-0.275	0.106	-4.545	-2.321	-0.159	0.549	-0.03	0.025	0.008	0.102	0.069	-0.032	-1.95	-1.585
"YLR198C"	-2.631	-4.57	-4.094	-4.694	-2.132	-3.371	-4.643	-4.805	-3.07	-2.013	-1.561	-2.6	-2.306	-1.785	-1.379	-1.55	-5.143	-2.989	-3.1	-2.376	-2.064	-2.252	-3.745	-3.401	-3.471	-3.106	-2.998	-2.5	-5.282	-2.521	-3.21	-3.479	-3.841	-4.919	-4.589	0.364	-1.379	-0.206	-1.177	-1.005	-1.735	-0.856	-0.791	-2.698	-3.325	-4.143	-2.376	-3.4	-2.256	-1.816	0.439	-0.039	-2.674	-0.021	0.135	-3.761	-1.701	0.086	0.595	0.171	-0.138	0.209	0.074	-0.015	-0.392	-2.18	-1.14
"YML064C"	0.2	0.048	0.359	-0.411	-0.3	-0.079	-0.642	-0.427	0.258	-0.146	-0.053	-0.545	-0.503	0.109	-0.476	-0.06	-0.247	-0.388	-0.69	-1.549	-1.739	-1.415	-2.421	-3.73	-0.713	-0.962	-1.106	-1.274	-0.642	-0.652	-0.612	-1.432	-1.338	-1.457	-1.948	-0.018	0.266	-0.025	0.07	0.402	-0.274	0.468	0.384	-0.947	0.129	-0.061	-0.5	-1.134	-1.103	-0.337	-0.546	-0.016	-0.678	-0.577	0.377	-0.398	-1.512	-0.462	-0.302	0.041	0.387	-0.442	-0.197	0.169	-0.594	-1.052	-0.128
"YML100W"	5.316	6.476	6.109	6.414	4.821	5.251	6.445	7.021	1.813	1.107	4.052	4.059	3.635	1.307	3.368	3.563	6.107	0.965	4.088	4.578	2.901	4.113	2.17	0.758	3.032	2.344	1.616	1.74	3.917	4.132	3.925	4.015	2.264	3.694	2.68	2.21	3.763	0.516	2.995	1.457	4.202	0.693	4.03	0.006	2.139	6.199	6.107	5.901	5.052	3.944	2.514	1.358	1.304	0.559	0.89	4.68	2.578	2.864	2.608	2.554	2.627	1.872	2.528	2.39	3.149	1.26	2.968
"YMR108W"	-0.669	-1.006	-1.305	-1.378	-1.361	-0.968	-1.01	-1.273	-0.201	-0.278	-0.41	-1.782	-1.287	0.103	-0.865	-0.719	-3.633	-0.934	-0.96	-0.786	-0.739	-0.41	-1.256	-2.477	-2.287	-1.784	-1.281	-1.089	-1.305	-0.828	-0.582	-0.836	-0.647	-0.925	-1.957	-0.137	-0.399	-0.043	-0.706	-0.413	-0.874	-0.455	-0.863	-1.241	-0.916	-1.28	-0.414	-1.182	-0.719	-0.462	0.16	-0.105	-2.156	0.071	-0.058	-3.767	-2.169	-0.254	-0.075	-0.04	-0.025	-0.264	-0.046	-0.089	0.145	-1.193	-0.167
"YMR131C"	-3.068	-4.819	-4.67	-4.183	-2.431	-3.849	-4.525	-4.347	-3.041	-2.233	-1.248	-1.871	-1.365	-1.4	-1.57	-1.713	-5.631	-3.641	-3.811	-2.698	-2.414	-2.914	-5.052	-6.665	-3.547	-2.98	1.316	-3.081	-4.277	-2.776	-2.829	-3.214	-4.236	-5.241	-4.266	0.16	-1.343	-0.279	-0.827	-1.786	-1.363	-0.812	-2.205	-1.789	-2.31	-4.674	-2.123	-3.866	-3.136	-3.736	-0.433	0.023	-2.944	-0.081	-0.069	-4.181	-2.616	-0.448	-0.204	-0.288	-0.536	-0.195	-0.448	-0.319	-0.343	-1.253	-1.751
"YMR229C"	-2.019	-1.7005	-5.189	-2.7485	-0.8405	-4.6555	-3.288	-4.5955	-3.6885	-2.871	-1.3185	-2.222	-1.7035	-1.8115	-1.2785	-2.1225	-6.1495	-3.5335	-3.765	-2.743	-2.443	-2.304	-4.4055	-5.288	-2.914	-2.1435	-2.161	-2.184	-4.826	-2.78	-2.897	-2.0525	-3.7195	-3.685	-3.93	0.348	-1.4455	-0.791	-1.165	-0.8255	-1.2375	-1.2055	-1.9295	-1.93833333333333	-3.3155	-4.3425	-3.328	-4.271	-3.0895	-3.375	-0.904	-0.6095	-2.548	-0.274	-0.355	-3.9575	-1.7485	-0.7315	-0.589	-0.3845	-0.589	-0.557	-0.3255	-0.477	-0.737	-3.076	-1.4445
"YMR290C"	-2.333	-3.64	-3.112	-3.689	-2.627	-2.957	-3.89	-3.624	-2.19	-2.197	-1.568	-2.714	-2.071	-1.864	-1.513	-1.911	-5.132	-3.842	-3.455	-3.073	-2.719	-3.471	-3.509	-5.217	-3.243	-3.378	-2.625	-2.846	-4.614	-3.037	-3.295	-3.716	-3.219	-3.665	-2.938	0.33	-1.38	-0.121	-1.059	-1.015	-1.35	-1.478	-2.633	-2.957	-2.555	-4.129	-3.16	-4.343	-3.775	-3.98	-0.842	-0.591	-3.856	-0.356	-0.32	-4.544	-3.217	-0.654	-0.41	-0.49	-0.543	-0.306	-0.357	-0.502	-0.525	-1.858	-1.604
"YNL075W"	-2.664	-3.86	-2.098	-3.164	-2.073	-2.558	-3.304	-2.768	-2.359	-0.99	-0.362	-1.938	-1.133	-0.888	-1.62	-1.319	-4.782	-2.75	-2.189	-1.683	-1.75	-1.696	-2.103	-3.339	-3.095	-2.494	-1.5	0.665	-2.149	-1.222	-0.979	-1.31	-0.506	-1.122	-0.976	-0.193	-1.136	-0.041	-0.683	-1.289	-0.921	-0.601	-1.445	-1.614	-0.98	-3.301	-3.326	-2.935	-2.361	-2.748	-0.813	-0.187	-1.475	0.231	0.265	-3.779	-1.957	-0.601	-0.26	-0.53	-0.688	-0.268	-0.204	-0.433	-0.657	-1.9	-1.02
"YNL132W"	-2.988	-4.679	NaN	-5.146	-2.394	-3.658	-3.329	-4.954	-4.644	-2.158	-1.718	-2.634	-1.292	-2.429	-2.669	-2.262	-5.826	-3.389	-2.815	-3.25	-2.572	-3.653	-4.956	-6.392	-3.285	-3.141	-2.521	-2.512	-4.353	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	0.261	-1.657	-0.55	-1.579	-0.954	-1.837	-1.191	-2.114	-1.281	-3.487	-3.45	-3.651	-4.311	-2.617	-3.564	-0.776	-0.564	-2.948	-0.165	-0.261	-3.989	-1.776	-0.608	-0.28	-0.456	-0.656	-0.432	-0.152	-0.272	-0.711	-1.735	-1.181
"YNL175C"	-2.67	-5.334	-4.914	-4.901	-2.739	-4.11	-4.362	-3.931	-2.77	-1.399	-1.66	-3.0	-2.194	-1.409	-1.792	-2.284	-4.877	-2.65	-2.975	-2.4	-2.146	-2.117	-2.872	-6.011	-2.575	-2.601	-2.327	-1.735	-4.587	-2.405	-2.804	-2.484	-2.404	-3.809	-2.849	0.305	-1.629	-0.209	-1.174	-0.967	-2.265	-1.001	-2.557	-2.238	-2.73	-5.147	-2.1525	-2.388	-1.8585	-1.746	-1.1285	-0.4345	-1.5355	-0.57	-0.484	-2.5475	-1.818	-0.1745	-0.543	-0.0895	-0.45	-0.2125	0.0085	-0.2745	-0.2495	-1.451	-0.497
"YNL248C"	-4.024	-4.791	-4.364	-4.315	-1.698	-3.398	-4.455	-4.373	-3.395	-1.793	-1.163	-2.352	-1.798	-1.572	-2.419	-1.533	-5.716	-3.559	-4.488	-3.442	-2.794	-3.857	-4.575	-5.215	-3.866	-3.014	-1.941	-3.947	-5.072	-2.419	-2.444	-2.924	-2.98	-3.902	-3.609	-0.088	-1.065	-0.016	-0.744	-1.778	-1.15	-1.223	-1.972	-2.53	-3.166	-4.868	-3.442	NaN	-2.886	-5.118	-0.622	-0.412	-4.217	-0.43	-0.088	-6.193	-3.227	-0.129	0.213	-0.111	-0.313	0.204	0.017	0.048	-0.147	-2.122	-1.281
"YNL313C"	-3.06	-3.472	-3.287	-3.026	-1.419	-2.399	-2.935	-3.02	-1.887	-1.132	-0.75	-1.152	-0.746	-0.92	-1.404	-1.468	-4.999	-2.695	-2.073	-2.007	-1.538	-2.126	-3.628	-5.714	-3.129	-2.948	-1.668	-1.914	-2.839	-1.544	-1.333	-1.551	-2.01	-2.343	-2.518	-0.186	-0.925	-0.453	-0.594	-0.589	-0.934	-0.769	-1.572	-1.051	-1.367	-3.009	-3.183	-2.824	-2.352	-1.81	-1.055	-0.553	-1.835	-0.015	-0.124	-3.85	-1.421	-0.872	-0.408	-0.589	-0.677	-0.592	-0.335	-0.507	-0.67	-1.289	-0.322
"YNR053C"	-2.579	-5.074	-2.27	-4.159	-1.498	-3.104	-3.74	-3.215	-3.706	-0.35	-0.359	-1.354	-1.034	-1.344	-0.886	-2.167	-3.029	-1.053	-1.27	-1.0205	-2.185	-0.1815	-2.097	-3.447	-1.445	-1.9505	-0.8	-1.5075	-1.032	-1.569	-1.573	-1.29	-0.785	-1.617	-1.942	-0.159	-0.496	-0.382	0.12	-1.077	-0.598	-0.053	-1.883	-2.016	-1.174	-4.11	-3.556	-3.937	-3.267	-2.674	-1.025	-0.631	-1.537	-0.691	-0.583	-4.56	-1.837	-0.692	-0.518	-0.963	-0.751	-0.118	-0.484	-0.617	-0.731	-2.566	-1.514
"YOL020W"	-0.127	-0.08	NaN	-0.627	0.228	-0.556	-0.187	-0.491	0.4255	0.1155	0.017	-0.727	-0.967	-0.487	-0.272	-0.163	-1.79	-0.1765	-1.078	-0.267	-0.4125	-4.3945	-1.182	-0.6925	-1.595	-2.622	-0.902	-1.026	-0.014	-0.465	-0.802	-1.253	-0.095	0.06	0.265	0.116	0.218	-0.445	0.335	0.127	0.022	-0.884	-0.759	-0.605	-1.183	0.18	-0.328	-0.799	-0.967	-1.355	0.042	0.317	-0.014	0.457	0.311	-0.805	-1.05	-0.471	-0.38	-0.091	0.07	-0.041	0.022	0.11	-0.494	-0.415	-0.918
"YOR004W"	-4.23	-4.757	-5.035	-3.548	-2.232	-2.903	-3.62	-3.212	-2.306	-0.829	-1.375	-2.188	-1.667	-1.041	-2.063	-2.164	-1.3775	-2.901	-0.943	-0.096	-0.1845	-1.3515	-3.012	-5.273	-0.599	-0.6875	-1.62	-1.313	-2.961	-2.503	-2.135	-1.689	-2.507	-2.832	-2.931	-0.783	-1.765	-0.054	-1.298	-1.837	-1.447	-1.208	-2.863	-1.929	-0.539	-3.591	-2.63	-4.082	-3.247	-3.651	-0.957	-1.173	-2.505	-0.831	-0.565	-4.043	-1.507	-0.843	-0.164	-0.624	-0.592	-0.23	-0.269	-0.406	-1.05	-1.824	-1.314
"YOR145C"	-3.045	-3.98	-3.649	-3.795	-1.872	-2.871	-3.492	-3.402	-2.2695	-1.2125	-0.662	-1.606	-0.938	-0.683	-1.416	-1.614	-4.1305	-2.03	-1.7885	-1.4615	-1.2725	-1.2825	-1.5065	-3.4715	-2.7235	-1.903	-1.5745	-1.9355	-0.787	-0.757	-0.742	-0.788	-0.118	-0.948	-0.797	-0.18	-1.028	0.363	-0.788	-1.019	-1.002	-1.044	-1.588	-1.589	0.013	-3.948	-3.355	-3.644	-2.806	-3.265	-0.159	-0.592	-2.352	-0.074	-0.067	-4.493	-1.091	-0.232	0.072	-0.286	-0.145	0.118	-0.212	-0.178	-0.3	-2.585	-1.237
"YOR146W"	-2.407	-3.231	-2.16	-2.681	-1.165	-3.597	-3.42	-3.036	-2.036	0.1505	-0.417	-1.335	-0.728	-0.346	-0.055	-1.521	-3.402	-1.9575	-1.4795	-1.446	-0.784	-0.8735	-0.901	-3.7465	-2.648	-1.68	-1.6095	-1.0855	-0.296	-0.284	-0.451	-0.292	0.382	-0.247	0.022	0.13	-0.721	0.23	-0.603	-0.567	-0.928	-0.253	-1.348	-1.177	0.344	-4.259	-2.045	-2.594	-1.898	-2.065	-0.101	-0.114	-1.294	-0.141	-0.261	-2.731	-0.676	0.016	0.204	-0.247	-0.227	0.118	-0.179	-0.094	-0.114	-1.923	-1.248
