	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"632.Elutriation2:Sample2:Time4.5hrs"	"681.YP galactose vs reference pool"	"684.YP fructose vs reference pool"	"854.YPD_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1107.alpha factor release sample025"	"1302.diauxic shift timecourse: 15.5 hr"	"1312.diauxic shift timecourse: 13.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"12744.heat shock 17 to 37, 20 minutes"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13065.Na/Na+FK 30min (1)"	"13066.Na/Na+FK 30min (2)"	"13067.Na/Na+FK 45min (1)"	"13068.Na/Na+FK 45min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13133.Ca/Ca+FK 30min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"
"YHR104W"	-0.483	-0.409	-0.289	4.5615	4.906	4.8105	4.6215	4.247	4.658	4.7775	-0.62	0.946	-0.619	3.691	0.357	2.561	-0.152	1.092	0.893	3.233	2.21	2.393	2.72	3.95	4.176	2.268	3.382	3.895	-0.06	0.007	5.319	-0.722	-1.05	-0.314	-0.434	0.513	0.035	0.306	0.448	0.598	0.346	-0.205	3.745	4.395	3.853	4.573	3.872	4.605	4.627	4.033	4.789	4.201	5.002	3.432	3.963	2.022
"YHR138C"	-0.181	-0.439	-0.261	3.098	3.445	-1.897	2.5555	2.6055	3.239	3.2655	-0.438	0.403	-0.604	1.82	0.121	2.435	-0.075	0.662	0.275	2.966	0.684	1.886	2.402	3.181	2.837	1.588	1.981	2.33	0.003	-0.083	3.7435	-0.675	-0.682	-0.509	-0.459	-0.394	-0.756	-0.593	-0.047	-0.805	-1.03	-1.673	3.257	3.918	3.527	4.045	1.067	3.157	2.838	2.457	2.477	2.711	3.561	2.666	2.652	2.302
"YHR148W"	0.318	-0.18	0.334	-1.6105	-3.0225	-1.8445	-2.0375	-2.8705	-3.2345	-2.692	-0.085	0.146	0.526	-3.086	-0.085	-1.58	-0.032	-0.631	-0.252	-2.068	-1.049	-1.697	-2.063	-2.43	-1.54	-1.509	-2.013	-1.969	0.237	-0.081	-3.95	0.038	0.367	-0.192	-0.162	0.224	-0.189	-0.261	-0.406	-0.182	-0.264	0.204	-1.372	-1.428	-2.046	-1.566	-1.198	-2.008	-1.694	-2.946	-1.944	-1.484	-2.565	-2.035	-2.893	-1.982
"YIL071C"	NaN	NaN	NaN	1.089	0.894	3.024	0.508	0.918	1.003	0.893	NaN	0.784	0.0	1.292	0.234	1.194	NaN	NaN	NaN	1.008	0.379	0.796	0.901	1.081	0.846	0.905	1.058	1.0	0.05	0.041	1.7	0.0	-0.131	0.048	-0.035	-0.178	-0.251	-0.317	0.024	0.194	0.149	-0.412	0.89	1.247	0.639	1.013	0.817	1.22	1.101	0.559	0.952	0.931	1.082	-0.69	1.294	1.312
"YIL096C"	-0.523	-0.23	-0.066	-2.468	-2.835	-0.475	-2.2225	-1.884	-0.384	-2.05	0.041	-0.123	0.23	-2.516	0.141	-1.535	0.126	0.371	-0.391	-1.181	-0.737	-1.039	-1.245	-1.959	-1.959	-0.622	-1.383	-1.453	0.356	0.056	-1.556	0.685	0.729	0.324	0.227	-0.279	0.055	-0.268	-0.465	-0.516	-0.35	0.138	-1.624	-2.11	-2.353	-2.241	-1.197	-1.898	-2.298	-1.501	-2.323	-2.015	-2.651	-2.295	-2.167	-1.25
"YIL103W"	-0.138	-0.351	-0.325	-0.971	-1.282	-0.4105	-2.1455	-0.4715	-1.163	-1.311	-0.503	0.178	0.019	-1.36	0.258	-0.074	-0.153	-0.021	-0.345	-0.528	-0.711	-1.177	-0.757	-1.041	-1.07	-0.836	-1.131	-1.318	0.219	-0.208	-0.7685	0.295	0.218	0.134	0.179	0.129	0.417	-0.308	0.287	-0.574	-0.182	0.166	-0.519	-1.158	-1.019	-1.228	-0.728	-1.179	-2.382	NaN	-1.884	-1.881	-1.623	-0.949	-1.746	-0.954
"YJL069C"	-0.211	-0.18	-0.368	-2.8925	-3.028	2.1855	-3.073	-1.3795	-2.9805	-3.0365	-0.089	-0.111	0.534	-4.742	-0.007	-2.694	-0.013	-0.7	-0.755	-2.266	-1.386	-2.149	-1.914	-2.329	-1.711	-1.707	-2.035	-1.743	0.126	-0.566	-3.224	0.299	0.174	-0.103	0.114	0.15	0.188	-0.086	-0.275	-0.012	0.178	-0.088	-1.871	-1.028	-1.791	-1.246	-1.829	-1.152	-1.257	-1.62	-1.159	-3.282	-1.862	-2.285	-2.354	-1.803
"YJL108C"	0.04	-0.391	-0.176	1.397	1.1095	1.5295	1.044	0.6735	0.9135	0.7165	-0.673	0.248	0.28	-0.751	-0.007	-0.822	-0.087	-1.249	-0.207	5.057	0.459	0.018	4.314	4.44	4.312	3.76	3.992	4.028	-0.178	-0.272	1.237	-0.653	-1.243	0.017	0.045	0.009	-0.269	0.241	-0.029	-0.454	-0.487	-0.092	4.621	3.154	4.35	3.353	5.017	3.297	2.444	2.533	2.992	0.379	-0.078	1.5575	-0.8925	-1.402
"YJR002W"	-0.0795	0.0745	0.146	-3.138	-3.52066666666667	-0.709666666666667	-2.819	-2.21066666666667	-2.34	-3.20666666666667	0.1515	-0.741	0.1115	-2.9885	0.074	-2.212	-0.0945	-0.205	-0.186	-1.4075	-0.743	-1.4575	-1.3115	-2.0865	-1.753	-0.9595	-1.7065	-1.7065	0.182	0.189	-3.31866666666667	0.233	0.0735	-0.2155	-0.203	0.051	0.3675	-0.7955	-0.109	-0.4555	-0.2675	0.0575	-1.54	-1.803	-1.913	-2.31	-1.603	-1.865	-2.1325	-0.062	-4.135	-2.667	-3.252	-2.97	-2.426	-1.264
"YJR019C"	-0.01	0.035	0.16	1.322	0.5635	1.373	1.0255	0.8655	1.3695	1.133	0.086	-0.222	-0.623	2.306	-0.65	1.38	-0.04	0.774	0.148	2.268	0.468	-0.348	1.843	2.059	1.862	1.06	1.486	1.324	0.121	0.377	1.4745	0.008	-0.501	-0.04	-0.192	0.333	0.165	0.049	-0.166	-0.392	-0.136	-0.619	1.333	1.386	1.136	1.491	1.329	1.851	1.804	1.816	2.576	-0.335	-0.279	0.665	1.275	1.67
"YJR063W"	-0.214	0.086	-0.084	-2.0025	-2.675	-1.716	-2.1255	-2.576	-2.555	-2.2705	0.032	-0.239	0.821	-3.233	-0.062	-2.236	-0.089	-0.593	-0.342	-1.662	-0.859	-1.994	-2.045	-1.804	-1.2	-1.258	-1.476	-1.422	0.146	0.009	-3.415	0.423	0.726	0.106	0.195	0.098	-0.464	0.18	-0.02	0.196	0.201	0.601	-1.47	-1.753	-1.789	-1.665	-1.824	-2.148	-1.687	-1.705	-1.471	-1.046	-1.276	-2.068	-2.958	-2.455
"YKL078W"	-0.119	-0.529	-0.444	-1.889	-3.604	NaN	-5.158	-2.3495	-3.592	-3.3985	0.261	-0.1	0.267	-5.829	-0.202	-2.695	0.119	-1.034	-1.002	-2.374	-2.114	-2.4	-1.827	-2.708	-2.548	-1.799	-2.321	-2.256	0.394	-0.291	-3.7245	0.412	0.429	0.259	0.048	-0.97	-2.068	-1.12	-0.155	-0.214	0.165	0.276	-2.342	-2.451	-2.327	-2.958	-2.415	-2.441	-1.592	-1.323	-1.948	-2.953	-3.359	-2.475	-3.291	-2.654
"YKL091C"	-0.451	-0.262	0.07	3.351	4.009	3.776	3.851	2.683	3.567	3.623	-0.259	0.987	-0.28	5.27	0.331	3.642	-0.192	0.568	0.9	3.719	2.258	2.512	2.482	3.059	3.309	2.427	3.042	3.043	-0.172	-0.063	3.699	-0.075	-0.173	-0.011	-0.088	0.877	0.532	0.73	0.906	1.309	0.853	0.184	2.098	2.411	2.025	2.836	2.41	2.549	3.123	3.564	3.452	2.005	3.205	2.597	4.146	3.248
"YKL143W"	-0.185	-0.331	-0.387	-3.105	-4.877	-5.727	-4.765	-3.755	-3.979	-3.248	-0.058	0.25	0.0	-4.748	-0.088	-2.734	0.1	-0.854	-0.61	-1.312	-1.413	-1.297	-1.641	-2.976	-2.881	-1.17	-2.458	-3.373	0.049	0.071	-4.275	0.761	0.945	0.249	0.549	-0.432	0.386	-0.649	0.013	-0.134	-0.493	0.545	-1.553	-4.177	-2.136	-4.061	-2.241	-5.338	-3.548	-2.852	-5.061	-3.454	-4.409	-2.624	-3.914	-2.07
"YKL193C"	-0.857	-0.517	-0.462	2.396	1.997	2.27	1.904	1.556	1.56	1.755	-1.004	0.813	-0.395	2.373	0.239	1.68	-0.472	0.841	0.433	0.394	0.124	1.366	1.615	1.947	1.76	1.098	1.391	1.383	-0.19	-0.155	1.803	-0.088	-0.137	-0.09	-0.01	0.118	-0.349	0.26	0.067	0.216	0.231	-0.222	1.162	1.412	1.204	1.239	1.186	1.524	1.568	1.025	1.095	1.492	1.663	1.55	2.642	1.834
"YKR024C"	-0.07	-0.469	-0.124	-2.831	-3.382	-3.249	-3.489	-2.212	-3.285	-2.848	0.186	-0.25	0.138	-4.227	-0.1	-2.134	0.252	-1.089	-0.701	-1.941	-1.485	-1.779	-1.982	-2.204	-1.977	-1.533	-1.791	-1.689	0.099	-0.232	-3.49	0.311	0.151	-0.04	0.264	-0.12	-0.441	-0.517	-0.58	0.156	-0.157	0.045	-2.248	-1.997	-2.177	-2.155	-2.312	-2.167	-1.386	-1.781	-1.463	-3.27	-1.518	-2.377	-2.389	-1.827
"YKR046C"	-0.484	-0.325	-0.008	1.403	1.623	NaN	1.465	1.316	2.034	1.513	-0.492	-0.058	-0.06	2.019	0.118	1.726	-0.061	0.482	0.328	1.233	0.111	0.338	0.816	1.561	1.521	0.139	0.948	1.168	-0.381	-0.281	2.093	0.116	-0.168	-0.065	-0.043	0.015	0.188	-0.188	0.453	0.277	0.49	0.276	0.718	1.034	0.733	0.99	0.736	1.49	1.113	-3.426	1.117	-0.399	0.327	0.497	1.834	2.303
"YKR081C"	0.172	0.11	0.454	-4.01	-4.459	-3.157	-3.308	-1.58	-3.81	-3.431	0.488	-0.313	0.252	-4.081	-0.003	-3.734	-0.04	-0.392	-0.404	-2.166	-0.988	-1.931	-1.865	-2.808	-1.645	-1.476	-2.276	-2.28	0.288	0.574	-3.505	0.547	0.467	-0.272	-0.343	-0.206	-0.597	-1.013	-0.573	-0.395	0.108	0.464	-2.195	-2.534	-1.95	-2.641	-1.907	-3.084	-2.582	-4.501	-2.789	-2.229	-2.666	-2.514	-3.261	-2.433
"YLL026W"	-1.221	-0.878	-0.954	5.272	5.873	2.796	5.276	5.224	6.223	6.124	-0.731	1.122	-0.782	3.789	0.642	3.64	-0.139	1.312	1.065	2.93	3.262	2.945	2.495	2.676	2.481	2.286	2.702	2.804	-0.311	-0.006	5.928	-0.59	-0.962	-0.106	-0.195	0.035	0.059	0.394	0.07	-0.575	-0.629	-0.972	2.508	2.551	2.76	2.63	0.697	0.704	2.908	2.684	2.886	7.05	6.217	4.322	5.223	4.61
"YLR003C"	-0.121	-0.314	0.034	-2.628	-3.442	-2.921	-2.957	-2.644	-3.201	-3.212	-0.151	-0.153	-0.006	-3.378	0.103	-3.393	-0.23	-0.554	-0.285	-1.374	-1.017	-1.689	-1.627	-1.985	-1.287	-1.157	-1.946	-1.909	-0.094	-0.371	-3.305	0.259	0.614	0.048	0.058	-0.195	-0.49	-0.55	-0.598	0.334	0.1	0.179	-1.875	-2.208	-1.952	-2.329	-2.223	-2.654	-2.502	-1.938	-1.965	-2.062	-2.573	-2.402	-3.839	-2.794
"YLR009W"	0.458	0.121	0.032	-2.705	-4.735	-4.567	-4.564	-2.897	-4.204	-3.864	0.027	-0.306	0.07	-4.675	-0.092	-3.455	0.188	-0.713	-0.578	-2.459	-1.592	-2.176	-2.563	-2.802	-2.013	-2.197	-2.902	-2.825	0.139	-0.094	-4.344	0.582	0.808	0.014	0.138	0.322	-0.126	0.257	-0.385	0.315	-0.081	0.506	-2.528	-2.856	-2.352	-2.849	-2.119	-2.61	-3.247	-2.788	-2.344	-3.489	-3.436	-1.829	-3.361	-1.953
"YLR057W"	-0.081	-0.353	-0.273	-0.622	-0.655	NaN	-1.045	-0.447	-0.35	-0.865	0.217	0.252	-0.144	NaN	0.001	-1.007	-0.379	-0.139	-0.119	-1.336	-0.449	-1.192	-1.194	-1.621	-1.239	-1.161	-1.176	-0.97	0.167	0.243	-0.205	-0.121	0.251	-0.171	-0.132	-0.489	-0.077	-0.831	-0.472	-0.061	0.549	0.138	-1.752	-1.7	-1.734	-1.388	-1.881	-1.314	-1.486	NaN	-3.031	-1.186	-1.087	-0.488	-1.663	-1.084
"YLR068W"	-0.182	-0.152	0.235	-0.945	-0.901	2.817	-1.755	-0.233	0.285	0.372	-0.019	0.0	0.291	-1.533	-0.163	-0.808	-0.122	-0.435	-0.549	-1.473	-0.678	-1.647	-1.737	-2.111	-1.743	-0.856	-1.196	-1.648	0.096	-0.142	0.693	0.085	0.452	0.155	0.23	0.252	-0.174	0.133	0.05	-0.249	0.03	0.239	-1.416	-1.496	-1.834	-1.413	-1.513	-2.126	-1.476	-1.646	-2.12	-3.037	-2.248	-2.5	-2.591	-1.515
"YLR186W"	-0.018	0.581	-0.288	-2.647	-2.522	NaN	-2.221	-2.011	-2.976	-2.122	0.382	-0.537	0.669	-4.787	-0.004	-2.372	-0.29	-0.544	-0.784	-1.656	-0.75	-1.886	-1.698	-1.642	-0.861	-1.436	-1.814	-1.695	-0.679	0.303	-3.083	0.653	0.428	0.226	0.375	0.35	0.215	0.164	-0.436	0.067	0.253	0.508	-1.947	-2.164	-2.139	-1.941	-1.418	-1.566	-1.927	-1.987	-0.848	-2.648	-2.466	-3.113	-4.173	-2.896
"YLR251W"	-1.026	-0.742	-0.711	3.436	3.829	3.267	3.611	2.862	3.682	3.696	-1.136	1.222	-0.111	3.169	-0.015	2.36	-0.187	1.08	0.511	3.53	1.643	3.116	2.699	3.251	2.767	2.371	2.789	2.853	-0.122	0.088	4.136	0.066	-0.282	0.512	0.515	0.171	0.266	1.082	0.964	1.14	0.93	0.582	2.672	3.255	2.948	3.449	2.886	4.012	2.741	2.182	1.972	2.137	1.438	2.533	2.615	1.701
"YLR252W"	-0.381	-0.507	-0.227	3.536	3.483	3.141	2.704	2.656	3.133	3.23	-0.913	0.087	-0.28	2.929	-0.268	1.93	-0.283	0.942	0.96	3.707	1.8	3.59	2.817	3.319	2.943	2.725	3.12	2.917	-0.255	0.179	3.837	-0.172	0.026	0.209	0.185	0.354	0.365	0.879	0.722	1.129	0.954	0.28	2.461	3.244	2.696	2.994	2.948	4.12	2.993	2.889	1.971	1.983	0.776	1.859	3.058	2.007
"YLR276C"	-0.13	0.054	-0.249	-3.536	-4.199	NaN	-3.855	-3.331	-3.732	-4.143	0.055	0.148	0.263	-4.467	-0.082	-3.49	-0.097	-0.82	-0.431	-2.129	-1.387	-1.433	-1.864	-2.531	-1.558	-1.558	-2.431	-2.252	0.217	0.243	-2.51	0.442	0.511	-0.131	-0.486	-0.226	-0.257	-0.599	-0.698	-0.174	0.404	0.283	-2.297	-2.375	-2.253	-2.416	-2.232	-3.239	-2.537	-3.609	-1.452	-3.95	-4.014	-2.803	-3.838	-1.145
"YLR284C"	-0.201	-0.44	0.142	NaN	NaN	NaN	NaN	2.248	NaN	NaN	-0.26	0.0	-0.282	2.165	-0.02	2.34	0.023	-0.17	0.136	1.722	0.559	0.35	1.278	1.414	1.462	1.573	1.786	1.715	0.094	0.262	NaN	-0.12	-0.397	0.207	0.267	0.057	-0.327	0.11	0.083	-0.182	-0.008	-0.336	1.5	1.861	1.192	1.996	1.336	2.136	1.922	2.18	1.809	-0.316	1.413	0.763	1.702	1.567
"YLR409C"	0.339	-0.15	-0.219	-4.088	NaN	-3.474	-3.176	-2.574	-3.696	-3.852	0.198	-0.201	0.098	-4.402	0.033	-2.708	0.054	-0.787	-0.858	-1.957	-1.229	-1.926	-1.383	-1.911	-1.548	-1.239	-1.565	-1.295	0.494	-0.313	-4.473	0.191	0.221	0.292	0.169	-0.126	0.015	0.025	-0.348	-0.373	-0.123	-0.171	-1.442	-1.735	-1.71	-1.598	-1.515	-1.543	-1.706	-1.269	-1.125	-3.152	-2.812	-2.584	-3.231	-1.992
"YML060W"	-0.152	-0.21	-0.485	-0.796	-1.4	-0.829	-2.823	-1.322	-1.662	-1.678	-0.302	0.0	-0.054	-4.954	-0.252	-1.611	0.336	-0.132	0.089	-1.436	-0.766	-0.865	-1.706	-1.949	-1.767	-1.385	-1.453	-1.541	-0.321	-0.402	-1.262	0.338	0.277	0.354	0.076	-0.02	-0.219	0.149	-0.298	-0.156	-0.141	0.49	-1.029	-1.616	-1.099	-1.928	-1.232	-2.434	-1.582	-1.557	-2.006	-2.364	-5.598	-2.284	-3.496	-1.882
"YMR110C"	-0.741	-0.587	-0.592	2.134	2.615	2.502	2.414	2.26	2.565	2.824	-0.41	-0.165	-0.479	3.925	0.201	4.042	-0.179	1.128	0.582	1.765	1.147	1.814	1.252	1.966	1.767	1.239	1.879	2.022	-0.117	0.343	2.675	-0.244	-0.572	-0.016	-0.016	0.028	0.517	0.254	0.521	0.003	0.203	-0.651	1.686	2.258	1.662	1.888	1.944	2.717	1.948	NaN	1.709	2.229	2.545	1.23	3.64	3.462
"YMR139W"	-0.673	-0.269	-0.158	1.536	1.925	2.009	1.824	1.541	2.023	1.993	-0.085	0.724	-0.093	3.263	0.002	2.543	-0.039	0.465	0.596	1.56	1.125	1.477	1.232	1.653	1.436	0.967	1.572	1.624	-0.216	0.073	1.885	-0.497	-0.578	-0.178	-0.135	-0.118	-0.413	0.404	-0.113	-0.187	-0.085	-0.377	1.491	1.844	1.434	1.912	1.513	1.656	2.407	1.745	2.385	1.511	1.96	1.497	2.001	1.737
"YMR170C"	-0.931	-0.658	-1.177	4.153	5.429	NaN	5.057	4.008	5.21	5.684	-0.602	0.916	-0.469	6.85	0.088	4.668	0.174	1.032	0.657	4.06	2.562	3.94	3.578	4.235	4.323	2.97	3.461	4.144	-0.663	-1.834	6.459	-1.016	-1.405	-0.551	-0.651	0.438	0.339	0.79	0.964	0.8	1.105	0.592	3.996	5.241	4.639	5.187	4.111	5.551	5.091	3.697	4.67	2.93	4.409	2.532	6.253	4.167
"YMR181C"	-0.056	-0.085	0.194	1.997	2.286	1.989	1.792	1.254	2.18	1.971	0.059	0.454	-0.412	3.744	-0.041	3.306	-0.094	0.648	0.792	2.075	0.919	1.889	1.933	2.61	2.301	1.126	1.782	2.014	-0.4	-0.661	1.545	-0.604	1.047	-0.387	-0.317	0.376	0.316	0.323	0.619	0.767	0.418	0.373	1.157	1.837	2.321	1.93	1.525	2.08	2.334	1.972	2.241	0.688	1.558	1.449	2.304	2.183
"YNL002C"	0.108	-0.319	-0.599	-3.547	-4.666	-4.12	-4.07	-3.305	-4.559	-4.222	-0.399	-0.004	-0.06	-5.196	0.092	-3.426	-0.152	-0.671	-0.989	-1.603	-1.402	-1.829	-1.398	-2.774	-1.803	-1.355	-2.843	-2.776	0.328	-0.095	-4.603	0.524	1.101	-0.019	-0.071	0.592	0.457	-0.63	-0.02	0.081	-0.207	0.43	-2.519	-2.334	-2.104	-2.612	-1.849	-1.375	-2.639	-3.349	-3.183	-3.249	-3.481	-3.245	-4.466	-2.41
"YNL011C"	-0.214	0.029	0.109	0.827	1.065	1.268	1.144	1.011	1.469	1.126	-0.056	0.732	0.179	1.685	0.131	1.065	-0.353	-0.092	0.216	1.652	0.871	0.986	1.452	1.38	1.065	1.847	1.405	1.081	-0.179	-0.041	1.418	0.384	-0.07	0.302	0.434	0.548	0.328	0.781	0.641	0.302	0.413	-0.181	1.327	1.053	1.31	1.542	1.794	1.743	2.068	1.76	2.006	1.345	1.636	0.862	1.172	-0.176
"YNL061W"	0.351	0.189	0.134	-3.447	-4.928	-4.17	-3.927	-4.143	-4.404	-3.948	0.508	-0.2	0.354	-4.329	0.037	-3.268	0.12	-1.185	-1.082	-2.327	-0.954	-1.324	-1.7	-2.599	-1.44	-1.586	-2.111	-2.07	-0.049	-0.016	-5.38	-0.132	0.258	-0.353	-0.207	-0.164	-0.193	-0.208	-0.562	-0.086	-0.257	0.196	-2.222	-2.816	-3.009	-2.646	-1.852	-2.079	-2.95	-1.877	-1.981	-3.059	-3.925	-2.461	-2.571	-1.387
"YNL110C"	0.156	-0.359	0.098	-3.468	-4.43	-5.407	-3.64	-3.768	-4.56	-4.991	-0.36	-0.318	-0.025	-5.108	-0.249	-4.151	-0.179	-0.709	-0.717	-2.56	-1.452	-1.665	-2.395	-3.662	-2.623	-2.07	-3.62	-3.346	0.186	-0.095	-5.064	0.835	1.101	-0.333	-0.305	0.032	0.305	-0.616	-0.563	0.342	-0.039	0.594	-2.328	-2.547	-2.48	-2.308	-1.712	-2.18	-2.701	-4.105	-2.816	-4.233	-4.907	-3.973	-4.747	-2.546
"YNL248C"	0.382	-0.277	0.187	-4.024	-4.791	-4.364	-4.315	-3.398	-4.455	-4.373	-0.059	-0.728	-0.089	-5.716	-0.131	-5.072	0.19	-0.41	-0.448	-2.721	-1.174	-1.9	-2.371	-2.958	-1.972	-1.687	-2.005	-1.857	0.139	-0.111	-4.868	0.735	0.676	0.097	0.268	0.163	0.06	-0.074	-0.133	0.091	0.131	0.481	-1.853	-2.666	-1.984	-2.526	-1.015	-2.089	-1.293	-2.931	-1.58	-3.442	NaN	-5.118	-6.193	-3.878
"YNL305C"	-0.185	-0.205	-0.099	2.702	2.659	2.473	2.292	1.962	2.585	2.924	-0.378	0.038	-0.261	1.558	-0.297	2.762	-0.115	1.204	0.492	1.337	0.806	0.756	1.395	2.037	1.739	0.889	1.365	1.505	0.033	-0.066	3.11	-0.104	-0.488	-0.252	-0.212	0.099	0.064	0.349	-0.062	-0.046	0.028	-0.482	1.809	1.678	1.612	2.186	1.198	2.069	1.908	2.609	2.687	1.536	1.802	2.439	2.226	1.702
"YNR002C"	0.376	0.287	0.12	3.157	3.999	3.28	1.509	2.301	2.855	2.921	0.337	0.508	-0.751	3.522	-0.209	2.865	-0.098	0.067	0.128	3.09	0.793	1.611	1.978	2.116	1.423	1.392	1.687	1.314	-0.083	0.618	2.872	-0.157	-0.2	0.18	0.066	0.123	-0.059	0.334	0.261	0.25	0.459	-0.06	1.683	1.508	1.709	2.139	1.385	1.144	1.222	1.976	1.393	2.049	2.957	2.197	2.62	3.924
"YNR034W"	-0.143	-0.072	-0.05	2.098	2.393	2.101	2.102	1.529	2.195	2.193	-0.203	0.644	0.2	1.1025	0.063	1.376	-0.321	-0.226	-0.167	3.547	1.248	1.719	2.755	3.39	2.794	2.477	2.793	2.466	-0.408	0.455	2.115	-0.08	-0.178	0.008	-0.261	0.633	0.08	0.271	-0.052	0.389	0.879	-0.21	2.45	2.128	2.258	2.295	3.094	2.842	2.947	3.378	2.842	1.831	2.138	1.098	1.423	1.342
"YOL010W"	0.072	-0.008	-0.234	-2.371	-2.972	7.476	-3.252	-2.711	-2.999	-2.174	-0.1	0.263	0.203	-2.573	-0.002	-3.125	-0.006	-0.723	-0.594	-2.039	-1.105	-2.518	-1.982	-2.621	-1.866	-2.021	-2.534	-2.488	0.04	-0.293	-2.479	0.362	0.327	-0.057	-0.07	-0.27	-0.237	-0.853	-0.728	-0.975	-0.805	0.102	-2.175	-1.734	-2.104	-1.572	-2.052	-2.431	-2.099	-3.554	-1.938	-4.237	-3.167	-3.1535	-3.9135	-2.207
"YOL080C"	-0.133	-0.654	-0.517	-0.379	-1.52	-0.864	-1.094	-0.948	-1.172	-1.16	-0.045	-0.695	0.376	-0.8635	0.032	-1.136	0.011	-0.655	-0.5	-2.03	-0.744	-1.533	-2.523	-1.933	-1.772	-1.946	-1.943	-1.158	0.041	0.464	-0.717	-0.385	-0.609	-0.165	-0.107	-0.779	-0.094	-0.363	-0.762	-0.452	-0.751	-0.16	-1.872	-2.093	-1.997	-1.827	-1.577	-1.534	-1.816	-1.558	-1.365	-1.719	-2.187	-2.117	-2.898	-2.291
"YOL150C"	-0.295	-0.32	-0.232	1.898	1.247	0.871	0.794	2.402	2.034	2.11	-0.301	-0.576	0.438	0.4305	-0.417	0.876	-0.443	0.14	0.061	4.365	0.768	1.068	3.292	4.208	4.324	2.898	3.699	3.404	0.052	-0.387	2.19	-0.442	-0.18	0.139	0.129	0.791	0.614	0.423	0.52	0.722	0.707	0.734	3.58	3.655	3.492	3.825	3.933	3.78	3.474	5.192	4.727	3.569	1.943	3.03	1.266	1.05
"YOL151W"	-0.789	-0.59	-0.785	1.911	1.468	0.921	0.809	2.416	2.102	2.366	-0.439	0.338	0.405	0.455	0.067	1.029	-0.38	0.169	0.023	4.096	0.642	2.213	2.871	4.044	4.365	2.993	3.741	4.092	-0.206	-0.78	2.322	-0.473	-0.691	0.277	0.133	0.684	0.536	0.757	0.69	0.523	0.52	0.434	3.597	4.009	3.656	3.884	1.417	3.028	4.14	2.938	4.94	4.21	2.484	2.407	2.082	1.592
"YOR052C"	0.018	0.258	0.08	3.429	2.928	3.193	3.124	2.471	3.237	3.288	-0.172	-0.294	-0.092	3.063	0.576	2.054	-0.303	0.655	0.627	2.537	2.197	3.015	1.497	2.173	1.949	1.223	1.904	1.806	-0.404	0.216	3.265	-0.744	-0.518	-0.113	-0.244	0.529	0.484	0.742	1.042	0.777	0.242	-0.184	2.196	2.138	1.895	1.896	2.462	2.004	NaN	2.623	1.961	2.784	3.6	2.538	2.334	1.072
"YOR054C"	0.178	0.127	-0.022	1.701	1.632	1.523	1.664	1.02	1.984	1.737	-0.121	0.305	-0.242	1.631	-0.095	1.416	-0.33	0.287	0.131	1.992	1.008	1.265	1.418	1.504	1.038	1.259	1.762	1.615	-0.076	0.403	1.895	-0.629	-0.72	-0.18	0.001	0.163	0.17	0.229	0.266	0.356	0.246	-0.259	1.528	1.492	1.377	1.337	1.974	1.397	1.384	1.503	1.371	0.398	0.951	1.428	2.229	2.032
"YOR135C"	0.172	0.084	0.248	1.82	2.426	1.306	2.034	2.393	2.713	3.178	0.485	0.899	-0.83	-3.392	0.477	2.773	0.434	0.865	0.707	0.344	0.796	1.991	-0.111	0.662	0.681	-0.79	0.052	0.518	0.404	0.186	3.316	-0.431	-0.283	-0.311	-0.25	0.145	0.292	0.092	0.464	0.639	0.859	0.446	0.766	0.436	0.603	0.342	0.886	1.622	1.22	-0.254	1.617	1.853	2.787	1.063	1.424	1.821
