	"49.Elutriation2:Sample2:Time0.0hrs"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"809.DBY7286 37degree heat - 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"2560.29C to 33C - 15 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"8210.steady state 33 dec C"	"13057.wt/crz1 Na 30min (1)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"18434.2mM MD 100min"
"YJL190C"	-1.343	1.453	1.126	-1.283	-1.701	0.088	-1.241	-1.374	-1.306	-3.794	-3.553	-3.267	-2.958	-2.413	-3.287	-3.585	-6.079	-3.744	-3.536	-3.062	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	-0.277	-0.176	0.122	-0.51	0.146	0.839	0.457	0.454	-1.942
"YJR145C"	-0.446	1.341	0.963	-1.012	-1.7845	-0.008	-1.453	-1.379	-1.129	-4.507	-3.488	-3.177	-2.731	-2.328	-2.413	-3.54	-6.528	-3.547	-3.597	-3.707	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	0.142	-0.29	0.033	-0.481	0.38	0.805	0.394	0.212	-1.6925
"YKL050C"	-0.645	0.094	0.029	-0.314	-0.235	0.037	-0.843	-0.773	-0.727	1.443	0.631	1.612	3.19	4.636	NaN	3.353	0.498	1.181	1.798	1.481	2.384	4.351	4.561	2.659	2.578	1.692	-0.177	-0.299	-0.442	-0.468	0.322	-0.144	0.132	-0.229	0.781
"YKL107W"	0.393	-0.434	0.755	0.237	0.441	-0.247	0.184	0.231	0.084	1.977	2.059	2.503	3.68	4.957	3.01	2.551	0.927	3.458	3.261	3.268	1.672	3.239	2.313	2.83	4.046	3.889	-0.281	0.037	0.022	0.191	-0.093	-0.199	-0.096	-0.188	1.728
"YKL221W"	0.889	-0.363	0.435	-0.068	-0.086	-0.031	0.443	0.294	0.484	0.339	-0.315	0.252	0.688	1.742	1.399	2.449	0.857	0.797	2.486	1.388	0.941	2.035	3.264	2.869	2.6	2.515	-0.411	0.061	-0.341	-0.326	0.222	-0.171	-0.159	-0.183	0.098
"YKR009C"	0.535	-0.427	-0.892	0.704	0.293	0.22	0.863	0.249	0.2	3.745	3.401	3.725	4.306	3.934	1.861	3.808	2.401	1.431	3.166	2.958	2.425	1.963	1.392	4.39	3.928	3.376	-0.002	0.848	0.641	0.939	0.087	-0.36	-0.439	-0.4	1.588
"YLL044W"	-0.738	1.115	1.006	-1.173	-1.796	-0.37	-1.415	-1.356	-0.936	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-6.48	-3.031	-3.269	-2.156	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	-0.168	-0.452	0.009	-0.489	-0.032	0.842	0.284	0.343	-1.891
"YLL045C"	-0.597	1.348	1.206	-0.961	-1.721	-0.167	-1.27	-1.25	-0.851	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-3.335	-3.185	-2.744	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	-0.075	-0.311	0.226	-0.25	0.427	0.676	0.158	0.219	-2.057
"YLR060W"	-0.945	0.614	0.566	-0.483	-0.273	-0.118	-0.866	-0.578	-0.436	-3.165	-2.617	-2.047	-2.296	-2.499	-2.849	-4.941	-5.967	-1.988	-2.672	-2.566	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	0.136	-0.11	0.433	0.123	0.194	0.203	-0.058	-0.301	1.044
"YLR062C"	-0.374	1.05	1.07	-1.285	-1.524	-0.16	-1.241	-1.17	-0.933	-4.53	-4.418	-3.352	-3.067	-3.127	-4.077	-5.705	-6.896	-3.985	-3.965	-3.18	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	0.127	-0.293	0.347	-0.097	-0.077	0.77	0.105	0.185	-2.74
