	"686.YP ethanol vs reference pool"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"30463.Pomona/Brown pol2-12 red"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"
"YJL141C"	0.38	3.509	2.039	1.989	2.212	2.328	2.273	2.708	2.43	2.008	1.927	1.804	1.28	0.979	1.012	1.856	1.968	2.217	2.333	2.128	-0.226	-0.047	-0.018	-0.111	-0.109	1.359	-0.47	-0.755	0.011	-0.156	0.447	0.537	0.608	0.111	0.508	0.943	0.778	0.38	-0.639	1.079	0.587	3.165	1.852
"YJL157C"	-0.778	-2.634	-0.695	-1.69	-1.634	-1.708	-0.962	-3.548	-3.065	-2.404	-1.403	-2.54	-2.599	-0.111	-1.274	-1.008	-2.535	-3.198	-3.396	-3.219	0.018	-0.328	-0.621	-0.91	-0.692	-1.339	0.276	-0.038	0.267	0.284	0.693	-0.549	-0.367	0.371	-0.759	-0.315	-0.093	-0.852	0.46	0.398	-0.626	-0.879	-0.388
"YJL164C"	1.269	2.713	2.389	2.642	3.115	3.387	3.53	3.922	1.602	2.024	1.678	1.178	1.432	1.968	2.744	2.975	3.214	3.039	3.766	3.209	0.116	0.813	0.542	0.284	0.453	1.964	-0.38	-0.611	-0.057	-0.018	0.593	0.165	0.053	0.156	-0.124	-0.056	-0.057	-0.193	-0.25	0.436	0.808	1.499	1.742
"YJL166W"	1.485	3.137	3.667	3.5	3.101	2.498	3.751	3.849	2.392	2.57	2.339	2.197	2.526	3.028	2.833	2.507	2.963	3.264	3.664	3.32	0.021	-0.569	-0.759	-0.617	-0.422	1.113	-0.484	-0.278	-0.388	-0.473	-0.134	0.187	0.165	0.115	-0.405	0.18	0.058	1.102	-0.242	-1.317	-1.091	2.806	3.428
"YJL189W"	-0.38	-3.545	-2.317	-2.319	-2.282	-1.647	-1.644	-2.901	-1.433	-2.446	-2.278	-1.716	-1.833	-3.49	-1.87	-1.78	-2.141	-1.577	-2.282	-2.837	-0.058	0.183	0.175	0.007	0.205	-1.034	0.746	1.027	0.175	0.302	-0.609	-0.892	-0.38	-0.9	-0.827	-0.749	-0.628	0.241	-0.39	-1.441	-1.166	-2.888	-2.522
"YJL221C"	0.16	2.795	2.403	2.926	2.899	1.331	1.289	1.46	1.809	1.723	2.396	2.034	1.365	1.53	1.706	1.16	1.231	1.388	0.87	0.959	0.437	0.237	0.092	0.278	0.181	1.132	-0.108	-0.155	0.298	0.183	-0.212	0.046	0.337	0.457	0.675	0.898	0.722	0.021	0.087	-0.023	0.463	2.415	2.217
"YJR036C"	0.766	2.23	1.245	1.621	1.34	1.965	1.65	-0.146	2.577	1.74	1.821	1.165	0.856	0.687	0.849	1.73	1.78	0.536	0.256	-0.101	0.129	-0.146	0.262	-0.055	-0.124	1.428	-0.765	-0.409	-0.39	-0.302	-0.415	-0.038	0.642	0.206	0.242	0.332	0.542	0.401	-0.267	0.023	0.759	1.871	0.583
"YKL085W"	1.702	4.338	4.621	4.735	3.853	2.829	3.112	1.63	2.486	2.52	2.675	1.921	2.371	3.733	3.587	2.72	2.135	1.338	1.027	0.711	-0.293	0.41	0.385	0.428	0.598	1.962	-0.004	-0.295	-0.173	-0.064	0.406	0.661	-0.359	0.404	0.301	0.2	0.297	-0.126	0.02	0.615	0.746	2.917	3.615
"YKL099C"	-0.329	-4.145	-2.015	-2.146	-1.585	-1.353	-1.537	-1.671	-2.094	-2.585	-1.842	-1.608	-2.099	-3.26	-1.746	-1.419	-1.618	-0.653	-3.165	-2.644	0.19	0.581	0.541	0.829	0.496	NaN	0.804	0.921	0.41	0.511	-0.211	-0.716	-0.453	-0.105	-1.425	-1.091	-0.939	-0.605	-0.595	-1.206	-0.662	-3.486	-1.59
"YKL124W"	0.879	1.903	1.965	2.202	2.028	2.103	2.176	2.289	1.521	1.344	1.974	1.638	1.21	2.162	1.862	2.086	2.271	2.09	2.043	1.423	0.027	0.318	0.377	0.382	0.215	1.337	-0.062	-0.479	0.037	0.06	0.466	0.819	0.437	0.223	1.251	0.76	0.369	0.452	-0.017	0.061	0.496	1.068	-1.708
"YKL127W"	-1.285	-1.313	-1.659	-1.282	-1.191	-2.564	-1.474	-3.89	-0.355	-1.273	-1.132	-1.708	-1.963	-0.726	-0.161	-0.069	-1.171	-1.956	-2.206	-1.858	-0.364	-0.071	-0.121	-0.277	-0.2	-1.461	-0.048	-0.568	0.205	0.083	-0.551	-0.168	-0.337	-0.282	-0.041	-0.157	-0.388	-1.005	-0.025	-0.571	-0.988	-1.425	-1.334
"YKL143W"	-0.472	-4.748	-1.715	-2.281	-1.954	-1.458	-1.805	-2.312	-0.927	-2.756	-2.421	-1.691	-1.745	-2.734	-1.821	-1.815	-1.965	-2.215	-3.005	-2.585	0.06	0.243	0.393	0.503	0.468	-1.367	0.761	0.945	0.249	0.549	0.249	0.54	0.418	0.107	0.37	0.118	-0.201	0.216	-0.394	-0.493	-1.373	-3.914	-2.07
"YKL172W"	-0.071	-4.354	-2.219	-1.661	-1.733	-1.845	-1.457	-2.813	-2.106	-2.545	-1.257	-1.964	-1.426	-3.248	-1.664	-1.613	-2.079	-2.271	-2.723	-3.135	0.34	0.503	0.667	0.589	0.485	-1.592	0.126	0.633	-0.508	-0.397	0.078	0.219	-0.427	-0.255	0.625	-0.284	-0.481	-0.573	0.056	-0.422	-0.057	-3.42	-2.734
"YKL187C"	2.618	3.195	4.289	4.917	4.657	5.015	3.151	5.575	1.311	1.255	3.166	3.771	3.338	1.695	3.45	2.909	2.31	4.717	5.088	4.51	-0.094	-0.065	-0.229	-0.15	-0.063	2.083	-0.137	0.441	0.085	0.11	0.16	0.314	-0.487	0.227	-1.331	0.368	0.622	0.404	-0.381	0.467	1.182	2.958	3.799
"YKL201C"	0.163	1.444	0.633	0.669	0.934	1.725	1.49	1.374	1.186	1.761	2.608	1.361	2.119	0.762	1.329	1.425	1.551	-0.229	-0.533	-0.35	0.455	0.081	0.17	-0.237	0.21	0.729	-0.014	0.038	-0.12	-0.044	0.773	0.132	-1.092	0.491	-0.666	-0.216	0.124	0.146	0.033	-0.12	0.184	1.571	0.966
"YKL217W"	2.059	5.715	6.332	5.482	5.515	5.188	5.504	6.057	4.078	3.919	4.968	4.881	4.935	5.204	5.036	4.489	4.2	6.184	7.178	6.94	0.102	-0.497	-0.588	-0.491	-0.347	3.157	-0.493	-0.077	-0.077	-0.255	0.019	-0.193	-0.099	-0.085	0.213	0.174	0.283	-0.045	-0.214	0.201	1.461	3.813	6.592
"YKR081C"	-0.991	-4.081	-2.662	-2.469	-1.772	-1.667	-1.821	-2.08	-2.99	-3.278	-2.505	-1.918	-1.782	-3.734	-2.064	-2.119	-2.118	-2.282	-2.696	-2.515	0.336	0.3	0.418	0.602	0.371	-1.349	0.547	0.467	-0.272	-0.343	0.287	-0.457	-0.527	-0.248	-0.563	-0.332	-0.149	-0.389	-0.129	-0.09	-0.167	-3.261	-2.433
"YLL008W"	-1.155	-5.659	-3.509	-3.627	-2.64	-2.165	-3.282	-2.899	-1.333	-2.364	-2.55	-1.847	-2.162	-3.473	-2.41	-2.154	-2.612	-2.386	-2.487	-2.92	-0.01	0.238	0.101	0.158	0.17	-1.906	0.686	0.865	-0.051	0.215	0.039	-0.527	-1.012	0.082	-1.449	-1.307	-1.169	-0.95	-0.472	-0.921	-1.089	-3.042	-2.072
"YLL011W"	-0.759	-4.731	-2.872	-2.311	-2.362	-2.077	-2.646	-1.781	-2.312	-3.053	-2.081	-1.708	-1.637	-3.178	-1.717	-1.771	-1.944	-2.156	-2.442	-2.375	0.087	0.309	0.474	0.385	0.067	-1.767	0.315	-0.084	0.007	-0.04	1.287	-0.448	-0.623	-0.354	0.052	-0.322	-0.767	-0.266	0.244	-0.706	-0.879	-2.793	-2.117
"YLL019C"	0.6475	1.971	1.624	2.0355	1.832	1.8805	1.9865	2.1885	1.102	1.0635	1.257	1.021	0.6375	1.397	1.255	1.789	1.8515	1.9515	1.767	1.3115	0.013	0.0055	0.0245	-0.0045	-0.1305	1.933	-1.266	-1.688	-0.892	-1.067	-0.049	0.53	-0.825	0.335	0.564	0.635	0.54	0.362	0.397	0.008	0.663	2.511	2.838
"YLL041C"	1.796	4.794	5.323	5.655	5.102	4.997	4.796	5.281	2.48	2.342	2.74	2.712	2.855	4.827	4.436	3.693	3.746	4.25	4.703	3.334	-0.018	-0.717	-0.814	-0.4	-0.343	3.417	-0.385	-0.765	-0.119	-0.191	0.077	0.853	0.754	0.522	0.759	0.866	0.534	-0.246	0.42	-0.183	0.879	3.781	4.867
"YLR009W"	-0.705	-4.675	-2.624	-2.259	-2.408	-1.898	-2.126	-2.518	-2.555	-2.737	-2.637	-1.705	-1.838	-3.455	-2.226	-1.984	-2.757	-2.555	-3.216	-2.799	-0.064	0.143	0.159	0.256	0.043	-1.779	0.582	0.808	0.014	0.138	-0.127	-0.413	0.546	-0.202	1.329	0.476	-0.318	-0.027	0.376	NaN	0.364	-3.361	-1.953
"YLR080W"	1.0	3.763	2.791	3.297	2.362	3.432	3.611	3.168	2.175	2.08	2.806	2.127	0.33	3.202	2.737	2.751	3.282	1.003	3.666	3.327	-0.079	0.848	0.671	0.837	0.651	1.385	-0.409	-0.239	-0.186	-0.265	0.163	0.9	0.624	0.371	1.152	0.657	0.399	0.012	-0.289	0.286	0.719	2.514	1.731
"YLR152C"	0.472	3.02	3.055	3.169	2.494	2.878	3.394	2.332	1.06	1.266	2.246	2.27	1.941	3.177	2.356	2.243	2.305	2.593	2.377	1.395	0.225	0.154	0.202	-0.031	-0.048	1.466	-0.6	-1.007	-0.37	-0.361	-0.184	0.17	0.169	-0.266	0.537	0.023	-0.083	-0.964	0.209	-0.377	-0.177	2.323	1.938
"YLR161W"	0.339	NaN	2.484	3.531	1.412	4.592	3.318	5.255	2.037	NaN	-0.334	1.371	1.063	1.384	1.516	1.978	1.315	3.058	3.585	3.072	-0.001	-0.156	-0.141	-0.05	0.122	1.423	-0.03	0.314	0.062	0.122	-0.156	0.6	-0.428	0.511	0.547	0.617	0.489	-0.031	-0.111	0.698	0.944	0.674	1.448
"YLR174W"	2.874	4.526	5.843	6.653	5.651	5.451	5.447	4.487	2.507	3.793	4.275	5.023	5.765	5.205	4.807	3.605	4.155	3.221	3.353	1.759	-0.06	0.442	-0.025	0.312	0.208	2.778	0.032	-0.104	0.172	0.053	0.464	0.424	0.628	0.785	0.443	0.915	0.89	0.472	-0.322	-1.616	-0.47	0.607	4.301
"YLR285W"	-1.138	-1.869	-2.182	-1.541	-1.6	-2.207	-2.41	-2.874	-0.966	-1.67	-1.819	-1.263	-1.846	-1.742	-1.842	-2.107	-2.586	-2.037	-2.315	-2.333	0.015	0.165	0.095	-0.095	-0.097	-1.738	-0.078	0.129	-0.062	-0.144	-0.481	-1.142	-0.297	-0.875	-1.138	-1.131	-0.654	-0.612	-0.138	-0.697	-0.509	-1.797	-1.601
"YLR301W"	-1.068	-2.642	-2.4	-1.622	-1.91	-1.953	-1.84	-3.676	-0.672	-1.53	-1.429	-1.605	-2.439	-1.555	-1.36	-0.925	-1.325	-2.581	-2.218	-2.268	0.196	0.527	0.289	0.07	0.273	-1.83	0.031	0.541	0.362	0.201	-0.699	-0.044	0.627	0.659	-0.587	-0.127	0.058	-0.043	0.029	-0.383	-0.545	-1.291	-1.45
"YLR345W"	0.316	3.284	2.557	2.973	2.201	2.879	2.964	4.453	2.564	2.391	1.773	1.801	1.588	2.784	2.404	2.672	2.873	4.165	4.077	3.495	-0.333	0.737	0.52	0.421	0.398	2.882	-0.439	-0.562	0.213	-0.159	-0.021	0.563	0.498	0.749	1.154	0.714	0.71	0.368	-0.197	0.777	0.698	2.961	2.519
"YLR413W"	-2.452	-4.758	-4.864	-5.057	-4.832	-4.874	-5.063	-5.414	-2.534	-3.237	-3.865	-3.034	-3.629	-4.176	-4.488	-4.358	-4.993	-4.2	-4.656	-4.874	0.009	-0.499	-0.57	0.032	0.446	-3.737	0.907	-0.503	0.359	-0.052	0.441	-0.163	-0.063	-0.269	-0.605	0.038	0.738	0.373	0.476	-0.336	-0.09	-4.449	-4.04
"YLR448W"	-1.597	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-3.552	-1.842	-3.425	-3.454	-3.179	-2.573	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	0.011	-0.059	-0.056	-0.08	-0.167	-2.337	0.622	0.545	-0.043	-0.066	-0.052	-0.072	0.045	-1.42	0.114	-0.452	-1.395	-0.393	0.054	-1.149	-1.018	-4.791	-4.505
"YMR110C"	0.837	3.925	3.346	3.746	3.565	3.434	2.517	3.724	2.734	2.473	2.516	2.338	1.885	4.042	3.217	2.995	3.422	3.777	2.927	1.682	-0.312	0.018	0.017	-0.1	0.029	2.645	-0.244	-0.572	-0.016	-0.016	0.158	1.062	0.64	1.029	0.687	1.339	1.079	0.089	0.199	-0.471	0.792	3.64	3.462
"YMR123W"	-1.091	-3.098	-1.897	-1.503	-2.225	-2.491	-2.616	-2.374	-1.409	-2.235	-1.468	-1.286	-1.465	-0.767	-1.385	-1.907	-1.372	-1.615	-1.137	-1.512	-0.083	-0.112	-0.207	-0.144	-0.297	-1.653	0.587	0.623	0.321	0.303	-0.13	-0.76	-0.32	-0.628	-0.592	-0.564	-0.655	-0.347	0.269	0.216	0.588	-1.533	-1.272
"YMR130W"	-0.83	-2.063	-1.784	-1.864	-1.924	-1.614	-1.215	-1.972	-1.1	-1.058	-1.571	-0.671	-1.168	-1.858	-1.422	-1.36	-1.47	-2.339	-2.247	-2.295	-0.001	0.481	0.349	0.306	0.434	-1.328	-0.035	-0.196	-0.077	0.0	-0.261	-0.25	0.226	-0.29	-0.216	-0.099	0.049	-0.274	-0.921	-0.615	0.123	-1.106	-1.807
"YMR206W"	1.33	5.096	5.169	3.275	4.362	3.877	2.807	3.162	3.54	4.576	4.842	3.871	3.132	2.814	1.753	2.511	2.652	3.484	3.712	3.871	0.28	-0.526	-0.779	-0.27	-0.38	3.1365	0.095	0.624	0.244	0.095	-0.003	-0.194	-0.547	0.403	0.301	-0.245	0.397	0.327	0.2195	-0.351	1.263	5.241	5.047
"YMR229C"	-1.0025	-6.1495	-3.5335	-3.765	-2.743	-2.443	-2.304	-4.4055	-1.395	-2.914	-2.1435	-2.161	-2.184	-4.826	-2.78	-2.897	-2.0525	-3.7195	-3.685	-3.93	0.0125	-0.3515	-0.147	-0.163	-0.113	-1.93833333333333	0.1485	0.409	0.1115	0.0305	-0.2775	-0.629	-0.187	-0.6865	-0.2345	-0.4825	-0.351	-0.378	-0.221333333333333	-1.469	-1.96	-3.9575	-2.553
"YMR239C"	-0.434	-4.414	-2.819	-2.693	-2.296	-1.587	-2.209	-2.176	-2.129	-2.372	-1.709	-0.975	-0.587	-3.095	-1.885	-1.474	-1.516	-2.236	-2.42	-2.415	-0.205	-0.005	0.254	0.196	-1.0	-0.932	0.392	0.319	0.125	0.169	0.136	0.488	-0.379	-0.269	0.827	-0.15	-0.267	-0.586	0.188	-1.03	-0.471	-4.048	-2.804
"YMR280C"	0.535	3.7995	1.909	1.25	0.0175	1.2795	1.7495	3.61	1.4535	0.7335	0.997	1.4545	0.3395	1.352	1.042	1.179	0.8585	2.368	2.349	2.0645	-0.123	-0.3445	-0.122	-0.2195	0.049	1.665	-0.131	-0.235	-0.156	0.027	-0.092	0.019	0.611	0.125	-0.449	0.439	0.384	-0.015	-0.46	-0.48	-0.882	2.529	2.4
"YMR308C"	-0.88	-1.769	-1.565	-1.814	-1.324	-1.165	-1.375	-3.091	-1.985	-1.731	-1.443	-0.193	-1.36	-2.386	-1.539	-2.014	-1.774	-2.239	-2.796	-2.451	0.006	-0.127	-0.093	-0.154	0.001	-1.504	-0.222	-0.679	-0.523	-0.351	0.111	-0.394	-0.241	-0.656	-0.694	-0.565	0.234	-0.456	0.8845	-0.52	-0.349	-2.061	-1.659
"YNL009W"	1.032	2.337	2.658	3.346	3.36	3.931	2.976	3.672	2.261	2.636	1.965	2.771	2.567	2.794	3.455	2.625	2.456	4.699	4.803	3.897	-0.046	0.096	0.133	0.208	0.192	2.142	0.221	-0.033	0.47	0.374	0.116	0.45	0.435	0.627	0.272	0.758	0.164	0.305	-0.2245	0.548	0.885	2.736	2.572
"YNL015W"	2.356	4.235	4.867	4.844	4.633	3.952	3.875	1.45	2.852	3.342	3.085	2.745	2.338	2.964	3.342	2.817	2.895	1.234	1.369	0.212	0.47	0.157	-0.221	-0.417	-0.313	2.301	-0.514	-0.388	-0.554	-0.656	0.259	0.671	0.173	0.66	0.41	0.387	0.22	0.933	0.385	1.738	0.587	2.634	3.327
"YNL062C"	-0.383	-4.157	-2.785	-2.295	-2.256	-1.556	-2.835	-3.07	-1.298	-2.304	-2.254	-1.829	-2.065	-2.028	-1.559	-1.91	-1.803	-1.717	-2.639	-2.206	-0.003	0.245	0.334	0.266	-0.064	-1.7035	0.831	0.876	0.533	0.44	0.166	-0.258	0.065	-0.198	0.415	-0.103	0.535	0.42	-0.448	-0.698	-0.69	-2.838	-2.509
"YNL074C"	-0.733	0.651	0.981	0.92	0.93	1.266	1.485	2.392	1.015	0.719	1.022	0.702	0.294	1.432	1.189	1.174	2.135	2.203	1.714	1.192	-0.119	0.259	0.12	0.19	0.473	1.108	-0.077	-0.463	-0.261	-0.394	-0.223	0.518	0.081	0.337	0.834	0.449	0.115	-0.406	0.5135	0.205	0.432	1.209	1.13
"YNL096C"	-1.968	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-2.087	-3.331	-3.045	-2.761	-3.165	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	-0.057	-0.231	-0.312	-0.405	-0.312	-2.8625	0.748	0.827	0.115	0.04	-0.187	-0.285	-1.281	-2.002	0.429	-0.971	-2.211	-1.683	0.457	-1.444	-1.2	-3.087	-3.372
"YNL110C"	-0.485	-5.108	-3.05	-2.608	-1.92	-1.698	-2.472	-1.487	-1.55	-2.565	-1.986	-1.679	-1.126	-4.151	-2.141	-1.741	-2.144	-2.154	-2.985	-3.387	-0.088	0.147	0.292	0.37	0.286	-1.5895	0.835	1.101	-0.333	-0.305	-0.453	-0.636	0.148	-0.176	-0.828	-0.681	-1.0	-0.275	-0.2155	-0.588	-0.761	-4.747	-2.546
"YNL119W"	-0.865	-6.697	-3.692	-2.694	-2.909	-2.2	-3.337	-5.354	-1.542	-3.359	-3.366	-2.99	-2.998	-3.55	-1.753	-1.955	-2.206	-2.822	-2.843	-3.318	-0.324	-0.174	-0.058	0.008	-0.224	-1.92	0.677	0.859	0.084	0.018	-0.024	0.117	-1.117	-2.051	0.139	-1.199	-1.642	-1.118	0.235	-1.688	-1.362	-4.042	-2.748
"YNL162W"	-0.96	-3.953	-3.395	-3.14	-2.838	-2.175	-2.163	-2.858	-1.564	-2.86	-2.872	-2.421	-2.763	-3.999	-2.089	-2.0	-2.0	-1.742	-2.487	-3.468	-0.03	0.12	0.028	-0.006	0.199	-1.852	0.404	0.931	0.268	0.288	-0.514	-0.32	-0.462	-1.39	-0.732	-1.042	-1.242	-0.372	-0.014	-1.487	-1.402	-3.916	-3.323
"YNL175C"	-0.733	-4.877	-2.65	-2.975	-2.4	-2.146	-2.117	-2.872	-1.179	-2.575	-2.601	-2.327	-1.735	-4.587	-2.405	-2.804	-2.484	-2.404	-3.809	-2.849	0.344	0.084	0.211	0.411	0.191	-2.238	0.885	1.066	0.434	0.467	0.531	-0.674	-0.41	-0.103	-0.776	-0.44	-0.641	-0.136	0.5575	-0.517	-1.2945	-2.5475	-1.882
"YNL223W"	0.788	2.732	2.157	2.221	2.465	2.269	2.643	2.323	1.626	1.524	1.265	1.291	1.189	2.324	1.642	1.911	2.195	1.917	2.141	1.362	-0.006	0.243	0.239	0.107	0.032	1.2815	-0.153	-0.406	-0.315	-0.175	0.841	-0.144	0.335	-0.037	-0.037	0.315	0.286	0.561	-0.0145	0.281	0.206	1.485	1.367
"YNL313C"	-1.115	-4.999	-2.695	-2.073	-2.007	-1.538	-2.126	-3.628	-2.432	-3.129	-2.948	-1.668	-1.914	-2.839	-1.544	-1.333	-1.551	-2.01	-2.343	-2.518	0.106	0.014	0.14	0.065	-0.09	-1.051	0.121	-0.127	-0.053	-0.085	0.27	0.239	0.115	-0.276	0.1	-0.055	-0.308	0.072	-0.193	-1.821	-1.014	-3.85	-2.129
"YOR178C"	1.411	4.6505	3.5155	4.543	3.9715	4.7535	4.727	4.682	3.6495	2.579	2.623	2.2575	2.2275	3.591	4.802	5.508	5.525	6.246	5.242	4.229	0.291	-0.343	-0.206	-0.21	-0.292	3.538	0.048	-0.006	0.165	0.169	-0.24	0.865	0.738	0.648	1.504	1.204	1.532	0.753	0.499	0.075	0.379	2.364	0.468
"YOR215C"	1.614	3.394	2.4755	3.208	2.6435	3.4105	3.054	3.035	2.579	2.4185	2.5175	1.95	2.273	2.731	2.998	3.231	3.475	3.205	2.693	1.79	0.037	0.465	0.526	0.114	0.233	3.123	-0.499	-0.406	-0.452	-0.522	-0.126	1.301	0.689	1.066	0.615	0.849	0.466	0.479	0.319	-0.282	-0.212	2.944	2.872
"YOR220W"	1.055	3.7725	2.959	2.657	2.843	2.673	3.276	4.0665	3.0705	3.113	2.4945	2.2515	2.808	3.838	3.019	2.692	2.751	3.747	4.082	3.593	-0.504	0.628	0.592	0.486	0.614	1.74	-2.157	-2.522	-1.503	-1.473	0.2	0.461	0.878	0.315	0.181	0.518	0.036	-0.15	0.369	-0.408	-0.439	2.732	3.108
"YOR374W"	1.504	3.814	3.737	4.2695	4.754	3.1765	3.3555	3.698	4.1485	3.9755	3.781	2.6075	2.5315	3.599	4.099	3.282	3.321	4.706	4.36	3.79	-0.468	-0.242	-0.175	-0.256	-0.371	3.59	-0.426	-0.979	-0.172	-0.137	-0.371	0.805	0.42	0.798	0.461	0.545	0.555	-0.454	0.514	-0.545	0.197	4.363	3.921
"YPL043W"	-0.646	-4.668	-2.8315	-2.8295	-2.0985	-2.036	-2.04	-2.4695	-2.2635	-3.157	-2.2695	-1.9305	-2.047	-3.89	-2.277	-2.069	-2.134	-1.995	-2.623	-2.739	-0.112	-0.064	0.141	-0.107	-0.004	-1.87	0.431	0.637	-0.083	0.023	-0.013	-0.919	-0.465	-0.825	-0.87	-0.45	-0.1	-0.168	-0.171	-1.45	-1.238	-4.308	-2.784
"YPL044C"	-0.896	-4.1695	-2.458	-2.0485	-1.6585	-1.769	-1.773	-2.688	-2.6385	-3.256	-2.8325	-2.0175	-1.7795	-3.164	-2.194	-2.405	-1.877	-1.454	-2.06	-1.739	-0.198	0.057	-0.063	0.222	0.114	-1.02	0.054	0.313	-0.066	-0.257	-0.029	-1.022	-0.592	-0.738	-1.167	-1.036	0.255	-0.072	0.063	-0.142	-0.98	-2.954	-2.261
"YPL054W"	1.771	3.8355	5.1395	4.8575	4.304	5.5145	5.759	5.7125	4.7285	4.3245	5.1485	4.589	0.651	5.006	4.065	4.256	4.91	5.184	5.018	3.449	0.201	-0.229	-0.21	-0.162	0.276	4.457	-0.694	-0.568	-0.207	-0.275	-0.195	1.395	1.221	1.141	1.783	1.614	1.614	1.155	0.15	1.236	1.269	2.927	3.741
"YPL068C"	-0.495	-2.2615	-1.6305	-1.6865	-1.5695	-1.6425	-1.387	-1.9875	-1.535	-1.6175	-1.406	-1.3215	-1.4815	-2.515	-1.564	-1.617	-1.192	-2.329	-2.021	-2.076	0.006	-0.746	-0.477	-0.316	-0.453	-1.088	-0.032	-0.283	0.278	0.298	0.283	-0.346	0.47	-0.564	-0.863	-0.03	0.241	0.274	0.446	-0.185	0.384	-2.503	-1.918
"YPL079W"	-1.022	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-1.7255	-3.085	-3.172	-3.0255	-3.112	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	0.031	-0.206	-0.155	-0.188	0.039	-1.673	0.853	0.858	0.284	0.34	-0.364	-0.808	0.074	-1.602	-0.761	-0.368	-1.394	-0.331	0.097	-1.659	-1.505	-3.573	-3.431
"YPL081W"	-0.796	-4.5065	-3.3595	-3.199	-3.083	-2.508	-3.086	-3.4025	-1.7785	-2.5355	-2.916	-2.428	-2.3315	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	0.099	-0.06	-0.13	-0.146	-0.121	-1.844	0.658	0.638	0.145	0.101	0.353	-0.335	-0.682	-0.777	-0.555	-0.881	-0.972	-0.554	0.115	-1.421	-1.616	-3.939	-2.717
"YPL114W"	1.0	1.3775	1.1775	1.119	1.75	1.4555	0.8925	1.1015	1.413	1.5285	1.4575	1.0655	0.956	0.968	1.41	0.193	0.64	0.993	0.68	0.296	-0.077	-0.145	-0.164	-0.191	0.06	0.98	0.231	0.103	0.006	0.052	-0.42	-0.219	0.596	-0.007	0.33	0.542	0.467	0.168	-0.214	-0.341	-0.494	0.729	0.097
"YPL147W"	1.0	2.51633333333333	2.51233333333333	3.635	3.046	3.802	3.194	5.74466666666667	3.24133333333333	2.73866666666667	2.89133333333333	2.694	2.44766666666667	2.811	2.8035	2.074	2.4785	4.8195	4.6645	4.599	-0.0485	0.181	0.0115	0.0835	0.0295	2.8235	-0.616	-0.293	0.081	0.002	-0.0505	0.7505	0.3785	0.4905	0.7695	0.4645	0.6665	0.8205	-0.2195	0.796	2.987	1.753	0.257
"YPL183C"	-0.807	-3.014	-2.069	-1.767	-1.5955	-1.8275	-1.544	-4.1755	-2.0945	-2.1075	-1.7485	-1.7965	-2.531	-2.335	-1.757	-1.735	-1.38	-2.512	-2.745	-3.056	-0.103	-0.371	-0.129	-0.275	-0.404	-1.146	0.196	-0.031	-0.062	-0.178	-0.181	-0.382	-0.383	-0.419	-0.658	0.078	-0.011	0.094	-0.934	-0.129	0.0305	-2.8755	-2.0785
