	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"118.heat shock 80 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"1107.alpha factor release sample025"	"4872.1M sorbitol - 60 min"	"7537.25C -- 45 min"	"7539.25C -- 90 min"	"12744.heat shock 17 to 37, 20 minutes"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"21632..24 mM H2O2- 250 minutes"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33779.delYPL230w_stationary_phase_5hours"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"42050.L1CompR 15 hr 00 min Leucine Batch vs Chemostat Comparison"
"YNL061W"	-3.447	-4.928	-4.17	-3.927	-1.543	-0.686	-0.819	-4.143	-4.404	-3.948	-2.724	-1.446	-2.673	-2.373	-4.329	-1.459	-2.519	0.12	-0.042	1.303	0.673	-5.38	-0.494	-0.795	-0.557	-0.357	-0.427	-3.059	-3.925	-2.946	-1.676	-2.461	-0.996	-2.571	-0.387	-0.646
"YNL075W"	-2.664	-3.86	-2.098	-3.164	-2.073	-0.642	-0.532	-2.558	-3.304	-2.768	-2.359	-0.99	-2.078	-1.5	-4.782	-2.131	-3.095	-0.096	-0.203	0.927	0.416	-3.301	-0.749	-0.732	-0.489	-0.492	-1.254	-3.326	-2.935	-2.361	-1.615	-2.748	-1.298	-3.779	0.103	0.428
"YNL110C"	-3.468	-4.43	-5.407	-3.64	-2.443	-0.902	-0.211	-3.768	-4.56	-4.991	-3.311	-2.2	-2.66	-2.463	-5.108	-1.55	-2.565	-0.179	-0.088	1.102	0.542	-5.064	-0.998	-0.848	-0.493	-0.309	-1.308	-4.233	-4.907	-3.471	-1.921	-3.973	-2.537	-4.747	-0.246	0.743
"YNL200C"	3.958	4.143	4.374	3.376	3.204	1.312	1.242	3.17	3.269	3.585	0.997	0.916	1.816	2.286	4.582	2.013	2.15	-0.028	0.018	-2.417	-1.154	4.124	0.415	0.493	0.353	0.23	0.967	1.446	1.738	1.505	1.568	2.293	1.2	4.527	-1.956	0.691
"YNL248C"	-4.024	-4.791	-4.364	-4.315	-1.698	-1.219	-1.11	-3.398	-4.455	-4.373	-3.395	-1.793	-2.425	-2.173	-5.716	-2.168	-3.866	0.19	0.124	1.25	0.583	-4.868	-0.788	-0.839	-0.452	-0.461	-1.065	-3.442	NaN	-2.886	-1.415	-5.118	-2.214	-6.193	0.949	1.86
"YNL308C"	-3.076	-3.929	-2.764	-1.689	-0.755	-2.301	-0.191	-2.757	-3.366	-3.336	-2.488	-1.947	-3.186	-2.995	-4.351	-1.539	-2.614	-0.06	0.145	0.659	0.07	-3.272	-1.177	-0.948	-0.531	-0.541	0.204	-4.501	-4.586	-2.561	-1.77	-1.77	-0.731	-3.307	0.109	-0.815
"YNR003C"	-1.515	-2.607	-2.418	-2.109	-1.911	0.252	0.428	-2.322	-0.339	-2.07	-0.0355	-0.2635	-1.731	-1.566	-1.3085	-0.7455	-1.467	-0.072	0.035	0.088	0.137	-2.321	-0.697	-0.553	-0.837	-0.684	-0.204	-2.305	-3.409	-2.475	-1.049	-2.457	-1.986	-3.32	0.09	-0.584
"YNR054C"	-2.316	-3.072	-1.505	-1.849	-0.719	-0.03	0.057	-2.561	-3.745	-2.256	-0.952	-0.1965	-1.723	-1.964	-1.6465	-0.9285	-1.1455	-0.14	-0.094	0.624	0.237	-3.271	-0.183	-0.499	-0.354	-0.218	0.784	-2.435	-3.275	-1.802	-0.633	-2.06	-1.229	-2.609	0.212	-0.559
"YOL022C"	-1.069	-2.578	-1.943	-2.43	-1.397	-0.366	-0.231	-2.344	-2.29	-2.301	-0.652	-0.485	-1.744	-1.669	-1.8955	-1.084	-2.0495	0.134	0.076	0.569	0.152	-2.13	-0.184	-0.174	-0.164	-0.179	-1.057	-1.956	-2.882	-2.184	-0.959	-3.424	-1.09	-2.775	0.508	0.289
"YOL077C"	-4.404	-5.439	-5.781	-5.04	-2.828	-1.344	-0.859	-4.336	-5.22	-4.28	-1.4925	-1.0455	-2.83	-2.938	-5.186	-2.01	-4.174	0.035	-0.102	1.214	0.786	-4.7	-0.92	-0.836	-0.43	-0.368	-0.727	-4.174	-4.969	-3.866	-1.991	-4.679	-2.579	-5.145	0.433	0.772
"YOR056C"	-1.938	-3.307	-2.372	-2.801	-2.135	-0.411	-0.296	-2.448	-3.069	-2.663	-0.9735	-0.749	-2.064	-1.063	-2.513	-0.1275	-1.2525	-0.172	-0.097	0.758	0.313	-3.073	-0.224	-0.322	-0.223	-0.377	-0.919	-5.369	-3.941	-2.675	-1.718	-2.79	-2.172	-3.046	0.061	-0.152
"YOR078W"	-1.712	-2.451	-1.472	-1.56	-1.277	-0.156	0.359	-1.619	-2.067	-1.907	-0.623	-0.71	-1.545	-1.407	-1.1635	0.5345	-2.266	-0.113	-0.193	0.561	-0.017	-2.101	-0.55	-0.429	-0.308	-0.119	0.243	-2.387	-2.616	-1.966	-0.78	-1.889	-1.349	-3.288	-0.055	-0.741
"YOR145C"	-3.045	-3.98	-3.649	-3.795	-1.872	-0.609	-0.281	-2.871	-3.492	-3.402	-2.2695	-1.2125	-2.441	-1.805	-4.1305	-2.307	-2.7235	-0.002	-0.001	0.499	0.337	-3.948	-0.661	-0.564	-0.065	-0.281	-0.416	-3.355	-3.644	-2.806	-1.565	-3.265	-1.728	-4.493	0.087	-0.567
"YOR146W"	-2.407	-3.231	-2.16	-2.681	-1.165	-0.394	-0.558	-3.597	-3.42	-3.036	-2.036	0.1505	-2.093	-1.987	-3.402	-2.1935	-2.648	-0.123	0.047	0.487	0.34	-4.259	-0.986	-0.479	-0.466	-0.196	0.719	-2.045	-2.594	-1.898	-0.755	-2.065	-0.837	-2.731	0.007	0.619
"YOR294W"	-3.856	-4.574	-3.533	-3.828	-2.336	-1.101	-0.806	-3.73	-4.407	-3.632	-3.3475	-1.7325	-2.434	-2.234	-5.6475	-2.5155	-3.318	-0.101	-0.128	1.379	0.564	-4.852	-1.136	-1.186	-0.318	-0.229	-0.405	-3.894	-4.841	-3.679	-1.729	-3.042	-2.462	-5.145	0.072	-0.115
"YPL043W"	-2.829	-4.246	-2.686	-4.0	-1.47	-1.37	-0.895	-3.773	-4.198	-4.087	-3.299	-1.78	-2.529	-2.671	-4.668	-2.2635	-3.157	-0.013	-0.112	1.549	0.996	-4.555	-1.093	0.656	-0.315	-0.57	-0.04	-4.18	-3.988	-2.531	-1.874	-2.639	-1.991	-4.308	0.281	0.454
"YPL217C"	-0.852	-1.633	NaN	-2.005	-1.757	-0.618	-0.93	-2.415	-2.455	-2.31	-1.25	-1.73	-2.068	-2.5535	-2.811	-1.8745	-1.292	-0.221	-0.31	-0.97	1.206	-2.216	-0.537	-0.286	-0.443	-0.555	-0.875	-2.127	-3.061	-1.866	-1.131	-3.505	-1.134	-4.002	0.539	-1.214
"YPL230W"	3.82	4.974	4.291	4.618	2.145	1.822	1.429	3.373	4.328	4.009	1.771	0.9355	2.942	2.621	5.7835	3.777	4.669	0.091	-0.203	-0.246	-0.58	4.608	-0.134	-0.059	-0.006	-0.123	0.932	1.959	2.809	2.428	1.119	1.71	0.992	-1.432	-1.078	-1.691
"YPL266W"	-2.487	-3.981	-2.802	-3.222	-1.605	-0.686	-0.29	-2.968	-3.585	-3.063	-2.4965	-0.9915	-1.9705	-1.846	-4.1135	-1.4815	-3.267	0.045	0.11	0.675	0.398	-3.636	-0.113	-0.132	-0.167	-0.488	-0.398	-3.195	-4.813	-2.51	-0.711	-2.945	-1.846	-4.271	0.368	0.115
"YPR026W"	3.07	3.227	2.669	2.768	2.131	1.429	-1.206	2.524	2.731	3.044	1.1225	1.0805	1.4505	1.0415	3.8095	2.0895	1.8575	-0.304	-0.175	-0.772	-0.274	3.704	0.071	-0.07	0.074	-0.023	0.457	0.855	1.5115	1.341	0.862	0.3295	0.75	1.9425	0.0675	0.503333333333333
"YPR142C"	-2.213	-3.13	-2.544	-2.475	-1.287	-0.629	-0.272	-1.934	-3.21	-3.322	-1.2285	-1.2965	-2.19	-1.8545	-2.3555	-1.607	-2.0655	-0.301	-0.076	0.842	0.255	-3.649	-0.503	-0.666	-0.393	-0.3	1.213	-1.675	-1.951	-0.888	-1.461	-1.608	-1.157	-1.825	-0.282	0.43
"YPR144C"	-1.792	-4.441	-3.739	-4.211	-1.224	-0.758	-0.695	-2.783	-3.783	-3.366	-2.613	-1.378	-2.554	-1.9485	-3.855	-1.3485	-2.0425	0.04	0.207	0.503	0.157	-4.107	-0.158	-0.929	-0.402	-0.335	-0.277	-3.581	-3.213	-2.381	-1.442	-2.677	-1.688	-3.937	0.721	-0.602
"YPR163C"	-1.554	-2.552	-2.883	-2.832	-1.926	-0.729	-0.613	-2.415	-3.276	-3.939	-1.9175	-1.3005	-1.102	-1.6565	-3.6815	-0.8095	-2.5635	-0.189	-0.06	1.056	0.853	-3.572	-0.311	-0.101	-0.048	-0.291	-1.186	-2.218	-3.015	-1.939	-1.454	-2.373	-1.136	-3.575	0.457	0.696
