	"410.heat shock 21 to 37, 20 minutes"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"985.constant 0.32 mM H2O2 (20 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"989.constant 0.32 mM H2O2 (10 min) redo"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6668.wt - 0.1 mM H2O2 - 10 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"18416.2mM MD 120min"	"18418.2mM MD 170min"	"18421.2mM MD 140min"	"18424.2mM MD 055min"	"18425.2mM MD 040min"	"18429.2mM MD 210min"	"18431.2mM MD 070min"	"18432.2mM MD 077min"	"18433.2mM MD 085min"	"18434.2mM MD 100min"	"21628..24 mM H2O2- 105 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21650..24 mM H2O2- 040 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"21661..24 mM H2O2- 049 minutes/redo"	"21663..24 mM H2O2- 063 minutes/redo"	"21666..24 mM H2O2- 055 minutes"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"38155.03II01 batch p11"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40956.H2O2_II_100_min"	"40968.MD_II_49_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40976.MD_II_140_min"
"YKR042W"	-1.0	NaN	-0.574	-1.098	-0.521	-0.532	-0.391	-1.62	-1.05	-1.699	-2.313	-1.69	-1.538	-3.497	-1.246	-1.983	-1.645	-1.869	0.193	-0.405	-0.2	-2.098	-1.735	-1.634	-1.958	-2.729	-2.548	0.371	0.109	-2.232	-2.246	-2.442	-2.435	-2.894	-0.526	-0.13	1.106	1.032	1.191	0.382	-0.232	0.757	-0.41	0.732	-0.194	0.011	-0.569	-0.918	-0.805	-1.813	-0.268	-1.222	-1.02	0.323	-1.301	-2.828	-3.142	-3.077	-2.388	-3.059	-3.233	-0.718	-0.857	-0.397	-0.227	-0.419	-1.038	-0.441	-1.566	-2.303	-2.47	-2.058	-2.134	-1.4	-1.977	0.488	0.119	0.581	0.655	-0.331	0.266	-0.63	0.201	-1.012	-0.467	-0.919	0.029	-0.145
"YKR059W"	-1.861	-0.856	0.054	-0.518	-0.836	-0.793	-0.609	-2.144	-1.383	-1.181	-1.543	-1.54	-2.817	-4.998	-2.593	-2.103	-2.531	-2.238	-0.219	-0.335	1.457	-2.018	-1.844	-2.106	-2.623	-2.96	-3.568	0.225	-0.551	-1.996	-1.627	-1.854	-2.344	-1.696	-0.507	-0.209	0.508	0.698	0.315	-0.775	-0.13	-1.152	-0.797	-0.388	-0.956	-1.263	-2.649	-1.894	-1.032	-2.394	-2.081	-1.897	-1.406	-1.583	-2.861	-2.639	-1.55	-1.993	-2.239	-2.057	-2.358	-2.448	-2.0	-2.025	-1.849	-1.284	-2.698	-2.329	-2.136	-2.97	-1.908	-2.161	-2.465	-2.469	-2.297	-1.632	-2.2	-2.153	-1.003	-0.038	-1.41	-1.892	-1.637	-0.565	-1.401	-1.852	-0.927	-1.138
"YKR066C"	2.919	1.575	1.347	1.228	1.185	0.628	0.406	1.967	1.797	1.774	1.007	0.81	2.009	1.166	1.122	1.245	0.861	1.334	3.565	3.651	3.72	0.69	0.619	0.678	0.451	1.072	1.206	3.542	3.118	1.161	0.34	-0.044	0.269	-0.469	3.169	5.165	4.679	5.354	4.801	2.351	4.592	3.098	3.59	3.208	2.677	4.205	3.039	3.391	2.287	2.059	3.253	0.427	2.562	4.144	-1.612	-0.634	-1.04	-0.813	0.243	0.338	-1.025	1.986	2.229	2.047	1.631	1.901	1.179	1.184	-0.796	-1.233	-0.032	-0.481	-0.716	-0.564	-0.807	1.914	2.046	3.18	2.484	2.592	3.71	2.115	2.329	2.026	2.839	2.812	2.436	1.524
"YKR093W"	-0.1865	-0.255	0.3695	0.375	0.4035	0.4885	0.1205	-0.123	-0.5575	-0.873	-1.01	-0.6915	-1.7715	-2.854	-0.4255	-0.533	-0.8025	-1.363	0.47	0.1795	-0.069	-1.4	-1.7135	-1.3735	-1.284	-1.437	-2.1255	-0.2045	-0.3305	-0.829	-1.325	-1.2435	-1.2	-1.4105	0.1065	0.563	-0.26	-0.017	-0.814	0.362	-1.311	0.925	-0.452	1.183	1.076	-0.649	-0.992	-0.45	0.713	-0.476	0.407	-1.793	-0.48	-1.431	0.315	-1.567	-1.682	-1.728	-1.064	-2.032	-2.136	-0.331	-0.367	-1.147	-0.784	0.252	-1.08	-1.044	0.03	-1.264	-1.368	-1.437	-0.547	-1.563	-1.413	0.389	0.328	-0.024	0.612	0.351	0.122	0.075	1.282	0.663	0.46	0.403	0.337	-0.645
"YLR060W"	-1.141	-0.513	-0.179	-0.581	-0.866	-0.578	-0.436	-3.165	-2.617	-2.296	-2.499	-2.849	-4.941	-5.967	-2.093	-1.988	-2.672	-2.566	-0.211	-0.434	-0.232	-2.773	-2.397	-2.667	-3.118	-3.713	-4.371	-0.073	-0.166	-2.464	-1.72	-1.77	-1.452	-2.018	-0.19	0.255	-0.432	0.261	-2.108	-0.229	-1.2	-0.861	-0.774	-0.398	1.044	0.112	-1.231	-0.432	-0.038	-1.367	-0.865	-1.785	-0.38	0.164	-3.103	-3.176	-3.593	-3.552	-3.204	-4.441	-3.498	-2.734	-2.666	-2.64	-2.996	-2.646	-3.346	-2.55	-2.239	-3.341	-2.049	-1.932	-1.31	-1.459	-2.153	-0.017	-0.037	-0.333	0.43	-0.706	-2.206	-0.608	-1.315	-1.509	-1.265	-1.777	-1.909	-1.071
"YLR175W"	-4.902	-1.32	-1.304	-2.338	-2.257	-1.632	-1.183	-5.607	-3.276	-2.657	-2.484	-3.068	-3.401	-5.468	-3.996	-3.068	-3.13	-3.152	-1.586	-1.455	-0.37	-4.678	-2.762	-3.408	-3.701	-4.364	-4.96	-0.335	-1.76	-2.422	-2.388	-2.612	-2.291	-2.553	-1.303	-0.606	-0.491	-1.254	-0.86	-0.034	-1.54	-1.478	-2.429	-1.77	-0.952	-0.922	-1.659	-1.286	0.096	-1.436	-1.86	-1.796	-0.679	-2.474	-4.948	-3.558	-5.174	-4.349	-4.036	-4.782	-3.935	-3.995	-3.16	-4.338	-2.959	-2.455	-2.526	-3.796	-2.49	-2.668	-1.757	-1.996	-2.024	-1.813	-2.115	-3.423	-3.083	-2.074	-1.981	-0.951	-1.537	-2.056	-2.507	-1.453	-1.852	-2.004	-2.356	-1.628
"YLR197W"	-5.179	-1.654	-1.149	-2.263	-2.63	-1.881	-1.453	-5.817	-3.612	-2.795	-2.789	-3.255	-4.736	-5.242	-3.899	-3.238	-3.258	-3.282	-1.163	-1.692	-0.203	-5.671	-3.067	-3.716	-4.423	-4.976	-5.033	-0.084	-1.574	-2.488	-3.052	-3.145	-3.099	-2.81	-1.161	-0.06	0.085	0.116	-0.51	0.095	0.495	-1.352	-0.774	-1.039	-3.178	-0.64	-1.558	0.227	1.013	0.667	-1.325	NaN	NaN	-1.807	-3.38	-2.979	-2.274	-2.771	-3.077	-2.443	-1.921	-4.983	-3.17	-4.545	-3.045	-2.593	-2.321	-3.736	-3.498	-2.864	-2.292	-2.639	-3.033	-2.237	-2.613	-1.671	-1.459	-1.507	-0.259	-0.681	-0.739	0.09	-0.695	-2.487	-3.323	-0.896	-0.451	-2.099
"YLR249W"	-4.758	-1.608	-1.134	-2.133	-2.746	-2.088	-1.547	-6.529	-4.864	-3.482	-3.403	-3.637	-4.146	-6.742	-3.879	-4.141	-3.557	-3.199	-1.573	-1.984	-0.831	-4.679	-3.131	-3.778	-3.883	-4.549	-4.992	0.171	-0.691	-3.421	-2.296	-2.606	-2.316	-2.714	-1.317	0.061	-1.516	-0.083	-0.125	-0.008	-0.676	-0.557	-1.93	-0.173	-1.426	-1.062	-4.141	-2.905	-1.061	-2.962	-2.662	-2.943	-4.025	-3.42	-3.757	-3.15	-2.076	-1.836	-1.513	-3.566	-2.808	-5.053	-5.102	-5.085	-4.9	-3.269	-3.19	-4.673	-3.591	-6.019	-3.66	-3.013	-2.463	-3.986	-3.456	-2.945	-3.861	-2.262	-1.802	-1.075	-2.776	-3.492	-2.717	-2.43	-3.279	-2.727	-2.013	-3.381
"YML028W"	1.891	1.959	1.844	1.997	2.168	2.116	2.147	0.645	0.745	0.455	-0.161	0.125	-3.312	-5.853	0.219	-0.243	-1.366	-1.012	1.561	2.123	1.686	0.624	-0.31	-0.134	-1.597	-2.448	-2.489	1.727	2.37	-0.329	-0.238	0.222	-0.115	-0.277	2.344	2.409	2.822	0.719	2.178	0.684	2.097	2.865	1.04	2.111	2.123	2.448	2.261	2.303	1.103	0.718	2.132	1.184	2.148	2.198	0.544	0.256	0.923	1.501	0.876	0.876	0.583	-0.331	0.241	0.839	0.261	-0.577	-0.554	0.242	-0.234	-1.304	-0.591	0.192	-0.283	-0.855	0.731	2.714	2.79	3.113	3.188	2.157	0.846	2.187	2.724	1.813	2.454	2.081	1.122	1.998
"YML106W"	-1.971	-1.117	0.031	-0.632	-0.917	-0.651	-0.444	-1.425	-0.881	-0.774	-0.903	-0.968	-2.297	-3.649	-1.636	-1.809	-2.071	-1.349	-0.966	-1.201	-0.616	-1.366	-1.501	-1.583	-1.423	-1.467	-1.771	-0.172	-0.698	-0.025	-1.514	-1.191	-1.624	-1.551	-0.59	-0.07	-0.757	1.784	-0.16	-0.019	0.3	-0.672	0.674	-0.084	0.696	0.361	-0.181	-0.117	-0.993	1.406	0.32	0.219	0.061	0.109	-1.524	-3.138	-1.288	-1.984	-2.296	-1.983	-2.279	-0.595	-1.195	-1.776	-1.609	-1.515	-1.325	-1.996	-2.5	-1.916	-1.878	-2.245	-2.508	-2.265	-1.846	0.583	0.371	-0.27	0.672	0.39	-1.114	-0.046	-0.187	0.836	0.472	-0.249	-1.269	-1.122
"YML124C"	-0.312	-0.095	0.192	0.29	0.137	0.258	0.221	2.147	-1.328	-1.32	-2.318	-1.733	-3.412	-4.107	-1.608	-1.596	-2.277	-1.951	0.06	0.205	-0.089	-0.028	-1.625	-0.926	-1.685	-2.001	-2.075	0.042	0.438	-1.572	-1.541	-0.942	-1.329	-1.454	0.357	0.184	-0.022	-0.245	-0.642	1.747	-0.039	-0.528	0.186	0.572	-0.371	0.87	-0.031	0.39	0.166	-0.469	0.006	-0.782	-0.069	0.318	-1.204	-2.28	-2.662	-2.598	-2.145	-3.743	-2.394	-1.007	-1.813	-1.289	-1.385	-0.91	-1.554	-1.321	-0.388	-1.778	-1.082	-1.164	-0.916	-0.847	-1.101	0.296	0.882	0.296	0.487	0.253	0.061	0.872	-1.056	0.047	0.489	-1.249	-0.075	-1.79
"YMR027W"	0.949	0.743	0.504	0.588	0.499	0.744	0.577	0.935	1.266	0.466	0.77	0.906	0.365	-1.627	0.532	0.177	0.044	0.172	0.274	0.512	0.028	1.038	1.034	1.037	0.28	-0.787	-1.596	-0.079	0.639	2.004	0.031	0.355	0.335	0.561	0.869	5.515	4.341	4.892	5.509	3.517	5.076	5.687	5.086	4.068	4.64	2.663	3.726	2.487	2.294	2.647	3.117	4.584	4.506	5.291	0.661	-0.746	-0.589	0.638	0.176	0.27	-0.016	0.73	0.705	0.849	1.08	0.814	1.006	0.88	0.487	0.199	-0.414	0.222	0.402	-0.545	0.085	4.633	4.422	4.42	3.511	3.503	3.911	4.13	3.566	3.77	4.17	4.254	3.475	4.246
"YMR033W"	-1.159	-0.369	0.015	-0.073	-0.181	-0.075	-0.206	-0.915	-1.816	-1.084	-1.434	-1.22	-3.063	-4.454	-1.114	-1.054	-1.514	-1.984	0.885	0.496	0.449	-1.647	-1.244	-1.469	-1.745	-1.826	-1.988	-0.388	-0.071	-1.013	-0.924	-0.77	-0.709	-0.418	0.185	0.185	-0.435	-0.321	-0.074	-0.117	-0.56	-0.798	-1.101	-1.204	-1.089	-0.367	-0.601	-0.23	0.079	-0.059	-0.788	-0.068	-0.014	-0.878	-1.319	-1.978	-1.526	-2.382	-1.889	-2.536	-2.226	-1.219	-1.833	-1.181	-1.453	-1.284	-1.188	-1.007	-0.468	-1.268	-1.367	-1.608	-1.615	-1.313	-1.04	-0.539	-1.021	-0.993	-0.777	-1.027	-0.729	0.313	-0.808	-1.206	-1.204	-2.133	-1.109	-0.603
"YMR146C"	-2.461	-0.161	0.024	-0.534	-0.715	-0.33	-0.311	-2.391	-1.631	-1.931	-1.186	-2.424	-1.725	-4.642	-1.638	-1.543	-1.791	-1.738	-0.576	-0.521	-0.276	-1.464	-1.339	-1.621	-1.793	-1.962	-3.093	-0.055	-0.516	-1.576	-0.33	-0.266	-0.234	-0.037	0.017	-0.327	-0.722	0.023	-0.285	0.295	-1.378	-0.9	-0.392	-1.295	-0.546	-0.271	-1.15	-0.771	-0.536	-0.768	-0.812	-2.467	-0.849	-0.652	-2.416	-2.413	-3.395	-2.565	-1.162	-2.414	-1.673	-1.873	-0.791	-1.328	-1.036	-1.326	-2.417	-1.434	-1.192	-1.706	-0.675	-1.216	-1.431	-1.818	-1.465	-0.446	-0.707	-0.109	-0.418	0.689	-1.3	-1.088	-1.231	0.17	0.168	-0.237	-0.57	-0.108
"YMR173W"	2.5865	2.983	2.2355	2.494	2.3415	2.6315	2.431	3.7635	1.723	2.3275	2.808	3.558	0.3555	-1.418	1.4325	0.88	0.322	0.3515	4.581	4.214	2.159	1.011	2.7	2.318	-0.452	-0.6855	-0.705	2.8245	4.359	1.68866666666667	1.801	1.38	1.0195	0.8885	4.141	3.395	3.537	3.0045	2.496	2.8265	2.513	3.133	4.0395	3.815	3.1265	2.996	2.559	2.655	2.037	2.3165	3.1005	2.9785	1.879	3.713	1.383	0.332	0.798	0.339	0.352	0.558	1.496	0.93	1.44	2.384	1.115	0.893	1.964	2.618	2.054	1.609	2.005	1.794	1.692	0.895	2.447	3.046	3.173	3.231	3.3725	2.9655	2.207	2.8135	2.916	2.5445	3.2015	2.0655	2.8355	2.7605
"YMR217W"	-3.238	-1.944	-0.914	-2.637	-3.402	-2.728	-1.698	-5.293	-3.056	-2.634	-2.518	-3.785	-4.735	-5.29	-3.48	-2.869	-2.622	-2.591	-2.556	-2.351	-0.782	-4.287	-3.341	-4.118	-3.713	-4.205	-4.469	0.055	-1.555	-2.4545	-1.947	-2.445	-2.596	-2.646	-1.543	-0.854	-2.861	-0.173	-2.778	-1.607	-0.725	-2.398	-2.559	-1.76	-1.315	-0.818	-3.173	-2.287	-0.727	-4.322	-2.945	-2.611	-2.579	-2.002	-3.366	-3.338	-2.753	-3.375	-3.165	-3.617	-3.375	-3.621	-2.927	-4.222	-3.421	-2.938	-3.323	-3.089	-3.675	-5.387	-2.244	-2.483	-2.27	-3.237	-3.678	-1.984	-2.54	-2.324	-0.769	-0.475	-2.318	-3.57	-2.348	-2.69	-1.892	-3.536	-2.893	-2.568
"YMR241W"	-2.396	-0.93	-0.127	-1.046	-1.326	-0.99	-0.754	-1.66	0.135	-0.565	-1.351	-0.805	-1.771	-3.349	-1.507	-1.177	-1.35	-1.41	-1.214	-0.643	-1.284	-0.671	-1.805	-1.831	-2.426	-3.0	-3.778	-0.516	-0.766	-1.0335	-1.902	-1.528	-1.568	-1.432	-0.609	-0.21	-2.034	-0.602	-0.767	-0.309	-0.309	-1.39	-1.344	-1.617	-1.319	-0.265	-1.38	-0.438	-0.644	-1.151	0.015	-1.459	-0.456	0.033	-2.846	-2.303	-3.144	-2.312	-2.58	-2.185	-2.711	-1.731	-0.5	-2.457	-0.762	-0.076	-1.363	-0.706	-2.18	-3.243	-2.525	-2.676	-2.163	-2.681	-1.192	-2.051	-0.999	-1.052	0.461	-0.505	0.744	-2.282	-0.811	0.19	-0.042	-0.758	-0.311	-0.48
"YMR305C"	-3.573	-0.786	-0.253	-0.851	-0.55	0.076	0.637	-3.802	-1.387	-1.439	-1.962	-1.885	-2.654	-4.237	-2.097	-2.213	-2.926	-3.562	-0.687	-0.874	0.07	-1.774	-1.607	-2.906	-1.996	-3.198	-3.355	0.016	-0.354	-2.024	-2.446	-2.501	-2.828	-3.591	-0.197	-0.812	-1.222	0.522	-0.571	-0.751	-0.338	-0.956	0.882	-1.031	-0.403	-0.371	-1.419	-0.718	-0.262	-1.253	-1.13	-1.79	-1.45	-1.001	-1.832	-4.075	-4.224	-4.273	-3.547	-4.129	-4.786	-3.465	-1.982	-3.526	-2.134	-1.791	-3.103	-1.805	-2.215	-2.909	-3.949	-3.745	-2.987	-3.223	-2.007	-0.83	-1.938	-0.651	-1.661	-0.64	-0.298	-1.623	-1.679	-0.098	-1.974	-0.616	-0.351	-1.527
"YMR307W"	-1.803	-0.538	-0.314	-0.793	-0.72	-0.462	-0.114	-2.669	-1.341	-1.909	-3.74	-1.803	-5.132	-5.877	-2.484	-2.482	-3.284	-3.878	0.14	-0.569	0.387	-3.55	-2.493	-3.39	-4.432	-5.016	-4.56	0.373	0.129	-3.1665	-3.414	-3.754	-3.788	-4.475	0.225	-0.061	-1.233	-1.995	0.035	-1.236	0.123	-0.881	-2.3	-1.739	-1.481	0.053	-1.936	-1.179	0.314	-2.605	-1.091	-1.77	-1.127	-0.749	-2.141	-3.757	-3.663	-3.702	-3.808	-3.826	-4.145	-4.574	-3.18	-2.866	-2.995	-1.549	-2.736	-2.72	-2.455	-4.115	-4.513	-4.259	-2.398	-3.634	-2.506	-0.355	-1.377	-1.129	-1.096	-0.381	-1.084	-0.765	-1.307	-1.332	-2.322	-1.302	-0.448	-0.313
"YMR315W"	3.078	2.373	2.864	3.492	3.578	3.702	3.322	1.294	0.502	0.945	0.447	0.964	-1.921	-2.44	0.484	0.586	-0.673	-1.289	4.067	2.879	2.459	1.57	1.345	1.249	-0.147	-0.386	-0.793	0.294	2.651	0.4205	0.028	-0.311	-0.723	-0.413	2.605	1.773	2.785	2.565	2.149	-0.265	1.759	2.75	2.366	2.195	2.47	1.819	2.975	2.293	1.706	1.707	2.875	3.061	3.013	4.02	0.38	0.443	0.663	0.915	0.398	-0.182	0.197	-0.799	-1.028	0.562	0.364	-0.32	-0.36	0.012	0.332	-0.113	0.32	-0.009	0.154	-0.635	-0.134	3.406	2.24	3.039	2.425	2.484	1.797	2.72	3.187	3.72	4.183	2.827	3.04	3.202
"YMR318C"	-0.188	1.643	2.387	2.724	2.992	2.891	2.933	-2.436	-2.298	-2.382	-3.244	-3.511	-3.467	-3.423	-1.463	-1.406	-1.826	-1.902	0.734	1.905	1.76	-1.737	-3.398	-2.822	-2.227	-2.227	-2.879	1.21	2.308	-1.814	-2.48	-2.615	-3.058	-3.595	1.367	2.754	1.904	2.355	2.11	-0.325	1.38	2.558	1.603	1.969	2.137	0.489	0.466	0.348	1.137	-0.299	0.403	1.474	0.681	1.507	-2.761	-3.696	-4.061	-3.573	-2.503	-3.591	-2.962	-2.657	-3.304	-1.919	-3.653	-1.553	-2.369	-2.109	-1.786	-2.698	-2.479	-2.691	-2.33	-3.285	-2.474	2.056	1.795	2.279	1.942	0.509	-0.707	0.379	2.433	1.663	1.445	0.804	1.821	0.973
"YNL134C"	3.714	4.104	4.226	4.61	4.382	4.557	4.138	3.455	3.412	2.698	2.221	2.984	1.649	0.987	0.277	0.754	0.288	-0.354	3.653	3.207	3.505	2.41	2.483	2.489	2.146	1.603	1.29	3.7	4.146	1.7855	0.986	0.815	0.643	0.56	2.799	5.945	3.24	5.216	4.327	3.782	4.351	3.633	4.008	3.901	4.927	3.359	4.659	4.056	3.537	3.635	4.516	4.18	4.881	4.471	0.267	-0.962	-0.036	0.245	-0.257	-0.347	-0.032	3.873	3.196	3.7	4.094	2.674	2.305	1.538	-0.499	-1.347	-0.298	-0.474	-0.592	-2.012	0.875	5.025	4.72	4.966	4.919	2.982	3.741	5.408	4.053	3.662	4.249	3.125	4.103	3.36
"YNL241C"	1.903	1.119	1.956	2.279	2.369	2.174	1.765	1.678	1.435	0.91	0.796	0.675	0.582	-1.111	1.129	1.188	0.484	0.298	2.547	2.685	2.642	0.98	0.906	1.144	1.526	1.207	1.109	1.702	1.544	0.703	0.184	0.108	-0.106	-0.022	2.313	3.915	3.287	3.477	3.686	1.871	1.86	3.954	2.153	3.619	2.986	1.805	2.165	1.826	1.266	1.116	2.489	1.764	2.428	3.413	0.996	-0.398	-1.305	-0.226	-0.511	-0.561	-0.959	0.849	0.299	0.894	0.664	0.175	-0.7	0.172	0.758	-1.348	-1.116	-1.482	-0.469	-0.878	-1.074	3.304	3.42	3.271	3.017	1.39	2.16	2.988	3.66	2.618	2.277	2.04	2.625	2.581
"YNL247W"	-2.268	-1.057	-0.486	-0.896	-1.095	-0.744	-0.809	-2.799	-1.535	-1.064	-1.822	-1.928	-3.191	-4.64	-2.34	-2.065	-2.13	-2.019	-0.371	-0.357	0.922	-2.936	-1.899	-2.277	-2.658	-3.388	-2.515	0.171	-0.151	-1.655	-1.822	-2.534	-2.379	-3.057	-0.178	-1.284	-0.671	0.265	-0.892	-0.641	-0.441	-0.805	0.628	-1.649	-0.133	-0.153	-0.943	-0.717	-0.671	-0.635	-0.826	-0.722	-0.281	-1.355	-1.838	-2.165	-2.812	-1.992	-2.512	-3.103	-2.052	-3.771	-2.246	-2.994	-2.147	-1.583	-1.551	-2.507	-1.202	-2.759	-2.157	-2.15	-1.506	-2.549	-1.391	-1.188	-0.618	-1.505	-0.186	0.025	-1.679	-0.761	-0.553	-0.197	-0.836	-0.582	-0.66	-1.343
"YNL331C"	0.409	2.95	1.85	2.246	2.407	2.447	2.56	1.445	1.026	1.358	1.774	1.767	1.928	-0.21	0.346	0.76	0.905	0.879	1.927	2.69	2.118	1.647	2.409	2.476	2.825	2.807	1.595	1.154	2.183	1.222	0.949	2.008	1.647	2.247	3.543	4.724	4.363	0.162	2.638	3.069	4.078	3.194	2.87	4.816	3.744	1.13	1.879	2.065	0.499	1.667	2.401	3.242	2.479	4.348	1.419	0.369	0.804	0.609	1.593	1.062	0.91	0.913	0.703	0.912	0.59	0.793	1.018	1.82	1.997	0.668	0.129	1.044	0.97	0.899	0.587	4.566	4.977	4.539	4.312	3.445	2.518	3.12	2.028	3.362	4.159	2.352	2.649	2.775
"YNR050C"	-1.139	0.396	-0.187	-0.538	-0.947	-0.868	-0.938	0.2565	-0.171	0.7425	0.281	0.3415	-1.4215	-2.6795	-0.225	-0.7105	-0.842	-0.0405	0.233	0.218	-0.171	-1.906	-0.811	-1.722	-2.949	-3.303	-2.99	0.177	0.532	-0.777	0.174	0.441	-0.294	-0.207	0.852	-0.458	0.979	1.562	0.254	0.915	0.954	0.23	0.1	-0.979	0.12	0.549	-0.865	-0.298	0.006	-1.068	-0.244	-0.049	-0.545	-0.355	-3.943	-3.847	-3.909	-3.474	-3.476	-3.245	-3.228	-1.997	-1.984	-1.52	-1.544	-1.409	-0.745	-3.245	-3.004	-3.413	-2.784	-3.239	-2.319	-3.37	-3.022	-0.437	-0.573	-0.059	1.054	2.537	-1.153	-0.101	-0.694	-0.462	-0.412	0.035	0.843	0.803
"YNR074C"	NaN	2.771	0.942	0.949	1.006	1.049	0.913	-0.8585	-0.344	0.1015	0.109	-0.3155	-0.6205	-2.0935	0.0975	-0.228	-0.0275	-0.011	2.498	1.947	2.089	0.712	-0.198	-0.248	-0.016	-0.698	0.228	1.971	3.898	-0.546	-0.226	-0.062	-0.343	-0.426	3.925	1.99	1.715	2.548	1.302	0.747	1.721	2.608	2.322	2.795	2.44	0.904	1.929	1.514	1.405	1.412	1.73	2.942	1.556	3.28	-1.005	-0.223	-1.326	-1.065	-0.976	-0.716	-0.818	-1.263	-1.24	-0.534	-0.666	-1.343	-1.183	-0.075	0.551	0.068	0.385	0.288	0.721	0.151	-0.735	3.001	3.563	2.824	1.893	0.898	0.511	2.917	1.753	1.325	1.122	0.571	1.121	1.361
"YOL097C"	-1.845	-0.858	-0.363	-0.853	-1.37	-1.126	-1.338	-4.26	0.1345	-2.906	-0.4555	-2.768	-0.491	-6.314	-2.427	-2.464	-0.2345	-1.513	-1.103	-1.442	-1.044	-3.246	-2.609	-2.685	-3.398	-4.044	-4.151	-0.399	-0.351	-1.735	-2.391	-2.326	-2.14	-2.5	-0.419	-0.27	-0.448	-0.182	-0.297	-0.784	-1.602	-0.523	-0.944	-1.268	-0.455	-1.166	-1.916	-1.31	-0.476	-1.511	-1.734	-0.91	-0.453	-1.26	-2.601	-2.452	-3.599	-2.957	-2.921	-2.787	-2.608	-2.626	-2.945	-3.063	-3.051	-2.335	-2.523	-2.287	-2.982	-1.543	-1.226	-1.83	-1.411	-1.616	-1.73	-1.499	-2.01	-2.172	-0.711	-0.455	-2.151	-0.707	-2.123	-1.715	-1.596	-2.829	-2.315	-1.6
"YOL150C"	2.11	3.612	4.209	3.71	2.945	2.639	2.954	0.4305	-0.506	1.539	0.6625	1.756	0.3385	-1.8365	-0.293	0.242	-0.305	0.541	3.972	3.545	3.951	0.876	2.05	2.952	0.645	0.182	0.084	4.048	4.802	1.393	2.313	2.449	2.018	2.097	4.51	1.821	3.631	4.017	2.16	2.056	3.859	3.294	2.491	3.798	2.364	1.667	2.98	2.193	4.057	1.976	2.962	3.581	2.278	4.646	1.284	1.988	1.71	2.403	0.936	1.309	0.257	1.679	1.168	1.266	1.05	0.598	1.7	2.064	1.019	1.484	2.437	2.066	1.153	1.346	2.341	5.121	3.996	3.911	3.217	2.17	3.574	4.319	3.383	3.369	3.809	2.825	3.795	3.17
