	"103.alpha factor release sample026"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"685.YP sucrose vs reference pool"	"686.YP ethanol vs reference pool"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1303.diauxic shift timecourse: 0 hr"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6344.DES460 + 0.02% MMS - 5 min"	"8204.steady state 29 dec C"	"8227.dtt 000 min"	"8234.dtt 240 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"13064.wt/crz1 Ca 30min (2)"	"13066.Na/Na+FK 30min (2)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YGL076C"	0.175	-2.09	-1.99	-2.744	0.357	-0.842	2.346	0.602	-3.969	-3.136	-2.73	-2.564	-2.446	-2.401	-3.976	-5.667	-1.913	-3.32	-2.996	-2.857	-1.957	0.372	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	0.275	0.147	-0.016	0.171	0.104	0.27	1.119	-2.239	0.565	0.259	-1.8735	0.903	0.761	0.3355	0.3835	0.2475	0.1805	0.216	0.494	0.989666666666667	-0.0315	-4.003	-3.509	-2.778	-3.347	-3.315	-2.544	-2.894
"YGL148W"	0.141	-2.027	-1.735	-2.05	0.485	-1.067	1.632	-0.246	-3.561	-2.137	-1.719	-1.873	-1.574	-2.182	-2.826	-3.915	-1.329	-2.983	-2.53	-2.64	-1.768	0.396	-2.555	-1.926	-2.049	-2.327	-1.666	-1.996	2.781	0.123	0.151	0.038	-0.669	0.049	0.165	0.25	-1.1	-0.205	0.177	-2.275	0.605	0.165	0.053	0.198	0.341	0.299	0.046	0.31	0.058	0.018	-3.932	-2.547	-2.177	-3.123	-2.69	-2.266	-2.377
"YGL259W"	-0.052	2.285	1.563	1.944	0.0	0.459	-0.699	0.029	3.517	2.619	2.908	2.423	2.259	2.389	1.014	-0.161	1.935	0.895	0.846	1.426	0.503	-0.209	2.817	1.509	1.254	1.404	0.856	1.59	0.906	-0.005	-0.126	0.681	0.176	0.001	-0.646	-0.72	1.259	-0.041	-0.146	0.801	-0.273	-0.142	-0.379	-0.251	-0.035	0.186	-0.147	-0.142	-0.4815	-1.236	2.021	2.412	2.062	3.466	2.519	2.15	2.681
"YGR285C"	0.114	-1.2065	-1.0655	-1.012	0.371	-1.082	1.704	0.253	-3.959	-2.444	-2.267	-1.794	-1.645	-1.67	-4.078	-6.1	-0.348	-1.648	-1.332	-1.877	-1.393	-0.065	-3.556	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	0.256	0.052	0.15	-0.78	-0.0025	0.377	0.579	-1.025	0.02	0.484	-2.068	0.848	0.699	0.541	0.392	0.399	0.158	-0.019	0.627	0.342	0.188	-2.948	-2.607	-1.583	-2.323	-2.554	-1.851	-2.062
"YHR025W"	-0.122	-0.7285	-1.027	-0.829	0.819	-1.09	2.08	-0.038	-3.632	-1.376	-1.47	-1.274	-1.993	-1.868	-2.666	-5.429	-1.902	-2.472	-2.269	-2.199	-0.368	0.409	-1.781	-1.065	-1.97	-1.896	-1.471	-2.319	-2.178	0.034	0.153	-0.196	-0.271	-0.0015	0.36	0.777	-0.709	0.157	0.04	-1.627	0.187	0.0	-0.022	-0.112	0.045	-0.087	-0.367	0.065	0.236	0.193	-3.915	-2.334	-1.934	-3.0	-1.597	-1.63	-2.276
"YHR051W"	-0.086	1.0225	1.058	1.313	-0.384	1.176	-0.679	-0.447	2.562	3.688	3.419	2.769	2.012	2.399	2.191	-0.165	1.784	1.64	1.91	1.879	1.817	0.136	3.332	2.68	2.112	1.853	2.322	1.808	1.49	0.081	0.274	-0.172	0.122	0.3325	0.011	0.348	0.719	0.088	0.007	1.741	0.312	0.112	0.216	0.25	0.736	0.525	0.586	0.427	-0.123	0.123	3.028	3.999	3.435	2.435	3.973	4.032	2.958
"YIL052C"	0.41	-2.1565	-1.989	-2.7275	0.509	-0.87	1.842	0.279	-3.856	-3.261	-2.954	-2.61	-2.22	-3.178	-2.895	-6.278	-1.912	-2.82	-2.793	-2.559	-2.622	0.135	-4.174	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	0.265	0.491	0.24	0.09	0.236	0.094	0.959	-2.17	0.308	0.188	-1.743	0.798	0.99	0.302	0.266	0.261	0.124	0.147	0.603	1.168	-0.255	-3.32	-2.562	-2.217	-2.821	-2.677	-1.94	-3.315
"YIL122W"	-0.28	1.0415	0.495	0.591	-0.183	0.898	0.356	-0.04	2.109	1.27	1.77	1.672	2.044	2.78	1.361	-0.551	0.943	0.939	1.214	1.217	1.268	-0.13	0.995	1.252	1.311	1.297	1.844	1.441	0.661	-0.637	-0.585	0.023	0.148	-0.286	-0.226	-0.376	0.646	-0.274	0.137	1.262	-0.053	0.163	0.155	0.011	-0.219	-0.367	-0.41	-0.289	-0.06	0.121	0.909	0.938	0.775	1.802	0.869	0.238	1.41
"YJL009W"	-0.171	-0.715	-0.7725	-1.098	0.29	-0.618	0.691	0.109	-1.746	-1.119	-0.546	-0.914	-0.826	-0.889	-1.284	-3.81	-0.58	-1.322	-1.064	-1.056	-0.466	-0.169	-0.548	-0.44	-0.61	-0.54	-0.417	-0.543	0.382	-0.019	0.078	-0.137	-0.091	0.1285	0.027	0.345	-0.8	0.318	0.257	-1.344	0.173	0.327	-0.057	0.077	0.291	0.399	0.476	0.173	0.415	0.092	-1.261	-1.065	-0.592	-1.367	-1.845	-0.666	-1.053
"YJL045W"	-0.093	1.8275	1.0355	1.146	-0.276	0.752	-0.99	-0.783	3.762	5.051	3.472	5.065	4.295	3.987	1.932	1.668	0.887	1.368	2.055	3.365	3.223	-0.337	0.927	1.26	1.796	1.562	1.608	1.356	1.357	-0.207	-0.357	-0.188	0.0	0.02	-0.234	-0.485	1.206	-0.192	-0.339	2.982	0.122	0.334	-0.037	0.005	0.057	-0.498	0.057	0.112	1.017	1.086	0.783	2.014	2.155	1.659	2.497	2.168	3.953
