	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"1009.YPD 2 h (25C)"	"4779.DBY7286 + 0.1 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"7760.Na 45min"	"8247.steady state 36 dec C: y14n095"	"8520.DES460 + 0.02% MMS - 120 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40968.MD_II_49_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YJL069C"	-3.028	-3.073	-1.348	-1.3795	-2.9805	-3.0365	1.0	0.854	0.756	-2.116	-4.742	-6.298	-0.007	0.187	-0.09	-0.244	-0.174	-0.746	-0.522	-0.477	-0.512	-2.329	-0.03	-0.58	-0.075	0.328	0.193	0.027	-3.224	0.036	-1.862	-1.93	-2.285	-2.354	NaN	-3.223	-3.75	-1.763	-2.393	-4.069	-3.096	-2.407	-2.556	-2.789	-2.615	-3.111
"YJL109C"	-2.39833333333333	-2.722	-1.614	-2.64066666666667	-3.525	-3.447	0.335	0.3375	0.333	-1.971	-2.165	-2.278	-0.1435	0.4595	-0.025	-0.2445	-0.0193333333333333	-1.0005	-0.7635	-0.68	-0.81	-1.2615	-0.338	-0.7595	-0.5325	-0.202	-0.3985	-0.2065	-3.01866666666667	-0.0535	-2.8695	-2.029	-2.124	-2.9815	-2.278	-5.133	-2.804	-3.415	-2.0755	-2.735	-2.0515	-2.1535	-3.9425	-1.9915	-1.9955	-2.1055
"YJL157C"	-1.8605	-2.1155	-0.738	-1.141	-2.2225	-2.6375	0.926	0.861	0.864	-1.039	-2.634	-7.731	0.175	0.039	0.018	0.33	-0.0515	-0.521	-0.745	-0.343	-1.092	-2.276	0.074	-0.932	-0.328	-0.621	-0.91	-0.692	-2.3715	-0.261	-1.385	-1.101	-1.152	-0.879	-3.606	-3.623	-3.099	-2.999	-2.752	-1.913	-2.797	-2.146	-1.831	-1.459	-0.803	-2.44
"YJL188C"	-1.789	-1.645	-1.4305	-1.9795	-2.06	-2.5615	1.008	1.159	0.709	-0.502	-2.525	-4.633	0.143	0.732	0.017	-0.001	0.2065	-0.084	-0.346	-0.85	-0.598	-1.518	-0.252	-0.657	0.209	0.048	0.075	0.503	-2.649	0.024	-1.864	-0.523	-1.115	-2.777	-0.734	-1.724	-1.074	-1.739	-1.831	-1.276	-1.582	-1.943	-1.859	-1.412	-1.571	-1.667
"YJL189W"	-1.379	-1.8565	-1.682	-1.73	-2.7325	-2.8195	1.089	0.91	0.731	-0.63	-3.545	-4.28	-0.204	0.474	-0.058	-0.041	0.1395	-0.49	-0.329	-0.719	-0.798	-1.438	-0.435	-0.117	0.183	0.175	0.007	0.205	-2.3825	-0.775	-1.952	-1.387	-1.325	-2.888	-2.298	-2.1	-1.306	-2.027	-2.275	-1.035	-1.686	-2.178	-1.756	-1.431	-2.053	-2.524
"YJL190C"	-2.166	-2.525	-1.748	-2.8085	-3.022	-3.838	1.36	1.453	1.126	-1.241	-3.794	-6.079	0.176	0.182	0.048	0.142	0.2805	-0.064	-0.298	-0.671	-0.598	-2.412	-0.208	-0.548	-0.082	-0.492	-0.012	0.14	-3.7855	0.084	-3.078	-2.014	-2.354	-4.874	-1.298	-2.517	-1.48	-3.118	-2.885	-2.334	-2.141	-2.48	-3.032	-2.905	-1.849	-2.584
"YJL208C"	-2.433	-2.228	-1.104	-0.7505	-1.906	-1.574	0.758	0.922	0.522	-1.36	-2.326	-3.324	0.234	0.162	-0.175	0.203	-0.3155	-0.331	-0.888	-0.794	-0.529	-2.018	-0.434	-0.662	-0.002	0.052	0.195	0.023	-2.466	0.134	-2.875	-2.009	-2.275	-3.351	-1.663	-2.484	-1.773	-1.504	-0.995	-2.535	-1.349	-1.278	-1.345	-1.291	-2.657	-1.706
"YJR070C"	-4.6905	-4.824	-1.8185	-3.895	-4.828	-4.332	1.246	1.272	1.129	-2.577	-5.317	-7.226	0.391	0.198	-0.067	-0.189	0.1045	-0.79	-0.694	-0.862	-0.886	-2.306	-0.075	-0.858	0.038	-0.154	-0.118	-0.208	-4.7655	0.168	-3.81	-2.429	-4.096	-3.754	-2.78	-3.368	-3.447	-3.971	-1.731	-1.609	-3.121	-2.681	-1.175	-2.012	-1.311	-2.238
"YJR071W"	-1.613	-2.866	-1.795	-3.6225	-3.68	-3.2685	0.966	0.867	0.927	-2.037	-4.366	-4.787	-0.082	-0.038	-0.435	-0.015	-0.0865	-0.52	-0.526	-0.456	-0.548	-1.678	-0.162	-0.569	-0.089	0.156	-0.046	-0.211	-3.9695	-0.273	-1.199	-1.303	-1.146	-1.797	-2.257	-1.594	-2.297	-0.968	-2.334	-2.624	-2.826	-2.144	-0.743	-1.354	-1.886	-1.795
"YJR132W"	-1.582	-1.0285	-0.838	-0.887	-0.8345	-1.335	0.362	0.55	0.248	-1.613	-1.209	-3.493	0.072	-0.57	0.424	0.419	-0.1385	-0.778	-0.658	-0.611	-0.463	-0.954	0.062	-0.385	-0.176	0.012	0.048	0.0	-0.988	0.061	-1.507	-1.22	-2.046	-1.498	-1.793	-1.976	-1.653	-2.249	-1.206	-1.799	-2.379	-1.252	-1.213	-0.734	-1.002	-1.779
"YLR061W"	-1.678	-2.212	-1.602	-1.901	-3.322	-3.851	1.1	1.127	0.696	-1.287	-4.925	-6.591	0.289	0.117	0.078	0.433	0.465	-0.171	-0.1	-0.408	-0.462	-1.456	-0.292	-0.507	0.156	0.033	0.142	0.164	-2.697	0.031	-2.529	-1.288	-1.166	-4.004	-1.112	-1.222	-2.006	-2.22	-1.462	-1.725	-2.442	-1.637	-2.564	-1.564	-1.508	-2.199
"YLR175W"	-4.176	-3.679	-2.134	-3.07	-4.552	-4.902	1.215	1.304	1.12	-2.257	-5.607	-5.468	0.04	0.026	0.21	0.163	-0.038	-0.983	-0.937	-1.073	-1.188	-2.188	-0.794	-1.334	0.521	0.435	0.238	-0.142	-4.431	0.268	-4.177	-1.884	-3.986	-4.338	-4.035	-3.423	-3.083	-2.593	-2.074	-1.537	-2.056	-2.507	-1.852	-2.004	-2.305	-1.628
"YLR249W"	-2.818	-3.122	-1.868	-3.317	-4.232	-4.758	1.359	1.219	0.978	-2.746	-6.529	-6.742	0.176	-0.755	0.257	-0.006	-1.1	-0.731	-0.904	-0.938	-0.9	-3.464	-0.508	-0.823	-0.511	-0.536	-0.403	-0.33	-4.59	0.414	-3.998	-2.239	-4.627	-5.085	-2.492	-2.945	-3.861	-4.463	-2.262	-2.776	-3.492	-2.717	-3.279	-2.727	-3.921	-3.381
"YLR264W"	-1.088	-1.77	-1.106	-1.722	-2.019	-2.178	0.631	0.922	0.819	-0.78	-3.105	-5.152	0.095	0.286	-0.175	0.181	0.246	-0.079	-0.056	-0.511	-0.336	-1.665	0.097	-0.369	0.29	-0.418	0.019	0.162	-1.005	0.154	-1.947	-1.632	-1.316	-3.145	-2.665	-3.008	-2.899	-2.481	-2.579	-2.32	-3.351	-2.946	-3.256	-2.57	-3.435	-3.465
"YLR325C"	-1.897	-1.721	-1.114	-1.92	-2.61	-3.056	1.112	0.677	1.01	-1.195	-4.528	-5.498	0.124	0.257	0.292	-0.181	-0.234	-0.469	-0.569	-0.687	-0.714	-2.0	-0.304	-0.684	-0.098	-0.106	-0.187	0.542	-2.735	0.039	-1.941	-1.328	-1.548	-2.866	-1.3	-1.761	-2.545	-2.072	-2.201	-0.9	-4.042	-2.092	-2.823	-2.521	-2.375	-2.27
"YML022W"	-1.818	-2.392	-1.445	-2.188	-2.749	-2.982	1.21	0.996	1.034	-1.184	-3.236	-3.98	0.198	-0.206	-0.154	-0.391	-0.035	-0.601	-0.685	-0.529	-0.766	-1.859	0.299	-0.801	-0.002	-0.156	0.002	0.066	-2.765	0.121	-2.245	-1.763	-3.371	-2.661	-3.475	-2.41	-2.739	-2.787	-1.557	-3.098	-2.752	-1.935	-1.483	-1.336	-1.858	-1.558
"YML024W"	-1.177	-2.033	-1.775	-2.347	-3.361	-3.373	0.485	0.906	0.975	-1.217	-3.616	-4.621	-0.127	-0.021	-0.183	-0.062	0.177	-0.409	-0.634	-0.519	-0.605	-2.106	-0.101	-0.914	-0.411	-0.146	-0.064	-0.244	-3.024	-0.806	-2.692	-1.512	-2.411	-2.891	-3.422	-2.663	-3.094	-3.159	-2.141	-0.975	-2.724	-1.807	-2.705	-2.178	-1.314	-2.255
"YML026C"	-1.59	-2.104	-0.984	-1.803	-3.139	-3.539	0.441	0.972	1.104	-1.177	-3.811	-5.271	0.053	-0.085	-0.067	-0.007	0.137	-0.421	-0.596	-0.699	-0.584	-2.403	-0.457	-0.991	-0.242	-0.048	0.056	-0.073	-3.032	-0.823	-2.416	-1.558	-1.911	-4.595	-1.578	-1.576	-3.083	-2.657	-1.677	-0.607	-2.13	-1.177	-2.644	-1.331	-1.119	-1.619
"YML056C"	-3.762	-3.158	-1.618	-3.16	-2.963	-3.376	0.759	1.188	1.131	-2.244	-3.967	-5.251	0.162	-0.256	-0.123	-0.279	0.221	-0.598	-1.2	-1.225	-0.89	-2.415	0.13	-0.841	-0.477	-0.617	-0.275	0.023	-3.776	0.38	-4.017	-2.736	-2.625	-4.322	-1.982	-2.557	-2.921	-2.551	-2.237	-2.925	-3.068	-3.468	-3.232	-2.885	-5.009	-3.48
"YMR090W"	3.078	2.946	1.72	3.018	3.436	3.281	-1.626	-1.616	-0.806	3.516	4.168	1.741	0.247	1.016	2.016	0.955	NaN	0.665	1.3	1.463	0.799	4.107	-0.196	1.209	1.247	1.195	0.941	0.947	3.497	0.11	2.821	2.308	3.622	3.446	2.589	3.219	3.495	3.418	3.549	2.985	3.738	3.356	3.814	2.072	2.195	2.158
"YMR093W"	-2.825	-3.204	-1.01	-1.949	-3.006	-2.835	0.838	1.178	0.92	-2.0	-1.169	-4.21	-0.091	0.285	0.05	-0.092	-0.076	-0.636	-0.433	-0.993	-0.667	-2.058	-0.209	-0.588	0.229	0.04	0.087	0.053	-3.181	-0.087	-2.663	-2.209	-3.287	-3.843	NaN	-2.335	-2.58	-2.454	-2.058	-0.968	-1.652	-2.276	-2.234	-0.706	-0.719	-1.833
"YMR173W"	2.238	2.3905	2.16	3.1995	2.774	2.5865	-1.2695	-1.2815	-1.2405	2.3415	3.7635	-1.418	0.4835	1.05	1.975	1.0225	0.225	1.478	2.0555	2.055	1.9785	2.533	-0.006	2.031	1.5835	1.3345	1.0575	1.0535	2.395	-0.041	3.067	1.963	2.555	2.384	2.9625	3.046	3.173	3.5555	3.231	2.207	2.8135	2.916	3.2015	2.0655	2.189	2.7605
"YMR290C"	-3.64	-3.689	-2.627	-2.957	-3.89	-3.624	0.988	1.028	1.098	-2.5	-5.132	-5.217	-0.08	0.351	-0.092	0.063	-0.189	-1.277	-0.974	-0.868	-0.82	-2.885	-0.468	-0.866	-0.334	-0.35	-0.259	-0.37	-4.129	0.1175	-4.343	-3.775	-3.98	-4.544	-1.858	-2.743	-2.311	-3.104	-1.514	-2.27	-1.98	-2.837	-1.285	-1.635	NaN	NaN
"YMR310C"	-3.117	-2.423	-1.416	-2.264	-2.522	-1.974	1.112	1.304	0.872	-1.738	-2.999	-3.842	0.202	0.487	0.2	0.115	-0.11	-0.637	-0.914	-0.821	-0.664	-1.65	-0.04	-0.792	-0.393	-0.207	-0.262	-0.264	-2.882	0.012	-2.857	-1.577	-2.977	-3.588	-1.988	-1.598	-1.033	-1.34	-1.046	-1.258	-1.468	-1.211	-0.815	-1.094	-1.746	-1.862
"YMR315W"	3.125	2.919	1.955	2.539	2.595	3.078	-1.199	-1.321	-1.021	3.578	1.294	-2.44	0.754	0.005	0.231	-0.172	0.291	0.704	0.785	0.902	0.846	2.302	0.398	1.036	0.01	0.019	-0.355	-0.241	3.17	0.3455	3.016	2.34	2.098	0.562	2.548	3.406	2.24	2.581	3.039	1.797	2.72	3.187	4.183	2.827	2.043	3.202
"YNL022C"	-1.72	-2.028	-0.981	-0.458	-1.986	-1.406	0.683	0.86	0.755	-1.529	-2.558	-3.745	0.008	0.044	0.121	0.125	-0.197	-0.768	-0.392	-0.409	-0.411	-2.042	0.196	-0.356	0.258	0.206	0.118	0.106	-1.851	0.0435	-2.755	-2.251	-1.986	-2.039	-3.386	-1.925	-2.144	-2.038	-1.429	-2.07	-4.189	-3.057	-1.81	-2.629	-1.921	-3.295
"YNL061W"	-4.928	-3.927	-1.543	-4.143	-4.404	-3.948	1.161	1.249	0.976	-2.373	-4.329	-4.27	0.037	0.121	-0.042	0.247	-0.213	-0.85	-0.916	-0.998	-1.031	-2.599	-0.244	-0.73	0.048	-0.047	0.329	0.104	-5.38	-0.0205	-3.925	-2.946	-2.461	-2.571	-2.625	-1.669	-1.39	-1.484	-1.398	-1.895	-2.081	-1.499	-1.854	-1.121	-2.191	-1.375
"YNL112W"	-3.638	-4.018	-4.954	-3.939	-4.081	-3.89	1.485	1.408	1.45	-2.575	-3.476	-3.27	-0.202	0.492	-0.023	-0.128	-0.34	-2.01	-1.615	-0.98	-1.298	-3.587	-0.604	-1.078	-0.852	-0.465	-0.376	-0.486	-3.744	0.2065	-4.902	-4.336	-4.121	-4.027	-2.865	-3.642	-4.675	-5.837	-4.887	-2.554	-5.632	-4.774	-4.008	-3.601	-4.335	-4.678
"YNL174W"	-5.157	-4.699	-1.913	-4.233	-5.579	-4.714	0.965	0.755	0.772	-2.718	-5.141	-4.409	-0.074	0.091	0.29	-0.031	-0.103	-0.923	-0.825	-0.709	-0.61	-2.4	-0.367	-0.711	-0.028	0.184	0.145	0.069	-5.426	0.192	-3.76	-2.801	-2.503	-3.816	-1.585	-2.734	-3.361	-3.661	-1.461	-2.261	-4.173	-3.46	-3.42	-3.932	-3.568	-3.586
"YNL175C"	-5.334	-4.901	-2.739	-4.11	-4.362	-3.931	1.14	1.152	0.899	-2.692	-4.877	-6.011	0.116	-0.001	0.344	0.153	-0.542	-1.122	-0.84	-0.736	-0.538	-0.83	-0.592	-0.532	0.084	0.211	0.411	0.191	-5.147	0.1725	-2.388	-1.8585	-1.746	-2.5475	-3.174	-4.009	-4.49	-2.353	-2.696	-2.788	-2.99	-2.735	-1.578	-3.054	-2.676	-2.821
"YNL182C"	-6.33	-4.05	-1.434	-2.807	-4.805	-3.807	1.266	1.125	1.115	-2.311	-4.184	-2.532	0.08	0.11	-0.103	-0.317	-0.167	-0.997	-0.966	-0.923	-0.97	-2.324	0.13	-1.146	0.034	0.088	0.181	-0.054	-4.61	0.1635	-3.082	-2.517	-3.01	-3.607	-5.251	-2.917	-3.551	-2.861	-1.756	-2.838	-3.559	-3.206	-3.015	-2.59	-3.844	-2.844
"YNL208W"	2.199	2.136	1.706	1.987	1.899	2.025	-0.746	-0.963	-0.832	2.363	-0.995	-0.799	0.047	1.082	0.121	-0.051	-0.318	0.012	0.404	0.118	0.115	1.685	-0.047	0.125	-0.317	-0.356	-0.599	-0.391	2.091	0.111	2.098	2.512	2.698	1.712	2.796	3.143	3.143	3.015	2.671	2.658	2.2	2.238	2.263	1.952	2.701	2.813
"YNL241C"	2.541	1.983	1.395	1.635	1.852	1.903	-0.64	-0.807	-1.137	2.369	1.678	-1.111	-0.189	-0.34	0.146	0.418	0.161	1.108	1.118	0.975	0.803	1.929	0.448	1.155	0.483	0.256	0.307	0.447	1.778	0.0905	2.412	2.009	2.241	0.894	3.22	3.304	3.42	2.978	3.271	2.16	2.988	3.66	2.277	2.04	1.85	2.581
"YNL255C"	-2.307	-1.949	-1.803	-2.087	-1.674	-2.303	1.207	1.222	1.096	-1.179	-2.297	-5.229	0.286	0.208	0.099	0.289	NaN	-0.414	-0.297	-0.343	-0.091	-0.655	-0.482	-0.12	0.277	0.177	0.427	0.206	-2.084	0.025	-1.791	-1.317	-1.348	-2.147	-1.254	-1.524	-1.775	-1.428	-1.595	-1.897	-1.321	-1.156	-0.867	-1.546	-1.121	-0.843
"YNR053C"	-5.074	-4.159	-1.498	-3.104	-3.74	-3.215	1.405	1.412	0.237	-2.392	-3.029	-3.447	-0.002	-0.054	-0.046	-0.144	0.069	-1.221	-1.062	-1.111	-1.122	-3.205	-0.151	-1.021	-0.263	0.098	-0.065	-0.25	-4.11	0.107	-3.937	-3.267	-2.674	-4.56	NaN	-4.575	-4.096	-2.795	-2.159	-0.927	-4.611	-2.687	-3.036	-2.841	-1.732	-2.306
"YOL022C"	-2.578	-2.43	-1.397	-2.344	-2.29	-2.301	0.934	0.777	0.4675	-1.669	-1.8955	-4.073	0.011	0.106	0.076	-0.123	0.008	-0.646	-0.391	-0.324	-0.005	-1.85	-0.343	-0.108	0.385	0.219	0.339	0.185	-2.13	0.07	-2.882	-2.184	-3.424	-2.775	-1.783	-2.89	-2.214	-1.966	-2.035	-1.499	-1.21	-2.087	-1.053	-1.612	-1.031	-2.059
"YOL077C"	-5.439	-5.04	-2.828	-4.336	-5.22	-4.28	1.476	1.273	-0.096	-2.938	-5.186	-6.552	0.172	-0.24	-0.102	0.019	-0.085	-1.19	-1.046	-0.89	-0.767	-3.287	-0.445	-0.911	-0.046	0.218	0.219	0.147	-4.7	0.014	-4.969	-3.866	-4.679	-5.145	-3.715	-3.742	-2.522	-2.623	-2.653	-2.256	-2.396	-2.023	-2.745	-3.886	-3.121	-2.036
"YOL092W"	-1.993	-2.049	-1.388	-1.627	-1.473	-1.931	0.906	1.057	0.385	-1.456	-2.052	-3.162	0.226	-0.527	0.166	0.068	-0.245	-0.403	-0.609	-0.276	-0.376	-1.178	-0.953	-0.423	-0.144	-0.104	0.177	0.231	-1.767	0.168	-2.017	-1.566	-2.177	-2.329	-1.326	-2.272	-1.82	-2.099	-1.622	-2.871	-1.862	-1.711	-1.47	-2.059	-1.987	-1.744
"YOR021C"	-2.424	-2.232	-1.715	-1.661	-2.204	-2.166	0.971	0.942	0.348	-1.656	-2.468	-2.956	0.103	0.153	0.045	-0.006	0.25	-0.629	-0.648	-0.505	-0.752	-1.808	-0.343	-0.426	0.223	0.091	0.145	0.05	-2.297	-0.035	-2.366	-1.299	-1.996	-1.781	-2.095	-1.531	-2.254	-1.488	-1.6	-0.846	-1.116	-1.555	-1.61	-0.767	-0.713	-1.373
"YOR095C"	-4.521	-4.288	-2.381	-3.939	-4.34	-4.285	1.399	1.185	1.246	-2.585	-1.698	-4.37	0.306	-0.252	-0.103	-0.002	-0.16	-1.263	-1.098	-0.869	-1.021	-3.094	1.094	-1.296	-0.652	-0.391	-0.247	-0.374	-3.778	-0.006	-3.665	-3.086	-3.849	-4.298	-4.894	-4.286	-3.211	-2.89	-1.974	-2.025	-3.035	-3.139	-3.823	-2.563	-2.794	-2.208
"YOR096W"	-2.282	-2.106	-1.624	-2.334	-3.385	-3.991	1.283	1.183	1.159	-1.253	-3.836	-0.414	0.48	-0.189	0.109	0.271	-0.01	-0.52	-0.457	-0.512	-0.428	-2.369	-0.174	-0.76	-0.087	-0.021	-0.031	-0.005	-3.232	0.07	-3.251	-1.525	-2.638	-4.458	-2.674	-1.468	-1.843	-1.564	-2.978	-2.884	-2.052	-1.113	-1.996	-2.016	-2.792	-2.288
"YOR167C"	-1.171	-1.916	-2.16	-1.631	-2.402	-2.633	1.232	0.974	0.689	-0.632	-1.901	-3.313	0.09	0.06	-0.245	-0.238	0.279	-0.257	-0.416	-0.337	-0.481	-1.912	0.095	-0.749	-0.301	-0.234	-0.09	-0.002	-2.358	-0.157	-1.736	-1.289	-0.704	-3.035	-2.131	-2.271	-1.865	-2.662	-2.11	-2.174	-2.345	-2.588	-2.289	-1.757	-2.577	-1.684
"YOR243C"	-3.594	-3.234	-2.239	-2.436	-3.633	-3.982	1.203	1.139	1.2455	-1.827	-3.8055	-4.3935	-0.145	-0.078	-0.005	0.213	-0.109	-0.732	-0.582	-0.696	-0.451	-1.872	-0.7165	-0.611	0.261	0.255	0.121	-0.021	-4.099	0.194	-2.845	-1.727	-2.616	-2.825	-3.948	-3.202	-2.909	-2.358	-2.809	-1.423	-3.764	-1.523	-1.883	-1.82	-2.099	-1.547
"YOR272W"	NaN	-3.645	-2.034	-3.098	-2.566	1.0	1.2	1.356	0.9675	-2.516	-4.8145	-4.712	0.18	-0.074	0.167	0.184	-0.615	-1.023	-0.688	-0.526	-0.266	-1.261	-0.268	-0.633	0.238	0.573	0.421	0.362	-2.217	0.152	-3.187	-3.082	-2.816	-3.502	-3.479	-3.546	-2.98	-3.332	-2.014	-2.465	-1.672	-2.079	-2.663	-2.388	-3.252	-2.332
"YOR310C"	-5.053	-4.365	-2.174	-3.309	-4.639	-3.004	1.211	1.223	1.0465	-2.686	-6.006	-7.1385	0.437	-0.202	0.202	0.415	-0.205	-0.768	-0.905	-0.845	-0.871	-2.449	-0.6225	-0.965	0.251	0.315	0.322	0.134	-4.948	0.099	-4.326	-3.006	-4.099	-5.14	-2.739	-3.031	-3.155	-2.87	-2.127	-3.139	-1.453	-2.776	-1.821	-2.448	-2.327	-1.711
"YPL142C"	-1.892	-1.932	-1.577	-2.625	-2.913	-3.225	1.023	1.2695	1.009	-0.87	-3.1395	-5.604	0.25	0.226	0.2	-0.016	0.304	-0.111	-0.392	-0.385	-0.394	-1.852	-0.112	-0.415	-0.193	-0.818	-0.325	0.209	-3.034	0.142	-2.333	-1.691	-1.946	-3.677	-1.636	-1.81	-2.248	-1.627	-2.396	-1.317	-1.341	-1.475	-1.95	-1.113	-1.618	-1.262
"YPL207W"	-3.26	-2.94	-1.312	-2.29	-3.419	-2.713	0.819	0.586	0.533	-1.9435	-2.321	-3.832	0.114	-0.45	0.091	-0.218	-0.038	-1.349	-1.055	-0.897	-0.717	-2.017	-0.281	-0.696	-0.234	0.143	-0.073	-0.19	-0.968	-0.24	-3.502	-1.519	-2.636	-3.018	-4.227	-3.465	-3.378	-2.895	-2.61	-4.209	-2.237	-2.542	-1.973	-2.689	-3.0	-2.057
"YPL211W"	-4.373	-3.949	-2.598	-2.921	-1.832	-2.713	1.059	0.954	1.1155	-2.363	-5.5605	-5.029	0.1	-0.036	-0.02	-0.075	0.025	-1.174	-0.983	-0.851	-0.818	-3.124	-0.291	-0.765	-0.245	-0.073	-0.005	-0.144	-2.166	-0.625	-3.213	-2.313	-3.89	-3.981	NaN	-5.176	-4.397	-4.022	-4.322	-2.466	-3.148	-3.742	-4.195	-2.835	-3.903	-3.206
"YPL226W"	-3.457	-3.002	-1.42	-2.4945	-3.229	-4.183	0.7565	0.906666666666667	0.858	-1.997	-4.86566666666667	-5.67966666666667	-0.0175	-0.2885	-0.0735	0.0015	0.0465	-0.6695	-0.6865	-0.7095	-0.7495	-1.907	-0.409333333333333	-0.606	-0.397	-0.0845	-0.2905	-0.2985	-3.215	0.2765	-3.076	-2.041	-3.793	-3.811	-2.6675	-2.5635	-2.1345	-2.386	-1.6895	-2.2525	-2.957	-1.972	-1.733	-2.674	-3.622	-2.153
"YPL263C"	-1.7625	-1.571	-0.506	-1.659	-2.1515	-1.5755	0.4145	0.418333333333333	0.451	-1.816	-2.61633333333333	-4.9735	-0.414	-0.3075	0.0595	-0.3045	-0.2455	-0.5105	-0.334	-0.354	-0.1475	-1.43	0.200333333333333	-0.188	0.054	0.2145	0.205	0.1745	-2.388	0.126	-2.6785	-1.4635	-2.031	-2.799	-2.485	-2.719	-1.385	-2.52	-2.426	-1.634	-1.436	-1.49	-2.024	-1.655	-0.846	-1.661
"YPL266W"	-3.981	-3.222	-1.605	-2.968	-3.585	-3.063	1.381	1.1895	1.17	-1.846	-4.1135	-3.1595	0.104	-0.389	0.11	0.236	-0.1	-0.976	-0.837	-0.716	-0.416	-2.134	0.1965	-0.538	0.002	0.398	0.516	0.366	-3.636	0.157	-4.813	-2.51	-2.945	-4.271	-1.911	-2.797	-2.362	-1.537	-1.689	-3.087	-2.361	-1.756	-1.214	-2.527	-0.991	-2.411
"YPR010C"	-3.225	-2.887	-1.446	-3.0415	-3.3095	-3.049	0.823	0.671666666666667	0.688333333333333	-2.196	-2.19933333333333	-3.425	-0.039	-0.1185	-0.0985	-0.207	-0.2815	-0.995	-0.9105	-0.919	-0.9	-1.1495	-0.0433333333333333	-1.0765	-0.586	-0.328	-0.3555	-0.374	-3.0355	-0.024	-3.6845	-2.23	-3.8585	-3.761	-2.228	-6.98	-3.1	-2.989	-2.201	-2.611	-3.308	-1.99	-2.088	-2.236	-2.396	-1.731
"YPR110C"	-3.178	-3.084	-1.217	-2.507	-3.52	-3.728	0.96	1.068	0.986	-2.073	-5.7185	-6.318	0.151	-0.227	-0.091	-0.257	0.102	-0.593	-0.473	-0.671	-0.799	-2.308	0.1245	-0.474	0.029	0.041	-0.052	-0.042	-3.168	-0.194	-3.436	-2.354	-3.503	-3.882	-3.569	-1.995	-2.88	-2.431	-2.452	-2.052	-1.588	-3.122	-2.837	-2.592	-1.539	-1.492
"YPR112C"	-0.627	-2.839	-1.287	-2.907	-1.994	-3.273	0.0	0.781	0.823	-2.899	-3.443	-3.311	-0.205	0.746	-0.108	-0.301	-0.153	-0.129	-0.59	-0.505	-0.869	-3.07	-0.7305	-0.281	-0.007	0.153	0.086	0.184	-3.648	-0.478	-4.543	-3.417	-3.013	-3.372	-6.027	-3.738	-2.878	-4.031	-1.931	-1.802	-1.781	-4.646	-2.096	-1.322	-1.753	-2.772
"YPR163C"	-2.552	-2.832	-1.926	-2.415	-3.276	-3.939	1.032	1.048	1.063	-1.6565	-3.6815	-5.4905	0.346	-0.298	-0.06	-0.396	-0.192	-0.59	-0.415	-0.547	-0.189	-2.045	-0.2075	-0.661	0.187	0.436	0.209	0.127	-3.572	0.195	-3.015	-1.939	-2.373	-3.575	-1.346	-2.361	-2.021	-1.999	-1.944	-1.872	-1.95	-1.8	-1.598	-2.167	-2.195	-2.771
